* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 8:11:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS3 f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.649 -24.9027
0.732422 62.673 -49.8014
1.098633 58.734 -74.6498
1.464844 50.121 -98.9297
1.831055 44.820 53.3709
2.197266 54.657 30.2411
2.563477 57.449 6.9507
2.929688 57.981 -14.1912
3.295899 57.171 -30.4458
3.662110 55.748 -36.9412
4.028321 55.413 -31.7859
4.394532 57.186 -28.0386
4.760743 59.416 -33.2666
5.126954 61.065 -42.7331
5.493164 62.051 -51.9482
5.859375 62.607 -58.4198
6.225586 63.099 -61.5140
6.591797 63.824 -62.7068
6.958008 64.764 -64.2595
7.324219 65.681 -67.0647
7.690430 66.403 -70.5266
8.056641 66.918 -73.6909
8.422852 67.322 -76.0496
8.789063 67.717 -77.7767
9.155274 68.140 -79.4237
9.521485 68.553 -81.3690
9.887696 68.905 -83.5772
10.253907 69.115 -85.7889
10.620118 69.251 -87.8210
10.986329 69.379 -89.6995
11.352540 69.514 -91.5701
11.718751 69.645 -93.5233
12.084962 69.760 -95.5228
12.451173 69.861 -97.4742
12.817384 70.003 -99.3284
13.183595 70.154 -101.1098
13.549806 70.304 -102.8596
13.916017 70.445 -104.5742
14.282228 70.575 -106.2060
14.648439 70.696 -107.7174
15.014650 70.816 -109.1229
15.380861 70.935 -110.4745
15.747072 71.049 -111.8097
16.113283 71.153 -113.1195
16.479493 71.250 -114.3647
16.845704 71.335 -115.5196
17.211915 71.416 -116.5966
17.578126 71.494 -117.6341
17.944337 71.568 -118.6670
18.310548 71.637 -119.7099
18.676759 71.699 -120.7639
19.042970 71.752 -121.8268
19.409181 71.797 -122.8912
19.775392 71.832 -123.9365
20.141603 71.861 -124.9319
20.507814 71.891 -125.8589
20.874025 71.927 -126.7331
21.240236 71.973 -127.6009
21.606447 72.023 -128.5062
21.972658 72.071 -129.4558
22.338869 72.111 -130.4146
22.705080 72.142 -131.3344
23.071291 72.170 -132.1909
23.437502 72.198 -132.9962
23.803713 72.228 -133.7786
24.169924 72.256 -134.5518
24.536135 72.278 -135.3030
24.902346 72.295 -136.0093
25.268557 72.312 -136.6629
25.634768 72.331 -137.2824
26.000979 72.353 -137.8991
26.367190 72.375 -138.5332
26.733401 72.393 -139.1824
27.099612 72.405 -139.8290
27.465823 72.413 -140.4571
27.832033 72.420 -141.0640
28.198244 72.427 -141.6577
28.564455 72.433 -142.2465
28.930666 72.439 -142.8315
29.296877 72.444 -143.4061
29.663088 72.448 -143.9624
30.029299 72.453 -144.4977
30.395510 72.460 -145.0170
30.761721 72.470 -145.5304
31.127932 72.482 -146.0482
31.494143 72.493 -146.5749
31.860354 72.501 -147.1057
32.226565 72.506 -147.6286
32.592776 72.508 -148.1304
32.958987 72.508 -148.6042
33.325198 72.509 -149.0536
33.691409 72.511 -149.4889
34.057620 72.513 -149.9196
34.423831 72.514 -150.3489
34.790042 72.515 -150.7744
35.156253 72.516 -151.1938
35.522464 72.516 -151.6103
35.888675 72.516 -152.0309
36.254886 72.516 -152.4597
36.621097 72.512 -152.8921
36.987308 72.506 -153.3153
37.353519 72.498 -153.7162
37.719730 72.490 -154.0907
38.085941 72.485 -154.4466
38.452152 72.483 -154.7991
38.818363 72.483 -155.1597
39.184573 72.483 -155.5298
39.550784 72.481 -155.9007
39.916995 72.479 -156.2618
40.283206 72.477 -156.6091
40.649417 72.476 -156.9483
41.015628 72.477 -157.2894
41.381839 72.477 -157.6380
41.748050 72.474 -157.9904
42.114261 72.470 -158.3353
42.480472 72.463 -158.6624
42.846683 72.456 -158.9684
43.212894 72.450 -159.2591
43.579105 72.446 -159.5442
43.945316 72.443 -159.8313
44.311527 72.441 -160.1231
44.677738 72.439 -160.4189
45.043949 72.436 -160.7175
45.410160 72.433 -161.0176
45.776371 72.428 -161.3172
46.142582 72.423 -161.6120
46.508793 72.417 -161.8978
46.875004 72.411 -162.1730
47.241215 72.406 -162.4412
47.607426 72.402 -162.7082
47.973637 72.398 -162.9780
48.339848 72.393 -163.2489
48.706059 72.388 -163.5156
49.072270 72.382 -163.7742
49.438481 72.378 -164.0261
49.804692 72.374 -164.2775
50.170902 72.371 -164.5348
50.537113 72.367 -164.7990
50.903324 72.362 -165.0651
51.269535 72.355 -165.3255
51.635746 72.348 -165.5757
52.001957 72.341 -165.8165
52.368168 72.335 -166.0527
52.734379 72.329 -166.2879
53.100590 72.323 -166.5223
53.466801 72.316 -166.7525
53.833012 72.310 -166.9754
54.199223 72.304 -167.1911
54.565434 72.299 -167.4036
54.931645 72.295 -167.6184
55.297856 72.291 -167.8383
55.664067 72.287 -168.0626
56.030278 72.281 -168.2874
56.396489 72.275 -168.5088
56.762700 72.267 -168.7249
57.128911 72.259 -168.9348
57.495122 72.250 -169.1375
57.861333 72.240 -169.3308
58.227544 72.231 -169.5124
58.593755 72.223 -169.6833
58.959966 72.217 -169.8490
59.326177 72.213 -170.0186
59.692388 72.211 -170.1999
60.058599 72.209 -170.3957
60.424810 72.207 -170.6031
60.791021 72.202 -170.8160
61.157232 72.196 -171.0287
61.523442 72.190 -171.2387
61.889653 72.182 -171.4450
62.255864 72.174 -171.6466
62.622075 72.165 -171.8412
62.988286 72.156 -172.0266
63.354497 72.147 -172.2029
63.720708 72.139 -172.3734
64.086919 72.132 -172.5433
64.453130 72.125 -172.7160
64.819341 72.118 -172.8917
65.185552 72.110 -173.0670
65.551763 72.102 -173.2377
65.917974 72.094 -173.4017
66.284185 72.086 -173.5606
66.650396 72.079 -173.7183
67.016607 72.073 -173.8792
67.382818 72.067 -174.0461
67.749029 72.060 -174.2183
68.115240 72.053 -174.3929
68.481451 72.045 -174.5660
68.847662 72.036 -174.7345
69.213873 72.027 -174.8976
69.580084 72.019 -175.0569
69.946295 72.010 -175.2143
70.312506 72.002 -175.3706
70.678717 71.993 -175.5248
71.044928 71.985 -175.6750
71.411139 71.977 -175.8205
71.777350 71.969 -175.9626
72.143561 71.962 -176.1046
72.509771 71.955 -176.2490
72.875982 71.948 -176.3957
73.242193 71.941 -176.5413
73.608404 71.932 -176.6821
73.974615 71.924 -176.8166
74.340826 71.917 -176.9478
74.707037 71.911 -177.0808
75.073248 71.905 -177.2199
75.439459 71.898 -177.3650
75.805670 71.890 -177.5119
76.171881 71.881 -177.6552
76.538092 71.872 -177.7925
76.904303 71.863 -177.9257
77.270514 71.855 -178.0590
77.636725 71.847 -178.1957
78.002936 71.838 -178.3347
78.369147 71.828 -178.4719
78.735358 71.818 -178.6024
79.101569 71.807 -178.7247
79.467780 71.798 -178.8410
79.833991 71.790 -178.9557
80.200202 71.782 -179.0721
80.566413 71.775 -179.1909
80.932624 71.768 -179.3112
81.298835 71.761 -179.4321
81.665046 71.754 -179.5538
82.031257 71.747 -179.6776
82.397468 71.740 -179.8040
82.763679 71.732 -179.9317
83.129890 71.724 179.9418
83.496101 71.715 179.8192
83.862311 71.706 179.7017
84.228522 71.697 179.5890
84.594733 71.688 179.4797
84.960944 71.680 179.3720
85.327155 71.672 179.2642
85.693366 71.665 179.1548
86.059577 71.658 179.0426
86.425788 71.650 178.9276
86.791999 71.643 178.8111
87.158210 71.634 178.6953
87.524421 71.626 178.5823
87.890632 71.617 178.4729
88.256843 71.609 178.3658
88.623054 71.601 178.2583
88.989265 71.594 178.1483
89.355476 71.586 178.0350
89.721687 71.578 177.9198
90.087898 71.569 177.8055
90.454109 71.560 177.6947
90.820320 71.550 177.5887
91.186531 71.541 177.4869
91.552742 71.532 177.3875
91.918953 71.524 177.2883
92.285164 71.517 177.1877
92.651375 71.509 177.0855
93.017586 71.501 176.9826
93.383797 71.493 176.8806
93.750008 71.485 176.7809
94.116219 71.477 176.6839
94.482430 71.469 176.5886
94.848641 71.461 176.4936
95.214851 71.454 176.3976
95.581062 71.446 176.3007
95.947273 71.438 176.2039
96.313484 71.430 176.1089
96.679695 71.421 176.0169
97.045906 71.413 175.9275
97.412117 71.405 175.8393
97.778328 71.397 175.7504
98.144539 71.389 175.6597
98.510750 71.381 175.5674
98.876961 71.373 175.4747
99.243172 71.364 175.3831
99.609383 71.355 175.2933
99.975594 71.347 175.2052
100.341805 71.338 175.1182
100.708016 71.329 175.0315
101.074227 71.321 174.9449
101.440438 71.312 174.8586
101.806649 71.303 174.7732
102.172860 71.295 174.6889
102.539071 71.286 174.6061
102.905282 71.278 174.5247
103.271493 71.269 174.4446
103.637704 71.261 174.3657
104.003915 71.253 174.2878
104.370126 71.246 174.2103
104.736337 71.238 174.1329
105.102548 71.231 174.0549
105.468759 71.223 173.9756
105.834970 71.216 173.8945
106.201180 71.209 173.8115
106.567391 71.202 173.7265
106.933602 71.194 173.6404
107.299813 71.185 173.5542
107.666024 71.177 173.4688
108.032235 71.168 173.3849
108.398446 71.159 173.3029
108.764657 71.150 173.2225
109.130868 71.141 173.1435
109.497079 71.132 173.0656
109.863290 71.123 172.9884
110.229501 71.114 172.9122
110.595712 71.106 172.8369
110.961923 71.097 172.7623
111.328134 71.089 172.6884
111.694345 71.081 172.6149
112.060556 71.073 172.5422
112.426767 71.065 172.4705
112.792978 71.056 172.4004
113.159189 71.048 172.3322
113.525400 71.040 172.2660
113.891611 71.032 172.2015
114.257822 71.025 172.1384
114.624033 71.017 172.0759
114.990244 71.010 172.0134
115.356455 71.003 171.9502
115.722666 70.996 171.8859
116.088877 70.989 171.8203
116.455088 70.981 171.7532
116.821299 70.974 171.6852
117.187510 70.966 171.6166
117.553720 70.957 171.5482
117.919931 70.949 171.4805
118.286142 70.940 171.4141
118.652353 70.931 171.3493
119.018564 70.923 171.2860
119.384775 70.914 171.2239
119.750986 70.905 171.1624
120.117197 70.897 171.1007
120.483408 70.889 171.0385
120.849619 70.881 170.9756
121.215830 70.873 170.9121
121.582041 70.865 170.8482
121.948252 70.857 170.7842
122.314463 70.849 170.7206
122.680674 70.841 170.6578
123.046885 70.832 170.5967
123.413096 70.824 170.5377
123.779307 70.816 170.4809
124.145518 70.807 170.4257
124.511729 70.800 170.3712
124.877940 70.793 170.3163
125.244151 70.786 170.2604
125.610362 70.779 170.2036
125.976573 70.772 170.1466
126.342784 70.765 170.0901
126.708995 70.758 170.0345
127.075206 70.751 169.9794
127.441417 70.744 169.9245
127.807628 70.737 169.8690
128.173839 70.730 169.8128
128.540049 70.723 169.7561
128.906260 70.716 169.6992
129.272471 70.709 169.6426
129.638682 70.702 169.5865
130.004893 70.695 169.5306
130.371104 70.688 169.4749
130.737315 70.681 169.4194
131.103526 70.674 169.3640
131.469737 70.668 169.3091
131.835948 70.661 169.2549
132.202159 70.654 169.2016
132.568370 70.647 169.1493
132.934581 70.640 169.0981
133.300792 70.633 169.0482
133.667003 70.626 168.9993
134.033214 70.619 168.9514
134.399425 70.612 168.9045
134.765636 70.605 168.8585
135.131847 70.599 168.8133
135.498058 70.592 168.7687
135.864269 70.585 168.7248
136.230480 70.579 168.6811
136.596691 70.573 168.6372
136.962902 70.567 168.5924
137.329113 70.561 168.5461
137.695324 70.555 168.4980
138.061535 70.549 168.4482
138.427746 70.542 168.3971
138.793957 70.535 168.3456
139.160168 70.528 168.2947
139.526379 70.521 168.2451
139.892589 70.514 168.1975
140.258800 70.506 168.1523
140.625011 70.499 168.1093
140.991222 70.492 168.0684
141.357433 70.485 168.0290
141.723644 70.478 167.9904
142.089855 70.472 167.9518
142.456066 70.465 167.9128
142.822277 70.459 167.8727
143.188488 70.453 167.8317
143.554699 70.446 167.7898
143.920910 70.440 167.7473
144.287121 70.433 167.7045
144.653332 70.426 167.6617
145.019543 70.419 167.6191
145.385754 70.412 167.5770
145.751965 70.404 167.5355
146.118176 70.397 167.4945
146.484387 70.390 167.4539
146.850598 70.382 167.4133
