* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 8:16:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS3f.Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.246 162.2504
0.732422 61.622 144.1695
1.098633 58.651 124.8426
1.464844 53.765 100.5062
1.831055 46.812 50.7455
2.197266 47.559 -22.9275
2.563477 50.920 -44.3213
2.929688 53.092 -43.9410
3.295899 55.550 -37.8489
3.662110 58.210 -35.1060
4.028321 60.463 -36.4477
4.394532 62.141 -39.5951
4.760743 63.353 -42.7786
5.126954 64.293 -45.2253
5.493164 65.137 -47.0419
5.859375 65.970 -48.8273
6.225586 66.781 -51.0900
6.591797 67.521 -53.9114
6.958008 68.163 -57.0371
7.324219 68.719 -60.1494
7.690430 69.224 -63.0703
8.056641 69.714 -65.8121
8.422852 70.203 -68.4913
8.789063 70.683 -71.1972
9.155274 71.140 -73.9233
9.521485 71.564 -76.5901
9.887696 71.954 -79.1140
10.253907 72.249 -81.4594
10.620118 72.496 -83.6438
10.986329 72.730 -85.7082
11.352540 72.948 -87.6838
11.718751 73.148 -89.5810
12.084962 73.328 -91.4004
12.451173 73.491 -93.1480
12.817384 73.685 -94.8383
13.183595 73.870 -96.4855
13.549806 74.037 -98.0941
13.916017 74.187 -99.6596
14.282228 74.324 -101.1796
14.648439 74.452 -102.6639
15.014650 74.574 -104.1337
15.380861 74.689 -105.6086
15.747072 74.795 -107.0901
16.113283 74.896 -108.5574
16.479493 74.996 -109.9797
16.845704 75.093 -111.3369
17.211915 75.189 -112.6348
17.578126 75.289 -113.9005
17.944337 75.388 -115.1616
18.310548 75.483 -116.4243
18.676759 75.570 -117.6683
19.042970 75.647 -118.8622
19.409181 75.718 -119.9887
19.775392 75.787 -121.0580
20.141603 75.856 -122.0994
20.507814 75.922 -123.1350
20.874025 75.979 -124.1590
21.240236 76.024 -125.1393
21.606447 76.062 -126.0430
21.972658 76.101 -126.8684
22.338869 76.147 -127.6570
22.705080 76.201 -128.4739
23.071291 76.257 -129.3682
23.437502 76.304 -130.3411
23.803713 76.336 -131.3446
24.169924 76.352 -132.3105
24.536135 76.361 -133.1901
24.902346 76.372 -133.9806
25.268557 76.391 -134.7216
25.634768 76.420 -135.4666
26.000979 76.453 -136.2482
26.367190 76.481 -137.0611
26.733401 76.502 -137.8704
27.099612 76.517 -138.6358
27.465823 76.529 -139.3362
27.832033 76.545 -139.9799
28.198244 76.566 -140.5964
28.564455 76.591 -141.2180
28.930666 76.617 -141.8621
29.296877 76.638 -142.5253
29.663088 76.653 -143.1894
30.029299 76.662 -143.8336
30.395510 76.667 -144.4460
30.761721 76.671 -145.0272
31.127932 76.675 -145.5875
31.494143 76.680 -146.1398
31.860354 76.685 -146.6936
32.226565 76.689 -147.2515
32.592776 76.691 -147.8105
32.958987 76.692 -148.3645
33.325198 76.692 -148.9079
33.691409 76.691 -149.4384
34.057620 76.692 -149.9574
34.423831 76.693 -150.4690
34.790042 76.696 -150.9772
35.156253 76.699 -151.4834
35.522464 76.701 -151.9863
35.888675 76.704 -152.4833
36.254886 76.705 -152.9726
36.621097 76.707 -153.4545
36.987308 76.708 -153.9295
37.353519 76.707 -154.3974
37.719730 76.706 -154.8562
38.085941 76.703 -155.3032
38.452152 76.700 -155.7382
38.818363 76.696 -156.1633
39.184573 76.692 -156.5818
39.550784 76.688 -156.9953
39.916995 76.683 -157.4034
40.283206 76.678 -157.8046
40.649417 76.674 -158.1998
41.015628 76.670 -158.5923
41.381839 76.667 -158.9869
41.748050 76.663 -159.3855
42.114261 76.658 -159.7856
42.480472 76.653 -160.1824
42.846683 76.647 -160.5719
43.212894 76.641 -160.9537
43.579105 76.636 -161.3311
43.945316 76.631 -161.7077
44.311527 76.626 -162.0842
44.677738 76.621 -162.4580
45.043949 76.615 -162.8251
45.410160 76.608 -163.1831
45.776371 76.602 -163.5316
46.142582 76.595 -163.8721
46.508793 76.589 -164.2057
46.875004 76.583 -164.5329
47.241215 76.578 -164.8545
47.607426 76.573 -165.1729
47.973637 76.568 -165.4915
48.339848 76.564 -165.8131
48.706059 76.558 -166.1380
49.072270 76.551 -166.4628
49.438481 76.543 -166.7819
49.804692 76.533 -167.0906
50.170902 76.524 -167.3876
50.537113 76.515 -167.6759
50.903324 76.507 -167.9607
51.269535 76.500 -168.2469
51.635746 76.493 -168.5368
52.001957 76.486 -168.8293
52.368168 76.478 -169.1212
52.734379 76.469 -169.4100
53.100590 76.460 -169.6949
53.466801 76.451 -169.9764
53.833012 76.442 -170.2549
54.199223 76.432 -170.5296
54.565434 76.423 -170.7992
54.931645 76.414 -171.0632
55.297856 76.405 -171.3228
55.664067 76.397 -171.5802
56.030278 76.389 -171.8359
56.396489 76.381 -172.0879
56.762700 76.373 -172.3330
57.128911 76.365 -172.5703
57.495122 76.359 -172.8043
57.861333 76.355 -173.0439
58.227544 76.352 -173.2974
58.593755 76.346 -173.5655
58.959966 76.338 -173.8395
59.326177 76.327 -174.1048
59.692388 76.313 -174.3493
60.058599 76.300 -174.5705
60.424810 76.288 -174.7767
60.791021 76.279 -174.9815
61.157232 76.272 -175.1958
61.523442 76.265 -175.4220
61.889653 76.256 -175.6552
62.255864 76.246 -175.8874
62.622075 76.235 -176.1137
62.988286 76.224 -176.3340
63.354497 76.213 -176.5517
63.720708 76.202 -176.7698
64.086919 76.191 -176.9890
64.453130 76.180 -177.2079
64.819341 76.169 -177.4247
65.185552 76.158 -177.6389
65.551763 76.147 -177.8509
65.917974 76.136 -178.0610
66.284185 76.125 -178.2687
66.650396 76.114 -178.4730
67.016607 76.104 -178.6734
67.382818 76.093 -178.8702
67.749029 76.083 -179.0646
68.115240 76.073 -179.2577
68.481451 76.063 -179.4499
68.847662 76.053 -179.6410
69.213873 76.043 -179.8306
69.580084 76.033 179.9812
69.946295 76.023 179.7942
70.312506 76.012 179.6082
70.678717 76.001 179.4235
71.044928 75.990 179.2406
71.411139 75.978 179.0601
71.777350 75.966 178.8818
72.143561 75.955 178.7059
72.509771 75.943 178.5320
72.875982 75.931 178.3598
73.242193 75.920 178.1887
73.608404 75.909 178.0172
73.974615 75.897 177.8447
74.340826 75.886 177.6717
74.707037 75.873 177.5009
75.073248 75.861 177.3358
75.439459 75.848 177.1785
75.805670 75.837 177.0272
76.171881 75.827 176.8761
76.538092 75.818 176.7187
76.904303 75.809 176.5514
77.270514 75.799 176.3762
77.636725 75.788 176.1999
78.002936 75.775 176.0304
78.369147 75.761 175.8720
78.735358 75.749 175.7233
79.101569 75.737 175.5786
79.467780 75.727 175.4315
79.833991 75.717 175.2785
80.200202 75.706 175.1205
80.566413 75.695 174.9610
80.932624 75.684 174.8041
81.298835 75.672 174.6521
81.665046 75.660 174.5055
82.031257 75.649 174.3631
82.397468 75.638 174.2223
82.763679 75.629 174.0800
83.129890 75.620 173.9332
83.496101 75.611 173.7800
83.862311 75.601 173.6211
84.228522 75.590 173.4606
84.594733 75.578 173.3039
84.960944 75.565 173.1562
85.327155 75.551 173.0193
85.693366 75.538 172.8912
86.059577 75.526 172.7670
86.425788 75.516 172.6420
86.791999 75.505 172.5135
87.158210 75.494 172.3823
87.524421 75.483 172.2512
87.890632 75.471 172.1227
88.256843 75.459 171.9979
88.623054 75.448 171.8754
88.989265 75.437 171.7529
89.355476 75.426 171.6285
89.721687 75.415 171.5018
90.087898 75.404 171.3742
90.454109 75.392 171.2476
90.820320 75.381 171.1232
91.186531 75.369 171.0009
91.552742 75.358 170.8789
91.918953 75.348 170.7552
92.285164 75.337 170.6283
92.651375 75.327 170.4984
93.017586 75.316 170.3672
93.383797 75.304 170.2366
93.750008 75.292 170.1086
94.116219 75.280 169.9839
94.482430 75.267 169.8629
94.848641 75.255 169.7450
95.214851 75.243 169.6298
95.581062 75.231 169.5172
95.947273 75.219 169.4067
96.313484 75.207 169.2979
96.679695 75.196 169.1904
97.045906 75.185 169.0837
97.412117 75.173 168.9774
97.778328 75.162 168.8717
98.144539 75.151 168.7670
98.510750 75.140 168.6631
98.876961 75.130 168.5599
99.243172 75.119 168.4562
99.609383 75.109 168.3506
99.975594 75.099 168.2420
100.341805 75.088 168.1305
100.708016 75.077 168.0171
101.074227 75.066 167.9043
101.440438 75.053 167.7940
101.806649 75.041 167.6874
102.172860 75.029 167.5836
102.539071 75.017 167.4807
102.905282 75.006 167.3772
103.271493 74.994 167.2729
103.637704 74.982 167.1699
104.003915 74.969 167.0705
104.370126 74.957 166.9763
104.736337 74.945 166.8862
105.102548 74.934 166.7975
105.468759 74.923 166.7066
105.834970 74.913 166.6120
106.201180 74.902 166.5148
106.567391 74.891 166.4182
106.933602 74.879 166.3258
107.299813 74.866 166.2390
107.666024 74.855 166.1567
108.032235 74.844 166.0759
108.398446 74.834 165.9934
108.764657 74.823 165.9077
109.130868 74.813 165.8192
109.497079 74.802 165.7296
109.863290 74.791 165.6406
110.229501 74.780 165.5529
110.595712 74.770 165.4658
110.961923 74.759 165.3782
111.328134 74.748 165.2895
111.694345 74.737 165.1997
112.060556 74.726 165.1099
112.426767 74.714 165.0212
112.792978 74.703 164.9344
113.159189 74.691 164.8495
113.525400 74.680 164.7655
113.891611 74.669 164.6814
114.257822 74.658 164.5965
114.624033 74.647 164.5106
114.990244 74.635 164.4245
115.356455 74.624 164.3394
115.722666 74.611 164.2567
116.088877 74.599 164.1772
116.455088 74.587 164.1012
116.821299 74.575 164.0280
117.187510 74.563 163.9565
117.553720 74.551 163.8859
117.919931 74.540 163.8154
118.286142 74.529 163.7445
118.652353 74.519 163.6729
119.018564 74.508 163.6004
119.384775 74.498 163.5266
119.750986 74.487 163.4515
120.117197 74.477 163.3751
120.483408 74.467 163.2981
120.849619 74.456 163.2209
121.215830 74.446 163.1437
121.582041 74.436 163.0665
121.948252 74.425 162.9890
122.314463 74.415 162.9110
122.680674 74.404 162.8326
123.046885 74.394 162.7545
123.413096 74.383 162.6776
123.779307 74.371 162.6028
124.145518 74.360 162.5309
124.511729 74.348 162.4620
124.877940 74.337 162.3962
125.244151 74.326 162.3336
125.610362 74.316 162.2732
125.976573 74.305 162.2142
126.342784 74.296 162.1553
126.708995 74.286 162.0958
127.075206 74.276 162.0351
127.441417 74.267 161.9738
127.807628 74.257 161.9125
128.173839 74.247 161.8519
128.540049 74.238 161.7918
128.906260 74.228 161.7319
129.272471 74.219 161.6713
129.638682 74.209 161.6097
130.004893 74.200 161.5468
130.371104 74.191 161.4828
130.737315 74.182 161.4177
131.103526 74.173 161.3517
131.469737 74.164 161.2851
131.835948 74.155 161.2183
132.202159 74.146 161.1520
132.568370 74.136 161.0870
132.934581 74.126 161.0239
133.300792 74.117 160.9625
133.667003 74.107 160.9026
134.033214 74.098 160.8438
134.399425 74.088 160.7854
134.765636 74.078 160.7277
135.131847 74.069 160.6709
135.498058 74.059 160.6155
135.864269 74.048 160.5621
136.230480 74.038 160.5108
136.596691 74.028 160.4613
136.962902 74.018 160.4129
137.329113 74.008 160.3647
137.695324 73.999 160.3154
138.061535 73.990 160.2645
138.427746 73.980 160.2114
138.793957 73.971 160.1567
139.160168 73.962 160.1010
139.526379 73.952 160.0453
139.892589 73.942 159.9903
140.258800 73.933 159.9363
140.625011 73.923 159.8834
140.991222 73.914 159.8310
141.357433 73.905 159.7788
141.723644 73.897 159.7265
142.089855 73.888 159.6740
142.456066 73.880 159.6212
142.822277 73.872 159.5684
143.188488 73.864 159.5156
143.554699 73.855 159.4631
143.920910 73.847 159.4111
144.287121 73.838 159.3599
144.653332 73.830 159.3099
145.019543 73.820 159.2615
145.385754 73.811 159.2150
145.751965 73.802 159.1703
146.118176 73.792 159.1274
146.484387 73.782 159.0858
146.850598 73.772 159.0452
147.216809 73.762 159.0054
147.583020 73.752 158.9662
147.949231 73.742 158.9275
