* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 8:17:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS3f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.198 -24.7127
0.732422 66.227 -49.3428
1.098633 62.303 -73.6367
1.464844 53.757 -95.6455
1.831055 48.345 46.5329
2.197266 58.193 27.9979
2.563477 61.004 5.3974
2.929688 61.552 -15.5117
3.295899 60.755 -31.7059
3.662110 59.329 -38.2336
4.028321 58.967 -32.9978
4.394532 60.737 -28.9917
4.760743 62.985 -34.0564
5.126954 64.654 -43.4759
5.493164 65.655 -52.7240
5.859375 66.219 -59.2850
6.225586 66.707 -62.4809
6.591797 67.421 -63.7281
6.958008 68.352 -65.2829
7.324219 69.268 -68.0888
7.690430 69.994 -71.5877
8.056641 70.509 -74.8262
8.422852 70.907 -77.2685
8.789063 71.293 -79.0513
9.155274 71.707 -80.7111
9.521485 72.117 -82.6456
9.887696 72.472 -84.8521
10.253907 72.687 -87.0926
10.620118 72.829 -89.1853
10.986329 72.959 -91.1411
11.352540 73.093 -93.0859
11.718751 73.221 -95.0973
12.084962 73.332 -97.1364
12.451173 73.431 -99.1134
12.817384 73.572 -100.9873
13.183595 73.726 -102.7910
13.549806 73.880 -104.5733
13.916017 74.024 -106.3329
14.282228 74.155 -108.0194
14.648439 74.277 -109.5894
15.014650 74.397 -111.0528
15.380861 74.514 -112.4606
15.747072 74.625 -113.8514
16.113283 74.725 -115.2142
16.479493 74.817 -116.5047
16.845704 74.899 -117.6935
17.211915 74.976 -118.7976
17.578126 75.053 -119.8686
17.944337 75.128 -120.9532
18.310548 75.195 -122.0649
18.676759 75.251 -123.1870
19.042970 75.298 -124.2955
19.409181 75.337 -125.3763
19.775392 75.372 -126.4270
20.141603 75.407 -127.4514
20.507814 75.444 -128.4564
20.874025 75.483 -129.4533
21.240236 75.522 -130.4526
21.606447 75.559 -131.4533
21.972658 75.591 -132.4353
22.338869 75.619 -133.3682
22.705080 75.646 -134.2330
23.071291 75.678 -135.0390
23.437502 75.716 -135.8200
23.803713 75.757 -136.6100
24.169924 75.797 -137.4195
24.536135 75.829 -138.2307
24.902346 75.854 -139.0149
25.268557 75.875 -139.7554
25.634768 75.894 -140.4580
26.000979 75.914 -141.1441
26.367190 75.933 -141.8339
26.733401 75.948 -142.5333
27.099612 75.956 -143.2323
27.465823 75.959 -143.9122
27.832033 75.957 -144.5563
28.198244 75.955 -145.1593
28.564455 75.956 -145.7311
28.930666 75.961 -146.2939
29.296877 75.970 -146.8705
29.663088 75.980 -147.4706
30.029299 75.987 -148.0852
30.395510 75.989 -148.6925
30.761721 75.990 -149.2737
31.127932 75.991 -149.8262
31.494143 75.995 -150.3634
31.860354 76.000 -150.9022
32.226565 76.005 -151.4474
32.592776 76.006 -151.9884
32.958987 76.004 -152.5083
33.325198 76.001 -152.9982
33.691409 76.000 -153.4648
34.057620 76.001 -153.9249
34.423831 76.003 -154.3928
34.790042 76.003 -154.8702
35.156253 76.000 -155.3466
35.522464 75.994 -155.8081
35.888675 75.988 -156.2477
36.254886 75.983 -156.6701
36.621097 75.980 -157.0884
36.987308 75.978 -157.5154
37.353519 75.976 -157.9550
37.719730 75.971 -158.3989
38.085941 75.963 -158.8310
38.452152 75.954 -159.2378
38.818363 75.945 -159.6169
39.184573 75.940 -159.9795
39.550784 75.939 -160.3438
39.916995 75.939 -160.7240
40.283206 75.939 -161.1214
40.649417 75.936 -161.5253
41.015628 75.931 -161.9212
41.381839 75.924 -162.3002
41.748050 75.917 -162.6630
42.114261 75.911 -163.0174
42.480472 75.905 -163.3708
42.846683 75.899 -163.7260
43.212894 75.892 -164.0806
43.579105 75.885 -164.4310
43.945316 75.877 -164.7757
44.311527 75.869 -165.1155
44.677738 75.861 -165.4517
45.043949 75.853 -165.7845
45.410160 75.844 -166.1122
45.776371 75.836 -166.4334
46.142582 75.827 -166.7482
46.508793 75.820 -167.0584
46.875004 75.813 -167.3665
47.241215 75.806 -167.6733
47.607426 75.798 -167.9783
47.973637 75.791 -168.2794
48.339848 75.783 -168.5759
48.706059 75.776 -168.8685
49.072270 75.769 -169.1596
49.438481 75.761 -169.4506
49.804692 75.753 -169.7402
50.170902 75.743 -170.0247
50.537113 75.733 -170.3006
50.903324 75.724 -170.5670
51.269535 75.715 -170.8269
51.635746 75.707 -171.0855
52.001957 75.699 -171.3464
52.368168 75.691 -171.6100
52.734379 75.683 -171.8734
53.100590 75.674 -172.1335
53.466801 75.665 -172.3892
53.833012 75.656 -172.6424
54.199223 75.648 -172.8957
54.565434 75.639 -173.1508
54.931645 75.630 -173.4064
55.297856 75.620 -173.6592
55.664067 75.609 -173.9049
56.030278 75.599 -174.1413
56.396489 75.589 -174.3693
56.762700 75.580 -174.5935
57.128911 75.572 -174.8204
57.495122 75.565 -175.0554
57.861333 75.557 -175.2989
58.227544 75.547 -175.5456
58.593755 75.535 -175.7861
58.959966 75.523 -176.0121
59.326177 75.510 -176.2213
59.692388 75.500 -176.4189
60.058599 75.492 -176.6149
60.424810 75.485 -176.8185
60.791021 75.479 -177.0333
61.157232 75.472 -177.2564
61.523442 75.464 -177.4808
61.889653 75.454 -177.7003
62.255864 75.444 -177.9122
62.622075 75.435 -178.1176
62.988286 75.425 -178.3196
63.354497 75.415 -178.5204
63.720708 75.405 -178.7198
64.086919 75.394 -178.9164
64.453130 75.383 -179.1090
64.819341 75.372 -179.2981
65.185552 75.362 -179.4861
65.551763 75.352 -179.6753
65.917974 75.341 -179.8663
66.284185 75.330 179.9422
66.650396 75.318 179.7534
67.016607 75.305 179.5693
67.382818 75.293 179.3901
67.749029 75.281 179.2136
68.115240 75.270 179.0370
68.481451 75.260 178.8585
68.847662 75.249 178.6783
69.213873 75.238 178.4979
69.580084 75.226 178.3191
69.946295 75.215 178.1431
70.312506 75.203 177.9703
70.678717 75.192 177.8006
71.044928 75.181 177.6337
71.411139 75.171 177.4693
71.777350 75.160 177.3066
72.143561 75.150 177.1447
72.509771 75.140 176.9829
72.875982 75.130 176.8213
73.242193 75.120 176.6603
73.608404 75.110 176.5001
73.974615 75.099 176.3405
74.340826 75.089 176.1807
74.707037 75.077 176.0209
75.073248 75.065 175.8622
75.439459 75.053 175.7065
75.805670 75.040 175.5555
76.171881 75.027 175.4089
76.538092 75.015 175.2651
76.904303 75.002 175.1220
77.270514 74.990 174.9786
77.636725 74.978 174.8355
78.002936 74.966 174.6943
78.369147 74.953 174.5557
78.735358 74.942 174.4188
79.101569 74.931 174.2815
79.467780 74.920 174.1419
79.833991 74.910 173.9992
80.200202 74.899 173.8542
80.566413 74.888 173.7087
80.932624 74.877 173.5641
81.298835 74.865 173.4214
81.665046 74.854 173.2810
82.031257 74.843 173.1425
82.397468 74.832 173.0050
82.763679 74.821 172.8674
83.129890 74.810 172.7289
83.496101 74.798 172.5900
83.862311 74.786 172.4532
84.228522 74.773 172.3213
84.594733 74.760 172.1962
84.960944 74.748 172.0769
85.327155 74.737 171.9601
85.693366 74.726 171.8420
86.059577 74.716 171.7210
86.425788 74.705 171.5984
86.791999 74.695 171.4768
87.158210 74.684 171.3576
87.524421 74.673 171.2395
87.890632 74.664 171.1193
88.256843 74.654 170.9944
88.623054 74.644 170.8651
88.989265 74.632 170.7344
89.355476 74.620 170.6069
89.721687 74.607 170.4851
90.087898 74.595 170.3693
90.454109 74.582 170.2574
90.820320 74.571 170.1469
91.186531 74.559 170.0365
91.552742 74.548 169.9261
91.918953 74.536 169.8164
92.285164 74.525 169.7076
92.651375 74.514 169.5995
93.017586 74.502 169.4911
93.383797 74.491 169.3824
93.750008 74.480 169.2734
94.116219 74.469 169.1651
94.482430 74.458 169.0582
94.848641 74.447 168.9529
95.214851 74.436 168.8483
95.581062 74.425 168.7435
95.947273 74.415 168.6374
96.313484 74.404 168.5297
96.679695 74.393 168.4211
97.045906 74.382 168.3128
97.412117 74.371 168.2059
97.778328 74.360 168.1010
98.144539 74.349 167.9977
98.510750 74.337 167.8953
98.876961 74.326 167.7935
99.243172 74.315 167.6925
99.609383 74.304 167.5933
99.975594 74.292 167.4966
100.341805 74.280 167.4025
100.708016 74.269 167.3107
101.074227 74.258 167.2206
101.440438 74.247 167.1314
101.806649 74.235 167.0431
102.172860 74.224 166.9557
102.539071 74.213 166.8694
102.905282 74.202 166.7844
103.271493 74.190 166.7003
103.637704 74.179 166.6172
104.003915 74.167 166.5349
104.370126 74.156 166.4535
104.736337 74.145 166.3723
105.102548 74.134 166.2906
105.468759 74.123 166.2072
105.834970 74.112 166.1215
106.201180 74.102 166.0333
106.567391 74.091 165.9431
106.933602 74.079 165.8520
107.299813 74.068 165.7606
107.666024 74.056 165.6695
108.032235 74.044 165.5790
108.398446 74.033 165.4899
108.764657 74.021 165.4025
109.130868 74.009 165.3171
109.497079 73.997 165.2338
109.863290 73.986 165.1519
110.229501 73.974 165.0707
110.595712 73.963 164.9903
110.961923 73.952 164.9111
111.328134 73.940 164.8341
111.694345 73.929 164.7600
112.060556 73.918 164.6887
112.426767 73.907 164.6194
112.792978 73.896 164.5507
113.159189 73.886 164.4816
113.525400 73.875 164.4114
113.891611 73.865 164.3402
114.257822 73.854 164.2685
114.624033 73.843 164.1967
114.990244 73.832 164.1252
115.356455 73.821 164.0540
115.722666 73.810 163.9828
116.088877 73.799 163.9117
116.455088 73.788 163.8401
116.821299 73.777 163.7676
117.187510 73.766 163.6942
117.553720 73.755 163.6198
117.919931 73.744 163.5449
118.286142 73.733 163.4703
118.652353 73.721 163.3969
119.018564 73.710 163.3252
119.384775 73.699 163.2553
119.750986 73.688 163.1867
120.117197 73.678 163.1187
120.483408 73.667 163.0508
120.849619 73.657 162.9825
121.215830 73.646 162.9142
121.582041 73.636 162.8464
121.948252 73.625 162.7798
122.314463 73.613 162.7151
122.680674 73.602 162.6527
123.046885 73.591 162.5926
123.413096 73.580 162.5341
123.779307 73.569 162.4763
124.145518 73.558 162.4184
124.511729 73.548 162.3598
124.877940 73.538 162.3004
125.244151 73.527 162.2406
125.610362 73.517 162.1809
125.976573 73.507 162.1218
126.342784 73.497 162.0635
126.708995 73.487 162.0060
127.075206 73.478 161.9491
127.441417 73.468 161.8925
127.807628 73.459 161.8363
128.173839 73.450 161.7802
128.540049 73.441 161.7241
128.906260 73.432 161.6680
129.272471 73.424 161.6116
129.638682 73.415 161.5551
130.004893 73.406 161.4987
130.371104 73.397 161.4429
130.737315 73.388 161.3878
131.103526 73.379 161.3337
131.469737 73.370 161.2806
131.835948 73.361 161.2283
132.202159 73.351 161.1765
132.568370 73.342 161.1252
132.934581 73.332 161.0742
133.300792 73.323 161.0234
133.667003 73.313 160.9731
134.033214 73.303 160.9230
134.399425 73.293 160.8733
134.765636 73.283 160.8240
135.131847 73.273 160.7753
135.498058 73.263 160.7270
135.864269 73.253 160.6786
136.230480 73.244 160.6299
136.596691 73.235 160.5803
136.962902 73.226 160.5296
137.329113 73.217 160.4778
137.695324 73.208 160.4252
138.061535 73.199 160.3719
138.427746 73.190 160.3187
138.793957 73.181 160.2663
139.160168 73.171 160.2154
139.526379 73.162 160.1667
139.892589 73.153 160.1206
140.258800 73.144 160.0769
140.625011 73.135 160.0351
140.991222 73.126 159.9942
141.357433 73.118 159.9536
141.723644 73.109 159.9128
142.089855 73.100 159.8717
142.456066 73.092 159.8306
142.822277 73.083 159.7897
143.188488 73.073 159.7493
143.554699 73.064 159.7092
143.920910 73.055 159.6691
144.287121 73.045 159.6290
144.653332 73.036 159.5885
145.019543 73.026 159.5477
145.385754 73.016 159.5064
145.751965 73.007 159.4645
146.118176 72.997 159.4221
146.484387 72.987 159.3792
146.850598 72.978 159.3357
147.216809 72.968 159.2920
147.583020 72.959 159.2481
147.949231 72.950 159.2044
148.315442 72.940 159.1609
