* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 8:15:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS3f.Silver Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.803 162.9074
0.732422 57.240 145.4642
1.098633 54.388 126.7407
1.464844 49.736 103.0773
1.831055 43.182 55.9214
2.197266 43.584 -16.2157
2.563477 47.081 -40.0458
2.929688 49.348 -42.2441
3.295899 51.643 -37.8733
3.662110 54.120 -35.2027
4.028321 56.312 -36.0133
4.394532 58.008 -38.7452
4.760743 59.264 -41.7900
5.126954 60.238 -44.3055
5.493164 61.091 -46.2371
5.859375 61.916 -48.0483
6.225586 62.720 -50.2272
6.591797 63.463 -52.9201
6.958008 64.114 -55.9360
7.324219 64.680 -58.9744
7.690430 65.192 -61.8397
8.056641 65.686 -64.5245
8.422852 66.180 -67.1474
8.789063 66.665 -69.8167
9.155274 67.125 -72.5379
9.521485 67.546 -75.2187
9.887696 67.926 -77.7435
10.253907 68.208 -80.0464
10.620118 68.444 -82.1392
10.986329 68.675 -84.0862
11.352540 68.897 -85.9559
11.718751 69.105 -87.7856
12.084962 69.292 -89.5774
12.451173 69.459 -91.3150
12.817384 69.651 -92.9843
13.183595 69.833 -94.5821
13.549806 69.998 -96.1176
13.916017 70.151 -97.6067
14.282228 70.292 -99.0660
14.648439 70.423 -100.5081
15.014650 70.544 -101.9379
15.380861 70.655 -103.3523
15.747072 70.759 -104.7454
16.113283 70.862 -106.1143
16.479493 70.971 -107.4626
16.845704 71.077 -108.7967
17.211915 71.178 -110.1191
17.578126 71.272 -111.4216
17.944337 71.359 -112.6876
18.310548 71.441 -113.8994
18.676759 71.518 -115.0479
19.042970 71.594 -116.1365
19.409181 71.669 -117.1786
19.775392 71.743 -118.1910
20.141603 71.817 -119.1878
20.507814 71.889 -120.1768
20.874025 71.954 -121.1581
21.240236 72.010 -122.1243
21.606447 72.058 -123.0625
21.972658 72.099 -123.9604
22.338869 72.136 -124.8139
22.705080 72.171 -125.6313
23.071291 72.206 -126.4302
23.437502 72.240 -127.2268
23.803713 72.272 -128.0253
24.169924 72.301 -128.8165
24.536135 72.327 -129.5867
24.902346 72.353 -130.3312
25.268557 72.382 -131.0605
25.634768 72.414 -131.7935
26.000979 72.445 -132.5424
26.367190 72.472 -133.3006
26.733401 72.493 -134.0449
27.099612 72.511 -134.7509
27.465823 72.527 -135.4095
27.832033 72.547 -136.0329
28.198244 72.569 -136.6452
28.564455 72.592 -137.2651
28.930666 72.612 -137.8941
29.296877 72.628 -138.5191
29.663088 72.639 -139.1239
30.029299 72.647 -139.7013
30.395510 72.655 -140.2559
30.761721 72.663 -140.7977
31.127932 72.670 -141.3329
31.494143 72.676 -141.8616
31.860354 72.681 -142.3804
32.226565 72.686 -142.8894
32.592776 72.692 -143.3942
32.958987 72.699 -143.9029
33.325198 72.705 -144.4200
33.691409 72.711 -144.9432
34.057620 72.714 -145.4644
34.423831 72.715 -145.9735
34.790042 72.715 -146.4624
35.156253 72.714 -146.9274
35.522464 72.716 -147.3704
35.888675 72.719 -147.7992
36.254886 72.726 -148.2254
36.621097 72.734 -148.6593
36.987308 72.740 -149.1041
37.353519 72.744 -149.5523
37.719730 72.745 -149.9896
38.085941 72.744 -150.4040
38.452152 72.743 -150.7948
38.818363 72.744 -151.1739
39.184573 72.746 -151.5588
39.550784 72.748 -151.9603
39.916995 72.747 -152.3743
40.283206 72.741 -152.7840
40.649417 72.732 -153.1703
41.015628 72.722 -153.5238
41.381839 72.714 -153.8491
41.748050 72.710 -154.1621
42.114261 72.708 -154.4792
42.480472 72.708 -154.8098
42.846683 72.708 -155.1531
43.212894 72.707 -155.5020
43.579105 72.704 -155.8491
43.945316 72.701 -156.1910
44.311527 72.697 -156.5284
44.677738 72.694 -156.8633
45.043949 72.690 -157.1957
45.410160 72.685 -157.5218
45.776371 72.679 -157.8364
46.142582 72.674 -158.1367
46.508793 72.670 -158.4251
46.875004 72.667 -158.7085
47.241215 72.666 -158.9947
47.607426 72.666 -159.2879
47.973637 72.665 -159.5870
48.339848 72.662 -159.8866
48.706059 72.659 -160.1817
49.072270 72.655 -160.4700
49.438481 72.650 -160.7521
49.804692 72.645 -161.0294
50.170902 72.640 -161.3020
50.537113 72.635 -161.5687
50.903324 72.630 -161.8295
51.269535 72.626 -162.0861
51.635746 72.622 -162.3417
52.001957 72.617 -162.5986
52.368168 72.613 -162.8568
52.734379 72.608 -163.1138
53.100590 72.602 -163.3670
53.466801 72.596 -163.6150
53.833012 72.590 -163.8576
54.199223 72.584 -164.0956
54.565434 72.579 -164.3298
54.931645 72.574 -164.5622
55.297856 72.571 -164.7960
55.664067 72.567 -165.0344
56.030278 72.564 -165.2785
56.396489 72.560 -165.5251
56.762700 72.554 -165.7684
57.128911 72.548 -166.0035
57.495122 72.542 -166.2299
57.861333 72.537 -166.4521
58.227544 72.533 -166.6760
58.593755 72.528 -166.9038
58.959966 72.522 -167.1322
59.326177 72.515 -167.3544
59.692388 72.507 -167.5656
60.058599 72.499 -167.7664
60.424810 72.493 -167.9617
60.791021 72.487 -168.1576
61.157232 72.481 -168.3561
61.523442 72.474 -168.5549
61.889653 72.467 -168.7497
62.255864 72.459 -168.9383
62.622075 72.452 -169.1219
62.988286 72.445 -169.3042
63.354497 72.439 -169.4886
63.720708 72.432 -169.6761
64.086919 72.425 -169.8655
64.453130 72.418 -170.0554
64.819341 72.411 -170.2455
65.185552 72.405 -170.4360
65.551763 72.397 -170.6271
65.917974 72.390 -170.8174
66.284185 72.382 -171.0046
66.650396 72.374 -171.1866
67.016607 72.367 -171.3634
67.382818 72.360 -171.5370
67.749029 72.353 -171.7106
68.115240 72.347 -171.8863
68.481451 72.341 -172.0639
68.847662 72.334 -172.2413
69.213873 72.326 -172.4150
69.580084 72.318 -172.5826
69.946295 72.309 -172.7435
70.312506 72.301 -172.8993
70.678717 72.294 -173.0525
71.044928 72.287 -173.2054
71.411139 72.281 -173.3591
71.777350 72.274 -173.5141
72.143561 72.268 -173.6711
72.509771 72.261 -173.8305
72.875982 72.255 -173.9932
73.242193 72.247 -174.1586
73.608404 72.239 -174.3245
73.974615 72.230 -174.4875
74.340826 72.220 -174.6443
74.707037 72.211 -174.7933
75.073248 72.201 -174.9358
75.439459 72.193 -175.0749
75.805670 72.186 -175.2138
76.171881 72.179 -175.3539
76.538092 72.172 -175.4949
76.904303 72.166 -175.6355
77.270514 72.159 -175.7759
77.636725 72.154 -175.9185
78.002936 72.149 -176.0666
78.369147 72.143 -176.2220
78.735358 72.137 -176.3831
79.101569 72.128 -176.5446
79.467780 72.118 -176.7001
79.833991 72.108 -176.8454
80.200202 72.097 -176.9802
80.566413 72.087 -177.1082
80.932624 72.078 -177.2340
81.298835 72.070 -177.3610
81.665046 72.062 -177.4897
82.031257 72.053 -177.6189
82.397468 72.045 -177.7469
82.763679 72.036 -177.8734
83.129890 72.027 -177.9992
83.496101 72.019 -178.1247
83.862311 72.010 -178.2492
84.228522 72.001 -178.3715
84.594733 71.992 -178.4903
84.960944 71.984 -178.6061
85.327155 71.977 -178.7208
85.693366 71.970 -178.8373
86.059577 71.964 -178.9574
86.425788 71.959 -179.0819
86.791999 71.953 -179.2101
87.158210 71.946 -179.3404
87.524421 71.940 -179.4713
87.890632 71.932 -179.6013
88.256843 71.925 -179.7293
88.623054 71.917 -179.8546
88.989265 71.910 -179.9772
89.355476 71.902 179.9026
89.721687 71.895 179.7838
90.087898 71.887 179.6661
90.454109 71.879 179.5500
90.820320 71.871 179.4368
91.186531 71.863 179.3277
91.552742 71.855 179.2230
91.918953 71.848 179.1215
92.285164 71.841 179.0209
92.651375 71.834 178.9189
93.017586 71.827 178.8143
93.383797 71.821 178.7072
93.750008 71.814 178.5992
94.116219 71.806 178.4917
94.482430 71.798 178.3856
94.848641 71.790 178.2807
95.214851 71.782 178.1764
95.581062 71.774 178.0723
95.947273 71.766 177.9681
96.313484 71.758 177.8646
96.679695 71.749 177.7622
97.045906 71.741 177.6613
97.412117 71.732 177.5617
97.778328 71.724 177.4628
98.144539 71.716 177.3640
98.510750 71.708 177.2652
98.876961 71.700 177.1662
99.243172 71.692 177.0675
99.609383 71.683 176.9695
99.975594 71.675 176.8727
100.341805 71.667 176.7773
100.708016 71.659 176.6832
101.074227 71.651 176.5898
101.440438 71.644 176.4967
101.806649 71.636 176.4038
102.172860 71.628 176.3115
102.539071 71.620 176.2206
102.905282 71.612 176.1317
103.271493 71.605 176.0441
103.637704 71.597 175.9569
104.003915 71.590 175.8687
104.370126 71.583 175.7786
104.736337 71.576 175.6873
105.102548 71.568 175.5959
105.468759 71.560 175.5060
105.834970 71.552 175.4180
106.201180 71.544 175.3317
106.567391 71.536 175.2460
106.933602 71.528 175.1599
107.299813 71.521 175.0729
107.666024 71.513 174.9855
108.032235 71.504 174.8984
108.398446 71.496 174.8126
108.764657 71.488 174.7286
109.130868 71.479 174.6466
109.497079 71.471 174.5663
109.863290 71.463 174.4871
110.229501 71.455 174.4081
110.595712 71.447 174.3287
110.961923 71.439 174.2484
111.328134 71.431 174.1675
111.694345 71.423 174.0865
112.060556 71.415 174.0062
112.426767 71.407 173.9269
112.792978 71.399 173.8487
113.159189 71.391 173.7711
113.525400 71.383 173.6939
113.891611 71.375 173.6169
114.257822 71.367 173.5403
114.624033 71.359 173.4646
114.990244 71.351 173.3898
115.356455 71.343 173.3160
115.722666 71.335 173.2427
116.088877 71.328 173.1694
116.455088 71.320 173.0958
116.821299 71.313 173.0221
117.187510 71.305 172.9485
117.553720 71.298 172.8751
117.919931 71.290 172.8018
118.286142 71.283 172.7286
118.652353 71.276 172.6552
119.018564 71.268 172.5812
119.384775 71.261 172.5068
119.750986 71.253 172.4322
120.117197 71.245 172.3575
120.483408 71.237 172.2830
120.849619 71.229 172.2088
121.215830 71.221 172.1352
121.582041 71.213 172.0624
121.948252 71.204 171.9909
122.314463 71.195 171.9214
122.680674 71.186 171.8544
123.046885 71.177 171.7903
123.413096 71.169 171.7291
123.779307 71.160 171.6701
124.145518 71.153 171.6123
124.511729 71.146 171.5543
124.877940 71.139 171.4954
125.244151 71.132 171.4351
125.610362 71.126 171.3738
125.976573 71.120 171.3121
126.342784 71.114 171.2505
126.708995 71.108 171.1893
127.075206 71.102 171.1284
127.441417 71.096 171.0675
127.807628 71.090 171.0064
128.173839 71.084 170.9453
128.540049 71.078 170.8843
128.906260 71.072 170.8237
129.272471 71.065 170.7632
129.638682 71.059 170.7024
130.004893 71.053 170.6407
130.371104 71.047 170.5780
130.737315 71.040 170.5146
131.103526 71.033 170.4512
131.469737 71.026 170.3882
131.835948 71.019 170.3261
132.202159 71.012 170.2645
132.568370 71.005 170.2034
132.934581 70.997 170.1426
133.300792 70.990 170.0826
133.667003 70.982 170.0241
134.033214 70.975 169.9677
134.399425 70.967 169.9138
134.765636 70.960 169.8619
135.131847 70.953 169.8116
135.498058 70.947 169.7620
135.864269 70.940 169.7125
136.230480 70.934 169.6627
136.596691 70.929 169.6127
136.962902 70.923 169.5624
137.329113 70.917 169.5121
137.695324 70.911 169.4617
138.061535 70.906 169.4111
138.427746 70.900 169.3598
138.793957 70.894 169.3076
139.160168 70.889 169.2545
139.526379 70.882 169.2010
139.892589 70.876 169.1481
140.258800 70.869 169.0966
140.625011 70.861 169.0469
140.991222 70.854 168.9987
141.357433 70.847 168.9514
141.723644 70.840 168.9042
142.089855 70.833 168.8564
142.456066 70.827 168.8078
142.822277 70.820 168.7586
143.188488 70.813 168.7092
143.554699 70.806 168.6598
143.920910 70.799 168.6107
144.287121 70.792 168.5618
144.653332 70.785 168.5129
145.019543 70.778 168.4641
145.385754 70.772 168.4150
145.751965 70.765 168.3659
146.118176 70.759 168.3168
146.484387 70.752 168.2678
