* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 8:14:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS3f.Silver Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.961 -24.7346
0.732422 62.003 -49.4067
1.098633 58.114 -73.8217
1.464844 49.719 -96.4892
1.831055 43.523 48.1846
2.197266 53.741 28.8450
2.563477 56.594 6.1633
2.929688 57.144 -14.6951
3.295899 56.331 -30.7460
3.662110 54.892 -36.9986
4.028321 54.554 -31.5079
4.394532 56.350 -27.5973
4.760743 58.590 -32.8341
5.126954 60.237 -42.3470
5.493164 61.214 -51.6071
5.859375 61.758 -58.1003
6.225586 62.237 -61.1682
6.591797 62.956 -62.2903
6.958008 63.898 -63.7723
7.324219 64.824 -66.5424
7.690430 65.555 -70.0082
8.056641 66.076 -73.2019
8.422852 66.481 -75.5925
8.789063 66.873 -77.3276
9.155274 67.294 -78.9438
9.521485 67.708 -80.8289
9.887696 68.066 -82.9717
10.253907 68.287 -85.1365
10.620118 68.434 -87.1513
10.986329 68.573 -89.0358
11.352540 68.713 -90.9162
11.718751 68.848 -92.8657
12.084962 68.965 -94.8433
12.451173 69.070 -96.7635
12.817384 69.218 -98.5901
13.183595 69.375 -100.3545
13.549806 69.530 -102.0956
13.916017 69.674 -103.8019
14.282228 69.805 -105.4207
14.648439 69.929 -106.9167
15.014650 70.052 -108.3115
15.380861 70.174 -109.6619
15.747072 70.288 -111.0024
16.113283 70.390 -112.3138
16.479493 70.485 -113.5485
16.845704 70.571 -114.6812
17.211915 70.654 -115.7376
17.578126 70.736 -116.7736
17.944337 70.814 -117.8312
18.310548 70.882 -118.9119
18.676759 70.939 -119.9883
19.042970 70.986 -121.0341
19.409181 71.029 -122.0434
19.775392 71.071 -123.0290
20.141603 71.115 -124.0086
20.507814 71.160 -124.9933
20.874025 71.203 -125.9841
21.240236 71.241 -126.9705
21.606447 71.274 -127.9293
21.972658 71.303 -128.8324
22.338869 71.332 -129.6622
22.705080 71.366 -130.4288
23.071291 71.407 -131.1683
23.437502 71.453 -131.9192
23.803713 71.497 -132.6931
24.169924 71.533 -133.4655
24.536135 71.561 -134.1980
24.902346 71.585 -134.8718
25.268557 71.612 -135.5054
25.634768 71.641 -136.1378
26.000979 71.668 -136.7943
26.367190 71.687 -137.4645
26.733401 71.697 -138.1132
27.099612 71.704 -138.7129
27.465823 71.712 -139.2700
27.832033 71.726 -139.8214
28.198244 71.743 -140.4064
28.564455 71.759 -141.0372
28.930666 71.767 -141.6915
29.296877 71.767 -142.3308
29.663088 71.764 -142.9264
30.029299 71.761 -143.4751
30.395510 71.762 -143.9937
30.761721 71.767 -144.5033
31.127932 71.774 -145.0136
31.494143 71.781 -145.5204
31.860354 71.788 -146.0151
32.226565 71.795 -146.4944
32.592776 71.803 -146.9649
32.958987 71.813 -147.4374
33.325198 71.821 -147.9176
33.691409 71.826 -148.4001
34.057620 71.827 -148.8720
34.423831 71.825 -149.3211
34.790042 71.822 -149.7440
35.156253 71.820 -150.1466
35.522464 71.819 -150.5387
35.888675 71.818 -150.9272
36.254886 71.818 -151.3144
36.621097 71.818 -151.7019
36.987308 71.819 -152.0932
37.353519 71.819 -152.4925
37.719730 71.818 -152.8986
38.085941 71.814 -153.3016
38.452152 71.808 -153.6866
38.818363 71.801 -154.0441
39.184573 71.797 -154.3781
39.550784 71.798 -154.7057
39.916995 71.801 -155.0460
40.283206 71.806 -155.4084
40.649417 71.809 -155.7874
41.015628 71.808 -156.1678
41.381839 71.804 -156.5350
41.748050 71.797 -156.8820
42.114261 71.791 -157.2090
42.480472 71.784 -157.5194
42.846683 71.778 -157.8152
43.212894 71.773 -158.0980
43.579105 71.770 -158.3716
43.945316 71.769 -158.6438
44.311527 71.769 -158.9238
44.677738 71.770 -159.2176
45.043949 71.769 -159.5231
45.410160 71.766 -159.8315
45.776371 71.760 -160.1309
46.142582 71.754 -160.4137
46.508793 71.748 -160.6806
46.875004 71.744 -160.9400
47.241215 71.741 -161.2023
47.607426 71.739 -161.4736
47.973637 71.736 -161.7521
48.339848 71.731 -162.0295
48.706059 71.725 -162.2976
49.072270 71.718 -162.5537
49.438481 71.712 -162.8019
49.804692 71.708 -163.0489
50.170902 71.703 -163.2986
50.537113 71.698 -163.5493
50.903324 71.693 -163.7957
51.269535 71.687 -164.0341
51.635746 71.681 -164.2654
52.001957 71.677 -164.4939
52.368168 71.674 -164.7241
52.734379 71.670 -164.9570
53.100590 71.666 -165.1903
53.466801 71.662 -165.4212
53.833012 71.658 -165.6494
54.199223 71.653 -165.8762
54.565434 71.649 -166.1024
54.931645 71.643 -166.3261
55.297856 71.637 -166.5432
55.664067 71.630 -166.7500
56.030278 71.624 -166.9465
56.396489 71.619 -167.1362
56.762700 71.614 -167.3243
57.128911 71.611 -167.5146
57.495122 71.607 -167.7082
57.861333 71.603 -167.9044
58.227544 71.598 -168.1023
58.593755 71.593 -168.3017
58.959966 71.588 -168.5021
59.326177 71.581 -168.7022
59.692388 71.574 -168.8994
60.058599 71.567 -169.0911
60.424810 71.559 -169.2771
60.791021 71.552 -169.4590
61.157232 71.545 -169.6395
61.523442 71.539 -169.8207
61.889653 71.534 -170.0027
62.255864 71.528 -170.1853
62.622075 71.523 -170.3682
62.988286 71.517 -170.5525
63.354497 71.511 -170.7386
63.720708 71.505 -170.9256
64.086919 71.498 -171.1105
64.453130 71.490 -171.2906
64.819341 71.482 -171.4646
65.185552 71.474 -171.6338
65.551763 71.467 -171.8008
65.917974 71.459 -171.9668
66.284185 71.452 -172.1309
66.650396 71.444 -172.2908
67.016607 71.436 -172.4451
67.382818 71.428 -172.5945
67.749029 71.421 -172.7421
68.115240 71.415 -172.8911
68.481451 71.409 -173.0436
68.847662 71.404 -173.1999
69.213873 71.398 -173.3593
69.580084 71.391 -173.5204
69.946295 71.384 -173.6819
70.312506 71.377 -173.8427
70.678717 71.370 -174.0025
71.044928 71.362 -174.1618
71.411139 71.355 -174.3212
71.777350 71.346 -174.4806
72.143561 71.338 -174.6377
72.509771 71.329 -174.7897
72.875982 71.320 -174.9348
73.242193 71.311 -175.0744
73.608404 71.304 -175.2126
73.974615 71.297 -175.3531
74.340826 71.289 -175.4958
74.707037 71.281 -175.6363
75.073248 71.272 -175.7688
75.439459 71.263 -175.8912
75.805670 71.256 -176.0078
76.171881 71.250 -176.1264
76.538092 71.245 -176.2534
76.904303 71.239 -176.3881
77.270514 71.232 -176.5236
77.636725 71.224 -176.6519
78.002936 71.216 -176.7700
78.369147 71.209 -176.8829
78.735358 71.204 -176.9993
79.101569 71.199 -177.1255
79.467780 71.193 -177.2612
79.833991 71.186 -177.3998
80.200202 71.178 -177.5345
80.566413 71.170 -177.6630
80.932624 71.162 -177.7886
81.298835 71.155 -177.9165
81.665046 71.147 -178.0490
82.031257 71.138 -178.1829
82.397468 71.129 -178.3117
82.763679 71.119 -178.4309
83.129890 71.109 -178.5405
83.496101 71.102 -178.6459
83.862311 71.095 -178.7533
84.228522 71.089 -178.8667
84.594733 71.084 -178.9854
84.960944 71.077 -179.1059
85.327155 71.070 -179.2242
85.693366 71.063 -179.3385
86.059577 71.056 -179.4492
86.425788 71.049 -179.5577
86.791999 71.042 -179.6654
87.158210 71.035 -179.7723
87.524421 71.029 -179.8781
87.890632 71.022 -179.9823
88.256843 71.014 179.9149
88.623054 71.007 179.8131
88.989265 71.000 179.7117
89.355476 70.993 179.6105
89.721687 70.986 179.5092
90.087898 70.978 179.4078
90.454109 70.970 179.3060
90.820320 70.962 179.2039
91.186531 70.954 179.1021
91.552742 70.946 179.0014
91.918953 70.937 178.9027
92.285164 70.929 178.8063
92.651375 70.920 178.7117
93.017586 70.912 178.6178
93.383797 70.905 178.5235
93.750008 70.897 178.4286
94.116219 70.890 178.3336
94.482430 70.883 178.2394
94.848641 70.875 178.1465
95.214851 70.868 178.0543
95.581062 70.861 177.9620
95.947273 70.855 177.8690
96.313484 70.848 177.7757
96.679695 70.840 177.6835
97.045906 70.833 177.5933
97.412117 70.825 177.5055
97.778328 70.818 177.4189
98.144539 70.811 177.3321
98.510750 70.803 177.2436
98.876961 70.796 177.1531
99.243172 70.789 177.0611
99.609383 70.780 176.9687
99.975594 70.772 176.8765
100.341805 70.763 176.7854
100.708016 70.754 176.6959
101.074227 70.745 176.6088
101.440438 70.736 176.5244
101.806649 70.728 176.4424
102.172860 70.720 176.3613
102.539071 70.712 176.2792
102.905282 70.705 176.1949
103.271493 70.698 176.1080
103.637704 70.691 176.0198
104.003915 70.683 175.9326
104.370126 70.676 175.8479
104.736337 70.668 175.7668
105.102548 70.661 175.6889
105.468759 70.654 175.6131
105.834970 70.647 175.5382
106.201180 70.641 175.4633
106.567391 70.635 175.3877
106.933602 70.629 175.3109
107.299813 70.623 175.2326
107.666024 70.616 175.1532
108.032235 70.609 175.0737
108.398446 70.601 174.9956
108.764657 70.593 174.9202
109.130868 70.585 174.8476
109.497079 70.577 174.7768
109.863290 70.569 174.7061
110.229501 70.561 174.6341
110.595712 70.553 174.5609
110.961923 70.545 174.4877
111.328134 70.536 174.4161
111.694345 70.527 174.3470
112.060556 70.519 174.2796
112.426767 70.510 174.2127
112.792978 70.503 174.1451
113.159189 70.495 174.0766
113.525400 70.487 174.0079
113.891611 70.480 173.9398
114.257822 70.472 173.8721
114.624033 70.465 173.8044
114.990244 70.459 173.7357
115.356455 70.452 173.6658
115.722666 70.445 173.5955
116.088877 70.438 173.5257
116.455088 70.431 173.4572
116.821299 70.424 173.3901
117.187510 70.416 173.3242
117.553720 70.409 173.2592
117.919931 70.402 173.1948
118.286142 70.394 173.1313
118.652353 70.387 173.0687
119.018564 70.379 173.0070
119.384775 70.371 172.9464
119.750986 70.363 172.8870
120.117197 70.355 172.8289
120.483408 70.348 172.7720
120.849619 70.340 172.7148
121.215830 70.333 172.6560
121.582041 70.325 172.5944
121.948252 70.318 172.5303
122.314463 70.310 172.4650
122.680674 70.301 172.4005
123.046885 70.292 172.3380
123.413096 70.284 172.2775
123.779307 70.275 172.2184
124.145518 70.267 172.1599
124.511729 70.259 172.1020
124.877940 70.252 172.0450
125.244151 70.245 171.9894
125.610362 70.238 171.9349
125.976573 70.232 171.8807
126.342784 70.226 171.8260
126.708995 70.221 171.7705
127.075206 70.215 171.7146
127.441417 70.210 171.6589
127.807628 70.205 171.6035
128.173839 70.199 171.5482
128.540049 70.194 171.4926
128.906260 70.189 171.4362
129.272471 70.183 171.3797
129.638682 70.177 171.3235
130.004893 70.171 171.2685
130.371104 70.165 171.2148
130.737315 70.159 171.1623
131.103526 70.152 171.1107
131.469737 70.146 171.0600
131.835948 70.139 171.0103
132.202159 70.132 170.9615
132.568370 70.125 170.9135
132.934581 70.119 170.8656
133.300792 70.112 170.8174
133.667003 70.105 170.7689
134.033214 70.099 170.7202
134.399425 70.092 170.6718
134.765636 70.085 170.6240
135.131847 70.078 170.5767
135.498058 70.072 170.5298
135.864269 70.065 170.4827
136.230480 70.059 170.4357
136.596691 70.053 170.3889
136.962902 70.047 170.3422
137.329113 70.042 170.2953
137.695324 70.036 170.2477
138.061535 70.031 170.1987
138.427746 70.025 170.1485
138.793957 70.020 170.0977
139.160168 70.014 170.0474
139.526379 70.008 169.9986
139.892589 70.002 169.9518
140.258800 69.996 169.9067
140.625011 69.990 169.8627
140.991222 69.984 169.8190
141.357433 69.978 169.7756
141.723644 69.972 169.7326
142.089855 69.966 169.6901
142.456066 69.960 169.6481
142.822277 69.954 169.6063
143.188488 69.948 169.5643
143.554699 69.942 169.5221
143.920910 69.936 169.4798
144.287121 69.929 169.4380
144.653332 69.922 169.3970
145.019543 69.916 169.3567
145.385754 69.909 169.3166
145.751965 69.903 169.2761
146.118176 69.897 169.2348
146.484387 69.890 169.1926
