* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 8:39:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Black Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.158 -60.7988
0.732422 69.945 -112.2613
1.098633 71.468 -154.9885
1.464844 72.300 168.5284
1.831055 72.254 137.2251
2.197266 71.126 111.7740
2.563477 68.658 96.3494
2.929688 65.669 104.1175
3.295899 67.229 127.7838
3.662110 70.933 128.5889
4.028321 73.377 118.2067
4.394532 74.610 106.3463
4.760743 75.004 96.9658
5.126954 75.026 92.0533
5.493164 75.240 91.1685
5.859375 75.929 90.9759
6.225586 76.821 88.6622
6.591797 77.534 84.3612
6.958008 77.921 79.6489
7.324219 78.056 75.9217
7.690430 78.124 73.6550
8.056641 78.279 72.2384
8.422852 78.532 70.6393
8.789063 78.779 68.3767
9.155274 78.930 65.7253
9.521485 78.978 63.2273
9.887696 78.977 61.1864
10.253907 78.917 59.4951
10.620118 78.858 57.8384
10.986329 78.808 56.0292
11.352540 78.741 54.1255
11.718751 78.656 52.2834
12.084962 78.569 50.5724
12.451173 78.495 48.9348
12.817384 78.476 47.2971
13.183595 78.461 45.6720
13.549806 78.439 44.1407
13.916017 78.419 42.7498
14.282228 78.413 41.4512
14.648439 78.419 40.1512
15.014650 78.423 38.8113
15.380861 78.413 37.4864
15.747072 78.391 36.2633
16.113283 78.374 35.1721
16.479493 78.375 34.1582
16.845704 78.385 33.1381
17.211915 78.393 32.0770
17.578126 78.392 31.0079
17.944337 78.381 29.9840
18.310548 78.369 29.0226
18.676759 78.361 28.0948
19.042970 78.357 27.1627
19.409181 78.352 26.2159
19.775392 78.345 25.2728
20.141603 78.338 24.3523
20.507814 78.334 23.4537
20.874025 78.332 22.5654
21.240236 78.330 21.6851
21.606447 78.327 20.8260
21.972658 78.324 20.0016
22.338869 78.323 19.2081
22.705080 78.325 18.4280
23.071291 78.327 17.6500
23.437502 78.327 16.8827
23.803713 78.322 16.1461
24.169924 78.317 15.4502
24.536135 78.314 14.7830
24.902346 78.313 14.1208
25.268557 78.311 13.4503
25.634768 78.305 12.7775
26.000979 78.295 12.1200
26.367190 78.282 11.4895
26.733401 78.269 10.8829
27.099612 78.258 10.2892
27.465823 78.247 9.6991
27.832033 78.236 9.1097
28.198244 78.226 8.5206
28.564455 78.215 7.9305
28.930666 78.204 7.3400
29.296877 78.191 6.7544
29.663088 78.177 6.1837
30.029299 78.162 5.6342
30.395510 78.150 5.1033
30.761721 78.138 4.5816
31.127932 78.128 4.0615
31.494143 78.117 3.5440
31.860354 78.105 3.0360
32.226565 78.092 2.5431
32.592776 78.079 2.0641
32.958987 78.066 1.5947
33.325198 78.052 1.1317
33.691409 78.038 0.6759
34.057620 78.024 0.2285
34.423831 78.009 -0.2124
34.790042 77.994 -0.6508
35.156253 77.978 -1.0873
35.522464 77.961 -1.5184
35.888675 77.943 -1.9390
36.254886 77.926 -2.3496
36.621097 77.909 -2.7568
36.987308 77.893 -3.1677
37.353519 77.876 -3.5818
37.719730 77.858 -3.9904
38.085941 77.838 -4.3846
38.452152 77.819 -4.7634
38.818363 77.802 -5.1349
39.184573 77.787 -5.5096
39.550784 77.770 -5.8907
39.916995 77.753 -6.2719
40.283206 77.734 -6.6432
40.649417 77.715 -6.9993
41.015628 77.697 -7.3423
41.381839 77.679 -7.6785
41.748050 77.662 -8.0128
42.114261 77.645 -8.3461
42.480472 77.628 -8.6764
42.846683 77.610 -9.0026
43.212894 77.592 -9.3250
43.579105 77.574 -9.6448
43.945316 77.555 -9.9624
44.311527 77.536 -10.2764
44.677738 77.517 -10.5851
45.043949 77.497 -10.8870
45.410160 77.477 -11.1812
45.776371 77.458 -11.4686
46.142582 77.440 -11.7517
46.508793 77.422 -12.0343
46.875004 77.405 -12.3192
47.241215 77.387 -12.6063
47.607426 77.368 -12.8920
47.973637 77.349 -13.1717
48.339848 77.329 -13.4434
48.706059 77.310 -13.7086
49.072270 77.291 -13.9713
49.438481 77.272 -14.2339
49.804692 77.253 -14.4962
50.170902 77.233 -14.7556
50.537113 77.213 -15.0103
50.903324 77.194 -15.2606
51.269535 77.174 -15.5085
51.635746 77.155 -15.7553
52.001957 77.135 -16.0004
52.368168 77.115 -16.2419
52.734379 77.095 -16.4787
53.100590 77.076 -16.7111
53.466801 77.056 -16.9408
53.833012 77.037 -17.1693
54.199223 77.018 -17.3970
54.565434 76.999 -17.6232
54.931645 76.979 -17.8464
55.297856 76.959 -18.0660
55.664067 76.939 -18.2814
56.030278 76.919 -18.4922
56.396489 76.899 -18.6980
56.762700 76.879 -18.8984
57.128911 76.859 -19.0944
57.495122 76.841 -19.2882
57.861333 76.823 -19.4836
58.227544 76.805 -19.6834
58.593755 76.787 -19.8881
58.959966 76.767 -20.0944
59.326177 76.747 -20.2971
59.692388 76.725 -20.4924
60.058599 76.704 -20.6802
60.424810 76.684 -20.8640
60.791021 76.664 -21.0483
61.157232 76.644 -21.2351
61.523442 76.624 -21.4220
61.889653 76.602 -21.6053
62.255864 76.581 -21.7830
62.622075 76.560 -21.9563
62.988286 76.539 -22.1282
63.354497 76.518 -22.3005
63.720708 76.497 -22.4718
64.086919 76.475 -22.6390
64.453130 76.453 -22.8004
64.819341 76.432 -22.9580
65.185552 76.412 -23.1160
65.551763 76.392 -23.2773
65.917974 76.371 -23.4422
66.284185 76.351 -23.6075
66.650396 76.330 -23.7698
67.016607 76.308 -23.9279
67.382818 76.287 -24.0834
67.749029 76.267 -24.2393
68.115240 76.246 -24.3961
68.481451 76.225 -24.5529
68.847662 76.203 -24.7061
69.213873 76.182 -24.8534
69.580084 76.160 -24.9944
69.946295 76.139 -25.1310
70.312506 76.118 -25.2659
70.678717 76.098 -25.4011
71.044928 76.078 -25.5367
71.411139 76.058 -25.6718
71.777350 76.037 -25.8055
72.143561 76.017 -25.9376
72.509771 75.996 -26.0682
72.875982 75.975 -26.1976
73.242193 75.954 -26.3256
73.608404 75.933 -26.4515
73.974615 75.911 -26.5750
74.340826 75.890 -26.6963
74.707037 75.868 -26.8160
75.073248 75.847 -26.9348
75.439459 75.826 -27.0531
75.805670 75.805 -27.1714
76.171881 75.785 -27.2906
76.538092 75.764 -27.4117
76.904303 75.743 -27.5345
77.270514 75.722 -27.6570
77.636725 75.701 -27.7761
78.002936 75.679 -27.8893
78.369147 75.658 -27.9971
78.735358 75.638 -28.1029
79.101569 75.620 -28.2112
79.467780 75.601 -28.3251
79.833991 75.583 -28.4443
80.200202 75.564 -28.5658
80.566413 75.544 -28.6858
80.932624 75.524 -28.8015
81.298835 75.503 -28.9124
81.665046 75.483 -29.0187
82.031257 75.462 -29.1210
82.397468 75.442 -29.2198
82.763679 75.422 -29.3159
83.129890 75.403 -29.4108
83.496101 75.383 -29.5062
83.862311 75.364 -29.6029
84.228522 75.345 -29.7000
84.594733 75.325 -29.7953
84.960944 75.305 -29.8873
85.327155 75.285 -29.9756
85.693366 75.265 -30.0621
86.059577 75.246 -30.1499
86.425788 75.228 -30.2411
86.791999 75.209 -30.3363
87.158210 75.189 -30.4337
87.524421 75.169 -30.5300
87.890632 75.148 -30.6226
88.256843 75.127 -30.7098
88.623054 75.107 -30.7924
88.989265 75.087 -30.8722
89.355476 75.067 -30.9521
89.721687 75.048 -31.0341
90.087898 75.030 -31.1182
90.454109 75.011 -31.2035
90.820320 74.991 -31.2881
91.186531 74.972 -31.3702
91.552742 74.953 -31.4492
91.918953 74.933 -31.5260
92.285164 74.915 -31.6021
92.651375 74.896 -31.6788
93.017586 74.878 -31.7566
93.383797 74.859 -31.8346
93.750008 74.841 -31.9114
94.116219 74.822 -31.9858
94.482430 74.802 -32.0576
94.848641 74.784 -32.1277
95.214851 74.765 -32.1971
95.581062 74.746 -32.2670
95.947273 74.728 -32.3373
96.313484 74.709 -32.4075
96.679695 74.690 -32.4768
97.045906 74.671 -32.5448
97.412117 74.651 -32.6115
97.778328 74.632 -32.6769
98.144539 74.613 -32.7415
98.510750 74.594 -32.8058
98.876961 74.575 -32.8700
99.243172 74.557 -32.9346
99.609383 74.538 -32.9995
99.975594 74.520 -33.0649
100.341805 74.501 -33.1309
100.708016 74.482 -33.1969
101.074227 74.464 -33.2627
101.440438 74.445 -33.3276
101.806649 74.427 -33.3910
102.172860 74.408 -33.4528
102.539071 74.390 -33.5127
102.905282 74.372 -33.5712
103.271493 74.354 -33.6288
103.637704 74.336 -33.6860
104.003915 74.319 -33.7431
104.370126 74.301 -33.8000
104.736337 74.284 -33.8568
105.102548 74.266 -33.9128
105.468759 74.248 -33.9676
105.834970 74.231 -34.0210
106.201180 74.213 -34.0729
106.567391 74.196 -34.1239
106.933602 74.178 -34.1746
107.299813 74.161 -34.2252
107.666024 74.143 -34.2759
108.032235 74.125 -34.3261
108.398446 74.107 -34.3754
108.764657 74.089 -34.4233
109.130868 74.071 -34.4695
109.497079 74.053 -34.5140
109.863290 74.035 -34.5569
110.229501 74.018 -34.5985
110.595712 74.000 -34.6393
110.961923 73.983 -34.6799
111.328134 73.966 -34.7211
111.694345 73.950 -34.7639
112.060556 73.933 -34.8086
112.426767 73.917 -34.8552
112.792978 73.900 -34.9032
113.159189 73.883 -34.9514
113.525400 73.865 -34.9985
113.891611 73.847 -35.0433
114.257822 73.829 -35.0851
114.624033 73.812 -35.1241
114.990244 73.794 -35.1611
115.356455 73.777 -35.1974
115.722666 73.760 -35.2337
116.088877 73.743 -35.2706
116.455088 73.726 -35.3076
116.821299 73.709 -35.3444
117.187510 73.692 -35.3800
117.553720 73.676 -35.4143
117.919931 73.659 -35.4475
118.286142 73.642 -35.4803
118.652353 73.626 -35.5137
119.018564 73.610 -35.5485
119.384775 73.594 -35.5853
119.750986 73.578 -35.6238
120.117197 73.561 -35.6632
120.483408 73.545 -35.7021
120.849619 73.528 -35.7396
121.215830 73.511 -35.7751
121.582041 73.494 -35.8091
121.948252 73.478 -35.8425
122.314463 73.462 -35.8761
122.680674 73.446 -35.9104
123.046885 73.430 -35.9452
123.413096 73.413 -35.9797
123.779307 73.397 -36.0131
124.145518 73.381 -36.0444
124.511729 73.365 -36.0737
124.877940 73.349 -36.1010
125.244151 73.334 -36.1271
125.610362 73.320 -36.1527
125.976573 73.306 -36.1792
126.342784 73.292 -36.2070
126.708995 73.278 -36.2363
127.075206 73.264 -36.2665
127.441417 73.249 -36.2965
127.807628 73.235 -36.3254
128.173839 73.220 -36.3530
128.540049 73.206 -36.3792
128.906260 73.191 -36.4045
129.272471 73.176 -36.4299
129.638682 73.162 -36.4554
130.004893 73.147 -36.4813
130.371104 73.133 -36.5071
130.737315 73.118 -36.5328
131.103526 73.103 -36.5580
131.469737 73.089 -36.5824
131.835948 73.074 -36.6057
132.202159 73.059 -36.6277
132.568370 73.045 -36.6482
132.934581 73.031 -36.6676
133.300792 73.017 -36.6860
133.667003 73.003 -36.7040
134.033214 72.989 -36.7217
134.399425 72.976 -36.7395
134.765636 72.962 -36.7574
135.131847 72.949 -36.7755
135.498058 72.936 -36.7937
135.864269 72.923 -36.8119
136.230480 72.910 -36.8297
136.596691 72.896 -36.8467
136.962902 72.883 -36.8629
137.329113 72.869 -36.8785
137.695324 72.856 -36.8939
138.061535 72.843 -36.9099
138.427746 72.829 -36.9267
138.793957 72.816 -36.9443
139.160168 72.802 -36.9623
139.526379 72.789 -36.9801
139.892589 72.775 -36.9971
140.258800 72.761 -37.0134
140.625011 72.747 -37.0291
140.991222 72.733 -37.0444
141.357433 72.719 -37.0598
141.723644 72.705 -37.0751
142.089855 72.692 -37.0901
142.456066 72.678 -37.1044
142.822277 72.664 -37.1179
143.188488 72.651 -37.1304
143.554699 72.638 -37.1424
143.920910 72.625 -37.1541
144.287121 72.612 -37.1660
144.653332 72.599 -37.1785
