* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 8:38:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Black Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.264 -37.9669
0.732422 74.936 -79.9017
1.098633 73.536 -129.0602
1.464844 73.276 179.1219
1.831055 73.799 135.6042
2.197266 73.735 102.9983
2.563477 72.316 80.8681
2.929688 69.373 75.4914
3.295899 68.067 98.9048
3.662110 71.496 113.0995
4.028321 74.433 107.3664
4.394532 75.917 96.5163
4.760743 76.301 86.7131
5.126954 76.053 81.1197
5.493164 75.838 80.6795
5.859375 76.221 82.2626
6.225586 77.039 81.4464
6.591797 77.758 77.5328
6.958008 78.110 72.4120
7.324219 78.131 68.0729
7.690430 78.034 65.5306
8.056641 78.051 64.3616
8.422852 78.247 63.2090
8.789063 78.501 61.1875
9.155274 78.671 58.4991
9.521485 78.715 55.8707
9.887696 78.690 53.8217
10.253907 78.608 52.3260
10.620118 78.546 50.9868
10.986329 78.507 49.4929
11.352540 78.452 47.8581
11.718751 78.370 46.2739
12.084962 78.280 44.8467
12.451173 78.202 43.5115
12.817384 78.179 42.1557
13.183595 78.157 40.7701
13.549806 78.124 39.4465
13.916017 78.091 38.2477
14.282228 78.075 37.1175
14.648439 78.076 35.9345
15.014650 78.077 34.6461
15.380861 78.063 33.3267
15.747072 78.034 32.1020
16.113283 78.014 31.0263
16.479493 78.020 30.0358
16.845704 78.041 29.0222
17.211915 78.064 27.9409
17.578126 78.075 26.8430
17.944337 78.075 25.8130
18.310548 78.073 24.8867
18.676759 78.076 24.0300
19.042970 78.086 23.1860
19.409181 78.095 22.3290
19.775392 78.100 21.4739
20.141603 78.101 20.6418
20.507814 78.102 19.8325
20.874025 78.101 19.0333
21.240236 78.097 18.2423
21.606447 78.088 17.4752
21.972658 78.079 16.7432
22.338869 78.074 16.0312
22.705080 78.073 15.3052
23.071291 78.072 14.5444
23.437502 78.067 13.7637
23.803713 78.055 13.0011
24.169924 78.041 12.2836
24.536135 78.031 11.6045
24.902346 78.027 10.9352
25.268557 78.024 10.2549
25.634768 78.020 9.5687
26.000979 78.014 8.8979
26.367190 78.006 8.2568
26.733401 78.000 7.6410
27.099612 77.995 7.0364
27.465823 77.989 6.4355
27.832033 77.982 5.8416
28.198244 77.973 5.2614
28.564455 77.962 4.6950
28.930666 77.951 4.1383
29.296877 77.938 3.5897
29.663088 77.922 3.0546
30.029299 77.906 2.5377
30.395510 77.891 2.0355
30.761721 77.877 1.5360
31.127932 77.863 1.0297
31.494143 77.849 0.5173
31.860354 77.832 0.0087
32.226565 77.815 -0.4882
32.592776 77.798 -0.9752
32.958987 77.782 -1.4594
33.325198 77.766 -1.9438
33.691409 77.749 -2.4229
34.057620 77.731 -2.8875
34.423831 77.713 -3.3350
34.790042 77.697 -3.7715
35.156253 77.682 -4.2064
35.522464 77.667 -4.6422
35.888675 77.650 -5.0734
36.254886 77.633 -5.4923
36.621097 77.614 -5.8969
36.987308 77.597 -6.2921
37.353519 77.579 -6.6847
37.719730 77.562 -7.0770
38.085941 77.543 -7.4658
38.452152 77.522 -7.8458
38.818363 77.502 -8.2145
39.184573 77.482 -8.5735
39.550784 77.463 -8.9273
39.916995 77.445 -9.2817
40.283206 77.429 -9.6411
40.649417 77.412 -10.0063
41.015628 77.393 -10.3733
41.381839 77.373 -10.7338
41.748050 77.352 -11.0803
42.114261 77.332 -11.4120
42.480472 77.312 -11.7352
42.846683 77.294 -12.0591
43.212894 77.276 -12.3875
43.579105 77.256 -12.7157
43.945316 77.235 -13.0343
44.311527 77.213 -13.3372
44.677738 77.192 -13.6263
45.043949 77.172 -13.9100
45.410160 77.153 -14.1961
45.776371 77.135 -14.4865
46.142582 77.115 -14.7780
46.508793 77.095 -15.0668
46.875004 77.075 -15.3517
47.241215 77.054 -15.6336
47.607426 77.033 -15.9135
47.973637 77.012 -16.1904
48.339848 76.991 -16.4628
48.706059 76.969 -16.7299
49.072270 76.948 -16.9926
49.438481 76.927 -17.2522
49.804692 76.906 -17.5088
50.170902 76.885 -17.7618
50.537113 76.864 -18.0106
50.903324 76.844 -18.2551
51.269535 76.823 -18.4955
51.635746 76.803 -18.7319
52.001957 76.782 -18.9642
52.368168 76.762 -19.1934
52.734379 76.742 -19.4209
53.100590 76.723 -19.6487
53.466801 76.703 -19.8768
53.833012 76.682 -20.1037
54.199223 76.661 -20.3269
54.565434 76.639 -20.5449
54.931645 76.618 -20.7578
55.297856 76.596 -20.9673
55.664067 76.576 -21.1757
56.030278 76.555 -21.3850
56.396489 76.534 -21.5963
56.762700 76.513 -21.8083
57.128911 76.491 -22.0181
57.495122 76.468 -22.2209
57.861333 76.445 -22.4136
58.227544 76.422 -22.5972
58.593755 76.401 -22.7767
58.959966 76.381 -22.9587
59.326177 76.362 -23.1467
59.692388 76.341 -23.3397
60.058599 76.320 -23.5326
60.424810 76.298 -23.7208
60.791021 76.275 -23.9025
61.157232 76.253 -24.0796
61.523442 76.231 -24.2546
61.889653 76.209 -24.4290
62.255864 76.187 -24.6022
62.622075 76.165 -24.7734
62.988286 76.142 -24.9419
63.354497 76.120 -25.1077
63.720708 76.097 -25.2712
64.086919 76.075 -25.4335
64.453130 76.052 -25.5947
64.819341 76.030 -25.7556
65.185552 76.009 -25.9162
65.551763 75.986 -26.0759
65.917974 75.964 -26.2335
66.284185 75.942 -26.3873
66.650396 75.919 -26.5367
67.016607 75.897 -26.6823
67.382818 75.875 -26.8254
67.749029 75.854 -26.9679
68.115240 75.832 -27.1106
68.481451 75.811 -27.2536
68.847662 75.789 -27.3961
69.213873 75.767 -27.5371
69.580084 75.745 -27.6754
69.946295 75.722 -27.8110
70.312506 75.700 -27.9451
70.678717 75.678 -28.0793
71.044928 75.656 -28.2145
71.411139 75.633 -28.3499
71.777350 75.610 -28.4829
72.143561 75.586 -28.6115
72.509771 75.563 -28.7357
72.875982 75.541 -28.8582
73.242193 75.520 -28.9827
73.608404 75.498 -29.1111
73.974615 75.476 -29.2422
74.340826 75.454 -29.3723
74.707037 75.431 -29.4971
75.073248 75.408 -29.6147
75.439459 75.385 -29.7269
75.805670 75.364 -29.8369
76.171881 75.343 -29.9483
76.538092 75.322 -30.0620
76.904303 75.301 -30.1765
77.270514 75.280 -30.2889
77.636725 75.258 -30.3973
78.002936 75.237 -30.5018
78.369147 75.217 -30.6047
78.735358 75.197 -30.7090
79.101569 75.176 -30.8165
79.467780 75.156 -30.9263
79.833991 75.135 -31.0355
80.200202 75.113 -31.1407
80.566413 75.091 -31.2407
80.932624 75.070 -31.3365
81.298835 75.049 -31.4309
81.665046 75.028 -31.5267
82.031257 75.008 -31.6254
82.397468 74.988 -31.7262
82.763679 74.966 -31.8271
83.129890 74.945 -31.9263
83.496101 74.923 -32.0224
83.862311 74.902 -32.1154
84.228522 74.880 -32.2059
84.594733 74.859 -32.2950
84.960944 74.838 -32.3831
85.327155 74.816 -32.4701
85.693366 74.795 -32.5555
86.059577 74.774 -32.6390
86.425788 74.753 -32.7209
86.791999 74.733 -32.8020
87.158210 74.712 -32.8829
87.524421 74.692 -32.9642
87.890632 74.672 -33.0460
88.256843 74.652 -33.1279
88.623054 74.631 -33.2097
88.989265 74.611 -33.2911
89.355476 74.590 -33.3720
89.721687 74.570 -33.4520
90.087898 74.549 -33.5308
90.454109 74.528 -33.6080
90.820320 74.508 -33.6838
91.186531 74.487 -33.7583
91.552742 74.467 -33.8318
91.918953 74.447 -33.9050
92.285164 74.427 -33.9782
92.651375 74.407 -34.0521
93.017586 74.388 -34.1271
93.383797 74.368 -34.2029
93.750008 74.348 -34.2788
94.116219 74.328 -34.3533
94.482430 74.307 -34.4252
94.848641 74.287 -34.4941
95.214851 74.267 -34.5607
95.581062 74.248 -34.6260
95.947273 74.228 -34.6913
96.313484 74.209 -34.7566
96.679695 74.189 -34.8214
97.045906 74.170 -34.8845
97.412117 74.150 -34.9456
97.778328 74.131 -35.0046
98.144539 74.111 -35.0624
98.510750 74.092 -35.1196
98.876961 74.073 -35.1765
99.243172 74.054 -35.2327
99.609383 74.034 -35.2879
99.975594 74.015 -35.3420
100.341805 73.996 -35.3956
100.708016 73.977 -35.4493
101.074227 73.958 -35.5040
101.440438 73.940 -35.5599
101.806649 73.921 -35.6172
102.172860 73.902 -35.6753
102.539071 73.883 -35.7336
102.905282 73.864 -35.7919
103.271493 73.845 -35.8497
103.637704 73.826 -35.9067
104.003915 73.807 -35.9628
104.370126 73.789 -36.0178
104.736337 73.770 -36.0723
105.102548 73.751 -36.1266
105.468759 73.733 -36.1810
105.834970 73.715 -36.2357
106.201180 73.696 -36.2898
106.567391 73.678 -36.3424
106.933602 73.659 -36.3926
107.299813 73.640 -36.4397
107.666024 73.622 -36.4839
108.032235 73.603 -36.5260
108.398446 73.585 -36.5671
108.764657 73.567 -36.6080
109.130868 73.550 -36.6490
109.497079 73.532 -36.6895
109.863290 73.514 -36.7285
110.229501 73.496 -36.7662
110.595712 73.478 -36.8030
110.961923 73.461 -36.8403
111.328134 73.444 -36.8793
111.694345 73.427 -36.9205
112.060556 73.409 -36.9636
112.426767 73.392 -37.0074
112.792978 73.374 -37.0511
113.159189 73.356 -37.0936
113.525400 73.337 -37.1346
113.891611 73.319 -37.1740
114.257822 73.300 -37.2115
114.624033 73.282 -37.2472
114.990244 73.264 -37.2812
115.356455 73.246 -37.3141
115.722666 73.228 -37.3468
116.088877 73.211 -37.3799
116.455088 73.194 -37.4138
116.821299 73.177 -37.4481
117.187510 73.159 -37.4822
117.553720 73.142 -37.5153
117.919931 73.124 -37.5469
118.286142 73.107 -37.5769
118.652353 73.090 -37.6058
119.018564 73.073 -37.6344
119.384775 73.056 -37.6633
119.750986 73.039 -37.6931
120.117197 73.022 -37.7235
120.483408 73.005 -37.7541
120.849619 72.987 -37.7842
121.215830 72.970 -37.8130
121.582041 72.952 -37.8401
121.948252 72.935 -37.8657
122.314463 72.917 -37.8900
122.680674 72.900 -37.9138
123.046885 72.883 -37.9379
123.413096 72.867 -37.9629
123.779307 72.850 -37.9890
124.145518 72.834 -38.0162
124.511729 72.818 -38.0444
124.877940 72.802 -38.0734
125.244151 72.786 -38.1029
125.610362 72.770 -38.1328
125.976573 72.755 -38.1630
126.342784 72.740 -38.1934
126.708995 72.724 -38.2235
127.075206 72.709 -38.2530
127.441417 72.694 -38.2814
127.807628 72.679 -38.3083
128.173839 72.664 -38.3339
128.540049 72.649 -38.3578
128.906260 72.634 -38.3806
129.272471 72.620 -38.4025
129.638682 72.605 -38.4238
130.004893 72.591 -38.4448
130.371104 72.577 -38.4659
130.737315 72.563 -38.4872
131.103526 72.549 -38.5090
131.469737 72.535 -38.5310
131.835948 72.521 -38.5529
132.202159 72.506 -38.5741
132.568370 72.491 -38.5941
132.934581 72.476 -38.6125
133.300792 72.461 -38.6295
133.667003 72.446 -38.6455
134.033214 72.431 -38.6607
134.399425 72.416 -38.6755
134.765636 72.401 -38.6901
135.131847 72.386 -38.7043
135.498058 72.371 -38.7184
135.864269 72.356 -38.7325
136.230480 72.341 -38.7467
136.596691 72.326 -38.7612
136.962902 72.312 -38.7757
137.329113 72.297 -38.7897
137.695324 72.282 -38.8027
138.061535 72.267 -38.8143
138.427746 72.252 -38.8248
138.793957 72.238 -38.8345
139.160168 72.224 -38.8442
139.526379 72.210 -38.8544
139.892589 72.196 -38.8652
140.258800 72.182 -38.8766
140.625011 72.168 -38.8882
140.991222 72.154 -38.8995
141.357433 72.140 -38.9105
141.723644 72.126 -38.9209
142.089855 72.112 -38.9308
142.456066 72.098 -38.9404
142.822277 72.084 -38.9501
143.188488 72.071 -38.9598
143.554699 72.057 -38.9697
143.920910 72.043 -38.9797
144.287121 72.029 -38.9895
144.653332 72.016 -38.9989
