* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:39:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Blue Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 77.165 -37.5976
0.732422 75.892 -78.7909
1.098633 74.484 -126.5849
1.464844 74.047 -177.4390
1.831055 74.417 138.7403
2.197266 74.337 105.3734
2.563477 73.015 82.1952
2.929688 70.215 74.3382
3.295899 68.420 94.0714
3.662110 71.388 110.5392
4.028321 74.352 106.2733
4.394532 75.899 95.7839
4.760743 76.320 85.8288
5.126954 76.057 79.7987
5.493164 75.755 78.9763
5.859375 76.025 80.6438
6.225586 76.777 80.1999
6.591797 77.475 76.5406
6.958008 77.814 71.4589
7.324219 77.806 67.0277
7.690430 77.656 64.4125
8.056641 77.612 63.3189
8.422852 77.764 62.3693
8.789063 77.997 60.5448
9.155274 78.158 57.9649
9.521485 78.193 55.3697
9.887696 78.153 53.3372
10.253907 78.056 51.8917
10.620118 77.983 50.6401
10.986329 77.943 49.2399
11.352540 77.894 47.6772
11.718751 77.820 46.1385
12.084962 77.739 44.7409
12.451173 77.671 43.4296
12.817384 77.659 42.0948
13.183595 77.648 40.7256
13.549806 77.624 39.4155
13.916017 77.600 38.2339
14.282228 77.593 37.1313
14.648439 77.602 35.9870
15.014650 77.613 34.7419
15.380861 77.608 33.4618
15.747072 77.590 32.2672
16.113283 77.578 31.2132
16.479493 77.590 30.2419
16.845704 77.616 29.2514
17.211915 77.643 28.1995
17.578126 77.658 27.1348
17.944337 77.662 26.1342
18.310548 77.666 25.2263
18.676759 77.675 24.3727
19.042970 77.688 23.5187
19.409181 77.698 22.6476
19.775392 77.702 21.7849
20.141603 77.701 20.9582
20.507814 77.702 20.1655
20.874025 77.704 19.3824
21.240236 77.704 18.5938
21.606447 77.701 17.8080
21.972658 77.696 17.0403
22.338869 77.691 16.2893
22.705080 77.688 15.5365
23.071291 77.685 14.7673
23.437502 77.679 13.9901
23.803713 77.670 13.2280
24.169924 77.660 12.4941
24.536135 77.653 11.7783
24.902346 77.648 11.0614
25.268557 77.643 10.3388
25.634768 77.634 9.6283
26.000979 77.622 8.9536
26.367190 77.612 8.3203
26.733401 77.605 7.7112
27.099612 77.601 7.1022
27.465823 77.597 6.4845
27.832033 77.589 5.8677
28.198244 77.579 5.2660
28.564455 77.568 4.6846
28.930666 77.556 4.1168
29.296877 77.543 3.5560
29.663088 77.530 3.0016
30.029299 77.515 2.4570
30.395510 77.501 1.9219
30.761721 77.486 1.3899
31.127932 77.471 0.8562
31.494143 77.455 0.3239
31.860354 77.437 -0.1974
32.226565 77.419 -0.7015
32.592776 77.402 -1.1920
32.958987 77.387 -1.6790
33.325198 77.373 -2.1696
33.691409 77.358 -2.6619
34.057620 77.342 -3.1477
34.423831 77.324 -3.6204
34.790042 77.307 -4.0789
35.156253 77.289 -4.5256
35.522464 77.272 -4.9631
35.888675 77.255 -5.3922
36.254886 77.237 -5.8145
36.621097 77.220 -6.2333
36.987308 77.201 -6.6508
37.353519 77.181 -7.0631
37.719730 77.160 -7.4636
38.085941 77.139 -7.8483
38.452152 77.119 -8.2222
38.818363 77.100 -8.5972
39.184573 77.083 -8.9825
39.550784 77.064 -9.3781
39.916995 77.043 -9.7741
40.283206 77.020 -10.1594
40.649417 76.998 -10.5287
41.015628 76.976 -10.8844
41.381839 76.955 -11.2318
41.748050 76.935 -11.5741
42.114261 76.915 -11.9120
42.480472 76.896 -12.2454
42.846683 76.878 -12.5762
43.212894 76.860 -12.9066
43.579105 76.842 -13.2366
43.945316 76.822 -13.5635
44.311527 76.802 -13.8839
44.677738 76.781 -14.1963
45.043949 76.760 -14.5015
45.410160 76.739 -14.8005
45.776371 76.718 -15.0943
46.142582 76.697 -15.3836
46.508793 76.676 -15.6699
46.875004 76.655 -15.9547
47.241215 76.633 -16.2382
47.607426 76.611 -16.5181
47.973637 76.588 -16.7919
48.339848 76.566 -17.0590
48.706059 76.545 -17.3224
49.072270 76.524 -17.5867
49.438481 76.503 -17.8536
49.804692 76.482 -18.1218
50.170902 76.460 -18.3871
50.537113 76.438 -18.6460
50.903324 76.415 -18.8975
51.269535 76.393 -19.1421
51.635746 76.370 -19.3811
52.001957 76.349 -19.6154
52.368168 76.327 -19.8461
52.734379 76.306 -20.0750
53.100590 76.285 -20.3033
53.466801 76.263 -20.5306
53.833012 76.241 -20.7547
54.199223 76.219 -20.9745
54.565434 76.198 -21.1912
54.931645 76.176 -21.4080
55.297856 76.155 -21.6273
55.664067 76.133 -21.8478
56.030278 76.110 -22.0653
56.396489 76.086 -22.2753
56.762700 76.063 -22.4773
57.128911 76.041 -22.6747
57.495122 76.020 -22.8723
57.861333 75.998 -23.0728
58.227544 75.977 -23.2744
58.593755 75.955 -23.4726
58.959966 75.932 -23.6641
59.326177 75.910 -23.8484
59.692388 75.889 -24.0288
60.058599 75.868 -24.2101
60.424810 75.848 -24.3950
60.791021 75.827 -24.5833
61.157232 75.805 -24.7714
61.523442 75.783 -24.9548
61.889653 75.759 -25.1307
62.255864 75.736 -25.2994
62.622075 75.714 -25.4636
62.988286 75.691 -25.6265
63.354497 75.669 -25.7894
63.720708 75.646 -25.9518
64.086919 75.623 -26.1123
64.453130 75.600 -26.2704
64.819341 75.577 -26.4269
65.185552 75.554 -26.5833
65.551763 75.532 -26.7395
65.917974 75.509 -26.8949
66.284185 75.486 -27.0484
66.650396 75.463 -27.1996
67.016607 75.441 -27.3492
67.382818 75.418 -27.4982
67.749029 75.396 -27.6460
68.115240 75.373 -27.7921
68.481451 75.350 -27.9354
68.847662 75.327 -28.0765
69.213873 75.305 -28.2163
69.580084 75.283 -28.3557
69.946295 75.260 -28.4940
70.312506 75.237 -28.6300
70.678717 75.214 -28.7623
71.044928 75.192 -28.8912
71.411139 75.169 -29.0184
71.777350 75.147 -29.1456
72.143561 75.125 -29.2738
72.509771 75.103 -29.4021
72.875982 75.081 -29.5294
73.242193 75.058 -29.6550
73.608404 75.036 -29.7792
73.974615 75.014 -29.9030
74.340826 74.991 -30.0269
74.707037 74.968 -30.1497
75.073248 74.945 -30.2694
75.439459 74.921 -30.3846
75.805670 74.899 -30.4960
76.171881 74.876 -30.6057
76.538092 74.854 -30.7167
76.904303 74.833 -30.8303
77.270514 74.811 -30.9452
77.636725 74.788 -31.0585
78.002936 74.766 -31.1680
78.369147 74.744 -31.2742
78.735358 74.722 -31.3790
79.101569 74.701 -31.4847
79.467780 74.680 -31.5920
79.833991 74.659 -31.6996
80.200202 74.637 -31.8054
80.566413 74.616 -31.9080
80.932624 74.594 -32.0073
81.298835 74.573 -32.1041
81.665046 74.552 -32.1987
82.031257 74.531 -32.2911
82.397468 74.511 -32.3817
82.763679 74.491 -32.4714
83.129890 74.471 -32.5620
83.496101 74.451 -32.6542
83.862311 74.431 -32.7477
84.228522 74.411 -32.8411
84.594733 74.390 -32.9326
84.960944 74.369 -33.0214
85.327155 74.348 -33.1082
85.693366 74.327 -33.1937
86.059577 74.306 -33.2791
86.425788 74.285 -33.3643
86.791999 74.264 -33.4490
87.158210 74.243 -33.5333
87.524421 74.222 -33.6171
87.890632 74.201 -33.7002
88.256843 74.180 -33.7825
88.623054 74.159 -33.8635
88.989265 74.137 -33.9427
89.355476 74.116 -34.0203
89.721687 74.096 -34.0967
90.087898 74.075 -34.1724
90.454109 74.055 -34.2477
90.820320 74.034 -34.3223
91.186531 74.014 -34.3956
91.552742 73.993 -34.4672
91.918953 73.973 -34.5366
92.285164 73.953 -34.6046
92.651375 73.934 -34.6719
93.017586 73.914 -34.7391
93.383797 73.895 -34.8065
93.750008 73.876 -34.8739
94.116219 73.857 -34.9413
94.482430 73.837 -35.0084
94.848641 73.818 -35.0756
95.214851 73.799 -35.1428
95.581062 73.779 -35.2099
95.947273 73.760 -35.2762
96.313484 73.740 -35.3412
96.679695 73.720 -35.4044
97.045906 73.699 -35.4656
97.412117 73.679 -35.5249
97.778328 73.659 -35.5823
98.144539 73.640 -35.6378
98.510750 73.620 -35.6918
98.876961 73.601 -35.7450
99.243172 73.582 -35.7985
99.609383 73.564 -35.8534
99.975594 73.545 -35.9102
100.341805 73.527 -35.9689
100.708016 73.508 -36.0287
101.074227 73.490 -36.0885
101.440438 73.471 -36.1478
101.806649 73.452 -36.2061
102.172860 73.433 -36.2635
102.539071 73.414 -36.3207
102.905282 73.395 -36.3775
103.271493 73.376 -36.4337
103.637704 73.357 -36.4886
104.003915 73.338 -36.5417
104.370126 73.318 -36.5927
104.736337 73.299 -36.6415
105.102548 73.281 -36.6890
105.468759 73.262 -36.7355
105.834970 73.243 -36.7814
106.201180 73.225 -36.8268
106.567391 73.207 -36.8715
106.933602 73.189 -36.9155
107.299813 73.171 -36.9591
107.666024 73.153 -37.0026
108.032235 73.135 -37.0460
108.398446 73.117 -37.0895
108.764657 73.100 -37.1324
109.130868 73.082 -37.1744
109.497079 73.064 -37.2153
109.863290 73.046 -37.2552
110.229501 73.028 -37.2943
110.595712 73.010 -37.3329
110.961923 72.992 -37.3711
111.328134 72.975 -37.4088
111.694345 72.957 -37.4458
112.060556 72.940 -37.4824
112.426767 72.922 -37.5190
112.792978 72.905 -37.5565
113.159189 72.888 -37.5952
113.525400 72.871 -37.6349
113.891611 72.853 -37.6748
114.257822 72.835 -37.7139
114.624033 72.818 -37.7513
114.990244 72.800 -37.7866
115.356455 72.782 -37.8202
115.722666 72.764 -37.8527
116.088877 72.747 -37.8846
116.455088 72.730 -37.9167
116.821299 72.713 -37.9491
117.187510 72.696 -37.9819
117.553720 72.679 -38.0153
117.919931 72.662 -38.0490
118.286142 72.645 -38.0826
118.652353 72.628 -38.1158
119.018564 72.611 -38.1483
119.384775 72.593 -38.1796
119.750986 72.576 -38.2100
120.117197 72.559 -38.2397
120.483408 72.542 -38.2695
120.849619 72.525 -38.2994
121.215830 72.508 -38.3293
121.582041 72.491 -38.3591
121.948252 72.474 -38.3881
122.314463 72.457 -38.4163
122.680674 72.440 -38.4438
123.046885 72.424 -38.4709
123.413096 72.407 -38.4980
123.779307 72.390 -38.5251
124.145518 72.374 -38.5518
124.511729 72.358 -38.5777
124.877940 72.342 -38.6025
125.244151 72.326 -38.6260
125.610362 72.310 -38.6486
125.976573 72.295 -38.6705
126.342784 72.281 -38.6919
126.708995 72.266 -38.7127
127.075206 72.252 -38.7329
127.441417 72.238 -38.7526
127.807628 72.224 -38.7722
128.173839 72.210 -38.7919
128.540049 72.196 -38.8120
128.906260 72.182 -38.8324
129.272471 72.168 -38.8524
129.638682 72.154 -38.8717
130.004893 72.139 -38.8900
130.371104 72.125 -38.9073
130.737315 72.110 -38.9242
131.103526 72.096 -38.9409
131.469737 72.081 -38.9575
131.835948 72.066 -38.9739
132.202159 72.052 -38.9897
132.568370 72.037 -39.0052
132.934581 72.022 -39.0204
133.300792 72.008 -39.0358
133.667003 71.993 -39.0515
134.033214 71.979 -39.0677
134.399425 71.965 -39.0844
134.765636 71.950 -39.1008
135.131847 71.936 -39.1166
135.498058 71.922 -39.1316
135.864269 71.908 -39.1456
136.230480 71.894 -39.1589
136.596691 71.880 -39.1716
136.962902 71.867 -39.1840
137.329113 71.853 -39.1964
137.695324 71.840 -39.2090
138.061535 71.827 -39.2218
138.427746 71.814 -39.2347
138.793957 71.801 -39.2480
139.160168 71.788 -39.2616
139.526379 71.774 -39.2755
139.892589 71.761 -39.2896
140.258800 71.747 -39.3036
140.625011 71.733 -39.3171
140.991222 71.719 -39.3298
141.357433 71.705 -39.3417
141.723644 71.691 -39.3525
142.089855 71.677 -39.3628
142.456066 71.664 -39.3726
142.822277 71.650 -39.3823
143.188488 71.637 -39.3922
143.554699 71.624 -39.4025
143.920910 71.611 -39.4133
144.287121 71.598 -39.4249
144.653332 71.585 -39.4373
