* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:34:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Orange Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.880 -56.8365
0.732422 71.189 -107.4944
1.098633 72.419 -151.0401
1.464844 73.124 171.3370
1.831055 73.053 138.8803
2.197266 71.962 112.1033
2.563477 69.545 94.5087
2.929688 66.223 98.4753
3.295899 67.034 124.3037
3.662110 70.850 127.7520
4.028321 73.447 117.8194
4.394532 74.763 105.7604
4.760743 75.181 95.9486
5.126954 75.165 90.6007
5.493164 75.301 89.5800
5.859375 75.929 89.6117
6.225586 76.805 87.5498
6.591797 77.521 83.3142
6.958008 77.903 78.5009
7.324219 78.011 74.6156
7.690430 78.031 72.2626
8.056641 78.135 70.8991
8.422852 78.352 69.4375
8.789063 78.577 67.2931
9.155274 78.713 64.6939
9.521485 78.742 62.1995
9.887696 78.718 60.1550
10.253907 78.635 58.4796
10.620118 78.555 56.8566
10.986329 78.489 55.0852
11.352540 78.408 53.2187
11.718751 78.313 51.4174
12.084962 78.221 49.7490
12.451173 78.148 48.1435
12.817384 78.133 46.5142
13.183595 78.122 44.8753
13.549806 78.102 43.3256
13.916017 78.084 41.9312
14.282228 78.081 40.6501
14.648439 78.094 39.3763
15.014650 78.108 38.0529
15.380861 78.109 36.7253
15.747072 78.096 35.4863
16.113283 78.084 34.3802
16.479493 78.088 33.3638
16.845704 78.101 32.3557
17.211915 78.113 31.3148
17.578126 78.116 30.2662
17.944337 78.110 29.2587
18.310548 78.102 28.3091
18.676759 78.098 27.3894
19.042970 78.097 26.4621
19.409181 78.095 25.5165
19.775392 78.090 24.5715
20.141603 78.084 23.6476
20.507814 78.081 22.7476
20.874025 78.080 21.8618
21.240236 78.078 20.9880
21.606447 78.077 20.1370
21.972658 78.077 19.3173
22.338869 78.079 18.5208
22.705080 78.084 17.7290
23.071291 78.087 16.9338
23.437502 78.086 16.1503
23.803713 78.080 15.4045
24.169924 78.073 14.7094
24.536135 78.068 14.0516
24.902346 78.066 13.4039
25.268557 78.064 12.7478
25.634768 78.059 12.0861
26.000979 78.050 11.4333
26.367190 78.039 10.7996
26.733401 78.027 10.1826
27.099612 78.015 9.5747
27.465823 78.002 8.9714
27.832033 77.990 8.3737
28.198244 77.978 7.7809
28.564455 77.966 7.1888
28.930666 77.955 6.5934
29.296877 77.942 5.9985
29.663088 77.928 5.4158
30.029299 77.913 4.8544
30.395510 77.900 4.3116
30.761721 77.890 3.7765
31.127932 77.880 3.2397
31.494143 77.868 2.7041
31.860354 77.855 2.1814
32.226565 77.840 1.6804
32.592776 77.826 1.1989
32.958987 77.813 0.7258
33.325198 77.800 0.2523
33.691409 77.786 -0.2195
34.057620 77.769 -0.6805
34.423831 77.751 -1.1239
34.790042 77.733 -1.5521
35.156253 77.717 -1.9753
35.522464 77.701 -2.4032
35.888675 77.685 -2.8383
36.254886 77.667 -3.2754
36.621097 77.647 -3.7054
36.987308 77.625 -4.1207
37.353519 77.604 -4.5182
37.719730 77.585 -4.9014
38.085941 77.569 -5.2804
38.452152 77.555 -5.6671
38.818363 77.541 -6.0688
39.184573 77.525 -6.4825
39.550784 77.506 -6.8945
39.916995 77.485 -7.2887
40.283206 77.463 -7.6556
40.649417 77.442 -7.9989
41.015628 77.424 -8.3309
41.381839 77.408 -8.6641
41.748050 77.391 -9.0031
42.114261 77.374 -9.3435
42.480472 77.354 -9.6772
42.846683 77.334 -9.9989
43.212894 77.314 -10.3085
43.579105 77.295 -10.6113
43.945316 77.277 -10.9142
44.311527 77.259 -11.2220
44.677738 77.241 -11.5350
45.043949 77.221 -11.8478
45.410160 77.199 -12.1531
45.776371 77.177 -12.4460
46.142582 77.156 -12.7281
46.508793 77.137 -13.0070
46.875004 77.118 -13.2900
47.241215 77.100 -13.5798
47.607426 77.080 -13.8712
47.973637 77.059 -14.1561
48.339848 77.037 -14.4296
48.706059 77.016 -14.6931
49.072270 76.996 -14.9525
49.438481 76.977 -15.2124
49.804692 76.957 -15.4730
50.170902 76.938 -15.7313
50.537113 76.918 -15.9850
50.903324 76.898 -16.2341
51.269535 76.878 -16.4807
51.635746 76.859 -16.7262
52.001957 76.839 -16.9701
52.368168 76.819 -17.2108
52.734379 76.798 -17.4482
53.100590 76.778 -17.6831
53.466801 76.757 -17.9168
53.833012 76.736 -18.1490
54.199223 76.715 -18.3783
54.565434 76.693 -18.6028
54.931645 76.671 -18.8220
55.297856 76.650 -19.0361
55.664067 76.628 -19.2456
56.030278 76.607 -19.4506
56.396489 76.587 -19.6520
56.762700 76.567 -19.8525
57.128911 76.548 -20.0566
57.495122 76.530 -20.2671
57.861333 76.510 -20.4833
58.227544 76.489 -20.6997
58.593755 76.467 -20.9093
58.959966 76.444 -21.1066
59.326177 76.421 -21.2913
59.692388 76.400 -21.4684
60.058599 76.381 -21.6455
60.424810 76.362 -21.8276
60.791021 76.343 -22.0156
61.157232 76.323 -22.2050
61.523442 76.302 -22.3901
61.889653 76.281 -22.5678
62.255864 76.260 -22.7389
62.622075 76.239 -22.9069
62.988286 76.219 -23.0756
63.354497 76.198 -23.2459
63.720708 76.177 -23.4161
64.086919 76.155 -23.5836
64.453130 76.133 -23.7469
64.819341 76.111 -23.9066
65.185552 76.089 -24.0645
65.551763 76.067 -24.2215
65.917974 76.045 -24.3777
66.284185 76.023 -24.5320
66.650396 76.001 -24.6832
67.016607 75.980 -24.8318
67.382818 75.958 -24.9791
67.749029 75.938 -25.1269
68.115240 75.917 -25.2768
68.481451 75.897 -25.4293
68.847662 75.876 -25.5835
69.213873 75.854 -25.7369
69.580084 75.833 -25.8871
69.946295 75.810 -26.0323
70.312506 75.788 -26.1729
70.678717 75.767 -26.3102
71.044928 75.745 -26.4456
71.411139 75.724 -26.5795
71.777350 75.702 -26.7108
72.143561 75.681 -26.8386
72.509771 75.660 -26.9636
72.875982 75.639 -27.0883
73.242193 75.619 -27.2147
73.608404 75.598 -27.3430
73.974615 75.576 -27.4705
74.340826 75.554 -27.5934
74.707037 75.532 -27.7097
75.073248 75.510 -27.8208
75.439459 75.490 -27.9310
75.805670 75.470 -28.0453
76.171881 75.451 -28.1661
76.538092 75.430 -28.2921
76.904303 75.409 -28.4193
77.270514 75.387 -28.5437
77.636725 75.365 -28.6630
78.002936 75.343 -28.7776
78.369147 75.322 -28.8895
78.735358 75.300 -29.0006
79.101569 75.279 -29.1113
79.467780 75.258 -29.2206
79.833991 75.237 -29.3271
80.200202 75.216 -29.4303
80.566413 75.196 -29.5306
80.932624 75.177 -29.6298
81.298835 75.158 -29.7292
81.665046 75.139 -29.8301
82.031257 75.120 -29.9326
82.397468 75.101 -30.0366
82.763679 75.082 -30.1416
83.129890 75.063 -30.2463
83.496101 75.043 -30.3490
83.862311 75.022 -30.4480
84.228522 75.001 -30.5424
84.594733 74.981 -30.6324
84.960944 74.961 -30.7197
85.327155 74.940 -30.8058
85.693366 74.920 -30.8917
86.059577 74.900 -30.9770
86.425788 74.880 -31.0612
86.791999 74.861 -31.1442
87.158210 74.841 -31.2269
87.524421 74.821 -31.3106
87.890632 74.802 -31.3961
88.256843 74.782 -31.4833
88.623054 74.762 -31.5709
88.989265 74.742 -31.6575
89.355476 74.722 -31.7423
89.721687 74.702 -31.8253
90.087898 74.682 -31.9073
90.454109 74.663 -31.9896
90.820320 74.644 -32.0726
91.186531 74.624 -32.1565
91.552742 74.605 -32.2407
91.918953 74.586 -32.3240
92.285164 74.566 -32.4052
92.651375 74.547 -32.4835
93.017586 74.527 -32.5588
93.383797 74.508 -32.6315
93.750008 74.489 -32.7026
94.116219 74.471 -32.7728
94.482430 74.452 -32.8427
94.848641 74.433 -32.9117
95.214851 74.414 -32.9794
95.581062 74.395 -33.0450
95.947273 74.376 -33.1083
96.313484 74.357 -33.1698
96.679695 74.339 -33.2302
97.045906 74.320 -33.2902
97.412117 74.301 -33.3499
97.778328 74.282 -33.4094
98.144539 74.263 -33.4688
98.510750 74.244 -33.5281
98.876961 74.226 -33.5881
99.243172 74.207 -33.6493
99.609383 74.188 -33.7115
99.975594 74.169 -33.7745
100.341805 74.150 -33.8373
100.708016 74.131 -33.8992
101.074227 74.112 -33.9597
101.440438 74.093 -34.0189
101.806649 74.075 -34.0767
102.172860 74.056 -34.1332
102.539071 74.038 -34.1888
102.905282 74.020 -34.2439
103.271493 74.003 -34.2988
103.637704 73.985 -34.3539
104.003915 73.968 -34.4094
104.370126 73.951 -34.4653
104.736337 73.934 -34.5215
105.102548 73.917 -34.5781
105.468759 73.899 -34.6350
105.834970 73.882 -34.6919
106.201180 73.864 -34.7479
106.567391 73.845 -34.8021
106.933602 73.827 -34.8538
107.299813 73.808 -34.9027
107.666024 73.790 -34.9497
108.032235 73.771 -34.9955
108.398446 73.753 -35.0408
108.764657 73.735 -35.0857
109.130868 73.717 -35.1300
109.497079 73.699 -35.1732
109.863290 73.681 -35.2153
110.229501 73.664 -35.2567
110.595712 73.647 -35.2981
110.961923 73.630 -35.3407
111.328134 73.614 -35.3854
111.694345 73.598 -35.4325
112.060556 73.581 -35.4816
112.426767 73.564 -35.5316
112.792978 73.547 -35.5806
113.159189 73.530 -35.6270
113.525400 73.512 -35.6700
113.891611 73.495 -35.7097
114.257822 73.478 -35.7474
114.624033 73.461 -35.7844
114.990244 73.445 -35.8221
115.356455 73.428 -35.8607
115.722666 73.412 -35.8998
116.088877 73.395 -35.9385
116.455088 73.378 -35.9762
116.821299 73.361 -36.0126
117.187510 73.344 -36.0475
117.553720 73.327 -36.0812
117.919931 73.310 -36.1136
118.286142 73.293 -36.1451
118.652353 73.277 -36.1754
119.018564 73.260 -36.2046
119.384775 73.243 -36.2329
119.750986 73.227 -36.2607
120.117197 73.211 -36.2885
120.483408 73.195 -36.3168
120.849619 73.179 -36.3460
121.215830 73.163 -36.3765
121.582041 73.147 -36.4081
121.948252 73.131 -36.4406
122.314463 73.115 -36.4735
122.680674 73.099 -36.5061
123.046885 73.083 -36.5381
123.413096 73.066 -36.5690
123.779307 73.050 -36.5989
124.145518 73.034 -36.6280
124.511729 73.018 -36.6567
124.877940 73.002 -36.6855
125.244151 72.986 -36.7147
125.610362 72.971 -36.7440
125.976573 72.955 -36.7730
126.342784 72.940 -36.8009
126.708995 72.925 -36.8272
127.075206 72.909 -36.8518
127.441417 72.894 -36.8749
127.807628 72.880 -36.8972
128.173839 72.866 -36.9196
128.540049 72.851 -36.9424
128.906260 72.837 -36.9657
129.272471 72.824 -36.9891
129.638682 72.810 -37.0125
130.004893 72.796 -37.0354
130.371104 72.783 -37.0584
130.737315 72.769 -37.0817
131.103526 72.756 -37.1055
131.469737 72.743 -37.1296
131.835948 72.729 -37.1537
132.202159 72.715 -37.1772
132.568370 72.702 -37.1998
132.934581 72.688 -37.2214
133.300792 72.674 -37.2417
133.667003 72.659 -37.2607
134.033214 72.645 -37.2786
134.399425 72.631 -37.2949
134.765636 72.617 -37.3101
135.131847 72.603 -37.3245
135.498058 72.589 -37.3384
135.864269 72.575 -37.3523
136.230480 72.561 -37.3666
136.596691 72.547 -37.3813
136.962902 72.534 -37.3966
137.329113 72.520 -37.4120
137.695324 72.506 -37.4272
138.061535 72.493 -37.4421
138.427746 72.479 -37.4565
138.793957 72.466 -37.4707
139.160168 72.453 -37.4852
139.526379 72.440 -37.5005
139.892589 72.427 -37.5168
140.258800 72.414 -37.5341
140.625011 72.401 -37.5515
140.991222 72.388 -37.5686
141.357433 72.375 -37.5847
141.723644 72.362 -37.5996
142.089855 72.349 -37.6132
142.456066 72.336 -37.6256
142.822277 72.323 -37.6371
143.188488 72.310 -37.6479
143.554699 72.297 -37.6584
143.920910 72.285 -37.6687
144.287121 72.272 -37.6791
144.653332 72.259 -37.6901
