* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:34:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Orange Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.692 -37.8259
0.732422 75.400 -79.4022
1.098633 74.003 -127.8082
1.464844 73.643 -179.0424
1.831055 74.069 137.3105
2.197266 73.975 104.3095
2.563477 72.575 81.6771
2.929688 69.660 75.3064
3.295899 68.148 97.6280
3.662110 71.451 112.7640
4.028321 74.414 107.4825
4.394532 75.925 96.7144
4.760743 76.325 86.8327
5.126954 76.074 81.0699
5.493164 75.830 80.4792
5.859375 76.175 82.0685
6.225586 76.968 81.3543
6.591797 77.676 77.5007
6.958008 78.019 72.3621
7.324219 78.023 67.9559
7.690430 77.899 65.3568
8.056641 77.884 64.1959
8.422852 78.055 63.1094
8.789063 78.295 61.1543
9.155274 78.455 58.4934
9.521485 78.491 55.8560
9.887696 78.456 53.7861
10.253907 78.364 52.2828
10.620118 78.293 50.9545
10.986329 78.251 49.4789
11.352540 78.197 47.8560
11.718751 78.119 46.2714
12.084962 78.033 44.8331
12.451173 77.961 43.4798
12.817384 77.943 42.1025
13.183595 77.926 40.6958
13.549806 77.896 39.3558
13.916017 77.867 38.1500
14.282228 77.855 37.0234
14.648439 77.861 35.8513
15.014650 77.867 34.5740
15.380861 77.857 33.2606
15.747072 77.833 32.0364
16.113283 77.815 30.9604
16.479493 77.822 29.9756
16.845704 77.844 28.9760
17.211915 77.868 27.9128
17.578126 77.882 26.8292
17.944337 77.885 25.8019
18.310548 77.885 24.8640
18.676759 77.891 23.9853
19.042970 77.900 23.1161
19.409181 77.908 22.2386
19.775392 77.910 21.3719
20.141603 77.910 20.5375
20.507814 77.911 19.7311
20.874025 77.913 18.9324
21.240236 77.912 18.1318
21.606447 77.907 17.3401
21.972658 77.901 16.5709
22.338869 77.895 15.8210
22.705080 77.890 15.0719
23.071291 77.886 14.3130
23.437502 77.878 13.5551
23.803713 77.869 12.8181
24.169924 77.861 12.1070
24.536135 77.855 11.4050
24.902346 77.851 10.6940
25.268557 77.844 9.9783
25.634768 77.833 9.2858
26.000979 77.821 8.6405
26.367190 77.812 8.0366
26.733401 77.809 7.4410
27.099612 77.807 6.8235
27.465823 77.802 6.1858
27.832033 77.791 5.5583
28.198244 77.775 4.9728
28.564455 77.759 4.4337
28.930666 77.748 3.9162
29.296877 77.741 3.3886
29.663088 77.734 2.8363
30.029299 77.723 2.2681
30.395510 77.708 1.7026
30.761721 77.690 1.1539
31.127932 77.671 0.6251
31.494143 77.651 0.1130
31.860354 77.633 -0.3864
32.226565 77.615 -0.8771
32.592776 77.599 -1.3638
32.958987 77.584 -1.8503
33.325198 77.568 -2.3364
33.691409 77.551 -2.8173
34.057620 77.534 -3.2878
34.423831 77.517 -3.7469
34.790042 77.500 -4.1971
35.156253 77.483 -4.6396
35.522464 77.465 -5.0723
35.888675 77.447 -5.4920
36.254886 77.431 -5.9014
36.621097 77.415 -6.3091
36.987308 77.399 -6.7239
37.353519 77.382 -7.1460
37.719730 77.361 -7.5651
38.085941 77.338 -7.9674
38.452152 77.315 -8.3469
38.818363 77.292 -8.7090
39.184573 77.272 -9.0659
39.550784 77.253 -9.4273
39.916995 77.235 -9.7953
40.283206 77.216 -10.1661
40.649417 77.197 -10.5347
41.015628 77.176 -10.8979
41.381839 77.156 -11.2542
41.748050 77.135 -11.6020
42.114261 77.113 -11.9399
42.480472 77.092 -12.2682
42.846683 77.072 -12.5897
43.212894 77.052 -12.9071
43.579105 77.033 -13.2217
43.945316 77.013 -13.5329
44.311527 76.993 -13.8399
44.677738 76.972 -14.1422
45.043949 76.952 -14.4399
45.410160 76.931 -14.7327
45.776371 76.910 -15.0200
46.142582 76.889 -15.3033
46.508793 76.869 -15.5864
46.875004 76.849 -15.8727
47.241215 76.829 -16.1624
47.607426 76.807 -16.4506
47.973637 76.783 -16.7305
48.339848 76.760 -16.9988
48.706059 76.737 -17.2582
49.072270 76.716 -17.5146
49.438481 76.695 -17.7734
49.804692 76.675 -18.0349
50.170902 76.653 -18.2959
50.537113 76.632 -18.5527
50.903324 76.610 -18.8043
51.269535 76.589 -19.0515
51.635746 76.567 -19.2952
52.001957 76.545 -19.5349
52.368168 76.523 -19.7692
52.734379 76.501 -19.9973
53.100590 76.479 -20.2202
53.466801 76.458 -20.4397
53.833012 76.437 -20.6572
54.199223 76.416 -20.8740
54.565434 76.395 -21.0905
54.931645 76.374 -21.3060
55.297856 76.352 -21.5192
55.664067 76.330 -21.7278
56.030278 76.308 -21.9309
56.396489 76.286 -22.1295
56.762700 76.265 -22.3263
57.128911 76.245 -22.5242
57.495122 76.224 -22.7239
57.861333 76.203 -22.9237
58.227544 76.181 -23.1215
58.593755 76.159 -23.3167
58.959966 76.138 -23.5104
59.326177 76.116 -23.7041
59.692388 76.093 -23.8977
60.058599 76.070 -24.0889
60.424810 76.046 -24.2744
60.791021 76.022 -24.4526
61.157232 75.998 -24.6240
61.523442 75.975 -24.7901
61.889653 75.952 -24.9536
62.255864 75.930 -25.1162
62.622075 75.908 -25.2794
62.988286 75.887 -25.4445
63.354497 75.865 -25.6117
63.720708 75.843 -25.7801
64.086919 75.820 -25.9476
64.453130 75.798 -26.1119
64.819341 75.775 -26.2718
65.185552 75.752 -26.4280
65.551763 75.730 -26.5827
65.917974 75.709 -26.7385
66.284185 75.688 -26.8972
66.650396 75.666 -27.0585
67.016607 75.644 -27.2201
67.382818 75.620 -27.3782
67.749029 75.596 -27.5295
68.115240 75.572 -27.6729
68.481451 75.548 -27.8094
68.847662 75.525 -27.9423
69.213873 75.503 -28.0742
69.580084 75.480 -28.2061
69.946295 75.458 -28.3376
70.312506 75.436 -28.4685
70.678717 75.414 -28.5990
71.044928 75.392 -28.7302
71.411139 75.370 -28.8627
71.777350 75.348 -28.9954
72.143561 75.325 -29.1262
72.509771 75.302 -29.2539
72.875982 75.280 -29.3787
73.242193 75.257 -29.5027
73.608404 75.235 -29.6279
73.974615 75.213 -29.7549
74.340826 75.191 -29.8819
74.707037 75.168 -30.0062
75.073248 75.145 -30.1261
75.439459 75.122 -30.2418
75.805670 75.099 -30.3550
76.171881 75.077 -30.4672
76.538092 75.055 -30.5789
76.904303 75.034 -30.6896
77.270514 75.012 -30.7986
77.636725 74.991 -30.9062
78.002936 74.970 -31.0142
78.369147 74.950 -31.1241
78.735358 74.929 -31.2366
79.101569 74.909 -31.3505
79.467780 74.887 -31.4633
79.833991 74.865 -31.5726
80.200202 74.843 -31.6774
80.566413 74.821 -31.7774
80.932624 74.799 -31.8737
81.298835 74.777 -31.9666
81.665046 74.756 -32.0568
82.031257 74.735 -32.1448
82.397468 74.714 -32.2316
82.763679 74.693 -32.3184
83.129890 74.672 -32.4062
83.496101 74.651 -32.4949
83.862311 74.629 -32.5834
84.228522 74.608 -32.6707
84.594733 74.586 -32.7565
84.960944 74.565 -32.8413
85.327155 74.543 -32.9268
85.693366 74.522 -33.0141
86.059577 74.501 -33.1042
86.425788 74.480 -33.1969
86.791999 74.459 -33.2910
87.158210 74.437 -33.3842
87.524421 74.414 -33.4741
87.890632 74.392 -33.5594
88.256843 74.371 -33.6406
88.623054 74.350 -33.7197
88.989265 74.330 -33.7991
89.355476 74.310 -33.8804
89.721687 74.291 -33.9631
90.087898 74.271 -34.0455
90.454109 74.251 -34.1255
90.820320 74.231 -34.2019
91.186531 74.211 -34.2753
91.552742 74.192 -34.3466
91.918953 74.172 -34.4170
92.285164 74.153 -34.4868
92.651375 74.134 -34.5557
93.017586 74.114 -34.6231
93.383797 74.095 -34.6892
93.750008 74.075 -34.7547
94.116219 74.055 -34.8203
94.482430 74.035 -34.8865
94.848641 74.016 -34.9534
95.214851 73.995 -35.0201
95.581062 73.975 -35.0859
95.947273 73.954 -35.1506
96.313484 73.934 -35.2140
96.679695 73.914 -35.2767
97.045906 73.894 -35.3397
97.412117 73.874 -35.4030
97.778328 73.854 -35.4664
98.144539 73.834 -35.5291
98.510750 73.815 -35.5909
98.876961 73.796 -35.6520
99.243172 73.777 -35.7129
99.609383 73.758 -35.7744
99.975594 73.739 -35.8361
100.341805 73.720 -35.8969
100.708016 73.701 -35.9555
101.074227 73.682 -36.0110
101.440438 73.663 -36.0637
101.806649 73.644 -36.1147
102.172860 73.626 -36.1655
102.539071 73.607 -36.2167
102.905282 73.588 -36.2681
103.271493 73.569 -36.3184
103.637704 73.550 -36.3666
104.003915 73.530 -36.4124
104.370126 73.511 -36.4565
104.736337 73.492 -36.5004
105.102548 73.473 -36.5452
105.468759 73.455 -36.5911
105.834970 73.436 -36.6375
106.201180 73.417 -36.6835
106.567391 73.399 -36.7286
106.933602 73.380 -36.7734
107.299813 73.362 -36.8184
107.666024 73.344 -36.8643
108.032235 73.327 -36.9116
108.398446 73.309 -36.9598
108.764657 73.291 -37.0083
109.130868 73.273 -37.0566
109.497079 73.256 -37.1042
109.863290 73.238 -37.1509
110.229501 73.220 -37.1967
110.595712 73.202 -37.2412
110.961923 73.184 -37.2841
111.328134 73.166 -37.3249
111.694345 73.148 -37.3636
112.060556 73.130 -37.4005
112.426767 73.112 -37.4361
112.792978 73.095 -37.4713
113.159189 73.078 -37.5070
113.525400 73.061 -37.5441
113.891611 73.044 -37.5828
114.257822 73.027 -37.6229
114.624033 73.009 -37.6639
114.990244 72.992 -37.7050
115.356455 72.974 -37.7452
115.722666 72.957 -37.7847
116.088877 72.939 -37.8236
116.455088 72.922 -37.8629
116.821299 72.904 -37.9028
117.187510 72.887 -37.9435
117.553720 72.869 -37.9840
117.919931 72.851 -38.0231
118.286142 72.833 -38.0598
118.652353 72.814 -38.0936
119.018564 72.796 -38.1246
119.384775 72.778 -38.1533
119.750986 72.761 -38.1801
120.117197 72.743 -38.2054
120.483408 72.726 -38.2299
120.849619 72.709 -38.2538
121.215830 72.692 -38.2776
121.582041 72.676 -38.3015
121.948252 72.659 -38.3252
122.314463 72.642 -38.3484
122.680674 72.626 -38.3710
123.046885 72.609 -38.3931
123.413096 72.593 -38.4153
123.779307 72.577 -38.4385
124.145518 72.561 -38.4629
124.511729 72.546 -38.4884
124.877940 72.530 -38.5146
125.244151 72.515 -38.5409
125.610362 72.499 -38.5668
125.976573 72.484 -38.5920
126.342784 72.469 -38.6165
126.708995 72.453 -38.6400
127.075206 72.438 -38.6624
127.441417 72.423 -38.6833
127.807628 72.408 -38.7029
128.173839 72.393 -38.7215
128.540049 72.379 -38.7394
128.906260 72.364 -38.7570
129.272471 72.349 -38.7744
129.638682 72.334 -38.7912
130.004893 72.320 -38.8074
130.371104 72.305 -38.8228
130.737315 72.290 -38.8374
131.103526 72.275 -38.8517
131.469737 72.261 -38.8662
131.835948 72.246 -38.8810
132.202159 72.232 -38.8963
132.568370 72.217 -38.9125
132.934581 72.203 -38.9298
133.300792 72.189 -38.9487
133.667003 72.175 -38.9692
134.033214 72.160 -38.9908
134.399425 72.146 -39.0132
134.765636 72.131 -39.0353
135.131847 72.116 -39.0566
135.498058 72.102 -39.0769
135.864269 72.087 -39.0960
136.230480 72.073 -39.1142
136.596691 72.058 -39.1317
136.962902 72.044 -39.1487
137.329113 72.030 -39.1655
137.695324 72.016 -39.1821
138.061535 72.002 -39.1989
138.427746 71.988 -39.2155
138.793957 71.975 -39.2319
139.160168 71.960 -39.2476
139.526379 71.946 -39.2618
139.892589 71.932 -39.2745
140.258800 71.918 -39.2854
140.625011 71.903 -39.2947
140.991222 71.889 -39.3027
141.357433 71.876 -39.3099
141.723644 71.862 -39.3168
142.089855 71.849 -39.3234
142.456066 71.835 -39.3301
142.822277 71.822 -39.3369
143.188488 71.809 -39.3438
143.554699 71.796 -39.3509
143.920910 71.783 -39.3579
144.287121 71.770 -39.3649
144.653332 71.757 -39.3717
