* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.781 169.8362
0.732422 70.660 158.8928
1.098633 70.301 147.1130
1.464844 69.586 135.4464
1.831055 68.503 125.9157
2.197266 67.317 121.4433
2.563477 66.818 123.3450
2.929688 67.708 126.3295
3.295899 69.425 124.1470
3.662110 71.094 117.2820
4.028321 72.374 108.6658
4.394532 73.256 100.5659
4.760743 73.873 94.2598
5.126954 74.412 90.0002
5.493164 75.017 87.0570
5.859375 75.695 84.3354
6.225586 76.346 81.2400
6.591797 76.873 77.9024
6.958008 77.250 74.7902
7.324219 77.521 72.2473
7.690430 77.753 70.2540
8.056641 77.983 68.4937
8.422852 78.203 66.6452
8.789063 78.380 64.6192
9.155274 78.495 62.5447
9.521485 78.559 60.5911
9.887696 78.597 58.8116
10.253907 78.564 57.1234
10.620118 78.504 55.4094
10.986329 78.442 53.6267
11.352540 78.373 51.8218
11.718751 78.301 50.0633
12.084962 78.236 48.3762
12.451173 78.184 46.7365
12.817384 78.189 45.1180
13.183595 78.205 43.5299
13.549806 78.221 42.0093
13.916017 78.237 40.5842
14.282228 78.257 39.2493
14.648439 78.280 37.9783
15.014650 78.301 36.7537
15.380861 78.318 35.5798
15.747072 78.328 34.4690
16.113283 78.339 33.4195
16.479493 78.357 32.4108
16.845704 78.371 31.4199
17.211915 78.380 30.4382
17.578126 78.381 29.4720
17.944337 78.379 28.5274
18.310548 78.375 27.5971
18.676759 78.371 26.6652
19.042970 78.367 25.7213
19.409181 78.362 24.7696
19.775392 78.356 23.8227
20.141603 78.352 22.8891
20.507814 78.353 21.9668
20.874025 78.356 21.0504
21.240236 78.361 20.1419
21.606447 78.365 19.2536
21.972658 78.369 18.3990
22.338869 78.374 17.5827
22.705080 78.381 16.7979
23.071291 78.388 16.0347
23.437502 78.395 15.2898
23.803713 78.398 14.5680
24.169924 78.398 13.8758
24.536135 78.396 13.2137
24.902346 78.392 12.5751
25.268557 78.387 11.9507
25.634768 78.381 11.3348
26.000979 78.372 10.7263
26.367190 78.361 10.1261
26.733401 78.350 9.5324
27.099612 78.338 8.9401
27.465823 78.328 8.3424
27.832033 78.317 7.7347
28.198244 78.305 7.1175
28.564455 78.291 6.4975
28.930666 78.277 5.8852
29.296877 78.261 5.2909
29.663088 78.246 4.7191
30.029299 78.233 4.1672
30.395510 78.223 3.6275
30.761721 78.215 3.0934
31.127932 78.206 2.5638
31.494143 78.197 2.0429
31.860354 78.187 1.5360
32.226565 78.176 1.0449
32.592776 78.164 0.5679
32.958987 78.152 0.1019
33.325198 78.139 -0.3548
33.691409 78.124 -0.8032
34.057620 78.109 -1.2449
34.423831 78.093 -1.6832
34.790042 78.076 -2.1198
35.156253 78.057 -2.5526
35.522464 78.037 -2.9762
35.888675 78.016 -3.3869
36.254886 77.997 -3.7875
36.621097 77.979 -4.1867
36.987308 77.963 -4.5933
37.353519 77.947 -5.0094
37.719730 77.929 -5.4286
38.085941 77.911 -5.8415
38.452152 77.892 -6.2427
38.818363 77.874 -6.6337
39.184573 77.856 -7.0191
39.550784 77.838 -7.4003
39.916995 77.819 -7.7738
40.283206 77.801 -8.1338
40.649417 77.783 -8.4784
41.015628 77.766 -8.8125
41.381839 77.750 -9.1442
41.748050 77.734 -9.4797
42.114261 77.718 -9.8185
42.480472 77.699 -10.1550
42.846683 77.680 -10.4832
43.212894 77.659 -10.8014
43.579105 77.640 -11.1125
43.945316 77.620 -11.4212
44.311527 77.600 -11.7303
44.677738 77.580 -12.0388
45.043949 77.559 -12.3430
45.410160 77.538 -12.6397
45.776371 77.517 -12.9285
46.142582 77.498 -13.2122
46.508793 77.478 -13.4945
46.875004 77.460 -13.7780
47.241215 77.440 -14.0626
47.607426 77.421 -14.3456
47.973637 77.400 -14.6239
48.339848 77.380 -14.8950
48.706059 77.359 -15.1588
49.072270 77.339 -15.4166
49.438481 77.319 -15.6709
49.804692 77.299 -15.9241
50.170902 77.280 -16.1779
50.537113 77.260 -16.4324
50.903324 77.240 -16.6863
51.269535 77.219 -16.9367
51.635746 77.197 -17.1808
52.001957 77.176 -17.4175
52.368168 77.155 -17.6479
52.734379 77.135 -17.8746
53.100590 77.115 -18.1000
53.466801 77.095 -18.3252
53.833012 77.076 -18.5497
54.199223 77.056 -18.7728
54.565434 77.037 -18.9946
54.931645 77.017 -19.2160
55.297856 76.998 -19.4373
55.664067 76.977 -19.6574
56.030278 76.957 -19.8739
56.396489 76.935 -20.0849
56.762700 76.914 -20.2904
57.128911 76.893 -20.4927
57.495122 76.872 -20.6944
57.861333 76.851 -20.8964
58.227544 76.829 -21.0966
58.593755 76.806 -21.2916
58.959966 76.784 -21.4785
59.326177 76.761 -21.6578
59.692388 76.740 -21.8329
60.058599 76.721 -22.0088
60.424810 76.701 -22.1888
60.791021 76.682 -22.3728
61.157232 76.662 -22.5582
61.523442 76.641 -22.7414
61.889653 76.621 -22.9205
62.255864 76.600 -23.0959
62.622075 76.580 -23.2694
62.988286 76.559 -23.4426
63.354497 76.538 -23.6151
63.720708 76.516 -23.7852
64.086919 76.494 -23.9509
64.453130 76.472 -24.1118
64.819341 76.450 -24.2693
65.185552 76.428 -24.4256
65.551763 76.407 -24.5822
65.917974 76.385 -24.7394
66.284185 76.363 -24.8963
66.650396 76.341 -25.0516
67.016607 76.319 -25.2048
67.382818 76.297 -25.3563
67.749029 76.275 -25.5065
68.115240 76.253 -25.6555
68.481451 76.231 -25.8025
68.847662 76.209 -25.9468
69.213873 76.187 -26.0880
69.580084 76.165 -26.2265
69.946295 76.144 -26.3634
70.312506 76.123 -26.5003
70.678717 76.102 -26.6379
71.044928 76.081 -26.7760
71.411139 76.059 -26.9133
71.777350 76.037 -27.0476
72.143561 76.014 -27.1769
72.509771 75.991 -27.3002
72.875982 75.969 -27.4177
73.242193 75.947 -27.5311
73.608404 75.925 -27.6428
73.974615 75.905 -27.7555
74.340826 75.884 -27.8712
74.707037 75.864 -27.9908
75.073248 75.844 -28.1141
75.439459 75.823 -28.2397
75.805670 75.802 -28.3662
76.171881 75.780 -28.4918
76.538092 75.758 -28.6151
76.904303 75.736 -28.7353
77.270514 75.714 -28.8520
77.636725 75.692 -28.9654
78.002936 75.670 -29.0761
78.369147 75.648 -29.1846
78.735358 75.627 -29.2907
79.101569 75.606 -29.3941
79.467780 75.585 -29.4945
79.833991 75.564 -29.5923
80.200202 75.544 -29.6889
80.566413 75.525 -29.7865
80.932624 75.506 -29.8868
81.298835 75.487 -29.9900
81.665046 75.467 -30.0944
82.031257 75.447 -30.1976
82.397468 75.426 -30.2979
82.763679 75.406 -30.3952
83.129890 75.385 -30.4912
83.496101 75.365 -30.5879
83.862311 75.346 -30.6867
84.228522 75.325 -30.7867
84.594733 75.305 -30.8861
84.960944 75.284 -30.9823
85.327155 75.263 -31.0743
85.693366 75.242 -31.1626
86.059577 75.222 -31.2491
86.425788 75.203 -31.3363
86.791999 75.184 -31.4256
87.158210 75.165 -31.5170
87.524421 75.145 -31.6093
87.890632 75.125 -31.7004
88.256843 75.105 -31.7889
88.623054 75.085 -31.8739
88.989265 75.065 -31.9559
89.355476 75.045 -32.0357
89.721687 75.025 -32.1140
90.087898 75.006 -32.1916
90.454109 74.986 -32.2688
90.820320 74.967 -32.3454
91.186531 74.947 -32.4215
91.552742 74.927 -32.4966
91.918953 74.908 -32.5700
92.285164 74.888 -32.6412
92.651375 74.868 -32.7103
93.017586 74.849 -32.7782
93.383797 74.830 -32.8464
93.750008 74.811 -32.9161
94.116219 74.793 -32.9876
94.482430 74.774 -33.0600
94.848641 74.755 -33.1317
95.214851 74.736 -33.2018
95.581062 74.716 -33.2701
95.947273 74.697 -33.3377
96.313484 74.678 -33.4054
96.679695 74.659 -33.4738
97.045906 74.640 -33.5421
97.412117 74.621 -33.6094
97.778328 74.601 -33.6749
98.144539 74.582 -33.7386
98.510750 74.562 -33.8013
98.876961 74.543 -33.8633
99.243172 74.523 -33.9241
99.609383 74.503 -33.9829
99.975594 74.483 -34.0389
100.341805 74.464 -34.0921
100.708016 74.445 -34.1438
101.074227 74.427 -34.1959
101.440438 74.409 -34.2497
101.806649 74.391 -34.3057
102.172860 74.374 -34.3637
102.539071 74.356 -34.4224
102.905282 74.338 -34.4811
103.271493 74.320 -34.5393
103.637704 74.302 -34.5966
104.003915 74.284 -34.6534
104.370126 74.266 -34.7096
104.736337 74.248 -34.7654
105.102548 74.230 -34.8210
105.468759 74.212 -34.8762
105.834970 74.193 -34.9305
106.201180 74.175 -34.9834
106.567391 74.156 -35.0343
106.933602 74.138 -35.0831
107.299813 74.119 -35.1300
107.666024 74.101 -35.1753
108.032235 74.083 -35.2192
108.398446 74.064 -35.2617
108.764657 74.046 -35.3029
109.130868 74.028 -35.3429
109.497079 74.011 -35.3823
109.863290 73.993 -35.4219
110.229501 73.976 -35.4622
110.595712 73.958 -35.5034
110.961923 73.941 -35.5452
111.328134 73.924 -35.5870
111.694345 73.906 -35.6285
112.060556 73.889 -35.6695
112.426767 73.872 -35.7105
112.792978 73.855 -35.7521
113.159189 73.838 -35.7948
113.525400 73.821 -35.8388
113.891611 73.804 -35.8841
114.257822 73.787 -35.9299
114.624033 73.770 -35.9753
114.990244 73.753 -36.0194
115.356455 73.735 -36.0617
115.722666 73.718 -36.1023
116.088877 73.701 -36.1418
116.455088 73.684 -36.1812
116.821299 73.668 -36.2211
117.187510 73.651 -36.2616
117.553720 73.634 -36.3022
117.919931 73.617 -36.3420
118.286142 73.600 -36.3802
118.652353 73.582 -36.4160
119.018564 73.565 -36.4491
119.384775 73.547 -36.4794
119.750986 73.530 -36.5072
120.117197 73.513 -36.5331
120.483408 73.496 -36.5581
120.849619 73.479 -36.5832
121.215830 73.463 -36.6090
121.582041 73.447 -36.6360
121.948252 73.431 -36.6639
122.314463 73.415 -36.6923
122.680674 73.399 -36.7211
123.046885 73.383 -36.7501
123.413096 73.366 -36.7796
123.779307 73.350 -36.8096
124.145518 73.334 -36.8397
124.511729 73.318 -36.8696
124.877940 73.303 -36.8986
125.244151 73.287 -36.9262
125.610362 73.271 -36.9523
125.976573 73.256 -36.9771
126.342784 73.241 -37.0011
126.708995 73.227 -37.0247
127.075206 73.212 -37.0482
127.441417 73.198 -37.0717
127.807628 73.183 -37.0953
128.173839 73.169 -37.1186
128.540049 73.154 -37.1416
128.906260 73.140 -37.1638
129.272471 73.125 -37.1852
129.638682 73.111 -37.2057
130.004893 73.096 -37.2255
130.371104 73.081 -37.2449
130.737315 73.067 -37.2641
131.103526 73.053 -37.2834
131.469737 73.039 -37.3033
131.835948 73.024 -37.3237
132.202159 73.010 -37.3447
132.568370 72.996 -37.3661
132.934581 72.982 -37.3878
133.300792 72.968 -37.4094
133.667003 72.954 -37.4308
134.033214 72.940 -37.4517
134.399425 72.926 -37.4719
134.765636 72.911 -37.4912
135.131847 72.897 -37.5095
135.498058 72.883 -37.5269
135.864269 72.869 -37.5433
136.230480 72.855 -37.5588
136.596691 72.842 -37.5735
136.962902 72.828 -37.5873
137.329113 72.814 -37.6002
137.695324 72.800 -37.6123
138.061535 72.787 -37.6238
138.427746 72.773 -37.6348
138.793957 72.760 -37.6456
139.160168 72.746 -37.6564
139.526379 72.733 -37.6673
139.892589 72.720 -37.6783
140.258800 72.706 -37.6899
140.625011 72.693 -37.7024
140.991222 72.680 -37.7165
141.357433 72.667 -37.7322
141.723644 72.653 -37.7495
142.089855 72.640 -37.7677
142.456066 72.626 -37.7859
142.822277 72.612 -37.8031
143.188488 72.597 -37.8190
143.554699 72.583 -37.8335
143.920910 72.570 -37.8472
144.287121 72.556 -37.8606
144.653332 72.543 -37.8742
