* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 14, 2023 7:32:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Black f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.786 -37.8849
0.732422 75.483 -79.6268
1.098633 74.100 -128.3837
1.464844 73.809 -179.8739
1.831055 74.313 136.5615
2.197266 74.282 103.7206
2.563477 72.960 81.1049
2.929688 70.159 74.1054
3.295899 68.530 94.6571
3.662110 71.597 110.3861
4.028321 74.537 105.8122
4.394532 76.063 95.3336
4.760743 76.478 85.5187
5.126954 76.229 79.6875
5.493164 75.965 79.0054
5.859375 76.276 80.6376
6.225586 77.049 80.0804
6.591797 77.754 76.3713
6.958008 78.099 71.3199
7.324219 78.105 66.9556
7.690430 77.978 64.3810
8.056641 77.957 63.2556
8.422852 78.125 62.2220
8.789063 78.362 60.3210
9.155274 78.522 57.7030
9.521485 78.557 55.0981
9.887696 78.519 53.0597
10.253907 78.423 51.5941
10.620118 78.349 50.3114
10.986329 78.304 48.8832
11.352540 78.249 47.3062
11.718751 78.171 45.7637
12.084962 78.087 44.3627
12.451173 78.016 43.0385
12.817384 78.000 41.6802
13.183595 77.984 40.2834
13.549806 77.955 38.9488
13.916017 77.925 37.7498
14.282228 77.913 36.6349
14.648439 77.919 35.4774
15.014650 77.926 34.2138
15.380861 77.919 32.9095
15.747072 77.897 31.6888
16.113283 77.880 30.6118
16.479493 77.888 29.6239
16.845704 77.910 28.6217
17.211915 77.934 27.5590
17.578126 77.948 26.4802
17.944337 77.950 25.4618
18.310548 77.950 24.5354
18.676759 77.956 23.6686
19.042970 77.965 22.8114
19.409181 77.973 21.9467
19.775392 77.976 21.0930
20.141603 77.977 20.2682
20.507814 77.980 19.4631
20.874025 77.982 18.6541
21.240236 77.981 17.8356
21.606447 77.973 17.0298
21.972658 77.963 16.2604
22.338869 77.954 15.5243
22.705080 77.950 14.7914
23.071291 77.947 14.0355
23.437502 77.941 13.2620
23.803713 77.930 12.5012
24.169924 77.917 11.7784
24.536135 77.908 11.0900
24.902346 77.902 10.4113
25.268557 77.899 9.7234
25.634768 77.894 9.0311
26.000979 77.886 8.3547
26.367190 77.877 7.7080
26.733401 77.869 7.0867
27.099612 77.862 6.4769
27.465823 77.855 5.8708
27.832033 77.845 5.2727
28.198244 77.834 4.6907
28.564455 77.822 4.1266
28.930666 77.811 3.5748
29.296877 77.799 3.0284
29.663088 77.787 2.4848
30.029299 77.774 1.9431
30.395510 77.760 1.4014
30.761721 77.746 0.8566
31.127932 77.729 0.3123
31.494143 77.710 -0.2211
31.860354 77.689 -0.7324
32.226565 77.669 -1.2206
32.592776 77.653 -1.6980
32.958987 77.638 -2.1798
33.325198 77.623 -2.6708
33.691409 77.607 -3.1609
34.057620 77.589 -3.6349
34.423831 77.570 -4.0869
34.790042 77.554 -4.5251
35.156253 77.540 -4.9642
35.522464 77.525 -5.4116
35.888675 77.509 -5.8622
36.254886 77.489 -6.3031
36.621097 77.467 -6.7241
36.987308 77.445 -7.1232
37.353519 77.424 -7.5064
37.719730 77.404 -7.8828
38.085941 77.385 -8.2598
38.452152 77.367 -8.6418
38.818363 77.348 -9.0281
39.184573 77.327 -9.4134
39.550784 77.304 -9.7897
39.916995 77.282 -10.1522
40.283206 77.261 -10.5028
40.649417 77.243 -10.8500
41.015628 77.225 -11.2018
41.381839 77.207 -11.5596
41.748050 77.188 -11.9169
42.114261 77.167 -12.2655
42.480472 77.147 -12.6022
42.846683 77.127 -12.9302
43.212894 77.107 -13.2552
43.579105 77.087 -13.5790
43.945316 77.067 -13.8986
44.311527 77.046 -14.2098
44.677738 77.024 -14.5117
45.043949 77.003 -14.8070
45.410160 76.983 -15.0995
45.776371 76.962 -15.3904
46.142582 76.940 -15.6787
46.508793 76.919 -15.9634
46.875004 76.897 -16.2447
47.241215 76.876 -16.5238
47.607426 76.854 -16.8010
47.973637 76.832 -17.0753
48.339848 76.810 -17.3453
48.706059 76.788 -17.6115
49.072270 76.766 -17.8750
49.438481 76.744 -18.1370
49.804692 76.722 -18.3966
50.170902 76.700 -18.6515
50.537113 76.678 -18.9003
50.903324 76.656 -19.1429
51.269535 76.635 -19.3813
51.635746 76.614 -19.6180
52.001957 76.594 -19.8547
52.368168 76.573 -20.0921
52.734379 76.552 -20.3292
53.100590 76.530 -20.5637
53.466801 76.507 -20.7924
53.833012 76.484 -21.0133
54.199223 76.461 -21.2273
54.565434 76.438 -21.4373
54.931645 76.416 -21.6470
55.297856 76.394 -21.8572
55.664067 76.372 -22.0668
56.030278 76.350 -22.2734
56.396489 76.328 -22.4769
56.762700 76.306 -22.6797
57.128911 76.285 -22.8842
57.495122 76.263 -23.0902
57.861333 76.240 -23.2944
58.227544 76.217 -23.4926
58.593755 76.193 -23.6830
58.959966 76.171 -23.8672
59.326177 76.149 -24.0490
59.692388 76.127 -24.2311
60.058599 76.106 -24.4139
60.424810 76.085 -24.5961
60.791021 76.063 -24.7760
61.157232 76.041 -24.9535
61.523442 76.020 -25.1288
61.889653 75.998 -25.3026
62.255864 75.977 -25.4749
62.622075 75.955 -25.6460
62.988286 75.933 -25.8163
63.354497 75.911 -25.9861
63.720708 75.888 -26.1545
64.086919 75.864 -26.3201
64.453130 75.840 -26.4814
64.819341 75.817 -26.6376
65.185552 75.793 -26.7899
65.551763 75.771 -26.9402
65.917974 75.748 -27.0904
66.284185 75.726 -27.2415
66.650396 75.703 -27.3931
67.016607 75.680 -27.5437
67.382818 75.657 -27.6918
67.749029 75.633 -27.8363
68.115240 75.610 -27.9779
68.481451 75.587 -28.1180
68.847662 75.565 -28.2583
69.213873 75.542 -28.3997
69.580084 75.519 -28.5412
69.946295 75.496 -28.6813
70.312506 75.472 -28.8182
70.678717 75.449 -28.9515
71.044928 75.426 -29.0817
71.411139 75.403 -29.2100
71.777350 75.380 -29.3372
72.143561 75.358 -29.4641
72.509771 75.336 -29.5908
72.875982 75.314 -29.7175
73.242193 75.292 -29.8439
73.608404 75.270 -29.9698
73.974615 75.248 -30.0947
74.340826 75.226 -30.2177
74.707037 75.203 -30.3383
75.073248 75.180 -30.4559
75.439459 75.157 -30.5699
75.805670 75.134 -30.6799
76.171881 75.112 -30.7866
76.538092 75.090 -30.8912
76.904303 75.069 -30.9960
77.270514 75.047 -31.1027
77.636725 75.026 -31.2121
78.002936 75.005 -31.3235
78.369147 74.983 -31.4352
78.735358 74.960 -31.5454
79.101569 74.938 -31.6526
79.467780 74.915 -31.7563
79.833991 74.893 -31.8569
80.200202 74.871 -31.9553
80.566413 74.850 -32.0530
80.932624 74.829 -32.1512
81.298835 74.808 -32.2509
81.665046 74.787 -32.3519
82.031257 74.766 -32.4532
82.397468 74.745 -32.5538
82.763679 74.724 -32.6527
83.129890 74.702 -32.7489
83.496101 74.680 -32.8420
83.862311 74.658 -32.9316
84.228522 74.637 -33.0177
84.594733 74.615 -33.1011
84.960944 74.594 -33.1829
85.327155 74.574 -33.2645
85.693366 74.553 -33.3464
86.059577 74.532 -33.4286
86.425788 74.512 -33.5105
86.791999 74.491 -33.5917
87.158210 74.471 -33.6725
87.524421 74.450 -33.7535
87.890632 74.430 -33.8356
88.256843 74.410 -33.9185
88.623054 74.389 -34.0017
88.989265 74.368 -34.0842
89.355476 74.347 -34.1649
89.721687 74.326 -34.2432
90.087898 74.306 -34.3192
90.454109 74.285 -34.3940
90.820320 74.265 -34.4681
91.186531 74.245 -34.5424
91.552742 74.224 -34.6166
91.918953 74.204 -34.6906
92.285164 74.184 -34.7639
92.651375 74.164 -34.8368
93.017586 74.144 -34.9091
93.383797 74.124 -34.9812
93.750008 74.104 -35.0525
94.116219 74.083 -35.1219
94.482430 74.062 -35.1887
94.848641 74.041 -35.2520
95.214851 74.020 -35.3123
95.581062 74.000 -35.3706
95.947273 73.980 -35.4285
96.313484 73.960 -35.4869
96.679695 73.940 -35.5461
97.045906 73.921 -35.6057
97.412117 73.901 -35.6648
97.778328 73.881 -35.7228
98.144539 73.861 -35.7797
98.510750 73.841 -35.8361
98.876961 73.821 -35.8926
99.243172 73.802 -35.9497
99.609383 73.782 -36.0072
99.975594 73.763 -36.0648
100.341805 73.743 -36.1218
100.708016 73.723 -36.1782
101.074227 73.704 -36.2340
101.440438 73.685 -36.2894
101.806649 73.666 -36.3447
102.172860 73.647 -36.4001
102.539071 73.628 -36.4552
102.905282 73.609 -36.5096
103.271493 73.590 -36.5632
103.637704 73.571 -36.6155
104.003915 73.552 -36.6663
104.370126 73.533 -36.7156
104.736337 73.515 -36.7638
105.102548 73.497 -36.8111
105.468759 73.479 -36.8580
105.834970 73.461 -36.9047
106.201180 73.443 -36.9512
106.567391 73.425 -36.9974
106.933602 73.406 -37.0429
107.299813 73.388 -37.0873
107.666024 73.370 -37.1305
108.032235 73.352 -37.1724
108.398446 73.333 -37.2135
108.764657 73.315 -37.2546
109.130868 73.297 -37.2960
109.497079 73.279 -37.3383
109.863290 73.260 -37.3811
110.229501 73.242 -37.4241
110.595712 73.223 -37.4668
110.961923 73.205 -37.5089
111.328134 73.186 -37.5503
111.694345 73.168 -37.5914
112.060556 73.150 -37.6326
112.426767 73.132 -37.6742
112.792978 73.114 -37.7161
113.159189 73.096 -37.7582
113.525400 73.078 -37.7998
113.891611 73.061 -37.8411
114.257822 73.043 -37.8820
114.624033 73.026 -37.9229
114.990244 73.009 -37.9639
115.356455 72.992 -38.0043
115.722666 72.974 -38.0435
116.088877 72.957 -38.0803
116.455088 72.940 -38.1140
116.821299 72.922 -38.1450
117.187510 72.905 -38.1738
117.553720 72.888 -38.2019
117.919931 72.872 -38.2299
118.286142 72.855 -38.2582
118.652353 72.838 -38.2867
119.018564 72.821 -38.3149
119.384775 72.804 -38.3427
119.750986 72.786 -38.3696
120.117197 72.768 -38.3953
120.483408 72.750 -38.4194
120.849619 72.732 -38.4418
121.215830 72.714 -38.4625
121.582041 72.697 -38.4822
121.948252 72.679 -38.5016
122.314463 72.661 -38.5215
122.680674 72.644 -38.5422
123.046885 72.627 -38.5638
123.413096 72.610 -38.5859
123.779307 72.593 -38.6083
124.145518 72.576 -38.6309
124.511729 72.560 -38.6538
124.877940 72.544 -38.6776
125.244151 72.528 -38.7024
125.610362 72.513 -38.7279
125.976573 72.498 -38.7538
126.342784 72.482 -38.7793
126.708995 72.467 -38.8038
127.075206 72.452 -38.8273
127.441417 72.437 -38.8501
127.807628 72.423 -38.8726
128.173839 72.408 -38.8949
128.540049 72.394 -38.9174
128.906260 72.379 -38.9398
129.272471 72.364 -38.9619
129.638682 72.349 -38.9835
130.004893 72.335 -39.0043
130.371104 72.320 -39.0244
130.737315 72.305 -39.0437
131.103526 72.290 -39.0624
131.469737 72.275 -39.0807
131.835948 72.260 -39.0988
132.202159 72.245 -39.1166
132.568370 72.230 -39.1344
132.934581 72.215 -39.1520
133.300792 72.200 -39.1692
133.667003 72.185 -39.1858
134.033214 72.170 -39.2019
134.399425 72.156 -39.2177
134.765636 72.141 -39.2335
135.131847 72.126 -39.2494
135.498058 72.112 -39.2656
135.864269 72.098 -39.2820
136.230480 72.083 -39.2981
136.596691 72.069 -39.3138
136.962902 72.055 -39.3292
137.329113 72.041 -39.3441
137.695324 72.027 -39.3588
138.061535 72.013 -39.3733
138.427746 71.999 -39.3875
138.793957 71.985 -39.4014
139.160168 71.972 -39.4149
139.526379 71.958 -39.4283
139.892589 71.945 -39.4419
140.258800 71.931 -39.4560
140.625011 71.918 -39.4705
140.991222 71.905 -39.4849
141.357433 71.891 -39.4988
141.723644 71.877 -39.5115
142.089855 71.864 -39.5227
142.456066 71.850 -39.5326
142.822277 71.836 -39.5415
143.188488 71.823 -39.5498
143.554699 71.810 -39.5576
143.920910 71.796 -39.5650
144.287121 71.783 -39.5715
144.653332 71.769 -39.5769
