* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:44:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Black Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.359 -54.1459
0.732422 70.512 -103.6135
1.098633 71.755 -146.6560
1.464844 72.637 176.4307
1.831055 72.878 145.0707
2.197266 72.281 119.4633
2.563477 70.708 101.6770
2.929688 68.441 97.6893
3.295899 67.729 111.2597
3.662110 69.973 120.5176
4.028321 72.364 116.8605
4.394532 73.850 108.4381
4.760743 74.539 100.3145
5.126954 74.762 94.8988
5.493164 74.934 92.6134
5.859375 75.347 91.7785
6.225586 75.950 90.1880
6.591797 76.492 87.2070
6.958008 76.809 83.6607
7.324219 76.908 80.6682
7.690430 76.913 78.8234
8.056641 76.961 77.8746
8.422852 77.098 77.0453
8.789063 77.267 75.7767
9.155274 77.389 74.0961
9.521485 77.437 72.3709
9.887696 77.439 70.8945
10.253907 77.379 69.6771
10.620118 77.313 68.5268
10.986329 77.264 67.2761
11.352540 77.214 65.9082
11.718751 77.155 64.5034
12.084962 77.092 63.1254
12.451173 77.035 61.7772
12.817384 77.039 60.4442
13.183595 77.053 59.1433
13.549806 77.067 57.9118
13.916017 77.085 56.7596
14.282228 77.111 55.6487
14.648439 77.140 54.5311
15.014650 77.163 53.4019
15.380861 77.172 52.3069
15.747072 77.172 51.2977
16.113283 77.177 50.3787
16.479493 77.197 49.5026
16.845704 77.220 48.6119
17.211915 77.237 47.6862
17.578126 77.245 46.7480
17.944337 77.246 45.8300
18.310548 77.243 44.9401
18.676759 77.241 44.0591
19.042970 77.241 43.1640
19.409181 77.240 42.2497
19.775392 77.238 41.3275
20.141603 77.238 40.4087
20.507814 77.241 39.4946
20.874025 77.247 38.5816
21.240236 77.253 37.6733
21.606447 77.260 36.7821
21.972658 77.268 35.9188
22.338869 77.279 35.0816
22.705080 77.292 34.2605
23.071291 77.306 33.4479
23.437502 77.319 32.6483
23.803713 77.329 31.8739
24.169924 77.337 31.1320
24.536135 77.346 30.4171
24.902346 77.355 29.7150
25.268557 77.364 29.0132
25.634768 77.370 28.3095
26.000979 77.372 27.6100
26.367190 77.372 26.9219
26.733401 77.369 26.2477
27.099612 77.367 25.5835
27.465823 77.365 24.9213
27.832033 77.364 24.2529
28.198244 77.362 23.5730
28.564455 77.360 22.8848
28.930666 77.355 22.1982
29.296877 77.349 21.5270
29.663088 77.345 20.8781
30.029299 77.343 20.2463
30.395510 77.345 19.6174
30.761721 77.349 18.9789
31.127932 77.352 18.3313
31.494143 77.353 17.6875
31.860354 77.351 17.0627
32.226565 77.350 16.4626
32.592776 77.349 15.8802
32.958987 77.350 15.3033
33.325198 77.350 14.7256
33.691409 77.349 14.1504
34.057620 77.346 13.5846
34.423831 77.342 13.0310
34.790042 77.338 12.4848
35.156253 77.334 11.9381
35.522464 77.330 11.3870
35.888675 77.324 10.8339
36.254886 77.317 10.2850
36.621097 77.309 9.7444
36.987308 77.302 9.2115
37.353519 77.296 8.6826
37.719730 77.290 8.1537
38.085941 77.285 7.6227
38.452152 77.280 7.0893
38.818363 77.274 6.5552
39.184573 77.267 6.0239
39.550784 77.260 5.4995
39.916995 77.253 4.9854
40.283206 77.246 4.4814
40.649417 77.240 3.9846
41.015628 77.234 3.4909
41.381839 77.228 2.9985
41.748050 77.222 2.5092
42.114261 77.214 2.0254
42.480472 77.207 1.5484
42.846683 77.199 1.0764
43.212894 77.192 0.6064
43.579105 77.184 0.1367
43.945316 77.175 -0.3317
44.311527 77.166 -0.7966
44.677738 77.157 -1.2562
45.043949 77.148 -1.7114
45.410160 77.139 -2.1642
45.776371 77.130 -2.6165
46.142582 77.121 -3.0685
46.508793 77.111 -3.5189
46.875004 77.101 -3.9656
47.241215 77.090 -4.4064
47.607426 77.079 -4.8401
47.973637 77.068 -5.2667
48.339848 77.057 -5.6875
48.706059 77.046 -6.1042
49.072270 77.036 -6.5190
49.438481 77.025 -6.9332
49.804692 77.014 -7.3464
50.170902 77.003 -7.7578
50.537113 76.991 -8.1656
50.903324 76.978 -8.5688
51.269535 76.965 -8.9668
51.635746 76.952 -9.3601
52.001957 76.939 -9.7496
52.368168 76.926 -10.1359
52.734379 76.912 -10.5184
53.100590 76.898 -10.8953
53.466801 76.883 -11.2648
53.833012 76.869 -11.6272
54.199223 76.856 -11.9849
54.565434 76.843 -12.3416
54.931645 76.830 -12.6993
55.297856 76.816 -13.0570
55.664067 76.802 -13.4110
56.030278 76.786 -13.7574
56.396489 76.771 -14.0953
56.762700 76.756 -14.4272
57.128911 76.741 -14.7567
57.495122 76.726 -15.0856
57.861333 76.710 -15.4122
58.227544 76.693 -15.7327
58.593755 76.676 -16.0434
58.959966 76.659 -16.3441
59.326177 76.643 -16.6375
59.692388 76.627 -16.9276
60.058599 76.612 -17.2179
60.424810 76.597 -17.5096
60.791021 76.582 -17.8021
61.157232 76.567 -18.0935
61.523442 76.551 -18.3815
61.889653 76.534 -18.6639
62.255864 76.517 -18.9392
62.622075 76.500 -19.2068
62.988286 76.482 -19.4676
63.354497 76.465 -19.7231
63.720708 76.448 -19.9751
64.086919 76.431 -20.2245
64.453130 76.414 -20.4711
64.819341 76.397 -20.7145
65.185552 76.380 -20.9542
65.551763 76.362 -21.1910
65.917974 76.345 -21.4260
66.284185 76.327 -21.6599
66.650396 76.309 -21.8922
67.016607 76.290 -22.1213
67.382818 76.271 -22.3450
67.749029 76.251 -22.5619
68.115240 76.232 -22.7720
68.481451 76.213 -22.9772
68.847662 76.194 -23.1791
69.213873 76.176 -23.3792
69.580084 76.157 -23.5775
69.946295 76.139 -23.7740
70.312506 76.121 -23.9690
70.678717 76.104 -24.1630
71.044928 76.086 -24.3564
71.411139 76.068 -24.5487
71.777350 76.049 -24.7385
72.143561 76.030 -24.9244
72.509771 76.011 -25.1055
72.875982 75.992 -25.2823
73.242193 75.972 -25.4556
73.608404 75.953 -25.6252
73.974615 75.934 -25.7910
74.340826 75.915 -25.9525
74.707037 75.896 -26.1108
75.073248 75.877 -26.2679
75.439459 75.859 -26.4263
75.805670 75.841 -26.5867
76.171881 75.822 -26.7477
76.538092 75.803 -26.9070
76.904303 75.784 -27.0629
77.270514 75.764 -27.2153
77.636725 75.745 -27.3657
78.002936 75.726 -27.5155
78.369147 75.706 -27.6646
78.735358 75.686 -27.8112
79.101569 75.666 -27.9537
79.467780 75.646 -28.0916
79.833991 75.627 -28.2256
80.200202 75.607 -28.3577
80.566413 75.589 -28.4891
80.932624 75.570 -28.6201
81.298835 75.551 -28.7498
81.665046 75.532 -28.8776
82.031257 75.513 -29.0035
82.397468 75.495 -29.1284
82.763679 75.476 -29.2526
83.129890 75.457 -29.3757
83.496101 75.439 -29.4966
83.862311 75.420 -29.6149
84.228522 75.401 -29.7311
84.594733 75.383 -29.8468
84.960944 75.364 -29.9628
85.327155 75.346 -30.0787
85.693366 75.327 -30.1931
86.059577 75.308 -30.3043
86.425788 75.289 -30.4120
86.791999 75.270 -30.5171
87.158210 75.251 -30.6212
87.524421 75.233 -30.7250
87.890632 75.214 -30.8280
88.256843 75.195 -30.9291
88.623054 75.177 -31.0276
88.989265 75.158 -31.1243
89.355476 75.140 -31.2205
89.721687 75.122 -31.3176
90.087898 75.103 -31.4160
90.454109 75.084 -31.5145
90.820320 75.065 -31.6118
91.186531 75.046 -31.7066
91.552742 75.027 -31.7991
91.918953 75.008 -31.8901
92.285164 74.989 -31.9802
92.651375 74.970 -32.0698
93.017586 74.951 -32.1581
93.383797 74.932 -32.2448
93.750008 74.913 -32.3293
94.116219 74.894 -32.4124
94.482430 74.876 -32.4948
94.848641 74.858 -32.5771
95.214851 74.840 -32.6600
95.581062 74.822 -32.7437
95.947273 74.804 -32.8280
96.313484 74.787 -32.9127
96.679695 74.769 -32.9975
97.045906 74.751 -33.0820
97.412117 74.733 -33.1657
97.778328 74.714 -33.2479
98.144539 74.696 -33.3284
98.510750 74.678 -33.4070
98.876961 74.659 -33.4842
99.243172 74.641 -33.5603
99.609383 74.622 -33.6356
99.975594 74.604 -33.7100
100.341805 74.586 -33.7829
100.708016 74.567 -33.8541
101.074227 74.549 -33.9233
101.440438 74.530 -33.9908
101.806649 74.512 -34.0569
102.172860 74.494 -34.1221
102.539071 74.476 -34.1866
102.905282 74.458 -34.2507
103.271493 74.440 -34.3141
103.637704 74.422 -34.3767
104.003915 74.404 -34.4385
104.370126 74.386 -34.4993
104.736337 74.368 -34.5591
105.102548 74.350 -34.6185
105.468759 74.333 -34.6776
105.834970 74.315 -34.7366
106.201180 74.297 -34.7953
106.567391 74.279 -34.8534
106.933602 74.262 -34.9107
107.299813 74.244 -34.9673
107.666024 74.226 -35.0232
108.032235 74.208 -35.0787
108.398446 74.190 -35.1339
108.764657 74.172 -35.1884
109.130868 74.154 -35.2413
109.497079 74.136 -35.2925
109.863290 74.118 -35.3418
110.229501 74.100 -35.3900
110.595712 74.083 -35.4379
110.961923 74.065 -35.4859
111.328134 74.048 -35.5341
111.694345 74.031 -35.5823
112.060556 74.014 -35.6303
112.426767 73.997 -35.6786
112.792978 73.980 -35.7277
113.159189 73.963 -35.7778
113.525400 73.946 -35.8286
113.891611 73.929 -35.8795
114.257822 73.912 -35.9297
114.624033 73.895 -35.9786
114.990244 73.878 -36.0258
115.356455 73.861 -36.0712
115.722666 73.844 -36.1150
116.088877 73.827 -36.1576
116.455088 73.810 -36.1992
116.821299 73.793 -36.2400
117.187510 73.777 -36.2800
117.553720 73.760 -36.3193
117.919931 73.744 -36.3576
118.286142 73.728 -36.3953
118.652353 73.712 -36.4330
119.018564 73.697 -36.4719
119.384775 73.681 -36.5129
119.750986 73.665 -36.5560
120.117197 73.649 -36.6003
120.483408 73.633 -36.6445
120.849619 73.616 -36.6874
121.215830 73.599 -36.7283
121.582041 73.582 -36.7676
121.948252 73.566 -36.8060
122.314463 73.549 -36.8442
122.680674 73.533 -36.8826
123.046885 73.517 -36.9209
123.413096 73.501 -36.9594
123.779307 73.486 -36.9980
124.145518 73.470 -37.0369
124.511729 73.455 -37.0761
124.877940 73.440 -37.1152
125.244151 73.425 -37.1539
125.610362 73.411 -37.1917
125.976573 73.396 -37.2284
126.342784 73.382 -37.2643
126.708995 73.368 -37.2991
127.075206 73.354 -37.3330
127.441417 73.340 -37.3656
127.807628 73.326 -37.3967
128.173839 73.312 -37.4264
128.540049 73.298 -37.4551
128.906260 73.284 -37.4834
129.272471 73.270 -37.5116
129.638682 73.256 -37.5400
130.004893 73.241 -37.5685
130.371104 73.227 -37.5968
130.737315 73.212 -37.6248
131.103526 73.198 -37.6523
131.469737 73.183 -37.6793
131.835948 73.168 -37.7058
132.202159 73.153 -37.7318
132.568370 73.138 -37.7572
132.934581 73.123 -37.7822
133.300792 73.109 -37.8072
133.667003 73.094 -37.8323
134.033214 73.079 -37.8574
134.399425 73.065 -37.8826
134.765636 73.050 -37.9073
135.131847 73.035 -37.9313
135.498058 73.021 -37.9544
135.864269 73.006 -37.9766
136.230480 72.992 -37.9980
136.596691 72.978 -38.0192
136.962902 72.964 -38.0399
137.329113 72.950 -38.0604
137.695324 72.936 -38.0804
138.061535 72.922 -38.0999
138.427746 72.908 -38.1189
138.793957 72.894 -38.1375
139.160168 72.880 -38.1555
139.526379 72.866 -38.1727
139.892589 72.852 -38.1887
140.258800 72.838 -38.2034
140.625011 72.824 -38.2164
140.991222 72.810 -38.2284
141.357433 72.796 -38.2399
141.723644 72.782 -38.2515
142.089855 72.768 -38.2635
142.456066 72.754 -38.2756
142.822277 72.739 -38.2877
143.188488 72.725 -38.2992
143.554699 72.711 -38.3104
143.920910 72.697 -38.3218
144.287121 72.683 -38.3337
144.653332 72.669 -38.3466
145.019543 72.655 -38.3600
145.385754 72.641 -38.3738
