* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:45:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Black Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.939 -38.4122
0.732422 73.925 -79.9012
1.098633 72.897 -126.1806
1.464844 72.596 -173.4720
1.831055 72.767 145.5512
2.197266 72.461 113.6449
2.563477 71.009 91.5091
2.929688 68.231 84.8512
3.295899 66.665 104.5780
3.662110 69.580 120.2739
4.028321 72.491 116.7281
4.394532 74.090 107.3787
4.760743 74.666 98.5738
5.126954 74.660 93.2062
5.493164 74.627 91.8991
5.859375 74.988 92.2737
6.225586 75.645 91.1325
6.591797 76.222 87.7882
6.958008 76.504 83.5767
7.324219 76.513 80.0752
7.690430 76.425 78.0981
8.056641 76.429 77.2774
8.422852 76.582 76.5057
8.789063 76.789 75.0474
9.155274 76.936 73.0323
9.521485 76.988 71.0244
9.887696 76.990 69.4303
10.253907 76.940 68.2340
10.620118 76.899 67.1441
10.986329 76.878 65.9326
11.352540 76.849 64.5997
11.718751 76.801 63.2687
12.084962 76.746 62.0112
12.451173 76.693 60.7990
12.817384 76.698 59.5869
13.183595 76.704 58.3930
13.549806 76.704 57.2752
13.916017 76.707 56.2491
14.282228 76.721 55.2512
14.648439 76.741 54.1982
15.014650 76.755 53.0741
15.380861 76.752 51.9463
15.747072 76.738 50.8974
16.113283 76.731 49.9460
16.479493 76.746 49.0336
16.845704 76.768 48.0866
17.211915 76.787 47.0850
17.578126 76.796 46.0699
17.944337 76.797 45.0950
18.310548 76.797 44.1776
18.676759 76.801 43.2925
19.042970 76.809 42.4068
19.409181 76.816 41.5101
19.775392 76.822 40.6137
20.141603 76.828 39.7299
20.507814 76.835 38.8587
20.874025 76.843 37.9961
21.240236 76.849 37.1462
21.606447 76.854 36.3189
21.972658 76.860 35.5155
22.338869 76.869 34.7224
22.705080 76.879 33.9226
23.071291 76.887 33.1143
23.437502 76.892 32.3154
23.803713 76.893 31.5464
24.169924 76.896 30.8101
24.536135 76.901 30.0890
24.902346 76.907 29.3624
25.268557 76.913 28.6271
25.634768 76.915 27.8987
26.000979 76.915 27.1936
26.367190 76.916 26.5118
26.733401 76.919 25.8369
27.099612 76.922 25.1531
27.465823 76.923 24.4608
27.832033 76.921 23.7764
28.198244 76.917 23.1166
28.564455 76.913 22.4841
28.930666 76.913 21.8656
29.296877 76.916 21.2429
29.663088 76.920 20.6053
30.029299 76.923 19.9536
30.395510 76.923 19.2965
30.761721 76.922 18.6449
31.127932 76.918 18.0076
31.494143 76.913 17.3892
31.860354 76.909 16.7888
32.226565 76.907 16.1987
32.592776 76.906 15.6097
32.958987 76.905 15.0165
33.325198 76.902 14.4218
33.691409 76.898 13.8336
34.057620 76.893 13.2590
34.423831 76.888 12.6978
34.790042 76.883 12.1443
35.156253 76.879 11.5934
35.522464 76.875 11.0442
35.888675 76.870 10.4986
36.254886 76.865 9.9567
36.621097 76.861 9.4146
36.987308 76.856 8.8682
37.353519 76.849 8.3187
37.719730 76.841 7.7729
38.085941 76.831 7.2399
38.452152 76.821 6.7232
38.818363 76.812 6.2187
39.184573 76.806 5.7172
39.550784 76.800 5.2109
39.916995 76.795 4.6975
40.283206 76.789 4.1805
40.649417 76.783 3.6655
41.015628 76.775 3.1577
41.381839 76.768 2.6597
41.748050 76.760 2.1714
42.114261 76.752 1.6903
42.480472 76.746 1.2130
42.846683 76.739 0.7369
43.212894 76.732 0.2612
43.579105 76.725 -0.2125
43.945316 76.717 -0.6824
44.311527 76.708 -1.1479
44.677738 76.700 -1.6094
45.043949 76.690 -2.0673
45.410160 76.681 -2.5214
45.776371 76.671 -2.9705
46.142582 76.660 -3.4149
46.508793 76.650 -3.8563
46.875004 76.640 -4.2969
47.241215 76.630 -4.7371
47.607426 76.618 -5.1750
47.973637 76.606 -5.6083
48.339848 76.594 -6.0355
48.706059 76.582 -6.4575
49.072270 76.570 -6.8761
49.438481 76.558 -7.2921
49.804692 76.546 -7.7046
50.170902 76.534 -8.1128
50.537113 76.522 -8.5164
50.903324 76.510 -8.9169
51.269535 76.498 -9.3157
51.635746 76.485 -9.7129
52.001957 76.473 -10.1071
52.368168 76.459 -10.4968
52.734379 76.446 -10.8815
53.100590 76.432 -11.2616
53.466801 76.418 -11.6378
53.833012 76.403 -12.0100
54.199223 76.388 -12.3777
54.565434 76.373 -12.7402
54.931645 76.358 -13.0974
55.297856 76.342 -13.4487
55.664067 76.327 -13.7941
56.030278 76.312 -14.1335
56.396489 76.297 -14.4684
56.762700 76.282 -14.8015
57.128911 76.268 -15.1354
57.495122 76.254 -15.4709
57.861333 76.239 -15.8062
58.227544 76.222 -16.1370
58.593755 76.205 -16.4595
58.959966 76.188 -16.7715
59.326177 76.170 -17.0737
59.692388 76.154 -17.3688
60.058599 76.138 -17.6600
60.424810 76.122 -17.9501
60.791021 76.106 -18.2394
61.157232 76.090 -18.5270
61.523442 76.074 -18.8104
61.889653 76.057 -19.0881
62.255864 76.039 -19.3599
62.622075 76.022 -19.6265
62.988286 76.005 -19.8894
63.354497 75.987 -20.1492
63.720708 75.969 -20.4059
64.086919 75.951 -20.6591
64.453130 75.933 -20.9086
64.819341 75.914 -21.1548
65.185552 75.896 -21.3982
65.551763 75.877 -21.6381
65.917974 75.858 -21.8736
66.284185 75.839 -22.1039
66.650396 75.820 -22.3293
67.016607 75.801 -22.5511
67.382818 75.783 -22.7704
67.749029 75.764 -22.9875
68.115240 75.746 -23.2023
68.481451 75.727 -23.4142
68.847662 75.708 -23.6228
69.213873 75.690 -23.8287
69.580084 75.671 -24.0323
69.946295 75.653 -24.2339
70.312506 75.634 -24.4335
70.678717 75.615 -24.6301
71.044928 75.596 -24.8235
71.411139 75.576 -25.0129
71.777350 75.557 -25.1984
72.143561 75.538 -25.3801
72.509771 75.518 -25.5588
72.875982 75.499 -25.7350
73.242193 75.479 -25.9088
73.608404 75.460 -26.0798
73.974615 75.440 -26.2472
74.340826 75.421 -26.4106
74.707037 75.401 -26.5710
75.073248 75.382 -26.7302
75.439459 75.364 -26.8895
75.805670 75.345 -27.0494
76.171881 75.325 -27.2087
76.538092 75.306 -27.3660
76.904303 75.286 -27.5198
77.270514 75.266 -27.6703
77.636725 75.247 -27.8184
78.002936 75.228 -27.9653
78.369147 75.208 -28.1116
78.735358 75.188 -28.2568
79.101569 75.169 -28.3997
79.467780 75.148 -28.5394
79.833991 75.128 -28.6755
80.200202 75.109 -28.8086
80.566413 75.089 -28.9394
80.932624 75.070 -29.0686
81.298835 75.050 -29.1963
81.665046 75.031 -29.3223
82.031257 75.011 -29.4464
82.397468 74.992 -29.5687
82.763679 74.973 -29.6896
83.129890 74.953 -29.8093
83.496101 74.934 -29.9281
83.862311 74.915 -30.0459
84.228522 74.896 -30.1625
84.594733 74.876 -30.2777
84.960944 74.857 -30.3915
85.327155 74.838 -30.5040
85.693366 74.819 -30.6155
86.059577 74.800 -30.7262
86.425788 74.781 -30.8367
86.791999 74.762 -30.9471
87.158210 74.743 -31.0580
87.524421 74.724 -31.1691
87.890632 74.705 -31.2794
88.256843 74.686 -31.3885
88.623054 74.666 -31.4954
88.989265 74.647 -31.6000
89.355476 74.628 -31.7026
89.721687 74.608 -31.8038
90.087898 74.589 -31.9037
90.454109 74.569 -32.0018
90.820320 74.550 -32.0977
91.186531 74.530 -32.1903
91.552742 74.511 -32.2798
91.918953 74.491 -32.3663
92.285164 74.472 -32.4510
92.651375 74.453 -32.5348
93.017586 74.435 -32.6183
93.383797 74.416 -32.7018
93.750008 74.398 -32.7852
94.116219 74.379 -32.8682
94.482430 74.360 -32.9504
94.848641 74.342 -33.0320
95.214851 74.323 -33.1131
95.581062 74.305 -33.1937
95.947273 74.286 -33.2739
96.313484 74.267 -33.3539
96.679695 74.249 -33.4341
97.045906 74.230 -33.5142
97.412117 74.212 -33.5941
97.778328 74.193 -33.6731
98.144539 74.174 -33.7506
98.510750 74.155 -33.8262
98.876961 74.136 -33.9000
99.243172 74.117 -33.9727
99.609383 74.098 -34.0447
99.975594 74.080 -34.1167
100.341805 74.061 -34.1884
100.708016 74.043 -34.2593
101.074227 74.024 -34.3287
101.440438 74.005 -34.3961
101.806649 73.986 -34.4617
102.172860 73.968 -34.5260
102.539071 73.950 -34.5902
102.905282 73.932 -34.6548
103.271493 73.913 -34.7198
103.637704 73.895 -34.7849
104.003915 73.877 -34.8490
104.370126 73.859 -34.9119
104.736337 73.840 -34.9739
105.102548 73.822 -35.0354
105.468759 73.804 -35.0970
105.834970 73.786 -35.1587
106.201180 73.768 -35.2198
106.567391 73.749 -35.2797
106.933602 73.731 -35.3380
107.299813 73.713 -35.3948
107.666024 73.695 -35.4506
108.032235 73.677 -35.5059
108.398446 73.659 -35.5607
108.764657 73.641 -35.6150
109.130868 73.624 -35.6687
109.497079 73.606 -35.7222
109.863290 73.589 -35.7760
110.229501 73.571 -35.8306
110.595712 73.554 -35.8859
110.961923 73.536 -35.9414
111.328134 73.518 -35.9962
111.694345 73.500 -36.0494
112.060556 73.482 -36.1006
112.426767 73.463 -36.1497
112.792978 73.445 -36.1970
113.159189 73.427 -36.2430
113.525400 73.410 -36.2880
113.891611 73.392 -36.3322
114.257822 73.375 -36.3758
114.624033 73.358 -36.4189
114.990244 73.341 -36.4617
115.356455 73.324 -36.5042
115.722666 73.307 -36.5463
116.088877 73.291 -36.5881
116.455088 73.274 -36.6298
116.821299 73.258 -36.6711
117.187510 73.242 -36.7124
117.553720 73.225 -36.7533
117.919931 73.209 -36.7939
118.286142 73.193 -36.8344
118.652353 73.176 -36.8749
119.018564 73.160 -36.9158
119.384775 73.143 -36.9572
119.750986 73.126 -36.9987
120.117197 73.109 -37.0397
120.483408 73.091 -37.0798
120.849619 73.074 -37.1187
121.215830 73.056 -37.1563
121.582041 73.038 -37.1932
121.948252 73.020 -37.2296
122.314463 73.002 -37.2656
122.680674 72.985 -37.3010
123.046885 72.967 -37.3353
123.413096 72.950 -37.3687
123.779307 72.932 -37.4012
124.145518 72.916 -37.4335
124.511729 72.900 -37.4663
124.877940 72.884 -37.5001
125.244151 72.869 -37.5350
125.610362 72.854 -37.5709
125.976573 72.839 -37.6071
126.342784 72.824 -37.6428
126.708995 72.809 -37.6777
127.075206 72.795 -37.7114
127.441417 72.781 -37.7439
127.807628 72.766 -37.7756
128.173839 72.752 -37.8069
128.540049 72.738 -37.8380
128.906260 72.724 -37.8690
129.272471 72.710 -37.8994
129.638682 72.695 -37.9286
130.004893 72.680 -37.9563
130.371104 72.665 -37.9827
130.737315 72.650 -38.0078
131.103526 72.635 -38.0323
131.469737 72.620 -38.0567
131.835948 72.605 -38.0808
132.202159 72.590 -38.1045
132.568370 72.575 -38.1277
132.934581 72.560 -38.1501
133.300792 72.544 -38.1723
133.667003 72.529 -38.1943
134.033214 72.515 -38.2167
134.399425 72.500 -38.2397
134.765636 72.485 -38.2634
135.131847 72.471 -38.2878
135.498058 72.456 -38.3124
135.864269 72.442 -38.3369
136.230480 72.428 -38.3610
136.596691 72.413 -38.3842
136.962902 72.399 -38.4064
137.329113 72.385 -38.4277
137.695324 72.371 -38.4484
138.061535 72.357 -38.4683
138.427746 72.344 -38.4871
138.793957 72.330 -38.5048
139.160168 72.316 -38.5211
139.526379 72.302 -38.5361
139.892589 72.289 -38.5503
140.258800 72.275 -38.5641
140.625011 72.262 -38.5782
140.991222 72.248 -38.5930
141.357433 72.235 -38.6088
141.723644 72.221 -38.6251
142.089855 72.208 -38.6417
142.456066 72.194 -38.6583
142.822277 72.180 -38.6746
143.188488 72.166 -38.6906
143.554699 72.152 -38.7065
143.920910 72.138 -38.7230
144.287121 72.124 -38.7401
144.653332 72.110 -38.7579
145.019543 72.096 -38.7766
145.385754 72.082 -38.7957
