* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:35:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Blue Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.225 -49.3381
0.732422 71.707 -97.3478
1.098633 72.431 -141.8279
1.464844 73.069 178.9960
1.831055 73.224 145.6481
2.197266 72.577 118.4609
2.563477 70.879 99.4013
2.929688 68.287 95.1578
3.295899 67.375 111.8603
3.662110 69.978 122.7551
4.028321 72.575 118.5338
4.394532 74.108 109.4197
4.760743 74.770 100.8395
5.126954 74.936 95.2903
5.493164 75.066 93.1833
5.859375 75.482 92.5858
6.225586 76.114 91.0135
6.591797 76.674 87.8349
6.958008 76.984 84.0310
7.324219 77.058 80.8534
7.690430 77.034 78.9534
8.056641 77.067 78.0377
8.422852 77.205 77.2270
8.789063 77.380 75.9066
9.155274 77.502 74.1318
9.521485 77.544 72.3292
9.887696 77.537 70.8268
10.253907 77.472 69.6263
10.620118 77.408 68.5022
10.986329 77.362 67.2630
11.352540 77.314 65.8945
11.718751 77.256 64.4905
12.084962 77.193 63.1214
12.451173 77.135 61.7867
12.817384 77.137 60.4684
13.183595 77.147 59.1862
13.549806 77.156 57.9844
13.916017 77.170 56.8737
14.282228 77.195 55.8065
14.648439 77.224 54.7222
15.014650 77.247 53.6104
15.380861 77.256 52.5219
15.747072 77.255 51.5165
16.113283 77.259 50.6036
16.479493 77.278 49.7330
16.845704 77.301 48.8432
17.211915 77.319 47.9133
17.578126 77.327 46.9698
17.944337 77.326 46.0499
18.310548 77.322 45.1636
18.676759 77.319 44.2917
19.042970 77.318 43.4105
19.409181 77.317 42.5135
19.775392 77.316 41.6099
20.141603 77.317 40.7080
20.507814 77.321 39.8061
20.874025 77.327 38.9020
21.240236 77.333 38.0045
21.606447 77.338 37.1306
21.972658 77.346 36.2897
22.338869 77.357 35.4740
22.705080 77.373 34.6651
23.071291 77.388 33.8534
23.437502 77.401 33.0477
23.803713 77.410 32.2669
24.169924 77.418 31.5216
24.536135 77.425 30.8053
24.902346 77.434 30.1014
25.268557 77.441 29.3985
25.634768 77.445 28.6986
26.000979 77.446 28.0103
26.367190 77.446 27.3378
26.733401 77.445 26.6760
27.099612 77.444 26.0156
27.465823 77.442 25.3505
27.832033 77.440 24.6809
28.198244 77.438 24.0110
28.564455 77.434 23.3435
28.930666 77.431 22.6794
29.296877 77.429 22.0201
29.663088 77.427 21.3669
30.029299 77.426 20.7201
30.395510 77.426 20.0779
30.761721 77.427 19.4381
31.127932 77.428 18.8021
31.494143 77.429 18.1746
31.860354 77.428 17.5608
32.226565 77.428 16.9616
32.592776 77.429 16.3727
32.958987 77.429 15.7887
33.325198 77.429 15.2081
33.691409 77.427 14.6341
34.057620 77.423 14.0707
34.423831 77.419 13.5187
34.790042 77.415 12.9740
35.156253 77.411 12.4323
35.522464 77.406 11.8914
35.888675 77.401 11.3523
36.254886 77.395 10.8162
36.621097 77.390 10.2827
36.987308 77.384 9.7498
37.353519 77.378 9.2163
37.719730 77.372 8.6842
38.085941 77.365 8.1560
38.452152 77.359 7.6335
38.818363 77.352 7.1169
39.184573 77.346 6.6049
39.550784 77.341 6.0960
39.916995 77.336 5.5898
40.283206 77.331 5.0862
40.649417 77.327 4.5845
41.015628 77.322 4.0850
41.381839 77.316 3.5892
41.748050 77.309 3.0997
42.114261 77.302 2.6178
42.480472 77.295 2.1436
42.846683 77.288 1.6749
43.212894 77.281 1.2094
43.579105 77.274 0.7451
43.945316 77.267 0.2812
44.311527 77.259 -0.1826
44.677738 77.251 -0.6456
45.043949 77.242 -1.1066
45.410160 77.232 -1.5626
45.776371 77.222 -2.0115
46.142582 77.212 -2.4530
46.508793 77.203 -2.8894
46.875004 77.193 -3.3242
47.241215 77.184 -3.7594
47.607426 77.175 -4.1945
47.973637 77.165 -4.6272
48.339848 77.154 -5.0557
48.706059 77.143 -5.4790
49.072270 77.132 -5.8976
49.438481 77.120 -6.3118
49.804692 77.108 -6.7209
50.170902 77.096 -7.1244
50.537113 77.084 -7.5220
50.903324 77.072 -7.9149
51.269535 77.061 -8.3051
51.635746 77.050 -8.6945
52.001957 77.039 -9.0837
52.368168 77.027 -9.4731
52.734379 77.015 -9.8618
53.100590 77.002 -10.2472
53.466801 76.989 -10.6268
53.833012 76.975 -10.9980
54.199223 76.962 -11.3613
54.565434 76.949 -11.7189
54.931645 76.936 -12.0742
55.297856 76.924 -12.4294
55.664067 76.911 -12.7836
56.030278 76.897 -13.1343
56.396489 76.883 -13.4795
56.762700 76.869 -13.8191
57.128911 76.854 -14.1548
57.495122 76.840 -14.4875
57.861333 76.824 -14.8167
58.227544 76.808 -15.1394
58.593755 76.791 -15.4529
58.959966 76.775 -15.7565
59.326177 76.759 -16.0525
59.692388 76.743 -16.3442
60.058599 76.728 -16.6350
60.424810 76.714 -16.9257
60.791021 76.699 -17.2152
61.157232 76.683 -17.5015
61.523442 76.667 -17.7828
61.889653 76.652 -18.0588
62.255864 76.636 -18.3306
62.622075 76.621 -18.5992
62.988286 76.605 -18.8658
63.354497 76.589 -19.1301
63.720708 76.573 -19.3910
64.086919 76.556 -19.6472
64.453130 76.539 -19.8982
64.819341 76.522 -20.1447
65.185552 76.505 -20.3877
65.551763 76.488 -20.6285
65.917974 76.471 -20.8677
66.284185 76.453 -21.1050
66.650396 76.435 -21.3394
67.016607 76.417 -21.5699
67.382818 76.399 -21.7958
67.749029 76.380 -22.0167
68.115240 76.362 -22.2332
68.481451 76.343 -22.4458
68.847662 76.325 -22.6552
69.213873 76.307 -22.8618
69.580084 76.289 -23.0660
69.946295 76.271 -23.2678
70.312506 76.253 -23.4673
70.678717 76.235 -23.6643
71.044928 76.217 -23.8582
71.411139 76.199 -24.0479
71.777350 76.181 -24.2330
72.143561 76.163 -24.4138
72.509771 76.145 -24.5916
72.875982 76.128 -24.7679
73.242193 76.110 -24.9436
73.608404 76.092 -25.1183
73.974615 76.074 -25.2910
74.340826 76.056 -25.4601
74.707037 76.038 -25.6258
75.073248 76.019 -25.7886
75.439459 76.001 -25.9495
75.805670 75.983 -26.1091
76.171881 75.964 -26.2674
76.538092 75.946 -26.4237
76.904303 75.927 -26.5776
77.270514 75.908 -26.7296
77.636725 75.890 -26.8799
78.002936 75.871 -27.0292
78.369147 75.852 -27.1770
78.735358 75.832 -27.3228
79.101569 75.813 -27.4658
79.467780 75.794 -27.6060
79.833991 75.775 -27.7441
80.200202 75.756 -27.8815
80.566413 75.738 -28.0192
80.932624 75.719 -28.1573
81.298835 75.701 -28.2946
81.665046 75.681 -28.4293
82.031257 75.662 -28.5597
82.397468 75.643 -28.6852
82.763679 75.624 -28.8069
83.129890 75.606 -28.9268
83.496101 75.588 -29.0471
83.862311 75.571 -29.1693
84.228522 75.554 -29.2933
84.594733 75.536 -29.4178
84.960944 75.518 -29.5408
85.327155 75.499 -29.6606
85.693366 75.481 -29.7763
86.059577 75.462 -29.8881
86.425788 75.444 -29.9971
86.791999 75.426 -30.1049
87.158210 75.408 -30.2123
87.524421 75.390 -30.3197
87.890632 75.372 -30.4261
88.256843 75.353 -30.5303
88.623054 75.335 -30.6314
88.989265 75.316 -30.7294
89.355476 75.298 -30.8252
89.721687 75.279 -30.9203
90.087898 75.261 -31.0157
90.454109 75.243 -31.1119
90.820320 75.225 -31.2083
91.186531 75.207 -31.3042
91.552742 75.188 -31.3990
91.918953 75.169 -31.4926
92.285164 75.151 -31.5847
92.651375 75.132 -31.6756
93.017586 75.113 -31.7655
93.383797 75.095 -31.8545
93.750008 75.076 -31.9424
94.116219 75.058 -32.0294
94.482430 75.039 -32.1151
94.848641 75.021 -32.1998
95.214851 75.003 -32.2837
95.581062 74.985 -32.3667
95.947273 74.967 -32.4493
96.313484 74.949 -32.5316
96.679695 74.931 -32.6136
97.045906 74.913 -32.6953
97.412117 74.895 -32.7761
97.778328 74.877 -32.8558
98.144539 74.858 -32.9340
98.510750 74.840 -33.0105
98.876961 74.822 -33.0861
99.243172 74.805 -33.1611
99.609383 74.787 -33.2368
99.975594 74.770 -33.3134
100.341805 74.752 -33.3909
100.708016 74.734 -33.4686
101.074227 74.716 -33.5452
101.440438 74.698 -33.6193
101.806649 74.679 -33.6899
102.172860 74.661 -33.7570
102.539071 74.642 -33.8213
102.905282 74.624 -33.8842
103.271493 74.607 -33.9468
103.637704 74.589 -34.0095
104.003915 74.572 -34.0723
104.370126 74.554 -34.1343
104.736337 74.537 -34.1952
105.102548 74.519 -34.2543
105.468759 74.502 -34.3121
105.834970 74.485 -34.3693
106.201180 74.468 -34.4268
106.567391 74.452 -34.4857
106.933602 74.435 -34.5465
107.299813 74.419 -34.6093
107.666024 74.402 -34.6729
108.032235 74.384 -34.7361
108.398446 74.367 -34.7977
108.764657 74.349 -34.8569
109.130868 74.331 -34.9137
109.497079 74.313 -34.9686
109.863290 74.296 -35.0225
110.229501 74.278 -35.0758
110.595712 74.261 -35.1287
110.961923 74.244 -35.1807
111.328134 74.226 -35.2316
111.694345 74.209 -35.2811
112.060556 74.192 -35.3300
112.426767 74.175 -35.3790
112.792978 74.159 -35.4288
113.159189 74.142 -35.4794
113.525400 74.125 -35.5303
113.891611 74.108 -35.5803
114.257822 74.091 -35.6285
114.624033 74.074 -35.6749
114.990244 74.057 -35.7200
115.356455 74.040 -35.7646
115.722666 74.023 -35.8102
116.088877 74.007 -35.8568
116.455088 73.990 -35.9044
116.821299 73.973 -35.9521
117.187510 73.956 -35.9989
117.553720 73.939 -36.0441
117.919931 73.922 -36.0876
118.286142 73.905 -36.1298
118.652353 73.888 -36.1707
119.018564 73.871 -36.2109
119.384775 73.855 -36.2505
119.750986 73.838 -36.2893
120.117197 73.822 -36.3276
120.483408 73.805 -36.3657
120.849619 73.789 -36.4040
121.215830 73.773 -36.4430
121.582041 73.758 -36.4828
121.948252 73.742 -36.5233
122.314463 73.726 -36.5640
122.680674 73.709 -36.6046
123.046885 73.693 -36.6442
123.413096 73.677 -36.6824
123.779307 73.660 -36.7191
124.145518 73.644 -36.7542
124.511729 73.628 -36.7881
124.877940 73.612 -36.8213
125.244151 73.597 -36.8542
125.610362 73.582 -36.8871
125.976573 73.567 -36.9199
126.342784 73.552 -36.9526
126.708995 73.537 -36.9847
127.075206 73.522 -37.0162
127.441417 73.507 -37.0470
127.807628 73.493 -37.0771
128.173839 73.478 -37.1066
128.540049 73.463 -37.1350
128.906260 73.448 -37.1625
129.272471 73.434 -37.1890
129.638682 73.419 -37.2146
130.004893 73.405 -37.2400
130.371104 73.391 -37.2658
130.737315 73.377 -37.2925
131.103526 73.363 -37.3204
131.469737 73.348 -37.3494
131.835948 73.334 -37.3785
132.202159 73.320 -37.4072
132.568370 73.305 -37.4343
132.934581 73.290 -37.4595
133.300792 73.276 -37.4827
133.667003 73.262 -37.5045
134.033214 73.248 -37.5259
134.399425 73.234 -37.5479
134.765636 73.221 -37.5712
135.131847 73.208 -37.5968
135.498058 73.195 -37.6252
135.864269 73.182 -37.6565
136.230480 73.169 -37.6903
136.596691 73.155 -37.7256
136.962902 73.141 -37.7607
137.329113 73.126 -37.7941
137.695324 73.110 -37.8239
138.061535 73.095 -37.8495
138.427746 73.079 -37.8708
138.793957 73.064 -37.8886
139.160168 73.050 -37.9041
139.526379 73.036 -37.9183
139.892589 73.022 -37.9321
140.258800 73.009 -37.9458
140.625011 72.996 -37.9594
140.991222 72.983 -37.9729
141.357433 72.970 -37.9865
141.723644 72.958 -38.0005
142.089855 72.946 -38.0157
142.456066 72.934 -38.0323
142.822277 72.922 -38.0506
143.188488 72.910 -38.0701
143.554699 72.898 -38.0902
143.920910 72.885 -38.1107
144.287121 72.872 -38.1310
144.653332 72.859 -38.1508
145.019543 72.845 -38.1702
145.385754 72.831 -38.1887
