* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:36:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Blue Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.143 -38.5859
0.732422 74.107 -80.2672
1.098633 73.037 -126.8327
1.464844 72.682 -174.6006
1.831055 72.793 143.8004
2.197266 72.390 111.1556
2.563477 70.726 88.1569
2.929688 67.409 81.5774
3.295899 65.523 107.9722
3.662110 69.281 125.4561
4.028321 72.473 120.2369
4.394532 74.118 109.7780
4.760743 74.672 100.4021
5.126954 74.631 94.9020
5.493164 74.595 93.7632
5.859375 75.002 94.2436
6.225586 75.714 92.9171
6.591797 76.318 89.2304
6.958008 76.600 84.6967
7.324219 76.595 80.9824
7.690430 76.494 78.9144
8.056641 76.499 78.0592
8.422852 76.664 77.2148
8.789063 76.882 75.6168
9.155274 77.032 73.4357
9.521485 77.080 71.2886
9.887696 77.075 69.6096
10.253907 77.020 68.3772
10.620118 76.980 67.2730
10.986329 76.962 66.0478
11.352540 76.937 64.6993
11.718751 76.895 63.3545
12.084962 76.845 62.0858
12.451173 76.798 60.8610
12.817384 76.807 59.6341
13.183595 76.817 58.4278
13.549806 76.819 57.3066
13.916017 76.823 56.2857
14.282228 76.839 55.2953
14.648439 76.861 54.2465
15.014650 76.875 53.1252
15.380861 76.872 52.0058
15.747072 76.856 50.9756
16.113283 76.849 50.0499
16.479493 76.865 49.1607
16.845704 76.889 48.2274
17.211915 76.909 47.2308
17.578126 76.919 46.2184
17.944337 76.920 45.2485
18.310548 76.921 44.3369
18.676759 76.926 43.4532
19.042970 76.934 42.5625
19.409181 76.941 41.6582
19.775392 76.946 40.7592
20.141603 76.950 39.8809
20.507814 76.957 39.0200
20.874025 76.966 38.1648
21.240236 76.973 37.3134
21.606447 76.978 36.4781
21.972658 76.983 35.6681
22.338869 76.991 34.8773
22.705080 77.000 34.0889
23.071291 77.009 33.2934
23.437502 77.015 32.4986
23.803713 77.019 31.7203
24.169924 77.022 30.9656
24.536135 77.026 30.2271
24.902346 77.030 29.4937
25.268557 77.034 28.7636
25.634768 77.036 28.0450
26.000979 77.037 27.3444
26.367190 77.040 26.6566
26.733401 77.043 25.9700
27.099612 77.046 25.2788
27.465823 77.046 24.5906
27.832033 77.044 23.9183
28.198244 77.043 23.2671
28.564455 77.043 22.6274
28.930666 77.045 21.9846
29.296877 77.047 21.3317
29.663088 77.047 20.6747
30.029299 77.045 20.0255
30.395510 77.043 19.3909
30.761721 77.040 18.7688
31.127932 77.038 18.1538
31.494143 77.036 17.5433
31.860354 77.033 16.9389
32.226565 77.031 16.3414
32.592776 77.029 15.7485
32.958987 77.027 15.1563
33.325198 77.024 14.5645
33.691409 77.020 13.9773
34.057620 77.015 13.4002
34.423831 77.010 12.8348
34.790042 77.005 12.2781
35.156253 77.000 11.7256
35.522464 76.995 11.1753
35.888675 76.990 10.6276
36.254886 76.985 10.0835
36.621097 76.980 9.5420
36.987308 76.974 9.0030
37.353519 76.967 8.4684
37.719730 76.960 7.9419
38.085941 76.953 7.4243
38.452152 76.947 6.9117
38.818363 76.942 6.3972
39.184573 76.937 5.8762
39.550784 76.931 5.3512
39.916995 76.923 4.8298
40.283206 76.915 4.3190
40.649417 76.907 3.8207
41.015628 76.899 3.3308
41.381839 76.893 2.8438
41.748050 76.887 2.3558
42.114261 76.880 1.8677
42.480472 76.873 1.3818
42.846683 76.865 0.9008
43.212894 76.856 0.4260
43.579105 76.848 -0.0430
43.945316 76.839 -0.5073
44.311527 76.831 -0.9699
44.677738 76.822 -1.4325
45.043949 76.813 -1.8951
45.410160 76.803 -2.3547
45.776371 76.791 -2.8069
46.142582 76.780 -3.2494
46.508793 76.768 -3.6838
46.875004 76.758 -4.1148
47.241215 76.748 -4.5465
47.607426 76.737 -4.9799
47.973637 76.726 -5.4125
48.339848 76.714 -5.8407
48.706059 76.701 -6.2630
49.072270 76.689 -6.6799
49.438481 76.677 -7.0929
49.804692 76.664 -7.5030
50.170902 76.651 -7.9093
50.537113 76.638 -8.3104
50.903324 76.625 -8.7054
51.269535 76.612 -9.0945
51.635746 76.600 -9.4789
52.001957 76.587 -9.8605
52.368168 76.575 -10.2405
52.734379 76.562 -10.6189
53.100590 76.549 -10.9941
53.466801 76.535 -11.3645
53.833012 76.521 -11.7289
54.199223 76.507 -12.0879
54.565434 76.494 -12.4435
54.931645 76.480 -12.7974
55.297856 76.466 -13.1490
55.664067 76.451 -13.4962
56.030278 76.436 -13.8367
56.396489 76.420 -14.1702
56.762700 76.405 -14.4989
57.128911 76.390 -14.8255
57.495122 76.375 -15.1505
57.861333 76.359 -15.4719
58.227544 76.342 -15.7863
58.593755 76.325 -16.0918
58.959966 76.308 -16.3893
59.326177 76.292 -16.6816
59.692388 76.276 -16.9719
60.058599 76.260 -17.2612
60.424810 76.244 -17.5483
60.791021 76.227 -17.8308
61.157232 76.210 -18.1069
61.523442 76.194 -18.3767
61.889653 76.178 -18.6417
62.255864 76.162 -18.9048
62.622075 76.147 -19.1684
62.988286 76.131 -19.4330
63.354497 76.115 -19.6971
63.720708 76.097 -19.9581
64.086919 76.079 -20.2132
64.453130 76.060 -20.4608
64.819341 76.042 -20.7012
65.185552 76.023 -20.9357
65.551763 76.005 -21.1659
65.917974 75.988 -21.3931
66.284185 75.970 -21.6177
66.650396 75.952 -21.8401
67.016607 75.935 -22.0602
67.382818 75.917 -22.2776
67.749029 75.899 -22.4921
68.115240 75.880 -22.7037
68.481451 75.862 -22.9127
68.847662 75.844 -23.1199
69.213873 75.825 -23.3256
69.580084 75.806 -23.5294
69.946295 75.787 -23.7303
70.312506 75.767 -23.9271
70.678717 75.747 -24.1189
71.044928 75.727 -24.3058
71.411139 75.708 -24.4880
71.777350 75.688 -24.6663
72.143561 75.669 -24.8414
72.509771 75.651 -25.0142
72.875982 75.633 -25.1865
73.242193 75.615 -25.3597
73.608404 75.598 -25.5349
73.974615 75.580 -25.7118
74.340826 75.561 -25.8889
74.707037 75.542 -26.0634
75.073248 75.522 -26.2324
75.439459 75.501 -26.3940
75.805670 75.481 -26.5477
76.171881 75.461 -26.6949
76.538092 75.441 -26.8381
76.904303 75.423 -26.9797
77.270514 75.404 -27.1208
77.636725 75.386 -27.2612
78.002936 75.367 -27.3999
78.369147 75.349 -27.5369
78.735358 75.331 -27.6734
79.101569 75.313 -27.8115
79.467780 75.295 -27.9528
79.833991 75.277 -28.0966
80.200202 75.258 -28.2405
80.566413 75.238 -28.3812
80.932624 75.218 -28.5165
81.298835 75.197 -28.6465
81.665046 75.177 -28.7731
82.031257 75.158 -28.8983
82.397468 75.139 -29.0236
82.763679 75.119 -29.1487
83.129890 75.100 -29.2725
83.496101 75.081 -29.3941
83.862311 75.061 -29.5139
84.228522 75.042 -29.6328
84.594733 75.023 -29.7516
84.960944 75.004 -29.8695
85.327155 74.985 -29.9854
85.693366 74.966 -30.0973
86.059577 74.947 -30.2052
86.425788 74.928 -30.3103
86.791999 74.910 -30.4149
87.158210 74.892 -30.5209
87.524421 74.874 -30.6285
87.890632 74.856 -30.7367
88.256843 74.837 -30.8435
88.623054 74.818 -30.9474
88.989265 74.798 -31.0477
89.355476 74.779 -31.1449
89.721687 74.760 -31.2396
90.087898 74.741 -31.3329
90.454109 74.722 -31.4255
90.820320 74.703 -31.5177
91.186531 74.685 -31.6094
91.552742 74.666 -31.7002
91.918953 74.647 -31.7897
92.285164 74.628 -31.8778
92.651375 74.610 -31.9655
93.017586 74.592 -32.0541
93.383797 74.574 -32.1448
93.750008 74.556 -32.2380
94.116219 74.538 -32.3326
94.482430 74.519 -32.4271
94.848641 74.500 -32.5200
95.214851 74.481 -32.6105
95.581062 74.462 -32.6987
95.947273 74.443 -32.7850
96.313484 74.423 -32.8698
96.679695 74.404 -32.9526
97.045906 74.385 -33.0330
97.412117 74.365 -33.1104
97.778328 74.346 -33.1848
98.144539 74.327 -33.2568
98.510750 74.308 -33.3271
98.876961 74.290 -33.3969
99.243172 74.272 -33.4667
99.609383 74.254 -33.5372
99.975594 74.236 -33.6085
100.341805 74.218 -33.6803
100.708016 74.201 -33.7524
101.074227 74.183 -33.8242
101.440438 74.164 -33.8955
101.806649 74.146 -33.9658
102.172860 74.128 -34.0350
102.539071 74.110 -34.1035
102.905282 74.092 -34.1720
103.271493 74.074 -34.2408
103.637704 74.057 -34.3102
104.003915 74.038 -34.3792
104.370126 74.020 -34.4468
104.736337 74.001 -34.5121
105.102548 73.983 -34.5742
105.468759 73.964 -34.6333
105.834970 73.946 -34.6899
106.201180 73.928 -34.7450
106.567391 73.910 -34.7992
106.933602 73.893 -34.8532
107.299813 73.876 -34.9075
107.666024 73.859 -34.9622
108.032235 73.842 -35.0175
108.398446 73.825 -35.0736
108.764657 73.808 -35.1302
109.130868 73.790 -35.1866
109.497079 73.773 -35.2421
109.863290 73.755 -35.2960
110.229501 73.737 -35.3481
110.595712 73.720 -35.3995
110.961923 73.702 -35.4515
111.328134 73.685 -35.5056
111.694345 73.668 -35.5624
112.060556 73.650 -35.6210
112.426767 73.632 -35.6791
112.792978 73.613 -35.7343
113.159189 73.594 -35.7846
113.525400 73.575 -35.8302
113.891611 73.557 -35.8724
114.257822 73.539 -35.9136
114.624033 73.522 -35.9559
114.990244 73.506 -36.0005
115.356455 73.489 -36.0474
115.722666 73.473 -36.0958
116.088877 73.456 -36.1450
116.455088 73.439 -36.1940
116.821299 73.423 -36.2426
117.187510 73.406 -36.2905
117.553720 73.389 -36.3378
117.919931 73.372 -36.3843
118.286142 73.355 -36.4298
118.652353 73.338 -36.4739
119.018564 73.321 -36.5157
119.384775 73.303 -36.5549
119.750986 73.286 -36.5917
120.117197 73.270 -36.6270
120.483408 73.254 -36.6622
120.849619 73.238 -36.6985
121.215830 73.222 -36.7363
121.582041 73.205 -36.7749
121.948252 73.189 -36.8135
122.314463 73.173 -36.8514
122.680674 73.156 -36.8883
123.046885 73.140 -36.9245
123.413096 73.123 -36.9604
123.779307 73.107 -36.9960
124.145518 73.090 -37.0308
124.511729 73.074 -37.0641
124.877940 73.058 -37.0961
125.244151 73.043 -37.1270
125.610362 73.027 -37.1577
125.976573 73.013 -37.1890
126.342784 72.998 -37.2214
126.708995 72.984 -37.2551
127.075206 72.969 -37.2902
127.441417 72.955 -37.3262
127.807628 72.940 -37.3629
128.173839 72.925 -37.3996
128.540049 72.909 -37.4357
128.906260 72.894 -37.4702
129.272471 72.878 -37.5027
129.638682 72.862 -37.5331
130.004893 72.846 -37.5614
130.371104 72.830 -37.5880
130.737315 72.815 -37.6130
131.103526 72.799 -37.6368
131.469737 72.784 -37.6598
131.835948 72.769 -37.6824
132.202159 72.754 -37.7053
132.568370 72.740 -37.7289
132.934581 72.726 -37.7534
133.300792 72.711 -37.7784
133.667003 72.697 -37.8035
134.033214 72.683 -37.8286
134.399425 72.669 -37.8534
134.765636 72.655 -37.8780
135.131847 72.641 -37.9022
135.498058 72.627 -37.9257
135.864269 72.613 -37.9482
136.230480 72.599 -37.9697
136.596691 72.585 -37.9907
136.962902 72.572 -38.0117
137.329113 72.559 -38.0333
137.695324 72.545 -38.0557
138.061535 72.532 -38.0789
138.427746 72.518 -38.1024
138.793957 72.504 -38.1263
139.160168 72.490 -38.1505
139.526379 72.476 -38.1746
139.892589 72.461 -38.1981
140.258800 72.446 -38.2203
140.625011 72.431 -38.2407
140.991222 72.416 -38.2590
141.357433 72.401 -38.2758
141.723644 72.386 -38.2916
142.089855 72.372 -38.3072
142.456066 72.357 -38.3230
142.822277 72.343 -38.3389
143.188488 72.329 -38.3546
143.554699 72.316 -38.3701
143.920910 72.302 -38.3855
144.287121 72.289 -38.4012
144.653332 72.277 -38.4176
145.019543 72.264 -38.4347
145.385754 72.251 -38.4521
