* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:39:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Gold Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.917 -50.5710
0.732422 71.557 -98.9654
1.098633 72.384 -143.0762
1.464844 73.027 178.2278
1.831055 73.128 145.1107
2.197266 72.392 117.8859
2.563477 70.558 98.6731
2.929688 67.738 94.8740
3.295899 66.798 113.8671
3.662110 69.674 125.1227
4.028321 72.375 120.2343
4.394532 73.932 110.6257
4.760743 74.595 101.7533
5.126954 74.758 96.0725
5.493164 74.893 93.9415
5.859375 75.327 93.3295
6.225586 75.979 91.6899
6.591797 76.553 88.4147
6.958008 76.871 84.5272
7.324219 76.948 81.3008
7.690430 76.929 79.3853
8.056641 76.969 78.4648
8.422852 77.116 77.6350
8.789063 77.298 76.2753
9.155274 77.425 74.4541
9.521485 77.468 72.6109
9.887696 77.462 71.0794
10.253907 77.398 69.8570
10.620118 77.335 68.7093
10.986329 77.291 67.4409
11.352540 77.245 66.0402
11.718751 77.186 64.6078
12.084962 77.123 63.2181
12.451173 77.065 61.8702
12.817384 77.068 60.5409
13.183595 77.081 59.2452
13.549806 77.093 58.0272
13.916017 77.109 56.8993
14.282228 77.136 55.8175
14.648439 77.167 54.7224
15.014650 77.193 53.6020
15.380861 77.205 52.5048
15.747072 77.206 51.4888
16.113283 77.211 50.5632
16.479493 77.232 49.6800
16.845704 77.255 48.7794
17.211915 77.273 47.8422
17.578126 77.281 46.8942
17.944337 77.281 45.9707
18.310548 77.278 45.0792
18.676759 77.276 44.1971
19.042970 77.276 43.2993
19.409181 77.275 42.3811
19.775392 77.272 41.4564
20.141603 77.271 40.5380
20.507814 77.274 39.6263
20.874025 77.279 38.7152
21.240236 77.286 37.8060
21.606447 77.292 36.9096
21.972658 77.299 36.0379
22.338869 77.308 35.1942
22.705080 77.318 34.3736
23.071291 77.330 33.5724
23.437502 77.342 32.7914
23.803713 77.354 32.0321
24.169924 77.366 31.2898
24.536135 77.377 30.5551
24.902346 77.387 29.8239
25.268557 77.393 29.1025
25.634768 77.395 28.4024
26.000979 77.397 27.7264
26.367190 77.398 27.0632
26.733401 77.401 26.3956
27.099612 77.402 25.7147
27.465823 77.401 25.0275
27.832033 77.397 24.3478
28.198244 77.393 23.6826
28.564455 77.390 23.0254
28.930666 77.389 22.3641
29.296877 77.389 21.6937
29.663088 77.388 21.0214
30.029299 77.386 20.3588
30.395510 77.385 19.7102
30.761721 77.386 19.0701
31.127932 77.388 18.4296
31.494143 77.389 17.7877
31.860354 77.388 17.1531
32.226565 77.385 16.5375
32.592776 77.382 15.9458
32.958987 77.379 15.3723
33.325198 77.379 14.8054
33.691409 77.379 14.2351
34.057620 77.378 13.6586
34.423831 77.374 13.0801
34.790042 77.369 12.5071
35.156253 77.361 11.9461
35.522464 77.353 11.4000
35.888675 77.345 10.8660
36.254886 77.340 10.3364
36.621097 77.336 9.8019
36.987308 77.332 9.2554
37.353519 77.328 8.6976
37.719730 77.321 8.1357
38.085941 77.313 7.5806
38.452152 77.303 7.0406
38.818363 77.294 6.5186
39.184573 77.286 6.0107
39.550784 77.280 5.5103
39.916995 77.276 5.0097
40.283206 77.273 4.5041
40.649417 77.270 3.9928
41.015628 77.266 3.4799
41.381839 77.260 2.9720
41.748050 77.252 2.4757
42.114261 77.243 1.9934
42.480472 77.235 1.5223
42.846683 77.228 1.0569
43.212894 77.220 0.5920
43.579105 77.213 0.1260
43.945316 77.205 -0.3396
44.311527 77.196 -0.8025
44.677738 77.186 -1.2614
45.043949 77.177 -1.7161
45.410160 77.167 -2.1674
45.776371 77.157 -2.6154
46.142582 77.147 -3.0604
46.508793 77.137 -3.5031
46.875004 77.127 -3.9443
47.241215 77.116 -4.3843
47.607426 77.105 -4.8218
47.973637 77.094 -5.2549
48.339848 77.082 -5.6821
48.706059 77.071 -6.1036
49.072270 77.059 -6.5210
49.438481 77.047 -6.9360
49.804692 77.036 -7.3489
50.170902 77.023 -7.7589
50.537113 77.011 -8.1638
50.903324 76.998 -8.5623
51.269535 76.985 -8.9540
51.635746 76.972 -9.3401
52.001957 76.959 -9.7231
52.368168 76.947 -10.1051
52.734379 76.935 -10.4871
53.100590 76.922 -10.8675
53.466801 76.908 -11.2443
53.833012 76.894 -11.6155
54.199223 76.879 -11.9813
54.565434 76.865 -12.3427
54.931645 76.850 -12.6993
55.297856 76.834 -13.0492
55.664067 76.817 -13.3892
56.030278 76.801 -13.7179
56.396489 76.786 -14.0377
56.762700 76.772 -14.3545
57.128911 76.758 -14.6734
57.495122 76.745 -14.9960
57.861333 76.730 -15.3188
58.227544 76.714 -15.6364
58.593755 76.698 -15.9452
58.959966 76.683 -16.2463
59.326177 76.668 -16.5443
59.692388 76.653 -16.8437
60.058599 76.639 -17.1458
60.424810 76.623 -17.4481
60.791021 76.607 -17.7469
61.157232 76.590 -18.0386
61.523442 76.572 -18.3214
61.889653 76.554 -18.5953
62.255864 76.537 -18.8613
62.622075 76.520 -19.1206
62.988286 76.503 -19.3744
63.354497 76.486 -19.6242
63.720708 76.469 -19.8716
64.086919 76.453 -20.1178
64.453130 76.436 -20.3630
64.819341 76.419 -20.6064
65.185552 76.401 -20.8467
65.551763 76.383 -21.0822
65.917974 76.364 -21.3120
66.284185 76.346 -21.5363
66.650396 76.327 -21.7556
67.016607 76.309 -21.9709
67.382818 76.291 -22.1830
67.749029 76.273 -22.3924
68.115240 76.255 -22.5994
68.481451 76.237 -22.8042
68.847662 76.219 -23.0072
69.213873 76.201 -23.2087
69.580084 76.183 -23.4088
69.946295 76.166 -23.6073
70.312506 76.148 -23.8041
70.678717 76.130 -23.9990
71.044928 76.111 -24.1918
71.411139 76.093 -24.3823
71.777350 76.074 -24.5701
72.143561 76.055 -24.7543
72.509771 76.036 -24.9348
72.875982 76.017 -25.1113
73.242193 75.997 -25.2846
73.608404 75.978 -25.4552
73.974615 75.959 -25.6241
74.340826 75.940 -25.7917
74.707037 75.921 -25.9581
75.073248 75.902 -26.1228
75.439459 75.882 -26.2850
75.805670 75.863 -26.4440
76.171881 75.843 -26.5993
76.538092 75.824 -26.7516
76.904303 75.805 -26.9021
77.270514 75.787 -27.0524
77.636725 75.769 -27.2037
78.002936 75.751 -27.3564
78.369147 75.732 -27.5100
78.735358 75.713 -27.6621
79.101569 75.693 -27.8102
79.467780 75.673 -27.9522
79.833991 75.653 -28.0871
80.200202 75.634 -28.2158
80.566413 75.615 -28.3407
80.932624 75.597 -28.4646
81.298835 75.579 -28.5895
81.665046 75.561 -28.7158
82.031257 75.543 -28.8426
82.397468 75.524 -28.9681
82.763679 75.505 -29.0906
83.129890 75.486 -29.2095
83.496101 75.467 -29.3250
83.862311 75.448 -29.4385
84.228522 75.430 -29.5512
84.594733 75.411 -29.6644
84.960944 75.393 -29.7784
85.327155 75.374 -29.8932
85.693366 75.356 -30.0081
86.059577 75.337 -30.1222
86.425788 75.318 -30.2354
86.791999 75.299 -30.3475
87.158210 75.280 -30.4585
87.524421 75.261 -30.5685
87.890632 75.242 -30.6774
88.256843 75.223 -30.7852
88.623054 75.204 -30.8921
88.989265 75.185 -30.9980
89.355476 75.166 -31.1027
89.721687 75.147 -31.2051
90.087898 75.128 -31.3042
90.454109 75.109 -31.3995
90.820320 75.090 -31.4918
91.186531 75.072 -31.5823
91.552742 75.054 -31.6729
91.918953 75.037 -31.7648
92.285164 75.019 -31.8582
92.651375 75.001 -31.9519
93.017586 74.982 -32.0447
93.383797 74.964 -32.1351
93.750008 74.945 -32.2224
94.116219 74.926 -32.3068
94.482430 74.907 -32.3893
94.848641 74.889 -32.4706
95.214851 74.871 -32.5517
95.581062 74.853 -32.6328
95.947273 74.835 -32.7139
96.313484 74.816 -32.7950
96.679695 74.798 -32.8760
97.045906 74.780 -32.9567
97.412117 74.762 -33.0369
97.778328 74.744 -33.1161
98.144539 74.725 -33.1943
98.510750 74.707 -33.2710
98.876961 74.689 -33.3463
99.243172 74.670 -33.4202
99.609383 74.652 -33.4929
99.975594 74.634 -33.5651
100.341805 74.617 -33.6371
100.708016 74.599 -33.7096
101.074227 74.581 -33.7822
101.440438 74.563 -33.8546
101.806649 74.545 -33.9255
102.172860 74.527 -33.9942
102.539071 74.508 -34.0602
102.905282 74.490 -34.1240
103.271493 74.472 -34.1864
103.637704 74.454 -34.2485
104.003915 74.436 -34.3108
104.370126 74.419 -34.3737
104.736337 74.401 -34.4371
105.102548 74.384 -34.5012
105.468759 74.366 -34.5660
105.834970 74.349 -34.6313
106.201180 74.331 -34.6965
106.567391 74.313 -34.7607
106.933602 74.295 -34.8235
107.299813 74.277 -34.8846
107.666024 74.259 -34.9446
108.032235 74.242 -35.0037
108.398446 74.224 -35.0616
108.764657 74.207 -35.1180
109.130868 74.189 -35.1723
109.497079 74.172 -35.2244
109.863290 74.155 -35.2753
110.229501 74.138 -35.3264
110.595712 74.122 -35.3788
110.961923 74.105 -35.4324
111.328134 74.088 -35.4864
111.694345 74.071 -35.5393
112.060556 74.053 -35.5902
112.426767 74.036 -35.6390
112.792978 74.019 -35.6866
113.159189 74.001 -35.7343
113.525400 73.984 -35.7826
113.891611 73.967 -35.8319
114.257822 73.950 -35.8817
114.624033 73.933 -35.9309
114.990244 73.915 -35.9790
115.356455 73.897 -36.0255
115.722666 73.880 -36.0706
116.088877 73.863 -36.1143
116.455088 73.845 -36.1571
116.821299 73.829 -36.1992
117.187510 73.812 -36.2407
117.553720 73.795 -36.2815
117.919931 73.779 -36.3219
118.286142 73.762 -36.3624
118.652353 73.746 -36.4035
119.018564 73.730 -36.4454
119.384775 73.714 -36.4879
119.750986 73.697 -36.5302
120.117197 73.680 -36.5714
120.483408 73.663 -36.6107
120.849619 73.646 -36.6478
121.215830 73.628 -36.6832
121.582041 73.611 -36.7170
121.948252 73.594 -36.7496
122.314463 73.577 -36.7814
122.680674 73.560 -36.8124
123.046885 73.544 -36.8434
123.413096 73.528 -36.8751
123.779307 73.513 -36.9085
124.145518 73.497 -36.9441
124.511729 73.482 -36.9821
124.877940 73.467 -37.0219
125.244151 73.453 -37.0631
125.610362 73.438 -37.1049
125.976573 73.423 -37.1466
126.342784 73.409 -37.1877
126.708995 73.394 -37.2280
127.075206 73.380 -37.2675
127.441417 73.365 -37.3059
127.807628 73.350 -37.3431
128.173839 73.336 -37.3787
128.540049 73.321 -37.4122
128.906260 73.306 -37.4432
129.272471 73.291 -37.4720
129.638682 73.277 -37.4990
130.004893 73.263 -37.5252
130.371104 73.248 -37.5514
130.737315 73.234 -37.5781
131.103526 73.220 -37.6050
131.469737 73.206 -37.6315
131.835948 73.191 -37.6571
132.202159 73.177 -37.6815
132.568370 73.162 -37.7046
132.934581 73.148 -37.7270
133.300792 73.134 -37.7495
133.667003 73.120 -37.7726
134.033214 73.106 -37.7966
134.399425 73.092 -37.8215
134.765636 73.079 -37.8470
135.131847 73.065 -37.8727
135.498058 73.051 -37.8984
135.864269 73.037 -37.9241
136.230480 73.024 -37.9497
136.596691 73.010 -37.9755
136.962902 72.997 -38.0013
137.329113 72.983 -38.0272
137.695324 72.970 -38.0529
138.061535 72.956 -38.0784
138.427746 72.942 -38.1036
138.793957 72.929 -38.1284
139.160168 72.915 -38.1527
139.526379 72.901 -38.1760
139.892589 72.887 -38.1981
140.258800 72.873 -38.2188
140.625011 72.860 -38.2382
140.991222 72.846 -38.2567
141.357433 72.832 -38.2748
141.723644 72.819 -38.2930
142.089855 72.805 -38.3114
142.456066 72.792 -38.3301
142.822277 72.778 -38.3486
143.188488 72.765 -38.3665
143.554699 72.751 -38.3833
143.920910 72.737 -38.3987
144.287121 72.723 -38.4126
144.653332 72.709 -38.4250
145.019543 72.695 -38.4364
145.385754 72.682 -38.4470
