* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:39:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.876 -41.3247
0.732422 72.130 -85.7445
1.098633 71.649 -133.6087
1.464844 71.876 -179.5674
1.831055 72.233 141.9330
2.197266 71.899 111.9257
2.563477 70.364 91.2425
2.929688 67.564 86.3719
3.295899 66.324 107.1892
3.662110 69.372 121.3095
4.028321 72.234 117.1924
4.394532 73.818 107.8306
4.760743 74.425 99.1561
5.126954 74.486 93.8468
5.493164 74.529 92.3560
5.859375 74.932 92.3848
6.225586 75.594 91.0252
6.591797 76.170 87.6811
6.958008 76.465 83.5881
7.324219 76.502 80.1998
7.690430 76.446 78.2488
8.056641 76.473 77.3748
8.422852 76.631 76.5563
8.789063 76.835 75.1192
9.155274 76.982 73.1761
9.521485 77.041 71.2362
9.887696 77.051 69.6672
10.253907 77.006 68.4545
10.620118 76.965 67.3384
10.986329 76.941 66.1165
11.352540 76.909 64.7899
11.718751 76.863 63.4669
12.084962 76.811 62.2073
12.451173 76.763 60.9837
12.817384 76.773 59.7570
13.183595 76.785 58.5472
13.549806 76.791 57.4112
13.916017 76.799 56.3650
14.282228 76.816 55.3523
14.648439 76.839 54.2995
15.014650 76.854 53.1939
15.380861 76.855 52.0965
15.747072 76.845 51.0797
16.113283 76.842 50.1551
16.479493 76.859 49.2650
16.845704 76.882 48.3411
17.211915 76.901 47.3662
17.578126 76.910 46.3799
17.944337 76.912 45.4305
18.310548 76.913 44.5292
18.676759 76.917 43.6490
19.042970 76.924 42.7587
19.409181 76.930 41.8536
19.775392 76.933 40.9521
20.141603 76.936 40.0706
20.507814 76.943 39.2067
20.874025 76.951 38.3492
21.240236 76.960 37.4930
21.606447 76.967 36.6466
21.972658 76.974 35.8204
22.338869 76.982 35.0150
22.705080 76.990 34.2212
23.071291 76.999 33.4318
23.437502 77.007 32.6502
23.803713 77.013 31.8842
24.169924 77.018 31.1361
24.536135 77.023 30.4007
24.902346 77.028 29.6716
25.268557 77.031 28.9503
25.634768 77.033 28.2441
26.000979 77.034 27.5568
26.367190 77.036 26.8816
26.733401 77.039 26.2065
27.099612 77.042 25.5244
27.465823 77.043 24.8387
27.832033 77.042 24.1585
28.198244 77.041 23.4886
28.564455 77.040 22.8269
28.930666 77.038 22.1692
29.296877 77.037 21.5165
29.663088 77.035 20.8738
30.029299 77.033 20.2439
30.395510 77.033 19.6216
30.761721 77.035 18.9982
31.127932 77.035 18.3698
31.494143 77.034 17.7427
31.860354 77.031 17.1289
32.226565 77.027 16.5350
32.592776 77.025 15.9575
32.958987 77.023 15.3865
33.325198 77.023 14.8132
33.691409 77.021 14.2371
34.057620 77.019 13.6624
34.423831 77.015 13.0938
34.790042 77.010 12.5323
35.156253 77.004 11.9778
35.522464 76.998 11.4305
35.888675 76.992 10.8918
36.254886 76.987 10.3602
36.621097 76.982 9.8312
36.987308 76.978 9.2991
37.353519 76.974 8.7614
37.719730 76.968 8.2214
38.085941 76.962 7.6854
38.452152 76.954 7.1580
38.818363 76.947 6.6396
39.184573 76.940 6.1271
39.550784 76.934 5.6172
39.916995 76.928 5.1091
40.283206 76.922 4.6030
40.649417 76.916 4.1002
41.015628 76.910 3.6017
41.381839 76.903 3.1086
41.748050 76.896 2.6217
42.114261 76.889 2.1409
42.480472 76.882 1.6645
42.846683 76.875 1.1898
43.212894 76.867 0.7151
43.579105 76.860 0.2407
43.945316 76.851 -0.2308
44.311527 76.841 -0.6968
44.677738 76.831 -1.1561
45.043949 76.822 -1.6096
45.410160 76.812 -2.0593
45.776371 76.803 -2.5076
46.142582 76.793 -2.9556
46.508793 76.784 -3.4036
46.875004 76.774 -3.8500
47.241215 76.763 -4.2926
47.607426 76.752 -4.7294
47.973637 76.741 -5.1597
48.339848 76.730 -5.5857
48.706059 76.719 -6.0095
49.072270 76.708 -6.4326
49.438481 76.697 -6.8539
49.804692 76.685 -7.2709
50.170902 76.673 -7.6819
50.537113 76.661 -8.0869
50.903324 76.649 -8.4874
51.269535 76.637 -8.8845
51.635746 76.624 -9.2782
52.001957 76.612 -9.6678
52.368168 76.599 -10.0527
52.734379 76.586 -10.4336
53.100590 76.573 -10.8112
53.466801 76.560 -11.1860
53.833012 76.546 -11.5582
54.199223 76.532 -11.9272
54.565434 76.518 -12.2927
54.931645 76.503 -12.6542
55.297856 76.488 -13.0101
55.664067 76.473 -13.3585
56.030278 76.457 -13.6987
56.396489 76.443 -14.0327
56.762700 76.428 -14.3646
57.128911 76.415 -14.6975
57.495122 76.400 -15.0315
57.861333 76.385 -15.3628
58.227544 76.368 -15.6862
58.593755 76.352 -15.9990
58.959966 76.336 -16.3030
59.326177 76.321 -16.6025
59.692388 76.306 -16.9020
60.058599 76.291 -17.2027
60.424810 76.276 -17.5027
60.791021 76.260 -17.7985
61.157232 76.243 -18.0881
61.523442 76.226 -18.3710
61.889653 76.209 -18.6478
62.255864 76.193 -18.9199
62.622075 76.176 -19.1870
62.988286 76.159 -19.4489
63.354497 76.142 -19.7059
63.720708 76.125 -19.9595
64.086919 76.108 -20.2115
64.453130 76.091 -20.4636
64.819341 76.074 -20.7157
65.185552 76.057 -20.9664
65.551763 76.038 -21.2133
65.917974 76.020 -21.4546
66.284185 76.001 -21.6900
66.650396 75.982 -21.9200
67.016607 75.963 -22.1451
67.382818 75.944 -22.3657
67.749029 75.925 -22.5813
68.115240 75.907 -22.7925
68.481451 75.889 -23.0005
68.847662 75.871 -23.2069
69.213873 75.854 -23.4128
69.580084 75.836 -23.6182
69.946295 75.818 -23.8217
70.312506 75.800 -24.0222
70.678717 75.781 -24.2192
71.044928 75.762 -24.4133
71.411139 75.744 -24.6047
71.777350 75.725 -24.7927
72.143561 75.705 -24.9766
72.509771 75.686 -25.1558
72.875982 75.667 -25.3309
73.242193 75.648 -25.5033
73.608404 75.629 -25.6740
73.974615 75.610 -25.8429
74.340826 75.591 -26.0093
74.707037 75.572 -26.1719
75.073248 75.553 -26.3311
75.439459 75.534 -26.4883
75.805670 75.516 -26.6456
76.171881 75.498 -26.8042
76.538092 75.479 -26.9634
76.904303 75.460 -27.1213
77.270514 75.440 -27.2756
77.636725 75.421 -27.4255
78.002936 75.402 -27.5719
78.369147 75.383 -27.7169
78.735358 75.364 -27.8624
79.101569 75.345 -28.0085
79.467780 75.326 -28.1538
79.833991 75.306 -28.2963
80.200202 75.286 -28.4343
80.566413 75.267 -28.5675
80.932624 75.247 -28.6966
81.298835 75.228 -28.8226
81.665046 75.210 -28.9469
82.031257 75.191 -29.0702
82.397468 75.173 -29.1938
82.763679 75.155 -29.3184
83.129890 75.137 -29.4444
83.496101 75.119 -29.5712
83.862311 75.100 -29.6974
84.228522 75.081 -29.8215
84.594733 75.061 -29.9426
84.960944 75.041 -30.0604
85.327155 75.021 -30.1754
85.693366 75.002 -30.2877
86.059577 74.982 -30.3974
86.425788 74.963 -30.5045
86.791999 74.943 -30.6096
87.158210 74.925 -30.7136
87.524421 74.906 -30.8180
87.890632 74.888 -30.9233
88.256843 74.869 -31.0292
88.623054 74.850 -31.1345
88.989265 74.831 -31.2382
89.355476 74.813 -31.3396
89.721687 74.794 -31.4394
90.087898 74.776 -31.5386
90.454109 74.757 -31.6382
90.820320 74.739 -31.7385
91.186531 74.720 -31.8391
91.552742 74.702 -31.9387
91.918953 74.682 -32.0363
92.285164 74.663 -32.1311
92.651375 74.644 -32.2230
93.017586 74.624 -32.3121
93.383797 74.605 -32.3987
93.750008 74.586 -32.4832
94.116219 74.567 -32.5658
94.482430 74.549 -32.6473
94.848641 74.530 -32.7282
95.214851 74.512 -32.8091
95.581062 74.494 -32.8905
95.947273 74.476 -32.9723
96.313484 74.458 -33.0543
96.679695 74.440 -33.1362
97.045906 74.421 -33.2174
97.412117 74.403 -33.2975
97.778328 74.384 -33.3761
98.144539 74.366 -33.4529
98.510750 74.347 -33.5281
98.876961 74.329 -33.6023
99.243172 74.310 -33.6760
99.609383 74.292 -33.7496
99.975594 74.274 -33.8232
100.341805 74.256 -33.8965
100.708016 74.237 -33.9688
101.074227 74.219 -34.0399
101.440438 74.200 -34.1095
101.806649 74.182 -34.1779
102.172860 74.163 -34.2451
102.539071 74.145 -34.3114
102.905282 74.126 -34.3769
103.271493 74.108 -34.4415
103.637704 74.090 -34.5054
104.003915 74.072 -34.5685
104.370126 74.054 -34.6311
104.736337 74.036 -34.6934
105.102548 74.018 -34.7555
105.468759 74.001 -34.8177
105.834970 73.983 -34.8800
106.201180 73.965 -34.9424
106.567391 73.948 -35.0048
106.933602 73.930 -35.0670
107.299813 73.912 -35.1292
107.666024 73.894 -35.1908
108.032235 73.877 -35.2518
108.398446 73.859 -35.3121
108.764657 73.841 -35.3717
109.130868 73.823 -35.4305
109.497079 73.805 -35.4885
109.863290 73.787 -35.5454
110.229501 73.769 -35.6006
110.595712 73.751 -35.6538
110.961923 73.733 -35.7050
111.328134 73.715 -35.7543
111.694345 73.697 -35.8022
112.060556 73.680 -35.8494
112.426767 73.663 -35.8962
112.792978 73.646 -35.9427
113.159189 73.629 -35.9893
113.525400 73.612 -36.0358
113.891611 73.596 -36.0823
114.257822 73.579 -36.1287
114.624033 73.562 -36.1748
114.990244 73.545 -36.2206
115.356455 73.528 -36.2656
115.722666 73.511 -36.3096
116.088877 73.494 -36.3522
116.455088 73.477 -36.3931
116.821299 73.460 -36.4327
117.187510 73.443 -36.4719
117.553720 73.427 -36.5114
117.919931 73.410 -36.5517
118.286142 73.394 -36.5930
118.652353 73.377 -36.6349
119.018564 73.360 -36.6769
119.384775 73.343 -36.7186
119.750986 73.326 -36.7600
120.117197 73.309 -36.8014
120.483408 73.292 -36.8428
120.849619 73.275 -36.8840
121.215830 73.258 -36.9248
121.582041 73.241 -36.9648
121.948252 73.224 -37.0045
122.314463 73.207 -37.0438
122.680674 73.190 -37.0834
123.046885 73.174 -37.1230
123.413096 73.157 -37.1626
123.779307 73.140 -37.2019
124.145518 73.124 -37.2406
124.511729 73.107 -37.2782
124.877940 73.091 -37.3143
125.244151 73.074 -37.3485
125.610362 73.058 -37.3805
125.976573 73.043 -37.4106
126.342784 73.027 -37.4396
126.708995 73.013 -37.4684
127.075206 72.998 -37.4978
127.441417 72.984 -37.5281
127.807628 72.969 -37.5589
128.173839 72.955 -37.5899
128.540049 72.941 -37.6208
128.906260 72.926 -37.6519
129.272471 72.912 -37.6833
129.638682 72.898 -37.7153
130.004893 72.883 -37.7473
130.371104 72.868 -37.7787
130.737315 72.854 -37.8090
131.103526 72.839 -37.8378
131.469737 72.824 -37.8653
131.835948 72.809 -37.8919
132.202159 72.794 -37.9177
132.568370 72.780 -37.9425
132.934581 72.765 -37.9659
133.300792 72.750 -37.9880
133.667003 72.736 -38.0095
134.033214 72.721 -38.0310
134.399425 72.707 -38.0533
134.765636 72.693 -38.0762
135.131847 72.679 -38.0989
135.498058 72.664 -38.1205
135.864269 72.649 -38.1406
136.230480 72.635 -38.1597
136.596691 72.621 -38.1785
136.962902 72.607 -38.1978
137.329113 72.594 -38.2178
137.695324 72.580 -38.2385
138.061535 72.566 -38.2599
138.427746 72.553 -38.2822
138.793957 72.540 -38.3057
139.160168 72.526 -38.3303
139.526379 72.513 -38.3557
139.892589 72.499 -38.3810
140.258800 72.485 -38.4052
140.625011 72.471 -38.4275
140.991222 72.456 -38.4478
141.357433 72.442 -38.4665
141.723644 72.428 -38.4842
142.089855 72.415 -38.5013
142.456066 72.401 -38.5183
142.822277 72.387 -38.5355
143.188488 72.374 -38.5529
143.554699 72.360 -38.5709
143.920910 72.346 -38.5892
144.287121 72.332 -38.6075
144.653332 72.318 -38.6257
145.019543 72.304 -38.6434
145.385754 72.290 -38.6605
