* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:34:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Green Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.697 -50.6632
0.732422 71.324 -99.3258
1.098633 72.165 -143.7686
1.464844 72.841 177.3129
1.831055 72.974 144.1121
2.197266 72.257 116.8978
2.563477 70.422 97.7716
2.929688 67.577 94.2839
3.295899 66.675 113.9294
3.662110 69.627 125.1964
4.028321 72.347 120.1884
4.394532 73.905 110.5381
4.760743 74.565 101.6737
5.126954 74.726 96.0294
5.493164 74.863 93.9369
5.859375 75.302 93.3337
6.225586 75.959 91.6685
6.591797 76.534 88.3540
6.958008 76.850 84.4282
7.324219 76.925 81.1691
7.690430 76.903 79.2263
8.056641 76.941 78.2822
8.422852 77.087 77.4303
8.789063 77.268 76.0500
9.155274 77.394 74.2092
9.521485 77.437 72.3479
9.887696 77.431 70.7998
10.253907 77.366 69.5631
10.620118 77.303 68.4063
10.986329 77.259 67.1364
11.352540 77.212 65.7423
11.718751 77.154 64.3223
12.084962 77.093 62.9461
12.451173 77.038 61.6075
12.817384 77.044 60.2822
13.183595 77.059 58.9864
13.549806 77.072 57.7665
13.916017 77.089 56.6376
14.282228 77.115 55.5560
14.648439 77.146 54.4627
15.014650 77.170 53.3467
15.380861 77.180 52.2574
15.747072 77.179 51.2533
16.113283 77.183 50.3430
16.479493 77.203 49.4757
16.845704 77.227 48.5894
17.211915 77.245 47.6625
17.578126 77.253 46.7206
17.944337 77.253 45.7997
18.310548 77.249 44.9100
18.676759 77.247 44.0319
19.042970 77.246 43.1419
19.409181 77.245 42.2348
19.775392 77.243 41.3206
20.141603 77.243 40.4088
20.507814 77.247 39.4990
20.874025 77.252 38.5902
21.240236 77.257 37.6906
21.606447 77.263 36.8143
21.972658 77.272 35.9673
22.338869 77.284 35.1397
22.705080 77.300 34.3147
23.071291 77.314 33.4877
23.437502 77.325 32.6738
23.803713 77.332 31.8949
24.169924 77.339 31.1596
24.536135 77.347 30.4545
24.902346 77.356 29.7558
25.268557 77.365 29.0490
25.634768 77.370 28.3385
26.000979 77.371 27.6390
26.367190 77.369 26.9606
26.733401 77.367 26.2995
27.099612 77.366 25.6429
27.465823 77.366 24.9795
27.832033 77.365 24.3055
28.198244 77.363 23.6248
28.564455 77.360 22.9432
28.930666 77.357 22.2666
29.296877 77.353 21.5988
29.663088 77.350 20.9410
30.029299 77.349 20.2918
30.395510 77.349 19.6468
30.761721 77.350 19.0035
31.127932 77.351 18.3643
31.494143 77.351 17.7357
31.860354 77.350 17.1226
32.226565 77.350 16.5240
32.592776 77.351 15.9329
32.958987 77.352 15.3429
33.325198 77.351 14.7540
33.691409 77.348 14.1731
34.057620 77.343 13.6077
34.423831 77.338 13.0583
34.790042 77.333 12.5184
35.156253 77.330 11.9779
35.522464 77.326 11.4305
35.888675 77.322 10.8762
36.254886 77.316 10.3197
36.621097 77.308 9.7670
36.987308 77.299 9.2223
37.353519 77.290 8.6880
37.719730 77.282 8.1630
38.085941 77.275 7.6439
38.452152 77.269 7.1255
38.818363 77.264 6.6042
39.184573 77.258 6.0806
39.550784 77.252 5.5587
39.916995 77.246 5.0437
40.283206 77.240 4.5377
40.649417 77.234 4.0386
41.015628 77.229 3.5428
41.381839 77.224 3.0485
41.748050 77.217 2.5574
42.114261 77.210 2.0719
42.480472 77.203 1.5935
42.846683 77.195 1.1210
43.212894 77.187 0.6525
43.579105 77.179 0.1874
43.945316 77.170 -0.2740
44.311527 77.161 -0.7318
44.677738 77.153 -1.1875
45.043949 77.144 -1.6431
45.410160 77.135 -2.0985
45.776371 77.125 -2.5516
46.142582 77.114 -2.9991
46.508793 77.103 -3.4395
46.875004 77.092 -3.8739
47.241215 77.082 -4.3049
47.607426 77.071 -4.7346
47.973637 77.060 -5.1624
48.339848 77.049 -5.5861
48.706059 77.037 -6.0041
49.072270 77.026 -6.4165
49.438481 77.014 -6.8250
49.804692 77.002 -7.2312
50.170902 76.990 -7.6351
50.537113 76.978 -8.0355
50.903324 76.965 -8.4305
51.269535 76.952 -8.8196
51.635746 76.939 -9.2032
52.001957 76.927 -9.5833
52.368168 76.914 -9.9612
52.734379 76.901 -10.3376
53.100590 76.888 -10.7114
53.466801 76.875 -11.0809
53.833012 76.861 -11.4452
54.199223 76.848 -11.8047
54.565434 76.834 -12.1605
54.931645 76.820 -12.5131
55.297856 76.806 -12.8611
55.664067 76.791 -13.2022
56.030278 76.775 -13.5349
56.396489 76.761 -13.8596
56.762700 76.746 -14.1790
57.128911 76.732 -14.4960
57.495122 76.718 -14.8125
57.861333 76.703 -15.1281
58.227544 76.688 -15.4408
58.593755 76.672 -15.7487
58.959966 76.656 -16.0503
59.326177 76.640 -16.3455
59.692388 76.624 -16.6345
60.058599 76.608 -16.9187
60.424810 76.592 -17.1997
60.791021 76.577 -17.4791
61.157232 76.562 -17.7581
61.523442 76.546 -18.0357
61.889653 76.530 -18.3101
62.255864 76.513 -18.5791
62.622075 76.496 -18.8414
62.988286 76.479 -19.0974
63.354497 76.462 -19.3484
63.720708 76.445 -19.5958
64.086919 76.428 -19.8405
64.453130 76.411 -20.0824
64.819341 76.394 -20.3209
65.185552 76.377 -20.5558
65.551763 76.359 -20.7874
65.917974 76.342 -21.0160
66.284185 76.324 -21.2428
66.650396 76.307 -21.4679
67.016607 76.288 -21.6912
67.382818 76.270 -21.9114
67.749029 76.251 -22.1269
68.115240 76.232 -22.3369
68.481451 76.213 -22.5415
68.847662 76.194 -22.7417
69.213873 76.176 -22.9390
69.580084 76.158 -23.1344
69.946295 76.140 -23.3285
70.312506 76.122 -23.5210
70.678717 76.104 -23.7122
71.044928 76.086 -23.9022
71.411139 76.069 -24.0907
71.777350 76.050 -24.2769
72.143561 76.032 -24.4595
72.509771 76.013 -24.6377
72.875982 75.995 -24.8118
73.242193 75.977 -24.9832
73.608404 75.959 -25.1539
73.974615 75.941 -25.3254
74.340826 75.923 -25.4970
74.707037 75.904 -25.6663
75.073248 75.884 -25.8302
75.439459 75.864 -25.9867
75.805670 75.844 -26.1359
76.171881 75.825 -26.2797
76.538092 75.806 -26.4210
76.904303 75.787 -26.5621
77.270514 75.769 -26.7037
77.636725 75.751 -26.8453
78.002936 75.733 -26.9864
78.369147 75.715 -27.1273
78.735358 75.697 -27.2689
79.101569 75.679 -27.4117
79.467780 75.661 -27.5546
79.833991 75.642 -27.6960
80.200202 75.623 -27.8342
80.566413 75.603 -27.9687
80.932624 75.584 -28.1003
81.298835 75.565 -28.2305
81.665046 75.546 -28.3600
82.031257 75.527 -28.4882
82.397468 75.508 -28.6138
82.763679 75.489 -28.7358
83.129890 75.469 -28.8545
83.496101 75.451 -28.9708
83.862311 75.432 -29.0863
84.228522 75.414 -29.2019
84.594733 75.396 -29.3177
84.960944 75.378 -29.4333
85.327155 75.360 -29.5480
85.693366 75.342 -29.6614
86.059577 75.323 -29.7733
86.425788 75.305 -29.8832
86.791999 75.287 -29.9909
87.158210 75.268 -30.0964
87.524421 75.250 -30.2001
87.890632 75.232 -30.3027
88.256843 75.214 -30.4050
88.623054 75.196 -30.5071
88.989265 75.178 -30.6088
89.355476 75.159 -30.7092
89.721687 75.141 -30.8079
90.087898 75.122 -30.9043
90.454109 75.104 -30.9992
90.820320 75.086 -31.0934
91.186531 75.068 -31.1877
91.552742 75.049 -31.2823
91.918953 75.031 -31.3767
92.285164 75.012 -31.4703
92.651375 74.994 -31.5624
93.017586 74.975 -31.6526
93.383797 74.957 -31.7412
93.750008 74.938 -31.8286
94.116219 74.920 -31.9152
94.482430 74.901 -32.0011
94.848641 74.883 -32.0865
95.214851 74.864 -32.1711
95.581062 74.846 -32.2548
95.947273 74.827 -32.3370
96.313484 74.809 -32.4180
96.679695 74.790 -32.4977
97.045906 74.772 -32.5764
97.412117 74.754 -32.6545
97.778328 74.736 -32.7320
98.144539 74.718 -32.8090
98.510750 74.700 -32.8855
98.876961 74.682 -32.9617
99.243172 74.664 -33.0373
99.609383 74.646 -33.1123
99.975594 74.628 -33.1865
100.341805 74.610 -33.2596
100.708016 74.592 -33.3315
101.074227 74.574 -33.4026
101.440438 74.557 -33.4730
101.806649 74.539 -33.5432
102.172860 74.522 -33.6129
102.539071 74.505 -33.6819
102.905282 74.487 -33.7496
103.271493 74.469 -33.8157
103.637704 74.452 -33.8799
104.003915 74.435 -33.9426
104.370126 74.417 -34.0045
104.736337 74.400 -34.0657
105.102548 74.383 -34.1266
105.468759 74.366 -34.1869
105.834970 74.349 -34.2465
106.201180 74.331 -34.3054
106.567391 74.314 -34.3641
106.933602 74.297 -34.4227
107.299813 74.280 -34.4812
107.666024 74.262 -34.5394
108.032235 74.245 -34.5968
108.398446 74.227 -34.6531
108.764657 74.209 -34.7083
109.130868 74.192 -34.7626
109.497079 74.174 -34.8163
109.863290 74.156 -34.8694
110.229501 74.138 -34.9215
110.595712 74.121 -34.9724
110.961923 74.103 -35.0219
111.328134 74.086 -35.0706
111.694345 74.069 -35.1194
112.060556 74.052 -35.1694
112.426767 74.035 -35.2214
112.792978 74.019 -35.2751
113.159189 74.002 -35.3297
113.525400 73.985 -35.3838
113.891611 73.968 -35.4365
114.257822 73.951 -35.4874
114.624033 73.934 -35.5367
114.990244 73.917 -35.5849
115.356455 73.900 -35.6327
115.722666 73.884 -35.6807
116.088877 73.868 -35.7288
116.455088 73.851 -35.7768
116.821299 73.835 -35.8245
117.187510 73.819 -35.8713
117.553720 73.802 -35.9171
117.919931 73.786 -35.9617
118.286142 73.769 -36.0049
118.652353 73.753 -36.0469
119.018564 73.737 -36.0881
119.384775 73.720 -36.1289
119.750986 73.704 -36.1694
120.117197 73.687 -36.2096
120.483408 73.671 -36.2491
120.849619 73.654 -36.2879
121.215830 73.638 -36.3256
121.582041 73.621 -36.3623
121.948252 73.604 -36.3982
122.314463 73.588 -36.4336
122.680674 73.571 -36.4685
123.046885 73.555 -36.5031
123.413096 73.539 -36.5370
123.779307 73.523 -36.5705
124.145518 73.507 -36.6038
124.511729 73.492 -36.6370
124.877940 73.476 -36.6707
125.244151 73.461 -36.7049
125.610362 73.447 -36.7394
125.976573 73.432 -36.7739
126.342784 73.418 -36.8083
126.708995 73.403 -36.8424
127.075206 73.389 -36.8763
127.441417 73.375 -36.9103
127.807628 73.360 -36.9445
128.173839 73.346 -36.9786
128.540049 73.331 -37.0122
128.906260 73.316 -37.0447
129.272471 73.301 -37.0760
129.638682 73.287 -37.1060
130.004893 73.272 -37.1346
130.371104 73.257 -37.1626
130.737315 73.242 -37.1899
131.103526 73.227 -37.2166
131.469737 73.213 -37.2427
131.835948 73.198 -37.2682
132.202159 73.184 -37.2932
132.568370 73.169 -37.3180
132.934581 73.155 -37.3428
133.300792 73.141 -37.3677
133.667003 73.127 -37.3923
134.033214 73.112 -37.4165
134.399425 73.098 -37.4399
134.765636 73.084 -37.4622
135.131847 73.070 -37.4838
135.498058 73.056 -37.5049
135.864269 73.042 -37.5259
136.230480 73.028 -37.5471
136.596691 73.014 -37.5685
136.962902 73.000 -37.5900
137.329113 72.986 -37.6116
137.695324 72.973 -37.6335
138.061535 72.959 -37.6556
138.427746 72.945 -37.6781
138.793957 72.931 -37.7007
139.160168 72.917 -37.7231
139.526379 72.903 -37.7451
139.892589 72.889 -37.7664
140.258800 72.875 -37.7871
140.625011 72.862 -37.8076
140.991222 72.848 -37.8281
141.357433 72.834 -37.8488
141.723644 72.821 -37.8695
142.089855 72.807 -37.8900
142.456066 72.793 -37.9099
142.822277 72.780 -37.9286
143.188488 72.766 -37.9463
143.554699 72.753 -37.9630
143.920910 72.739 -37.9789
144.287121 72.726 -37.9944
144.653332 72.713 -38.0096
145.019543 72.700 -38.0249
145.385754 72.687 -38.0400
