* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:43:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Purple Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.292 -48.8494
0.732422 71.745 -96.5347
1.098633 72.456 -140.8484
1.464844 73.110 -179.8749
1.831055 73.312 147.0082
2.197266 72.752 120.1436
2.563477 71.222 101.3495
2.929688 68.935 96.3356
3.295899 68.064 109.6158
3.662110 70.254 119.5924
4.028321 72.667 116.2146
4.394532 74.154 107.7781
4.760743 74.815 99.5730
5.126954 74.990 94.1462
5.493164 75.111 92.0077
5.859375 75.497 91.4079
6.225586 76.096 89.9666
6.591797 76.639 86.9934
6.958008 76.947 83.3801
7.324219 77.027 80.3307
7.690430 77.011 78.4914
8.056641 77.046 77.6014
8.422852 77.181 76.8245
8.789063 77.353 75.5589
9.155274 77.476 73.8407
9.521485 77.522 72.0731
9.887696 77.518 70.5785
10.253907 77.451 69.3725
10.620118 77.383 68.2497
10.986329 77.332 67.0269
11.352540 77.282 65.6820
11.718751 77.222 64.2964
12.084962 77.158 62.9332
12.451173 77.098 61.5937
12.817384 77.098 60.2647
13.183595 77.106 58.9680
13.549806 77.112 57.7489
13.916017 77.124 56.6188
14.282228 77.145 55.5332
14.648439 77.171 54.4349
15.014650 77.192 53.3127
15.380861 77.200 52.2141
15.747072 77.199 51.1953
16.113283 77.203 50.2649
16.479493 77.222 49.3751
16.845704 77.245 48.4669
17.211915 77.263 47.5206
17.578126 77.271 46.5615
17.944337 77.271 45.6261
18.310548 77.267 44.7259
18.676759 77.264 43.8434
19.042970 77.263 42.9551
19.409181 77.263 42.0529
19.775392 77.262 41.1430
20.141603 77.263 40.2329
20.507814 77.268 39.3220
20.874025 77.273 38.4103
21.240236 77.278 37.5063
21.606447 77.284 36.6244
21.972658 77.291 35.7715
22.338869 77.301 34.9405
22.705080 77.314 34.1175
23.071291 77.327 33.2979
23.437502 77.338 32.4923
23.803713 77.346 31.7158
24.169924 77.354 30.9722
24.536135 77.362 30.2500
24.902346 77.371 29.5331
25.268557 77.378 28.8152
25.634768 77.382 28.1037
26.000979 77.383 27.4081
26.367190 77.382 26.7291
26.733401 77.382 26.0576
27.099612 77.381 25.3845
27.465823 77.379 24.7091
27.832033 77.376 24.0380
28.198244 77.373 23.3749
28.564455 77.372 22.7152
28.930666 77.372 22.0488
29.296877 77.372 21.3713
29.663088 77.370 20.6897
30.029299 77.367 20.0177
30.395510 77.364 19.3652
30.761721 77.362 18.7319
31.127932 77.362 18.1101
31.494143 77.363 17.4918
31.860354 77.364 16.8757
32.226565 77.364 16.2666
32.592776 77.363 15.6699
32.958987 77.361 15.0868
33.325198 77.360 14.5136
33.691409 77.359 13.9451
34.057620 77.358 13.3776
34.423831 77.355 12.8107
34.790042 77.351 12.2474
35.156253 77.345 11.6913
35.522464 77.339 11.1442
35.888675 77.333 10.6046
36.254886 77.327 10.0685
36.621097 77.322 9.5311
36.987308 77.317 8.9894
37.353519 77.312 8.4432
37.719730 77.306 7.8943
38.085941 77.300 7.3454
38.452152 77.292 6.8006
38.818363 77.282 6.2650
39.184573 77.272 5.7444
39.550784 77.263 5.2413
39.916995 77.256 4.7521
40.283206 77.252 4.2668
40.649417 77.249 3.7745
41.015628 77.247 3.2698
41.381839 77.243 2.7567
41.748050 77.236 2.2459
42.114261 77.228 1.7474
42.480472 77.218 1.2648
42.846683 77.209 0.7944
43.212894 77.201 0.3295
43.579105 77.194 -0.1354
43.945316 77.186 -0.6022
44.311527 77.178 -1.0706
44.677738 77.170 -1.5400
45.043949 77.160 -2.0092
45.410160 77.150 -2.4758
45.776371 77.139 -2.9360
46.142582 77.127 -3.3863
46.508793 77.115 -3.8260
46.875004 77.104 -4.2585
47.241215 77.094 -4.6884
47.607426 77.085 -5.1194
47.973637 77.075 -5.5529
48.339848 77.066 -5.9871
48.706059 77.055 -6.4198
49.072270 77.044 -6.8488
49.438481 77.032 -7.2728
49.804692 77.020 -7.6912
50.170902 77.007 -8.1033
50.537113 76.995 -8.5090
50.903324 76.982 -8.9089
51.269535 76.969 -9.3036
51.635746 76.957 -9.6943
52.001957 76.944 -10.0818
52.368168 76.932 -10.4667
52.734379 76.919 -10.8494
53.100590 76.906 -11.2292
53.466801 76.893 -11.6052
53.833012 76.879 -11.9766
54.199223 76.865 -12.3436
54.565434 76.852 -12.7073
54.931645 76.838 -13.0690
55.297856 76.823 -13.4290
55.664067 76.808 -13.7856
56.030278 76.792 -14.1361
56.396489 76.776 -14.4778
56.762700 76.759 -14.8099
57.128911 76.743 -15.1340
57.495122 76.728 -15.4528
57.861333 76.713 -15.7690
58.227544 76.698 -16.0850
58.593755 76.684 -16.4012
58.959966 76.669 -16.7168
59.326177 76.653 -17.0302
59.692388 76.637 -17.3397
60.058599 76.621 -17.6442
60.424810 76.605 -17.9431
60.791021 76.588 -18.2364
61.157232 76.571 -18.5239
61.523442 76.555 -18.8052
61.889653 76.538 -19.0807
62.255864 76.522 -19.3516
62.622075 76.506 -19.6198
62.988286 76.489 -19.8865
63.354497 76.473 -20.1522
63.720708 76.455 -20.4150
64.086919 76.436 -20.6729
64.453130 76.417 -20.9242
64.819341 76.398 -21.1688
65.185552 76.379 -21.4076
65.551763 76.360 -21.6414
65.917974 76.341 -21.8707
66.284185 76.322 -22.0955
66.650396 76.303 -22.3163
67.016607 76.285 -22.5343
67.382818 76.267 -22.7511
67.749029 76.249 -22.9677
68.115240 76.232 -23.1843
68.481451 76.214 -23.4004
68.847662 76.195 -23.6145
69.213873 76.177 -23.8253
69.580084 76.158 -24.0319
69.946295 76.139 -24.2339
70.312506 76.121 -24.4320
70.678717 76.102 -24.6276
71.044928 76.084 -24.8218
71.411139 76.066 -25.0143
71.777350 76.047 -25.2040
72.143561 76.028 -25.3887
72.509771 76.008 -25.5677
72.875982 75.989 -25.7420
73.242193 75.970 -25.9139
73.608404 75.951 -26.0852
73.974615 75.932 -26.2555
74.340826 75.912 -26.4221
74.707037 75.892 -26.5826
75.073248 75.873 -26.7365
75.439459 75.854 -26.8862
75.805670 75.835 -27.0367
76.171881 75.818 -27.1913
76.538092 75.799 -27.3506
76.904303 75.780 -27.5115
77.270514 75.761 -27.6694
77.636725 75.740 -27.8213
78.002936 75.720 -27.9667
78.369147 75.700 -28.1078
78.735358 75.681 -28.2472
79.101569 75.662 -28.3865
79.467780 75.642 -28.5252
79.833991 75.623 -28.6621
80.200202 75.604 -28.7960
80.566413 75.585 -28.9270
80.932624 75.567 -29.0562
81.298835 75.549 -29.1851
81.665046 75.531 -29.3146
82.031257 75.513 -29.4454
82.397468 75.494 -29.5768
82.763679 75.475 -29.7078
83.129890 75.455 -29.8362
83.496101 75.435 -29.9598
83.862311 75.415 -30.0776
84.228522 75.395 -30.1897
84.594733 75.375 -30.2976
84.960944 75.356 -30.4042
85.327155 75.337 -30.5110
85.693366 75.319 -30.6188
86.059577 75.300 -30.7267
86.425788 75.281 -30.8340
86.791999 75.263 -30.9406
87.158210 75.244 -31.0471
87.524421 75.226 -31.1547
87.890632 75.207 -31.2631
88.256843 75.188 -31.3712
88.623054 75.168 -31.4774
88.989265 75.148 -31.5801
89.355476 75.128 -31.6792
89.721687 75.109 -31.7758
90.087898 75.090 -31.8710
90.454109 75.071 -31.9658
90.820320 75.052 -32.0602
91.186531 75.033 -32.1539
91.552742 75.014 -32.2467
91.918953 74.996 -32.3389
92.285164 74.977 -32.4309
92.651375 74.959 -32.5228
93.017586 74.940 -32.6142
93.383797 74.921 -32.7042
93.750008 74.903 -32.7922
94.116219 74.884 -32.8782
94.482430 74.865 -32.9626
94.848641 74.847 -33.0464
95.214851 74.828 -33.1297
95.581062 74.810 -33.2120
95.947273 74.791 -33.2923
96.313484 74.772 -33.3700
96.679695 74.753 -33.4453
97.045906 74.735 -33.5189
97.412117 74.717 -33.5922
97.778328 74.698 -33.6658
98.144539 74.680 -33.7397
98.510750 74.662 -33.8135
98.876961 74.643 -33.8865
99.243172 74.625 -33.9585
99.609383 74.607 -34.0298
99.975594 74.588 -34.1005
100.341805 74.570 -34.1711
100.708016 74.552 -34.2416
101.074227 74.534 -34.3118
101.440438 74.516 -34.3814
101.806649 74.498 -34.4506
102.172860 74.480 -34.5193
102.539071 74.462 -34.5875
102.905282 74.443 -34.6549
103.271493 74.425 -34.7213
103.637704 74.407 -34.7861
104.003915 74.389 -34.8496
104.370126 74.371 -34.9119
104.736337 74.353 -34.9735
105.102548 74.335 -35.0347
105.468759 74.317 -35.0953
105.834970 74.299 -35.1552
106.201180 74.281 -35.2141
106.567391 74.262 -35.2721
106.933602 74.244 -35.3292
107.299813 74.226 -35.3856
107.666024 74.208 -35.4413
108.032235 74.190 -35.4961
108.398446 74.172 -35.5499
108.764657 74.155 -35.6027
109.130868 74.137 -35.6548
109.497079 74.120 -35.7069
109.863290 74.102 -35.7593
110.229501 74.085 -35.8123
110.595712 74.068 -35.8659
110.961923 74.051 -35.9197
111.328134 74.034 -35.9732
111.694345 74.017 -36.0258
112.060556 74.000 -36.0771
112.426767 73.982 -36.1271
112.792978 73.965 -36.1757
113.159189 73.948 -36.2232
113.525400 73.931 -36.2701
113.891611 73.914 -36.3165
114.257822 73.897 -36.3625
114.624033 73.880 -36.4077
114.990244 73.863 -36.4520
115.356455 73.846 -36.4954
115.722666 73.829 -36.5378
116.088877 73.812 -36.5794
116.455088 73.795 -36.6205
116.821299 73.778 -36.6617
117.187510 73.761 -36.7031
117.553720 73.745 -36.7449
117.919931 73.728 -36.7869
118.286142 73.711 -36.8286
118.652353 73.694 -36.8698
119.018564 73.677 -36.9101
119.384775 73.660 -36.9499
119.750986 73.643 -36.9893
120.117197 73.626 -37.0287
120.483408 73.610 -37.0682
120.849619 73.593 -37.1077
121.215830 73.577 -37.1472
121.582041 73.561 -37.1866
121.948252 73.544 -37.2261
122.314463 73.528 -37.2653
122.680674 73.511 -37.3037
123.046885 73.495 -37.3411
123.413096 73.478 -37.3772
123.779307 73.462 -37.4119
124.145518 73.446 -37.4457
124.511729 73.430 -37.4789
124.877940 73.414 -37.5118
125.244151 73.398 -37.5443
125.610362 73.383 -37.5760
125.976573 73.368 -37.6067
126.342784 73.352 -37.6365
126.708995 73.337 -37.6656
127.075206 73.322 -37.6948
127.441417 73.308 -37.7242
127.807628 73.293 -37.7543
128.173839 73.278 -37.7849
128.540049 73.264 -37.8157
128.906260 73.249 -37.8464
129.272471 73.234 -37.8770
129.638682 73.219 -37.9069
130.004893 73.205 -37.9362
130.371104 73.190 -37.9647
130.737315 73.175 -37.9926
131.103526 73.161 -38.0197
131.469737 73.146 -38.0461
131.835948 73.132 -38.0718
132.202159 73.117 -38.0966
132.568370 73.103 -38.1205
132.934581 73.089 -38.1437
133.300792 73.075 -38.1664
133.667003 73.061 -38.1887
134.033214 73.047 -38.2108
134.399425 73.033 -38.2324
134.765636 73.019 -38.2535
135.131847 73.005 -38.2739
135.498058 72.991 -38.2939
135.864269 72.977 -38.3137
136.230480 72.963 -38.3335
136.596691 72.949 -38.3536
136.962902 72.936 -38.3740
137.329113 72.922 -38.3946
137.695324 72.908 -38.4150
138.061535 72.894 -38.4354
138.427746 72.880 -38.4557
138.793957 72.866 -38.4760
139.160168 72.852 -38.4961
139.526379 72.838 -38.5162
139.892589 72.824 -38.5360
140.258800 72.810 -38.5554
140.625011 72.796 -38.5743
140.991222 72.782 -38.5929
141.357433 72.768 -38.6114
141.723644 72.755 -38.6299
142.089855 72.741 -38.6487
142.456066 72.727 -38.6675
142.822277 72.713 -38.6862
143.188488 72.699 -38.7043
143.554699 72.686 -38.7214
143.920910 72.672 -38.7376
144.287121 72.658 -38.7527
144.653332 72.644 -38.7671
145.019543 72.630 -38.7808
145.385754 72.617 -38.7939
