* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:40:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.213 -49.3425
0.732422 71.713 -97.2581
1.098633 72.451 -141.5591
1.464844 73.094 179.4542
1.831055 73.257 146.2756
2.197266 72.630 119.2485
2.563477 70.985 100.3168
2.929688 68.505 95.8328
3.295899 67.620 111.2254
3.662110 70.072 121.7010
4.028321 72.601 117.7307
4.394532 74.117 108.8168
4.760743 74.779 100.3302
5.126954 74.948 94.7853
5.493164 75.072 92.6346
5.859375 75.476 92.0184
6.225586 76.095 90.4849
6.591797 76.649 87.3708
6.958008 76.959 83.6215
7.324219 77.034 80.4760
7.690430 77.012 78.5917
8.056641 77.044 77.6912
8.422852 77.181 76.9046
8.789063 77.357 75.6099
9.155274 77.482 73.8487
9.521485 77.527 72.0402
9.887696 77.522 70.5179
10.253907 77.456 69.2964
10.620118 77.388 68.1606
10.986329 77.340 66.9198
11.352540 77.291 65.5523
11.718751 77.232 64.1469
12.084962 77.168 62.7740
12.451173 77.108 61.4360
12.817384 77.109 60.1155
13.183595 77.120 58.8292
13.549806 77.130 57.6172
13.916017 77.145 56.4893
14.282228 77.168 55.4026
14.648439 77.196 54.3019
15.014650 77.218 53.1801
15.380861 77.227 52.0860
15.747072 77.226 51.0746
16.113283 77.230 50.1512
16.479493 77.251 49.2649
16.845704 77.274 48.3563
17.211915 77.291 47.4080
17.578126 77.297 46.4498
17.944337 77.295 45.5197
18.310548 77.291 44.6271
18.676759 77.288 43.7493
19.042970 77.288 42.8586
19.409181 77.288 41.9473
19.775392 77.286 41.0262
20.141603 77.286 40.1080
20.507814 77.289 39.1959
20.874025 77.294 38.2885
21.240236 77.299 37.3902
21.606447 77.306 36.5110
21.972658 77.314 35.6566
22.338869 77.326 34.8201
22.705080 77.340 33.9894
23.071291 77.353 33.1621
23.437502 77.363 32.3508
23.803713 77.370 31.5724
24.169924 77.376 30.8333
24.536135 77.383 30.1225
24.902346 77.392 29.4220
25.268557 77.399 28.7218
25.634768 77.404 28.0244
26.000979 77.407 27.3375
26.367190 77.408 26.6616
26.733401 77.409 25.9893
27.099612 77.409 25.3119
27.465823 77.408 24.6292
27.832033 77.405 23.9481
28.198244 77.401 23.2759
28.564455 77.397 22.6129
28.930666 77.395 21.9530
29.296877 77.395 21.2895
29.663088 77.395 20.6211
30.029299 77.395 19.9518
30.395510 77.394 19.2877
30.761721 77.393 18.6337
31.127932 77.391 17.9937
31.494143 77.389 17.3695
31.860354 77.388 16.7602
32.226565 77.388 16.1619
32.592776 77.388 15.5684
32.958987 77.388 14.9760
33.325198 77.387 14.3857
33.691409 77.383 13.8030
34.057620 77.379 13.2314
34.423831 77.373 12.6708
34.790042 77.368 12.1167
35.156253 77.363 11.5648
35.522464 77.357 11.0142
35.888675 77.350 10.4664
36.254886 77.344 9.9218
36.621097 77.337 9.3785
36.987308 77.331 8.8340
37.353519 77.324 8.2878
37.719730 77.317 7.7437
38.085941 77.310 7.2061
38.452152 77.303 6.6766
38.818363 77.296 6.1534
39.184573 77.291 5.6326
39.550784 77.285 5.1119
39.916995 77.280 4.5929
40.283206 77.274 4.0791
40.649417 77.268 3.5737
41.015628 77.261 3.0781
41.381839 77.255 2.5909
41.748050 77.249 2.1099
42.114261 77.243 1.6323
42.480472 77.237 1.1562
42.846683 77.231 0.6812
43.212894 77.223 0.2080
43.579105 77.215 -0.2616
43.945316 77.206 -0.7263
44.311527 77.197 -1.1868
44.677738 77.188 -1.6443
45.043949 77.178 -2.0997
45.410160 77.169 -2.5527
45.776371 77.159 -3.0026
46.142582 77.148 -3.4489
46.508793 77.138 -3.8923
46.875004 77.128 -4.3344
47.241215 77.118 -4.7750
47.607426 77.107 -5.2128
47.973637 77.095 -5.6458
48.339848 77.084 -6.0734
48.706059 77.072 -6.4968
49.072270 77.061 -6.9178
49.438481 77.049 -7.3369
49.804692 77.036 -7.7524
50.170902 77.023 -8.1620
50.537113 77.010 -8.5640
50.903324 76.997 -8.9592
51.269535 76.985 -9.3498
51.635746 76.972 -9.7378
52.001957 76.960 -10.1245
52.368168 76.947 -10.5097
52.734379 76.934 -10.8927
53.100590 76.921 -11.2726
53.466801 76.907 -11.6481
53.833012 76.893 -12.0180
54.199223 76.878 -12.3815
54.565434 76.863 -12.7383
54.931645 76.849 -13.0892
55.297856 76.834 -13.4354
55.664067 76.820 -13.7778
56.030278 76.806 -14.1174
56.396489 76.791 -14.4543
56.762700 76.777 -14.7886
57.128911 76.762 -15.1194
57.495122 76.746 -15.4460
57.861333 76.730 -15.7675
58.227544 76.714 -16.0829
58.593755 76.698 -16.3921
58.959966 76.681 -16.6957
59.326177 76.665 -16.9944
59.692388 76.650 -17.2894
60.058599 76.634 -17.5820
60.424810 76.619 -17.8737
60.791021 76.604 -18.1651
61.157232 76.588 -18.4556
61.523442 76.571 -18.7425
61.889653 76.554 -19.0229
62.255864 76.536 -19.2949
62.622075 76.518 -19.5582
62.988286 76.501 -19.8146
63.354497 76.484 -20.0669
63.720708 76.467 -20.3169
64.086919 76.450 -20.5652
64.453130 76.433 -20.8115
64.819341 76.415 -21.0549
65.185552 76.397 -21.2954
65.551763 76.379 -21.5328
65.917974 76.361 -21.7674
66.284185 76.343 -21.9986
66.650396 76.324 -22.2260
67.016607 76.305 -22.4489
67.382818 76.286 -22.6667
67.749029 76.267 -22.8796
68.115240 76.248 -23.0881
68.481451 76.229 -23.2931
68.847662 76.211 -23.4959
69.213873 76.192 -23.6976
69.580084 76.174 -23.8983
69.946295 76.156 -24.0977
70.312506 76.137 -24.2943
70.678717 76.118 -24.4872
71.044928 76.099 -24.6760
71.411139 76.080 -24.8612
71.777350 76.062 -25.0438
72.143561 76.043 -25.2249
72.509771 76.024 -25.4042
72.875982 76.005 -25.5812
73.242193 75.986 -25.7544
73.608404 75.967 -25.9235
73.974615 75.948 -26.0891
74.340826 75.929 -26.2535
74.707037 75.911 -26.4189
75.073248 75.892 -26.5857
75.439459 75.873 -26.7522
75.805670 75.853 -26.9153
76.171881 75.832 -27.0723
76.538092 75.812 -27.2229
76.904303 75.792 -27.3687
77.270514 75.773 -27.5126
77.636725 75.754 -27.6559
78.002936 75.734 -27.7987
78.369147 75.715 -27.9395
78.735358 75.696 -28.0772
79.101569 75.677 -28.2124
79.467780 75.659 -28.3465
79.833991 75.641 -28.4809
80.200202 75.622 -28.6157
80.566413 75.604 -28.7498
80.932624 75.585 -28.8820
81.298835 75.566 -29.0118
81.665046 75.547 -29.1400
82.031257 75.529 -29.2676
82.397468 75.510 -29.3955
82.763679 75.491 -29.5231
83.129890 75.472 -29.6488
83.496101 75.452 -29.7712
83.862311 75.432 -29.8896
84.228522 75.413 -30.0048
84.594733 75.393 -30.1176
84.960944 75.374 -30.2297
85.327155 75.356 -30.3416
85.693366 75.337 -30.4533
86.059577 75.319 -30.5645
86.425788 75.300 -30.6747
86.791999 75.281 -30.7838
87.158210 75.262 -30.8912
87.524421 75.243 -30.9969
87.890632 75.224 -31.1003
88.256843 75.205 -31.2012
88.623054 75.187 -31.2997
88.989265 75.168 -31.3965
89.355476 75.149 -31.4928
89.721687 75.131 -31.5894
90.087898 75.112 -31.6864
90.454109 75.094 -31.7833
90.820320 75.074 -31.8789
91.186531 75.055 -31.9720
91.552742 75.036 -32.0621
91.918953 75.016 -32.1497
92.285164 74.997 -32.2358
92.651375 74.979 -32.3217
93.017586 74.960 -32.4078
93.383797 74.941 -32.4941
93.750008 74.923 -32.5800
94.116219 74.904 -32.6648
94.482430 74.885 -32.7485
94.848641 74.867 -32.8314
95.214851 74.849 -32.9139
95.581062 74.831 -32.9965
95.947273 74.813 -33.0790
96.313484 74.795 -33.1611
96.679695 74.777 -33.2428
97.045906 74.758 -33.3237
97.412117 74.740 -33.4038
97.778328 74.722 -33.4830
98.144539 74.704 -33.5610
98.510750 74.685 -33.6376
98.876961 74.667 -33.7125
99.243172 74.648 -33.7860
99.609383 74.630 -33.8585
99.975594 74.611 -33.9300
100.341805 74.593 -34.0007
100.708016 74.574 -34.0705
101.074227 74.556 -34.1393
101.440438 74.538 -34.2070
101.806649 74.519 -34.2739
102.172860 74.501 -34.3405
102.539071 74.483 -34.4069
102.905282 74.465 -34.4733
103.271493 74.448 -34.5395
103.637704 74.430 -34.6053
104.003915 74.412 -34.6709
104.370126 74.395 -34.7361
104.736337 74.377 -34.8010
105.102548 74.360 -34.8656
105.468759 74.342 -34.9295
105.834970 74.324 -34.9923
106.201180 74.307 -35.0538
106.567391 74.290 -35.1144
106.933602 74.272 -35.1745
107.299813 74.255 -35.2344
107.666024 74.238 -35.2939
108.032235 74.220 -35.3525
108.398446 74.203 -35.4095
108.764657 74.185 -35.4644
109.130868 74.167 -35.5175
109.497079 74.149 -35.5690
109.863290 74.132 -35.6195
110.229501 74.114 -35.6691
110.595712 74.096 -35.7178
110.961923 74.079 -35.7654
111.328134 74.061 -35.8124
111.694345 74.044 -35.8587
112.060556 74.026 -35.9045
112.426767 74.008 -35.9498
112.792978 73.991 -35.9941
113.159189 73.973 -36.0376
113.525400 73.956 -36.0808
113.891611 73.939 -36.1243
114.257822 73.922 -36.1688
114.624033 73.906 -36.2144
114.990244 73.889 -36.2603
115.356455 73.872 -36.3060
115.722666 73.855 -36.3513
116.088877 73.839 -36.3964
116.455088 73.822 -36.4416
116.821299 73.806 -36.4875
117.187510 73.789 -36.5338
117.553720 73.772 -36.5797
117.919931 73.755 -36.6240
118.286142 73.738 -36.6664
118.652353 73.721 -36.7068
119.018564 73.704 -36.7462
119.384775 73.687 -36.7852
119.750986 73.670 -36.8242
120.117197 73.653 -36.8634
120.483408 73.636 -36.9022
120.849619 73.619 -36.9402
121.215830 73.603 -36.9774
121.582041 73.586 -37.0142
121.948252 73.569 -37.0506
122.314463 73.552 -37.0872
122.680674 73.536 -37.1238
123.046885 73.519 -37.1604
123.413096 73.503 -37.1968
123.779307 73.486 -37.2330
124.145518 73.471 -37.2693
124.511729 73.455 -37.3058
124.877940 73.439 -37.3425
125.244151 73.424 -37.3796
125.610362 73.409 -37.4167
125.976573 73.394 -37.4535
126.342784 73.380 -37.4895
126.708995 73.365 -37.5245
127.075206 73.350 -37.5583
127.441417 73.336 -37.5913
127.807628 73.322 -37.6235
128.173839 73.307 -37.6552
128.540049 73.293 -37.6862
128.906260 73.278 -37.7162
129.272471 73.264 -37.7449
129.638682 73.249 -37.7719
130.004893 73.234 -37.7972
130.371104 73.219 -37.8213
130.737315 73.205 -37.8446
131.103526 73.190 -37.8678
131.469737 73.176 -37.8911
131.835948 73.161 -37.9146
132.202159 73.147 -37.9379
132.568370 73.132 -37.9607
132.934581 73.117 -37.9825
133.300792 73.103 -38.0038
133.667003 73.088 -38.0247
134.033214 73.074 -38.0459
134.399425 73.060 -38.0678
134.765636 73.046 -38.0906
135.131847 73.031 -38.1139
135.498058 73.017 -38.1372
135.864269 73.003 -38.1602
136.230480 72.989 -38.1824
136.596691 72.975 -38.2041
136.962902 72.961 -38.2254
137.329113 72.947 -38.2465
137.695324 72.934 -38.2673
138.061535 72.920 -38.2875
138.427746 72.906 -38.3070
138.793957 72.893 -38.3253
139.160168 72.879 -38.3426
139.526379 72.866 -38.3588
139.892589 72.853 -38.3744
140.258800 72.840 -38.3896
140.625011 72.827 -38.4052
140.991222 72.814 -38.4214
141.357433 72.801 -38.4384
141.723644 72.788 -38.4562
142.089855 72.775 -38.4745
142.456066 72.762 -38.4929
142.822277 72.748 -38.5115
143.188488 72.735 -38.5300
143.554699 72.721 -38.5490
143.920910 72.708 -38.5682
144.287121 72.694 -38.5880
144.653332 72.680 -38.6082
145.019543 72.666 -38.6286
145.385754 72.653 -38.6489
