* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:41:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Blue f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.439 -36.6347
0.732422 74.149 -76.8073
1.098633 72.687 -123.5948
1.464844 72.172 -173.7649
1.831055 72.501 142.8747
2.197266 72.402 110.0677
2.563477 71.050 87.6026
2.929688 68.173 80.8083
3.295899 66.370 102.7747
3.662110 69.527 120.5728
4.028321 72.589 117.1924
4.394532 74.231 107.8291
4.760743 74.806 99.0598
5.126954 74.783 93.8000
5.493164 74.737 92.6479
5.859375 75.097 93.1190
6.225586 75.756 91.9464
6.591797 76.326 88.4924
6.958008 76.592 84.1626
7.324219 76.583 80.5763
7.690430 76.482 78.5597
8.056641 76.485 77.7188
8.422852 76.645 76.9026
8.789063 76.862 75.3635
9.155274 77.018 73.2540
9.521485 77.076 71.1689
9.887696 77.082 69.5342
10.253907 77.037 68.3362
10.620118 77.004 67.2717
10.986329 76.992 66.0978
11.352540 76.972 64.8045
11.718751 76.933 63.5095
12.084962 76.883 62.2820
12.451173 76.833 61.0955
12.817384 76.835 59.9106
13.183595 76.836 58.7514
13.549806 76.829 57.6779
13.916017 76.825 56.6995
14.282228 76.833 55.7418
14.648439 76.849 54.7122
15.014650 76.857 53.5927
15.380861 76.849 52.4563
15.747072 76.829 51.3937
16.113283 76.817 50.4293
16.479493 76.828 49.5062
16.845704 76.848 48.5494
17.211915 76.868 47.5367
17.578126 76.880 46.5082
17.944337 76.885 45.5170
18.310548 76.890 44.5804
18.676759 76.898 43.6768
19.042970 76.909 42.7783
19.409181 76.919 41.8798
19.775392 76.928 40.9944
20.141603 76.937 40.1297
20.507814 76.948 39.2778
20.874025 76.958 38.4286
21.240236 76.965 37.5858
21.606447 76.969 36.7663
21.972658 76.971 35.9793
22.338869 76.976 35.2136
22.705080 76.984 34.4457
23.071291 76.991 33.6624
23.437502 76.994 32.8724
23.803713 76.995 32.0961
24.169924 76.995 31.3445
24.536135 76.996 30.6099
24.902346 77.000 29.8757
25.268557 77.004 29.1348
25.634768 77.007 28.3945
26.000979 77.008 27.6677
26.367190 77.009 26.9598
26.733401 77.011 26.2654
27.099612 77.014 25.5761
27.465823 77.017 24.8893
27.832033 77.019 24.2085
28.198244 77.020 23.5376
28.564455 77.020 22.8777
28.930666 77.019 22.2290
29.296877 77.018 21.5941
29.663088 77.016 20.9759
30.029299 77.016 20.3713
30.395510 77.017 19.7706
30.761721 77.019 19.1624
31.127932 77.020 18.5443
31.494143 77.018 17.9255
31.860354 77.014 17.3191
32.226565 77.010 16.7308
32.592776 77.007 16.1541
32.958987 77.006 15.5764
33.325198 77.005 14.9906
33.691409 77.002 14.4002
34.057620 76.998 13.8154
34.423831 76.992 13.2440
34.790042 76.987 12.6866
35.156253 76.982 12.1378
35.522464 76.978 11.5919
35.888675 76.975 11.0458
36.254886 76.971 10.5001
36.621097 76.967 9.9561
36.987308 76.961 9.4164
37.353519 76.955 8.8839
37.719730 76.949 8.3602
38.085941 76.942 7.8444
38.452152 76.937 7.3320
38.818363 76.931 6.8182
39.184573 76.925 6.3024
39.550784 76.918 5.7888
39.916995 76.910 5.2831
40.283206 76.902 4.7876
40.649417 76.895 4.2991
41.015628 76.890 3.8112
41.381839 76.884 3.3204
41.748050 76.878 2.8278
42.114261 76.871 2.3374
42.480472 76.863 1.8523
42.846683 76.856 1.3726
43.212894 76.848 0.8965
43.579105 76.840 0.4232
43.945316 76.831 -0.0463
44.311527 76.822 -0.5104
44.677738 76.814 -0.9695
45.043949 76.805 -1.4252
45.410160 76.796 -1.8792
45.776371 76.788 -2.3320
46.142582 76.778 -2.7825
46.508793 76.769 -3.2292
46.875004 76.759 -3.6711
47.241215 76.749 -4.1084
47.607426 76.738 -4.5414
47.973637 76.728 -4.9710
48.339848 76.718 -5.3978
48.706059 76.707 -5.8226
49.072270 76.696 -6.2451
49.438481 76.685 -6.6642
49.804692 76.673 -7.0787
50.170902 76.661 -7.4879
50.537113 76.649 -7.8928
50.903324 76.638 -8.2950
51.269535 76.626 -8.6953
51.635746 76.614 -9.0932
52.001957 76.601 -9.4877
52.368168 76.588 -9.8779
52.734379 76.575 -10.2640
53.100590 76.561 -10.6464
53.466801 76.547 -11.0248
53.833012 76.533 -11.3984
54.199223 76.519 -11.7664
54.565434 76.505 -12.1296
54.931645 76.491 -12.4897
55.297856 76.477 -12.8483
55.664067 76.463 -13.2051
56.030278 76.448 -13.5583
56.396489 76.433 -13.9055
56.762700 76.418 -14.2449
57.128911 76.403 -14.5773
57.495122 76.388 -14.9045
57.861333 76.374 -15.2289
58.227544 76.359 -15.5514
58.593755 76.344 -15.8718
58.959966 76.329 -16.1882
59.326177 76.314 -16.4988
59.692388 76.298 -16.8026
60.058599 76.283 -17.1010
60.424810 76.268 -17.3967
60.791021 76.252 -17.6921
61.157232 76.237 -17.9877
61.523442 76.221 -18.2810
61.889653 76.203 -18.5687
62.255864 76.186 -18.8484
62.622075 76.168 -19.1201
62.988286 76.150 -19.3856
63.354497 76.132 -19.6472
63.720708 76.114 -19.9055
64.086919 76.096 -20.1602
64.453130 76.079 -20.4108
64.819341 76.061 -20.6578
65.185552 76.044 -20.9027
65.551763 76.027 -21.1467
65.917974 76.009 -21.3898
66.284185 75.991 -21.6309
66.650396 75.973 -21.8683
67.016607 75.955 -22.1008
67.382818 75.936 -22.3284
67.749029 75.918 -22.5515
68.115240 75.900 -22.7712
68.481451 75.881 -22.9880
68.847662 75.862 -23.2014
69.213873 75.844 -23.4105
69.580084 75.825 -23.6142
69.946295 75.806 -23.8126
70.312506 75.788 -24.0072
70.678717 75.770 -24.2004
71.044928 75.752 -24.3938
71.411139 75.734 -24.5871
71.777350 75.716 -24.7784
72.143561 75.697 -24.9653
72.509771 75.678 -25.1467
72.875982 75.660 -25.3236
73.242193 75.641 -25.4982
73.608404 75.623 -25.6724
73.974615 75.605 -25.8462
74.340826 75.587 -26.0183
74.707037 75.568 -26.1871
75.073248 75.549 -26.3521
75.439459 75.530 -26.5139
75.805670 75.511 -26.6741
76.171881 75.492 -26.8334
76.538092 75.472 -26.9910
76.904303 75.452 -27.1454
77.270514 75.432 -27.2952
77.636725 75.413 -27.4407
78.002936 75.393 -27.5830
78.369147 75.374 -27.7247
78.735358 75.356 -27.8675
79.101569 75.337 -28.0122
79.467780 75.319 -28.1581
79.833991 75.300 -28.3040
80.200202 75.281 -28.4485
80.566413 75.261 -28.5909
80.932624 75.242 -28.7310
81.298835 75.222 -28.8685
81.665046 75.202 -29.0029
82.031257 75.183 -29.1338
82.397468 75.163 -29.2609
82.763679 75.144 -29.3845
83.129890 75.125 -29.5061
83.496101 75.106 -29.6268
83.862311 75.088 -29.7476
84.228522 75.069 -29.8686
84.594733 75.051 -29.9894
84.960944 75.032 -30.1091
85.327155 75.013 -30.2274
85.693366 74.993 -30.3438
86.059577 74.974 -30.4579
86.425788 74.954 -30.5691
86.791999 74.934 -30.6766
87.158210 74.915 -30.7803
87.524421 74.895 -30.8809
87.890632 74.877 -30.9794
88.256843 74.858 -31.0778
88.623054 74.840 -31.1771
88.989265 74.822 -31.2781
89.355476 74.805 -31.3804
89.721687 74.787 -31.4836
90.087898 74.769 -31.5870
90.454109 74.750 -31.6903
90.820320 74.732 -31.7927
91.186531 74.713 -31.8938
91.552742 74.694 -31.9927
91.918953 74.675 -32.0892
92.285164 74.656 -32.1832
92.651375 74.637 -32.2752
93.017586 74.617 -32.3654
93.383797 74.598 -32.4539
93.750008 74.579 -32.5403
94.116219 74.560 -32.6246
94.482430 74.541 -32.7068
94.848641 74.522 -32.7876
95.214851 74.503 -32.8675
95.581062 74.485 -32.9469
95.947273 74.466 -33.0261
96.313484 74.448 -33.1047
96.679695 74.429 -33.1830
97.045906 74.411 -33.2613
97.412117 74.393 -33.3397
97.778328 74.375 -33.4184
98.144539 74.357 -33.4971
98.510750 74.339 -33.5757
98.876961 74.321 -33.6542
99.243172 74.303 -33.7325
99.609383 74.285 -33.8108
99.975594 74.266 -33.8884
100.341805 74.248 -33.9648
100.708016 74.229 -34.0391
101.074227 74.211 -34.1111
101.440438 74.192 -34.1813
101.806649 74.174 -34.2507
102.172860 74.156 -34.3196
102.539071 74.138 -34.3881
102.905282 74.119 -34.4554
103.271493 74.101 -34.5207
103.637704 74.082 -34.5833
104.003915 74.063 -34.6434
104.370126 74.045 -34.7015
104.736337 74.027 -34.7585
105.102548 74.009 -34.8149
105.468759 73.992 -34.8713
105.834970 73.974 -34.9281
106.201180 73.957 -34.9857
106.567391 73.940 -35.0443
106.933602 73.923 -35.1041
107.299813 73.905 -35.1648
107.666024 73.888 -35.2258
108.032235 73.871 -35.2867
108.398446 73.853 -35.3470
108.764657 73.835 -35.4068
109.130868 73.818 -35.4658
109.497079 73.800 -35.5239
109.863290 73.782 -35.5807
110.229501 73.765 -35.6360
110.595712 73.747 -35.6902
110.961923 73.730 -35.7440
111.328134 73.712 -35.7980
111.694345 73.695 -35.8523
112.060556 73.677 -35.9059
112.426767 73.659 -35.9575
112.792978 73.641 -36.0061
113.159189 73.623 -36.0517
113.525400 73.605 -36.0953
113.891611 73.588 -36.1387
114.257822 73.571 -36.1830
114.624033 73.554 -36.2285
114.990244 73.537 -36.2748
115.356455 73.520 -36.3210
115.722666 73.503 -36.3667
116.088877 73.486 -36.4121
116.455088 73.470 -36.4579
116.821299 73.453 -36.5044
117.187510 73.436 -36.5518
117.553720 73.419 -36.5994
117.919931 73.402 -36.6461
118.286142 73.385 -36.6911
118.652353 73.368 -36.7339
119.018564 73.350 -36.7744
119.384775 73.334 -36.8132
119.750986 73.317 -36.8511
120.117197 73.301 -36.8889
120.483408 73.285 -36.9270
120.849619 73.268 -36.9656
121.215830 73.252 -37.0046
121.582041 73.236 -37.0435
121.948252 73.219 -37.0815
122.314463 73.203 -37.1182
122.680674 73.186 -37.1532
123.046885 73.169 -37.1871
123.413096 73.152 -37.2201
123.779307 73.136 -37.2528
124.145518 73.120 -37.2854
124.511729 73.103 -37.3178
124.877940 73.087 -37.3500
125.244151 73.072 -37.3820
125.610362 73.056 -37.4140
125.976573 73.041 -37.4466
126.342784 73.026 -37.4800
126.708995 73.011 -37.5143
127.075206 72.996 -37.5490
127.441417 72.981 -37.5836
127.807628 72.966 -37.6177
128.173839 72.951 -37.6510
128.540049 72.936 -37.6833
128.906260 72.921 -37.7145
129.272471 72.906 -37.7444
129.638682 72.892 -37.7733
130.004893 72.877 -37.8016
130.371104 72.863 -37.8301
130.737315 72.849 -37.8590
131.103526 72.835 -37.8884
131.469737 72.820 -37.9176
131.835948 72.805 -37.9454
132.202159 72.790 -37.9706
132.568370 72.775 -37.9929
132.934581 72.760 -38.0127
133.300792 72.745 -38.0314
133.667003 72.731 -38.0505
134.033214 72.717 -38.0717
134.399425 72.703 -38.0955
134.765636 72.689 -38.1218
135.131847 72.675 -38.1497
135.498058 72.660 -38.1780
135.864269 72.645 -38.2053
136.230480 72.629 -38.2305
136.596691 72.614 -38.2529
136.962902 72.598 -38.2725
137.329113 72.584 -38.2904
137.695324 72.570 -38.3082
138.061535 72.556 -38.3274
138.427746 72.543 -38.3494
138.793957 72.530 -38.3745
139.160168 72.517 -38.4019
139.526379 72.504 -38.4301
139.892589 72.490 -38.4574
140.258800 72.476 -38.4825
140.625011 72.462 -38.5046
140.991222 72.448 -38.5239
141.357433 72.434 -38.5405
141.723644 72.421 -38.5553
142.089855 72.408 -38.5688
142.456066 72.394 -38.5818
142.822277 72.382 -38.5947
143.188488 72.369 -38.6079
143.554699 72.355 -38.6213
143.920910 72.342 -38.6348
144.287121 72.329 -38.6478
144.653332 72.315 -38.6599
145.019543 72.301 -38.6708
145.385754 72.288 -38.6810
