* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 5:57:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Black Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.493 -47.4785
0.732422 75.798 -94.5667
1.098633 76.419 -139.0800
1.464844 77.100 -178.4554
1.831055 77.422 148.3584
2.197266 77.057 121.6918
2.563477 75.844 102.9674
2.929688 74.030 96.3306
3.295899 73.219 104.4634
3.662110 74.788 112.5979
4.028321 76.869 110.4071
4.394532 78.260 103.0643
4.760743 78.904 95.4541
5.126954 79.073 90.2060
5.493164 79.159 88.0355
5.859375 79.480 87.4999
6.225586 80.020 86.3407
6.591797 80.533 83.7290
6.958008 80.837 80.4070
7.324219 80.924 77.5223
7.690430 80.911 75.7413
8.056641 80.939 74.8752
8.422852 81.063 74.1541
8.789063 81.226 72.9818
9.155274 81.349 71.3550
9.521485 81.397 69.6417
9.887696 81.395 68.1593
10.253907 81.326 66.9445
10.620118 81.250 65.8187
10.986329 81.192 64.6082
11.352540 81.135 63.2827
11.718751 81.070 61.9098
12.084962 81.002 60.5450
12.451173 80.937 59.1904
12.817384 80.930 57.8360
13.183595 80.931 56.5081
13.549806 80.929 55.2542
13.916017 80.932 54.0889
14.282228 80.945 52.9712
14.648439 80.964 51.8424
15.014650 80.980 50.6873
15.380861 80.985 49.5479
15.747072 80.981 48.4788
16.113283 80.982 47.4911
16.479493 80.999 46.5421
16.845704 81.019 45.5767
17.211915 81.035 44.5763
17.578126 81.041 43.5667
17.944337 81.038 42.5852
18.310548 81.033 41.6446
18.676759 81.029 40.7277
19.042970 81.028 39.8099
19.409181 81.028 38.8812
19.775392 81.027 37.9463
20.141603 81.030 37.0101
20.507814 81.035 36.0691
20.874025 81.041 35.1218
21.240236 81.045 34.1781
21.606447 81.048 33.2584
21.972658 81.051 32.3773
22.338869 81.057 31.5298
22.705080 81.068 30.6956
23.071291 81.080 29.8593
23.437502 81.090 29.0234
23.803713 81.096 28.2064
24.169924 81.100 27.4241
24.536135 81.104 26.6750
24.902346 81.110 25.9421
25.268557 81.117 25.2065
25.634768 81.122 24.4611
26.000979 81.124 23.7129
26.367190 81.122 22.9749
26.733401 81.117 22.2559
27.099612 81.112 21.5554
27.465823 81.109 20.8647
27.832033 81.107 20.1711
28.198244 81.107 19.4650
28.564455 81.105 18.7446
28.930666 81.102 18.0190
29.296877 81.096 17.3029
29.663088 81.089 16.6078
30.029299 81.083 15.9349
30.395510 81.080 15.2744
30.761721 81.080 14.6143
31.127932 81.080 13.9496
31.494143 81.078 13.2863
31.860354 81.075 12.6343
32.226565 81.072 11.9991
32.592776 81.069 11.3776
32.958987 81.066 10.7626
33.325198 81.063 10.1498
33.691409 81.059 9.5399
34.057620 81.053 8.9363
34.423831 81.047 8.3400
34.790042 81.040 7.7488
35.156253 81.033 7.1603
35.522464 81.026 6.5738
35.888675 81.017 5.9905
36.254886 81.009 5.4105
36.621097 81.000 4.8322
36.987308 80.991 4.2550
37.353519 80.981 3.6814
37.719730 80.971 3.1160
38.085941 80.961 2.5610
38.452152 80.953 2.0131
38.818363 80.946 1.4641
39.184573 80.939 0.9088
39.550784 80.931 0.3495
39.916995 80.922 -0.2046
40.283206 80.911 -0.7441
40.649417 80.901 -1.2668
41.015628 80.892 -1.7780
41.381839 80.885 -2.2861
41.748050 80.877 -2.7961
42.114261 80.868 -3.3068
42.480472 80.858 -3.8132
42.846683 80.848 -4.3122
43.212894 80.837 -4.8040
43.579105 80.826 -5.2922
43.945316 80.816 -5.7800
44.311527 80.804 -6.2689
44.677738 80.793 -6.7577
45.043949 80.780 -7.2438
45.410160 80.766 -7.7251
45.776371 80.752 -8.1995
46.142582 80.737 -8.6661
46.508793 80.723 -9.1259
46.875004 80.709 -9.5812
47.241215 80.696 -10.0354
47.607426 80.682 -10.4900
47.973637 80.667 -10.9434
48.339848 80.652 -11.3914
48.706059 80.636 -11.8294
49.072270 80.619 -12.2559
49.438481 80.604 -12.6733
49.804692 80.589 -13.0870
50.170902 80.575 -13.5017
50.537113 80.560 -13.9180
50.903324 80.544 -14.3323
51.269535 80.527 -14.7389
51.635746 80.509 -15.1340
52.001957 80.492 -15.5184
52.368168 80.475 -15.8960
52.734379 80.459 -16.2717
53.100590 80.442 -16.6472
53.466801 80.425 -17.0211
53.833012 80.408 -17.3901
54.199223 80.390 -17.7524
54.565434 80.371 -18.1080
54.931645 80.353 -18.4580
55.297856 80.334 -18.8024
55.664067 80.315 -19.1400
56.030278 80.296 -19.4698
56.396489 80.277 -19.7929
56.762700 80.260 -20.1125
57.128911 80.242 -20.4321
57.495122 80.224 -20.7524
57.861333 80.205 -21.0707
58.227544 80.185 -21.3826
58.593755 80.165 -21.6848
58.959966 80.145 -21.9775
59.326177 80.126 -22.2632
59.692388 80.107 -22.5457
60.058599 80.088 -22.8261
60.424810 80.070 -23.1039
60.791021 80.051 -23.3771
61.157232 80.032 -23.6444
61.523442 80.013 -23.9064
61.889653 79.994 -24.1648
62.255864 79.975 -24.4214
62.622075 79.956 -24.6760
62.988286 79.936 -24.9271
63.354497 79.916 -25.1722
63.720708 79.894 -25.4089
64.086919 79.873 -25.6368
64.453130 79.851 -25.8569
64.819341 79.831 -26.0718
65.185552 79.810 -26.2843
65.551763 79.791 -26.4965
65.917974 79.771 -26.7094
66.284185 79.751 -26.9236
66.650396 79.731 -27.1384
67.016607 79.710 -27.3519
67.382818 79.688 -27.5621
67.749029 79.666 -27.7667
68.115240 79.643 -27.9644
68.481451 79.621 -28.1556
68.847662 79.599 -28.3425
69.213873 79.578 -28.5271
69.580084 79.557 -28.7115
69.946295 79.537 -28.8964
70.312506 79.516 -29.0809
70.678717 79.495 -29.2644
71.044928 79.473 -29.4453
71.411139 79.452 -29.6224
71.777350 79.430 -29.7951
72.143561 79.408 -29.9631
72.509771 79.386 -30.1266
72.875982 79.365 -30.2863
73.242193 79.344 -30.4432
73.608404 79.323 -30.5983
73.974615 79.302 -30.7527
74.340826 79.282 -30.9079
74.707037 79.262 -31.0647
75.073248 79.241 -31.2231
75.439459 79.219 -31.3818
75.805670 79.197 -31.5383
76.171881 79.174 -31.6895
76.538092 79.151 -31.8340
76.904303 79.127 -31.9718
77.270514 79.104 -32.1044
77.636725 79.082 -32.2336
78.002936 79.060 -32.3610
78.369147 79.038 -32.4873
78.735358 79.017 -32.6133
79.101569 78.996 -32.7395
79.467780 78.975 -32.8665
79.833991 78.955 -32.9943
80.200202 78.934 -33.1216
80.566413 78.912 -33.2471
80.932624 78.891 -33.3698
81.298835 78.870 -33.4894
81.665046 78.849 -33.6070
82.031257 78.829 -33.7238
82.397468 78.808 -33.8403
82.763679 78.787 -33.9562
83.129890 78.767 -34.0708
83.496101 78.746 -34.1838
83.862311 78.725 -34.2955
84.228522 78.705 -34.4067
84.594733 78.684 -34.5173
84.960944 78.663 -34.6265
85.327155 78.642 -34.7329
85.693366 78.620 -34.8356
86.059577 78.599 -34.9351
86.425788 78.578 -35.0332
86.791999 78.558 -35.1320
87.158210 78.537 -35.2319
87.524421 78.516 -35.3326
87.890632 78.495 -35.4320
88.256843 78.474 -35.5286
88.623054 78.452 -35.6220
88.989265 78.431 -35.7132
89.355476 78.411 -35.8037
89.721687 78.390 -35.8947
90.087898 78.370 -35.9864
90.454109 78.350 -36.0786
90.820320 78.330 -36.1709
91.186531 78.310 -36.2630
91.552742 78.290 -36.3551
91.918953 78.270 -36.4470
92.285164 78.249 -36.5381
92.651375 78.229 -36.6276
93.017586 78.209 -36.7146
93.383797 78.188 -36.7988
93.750008 78.168 -36.8804
94.116219 78.148 -36.9599
94.482430 78.128 -37.0380
94.848641 78.109 -37.1152
95.214851 78.089 -37.1919
95.581062 78.070 -37.2681
95.947273 78.050 -37.3433
96.313484 78.031 -37.4171
96.679695 78.011 -37.4897
97.045906 77.991 -37.5612
97.412117 77.972 -37.6322
97.778328 77.952 -37.7030
98.144539 77.933 -37.7737
98.510750 77.913 -37.8438
98.876961 77.893 -37.9128
99.243172 77.874 -37.9808
99.609383 77.854 -38.0481
99.975594 77.835 -38.1157
100.341805 77.816 -38.1845
100.708016 77.796 -38.2544
101.074227 77.777 -38.3245
101.440438 77.757 -38.3936
101.806649 77.737 -38.4606
102.172860 77.717 -38.5254
102.539071 77.697 -38.5887
102.905282 77.677 -38.6514
103.271493 77.657 -38.7140
103.637704 77.637 -38.7759
104.003915 77.617 -38.8362
104.370126 77.597 -38.8937
104.736337 77.576 -38.9484
105.102548 77.556 -39.0009
105.468759 77.537 -39.0521
105.834970 77.517 -39.1034
106.201180 77.498 -39.1550
106.567391 77.479 -39.2071
106.933602 77.460 -39.2593
107.299813 77.441 -39.3118
107.666024 77.422 -39.3650
108.032235 77.403 -39.4190
108.398446 77.385 -39.4741
108.764657 77.366 -39.5298
109.130868 77.347 -39.5856
109.497079 77.328 -39.6408
109.863290 77.310 -39.6948
110.229501 77.291 -39.7472
110.595712 77.272 -39.7976
110.961923 77.253 -39.8460
111.328134 77.234 -39.8925
111.694345 77.216 -39.9374
112.060556 77.198 -39.9813
112.426767 77.180 -40.0248
112.792978 77.162 -40.0682
113.159189 77.144 -40.1115
113.525400 77.126 -40.1540
113.891611 77.108 -40.1956
114.257822 77.090 -40.2362
114.624033 77.071 -40.2760
114.990244 77.053 -40.3156
115.356455 77.035 -40.3553
115.722666 77.017 -40.3955
116.088877 76.999 -40.4360
116.455088 76.981 -40.4769
116.821299 76.962 -40.5178
117.187510 76.944 -40.5589
117.553720 76.926 -40.6003
117.919931 76.908 -40.6425
118.286142 76.890 -40.6856
118.652353 76.872 -40.7297
119.018564 76.854 -40.7748
119.384775 76.836 -40.8203
119.750986 76.818 -40.8657
120.117197 76.800 -40.9103
120.483408 76.783 -40.9539
120.849619 76.765 -40.9966
121.215830 76.748 -41.0389
121.582041 76.731 -41.0812
121.948252 76.714 -41.1230
122.314463 76.697 -41.1644
122.680674 76.680 -41.2047
123.046885 76.663 -41.2433
123.413096 76.646 -41.2800
123.779307 76.629 -41.3149
124.145518 76.612 -41.3483
124.511729 76.595 -41.3799
124.877940 76.578 -41.4103
125.244151 76.562 -41.4393
125.610362 76.545 -41.4672
125.976573 76.529 -41.4941
126.342784 76.513 -41.5203
126.708995 76.497 -41.5458
127.075206 76.481 -41.5710
127.441417 76.466 -41.5959
127.807628 76.450 -41.6210
128.173839 76.434 -41.6464
128.540049 76.419 -41.6721
128.906260 76.403 -41.6983
129.272471 76.387 -41.7244
129.638682 76.372 -41.7499
130.004893 76.356 -41.7744
130.371104 76.340 -41.7976
130.737315 76.325 -41.8196
131.103526 76.309 -41.8407
131.469737 76.294 -41.8612
131.835948 76.280 -41.8812
132.202159 76.265 -41.9011
132.568370 76.250 -41.9205
132.934581 76.236 -41.9399
133.300792 76.221 -41.9591
133.667003 76.207 -41.9783
134.033214 76.193 -41.9978
134.399425 76.178 -42.0175
134.765636 76.164 -42.0374
135.131847 76.149 -42.0571
135.498058 76.134 -42.0765
135.864269 76.119 -42.0955
136.230480 76.104 -42.1140
136.596691 76.088 -42.1321
136.962902 76.073 -42.1502
137.329113 76.058 -42.1686
137.695324 76.043 -42.1877
138.061535 76.028 -42.2080
138.427746 76.013 -42.2297
138.793957 75.998 -42.2529
139.160168 75.983 -42.2771
139.526379 75.968 -42.3018
139.892589 75.953 -42.3263
140.258800 75.938 -42.3503
140.625011 75.924 -42.3734
140.991222 75.909 -42.3958
141.357433 75.895 -42.4176
141.723644 75.881 -42.4390
142.089855 75.867 -42.4600
142.456066 75.853 -42.4804
142.822277 75.839 -42.5001
143.188488 75.826 -42.5187
143.554699 75.812 -42.5361
143.920910 75.799 -42.5527
144.287121 75.786 -42.5687
144.653332 75.773 -42.5845
145.019543 75.761 -42.6006
