* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:38:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Blue Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.321 -48.6175
0.732422 75.703 -96.5275
1.098633 76.389 -141.4430
1.464844 77.077 178.9608
1.831055 77.338 145.4830
2.197266 76.836 118.4022
2.563477 75.353 99.4087
2.929688 73.079 94.0974
3.295899 72.155 107.3032
3.662110 74.332 117.6583
4.028321 76.771 114.4505
4.394532 78.279 106.0085
4.760743 78.948 97.7102
5.126954 79.117 92.1556
5.493164 79.218 89.9260
5.859375 79.583 89.3192
6.225586 80.170 87.9085
6.591797 80.709 84.9304
6.958008 81.015 81.2555
7.324219 81.088 78.1098
7.690430 81.057 76.1807
8.056641 81.074 75.2411
8.422852 81.196 74.4510
8.789063 81.361 73.1748
9.155274 81.482 71.4235
9.521485 81.524 69.5997
9.887696 81.515 68.0412
10.253907 81.442 66.7787
10.620118 81.367 65.6130
10.986329 81.312 64.3572
11.352540 81.258 62.9840
11.718751 81.195 61.5729
12.084962 81.130 60.1877
12.451173 81.069 58.8287
12.817384 81.068 57.4792
13.183595 81.075 56.1622
13.549806 81.080 54.9241
13.916017 81.090 53.7785
14.282228 81.110 52.6801
14.648439 81.136 51.5659
15.014650 81.156 50.4209
15.380861 81.163 49.2931
15.747072 81.158 48.2439
16.113283 81.157 47.2880
16.479493 81.173 46.3801
16.845704 81.192 45.4591
17.211915 81.207 44.5002
17.578126 81.214 43.5247
17.944337 81.212 42.5667
18.310548 81.208 41.6370
18.676759 81.205 40.7182
19.042970 81.202 39.7894
19.409181 81.200 38.8458
19.775392 81.196 37.8991
20.141603 81.195 36.9576
20.507814 81.197 36.0197
20.874025 81.202 35.0798
21.240236 81.206 34.1441
21.606447 81.210 33.2284
21.972658 81.215 32.3452
22.338869 81.223 31.4910
22.705080 81.234 30.6507
23.071291 81.246 29.8136
23.437502 81.257 28.9846
23.803713 81.265 28.1780
24.169924 81.271 27.4019
24.536135 81.277 26.6497
24.902346 81.284 25.9072
25.268557 81.289 25.1654
25.634768 81.292 24.4271
26.000979 81.291 23.7006
26.367190 81.289 22.9896
26.733401 81.286 22.2888
27.099612 81.284 21.5892
27.465823 81.281 20.8859
27.832033 81.277 20.1793
28.198244 81.273 19.4729
28.564455 81.268 18.7686
28.930666 81.264 18.0676
29.296877 81.259 17.3724
29.663088 81.255 16.6860
30.029299 81.252 16.0091
30.395510 81.250 15.3387
30.761721 81.250 14.6697
31.127932 81.250 14.0009
31.494143 81.248 13.3372
31.860354 81.245 12.6865
32.226565 81.242 12.0530
32.592776 81.239 11.4337
32.958987 81.237 10.8215
33.325198 81.234 10.2114
33.691409 81.229 9.6042
34.057620 81.223 9.0049
34.423831 81.216 8.4173
34.790042 81.209 7.8401
35.156253 81.202 7.2686
35.522464 81.195 6.6971
35.888675 81.189 6.1223
36.254886 81.181 5.5433
36.621097 81.172 4.9632
36.987308 81.163 4.3874
37.353519 81.152 3.8213
37.719730 81.142 3.2675
38.085941 81.133 2.7222
38.452152 81.125 2.1774
38.818363 81.119 1.6255
39.184573 81.112 1.0657
39.550784 81.103 0.5051
39.916995 81.093 -0.0448
40.283206 81.082 -0.5778
40.649417 81.072 -1.0953
41.015628 81.063 -1.6055
41.381839 81.055 -2.1161
41.748050 81.046 -2.6287
42.114261 81.036 -3.1395
42.480472 81.025 -3.6427
42.846683 81.014 -4.1359
43.212894 81.002 -4.6212
43.579105 80.991 -5.1025
43.945316 80.980 -5.5830
44.311527 80.968 -6.0631
44.677738 80.956 -6.5417
45.043949 80.944 -7.0173
45.410160 80.931 -7.4889
45.776371 80.917 -7.9564
46.142582 80.904 -8.4198
46.508793 80.890 -8.8787
46.875004 80.875 -9.3320
47.241215 80.860 -9.7784
47.607426 80.845 -10.2173
47.973637 80.831 -10.6492
48.339848 80.816 -11.0760
48.706059 80.802 -11.5000
49.072270 80.788 -11.9224
49.438481 80.773 -12.3422
49.804692 80.757 -12.7569
50.170902 80.741 -13.1646
50.537113 80.725 -13.5651
50.903324 80.710 -13.9600
51.269535 80.694 -14.3510
51.635746 80.678 -14.7388
52.001957 80.661 -15.1221
52.368168 80.644 -15.4989
52.734379 80.627 -15.8682
53.100590 80.610 -16.2296
53.466801 80.593 -16.5844
53.833012 80.576 -16.9340
54.199223 80.560 -17.2795
54.565434 80.543 -17.6218
54.931645 80.527 -17.9609
55.297856 80.510 -18.2961
55.664067 80.492 -18.6266
56.030278 80.475 -18.9517
56.396489 80.456 -19.2712
56.762700 80.438 -19.5851
57.128911 80.420 -19.8933
57.495122 80.401 -20.1956
57.861333 80.382 -20.4918
58.227544 80.363 -20.7825
58.593755 80.344 -21.0687
58.959966 80.326 -21.3513
59.326177 80.307 -21.6301
59.692388 80.288 -21.9041
60.058599 80.269 -22.1718
60.424810 80.250 -22.4329
60.791021 80.232 -22.6891
61.157232 80.214 -22.9435
61.523442 80.197 -23.1980
61.889653 80.180 -23.4530
62.255864 80.162 -23.7072
62.622075 80.144 -23.9582
62.988286 80.125 -24.2039
63.354497 80.105 -24.4429
63.720708 80.085 -24.6749
64.086919 80.065 -24.9006
64.453130 80.045 -25.1214
64.819341 80.026 -25.3387
65.185552 80.006 -25.5544
65.551763 79.986 -25.7691
65.917974 79.966 -25.9825
66.284185 79.946 -26.1935
66.650396 79.925 -26.4007
67.016607 79.904 -26.6033
67.382818 79.883 -26.8016
67.749029 79.862 -26.9965
68.115240 79.841 -27.1890
68.481451 79.820 -27.3798
68.847662 79.800 -27.5686
69.213873 79.779 -27.7556
69.580084 79.758 -27.9402
69.946295 79.737 -28.1226
70.312506 79.716 -28.3027
70.678717 79.695 -28.4802
71.044928 79.674 -28.6544
71.411139 79.653 -28.8250
71.777350 79.632 -28.9917
72.143561 79.611 -29.1555
72.509771 79.590 -29.3173
72.875982 79.570 -29.4774
73.242193 79.549 -29.6355
73.608404 79.528 -29.7905
73.974615 79.507 -29.9421
74.340826 79.487 -30.0914
74.707037 79.466 -30.2406
75.073248 79.446 -30.3912
75.439459 79.426 -30.5433
75.805670 79.405 -30.6944
76.171881 79.383 -30.8414
76.538092 79.361 -30.9824
76.904303 79.339 -31.1173
77.270514 79.318 -31.2486
77.636725 79.298 -31.3792
78.002936 79.278 -31.5114
78.369147 79.258 -31.6454
78.735358 79.237 -31.7803
79.101569 79.217 -31.9139
79.467780 79.196 -32.0446
79.833991 79.175 -32.1716
80.200202 79.154 -32.2959
80.566413 79.134 -32.4185
80.932624 79.114 -32.5411
81.298835 79.094 -32.6640
81.665046 79.074 -32.7867
82.031257 79.053 -32.9080
82.397468 79.032 -33.0267
82.763679 79.011 -33.1426
83.129890 78.991 -33.2565
83.496101 78.970 -33.3694
83.862311 78.950 -33.4821
84.228522 78.929 -33.5944
84.594733 78.909 -33.7057
84.960944 78.888 -33.8157
85.327155 78.868 -33.9241
85.693366 78.847 -34.0309
86.059577 78.827 -34.1364
86.425788 78.806 -34.2405
86.791999 78.786 -34.3434
87.158210 78.766 -34.4454
87.524421 78.746 -34.5466
87.890632 78.726 -34.6470
88.256843 78.706 -34.7463
88.623054 78.686 -34.8444
88.989265 78.665 -34.9409
89.355476 78.645 -35.0359
89.721687 78.625 -35.1295
90.087898 78.605 -35.2219
90.454109 78.585 -35.3128
90.820320 78.565 -35.4021
91.186531 78.545 -35.4897
91.552742 78.525 -35.5760
91.918953 78.505 -35.6616
92.285164 78.485 -35.7471
92.651375 78.465 -35.8326
93.017586 78.445 -35.9174
93.383797 78.425 -36.0009
93.750008 78.405 -36.0826
94.116219 78.385 -36.1625
94.482430 78.365 -36.2415
94.848641 78.345 -36.3203
95.214851 78.326 -36.3995
95.581062 78.306 -36.4789
95.947273 78.286 -36.5580
96.313484 78.266 -36.6361
96.679695 78.246 -36.7129
97.045906 78.226 -36.7883
97.412117 78.207 -36.8631
97.778328 78.187 -36.9375
98.144539 78.168 -37.0121
98.510750 78.148 -37.0867
98.876961 78.129 -37.1611
99.243172 78.109 -37.2347
99.609383 78.089 -37.3070
99.975594 78.069 -37.3777
100.341805 78.050 -37.4469
100.708016 78.031 -37.5150
101.074227 78.011 -37.5825
101.440438 77.992 -37.6498
101.806649 77.973 -37.7166
102.172860 77.954 -37.7826
102.539071 77.935 -37.8475
102.905282 77.916 -37.9113
103.271493 77.897 -37.9738
103.637704 77.878 -38.0355
104.003915 77.859 -38.0967
104.370126 77.841 -38.1573
104.736337 77.822 -38.2174
105.102548 77.803 -38.2769
105.468759 77.785 -38.3358
105.834970 77.767 -38.3947
106.201180 77.748 -38.4535
106.567391 77.730 -38.5124
106.933602 77.711 -38.5712
107.299813 77.693 -38.6295
107.666024 77.674 -38.6871
108.032235 77.655 -38.7437
108.398446 77.636 -38.7993
108.764657 77.618 -38.8539
109.130868 77.599 -38.9077
109.497079 77.580 -38.9604
109.863290 77.561 -39.0125
110.229501 77.542 -39.0635
110.595712 77.523 -39.1138
110.961923 77.505 -39.1632
111.328134 77.486 -39.2117
111.694345 77.467 -39.2590
112.060556 77.449 -39.3052
112.426767 77.430 -39.3502
112.792978 77.412 -39.3943
113.159189 77.394 -39.4382
113.525400 77.376 -39.4823
113.891611 77.359 -39.5272
114.257822 77.341 -39.5731
114.624033 77.324 -39.6201
114.990244 77.306 -39.6676
115.356455 77.288 -39.7152
115.722666 77.271 -39.7622
116.088877 77.253 -39.8083
116.455088 77.235 -39.8536
116.821299 77.217 -39.8983
117.187510 77.199 -39.9426
117.553720 77.182 -39.9866
117.919931 77.164 -40.0300
118.286142 77.146 -40.0726
118.652353 77.128 -40.1140
119.018564 77.110 -40.1544
119.384775 77.092 -40.1938
119.750986 77.074 -40.2328
120.117197 77.057 -40.2713
120.483408 77.039 -40.3090
120.849619 77.021 -40.3458
121.215830 77.003 -40.3816
121.582041 76.986 -40.4166
121.948252 76.968 -40.4513
122.314463 76.951 -40.4858
122.680674 76.934 -40.5206
123.046885 76.917 -40.5553
123.413096 76.900 -40.5900
123.779307 76.883 -40.6244
124.145518 76.866 -40.6589
124.511729 76.850 -40.6938
124.877940 76.834 -40.7291
125.244151 76.818 -40.7651
125.610362 76.802 -40.8017
125.976573 76.786 -40.8386
126.342784 76.770 -40.8752
126.708995 76.755 -40.9108
127.075206 76.739 -40.9447
127.441417 76.723 -40.9768
127.807628 76.707 -41.0073
128.173839 76.691 -41.0370
128.540049 76.675 -41.0662
128.906260 76.660 -41.0953
129.272471 76.644 -41.1241
129.638682 76.629 -41.1522
130.004893 76.613 -41.1791
130.371104 76.597 -41.2044
130.737315 76.581 -41.2286
131.103526 76.566 -41.2521
131.469737 76.551 -41.2753
131.835948 76.535 -41.2983
132.202159 76.520 -41.3215
132.568370 76.505 -41.3447
132.934581 76.490 -41.3682
133.300792 76.476 -41.3919
133.667003 76.461 -41.4156
134.033214 76.446 -41.4393
134.399425 76.431 -41.4628
134.765636 76.417 -41.4862
135.131847 76.402 -41.5099
135.498058 76.388 -41.5345
135.864269 76.374 -41.5601
136.230480 76.359 -41.5863
136.596691 76.345 -41.6129
136.962902 76.330 -41.6388
137.329113 76.315 -41.6635
137.695324 76.301 -41.6868
138.061535 76.286 -41.7087
138.427746 76.271 -41.7297
138.793957 76.257 -41.7504
139.160168 76.242 -41.7709
139.526379 76.228 -41.7913
139.892589 76.213 -41.8115
140.258800 76.199 -41.8313
140.625011 76.184 -41.8505
140.991222 76.170 -41.8691
141.357433 76.155 -41.8871
141.723644 76.141 -41.9045
142.089855 76.126 -41.9213
142.456066 76.112 -41.9376
142.822277 76.098 -41.9532
143.188488 76.083 -41.9685
143.554699 76.069 -41.9836
143.920910 76.055 -41.9990
144.287121 76.042 -42.0151
144.653332 76.028 -42.0320
145.019543 76.014 -42.0499
