* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:39:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Blue Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.620 -35.6250
0.732422 78.314 -75.0870
1.098633 76.918 -121.8154
1.464844 76.722 -171.7854
1.831055 77.532 146.4707
2.197266 78.035 116.0488
2.563477 77.657 95.5808
2.929688 76.536 86.0279
3.295899 75.717 88.8329
3.662110 76.503 95.7117
4.028321 78.086 95.9125
4.394532 79.253 90.6510
4.760743 79.723 84.2851
5.126954 79.679 79.8567
5.493164 79.516 78.6380
5.859375 79.630 79.4118
6.225586 80.063 79.4983
6.591797 80.531 77.6662
6.958008 80.797 74.6989
7.324219 80.830 71.9822
7.690430 80.757 70.3962
8.056641 80.742 69.8206
8.422852 80.853 69.3948
8.789063 81.027 68.4200
9.155274 81.164 66.9006
9.521485 81.223 65.2848
9.887696 81.229 63.9566
10.253907 81.173 62.9616
10.620118 81.115 62.0846
10.986329 81.075 61.1218
11.352540 81.031 60.0427
11.718751 80.972 58.9308
12.084962 80.905 57.8443
12.451173 80.838 56.7685
12.817384 80.825 55.6725
13.183595 80.814 54.5755
13.549806 80.796 53.5287
13.916017 80.781 52.5464
14.282228 80.776 51.5744
14.648439 80.778 50.5407
15.014650 80.776 49.4302
15.380861 80.762 48.3037
15.747072 80.738 47.2396
16.113283 80.723 46.2623
16.479493 80.731 45.3260
16.845704 80.748 44.3656
17.211915 80.766 43.3585
17.578126 80.778 42.3370
17.944337 80.783 41.3497
18.310548 80.786 40.4167
18.676759 80.793 39.5228
19.042970 80.801 38.6428
19.409181 80.810 37.7672
19.775392 80.817 36.9021
20.141603 80.825 36.0522
20.507814 80.833 35.2113
20.874025 80.841 34.3724
21.240236 80.845 33.5394
21.606447 80.847 32.7255
21.972658 80.847 31.9373
22.338869 80.850 31.1635
22.705080 80.855 30.3829
23.071291 80.859 29.5848
23.437502 80.859 28.7798
23.803713 80.856 27.9900
24.169924 80.853 27.2281
24.536135 80.852 26.4875
24.902346 80.854 25.7507
25.268557 80.857 25.0070
25.634768 80.860 24.2606
26.000979 80.862 23.5246
26.367190 80.863 22.8063
26.733401 80.864 22.1030
27.099612 80.867 21.4070
27.465823 80.870 20.7148
27.832033 80.871 20.0292
28.198244 80.872 19.3545
28.564455 80.872 18.6913
28.930666 80.872 18.0374
29.296877 80.871 17.3902
29.663088 80.870 16.7497
30.029299 80.868 16.1156
30.395510 80.866 15.4854
30.761721 80.864 14.8552
31.127932 80.861 14.2249
31.494143 80.857 13.5992
31.860354 80.851 12.9839
32.226565 80.846 12.3799
32.592776 80.842 11.7815
32.958987 80.839 11.1809
33.325198 80.836 10.5750
33.691409 80.832 9.9683
34.057620 80.826 9.3694
34.423831 80.819 8.7842
34.790042 80.813 8.2119
35.156253 80.809 7.6472
35.522464 80.805 7.0842
35.888675 80.801 6.5198
36.254886 80.797 5.9540
36.621097 80.792 5.3891
36.987308 80.786 4.8285
37.353519 80.779 4.2756
37.719730 80.772 3.7322
38.085941 80.764 3.1969
38.452152 80.758 2.6653
38.818363 80.751 2.1334
39.184573 80.744 1.6003
39.550784 80.736 1.0692
39.916995 80.728 0.5439
40.283206 80.720 0.0256
40.649417 80.713 -0.4889
41.015628 80.706 -1.0037
41.381839 80.699 -1.5199
41.748050 80.691 -2.0345
42.114261 80.683 -2.5433
42.480472 80.674 -3.0441
42.846683 80.665 -3.5385
43.212894 80.657 -4.0297
43.579105 80.649 -4.5201
43.945316 80.641 -5.0099
44.311527 80.632 -5.4974
44.677738 80.623 -5.9817
45.043949 80.613 -6.4622
45.410160 80.603 -6.9382
45.776371 80.592 -7.4094
46.142582 80.582 -7.8755
46.508793 80.571 -8.3374
46.875004 80.561 -8.7971
47.241215 80.550 -9.2558
47.607426 80.539 -9.7139
47.973637 80.528 -10.1698
48.339848 80.517 -10.6226
48.706059 80.505 -11.0722
49.072270 80.493 -11.5194
49.438481 80.481 -11.9646
49.804692 80.469 -12.4069
50.170902 80.456 -12.8447
50.537113 80.442 -13.2769
50.903324 80.429 -13.7032
51.269535 80.416 -14.1250
51.635746 80.402 -14.5434
52.001957 80.389 -14.9588
52.368168 80.375 -15.3711
52.734379 80.361 -15.7798
53.100590 80.346 -16.1840
53.466801 80.331 -16.5831
53.833012 80.316 -16.9768
54.199223 80.300 -17.3652
54.565434 80.285 -17.7489
54.931645 80.269 -18.1292
55.297856 80.254 -18.5065
55.664067 80.238 -18.8805
56.030278 80.222 -19.2502
56.396489 80.205 -19.6146
56.762700 80.188 -19.9728
57.128911 80.172 -20.3250
57.495122 80.155 -20.6720
57.861333 80.139 -21.0156
58.227544 80.123 -21.3577
58.593755 80.107 -21.6993
58.959966 80.090 -22.0396
59.326177 80.072 -22.3752
59.692388 80.053 -22.7019
60.058599 80.034 -23.0175
60.424810 80.015 -23.3229
60.791021 79.997 -23.6226
61.157232 79.979 -23.9208
61.523442 79.962 -24.2193
61.889653 79.943 -24.5162
62.255864 79.925 -24.8079
62.622075 79.905 -25.0920
62.988286 79.886 -25.3698
63.354497 79.867 -25.6439
63.720708 79.848 -25.9166
64.086919 79.828 -26.1879
64.453130 79.808 -26.4549
64.819341 79.788 -26.7150
65.185552 79.767 -26.9672
65.551763 79.747 -27.2134
65.917974 79.727 -27.4561
66.284185 79.708 -27.6968
66.650396 79.688 -27.9349
67.016607 79.668 -28.1684
67.382818 79.648 -28.3956
67.749029 79.628 -28.6168
68.115240 79.608 -28.8342
68.481451 79.588 -29.0500
68.847662 79.569 -29.2650
69.213873 79.548 -29.4776
69.580084 79.528 -29.6852
69.946295 79.507 -29.8864
70.312506 79.486 -30.0818
70.678717 79.466 -30.2743
71.044928 79.446 -30.4661
71.411139 79.425 -30.6572
71.777350 79.404 -30.8461
72.143561 79.383 -31.0302
72.509771 79.362 -31.2084
72.875982 79.341 -31.3820
73.242193 79.320 -31.5531
73.608404 79.300 -31.7235
73.974615 79.279 -31.8928
74.340826 79.258 -32.0594
74.707037 79.237 -32.2222
75.073248 79.216 -32.3813
75.439459 79.196 -32.5380
75.805670 79.175 -32.6937
76.171881 79.155 -32.8489
76.538092 79.134 -33.0031
76.904303 79.113 -33.1549
77.270514 79.092 -33.3040
77.636725 79.071 -33.4500
78.002936 79.050 -33.5933
78.369147 79.028 -33.7341
78.735358 79.007 -33.8720
79.101569 78.986 -34.0071
79.467780 78.964 -34.1398
79.833991 78.944 -34.2712
80.200202 78.923 -34.4025
80.566413 78.902 -34.5341
80.932624 78.881 -34.6656
81.298835 78.860 -34.7957
81.665046 78.839 -34.9225
82.031257 78.817 -35.0451
82.397468 78.796 -35.1632
82.763679 78.774 -35.2777
83.129890 78.754 -35.3900
83.496101 78.733 -35.5018
83.862311 78.713 -35.6141
84.228522 78.693 -35.7275
84.594733 78.674 -35.8418
84.960944 78.653 -35.9562
85.327155 78.633 -36.0695
85.693366 78.612 -36.1807
86.059577 78.591 -36.2892
86.425788 78.570 -36.3950
86.791999 78.549 -36.4983
87.158210 78.528 -36.5994
87.524421 78.508 -36.6985
87.890632 78.487 -36.7957
88.256843 78.467 -36.8918
88.623054 78.447 -36.9878
88.989265 78.427 -37.0845
89.355476 78.407 -37.1823
89.721687 78.386 -37.2800
90.087898 78.365 -37.3763
90.454109 78.344 -37.4695
90.820320 78.323 -37.5591
91.186531 78.302 -37.6458
91.552742 78.281 -37.7307
91.918953 78.260 -37.8153
92.285164 78.240 -37.9000
92.651375 78.219 -37.9844
93.017586 78.198 -38.0677
93.383797 78.178 -38.1499
93.750008 78.157 -38.2307
94.116219 78.137 -38.3105
94.482430 78.116 -38.3899
94.848641 78.096 -38.4692
95.214851 78.076 -38.5484
95.581062 78.056 -38.6272
95.947273 78.036 -38.7052
96.313484 78.015 -38.7821
96.679695 77.995 -38.8577
97.045906 77.975 -38.9316
97.412117 77.954 -39.0037
97.778328 77.934 -39.0738
98.144539 77.914 -39.1422
98.510750 77.894 -39.2094
98.876961 77.875 -39.2760
99.243172 77.855 -39.3425
99.609383 77.836 -39.4093
99.975594 77.817 -39.4765
100.341805 77.797 -39.5436
100.708016 77.777 -39.6100
101.074227 77.757 -39.6750
101.440438 77.737 -39.7383
101.806649 77.717 -39.7996
102.172860 77.697 -39.8595
102.539071 77.678 -39.9185
102.905282 77.658 -39.9774
103.271493 77.639 -40.0367
103.637704 77.619 -40.0963
104.003915 77.600 -40.1560
104.370126 77.580 -40.2153
104.736337 77.561 -40.2740
105.102548 77.541 -40.3320
105.468759 77.522 -40.3893
105.834970 77.502 -40.4457
106.201180 77.483 -40.5011
106.567391 77.463 -40.5554
106.933602 77.444 -40.6084
107.299813 77.425 -40.6605
107.666024 77.406 -40.7120
108.032235 77.387 -40.7634
108.398446 77.368 -40.8151
108.764657 77.349 -40.8666
109.130868 77.330 -40.9178
109.497079 77.311 -40.9684
109.863290 77.292 -41.0179
110.229501 77.273 -41.0667
110.595712 77.254 -41.1149
110.961923 77.236 -41.1631
111.328134 77.217 -41.2117
111.694345 77.199 -41.2607
112.060556 77.180 -41.3099
112.426767 77.161 -41.3589
112.792978 77.142 -41.4071
113.159189 77.124 -41.4546
113.525400 77.105 -41.5015
113.891611 77.087 -41.5481
114.257822 77.068 -41.5946
114.624033 77.049 -41.6409
114.990244 77.031 -41.6866
115.356455 77.012 -41.7315
115.722666 76.994 -41.7753
116.088877 76.975 -41.8179
116.455088 76.957 -41.8592
116.821299 76.938 -41.8990
117.187510 76.920 -41.9370
117.553720 76.901 -41.9730
117.919931 76.883 -42.0073
118.286142 76.865 -42.0405
118.652353 76.847 -42.0733
119.018564 76.829 -42.1066
119.384775 76.812 -42.1404
119.750986 76.794 -42.1747
120.117197 76.776 -42.2090
120.483408 76.758 -42.2426
120.849619 76.741 -42.2754
121.215830 76.723 -42.3079
121.582041 76.705 -42.3403
121.948252 76.687 -42.3731
122.314463 76.670 -42.4063
122.680674 76.652 -42.4398
123.046885 76.634 -42.4731
123.413096 76.616 -42.5059
123.779307 76.598 -42.5378
124.145518 76.580 -42.5687
124.511729 76.563 -42.5983
124.877940 76.545 -42.6271
125.244151 76.528 -42.6554
125.610362 76.512 -42.6838
125.976573 76.495 -42.7123
126.342784 76.479 -42.7410
126.708995 76.463 -42.7694
127.075206 76.447 -42.7969
127.441417 76.430 -42.8234
127.807628 76.414 -42.8484
128.173839 76.399 -42.8727
128.540049 76.383 -42.8964
128.906260 76.367 -42.9201
129.272471 76.352 -42.9442
129.638682 76.337 -42.9688
130.004893 76.321 -42.9937
130.371104 76.306 -43.0188
130.737315 76.290 -43.0440
131.103526 76.275 -43.0693
131.469737 76.259 -43.0948
131.835948 76.244 -43.1206
132.202159 76.228 -43.1464
132.568370 76.213 -43.1721
132.934581 76.197 -43.1973
133.300792 76.181 -43.2218
133.667003 76.165 -43.2455
134.033214 76.150 -43.2683
134.399425 76.134 -43.2906
134.765636 76.118 -43.3127
135.131847 76.103 -43.3346
135.498058 76.088 -43.3564
135.864269 76.072 -43.3781
136.230480 76.057 -43.3995
136.596691 76.042 -43.4204
136.962902 76.027 -43.4409
137.329113 76.012 -43.4608
137.695324 75.997 -43.4803
138.061535 75.982 -43.4993
138.427746 75.967 -43.5178
138.793957 75.952 -43.5361
139.160168 75.938 -43.5541
139.526379 75.923 -43.5718
139.892589 75.908 -43.5890
140.258800 75.893 -43.6056
140.625011 75.878 -43.6215
140.991222 75.864 -43.6367
141.357433 75.849 -43.6514
141.723644 75.835 -43.6658
142.089855 75.820 -43.6802
142.456066 75.806 -43.6948
142.822277 75.791 -43.7098
143.188488 75.777 -43.7249
143.554699 75.763 -43.7398
143.920910 75.748 -43.7545
144.287121 75.734 -43.7687
144.653332 75.720 -43.7826
145.019543 75.705 -43.7961
