* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:43:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Gold Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.309 -48.4603
0.732422 75.692 -96.1723
1.098633 76.370 -140.8790
1.464844 77.045 179.6994
1.831055 77.298 146.3684
2.197266 76.798 119.4401
2.563477 75.338 100.6204
2.929688 73.134 95.3528
3.295899 72.271 107.9168
3.662110 74.381 117.7675
4.028321 76.767 114.5910
4.394532 78.254 106.2660
4.760743 78.921 98.0580
5.126954 79.094 92.5405
5.493164 79.201 90.2893
5.859375 79.564 89.6401
6.225586 80.145 88.2169
6.591797 80.681 85.2617
6.958008 80.988 81.6195
7.324219 81.065 78.4897
7.690430 81.041 76.5467
8.056641 81.062 75.5716
8.422852 81.184 74.7485
8.789063 81.348 73.4581
9.155274 81.469 71.7068
9.521485 81.513 69.8831
9.887696 81.508 68.3146
10.253907 81.438 67.0318
10.620118 81.365 65.8424
10.986329 81.311 64.5658
11.352540 81.258 63.1744
11.718751 81.197 61.7453
12.084962 81.133 60.3391
12.451173 81.073 58.9572
12.817384 81.073 57.5860
13.183595 81.080 56.2486
13.549806 81.086 54.9907
13.916017 81.096 53.8247
14.282228 81.116 52.7042
14.648439 81.142 51.5687
15.014650 81.161 50.4059
15.380861 81.167 49.2658
15.747072 81.162 48.2095
16.113283 81.162 47.2486
16.479493 81.179 46.3328
16.845704 81.200 45.3967
17.211915 81.217 44.4153
17.578126 81.224 43.4150
17.944337 81.221 42.4384
18.310548 81.215 41.5023
18.676759 81.211 40.5889
19.042970 81.210 39.6681
19.409181 81.211 38.7257
19.775392 81.210 37.7673
20.141603 81.210 36.8059
20.507814 81.213 35.8494
20.874025 81.216 34.9019
21.240236 81.219 33.9709
21.606447 81.223 33.0660
21.972658 81.230 32.1902
22.338869 81.240 31.3341
22.705080 81.253 30.4827
23.071291 81.266 29.6299
23.437502 81.276 28.7852
23.803713 81.283 27.9652
24.169924 81.288 27.1787
24.536135 81.293 26.4200
24.902346 81.297 25.6750
25.268557 81.302 24.9339
25.634768 81.304 24.1967
26.000979 81.304 23.4682
26.367190 81.302 22.7504
26.733401 81.299 22.0400
27.099612 81.296 21.3330
27.465823 81.292 20.6274
27.832033 81.289 19.9231
28.198244 81.286 19.2178
28.564455 81.284 18.5072
28.930666 81.281 17.7906
29.296877 81.277 17.0741
29.663088 81.272 16.3683
30.029299 81.268 15.6806
30.395510 81.265 15.0085
30.761721 81.264 14.3430
31.127932 81.264 13.6768
31.494143 81.263 13.0117
31.860354 81.260 12.3563
32.226565 81.257 11.7179
32.592776 81.253 11.0960
32.958987 81.251 10.4838
33.325198 81.248 9.8744
33.691409 81.243 9.2668
34.057620 81.238 8.6639
34.423831 81.231 8.0692
34.790042 81.224 7.4822
35.156253 81.216 6.8998
35.522464 81.208 6.3192
35.888675 81.199 5.7395
36.254886 81.190 5.1609
36.621097 81.181 4.5839
36.987308 81.172 4.0078
37.353519 81.162 3.4336
37.719730 81.152 2.8625
38.085941 81.142 2.2968
38.452152 81.131 1.7366
38.818363 81.122 1.1812
39.184573 81.112 0.6295
39.550784 81.102 0.0825
39.916995 81.093 -0.4581
40.283206 81.083 -0.9914
40.649417 81.075 -1.5185
41.015628 81.066 -2.0419
41.381839 81.058 -2.5632
41.748050 81.048 -3.0817
42.114261 81.037 -3.5950
42.480472 81.026 -4.1013
42.846683 81.014 -4.5997
43.212894 81.002 -5.0916
43.579105 80.989 -5.5776
43.945316 80.977 -6.0588
44.311527 80.964 -6.5359
44.677738 80.951 -7.0099
45.043949 80.938 -7.4819
45.410160 80.925 -7.9517
45.776371 80.911 -8.4185
46.142582 80.896 -8.8802
46.508793 80.881 -9.3359
46.875004 80.866 -9.7853
47.241215 80.851 -10.2289
47.607426 80.836 -10.6673
47.973637 80.821 -11.1006
48.339848 80.805 -11.5286
48.706059 80.790 -11.9514
49.072270 80.774 -12.3696
49.438481 80.759 -12.7836
49.804692 80.743 -13.1937
50.170902 80.727 -13.6002
50.537113 80.712 -14.0031
50.903324 80.695 -14.4019
51.269535 80.678 -14.7954
51.635746 80.661 -15.1821
52.001957 80.643 -15.5609
52.368168 80.626 -15.9319
52.734379 80.608 -16.2968
53.100590 80.591 -16.6569
53.466801 80.574 -17.0128
53.833012 80.556 -17.3641
54.199223 80.538 -17.7097
54.565434 80.520 -18.0491
54.931645 80.502 -18.3821
55.297856 80.484 -18.7093
55.664067 80.467 -19.0310
56.030278 80.449 -19.3481
56.396489 80.431 -19.6616
56.762700 80.413 -19.9725
57.128911 80.395 -20.2810
57.495122 80.376 -20.5859
57.861333 80.356 -20.8856
58.227544 80.337 -21.1783
58.593755 80.317 -21.4641
58.959966 80.297 -21.7440
59.326177 80.278 -22.0193
59.692388 80.258 -22.2904
60.058599 80.239 -22.5573
60.424810 80.220 -22.8199
60.791021 80.201 -23.0790
61.157232 80.183 -23.3364
61.523442 80.164 -23.5927
61.889653 80.145 -23.8472
62.255864 80.126 -24.0981
62.622075 80.106 -24.3428
62.988286 80.086 -24.5807
63.354497 80.065 -24.8124
63.720708 80.045 -25.0397
64.086919 80.025 -25.2642
64.453130 80.005 -25.4865
64.819341 79.984 -25.7061
65.185552 79.963 -25.9220
65.551763 79.942 -26.1337
65.917974 79.921 -26.3413
66.284185 79.899 -26.5455
66.650396 79.878 -26.7472
67.016607 79.857 -26.9467
67.382818 79.836 -27.1438
67.749029 79.814 -27.3382
68.115240 79.793 -27.5297
68.481451 79.771 -27.7184
68.847662 79.750 -27.9050
69.213873 79.729 -28.0898
69.580084 79.708 -28.2728
69.946295 79.687 -28.4537
70.312506 79.665 -28.6321
70.678717 79.644 -28.8076
71.044928 79.623 -28.9801
71.411139 79.602 -29.1494
71.777350 79.580 -29.3154
72.143561 79.559 -29.4785
72.509771 79.538 -29.6391
72.875982 79.518 -29.7979
73.242193 79.497 -29.9555
73.608404 79.476 -30.1122
73.974615 79.455 -30.2678
74.340826 79.434 -30.4220
74.707037 79.413 -30.5743
75.073248 79.391 -30.7242
75.439459 79.369 -30.8713
75.805670 79.347 -31.0150
76.171881 79.326 -31.1555
76.538092 79.304 -31.2938
76.904303 79.283 -31.4315
77.270514 79.262 -31.5702
77.636725 79.241 -31.7102
78.002936 79.220 -31.8506
78.369147 79.198 -31.9889
78.735358 79.176 -32.1230
79.101569 79.153 -32.2522
79.467780 79.132 -32.3771
79.833991 79.110 -32.4994
80.200202 79.089 -32.6207
80.566413 79.068 -32.7415
80.932624 79.047 -32.8614
81.298835 79.026 -32.9797
81.665046 79.005 -33.0963
82.031257 78.984 -33.2120
82.397468 78.964 -33.3276
82.763679 78.943 -33.4434
83.129890 78.922 -33.5584
83.496101 78.901 -33.6719
83.862311 78.880 -33.7828
84.228522 78.859 -33.8917
84.594733 78.838 -33.9998
84.960944 78.818 -34.1078
85.327155 78.797 -34.2159
85.693366 78.776 -34.3228
86.059577 78.755 -34.4266
86.425788 78.734 -34.5268
86.791999 78.713 -34.6238
87.158210 78.693 -34.7194
87.524421 78.673 -34.8157
87.890632 78.653 -34.9136
88.256843 78.633 -35.0129
88.623054 78.614 -35.1129
88.989265 78.593 -35.2123
89.355476 78.573 -35.3102
89.721687 78.552 -35.4062
90.087898 78.532 -35.5001
90.454109 78.511 -35.5918
90.820320 78.490 -35.6814
91.186531 78.470 -35.7693
91.552742 78.449 -35.8558
91.918953 78.429 -35.9415
92.285164 78.409 -36.0267
92.651375 78.389 -36.1116
93.017586 78.369 -36.1962
93.383797 78.349 -36.2804
93.750008 78.329 -36.3643
94.116219 78.309 -36.4479
94.482430 78.289 -36.5309
94.848641 78.269 -36.6132
95.214851 78.249 -36.6942
95.581062 78.228 -36.7738
95.947273 78.208 -36.8516
96.313484 78.188 -36.9282
96.679695 78.169 -37.0043
97.045906 78.149 -37.0807
97.412117 78.129 -37.1577
97.778328 78.110 -37.2347
98.144539 78.090 -37.3109
98.510750 78.070 -37.3851
98.876961 78.050 -37.4569
99.243172 78.030 -37.5271
99.609383 78.010 -37.5966
99.975594 77.991 -37.6661
100.341805 77.971 -37.7357
100.708016 77.952 -37.8043
101.074227 77.932 -37.8708
101.440438 77.912 -37.9350
101.806649 77.893 -37.9969
102.172860 77.874 -38.0576
102.539071 77.855 -38.1181
102.905282 77.836 -38.1788
103.271493 77.817 -38.2395
103.637704 77.798 -38.3002
104.003915 77.779 -38.3605
104.370126 77.761 -38.4205
104.736337 77.742 -38.4806
105.102548 77.723 -38.5404
105.468759 77.704 -38.5997
105.834970 77.685 -38.6581
106.201180 77.666 -38.7155
106.567391 77.647 -38.7721
106.933602 77.628 -38.8286
107.299813 77.609 -38.8851
107.666024 77.590 -38.9417
108.032235 77.571 -38.9976
108.398446 77.551 -39.0521
108.764657 77.532 -39.1047
109.130868 77.513 -39.1553
109.497079 77.494 -39.2042
109.863290 77.475 -39.2521
110.229501 77.456 -39.2996
110.595712 77.438 -39.3473
110.961923 77.420 -39.3956
111.328134 77.402 -39.4451
111.694345 77.384 -39.4957
112.060556 77.366 -39.5475
112.426767 77.348 -39.5999
112.792978 77.330 -39.6523
113.159189 77.312 -39.7041
113.525400 77.294 -39.7549
113.891611 77.275 -39.8046
114.257822 77.257 -39.8532
114.624033 77.239 -39.9011
114.990244 77.221 -39.9484
115.356455 77.203 -39.9951
115.722666 77.185 -40.0410
116.088877 77.167 -40.0862
116.455088 77.149 -40.1309
116.821299 77.131 -40.1753
117.187510 77.113 -40.2196
117.553720 77.096 -40.2635
117.919931 77.078 -40.3068
118.286142 77.060 -40.3486
118.652353 77.042 -40.3888
119.018564 77.024 -40.4274
119.384775 77.006 -40.4650
119.750986 76.988 -40.5020
120.117197 76.971 -40.5387
120.483408 76.954 -40.5753
120.849619 76.936 -40.6118
121.215830 76.919 -40.6482
121.582041 76.902 -40.6846
121.948252 76.885 -40.7208
122.314463 76.867 -40.7573
122.680674 76.850 -40.7937
123.046885 76.833 -40.8301
123.413096 76.816 -40.8665
123.779307 76.799 -40.9027
124.145518 76.782 -40.9385
124.511729 76.765 -40.9736
124.877940 76.748 -41.0077
125.244151 76.731 -41.0405
125.610362 76.715 -41.0721
125.976573 76.699 -41.1024
126.342784 76.683 -41.1321
126.708995 76.667 -41.1613
127.075206 76.651 -41.1902
127.441417 76.636 -41.2189
127.807628 76.620 -41.2472
128.173839 76.604 -41.2747
128.540049 76.588 -41.3016
128.906260 76.573 -41.3278
129.272471 76.557 -41.3533
129.638682 76.541 -41.3787
130.004893 76.526 -41.4037
130.371104 76.510 -41.4290
130.737315 76.495 -41.4541
131.103526 76.479 -41.4795
131.469737 76.464 -41.5049
131.835948 76.449 -41.5305
132.202159 76.433 -41.5561
132.568370 76.418 -41.5820
132.934581 76.403 -41.6081
133.300792 76.388 -41.6345
133.667003 76.372 -41.6612
134.033214 76.357 -41.6880
134.399425 76.342 -41.7148
134.765636 76.327 -41.7413
135.131847 76.312 -41.7672
135.498058 76.297 -41.7922
135.864269 76.282 -41.8165
136.230480 76.268 -41.8402
136.596691 76.253 -41.8633
136.962902 76.238 -41.8864
137.329113 76.224 -41.9093
137.695324 76.210 -41.9321
138.061535 76.195 -41.9545
138.427746 76.180 -41.9759
138.793957 76.166 -41.9962
139.160168 76.151 -42.0153
139.526379 76.137 -42.0334
139.892589 76.123 -42.0513
140.258800 76.108 -42.0693
140.625011 76.094 -42.0878
140.991222 76.080 -42.1066
141.357433 76.066 -42.1257
141.723644 76.051 -42.1447
142.089855 76.037 -42.1632
142.456066 76.022 -42.1810
142.822277 76.008 -42.1982
143.188488 75.994 -42.2150
143.554699 75.980 -42.2316
143.920910 75.966 -42.2485
144.287121 75.952 -42.2660
144.653332 75.938 -42.2839
145.019543 75.924 -42.3021
