* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:43:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 80.015 -36.2693
0.732422 78.820 -75.9524
1.098633 77.520 -121.7806
1.464844 77.166 -170.3006
1.831055 77.646 148.0696
2.197266 77.839 116.8773
2.563477 77.130 95.7603
2.929688 75.592 86.8879
3.295899 74.570 93.2385
3.662110 75.783 102.7724
4.028321 77.763 102.3745
4.394532 79.085 95.8949
4.760743 79.594 88.6412
5.126954 79.549 83.7626
5.493164 79.402 82.4236
5.859375 79.573 83.0813
6.225586 80.072 82.7995
6.591797 80.577 80.4364
6.958008 80.847 76.9608
7.324219 80.864 73.8633
7.690430 80.772 72.0469
8.056641 80.750 71.3361
8.422852 80.866 70.7744
8.789063 81.050 69.6121
9.155274 81.191 67.8743
9.521485 81.247 66.0544
9.887696 81.249 64.5632
10.253907 81.191 63.4417
10.620118 81.135 62.4520
10.986329 81.100 61.3743
11.352540 81.060 60.1794
11.718751 81.005 58.9612
12.084962 80.941 57.7827
12.451173 80.878 56.6253
12.817384 80.871 55.4537
13.183595 80.865 54.2868
13.549806 80.851 53.1792
13.916017 80.841 52.1472
14.282228 80.841 51.1329
14.648439 80.848 50.0574
15.014650 80.850 48.9033
15.380861 80.839 47.7338
15.747072 80.817 46.6313
16.113283 80.803 45.6217
16.479493 80.810 44.6572
16.845704 80.827 43.6702
17.211915 80.844 42.6387
17.578126 80.854 41.5968
17.944337 80.858 40.5921
18.310548 80.863 39.6398
18.676759 80.870 38.7174
19.042970 80.880 37.7973
19.409181 80.888 36.8743
19.775392 80.894 35.9630
20.141603 80.899 35.0747
20.507814 80.907 34.2040
20.874025 80.914 33.3397
21.240236 80.918 32.4808
21.606447 80.921 31.6384
21.972658 80.922 30.8206
22.338869 80.926 30.0185
22.705080 80.931 29.2130
23.071291 80.936 28.3934
23.437502 80.937 27.5690
23.803713 80.936 26.7599
24.169924 80.933 25.9775
24.536135 80.933 25.2143
24.902346 80.936 24.4529
25.268557 80.939 23.6840
25.634768 80.940 22.9141
26.000979 80.940 22.1571
26.367190 80.939 21.4207
26.733401 80.939 20.7007
27.099612 80.940 19.9893
27.465823 80.941 19.2819
27.832033 80.941 18.5804
28.198244 80.941 17.8878
28.564455 80.941 17.2026
28.930666 80.940 16.5230
29.296877 80.938 15.8490
29.663088 80.935 15.1841
30.029299 80.932 14.5303
30.395510 80.929 13.8837
30.761721 80.927 13.2363
31.127932 80.924 12.5838
31.494143 80.920 11.9301
31.860354 80.914 11.2843
32.226565 80.906 10.6528
32.592776 80.900 10.0344
32.958987 80.895 9.4221
33.325198 80.890 8.8095
33.691409 80.885 8.1957
34.057620 80.880 7.5834
34.423831 80.874 6.9755
34.790042 80.868 6.3733
35.156253 80.861 5.7769
35.522464 80.854 5.1874
35.888675 80.846 4.6067
36.254886 80.839 4.0331
36.621097 80.833 3.4622
36.987308 80.826 2.8888
37.353519 80.819 2.3123
37.719730 80.810 1.7375
38.085941 80.799 1.1718
38.452152 80.788 0.6191
38.818363 80.777 0.0779
39.184573 80.767 -0.4565
39.550784 80.757 -0.9888
39.916995 80.747 -1.5199
40.283206 80.739 -2.0492
40.649417 80.730 -2.5756
41.015628 80.721 -3.0995
41.381839 80.713 -3.6221
41.748050 80.704 -4.1443
42.114261 80.695 -4.6653
42.480472 80.685 -5.1838
42.846683 80.674 -5.6978
43.212894 80.663 -6.2053
43.579105 80.651 -6.7053
43.945316 80.639 -7.1987
44.311527 80.628 -7.6879
44.677738 80.616 -8.1759
45.043949 80.604 -8.6636
45.410160 80.591 -9.1487
45.776371 80.577 -9.6277
46.142582 80.563 -10.0986
46.508793 80.549 -10.5627
46.875004 80.535 -11.0236
47.241215 80.521 -11.4840
47.607426 80.506 -11.9432
47.973637 80.491 -12.3984
48.339848 80.475 -12.8464
48.706059 80.458 -13.2863
49.072270 80.442 -13.7198
49.438481 80.426 -14.1493
49.804692 80.410 -14.5757
50.170902 80.394 -14.9984
50.537113 80.378 -15.4160
50.903324 80.361 -15.8278
51.269535 80.344 -16.2335
51.635746 80.327 -16.6335
52.001957 80.310 -17.0284
52.368168 80.293 -17.4188
52.734379 80.275 -17.8052
53.100590 80.258 -18.1876
53.466801 80.240 -18.5654
53.833012 80.221 -18.9375
54.199223 80.203 -19.3032
54.565434 80.184 -19.6631
54.931645 80.166 -20.0187
55.297856 80.148 -20.3711
55.664067 80.129 -20.7199
56.030278 80.110 -21.0640
56.396489 80.091 -21.4022
56.762700 80.072 -21.7349
57.128911 80.053 -22.0634
57.495122 80.034 -22.3877
57.861333 80.014 -22.7067
58.227544 79.993 -23.0177
58.593755 79.973 -23.3185
58.959966 79.952 -23.6085
59.326177 79.932 -23.8900
59.692388 79.913 -24.1663
60.058599 79.895 -24.4410
60.424810 79.876 -24.7157
60.791021 79.857 -24.9901
61.157232 79.838 -25.2621
61.523442 79.818 -25.5292
61.889653 79.798 -25.7900
62.255864 79.777 -26.0447
62.622075 79.756 -26.2946
62.988286 79.736 -26.5413
63.354497 79.715 -26.7854
63.720708 79.693 -27.0264
64.086919 79.671 -27.2632
64.453130 79.649 -27.4949
64.819341 79.627 -27.7216
65.185552 79.605 -27.9440
65.551763 79.583 -28.1632
65.917974 79.562 -28.3795
66.284185 79.540 -28.5933
66.650396 79.519 -28.8043
67.016607 79.497 -29.0123
67.382818 79.475 -29.2170
67.749029 79.453 -29.4178
68.115240 79.432 -29.6149
68.481451 79.410 -29.8092
68.847662 79.389 -30.0019
69.213873 79.367 -30.1937
69.580084 79.345 -30.3839
69.946295 79.323 -30.5708
70.312506 79.300 -30.7527
70.678717 79.277 -30.9289
71.044928 79.254 -31.1002
71.411139 79.231 -31.2684
71.777350 79.209 -31.4346
72.143561 79.187 -31.5991
72.509771 79.164 -31.7611
72.875982 79.142 -31.9203
73.242193 79.120 -32.0769
73.608404 79.098 -32.2319
73.974615 79.076 -32.3861
74.340826 79.054 -32.5397
74.707037 79.031 -32.6921
75.073248 79.009 -32.8420
75.439459 78.986 -32.9886
75.805670 78.964 -33.1315
76.171881 78.941 -33.2707
76.538092 78.919 -33.4069
76.904303 78.897 -33.5408
77.270514 78.875 -33.6736
77.636725 78.854 -33.8064
78.002936 78.833 -33.9399
78.369147 78.811 -34.0742
78.735358 78.789 -34.2083
79.101569 78.767 -34.3402
79.467780 78.744 -34.4683
79.833991 78.721 -34.5918
80.200202 78.699 -34.7119
80.566413 78.677 -34.8303
80.932624 78.655 -34.9484
81.298835 78.633 -35.0668
81.665046 78.611 -35.1844
82.031257 78.589 -35.3001
82.397468 78.567 -35.4133
82.763679 78.545 -35.5244
83.129890 78.524 -35.6345
83.496101 78.502 -35.7444
83.862311 78.481 -35.8542
84.228522 78.459 -35.9637
84.594733 78.437 -36.0722
84.960944 78.415 -36.1789
85.327155 78.393 -36.2830
85.693366 78.371 -36.3840
86.059577 78.349 -36.4813
86.425788 78.328 -36.5757
86.791999 78.306 -36.6685
87.158210 78.286 -36.7615
87.524421 78.265 -36.8563
87.890632 78.245 -36.9531
88.256843 78.224 -37.0509
88.623054 78.203 -37.1482
88.989265 78.181 -37.2438
89.355476 78.160 -37.3374
89.721687 78.138 -37.4292
90.087898 78.117 -37.5194
90.454109 78.095 -37.6082
90.820320 78.074 -37.6952
91.186531 78.052 -37.7803
91.552742 78.031 -37.8634
91.918953 78.009 -37.9451
92.285164 77.988 -38.0258
92.651375 77.967 -38.1056
93.017586 77.946 -38.1846
93.383797 77.925 -38.2625
93.750008 77.904 -38.3392
94.116219 77.884 -38.4150
94.482430 77.863 -38.4905
94.848641 77.843 -38.5660
95.214851 77.822 -38.6418
95.581062 77.802 -38.7175
95.947273 77.781 -38.7925
96.313484 77.760 -38.8661
96.679695 77.739 -38.9380
97.045906 77.718 -39.0082
97.412117 77.697 -39.0771
97.778328 77.677 -39.1453
98.144539 77.656 -39.2129
98.510750 77.635 -39.2803
98.876961 77.615 -39.3474
99.243172 77.594 -39.4141
99.609383 77.574 -39.4800
99.975594 77.553 -39.5449
100.341805 77.532 -39.6086
100.708016 77.512 -39.6716
101.074227 77.492 -39.7341
101.440438 77.472 -39.7968
101.806649 77.452 -39.8598
102.172860 77.432 -39.9229
102.539071 77.412 -39.9852
102.905282 77.392 -40.0464
103.271493 77.372 -40.1062
103.637704 77.352 -40.1649
104.003915 77.333 -40.2227
104.370126 77.313 -40.2800
104.736337 77.293 -40.3367
105.102548 77.274 -40.3922
105.468759 77.254 -40.4462
105.834970 77.234 -40.4987
106.201180 77.215 -40.5502
106.567391 77.195 -40.6013
106.933602 77.176 -40.6523
107.299813 77.156 -40.7031
107.666024 77.136 -40.7533
108.032235 77.117 -40.8027
108.398446 77.097 -40.8513
108.764657 77.077 -40.8993
109.130868 77.058 -40.9471
109.497079 77.038 -40.9947
109.863290 77.018 -41.0416
110.229501 76.999 -41.0878
110.595712 76.979 -41.1334
110.961923 76.960 -41.1793
111.328134 76.942 -41.2263
111.694345 76.923 -41.2747
112.060556 76.904 -41.3242
112.426767 76.886 -41.3743
112.792978 76.867 -41.4241
113.159189 76.848 -41.4734
113.525400 76.830 -41.5219
113.891611 76.811 -41.5696
114.257822 76.793 -41.6167
114.624033 76.774 -41.6626
114.990244 76.755 -41.7068
115.356455 76.736 -41.7489
115.722666 76.717 -41.7888
116.088877 76.698 -41.8267
116.455088 76.680 -41.8629
116.821299 76.661 -41.8979
117.187510 76.643 -41.9316
117.553720 76.624 -41.9644
117.919931 76.606 -41.9963
118.286142 76.588 -42.0280
118.652353 76.570 -42.0601
119.018564 76.552 -42.0930
119.384775 76.534 -42.1270
119.750986 76.516 -42.1614
120.117197 76.497 -42.1953
120.483408 76.479 -42.2283
120.849619 76.460 -42.2598
121.215830 76.442 -42.2904
121.582041 76.424 -42.3207
121.948252 76.406 -42.3511
122.314463 76.388 -42.3822
122.680674 76.371 -42.4139
123.046885 76.353 -42.4460
123.413096 76.336 -42.4784
123.779307 76.318 -42.5107
124.145518 76.301 -42.5431
124.511729 76.284 -42.5754
124.877940 76.266 -42.6076
125.244151 76.250 -42.6396
125.610362 76.233 -42.6711
125.976573 76.216 -42.7021
126.342784 76.200 -42.7322
126.708995 76.183 -42.7614
127.075206 76.167 -42.7897
127.441417 76.150 -42.8171
127.807628 76.134 -42.8441
128.173839 76.118 -42.8704
128.540049 76.102 -42.8961
128.906260 76.086 -42.9211
129.272471 76.069 -42.9454
129.638682 76.053 -42.9689
130.004893 76.037 -42.9918
130.371104 76.021 -43.0143
130.737315 76.005 -43.0364
131.103526 75.990 -43.0580
131.469737 75.974 -43.0792
131.835948 75.958 -43.0999
132.202159 75.943 -43.1202
132.568370 75.927 -43.1408
132.934581 75.912 -43.1619
133.300792 75.896 -43.1835
133.667003 75.881 -43.2055
134.033214 75.865 -43.2275
134.399425 75.850 -43.2491
134.765636 75.834 -43.2701
135.131847 75.819 -43.2903
135.498058 75.803 -43.3101
135.864269 75.788 -43.3295
136.230480 75.773 -43.3488
136.596691 75.758 -43.3682
136.962902 75.743 -43.3877
137.329113 75.728 -43.4073
137.695324 75.714 -43.4269
138.061535 75.699 -43.4463
138.427746 75.684 -43.4655
138.793957 75.669 -43.4840
139.160168 75.655 -43.5020
139.526379 75.640 -43.5197
139.892589 75.625 -43.5370
140.258800 75.611 -43.5544
140.625011 75.596 -43.5719
140.991222 75.582 -43.5893
141.357433 75.567 -43.6063
141.723644 75.552 -43.6226
142.089855 75.537 -43.6377
142.456066 75.522 -43.6513
142.822277 75.507 -43.6635
143.188488 75.492 -43.6744
143.554699 75.477 -43.6846
143.920910 75.463 -43.6943
144.287121 75.448 -43.7041
144.653332 75.434 -43.7142
145.019543 75.420 -43.7249
