* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:49:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Green Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.868 -37.1106
0.732422 78.753 -77.3674
1.098633 77.537 -122.9959
1.464844 77.098 -170.7211
1.831055 77.310 147.7142
2.197266 77.163 115.8026
2.563477 75.976 93.9948
2.929688 73.685 86.6052
3.295899 72.318 100.8072
3.662110 74.514 114.6729
4.028321 77.112 112.6086
4.394532 78.626 104.3384
4.760743 79.176 96.0963
5.126954 79.150 90.9279
5.493164 79.072 89.6492
5.859375 79.367 90.1383
6.225586 79.970 89.2566
6.591797 80.519 86.1780
6.958008 80.789 82.1425
7.324219 80.793 78.7131
7.690430 80.696 76.7372
8.056641 80.686 75.9054
8.422852 80.825 75.1497
8.789063 81.023 73.7257
9.155274 81.166 71.7338
9.521485 81.218 69.7232
9.887696 81.217 68.1094
10.253907 81.162 66.8975
10.620118 81.115 65.8114
10.986329 81.090 64.6196
11.352540 81.058 63.3084
11.718751 81.009 61.9889
12.084962 80.952 60.7291
12.451173 80.897 59.5044
12.817384 80.898 58.2744
13.183595 80.899 57.0573
13.549806 80.893 55.9107
13.916017 80.890 54.8486
14.282228 80.898 53.8087
14.648439 80.912 52.7088
15.014650 80.919 51.5338
15.380861 80.911 50.3522
15.747072 80.892 49.2486
16.113283 80.880 48.2436
16.479493 80.892 47.2797
16.845704 80.912 46.2818
17.211915 80.931 45.2275
17.578126 80.941 44.1578
17.944337 80.944 43.1284
18.310548 80.945 42.1601
18.676759 80.949 41.2313
19.042970 80.958 40.3097
19.409181 80.967 39.3829
19.775392 80.975 38.4592
20.141603 80.983 37.5476
20.507814 80.992 36.6469
20.874025 81.000 35.7532
21.240236 81.005 34.8732
21.606447 81.008 34.0196
21.972658 81.012 33.1955
22.338869 81.019 32.3849
22.705080 81.028 31.5649
23.071291 81.036 30.7278
23.437502 81.039 29.8902
23.803713 81.038 29.0770
24.169924 81.038 28.2981
24.536135 81.040 27.5397
24.902346 81.044 26.7789
25.268557 81.049 26.0056
25.634768 81.052 25.2305
26.000979 81.052 24.4716
26.367190 81.051 23.7371
26.733401 81.051 23.0192
27.099612 81.053 22.3047
27.465823 81.054 21.5881
27.832033 81.054 20.8748
28.198244 81.053 20.1732
28.564455 81.051 19.4861
28.930666 81.050 18.8093
29.296877 81.048 18.1378
29.663088 81.047 17.4695
30.029299 81.045 16.8052
30.395510 81.043 16.1454
30.761721 81.041 15.4889
31.127932 81.038 14.8361
31.494143 81.034 14.1906
31.860354 81.029 13.5564
32.226565 81.024 12.9340
32.592776 81.021 12.3182
32.958987 81.018 11.7023
33.325198 81.015 11.0840
33.691409 81.011 10.4665
34.057620 81.006 9.8550
34.423831 81.001 9.2529
34.790042 80.995 8.6599
35.156253 80.989 8.0744
35.522464 80.982 7.4958
35.888675 80.976 6.9237
36.254886 80.971 6.3560
36.621097 80.965 5.7893
36.987308 80.959 5.2220
37.353519 80.951 4.6567
37.719730 80.943 4.0988
38.085941 80.934 3.5514
38.452152 80.925 3.0123
38.818363 80.918 2.4750
39.184573 80.911 1.9343
39.550784 80.902 1.3904
39.916995 80.893 0.8489
40.283206 80.883 0.3148
40.649417 80.874 -0.2104
41.015628 80.864 -0.7296
41.381839 80.855 -1.2454
41.748050 80.845 -1.7581
42.114261 80.835 -2.2656
42.480472 80.825 -2.7665
42.846683 80.815 -3.2617
43.212894 80.805 -3.7534
43.579105 80.795 -4.2435
43.945316 80.785 -4.7317
44.311527 80.774 -5.2173
44.677738 80.763 -5.6995
45.043949 80.752 -6.1785
45.410160 80.740 -6.6544
45.776371 80.728 -7.1266
46.142582 80.715 -7.5938
46.508793 80.702 -8.0552
46.875004 80.689 -8.5116
47.241215 80.675 -8.9637
47.607426 80.661 -9.4121
47.973637 80.647 -9.8564
48.339848 80.633 -10.2959
48.706059 80.619 -10.7302
49.072270 80.604 -11.1594
49.438481 80.589 -11.5842
49.804692 80.575 -12.0046
50.170902 80.560 -12.4203
50.537113 80.545 -12.8316
50.903324 80.530 -13.2383
51.269535 80.514 -13.6406
51.635746 80.499 -14.0384
52.001957 80.483 -14.4315
52.368168 80.467 -14.8196
52.734379 80.450 -15.2026
53.100590 80.434 -15.5806
53.466801 80.417 -15.9526
53.833012 80.400 -16.3186
54.199223 80.383 -16.6788
54.565434 80.366 -17.0345
54.931645 80.349 -17.3868
55.297856 80.332 -17.7356
55.664067 80.315 -18.0795
56.030278 80.297 -18.4174
56.396489 80.279 -18.7488
56.762700 80.262 -19.0746
57.128911 80.244 -19.3958
57.495122 80.227 -19.7127
57.861333 80.209 -20.0250
58.227544 80.191 -20.3326
58.593755 80.174 -20.6363
58.959966 80.156 -20.9373
59.326177 80.139 -21.2363
59.692388 80.120 -21.5319
60.058599 80.101 -21.8218
60.424810 80.082 -22.1041
60.791021 80.062 -22.3783
61.157232 80.043 -22.6455
61.523442 80.023 -22.9078
61.889653 80.005 -23.1669
62.255864 79.986 -23.4238
62.622075 79.967 -23.6787
62.988286 79.948 -23.9314
63.354497 79.929 -24.1811
63.720708 79.909 -24.4269
64.086919 79.888 -24.6682
64.453130 79.868 -24.9050
64.819341 79.848 -25.1383
65.185552 79.828 -25.3687
65.551763 79.807 -25.5959
65.917974 79.787 -25.8190
66.284185 79.766 -26.0370
66.650396 79.745 -26.2501
67.016607 79.725 -26.4597
67.382818 79.705 -26.6677
67.749029 79.685 -26.8748
68.115240 79.664 -27.0804
68.481451 79.643 -27.2826
68.847662 79.622 -27.4800
69.213873 79.601 -27.6720
69.580084 79.580 -27.8599
69.946295 79.559 -28.0450
70.312506 79.538 -28.2289
70.678717 79.517 -28.4116
71.044928 79.496 -28.5927
71.411139 79.475 -28.7712
71.777350 79.454 -28.9460
72.143561 79.432 -29.1167
72.509771 79.411 -29.2836
72.875982 79.390 -29.4482
73.242193 79.370 -29.6128
73.608404 79.350 -29.7788
73.974615 79.329 -29.9458
74.340826 79.308 -30.1117
74.707037 79.286 -30.2733
75.073248 79.264 -30.4280
75.439459 79.242 -30.5760
75.805670 79.221 -30.7197
76.171881 79.200 -30.8630
76.538092 79.180 -31.0086
76.904303 79.160 -31.1566
77.270514 79.139 -31.3041
77.636725 79.117 -31.4476
78.002936 79.095 -31.5848
78.369147 79.073 -31.7157
78.735358 79.052 -31.8428
79.101569 79.032 -31.9689
79.467780 79.012 -32.0955
79.833991 78.992 -32.2229
80.200202 78.972 -32.3505
80.566413 78.952 -32.4780
80.932624 78.932 -32.6055
81.298835 78.912 -32.7333
81.665046 78.892 -32.8612
82.031257 78.871 -32.9885
82.397468 78.849 -33.1138
82.763679 78.828 -33.2354
83.129890 78.806 -33.3529
83.496101 78.784 -33.4663
83.862311 78.763 -33.5767
84.228522 78.742 -33.6852
84.594733 78.722 -33.7935
84.960944 78.702 -33.9028
85.327155 78.681 -34.0133
85.693366 78.661 -34.1245
86.059577 78.641 -34.2354
86.425788 78.620 -34.3448
86.791999 78.599 -34.4521
87.158210 78.578 -34.5568
87.524421 78.558 -34.6588
87.890632 78.537 -34.7579
88.256843 78.516 -34.8545
88.623054 78.496 -34.9493
88.989265 78.477 -35.0436
89.355476 78.457 -35.1381
89.721687 78.437 -35.2328
90.087898 78.418 -35.3271
90.454109 78.397 -35.4197
90.820320 78.377 -35.5098
91.186531 78.357 -35.5972
91.552742 78.337 -35.6823
91.918953 78.316 -35.7660
92.285164 78.296 -35.8488
92.651375 78.276 -35.9308
93.017586 78.257 -36.0122
93.383797 78.237 -36.0931
93.750008 78.217 -36.1738
94.116219 78.197 -36.2547
94.482430 78.177 -36.3361
94.848641 78.158 -36.4180
95.214851 78.138 -36.5000
95.581062 78.118 -36.5817
95.947273 78.098 -36.6627
96.313484 78.078 -36.7431
96.679695 78.058 -36.8229
97.045906 78.038 -36.9022
97.412117 78.018 -36.9813
97.778328 77.998 -37.0599
98.144539 77.978 -37.1375
98.510750 77.958 -37.2135
98.876961 77.938 -37.2877
99.243172 77.918 -37.3599
99.609383 77.898 -37.4305
99.975594 77.879 -37.4999
100.341805 77.859 -37.5684
100.708016 77.840 -37.6362
101.074227 77.821 -37.7032
101.440438 77.802 -37.7698
101.806649 77.783 -37.8359
102.172860 77.764 -37.9020
102.539071 77.745 -37.9679
102.905282 77.726 -38.0336
103.271493 77.707 -38.0986
103.637704 77.688 -38.1625
104.003915 77.669 -38.2252
104.370126 77.650 -38.2870
104.736337 77.631 -38.3482
105.102548 77.612 -38.4089
105.468759 77.593 -38.4692
105.834970 77.574 -38.5288
106.201180 77.555 -38.5874
106.567391 77.536 -38.6448
106.933602 77.517 -38.7012
107.299813 77.498 -38.7573
107.666024 77.480 -38.8132
108.032235 77.461 -38.8691
108.398446 77.442 -38.9244
108.764657 77.424 -38.9789
109.130868 77.405 -39.0320
109.497079 77.387 -39.0837
109.863290 77.368 -39.1346
110.229501 77.350 -39.1848
110.595712 77.332 -39.2347
110.961923 77.313 -39.2842
111.328134 77.295 -39.3329
111.694345 77.277 -39.3807
112.060556 77.259 -39.4277
112.426767 77.241 -39.4742
112.792978 77.223 -39.5209
113.159189 77.205 -39.5681
113.525400 77.188 -39.6158
113.891611 77.170 -39.6635
114.257822 77.152 -39.7106
114.624033 77.134 -39.7566
114.990244 77.115 -39.8018
115.356455 77.097 -39.8462
115.722666 77.079 -39.8900
116.088877 77.061 -39.9336
116.455088 77.043 -39.9768
116.821299 77.025 -40.0197
117.187510 77.007 -40.0624
117.553720 76.989 -40.1050
117.919931 76.971 -40.1475
118.286142 76.953 -40.1892
118.652353 76.935 -40.2302
119.018564 76.917 -40.2701
119.384775 76.899 -40.3092
119.750986 76.882 -40.3480
120.117197 76.864 -40.3871
120.483408 76.847 -40.4266
120.849619 76.829 -40.4668
121.215830 76.812 -40.5070
121.582041 76.794 -40.5468
121.948252 76.777 -40.5857
122.314463 76.759 -40.6234
122.680674 76.742 -40.6599
123.046885 76.725 -40.6954
123.413096 76.708 -40.7303
123.779307 76.691 -40.7650
124.145518 76.675 -40.7996
124.511729 76.658 -40.8345
124.877940 76.642 -40.8695
125.244151 76.626 -40.9046
125.610362 76.611 -40.9393
125.976573 76.595 -40.9731
126.342784 76.579 -41.0058
126.708995 76.563 -41.0373
127.075206 76.548 -41.0677
127.441417 76.532 -41.0975
127.807628 76.517 -41.1266
128.173839 76.502 -41.1552
128.540049 76.486 -41.1832
128.906260 76.471 -41.2106
129.272471 76.455 -41.2373
129.638682 76.440 -41.2636
130.004893 76.425 -41.2896
130.371104 76.410 -41.3156
130.737315 76.395 -41.3417
131.103526 76.379 -41.3680
131.469737 76.364 -41.3947
131.835948 76.349 -41.4215
132.202159 76.334 -41.4482
132.568370 76.319 -41.4750
132.934581 76.304 -41.5013
133.300792 76.288 -41.5275
133.667003 76.273 -41.5532
134.033214 76.258 -41.5788
134.399425 76.243 -41.6042
134.765636 76.229 -41.6296
135.131847 76.214 -41.6554
135.498058 76.199 -41.6813
135.864269 76.185 -41.7072
136.230480 76.170 -41.7327
136.596691 76.155 -41.7575
136.962902 76.141 -41.7814
137.329113 76.126 -41.8045
137.695324 76.112 -41.8268
138.061535 76.097 -41.8486
138.427746 76.083 -41.8699
138.793957 76.068 -41.8906
139.160168 76.054 -41.9109
139.526379 76.039 -41.9307
139.892589 76.025 -41.9500
140.258800 76.011 -41.9687
140.625011 75.996 -41.9868
140.991222 75.982 -42.0043
141.357433 75.967 -42.0211
141.723644 75.953 -42.0375
142.089855 75.939 -42.0538
142.456066 75.925 -42.0708
142.822277 75.911 -42.0887
143.188488 75.897 -42.1075
143.554699 75.882 -42.1270
143.920910 75.868 -42.1465
144.287121 75.854 -42.1655
144.653332 75.840 -42.1836
145.019543 75.826 -42.2008
