* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:49:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Green Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.970 -36.2413
0.732422 78.795 -75.7908
1.098633 77.505 -121.2623
1.464844 77.107 -169.3839
1.831055 77.520 149.0857
2.197266 77.666 117.8397
2.563477 76.924 96.7140
2.929688 75.369 87.9906
3.295899 74.377 94.5747
3.662110 75.642 103.9808
4.028321 77.634 103.3419
4.394532 78.952 96.7283
4.760743 79.456 89.4214
5.126954 79.410 84.5321
5.493164 79.269 83.1839
5.859375 79.448 83.7971
6.225586 79.950 83.4462
6.591797 80.454 81.0252
6.958008 80.721 77.5174
7.324219 80.737 74.4084
7.690430 80.646 72.5877
8.056641 80.627 71.8653
8.422852 80.747 71.2797
8.789063 80.933 70.0883
9.155274 81.075 68.3257
9.521485 81.133 66.4878
9.887696 81.136 64.9826
10.253907 81.079 63.8463
10.620118 81.026 62.8392
10.986329 80.991 61.7425
11.352540 80.952 60.5319
11.718751 80.897 59.3034
12.084962 80.833 58.1213
12.451173 80.771 56.9647
12.817384 80.764 55.7962
13.183595 80.759 54.6313
13.549806 80.748 53.5233
13.916017 80.739 52.4875
14.282228 80.740 51.4673
14.648439 80.748 50.3860
15.014650 80.750 49.2283
15.380861 80.738 48.0584
15.747072 80.717 46.9587
16.113283 80.703 45.9529
16.479493 80.712 44.9896
16.845704 80.730 43.9980
17.211915 80.748 42.9549
17.578126 80.758 41.8980
17.944337 80.761 40.8816
18.310548 80.762 39.9277
18.676759 80.767 39.0168
19.042970 80.776 38.1169
19.409181 80.786 37.2130
19.775392 80.795 36.3107
20.141603 80.804 35.4176
20.507814 80.813 34.5334
20.874025 80.820 33.6562
21.240236 80.823 32.7930
21.606447 80.825 31.9561
21.972658 80.827 31.1472
22.338869 80.833 30.3494
22.705080 80.840 29.5387
23.071291 80.845 28.7076
23.437502 80.846 27.8732
23.803713 80.842 27.0632
24.169924 80.839 26.2906
24.536135 80.838 25.5432
24.902346 80.842 24.7955
25.268557 80.847 24.0321
25.634768 80.851 23.2582
26.000979 80.852 22.4915
26.367190 80.851 21.7446
26.733401 80.850 21.0165
27.099612 80.851 20.2991
27.465823 80.851 19.5863
27.832033 80.851 18.8787
28.198244 80.849 18.1802
28.564455 80.847 17.4922
28.930666 80.844 16.8143
29.296877 80.841 16.1463
29.663088 80.838 15.4891
30.029299 80.835 14.8409
30.395510 80.833 14.1957
30.761721 80.832 13.5464
31.127932 80.829 12.8917
31.494143 80.825 12.2388
31.860354 80.819 11.5977
32.226565 80.812 10.9730
32.592776 80.807 10.3589
32.958987 80.804 9.7442
33.325198 80.801 9.1223
33.691409 80.796 8.4968
34.057620 80.790 7.8779
34.423831 80.782 7.2750
34.790042 80.775 6.6895
35.156253 80.769 6.1141
35.522464 80.764 5.5394
35.888675 80.761 4.9589
36.254886 80.756 4.3721
36.621097 80.749 3.7845
36.987308 80.740 3.2043
37.353519 80.730 2.6378
37.719730 80.721 2.0854
38.085941 80.712 1.5413
38.452152 80.704 0.9962
38.818363 80.696 0.4443
39.184573 80.687 -0.1116
39.550784 80.675 -0.6622
39.916995 80.663 -1.1987
40.283206 80.651 -1.7198
40.649417 80.642 -2.2338
41.015628 80.635 -2.7522
41.381839 80.627 -3.2809
41.748050 80.618 -3.8159
42.114261 80.607 -4.3470
42.480472 80.595 -4.8655
42.846683 80.582 -5.3696
43.212894 80.570 -5.8643
43.579105 80.559 -6.3558
43.945316 80.549 -6.8484
44.311527 80.538 -7.3424
44.677738 80.527 -7.8358
45.043949 80.515 -8.3262
45.410160 80.502 -8.8120
45.776371 80.488 -9.2927
46.142582 80.475 -9.7678
46.508793 80.461 -10.2377
46.875004 80.446 -10.7025
47.241215 80.432 -11.1625
47.607426 80.417 -11.6178
47.973637 80.402 -12.0682
48.339848 80.387 -12.5140
48.706059 80.372 -12.9560
49.072270 80.356 -13.3945
49.438481 80.341 -13.8290
49.804692 80.324 -14.2576
50.170902 80.308 -14.6793
50.537113 80.291 -15.0941
50.903324 80.275 -15.5036
51.269535 80.259 -15.9095
51.635746 80.242 -16.3124
52.001957 80.225 -16.7113
52.368168 80.207 -17.1044
52.734379 80.190 -17.4903
53.100590 80.172 -17.8691
53.466801 80.154 -18.2418
53.833012 80.136 -18.6099
54.199223 80.118 -18.9747
54.565434 80.101 -19.3365
54.931645 80.083 -19.6948
55.297856 80.064 -20.0488
55.664067 80.046 -20.3975
56.030278 80.027 -20.7409
56.396489 80.008 -21.0793
56.762700 79.990 -21.4130
57.128911 79.970 -21.7408
57.495122 79.951 -22.0615
57.861333 79.931 -22.3741
58.227544 79.912 -22.6802
58.593755 79.893 -22.9827
58.959966 79.875 -23.2842
59.326177 79.856 -23.5848
59.692388 79.836 -23.8816
60.058599 79.815 -24.1702
60.424810 79.794 -24.4486
60.791021 79.774 -24.7183
61.157232 79.754 -24.9831
61.523442 79.734 -25.2467
61.889653 79.715 -25.5103
62.255864 79.695 -25.7723
62.622075 79.674 -26.0300
62.988286 79.653 -26.2815
63.354497 79.631 -26.5267
63.720708 79.609 -26.7664
64.086919 79.588 -27.0017
64.453130 79.566 -27.2338
64.819341 79.545 -27.4628
65.185552 79.523 -27.6891
65.551763 79.502 -27.9126
65.917974 79.480 -28.1326
66.284185 79.459 -28.3488
66.650396 79.437 -28.5609
67.016607 79.415 -28.7688
67.382818 79.393 -28.9731
67.749029 79.371 -29.1742
68.115240 79.349 -29.3722
68.481451 79.327 -29.5673
68.847662 79.305 -29.7593
69.213873 79.283 -29.9486
69.580084 79.261 -30.1352
69.946295 79.239 -30.3192
70.312506 79.217 -30.5006
70.678717 79.194 -30.6798
71.044928 79.172 -30.8566
71.411139 79.150 -31.0309
71.777350 79.127 -31.2021
72.143561 79.105 -31.3702
72.509771 79.082 -31.5352
72.875982 79.060 -31.6976
73.242193 79.038 -31.8583
73.608404 79.016 -32.0176
73.974615 78.994 -32.1757
74.340826 78.972 -32.3315
74.707037 78.950 -32.4845
75.073248 78.928 -32.6342
75.439459 78.906 -32.7808
75.805670 78.884 -32.9249
76.171881 78.862 -33.0673
76.538092 78.840 -33.2083
76.904303 78.818 -33.3474
77.270514 78.795 -33.4839
77.636725 78.773 -33.6169
78.002936 78.751 -33.7471
78.369147 78.729 -33.8755
78.735358 78.707 -34.0040
79.101569 78.686 -34.1334
79.467780 78.664 -34.2634
79.833991 78.642 -34.3925
80.200202 78.619 -34.5187
80.566413 78.596 -34.6415
80.932624 78.574 -34.7610
81.298835 78.551 -34.8782
81.665046 78.529 -34.9937
82.031257 78.507 -35.1078
82.397468 78.486 -35.2206
82.763679 78.464 -35.3324
83.129890 78.443 -35.4445
83.496101 78.421 -35.5573
83.862311 78.400 -35.6705
84.228522 78.378 -35.7827
84.594733 78.356 -35.8920
84.960944 78.334 -35.9974
85.327155 78.313 -36.1001
85.693366 78.292 -36.2024
86.059577 78.271 -36.3062
86.425788 78.250 -36.4120
86.791999 78.229 -36.5181
87.158210 78.207 -36.6220
87.524421 78.185 -36.7214
87.890632 78.162 -36.8159
88.256843 78.141 -36.9064
88.623054 78.119 -36.9950
88.989265 78.098 -37.0835
89.355476 78.078 -37.1729
89.721687 78.057 -37.2632
90.087898 78.036 -37.3536
90.454109 78.015 -37.4432
90.820320 77.993 -37.5309
91.186531 77.972 -37.6160
91.552742 77.950 -37.6985
91.918953 77.929 -37.7793
92.285164 77.908 -37.8595
92.651375 77.888 -37.9402
93.017586 77.867 -38.0217
93.383797 77.846 -38.1035
93.750008 77.825 -38.1844
94.116219 77.804 -38.2641
94.482430 77.783 -38.3426
94.848641 77.762 -38.4205
95.214851 77.741 -38.4984
95.581062 77.720 -38.5760
95.947273 77.699 -38.6525
96.313484 77.677 -38.7267
96.679695 77.656 -38.7982
97.045906 77.635 -38.8673
97.412117 77.614 -38.9351
97.778328 77.594 -39.0024
98.144539 77.573 -39.0699
98.510750 77.553 -39.1377
98.876961 77.532 -39.2051
99.243172 77.512 -39.2719
99.609383 77.492 -39.3378
99.975594 77.472 -39.4030
100.341805 77.452 -39.4678
100.708016 77.432 -39.5327
101.074227 77.412 -39.5982
101.440438 77.392 -39.6642
101.806649 77.373 -39.7304
102.172860 77.353 -39.7964
102.539071 77.332 -39.8616
102.905282 77.312 -39.9255
103.271493 77.292 -39.9879
103.637704 77.272 -40.0487
104.003915 77.252 -40.1082
104.370126 77.232 -40.1667
104.736337 77.212 -40.2247
105.102548 77.193 -40.2822
105.468759 77.173 -40.3389
105.834970 77.153 -40.3940
106.201180 77.133 -40.4473
106.567391 77.114 -40.4982
106.933602 77.094 -40.5475
107.299813 77.075 -40.5957
107.666024 77.056 -40.6437
108.032235 77.037 -40.6920
108.398446 77.018 -40.7406
108.764657 76.999 -40.7894
109.130868 76.979 -40.8381
109.497079 76.960 -40.8864
109.863290 76.941 -40.9338
110.229501 76.921 -40.9803
110.595712 76.902 -41.0256
110.961923 76.882 -41.0701
111.328134 76.863 -41.1140
111.694345 76.844 -41.1578
112.060556 76.825 -41.2020
112.426767 76.806 -41.2467
112.792978 76.787 -41.2915
113.159189 76.768 -41.3360
113.525400 76.749 -41.3796
113.891611 76.730 -41.4224
114.257822 76.711 -41.4647
114.624033 76.692 -41.5067
114.990244 76.674 -41.5488
115.356455 76.655 -41.5909
115.722666 76.637 -41.6326
116.088877 76.618 -41.6738
116.455088 76.600 -41.7145
116.821299 76.582 -41.7549
117.187510 76.563 -41.7952
117.553720 76.545 -41.8351
117.919931 76.527 -41.8739
118.286142 76.508 -41.9113
118.652353 76.490 -41.9467
119.018564 76.472 -41.9806
119.384775 76.454 -42.0137
119.750986 76.436 -42.0472
120.117197 76.418 -42.0816
120.483408 76.400 -42.1167
120.849619 76.383 -42.1520
121.215830 76.365 -42.1865
121.582041 76.346 -42.2198
121.948252 76.328 -42.2523
122.314463 76.310 -42.2841
122.680674 76.293 -42.3158
123.046885 76.275 -42.3475
123.413096 76.257 -42.3788
123.779307 76.239 -42.4091
124.145518 76.221 -42.4379
124.511729 76.203 -42.4652
124.877940 76.186 -42.4916
125.244151 76.168 -42.5175
125.610362 76.152 -42.5433
125.976573 76.135 -42.5690
126.342784 76.119 -42.5944
126.708995 76.103 -42.6191
127.075206 76.087 -42.6434
127.441417 76.071 -42.6678
127.807628 76.055 -42.6930
128.173839 76.039 -42.7191
128.540049 76.024 -42.7458
128.906260 76.008 -42.7726
129.272471 75.992 -42.7989
129.638682 75.976 -42.8245
130.004893 75.960 -42.8495
130.371104 75.945 -42.8746
130.737315 75.929 -42.9003
131.103526 75.914 -42.9265
131.469737 75.898 -42.9529
131.835948 75.882 -42.9788
132.202159 75.866 -43.0036
132.568370 75.851 -43.0269
132.934581 75.835 -43.0488
133.300792 75.820 -43.0701
133.667003 75.804 -43.0911
134.033214 75.789 -43.1122
134.399425 75.774 -43.1331
134.765636 75.759 -43.1535
135.131847 75.744 -43.1730
135.498058 75.729 -43.1911
135.864269 75.714 -43.2080
136.230480 75.699 -43.2241
136.596691 75.685 -43.2400
136.962902 75.670 -43.2563
137.329113 75.656 -43.2737
137.695324 75.641 -43.2921
138.061535 75.627 -43.3115
138.427746 75.612 -43.3313
138.793957 75.597 -43.3510
139.160168 75.582 -43.3699
139.526379 75.567 -43.3879
139.892589 75.551 -43.4049
140.258800 75.536 -43.4210
140.625011 75.521 -43.4364
140.991222 75.506 -43.4514
141.357433 75.491 -43.4659
141.723644 75.476 -43.4804
142.089855 75.461 -43.4948
142.456066 75.446 -43.5093
142.822277 75.432 -43.5240
143.188488 75.417 -43.5392
143.554699 75.403 -43.5549
143.920910 75.389 -43.5712
144.287121 75.375 -43.5878
144.653332 75.361 -43.6045
145.019543 75.347 -43.6208
