* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:41:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Purple Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.432 -48.4783
0.732422 75.805 -96.1538
1.098633 76.451 -140.8503
1.464844 77.078 179.6083
1.831055 77.275 146.0225
2.197266 76.704 118.7460
2.563477 75.128 99.5851
2.929688 72.719 94.5580
3.295899 71.777 109.0935
3.662110 74.122 119.7430
4.028321 76.633 116.1035
4.394532 78.156 107.3215
4.760743 78.822 98.8300
5.126954 78.985 93.2029
5.493164 79.091 90.9724
5.859375 79.470 90.3512
6.225586 80.074 88.8657
6.591797 80.622 85.7822
6.958008 80.931 82.0125
7.324219 81.003 78.8008
7.690430 80.973 76.8316
8.056641 80.994 75.8606
8.422852 81.120 75.0309
8.789063 81.288 73.7060
9.155274 81.410 71.9083
9.521485 81.452 70.0492
9.887696 81.444 68.4664
10.253907 81.373 67.1841
10.620118 81.301 65.9933
10.986329 81.250 64.7046
11.352540 81.197 63.2939
11.718751 81.136 61.8474
12.084962 81.071 60.4321
12.451173 81.011 59.0486
12.817384 81.010 57.6806
13.183595 81.018 56.3481
13.549806 81.025 55.0959
13.916017 81.037 53.9360
14.282228 81.059 52.8207
14.648439 81.086 51.6879
15.014650 81.107 50.5255
15.380861 81.114 49.3852
15.747072 81.109 48.3300
16.113283 81.110 47.3719
16.479493 81.127 46.4600
16.845704 81.149 45.5276
17.211915 81.167 44.5492
17.578126 81.174 43.5504
17.944337 81.172 42.5719
18.310548 81.167 41.6290
18.676759 81.163 40.7037
19.042970 81.160 39.7702
19.409181 81.158 38.8203
19.775392 81.155 37.8636
20.141603 81.154 36.9122
20.507814 81.156 35.9674
20.874025 81.160 35.0261
21.240236 81.165 34.0910
21.606447 81.170 33.1730
21.972658 81.177 32.2807
22.338869 81.187 31.4108
22.705080 81.198 30.5518
23.071291 81.210 29.6980
23.437502 81.220 28.8567
23.803713 81.227 28.0409
24.169924 81.232 27.2561
24.536135 81.238 26.4944
24.902346 81.244 25.7421
25.268557 81.248 24.9926
25.634768 81.250 24.2498
26.000979 81.249 23.5215
26.367190 81.247 22.8085
26.733401 81.244 22.1034
27.099612 81.243 21.3958
27.465823 81.241 20.6812
27.832033 81.237 19.9611
28.198244 81.233 19.2399
28.564455 81.228 18.5195
28.930666 81.223 17.8027
29.296877 81.217 17.0933
29.663088 81.212 16.3966
30.029299 81.207 15.7147
30.395510 81.205 15.0433
30.761721 81.204 14.3754
31.127932 81.204 13.7067
31.494143 81.203 13.0406
31.860354 81.201 12.3850
32.226565 81.198 11.7450
32.592776 81.195 11.1191
32.958987 81.193 10.5016
33.325198 81.190 9.8883
33.691409 81.186 9.2794
34.057620 81.181 8.6772
34.423831 81.175 8.0819
34.790042 81.169 7.4901
35.156253 81.162 6.8983
35.522464 81.154 6.3055
35.888675 81.145 5.7151
36.254886 81.134 5.1307
36.621097 81.123 4.5546
36.987308 81.112 3.9860
37.353519 81.102 3.4237
37.719730 81.092 2.8667
38.085941 81.082 2.3138
38.452152 81.074 1.7626
38.818363 81.066 1.2104
39.184573 81.057 0.6561
39.550784 81.048 0.1025
39.916995 81.038 -0.4457
40.283206 81.028 -0.9845
40.649417 81.018 -1.5135
41.015628 81.009 -2.0358
41.381839 80.999 -2.5543
41.748050 80.988 -3.0700
42.114261 80.977 -3.5816
42.480472 80.965 -4.0869
42.846683 80.953 -4.5853
43.212894 80.940 -5.0775
43.579105 80.928 -5.5647
43.945316 80.915 -6.0479
44.311527 80.902 -6.5276
44.677738 80.889 -7.0040
45.043949 80.875 -7.4768
45.410160 80.861 -7.9457
45.776371 80.848 -8.4100
46.142582 80.834 -8.8698
46.508793 80.820 -9.3253
46.875004 80.806 -9.7776
47.241215 80.791 -10.2264
47.607426 80.776 -10.6703
47.973637 80.760 -11.1069
48.339848 80.744 -11.5347
48.706059 80.728 -11.9539
49.072270 80.712 -12.3665
49.438481 80.697 -12.7744
49.804692 80.681 -13.1790
50.170902 80.665 -13.5803
50.537113 80.649 -13.9778
50.903324 80.632 -14.3702
51.269535 80.615 -14.7570
51.635746 80.598 -15.1374
52.001957 80.580 -15.5114
52.368168 80.563 -15.8800
52.734379 80.545 -16.2445
53.100590 80.528 -16.6053
53.466801 80.510 -16.9618
53.833012 80.492 -17.3123
54.199223 80.474 -17.6555
54.565434 80.456 -17.9915
54.931645 80.438 -18.3215
55.297856 80.421 -18.6472
55.664067 80.403 -18.9691
56.030278 80.385 -19.2863
56.396489 80.367 -19.5979
56.762700 80.349 -19.9037
57.128911 80.332 -20.2049
57.495122 80.314 -20.5028
57.861333 80.296 -20.7983
58.227544 80.277 -21.0909
58.593755 80.258 -21.3789
58.959966 80.238 -21.6605
59.326177 80.218 -21.9346
59.692388 80.199 -22.2012
60.058599 80.179 -22.4620
60.424810 80.160 -22.7191
60.791021 80.141 -22.9744
61.157232 80.122 -23.2286
61.523442 80.103 -23.4811
61.889653 80.084 -23.7302
62.255864 80.064 -23.9751
62.622075 80.044 -24.2156
62.988286 80.024 -24.4521
63.354497 80.004 -24.6851
63.720708 79.983 -24.9142
64.086919 79.962 -25.1390
64.453130 79.941 -25.3589
64.819341 79.920 -25.5741
65.185552 79.899 -25.7856
65.551763 79.878 -25.9945
65.917974 79.858 -26.2015
66.284185 79.837 -26.4071
66.650396 79.817 -26.6106
67.016607 79.796 -26.8116
67.382818 79.775 -27.0095
67.749029 79.754 -27.2041
68.115240 79.733 -27.3958
68.481451 79.712 -27.5852
68.847662 79.691 -27.7731
69.213873 79.670 -27.9594
69.580084 79.649 -28.1432
69.946295 79.627 -28.3231
70.312506 79.605 -28.4981
70.678717 79.584 -28.6687
71.044928 79.563 -28.8364
71.411139 79.542 -29.0031
71.777350 79.521 -29.1700
72.143561 79.500 -29.3367
72.509771 79.479 -29.5010
72.875982 79.457 -29.6611
73.242193 79.435 -29.8164
73.608404 79.413 -29.9681
73.974615 79.392 -30.1188
74.340826 79.371 -30.2701
74.707037 79.349 -30.4226
75.073248 79.328 -30.5740
75.439459 79.305 -30.7216
75.805670 79.283 -30.8631
76.171881 79.261 -30.9989
76.538092 79.239 -31.1316
76.904303 79.219 -31.2647
77.270514 79.199 -31.4006
77.636725 79.179 -31.5392
78.002936 79.158 -31.6783
78.369147 79.137 -31.8156
78.735358 79.116 -31.9497
79.101569 79.095 -32.0808
79.467780 79.074 -32.2097
79.833991 79.053 -32.3372
80.200202 79.032 -32.4633
80.566413 79.011 -32.5876
80.932624 78.990 -32.7099
81.298835 78.969 -32.8301
81.665046 78.949 -32.9482
82.031257 78.928 -33.0642
82.397468 78.907 -33.1777
82.763679 78.886 -33.2887
83.129890 78.866 -33.3979
83.496101 78.846 -33.5069
83.862311 78.826 -33.6173
84.228522 78.806 -33.7297
84.594733 78.785 -33.8432
84.960944 78.764 -33.9558
85.327155 78.743 -34.0656
85.693366 78.722 -34.1715
86.059577 78.701 -34.2744
86.425788 78.680 -34.3756
86.791999 78.659 -34.4767
87.158210 78.639 -34.5781
87.524421 78.618 -34.6792
87.890632 78.597 -34.7788
88.256843 78.576 -34.8765
88.623054 78.555 -34.9720
88.989265 78.535 -35.0662
89.355476 78.514 -35.1593
89.721687 78.493 -35.2517
90.087898 78.473 -35.3433
90.454109 78.453 -35.4337
90.820320 78.432 -35.5231
91.186531 78.412 -35.6117
91.552742 78.392 -35.6992
91.918953 78.371 -35.7856
92.285164 78.351 -35.8708
92.651375 78.331 -35.9547
93.017586 78.311 -36.0378
93.383797 78.291 -36.1207
93.750008 78.272 -36.2039
94.116219 78.252 -36.2871
94.482430 78.232 -36.3701
94.848641 78.212 -36.4525
95.214851 78.192 -36.5336
95.581062 78.172 -36.6134
95.947273 78.152 -36.6917
96.313484 78.132 -36.7686
96.679695 78.112 -36.8441
97.045906 78.092 -36.9187
97.412117 78.072 -36.9927
97.778328 78.052 -37.0661
98.144539 78.032 -37.1390
98.510750 78.012 -37.2113
98.876961 77.993 -37.2828
99.243172 77.973 -37.3539
99.609383 77.954 -37.4243
99.975594 77.934 -37.4944
100.341805 77.915 -37.5641
100.708016 77.895 -37.6329
101.074227 77.876 -37.7009
101.440438 77.856 -37.7678
101.806649 77.837 -37.8339
102.172860 77.818 -37.8992
102.539071 77.799 -37.9641
102.905282 77.780 -38.0286
103.271493 77.761 -38.0925
103.637704 77.742 -38.1556
104.003915 77.723 -38.2178
104.370126 77.704 -38.2790
104.736337 77.684 -38.3394
105.102548 77.665 -38.3989
105.468759 77.646 -38.4575
105.834970 77.627 -38.5151
106.201180 77.608 -38.5715
106.567391 77.589 -38.6268
106.933602 77.570 -38.6813
107.299813 77.551 -38.7355
107.666024 77.532 -38.7896
108.032235 77.513 -38.8437
108.398446 77.495 -38.8975
108.764657 77.476 -38.9504
109.130868 77.457 -39.0026
109.497079 77.438 -39.0538
109.863290 77.419 -39.1046
110.229501 77.401 -39.1553
110.595712 77.383 -39.2061
110.961923 77.364 -39.2571
111.328134 77.346 -39.3081
111.694345 77.328 -39.3588
112.060556 77.309 -39.4088
112.426767 77.291 -39.4580
112.792978 77.273 -39.5063
113.159189 77.255 -39.5540
113.525400 77.237 -39.6006
113.891611 77.218 -39.6464
114.257822 77.200 -39.6914
114.624033 77.182 -39.7356
114.990244 77.164 -39.7788
115.356455 77.146 -39.8209
115.722666 77.128 -39.8617
116.088877 77.110 -39.9011
116.455088 77.093 -39.9397
116.821299 77.075 -39.9781
117.187510 77.058 -40.0172
117.553720 77.040 -40.0573
117.919931 77.023 -40.0986
118.286142 77.006 -40.1406
118.652353 76.988 -40.1831
119.018564 76.970 -40.2255
119.384775 76.952 -40.2677
119.750986 76.934 -40.3096
120.117197 76.916 -40.3511
120.483408 76.898 -40.3920
120.849619 76.879 -40.4323
121.215830 76.861 -40.4717
121.582041 76.843 -40.5103
121.948252 76.825 -40.5479
122.314463 76.807 -40.5848
122.680674 76.789 -40.6212
123.046885 76.772 -40.6574
123.413096 76.755 -40.6935
123.779307 76.738 -40.7296
124.145518 76.721 -40.7655
124.511729 76.705 -40.8010
124.877940 76.689 -40.8359
125.244151 76.673 -40.8699
125.610362 76.657 -40.9031
125.976573 76.641 -40.9353
126.342784 76.626 -40.9669
126.708995 76.611 -40.9982
127.075206 76.595 -41.0289
127.441417 76.580 -41.0591
127.807628 76.565 -41.0885
128.173839 76.549 -41.1169
128.540049 76.534 -41.1447
128.906260 76.518 -41.1718
129.272471 76.503 -41.1986
129.638682 76.487 -41.2255
130.004893 76.472 -41.2522
130.371104 76.456 -41.2789
130.737315 76.441 -41.3053
131.103526 76.425 -41.3315
131.469737 76.409 -41.3577
131.835948 76.394 -41.3838
132.202159 76.379 -41.4099
132.568370 76.363 -41.4360
132.934581 76.348 -41.4621
133.300792 76.333 -41.4883
133.667003 76.318 -41.5149
134.033214 76.303 -41.5417
134.399425 76.288 -41.5685
134.765636 76.273 -41.5947
135.131847 76.258 -41.6196
135.498058 76.243 -41.6428
135.864269 76.228 -41.6644
136.230480 76.214 -41.6848
136.596691 76.199 -41.7047
136.962902 76.185 -41.7246
137.329113 76.170 -41.7447
137.695324 76.156 -41.7646
138.061535 76.141 -41.7842
138.427746 76.127 -41.8032
138.793957 76.112 -41.8217
139.160168 76.097 -41.8398
139.526379 76.083 -41.8580
139.892589 76.068 -41.8765
140.258800 76.054 -41.8949
140.625011 76.039 -41.9135
140.991222 76.025 -41.9321
141.357433 76.010 -41.9507
141.723644 75.996 -41.9694
142.089855 75.981 -41.9885
142.456066 75.967 -42.0082
142.822277 75.953 -42.0284
143.188488 75.939 -42.0493
143.554699 75.925 -42.0704
143.920910 75.910 -42.0914
144.287121 75.896 -42.1118
144.653332 75.882 -42.1311
145.019543 75.868 -42.1492
