* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:40:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Purple Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.789 -36.5821
0.732422 77.523 -77.3698
1.098633 76.342 -125.5419
1.464844 76.496 -175.3839
1.831055 77.485 144.2177
2.197266 78.034 114.8820
2.563477 77.682 95.0948
2.929688 76.613 85.8741
3.295899 75.853 88.4858
3.662110 76.625 94.9611
4.028321 78.167 95.1384
4.394532 79.323 90.0522
4.760743 79.813 83.8569
5.126954 79.806 79.4886
5.493164 79.682 78.1600
5.859375 79.811 78.7285
6.225586 80.235 78.6966
6.591797 80.693 76.8897
6.958008 80.961 74.0146
7.324219 81.008 71.3708
7.690430 80.951 69.7897
8.056641 80.946 69.1614
8.422852 81.058 68.6828
8.789063 81.227 67.6950
9.155274 81.362 66.1927
9.521485 81.423 64.5910
9.887696 81.433 63.2508
10.253907 81.379 62.2193
10.620118 81.320 61.2990
10.986329 81.279 60.2994
11.352540 81.234 59.1909
11.718751 81.175 58.0498
12.084962 81.109 56.9315
12.451173 81.043 55.8220
12.817384 81.032 54.6939
13.183595 81.023 53.5663
13.549806 81.008 52.4885
13.916017 80.995 51.4763
14.282228 80.992 50.4814
14.648439 80.995 49.4355
15.014650 80.994 48.3224
15.380861 80.982 47.1959
15.747072 80.962 46.1272
16.113283 80.949 45.1391
16.479493 80.957 44.1904
16.845704 80.973 43.2215
17.211915 80.990 42.2119
17.578126 81.000 41.1916
17.944337 81.004 40.2047
18.310548 81.006 39.2690
18.676759 81.012 38.3685
19.042970 81.019 37.4784
19.409181 81.027 36.5893
19.775392 81.033 35.7083
20.141603 81.040 34.8423
20.507814 81.048 33.9878
20.874025 81.055 33.1380
21.240236 81.060 32.2944
21.606447 81.063 31.4663
21.972658 81.064 30.6584
22.338869 81.067 29.8630
22.705080 81.071 29.0660
23.071291 81.074 28.2629
23.437502 81.074 27.4645
23.803713 81.072 26.6857
24.169924 81.071 25.9301
24.536135 81.072 25.1853
24.902346 81.076 24.4358
25.268557 81.079 23.6783
25.634768 81.080 22.9250
26.000979 81.079 22.1906
26.367190 81.080 21.4775
26.733401 81.082 20.7751
27.099612 81.085 20.0710
27.465823 81.087 19.3638
27.832033 81.087 18.6625
28.198244 81.086 17.9767
28.564455 81.084 17.3068
28.930666 81.084 16.6444
29.296877 81.084 15.9818
29.663088 81.082 15.3184
30.029299 81.079 14.6604
30.395510 81.074 14.0135
30.761721 81.070 13.3785
31.127932 81.065 12.7514
31.494143 81.061 12.1288
31.860354 81.057 11.5090
32.226565 81.052 10.8928
32.592776 81.048 10.2806
32.958987 81.043 9.6715
33.325198 81.039 9.0646
33.691409 81.034 8.4598
34.057620 81.029 7.8583
34.423831 81.024 7.2605
34.790042 81.017 6.6675
35.156253 81.011 6.0811
35.522464 81.004 5.5033
35.888675 80.997 4.9337
36.254886 80.991 4.3689
36.621097 80.986 3.8041
36.987308 80.980 3.2374
37.353519 80.972 2.6721
37.719730 80.964 2.1146
38.085941 80.955 1.5692
38.452152 80.946 1.0342
38.818363 80.939 0.5027
39.184573 80.932 -0.0312
39.550784 80.924 -0.5681
39.916995 80.916 -1.1038
40.283206 80.908 -1.6335
40.649417 80.900 -2.1562
41.015628 80.892 -2.6745
41.381839 80.884 -3.1915
41.748050 80.875 -3.7074
42.114261 80.866 -4.2198
42.480472 80.856 -4.7261
42.846683 80.847 -5.2262
43.212894 80.837 -5.7223
43.579105 80.827 -6.2170
43.945316 80.818 -6.7115
44.311527 80.807 -7.2047
44.677738 80.796 -7.6948
45.043949 80.784 -8.1801
45.410160 80.772 -8.6598
45.776371 80.760 -9.1349
46.142582 80.748 -9.6066
46.508793 80.736 -10.0764
46.875004 80.724 -10.5449
47.241215 80.711 -11.0109
47.607426 80.698 -11.4724
47.973637 80.684 -11.9280
48.339848 80.671 -12.3780
48.706059 80.657 -12.8243
49.072270 80.644 -13.2689
49.438481 80.630 -13.7120
49.804692 80.616 -14.1517
50.170902 80.601 -14.5859
50.537113 80.586 -15.0135
50.903324 80.571 -15.4346
51.269535 80.555 -15.8501
51.635746 80.540 -16.2605
52.001957 80.524 -16.6660
52.368168 80.508 -17.0666
52.734379 80.493 -17.4633
53.100590 80.476 -17.8567
53.466801 80.460 -18.2467
53.833012 80.443 -18.6322
54.199223 80.426 -19.0124
54.565434 80.409 -19.3870
54.931645 80.392 -19.7573
55.297856 80.375 -20.1244
55.664067 80.357 -20.4876
56.030278 80.339 -20.8450
56.396489 80.321 -21.1945
56.762700 80.303 -21.5359
57.128911 80.285 -21.8716
57.495122 80.269 -22.2059
57.861333 80.252 -22.5416
58.227544 80.234 -22.8781
58.593755 80.216 -23.2114
58.959966 80.196 -23.5360
59.326177 80.175 -23.8479
59.692388 80.154 -24.1467
60.058599 80.135 -24.4362
60.424810 80.115 -24.7206
60.791021 80.097 -25.0037
61.157232 80.078 -25.2852
61.523442 80.058 -25.5627
61.889653 80.039 -25.8341
62.255864 80.019 -26.0991
62.622075 80.000 -26.3601
62.988286 79.981 -26.6205
63.354497 79.962 -26.8810
63.720708 79.941 -27.1401
64.086919 79.920 -27.3940
64.453130 79.899 -27.6401
64.819341 79.877 -27.8782
65.185552 79.856 -28.1102
65.551763 79.836 -28.3389
65.917974 79.816 -28.5654
66.284185 79.795 -28.7897
66.650396 79.775 -29.0107
67.016607 79.754 -29.2278
67.382818 79.734 -29.4412
67.749029 79.713 -29.6517
68.115240 79.693 -29.8596
68.481451 79.672 -30.0649
68.847662 79.650 -30.2665
69.213873 79.629 -30.4636
69.580084 79.607 -30.6554
69.946295 79.585 -30.8419
70.312506 79.563 -31.0236
70.678717 79.542 -31.2016
71.044928 79.521 -31.3771
71.411139 79.499 -31.5513
71.777350 79.478 -31.7247
72.143561 79.457 -31.8972
72.509771 79.436 -32.0678
72.875982 79.414 -32.2355
73.242193 79.392 -32.3992
73.608404 79.370 -32.5592
73.974615 79.348 -32.7162
74.340826 79.327 -32.8717
74.707037 79.306 -33.0264
75.073248 79.284 -33.1799
75.439459 79.263 -33.3309
75.805670 79.241 -33.4785
76.171881 79.219 -33.6223
76.538092 79.197 -33.7633
76.904303 79.176 -33.9030
77.270514 79.155 -34.0421
77.636725 79.133 -34.1804
78.002936 79.111 -34.3164
78.369147 79.089 -34.4495
78.735358 79.068 -34.5795
79.101569 79.046 -34.7072
79.467780 79.024 -34.8338
79.833991 79.003 -34.9592
80.200202 78.981 -35.0830
80.566413 78.959 -35.2043
80.932624 78.938 -35.3234
81.298835 78.917 -35.4409
81.665046 78.896 -35.5583
82.031257 78.875 -35.6761
82.397468 78.854 -35.7944
82.763679 78.833 -35.9122
83.129890 78.812 -36.0283
83.496101 78.790 -36.1420
83.862311 78.769 -36.2523
84.228522 78.747 -36.3596
84.594733 78.726 -36.4644
84.960944 78.705 -36.5679
85.327155 78.685 -36.6714
85.693366 78.664 -36.7764
86.059577 78.644 -36.8828
86.425788 78.623 -36.9902
86.791999 78.602 -37.0968
87.158210 78.580 -37.2008
87.524421 78.558 -37.3008
87.890632 78.536 -37.3964
88.256843 78.513 -37.4882
88.623054 78.492 -37.5775
88.989265 78.470 -37.6656
89.355476 78.449 -37.7532
89.721687 78.428 -37.8405
90.087898 78.407 -37.9271
90.454109 78.386 -38.0131
90.820320 78.366 -38.0986
91.186531 78.345 -38.1839
91.552742 78.324 -38.2690
91.918953 78.304 -38.3539
92.285164 78.283 -38.4379
92.651375 78.262 -38.5205
93.017586 78.241 -38.6017
93.383797 78.220 -38.6816
93.750008 78.200 -38.7604
94.116219 78.179 -38.8386
94.482430 78.158 -38.9161
94.848641 78.138 -38.9932
95.214851 78.117 -39.0692
95.581062 78.096 -39.1438
95.947273 78.075 -39.2165
96.313484 78.054 -39.2871
96.679695 78.033 -39.3557
97.045906 78.012 -39.4227
97.412117 77.992 -39.4888
97.778328 77.971 -39.5546
98.144539 77.951 -39.6202
98.510750 77.931 -39.6855
98.876961 77.911 -39.7507
99.243172 77.891 -39.8156
99.609383 77.871 -39.8804
99.975594 77.851 -39.9454
100.341805 77.831 -40.0105
100.708016 77.811 -40.0754
101.074227 77.791 -40.1396
101.440438 77.771 -40.2025
101.806649 77.751 -40.2640
102.172860 77.731 -40.3245
102.539071 77.712 -40.3845
102.905282 77.692 -40.4446
103.271493 77.673 -40.5049
103.637704 77.653 -40.5652
104.003915 77.633 -40.6246
104.370126 77.614 -40.6830
104.736337 77.594 -40.7401
105.102548 77.574 -40.7961
105.468759 77.554 -40.8512
105.834970 77.535 -40.9056
106.201180 77.515 -40.9594
106.567391 77.495 -41.0125
106.933602 77.476 -41.0649
107.299813 77.456 -41.1174
107.666024 77.437 -41.1703
108.032235 77.418 -41.2238
108.398446 77.398 -41.2774
108.764657 77.378 -41.3304
109.130868 77.359 -41.3820
109.497079 77.339 -41.4316
109.863290 77.319 -41.4795
110.229501 77.300 -41.5260
110.595712 77.280 -41.5718
110.961923 77.261 -41.6172
111.328134 77.242 -41.6620
111.694345 77.223 -41.7062
112.060556 77.205 -41.7495
112.426767 77.186 -41.7920
112.792978 77.168 -41.8342
113.159189 77.150 -41.8766
113.525400 77.131 -41.9191
113.891611 77.113 -41.9613
114.257822 77.095 -42.0027
114.624033 77.076 -42.0428
114.990244 77.058 -42.0819
115.356455 77.039 -42.1201
115.722666 77.021 -42.1581
116.088877 77.003 -42.1960
116.455088 76.984 -42.2339
116.821299 76.966 -42.2712
117.187510 76.947 -42.3079
117.553720 76.928 -42.3441
117.919931 76.910 -42.3801
118.286142 76.891 -42.4163
118.652353 76.873 -42.4526
119.018564 76.854 -42.4887
119.384775 76.835 -42.5242
119.750986 76.816 -42.5588
120.117197 76.798 -42.5927
120.483408 76.779 -42.6258
120.849619 76.761 -42.6584
121.215830 76.743 -42.6908
121.582041 76.725 -42.7228
121.948252 76.707 -42.7544
122.314463 76.689 -42.7859
122.680674 76.671 -42.8174
123.046885 76.654 -42.8489
123.413096 76.636 -42.8804
123.779307 76.619 -42.9115
124.145518 76.601 -42.9423
124.511729 76.584 -42.9725
124.877940 76.567 -43.0026
125.244151 76.550 -43.0324
125.610362 76.534 -43.0619
125.976573 76.517 -43.0906
126.342784 76.501 -43.1185
126.708995 76.484 -43.1453
127.075206 76.468 -43.1711
127.441417 76.452 -43.1967
127.807628 76.435 -43.2223
128.173839 76.419 -43.2482
128.540049 76.403 -43.2743
128.906260 76.387 -43.3005
129.272471 76.371 -43.3265
129.638682 76.355 -43.3524
130.004893 76.339 -43.3779
130.371104 76.323 -43.4031
130.737315 76.307 -43.4277
131.103526 76.291 -43.4518
131.469737 76.275 -43.4750
131.835948 76.259 -43.4971
132.202159 76.243 -43.5182
132.568370 76.227 -43.5383
132.934581 76.211 -43.5580
133.300792 76.196 -43.5776
133.667003 76.180 -43.5972
134.033214 76.165 -43.6168
134.399425 76.150 -43.6361
134.765636 76.135 -43.6552
135.131847 76.120 -43.6736
135.498058 76.104 -43.6917
135.864269 76.089 -43.7095
136.230480 76.074 -43.7272
136.596691 76.059 -43.7446
136.962902 76.044 -43.7616
137.329113 76.029 -43.7783
137.695324 76.014 -43.7946
138.061535 75.999 -43.8107
138.427746 75.984 -43.8267
138.793957 75.969 -43.8428
139.160168 75.954 -43.8589
139.526379 75.939 -43.8749
139.892589 75.924 -43.8906
140.258800 75.909 -43.9062
140.625011 75.894 -43.9218
140.991222 75.878 -43.9375
141.357433 75.863 -43.9532
141.723644 75.849 -43.9691
142.089855 75.834 -43.9849
142.456066 75.819 -44.0004
142.822277 75.804 -44.0155
143.188488 75.789 -44.0302
143.554699 75.774 -44.0447
143.920910 75.760 -44.0587
144.287121 75.745 -44.0725
144.653332 75.731 -44.0861
145.019543 75.717 -44.0994
