* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:46:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.823 -37.3838
0.732422 78.720 -77.9619
1.098633 77.544 -123.9035
1.464844 77.165 -171.7040
1.831055 77.411 146.8572
2.197266 77.268 115.0294
2.563477 76.070 93.1966
2.929688 73.741 85.7275
3.295899 72.315 100.1913
3.662110 74.532 114.4501
4.028321 77.162 112.4219
4.394532 78.691 104.1021
4.760743 79.247 95.8080
5.126954 79.222 90.6058
5.493164 79.143 89.3240
5.859375 79.440 89.8316
6.225586 80.048 88.9609
6.591797 80.602 85.8755
6.958008 80.875 81.8243
7.324219 80.878 78.3832
7.690430 80.779 76.4115
8.056641 80.768 75.6037
8.422852 80.908 74.8810
8.789063 81.108 73.4845
9.155274 81.256 71.5067
9.521485 81.311 69.4974
9.887696 81.312 67.8748
10.253907 81.258 66.6485
10.620118 81.211 65.5475
10.986329 81.184 64.3447
11.352540 81.150 63.0294
11.718751 81.100 61.7121
12.084962 81.042 60.4577
12.451173 80.988 59.2365
12.817384 80.989 58.0036
13.183595 80.991 56.7783
13.549806 80.985 55.6212
13.916017 80.981 54.5520
14.282228 80.988 53.5100
14.648439 81.002 52.4120
15.014650 81.010 51.2382
15.380861 81.003 50.0542
15.747072 80.985 48.9442
16.113283 80.973 47.9323
16.479493 80.984 46.9646
16.845704 81.004 45.9680
17.211915 81.023 44.9188
17.578126 81.033 43.8543
17.944337 81.036 42.8271
18.310548 81.038 41.8564
18.676759 81.044 40.9220
19.042970 81.052 39.9940
19.409181 81.061 39.0627
19.775392 81.069 38.1372
20.141603 81.076 37.2253
20.507814 81.086 36.3226
20.874025 81.095 35.4236
21.240236 81.100 34.5340
21.606447 81.104 33.6677
21.972658 81.107 32.8304
22.338869 81.113 32.0083
22.705080 81.121 31.1802
23.071291 81.127 30.3383
23.437502 81.129 29.4985
23.803713 81.127 28.6853
24.169924 81.126 27.9083
24.536135 81.127 27.1536
24.902346 81.132 26.3961
25.268557 81.138 25.6230
25.634768 81.142 24.8422
26.000979 81.142 24.0717
26.367190 81.141 23.3236
26.733401 81.140 22.5969
27.099612 81.140 21.8826
27.465823 81.141 21.1744
27.832033 81.142 20.4705
28.198244 81.142 19.7710
28.564455 81.143 19.0739
28.930666 81.143 18.3777
29.296877 81.141 17.6865
29.663088 81.138 17.0076
30.029299 81.134 16.3453
30.395510 81.131 15.6951
30.761721 81.130 15.0471
31.127932 81.128 14.3950
31.494143 81.125 13.7417
31.860354 81.121 13.0966
32.226565 81.115 12.4661
32.592776 81.110 11.8477
32.958987 81.107 11.2333
33.325198 81.103 10.6165
33.691409 81.098 9.9988
34.057620 81.092 9.3867
34.423831 81.085 8.7865
34.790042 81.079 8.1981
35.156253 81.073 7.6174
35.522464 81.067 7.0387
35.888675 81.062 6.4586
36.254886 81.056 5.8766
36.621097 81.049 5.2948
36.987308 81.041 4.7175
37.353519 81.032 4.1497
37.719730 81.022 3.5943
38.085941 81.013 3.0494
38.452152 81.005 2.5084
38.818363 80.998 1.9646
39.184573 80.990 1.4161
39.550784 80.982 0.8677
39.916995 80.972 0.3267
40.283206 80.962 -0.2033
40.649417 80.953 -0.7252
41.015628 80.946 -1.2458
41.381839 80.938 -1.7696
41.748050 80.929 -2.2950
42.114261 80.918 -2.8160
42.480472 80.907 -3.3271
42.846683 80.895 -3.8265
43.212894 80.883 -4.3169
43.579105 80.872 -4.8022
43.945316 80.861 -5.2855
44.311527 80.850 -5.7682
44.677738 80.839 -6.2499
45.043949 80.827 -6.7299
45.410160 80.814 -7.2064
45.776371 80.801 -7.6777
46.142582 80.787 -8.1431
46.508793 80.773 -8.6030
46.875004 80.759 -9.0592
47.241215 80.746 -9.5129
47.607426 80.732 -9.9637
47.973637 80.717 -10.4102
48.339848 80.702 -10.8511
48.706059 80.687 -11.2863
49.072270 80.672 -11.7164
49.438481 80.657 -12.1420
49.804692 80.642 -12.5624
50.170902 80.626 -12.9777
50.537113 80.611 -13.3879
50.903324 80.596 -13.7935
51.269535 80.580 -14.1949
51.635746 80.564 -14.5916
52.001957 80.547 -14.9824
52.368168 80.530 -15.3662
52.734379 80.513 -15.7435
53.100590 80.496 -16.1150
53.466801 80.479 -16.4812
53.833012 80.462 -16.8423
54.199223 80.445 -17.1982
54.565434 80.427 -17.5497
54.931645 80.410 -17.8975
55.297856 80.393 -18.2418
55.664067 80.375 -18.5818
56.030278 80.356 -18.9165
56.396489 80.338 -19.2448
56.762700 80.320 -19.5667
57.128911 80.301 -19.8829
57.495122 80.283 -20.1940
57.861333 80.265 -20.4995
58.227544 80.247 -20.7998
58.593755 80.229 -21.0956
58.959966 80.211 -21.3888
59.326177 80.193 -21.6805
59.692388 80.175 -21.9708
60.058599 80.157 -22.2582
60.424810 80.138 -22.5408
60.791021 80.119 -22.8175
61.157232 80.099 -23.0887
61.523442 80.079 -23.3552
61.889653 80.060 -23.6174
62.255864 80.040 -23.8751
62.622075 80.020 -24.1276
62.988286 79.999 -24.3748
63.354497 79.979 -24.6171
63.720708 79.958 -24.8550
64.086919 79.937 -25.0895
64.453130 79.917 -25.3208
64.819341 79.896 -25.5490
65.185552 79.876 -25.7740
65.551763 79.855 -25.9955
65.917974 79.834 -26.2130
66.284185 79.813 -26.4264
66.650396 79.793 -26.6358
67.016607 79.772 -26.8416
67.382818 79.751 -27.0443
67.749029 79.730 -27.2439
68.115240 79.710 -27.4403
68.481451 79.689 -27.6332
68.847662 79.668 -27.8231
69.213873 79.647 -28.0099
69.580084 79.626 -28.1942
69.946295 79.606 -28.3764
70.312506 79.585 -28.5568
70.678717 79.564 -28.7355
71.044928 79.543 -28.9125
71.411139 79.522 -29.0877
71.777350 79.501 -29.2606
72.143561 79.480 -29.4309
72.509771 79.458 -29.5989
72.875982 79.437 -29.7653
73.242193 79.416 -29.9308
73.608404 79.395 -30.0958
73.974615 79.374 -30.2595
74.340826 79.352 -30.4207
74.707037 79.330 -30.5781
75.073248 79.308 -30.7314
75.439459 79.286 -30.8813
75.805670 79.265 -31.0294
76.171881 79.243 -31.1769
76.538092 79.222 -31.3240
76.904303 79.200 -31.4696
77.270514 79.178 -31.6119
77.636725 79.156 -31.7495
78.002936 79.134 -31.8822
78.369147 79.113 -32.0118
78.735358 79.093 -32.1412
79.101569 79.073 -32.2724
79.467780 79.053 -32.4061
79.833991 79.032 -32.5411
80.200202 79.011 -32.6752
80.566413 78.990 -32.8062
80.932624 78.968 -32.9329
81.298835 78.947 -33.0552
81.665046 78.925 -33.1738
82.031257 78.904 -33.2898
82.397468 78.883 -33.4039
82.763679 78.862 -33.5165
83.129890 78.841 -33.6274
83.496101 78.820 -33.7364
83.862311 78.800 -33.8430
84.228522 78.779 -33.9477
84.594733 78.759 -34.0514
84.960944 78.739 -34.1555
85.327155 78.719 -34.2609
85.693366 78.698 -34.3671
86.059577 78.678 -34.4727
86.425788 78.657 -34.5763
86.791999 78.636 -34.6779
87.158210 78.616 -34.7781
87.524421 78.595 -34.8788
87.890632 78.575 -34.9810
88.256843 78.555 -35.0842
88.623054 78.534 -35.1871
88.989265 78.512 -35.2882
89.355476 78.491 -35.3864
89.721687 78.470 -35.4818
90.087898 78.449 -35.5755
90.454109 78.428 -35.6681
90.820320 78.407 -35.7598
91.186531 78.386 -35.8500
91.552742 78.365 -35.9382
91.918953 78.344 -36.0243
92.285164 78.324 -36.1091
92.651375 78.304 -36.1938
93.017586 78.284 -36.2789
93.383797 78.264 -36.3644
93.750008 78.244 -36.4497
94.116219 78.225 -36.5339
94.482430 78.205 -36.6166
94.848641 78.185 -36.6981
95.214851 78.165 -36.7789
95.581062 78.146 -36.8595
95.947273 78.126 -36.9401
96.313484 78.107 -37.0204
96.679695 78.087 -37.0999
97.045906 78.068 -37.1786
97.412117 78.048 -37.2561
97.778328 78.028 -37.3325
98.144539 78.009 -37.4074
98.510750 77.989 -37.4803
98.876961 77.969 -37.5509
99.243172 77.949 -37.6191
99.609383 77.929 -37.6854
99.975594 77.909 -37.7504
100.341805 77.890 -37.8151
100.708016 77.871 -37.8799
101.074227 77.852 -37.9449
101.440438 77.833 -38.0099
101.806649 77.813 -38.0741
102.172860 77.794 -38.1375
102.539071 77.775 -38.2000
102.905282 77.756 -38.2623
103.271493 77.736 -38.3248
103.637704 77.717 -38.3877
104.003915 77.698 -38.4506
104.370126 77.679 -38.5127
104.736337 77.659 -38.5739
105.102548 77.640 -38.6340
105.468759 77.620 -38.6934
105.834970 77.601 -38.7522
106.201180 77.582 -38.8104
106.567391 77.562 -38.8678
106.933602 77.543 -38.9238
107.299813 77.524 -38.9781
107.666024 77.505 -39.0310
108.032235 77.486 -39.0828
108.398446 77.467 -39.1342
108.764657 77.449 -39.1855
109.130868 77.430 -39.2371
109.497079 77.412 -39.2888
109.863290 77.393 -39.3403
110.229501 77.375 -39.3912
110.595712 77.356 -39.4417
110.961923 77.338 -39.4915
111.328134 77.320 -39.5410
111.694345 77.302 -39.5905
112.060556 77.283 -39.6401
112.426767 77.265 -39.6895
112.792978 77.247 -39.7388
113.159189 77.229 -39.7876
113.525400 77.210 -39.8361
113.891611 77.192 -39.8844
114.257822 77.174 -39.9326
114.624033 77.156 -39.9806
114.990244 77.137 -40.0281
115.356455 77.119 -40.0748
115.722666 77.100 -40.1204
116.088877 77.082 -40.1646
116.455088 77.064 -40.2070
116.821299 77.045 -40.2476
117.187510 77.027 -40.2863
117.553720 77.009 -40.3234
117.919931 76.992 -40.3596
118.286142 76.975 -40.3959
118.652353 76.958 -40.4333
119.018564 76.941 -40.4722
119.384775 76.924 -40.5127
119.750986 76.907 -40.5540
120.117197 76.890 -40.5953
120.483408 76.873 -40.6359
120.849619 76.855 -40.6753
121.215830 76.838 -40.7137
121.582041 76.820 -40.7516
121.948252 76.803 -40.7896
122.314463 76.785 -40.8278
122.680674 76.768 -40.8664
123.046885 76.750 -40.9053
123.413096 76.733 -40.9438
123.779307 76.715 -40.9817
124.145518 76.697 -41.0183
124.511729 76.680 -41.0535
124.877940 76.663 -41.0873
125.244151 76.646 -41.1200
125.610362 76.629 -41.1519
125.976573 76.613 -41.1831
126.342784 76.597 -41.2136
126.708995 76.582 -41.2435
127.075206 76.566 -41.2726
127.441417 76.551 -41.3011
127.807628 76.536 -41.3291
128.173839 76.521 -41.3568
128.540049 76.506 -41.3846
128.906260 76.492 -41.4125
129.272471 76.477 -41.4407
129.638682 76.462 -41.4689
130.004893 76.447 -41.4972
130.371104 76.432 -41.5253
130.737315 76.417 -41.5531
131.103526 76.402 -41.5803
131.469737 76.386 -41.6069
131.835948 76.371 -41.6324
132.202159 76.355 -41.6570
132.568370 76.339 -41.6807
132.934581 76.323 -41.7041
133.300792 76.308 -41.7275
133.667003 76.293 -41.7513
134.033214 76.277 -41.7755
134.399425 76.262 -41.7999
134.765636 76.246 -41.8241
135.131847 76.231 -41.8478
135.498058 76.216 -41.8708
135.864269 76.201 -41.8934
136.230480 76.186 -41.9155
136.596691 76.171 -41.9376
136.962902 76.157 -41.9597
137.329113 76.142 -41.9817
137.695324 76.128 -42.0033
138.061535 76.113 -42.0242
138.427746 76.099 -42.0441
138.793957 76.084 -42.0629
139.160168 76.070 -42.0808
139.526379 76.056 -42.0981
139.892589 76.042 -42.1152
140.258800 76.028 -42.1324
140.625011 76.014 -42.1501
140.991222 76.000 -42.1683
141.357433 75.986 -42.1870
141.723644 75.972 -42.2062
142.089855 75.958 -42.2256
142.456066 75.944 -42.2455
142.822277 75.930 -42.2657
143.188488 75.916 -42.2861
143.554699 75.901 -42.3070
143.920910 75.887 -42.3281
144.287121 75.873 -42.3492
144.653332 75.859 -42.3703
145.019543 75.845 -42.3911
