* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:45:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gold f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.629 160.3599
0.732422 69.131 142.8814
1.098633 69.784 128.7242
1.464844 70.483 118.0292
1.831055 71.207 110.3331
2.197266 71.974 104.8739
2.563477 72.790 100.8237
2.929688 73.632 97.5110
3.295899 74.465 94.5383
3.662110 75.256 91.7432
4.028321 75.987 89.0859
4.394532 76.653 86.5617
4.760743 77.251 84.1693
5.126954 77.782 81.9144
5.493164 78.247 79.8159
5.859375 78.652 77.8974
6.225586 79.006 76.1703
6.591797 79.318 74.6202
6.958008 79.597 73.2104
7.324219 79.846 71.8983
7.690430 80.067 70.6511
8.056641 80.261 69.4524
8.422852 80.431 68.2952
8.789063 80.580 67.1726
9.155274 80.710 66.0724
9.521485 80.824 64.9799
9.887696 80.923 63.8831
10.253907 80.945 62.7766
10.620118 80.924 61.6609
10.986329 80.894 60.5387
11.352540 80.855 59.4126
11.718751 80.810 58.2843
12.084962 80.761 57.1555
12.451173 80.711 56.0279
12.817384 80.717 54.9031
13.183595 80.733 53.7825
13.549806 80.747 52.6674
13.916017 80.760 51.5598
14.282228 80.771 50.4627
14.648439 80.779 49.3802
15.014650 80.785 48.3154
15.380861 80.790 47.2702
15.747072 80.793 46.2444
16.113283 80.800 45.2370
16.479493 80.816 44.2465
16.845704 80.832 43.2713
17.211915 80.846 42.3102
17.578126 80.858 41.3616
17.944337 80.869 40.4240
18.310548 80.878 39.4956
18.676759 80.886 38.5746
19.042970 80.893 37.6595
19.409181 80.899 36.7504
19.775392 80.903 35.8485
20.141603 80.909 34.9562
20.507814 80.916 34.0757
20.874025 80.923 33.2076
21.240236 80.931 32.3502
21.606447 80.939 31.5012
21.972658 80.948 30.6591
22.338869 80.955 29.8253
22.705080 80.962 29.0032
23.071291 80.968 28.1968
23.437502 80.973 27.4072
23.803713 80.979 26.6320
24.169924 80.985 25.8660
24.536135 80.991 25.1047
24.902346 80.995 24.3471
25.268557 80.998 23.5963
25.634768 81.000 22.8571
26.000979 81.000 22.1324
26.367190 81.001 21.4206
26.733401 81.001 20.7165
27.099612 81.002 20.0141
27.465823 81.002 19.3110
27.832033 81.001 18.6091
28.198244 80.999 17.9135
28.564455 80.996 17.2287
28.930666 80.993 16.5555
29.296877 80.991 15.8913
29.663088 80.990 15.2316
30.029299 80.989 14.5734
30.395510 80.988 13.9166
30.761721 80.987 13.2633
31.127932 80.986 12.6159
31.494143 80.983 11.9755
31.860354 80.981 11.3416
32.226565 80.978 10.7135
32.592776 80.975 10.0915
32.958987 80.971 9.4772
33.325198 80.966 8.8718
33.691409 80.962 8.2747
34.057620 80.958 7.6830
34.423831 80.953 7.0930
34.790042 80.948 6.5034
35.156253 80.942 5.9159
35.522464 80.935 5.3349
35.888675 80.928 4.7636
36.254886 80.921 4.2007
36.621097 80.915 3.6406
36.987308 80.909 3.0765
37.353519 80.903 2.5055
37.719730 80.895 1.9312
38.085941 80.885 1.3629
38.452152 80.874 0.8091
38.818363 80.863 0.2722
39.184573 80.853 -0.2529
39.550784 80.845 -0.7760
39.916995 80.838 -1.3051
40.283206 80.831 -1.8416
40.649417 80.824 -2.3804
41.015628 80.815 -2.9143
41.381839 80.805 -3.4386
41.748050 80.795 -3.9536
42.114261 80.785 -4.4630
42.480472 80.776 -4.9703
42.846683 80.767 -5.4768
43.212894 80.757 -5.9812
43.579105 80.747 -6.4817
43.945316 80.737 -6.9776
44.311527 80.726 -7.4697
44.677738 80.716 -7.9594
45.043949 80.705 -8.4470
45.410160 80.693 -8.9317
45.776371 80.682 -9.4118
46.142582 80.669 -9.8864
46.508793 80.657 -10.3555
46.875004 80.644 -10.8199
47.241215 80.631 -11.2806
47.607426 80.618 -11.7376
47.973637 80.604 -12.1905
48.339848 80.590 -12.6388
48.706059 80.576 -13.0824
49.072270 80.561 -13.5220
49.438481 80.547 -13.9587
49.804692 80.532 -14.3930
50.170902 80.517 -14.8244
50.537113 80.501 -15.2515
50.903324 80.484 -15.6727
51.269535 80.468 -16.0871
51.635746 80.451 -16.4953
52.001957 80.435 -16.8988
52.368168 80.418 -17.2989
52.734379 80.402 -17.6956
53.100590 80.384 -18.0877
53.466801 80.367 -18.4740
53.833012 80.350 -18.8542
54.199223 80.332 -19.2296
54.565434 80.315 -19.6020
54.931645 80.298 -19.9720
55.297856 80.279 -20.3383
55.664067 80.261 -20.6982
56.030278 80.242 -21.0494
56.396489 80.223 -21.3923
56.762700 80.204 -21.7295
57.128911 80.186 -22.0645
57.495122 80.168 -22.3993
57.861333 80.149 -22.7327
58.227544 80.129 -23.0607
58.593755 80.109 -23.3796
58.959966 80.088 -23.6879
59.326177 80.068 -23.9872
59.692388 80.049 -24.2811
60.058599 80.030 -24.5730
60.424810 80.011 -24.8640
60.791021 79.992 -25.1528
61.157232 79.972 -25.4365
61.523442 79.952 -25.7129
61.889653 79.932 -25.9817
62.255864 79.912 -26.2438
62.622075 79.893 -26.5013
62.988286 79.873 -26.7555
63.354497 79.853 -27.0068
63.720708 79.833 -27.2551
64.086919 79.812 -27.4996
64.453130 79.791 -27.7401
64.819341 79.770 -27.9764
65.185552 79.749 -28.2084
65.551763 79.727 -28.4359
65.917974 79.705 -28.6586
66.284185 79.683 -28.8766
66.650396 79.661 -29.0902
67.016607 79.640 -29.3002
67.382818 79.618 -29.5074
67.749029 79.596 -29.7123
68.115240 79.575 -29.9147
68.481451 79.553 -30.1142
68.847662 79.531 -30.3103
69.213873 79.509 -30.5030
69.580084 79.487 -30.6926
69.946295 79.466 -30.8796
70.312506 79.444 -31.0644
70.678717 79.422 -31.2468
71.044928 79.401 -31.4266
71.411139 79.379 -31.6035
71.777350 79.357 -31.7774
72.143561 79.335 -31.9481
72.509771 79.313 -32.1156
72.875982 79.291 -32.2797
73.242193 79.269 -32.4408
73.608404 79.247 -32.5998
73.974615 79.225 -32.7577
74.340826 79.203 -32.9149
74.707037 79.181 -33.0709
75.073248 79.158 -33.2238
75.439459 79.136 -33.3717
75.805670 79.113 -33.5140
76.171881 79.090 -33.6520
76.538092 79.069 -33.7884
76.904303 79.047 -33.9259
77.270514 79.026 -34.0655
77.636725 79.005 -34.2059
78.002936 78.982 -34.3447
78.369147 78.960 -34.4800
78.735358 78.938 -34.6118
79.101569 78.915 -34.7411
79.467780 78.893 -34.8695
79.833991 78.871 -34.9971
80.200202 78.848 -35.1229
80.566413 78.826 -35.2451
80.932624 78.803 -35.3633
81.298835 78.781 -35.4782
81.665046 78.760 -35.5922
82.031257 78.738 -35.7069
82.397468 78.717 -35.8230
82.763679 78.695 -35.9392
83.129890 78.673 -36.0537
83.496101 78.651 -36.1648
83.862311 78.629 -36.2723
84.228522 78.607 -36.3773
84.594733 78.586 -36.4813
84.960944 78.565 -36.5856
85.327155 78.543 -36.6905
85.693366 78.522 -36.7952
86.059577 78.500 -36.8984
86.425788 78.478 -36.9992
86.791999 78.456 -37.0973
87.158210 78.434 -37.1932
87.524421 78.413 -37.2877
87.890632 78.391 -37.3811
88.256843 78.370 -37.4737
88.623054 78.348 -37.5650
88.989265 78.326 -37.6547
89.355476 78.305 -37.7427
89.721687 78.283 -37.8291
90.087898 78.262 -37.9147
90.454109 78.241 -38.0000
90.820320 78.220 -38.0851
91.186531 78.199 -38.1702
91.552742 78.178 -38.2548
91.918953 78.157 -38.3388
92.285164 78.136 -38.4220
92.651375 78.115 -38.5042
93.017586 78.094 -38.5856
93.383797 78.074 -38.6664
93.750008 78.053 -38.7469
94.116219 78.032 -38.8272
94.482430 78.011 -38.9069
94.848641 77.990 -38.9857
95.214851 77.969 -39.0629
95.581062 77.948 -39.1383
95.947273 77.927 -39.2120
96.313484 77.906 -39.2843
96.679695 77.886 -39.3559
97.045906 77.865 -39.4272
97.412117 77.844 -39.4980
97.778328 77.823 -39.5677
98.144539 77.802 -39.6357
98.510750 77.781 -39.7015
98.876961 77.760 -39.7653
99.243172 77.740 -39.8279
99.609383 77.720 -39.8902
99.975594 77.700 -39.9530
100.341805 77.680 -40.0166
100.708016 77.659 -40.0807
101.074227 77.639 -40.1446
101.440438 77.619 -40.2080
101.806649 77.599 -40.2706
102.172860 77.579 -40.3321
102.539071 77.558 -40.3924
102.905282 77.538 -40.4514
103.271493 77.518 -40.5089
103.637704 77.498 -40.5652
104.003915 77.478 -40.6207
104.370126 77.459 -40.6757
104.736337 77.439 -40.7305
105.102548 77.419 -40.7850
105.468759 77.400 -40.8391
105.834970 77.380 -40.8926
106.201180 77.361 -40.9455
106.567391 77.341 -40.9982
106.933602 77.321 -41.0505
107.299813 77.302 -41.1022
107.666024 77.282 -41.1529
108.032235 77.262 -41.2021
108.398446 77.242 -41.2500
108.764657 77.223 -41.2968
109.130868 77.203 -41.3430
109.497079 77.184 -41.3887
109.863290 77.164 -41.4341
110.229501 77.145 -41.4793
110.595712 77.126 -41.5244
110.961923 77.107 -41.5701
111.328134 77.088 -41.6165
111.694345 77.069 -41.6637
112.060556 77.050 -41.7111
112.426767 77.031 -41.7578
112.792978 77.011 -41.8033
113.159189 76.992 -41.8473
113.525400 76.972 -41.8902
113.891611 76.953 -41.9323
114.257822 76.934 -41.9739
114.624033 76.915 -42.0152
114.990244 76.896 -42.0558
115.356455 76.877 -42.0956
115.722666 76.858 -42.1346
116.088877 76.840 -42.1728
116.455088 76.821 -42.2102
116.821299 76.802 -42.2465
117.187510 76.784 -42.2817
117.553720 76.766 -42.3161
117.919931 76.748 -42.3503
118.286142 76.730 -42.3854
118.652353 76.712 -42.4220
119.018564 76.695 -42.4603
119.384775 76.677 -42.4996
119.750986 76.659 -42.5386
120.117197 76.640 -42.5761
120.483408 76.622 -42.6117
120.849619 76.603 -42.6453
121.215830 76.585 -42.6777
121.582041 76.567 -42.7095
121.948252 76.549 -42.7411
122.314463 76.531 -42.7723
122.680674 76.513 -42.8031
123.046885 76.495 -42.8331
123.413096 76.478 -42.8624
123.779307 76.460 -42.8914
124.145518 76.443 -42.9203
124.511729 76.425 -42.9494
124.877940 76.408 -42.9785
125.244151 76.391 -43.0070
125.610362 76.374 -43.0347
125.976573 76.357 -43.0611
126.342784 76.341 -43.0866
126.708995 76.324 -43.1114
127.075206 76.308 -43.1360
127.441417 76.292 -43.1611
127.807628 76.276 -43.1867
128.173839 76.260 -43.2129
128.540049 76.244 -43.2395
128.906260 76.228 -43.2663
129.272471 76.211 -43.2928
129.638682 76.195 -43.3187
130.004893 76.179 -43.3439
130.371104 76.162 -43.3681
130.737315 76.146 -43.3916
131.103526 76.130 -43.4145
131.469737 76.114 -43.4370
131.835948 76.098 -43.4594
132.202159 76.082 -43.4819
132.568370 76.067 -43.5042
132.934581 76.051 -43.5263
133.300792 76.035 -43.5478
133.667003 76.020 -43.5687
134.033214 76.004 -43.5889
134.399425 75.989 -43.6085
134.765636 75.974 -43.6278
135.131847 75.959 -43.6471
135.498058 75.944 -43.6666
135.864269 75.929 -43.6865
136.230480 75.914 -43.7067
136.596691 75.899 -43.7269
136.962902 75.884 -43.7468
137.329113 75.869 -43.7660
137.695324 75.853 -43.7842
138.061535 75.838 -43.8016
138.427746 75.823 -43.8182
138.793957 75.807 -43.8341
139.160168 75.792 -43.8496
139.526379 75.777 -43.8648
139.892589 75.761 -43.8797
140.258800 75.746 -43.8946
140.625011 75.731 -43.9094
140.991222 75.716 -43.9241
141.357433 75.701 -43.9386
141.723644 75.686 -43.9526
142.089855 75.671 -43.9661
142.456066 75.656 -43.9790
142.822277 75.641 -43.9914
143.188488 75.626 -44.0034
143.554699 75.612 -44.0152
143.920910 75.597 -44.0271
144.287121 75.583 -44.0392
144.653332 75.569 -44.0517
145.019543 75.554 -44.0646
