* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:45:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Black Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.834 -70.4737
0.732422 64.598 -120.5141
1.098633 66.210 -160.2117
1.464844 66.597 164.7415
1.831055 65.700 132.6805
2.197266 63.062 103.9396
2.563477 56.778 84.4304
2.929688 50.575 175.0839
3.295899 61.406 -179.4120
3.662110 65.745 161.6298
4.028321 67.792 142.9852
4.394532 68.538 128.0339
4.760743 68.550 119.1056
5.126954 68.578 117.1908
5.493164 69.350 118.6378
5.859375 70.701 117.6507
6.225586 71.966 113.1072
6.591797 72.814 107.1016
6.958008 73.266 101.7599
7.324219 73.521 98.2001
7.690430 73.813 96.1808
8.056641 74.237 94.4713
8.422852 74.704 92.0826
8.789063 75.080 89.0072
9.155274 75.308 85.8546
9.521485 75.428 83.1793
9.887696 75.518 81.0851
10.253907 75.568 79.2602
10.620118 75.604 77.3500
10.986329 75.617 75.2717
11.352540 75.589 73.1867
11.718751 75.533 71.2653
12.084962 75.475 69.5175
12.451173 75.430 67.8275
12.817384 75.444 66.1103
13.183595 75.458 64.4001
13.549806 75.461 62.7912
13.916017 75.467 61.3200
14.282228 75.486 59.9256
14.648439 75.515 58.5218
15.014650 75.540 57.0926
15.380861 75.553 55.7049
15.747072 75.558 54.4322
16.113283 75.574 53.2794
16.479493 75.611 52.1820
16.845704 75.655 51.0743
17.211915 75.693 49.9492
17.578126 75.723 48.8507
17.944337 75.746 47.8179
18.310548 75.770 46.8460
18.676759 75.797 45.8974
19.042970 75.824 44.9455
19.409181 75.846 43.9971
19.775392 75.864 43.0753
20.141603 75.883 42.1880
20.507814 75.904 41.3192
20.874025 75.926 40.4509
21.240236 75.945 39.5859
21.606447 75.961 38.7450
21.972658 75.975 37.9422
22.338869 75.993 37.1664
22.705080 76.013 36.3899
23.071291 76.032 35.5957
23.437502 76.046 34.7954
23.803713 76.054 34.0195
24.169924 76.058 33.2926
24.536135 76.063 32.6154
24.902346 76.072 31.9679
25.268557 76.085 31.3256
25.634768 76.100 30.6727
26.000979 76.115 30.0047
26.367190 76.128 29.3246
26.733401 76.138 28.6400
27.099612 76.144 27.9622
27.465823 76.146 27.3025
27.832033 76.148 26.6658
28.198244 76.151 26.0460
28.564455 76.155 25.4315
28.930666 76.159 24.8157
29.296877 76.161 24.2024
29.663088 76.163 23.6018
30.029299 76.164 23.0190
30.395510 76.166 22.4485
30.761721 76.170 21.8795
31.127932 76.173 21.3060
31.494143 76.175 20.7329
31.860354 76.174 20.1705
32.226565 76.172 19.6254
32.592776 76.170 19.0959
32.958987 76.169 18.5758
33.325198 76.168 18.0608
33.691409 76.166 17.5504
34.057620 76.164 17.0453
34.423831 76.161 16.5438
34.790042 76.158 16.0431
35.156253 76.154 15.5430
35.522464 76.149 15.0479
35.888675 76.143 14.5631
36.254886 76.136 14.0897
36.621097 76.130 13.6238
36.987308 76.125 13.1600
37.353519 76.120 12.6968
37.719730 76.114 12.2366
38.085941 76.108 11.7828
38.452152 76.101 11.3361
38.818363 76.095 10.8936
39.184573 76.089 10.4536
39.550784 76.083 10.0177
39.916995 76.076 9.5892
40.283206 76.069 9.1703
40.649417 76.063 8.7593
41.015628 76.057 8.3526
41.381839 76.051 7.9482
41.748050 76.045 7.5470
42.114261 76.038 7.1506
42.480472 76.030 6.7600
42.846683 76.023 6.3743
43.212894 76.014 5.9928
43.579105 76.006 5.6161
43.945316 75.997 5.2458
44.311527 75.987 4.8823
44.677738 75.978 4.5240
45.043949 75.970 4.1694
45.410160 75.961 3.8173
45.776371 75.952 3.4685
46.142582 75.944 3.1233
46.508793 75.935 2.7802
46.875004 75.927 2.4368
47.241215 75.919 2.0923
47.607426 75.909 1.7483
47.973637 75.899 1.4091
48.339848 75.887 1.0789
48.706059 75.875 0.7590
49.072270 75.864 0.4483
49.438481 75.853 0.1439
49.804692 75.842 -0.1567
50.170902 75.832 -0.4554
50.537113 75.823 -0.7527
50.903324 75.813 -1.0492
51.269535 75.803 -1.3443
51.635746 75.793 -1.6376
52.001957 75.782 -1.9286
52.368168 75.771 -2.2177
52.734379 75.760 -2.5045
53.100590 75.749 -2.7887
53.466801 75.737 -3.0685
53.833012 75.724 -3.3419
54.199223 75.712 -3.6085
54.565434 75.700 -3.8695
54.931645 75.689 -4.1274
55.297856 75.678 -4.3843
55.664067 75.667 -4.6406
56.030278 75.655 -4.8955
56.396489 75.644 -5.1478
56.762700 75.632 -5.3969
57.128911 75.621 -5.6431
57.495122 75.609 -5.8865
57.861333 75.598 -6.1280
58.227544 75.586 -6.3682
58.593755 75.574 -6.6078
58.959966 75.562 -6.8470
59.326177 75.549 -7.0843
59.692388 75.535 -7.3169
60.058599 75.521 -7.5425
60.424810 75.508 -7.7610
60.791021 75.494 -7.9744
61.157232 75.482 -8.1857
61.523442 75.469 -8.3975
61.889653 75.457 -8.6099
62.255864 75.445 -8.8215
62.622075 75.432 -9.0312
62.988286 75.419 -9.2391
63.354497 75.406 -9.4462
63.720708 75.393 -9.6536
64.086919 75.379 -9.8609
64.453130 75.365 -10.0665
64.819341 75.350 -10.2681
65.185552 75.335 -10.4642
65.551763 75.320 -10.6548
65.917974 75.305 -10.8414
66.284185 75.291 -11.0260
66.650396 75.276 -11.2097
67.016607 75.262 -11.3923
67.382818 75.247 -11.5729
67.749029 75.233 -11.7505
68.115240 75.218 -11.9252
68.481451 75.204 -12.0983
68.847662 75.190 -12.2715
69.213873 75.176 -12.4462
69.580084 75.162 -12.6222
69.946295 75.147 -12.7982
70.312506 75.132 -12.9728
70.678717 75.117 -13.1442
71.044928 75.101 -13.3123
71.411139 75.086 -13.4772
71.777350 75.070 -13.6398
72.143561 75.054 -13.8000
72.509771 75.039 -13.9576
72.875982 75.023 -14.1119
73.242193 75.008 -14.2626
73.608404 74.993 -14.4103
73.974615 74.979 -14.5573
74.340826 74.965 -14.7054
74.707037 74.951 -14.8561
75.073248 74.936 -15.0083
75.439459 74.921 -15.1593
75.805670 74.906 -15.3064
76.171881 74.891 -15.4485
76.538092 74.876 -15.5873
76.904303 74.862 -15.7259
77.270514 74.847 -15.8665
77.636725 74.833 -16.0093
78.002936 74.818 -16.1522
78.369147 74.802 -16.2925
78.735358 74.785 -16.4280
79.101569 74.769 -16.5588
79.467780 74.753 -16.6864
79.833991 74.738 -16.8125
80.200202 74.723 -16.9384
80.566413 74.708 -17.0645
80.932624 74.693 -17.1907
81.298835 74.678 -17.3164
81.665046 74.663 -17.4415
82.031257 74.648 -17.5658
82.397468 74.633 -17.6895
82.763679 74.618 -17.8130
83.129890 74.604 -17.9368
83.496101 74.589 -18.0609
83.862311 74.574 -18.1849
84.228522 74.559 -18.3080
84.594733 74.544 -18.4287
84.960944 74.528 -18.5463
85.327155 74.513 -18.6605
85.693366 74.498 -18.7725
86.059577 74.483 -18.8834
86.425788 74.468 -18.9941
86.791999 74.453 -19.1043
87.158210 74.438 -19.2126
87.524421 74.422 -19.3173
87.890632 74.407 -19.4181
88.256843 74.391 -19.5161
88.623054 74.377 -19.6133
88.989265 74.362 -19.7112
89.355476 74.347 -19.8097
89.721687 74.332 -19.9069
90.087898 74.316 -20.0010
90.454109 74.302 -20.0918
90.820320 74.287 -20.1816
91.186531 74.274 -20.2744
91.552742 74.261 -20.3732
91.918953 74.248 -20.4789
92.285164 74.234 -20.5890
92.651375 74.218 -20.6996
93.017586 74.202 -20.8068
93.383797 74.186 -20.9083
93.750008 74.170 -21.0043
94.116219 74.153 -21.0963
94.482430 74.138 -21.1862
94.848641 74.122 -21.2748
95.214851 74.107 -21.3625
95.581062 74.092 -21.4496
95.947273 74.077 -21.5359
96.313484 74.062 -21.6213
96.679695 74.047 -21.7057
97.045906 74.031 -21.7879
97.412117 74.016 -21.8663
97.778328 74.000 -21.9399
98.144539 73.985 -22.0092
98.510750 73.971 -22.0767
98.876961 73.959 -22.1464
99.243172 73.947 -22.2220
99.609383 73.935 -22.3058
99.975594 73.922 -22.3972
100.341805 73.909 -22.4935
100.708016 73.894 -22.5905
101.074227 73.878 -22.6842
101.440438 73.862 -22.7721
101.806649 73.845 -22.8530
102.172860 73.829 -22.9280
102.539071 73.813 -22.9990
102.905282 73.798 -23.0684
103.271493 73.783 -23.1376
103.637704 73.769 -23.2071
104.003915 73.755 -23.2772
104.370126 73.741 -23.3483
104.736337 73.727 -23.4214
105.102548 73.713 -23.4971
105.468759 73.698 -23.5737
105.834970 73.681 -23.6464
106.201180 73.663 -23.7092
106.567391 73.646 -23.7577
106.933602 73.629 -23.7924
107.299813 73.615 -23.8201
107.666024 73.604 -23.8511
108.032235 73.594 -23.8950
108.398446 73.585 -23.9557
108.764657 73.575 -24.0309
109.130868 73.563 -24.1140
109.497079 73.550 -24.1987
109.863290 73.536 -24.2820
110.229501 73.521 -24.3641
110.595712 73.506 -24.4468
110.961923 73.490 -24.5304
111.328134 73.473 -24.6128
111.694345 73.456 -24.6906
112.060556 73.438 -24.7610
112.426767 73.420 -24.8234
112.792978 73.403 -24.8789
113.159189 73.387 -24.9302
113.525400 73.372 -24.9792
113.891611 73.358 -25.0276
114.257822 73.344 -25.0762
114.624033 73.330 -25.1257
114.990244 73.317 -25.1766
115.356455 73.305 -25.2290
115.722666 73.292 -25.2827
116.088877 73.279 -25.3371
116.455088 73.265 -25.3917
116.821299 73.251 -25.4462
117.187510 73.237 -25.5004
117.553720 73.223 -25.5536
117.919931 73.208 -25.6049
118.286142 73.192 -25.6529
118.652353 73.176 -25.6967
119.018564 73.160 -25.7361
119.384775 73.145 -25.7726
119.750986 73.130 -25.8079
120.117197 73.116 -25.8439
120.483408 73.102 -25.8817
120.849619 73.088 -25.9220
121.215830 73.075 -25.9647
121.582041 73.062 -26.0095
121.948252 73.049 -26.0566
122.314463 73.036 -26.1058
122.680674 73.024 -26.1575
123.046885 73.011 -26.2107
123.413096 72.998 -26.2645
123.779307 72.985 -26.3179
124.145518 72.972 -26.3699
124.511729 72.959 -26.4201
124.877940 72.946 -26.4686
125.244151 72.933 -26.5157
125.610362 72.920 -26.5614
125.976573 72.908 -26.6055
126.342784 72.895 -26.6477
126.708995 72.882 -26.6876
127.075206 72.869 -26.7250
127.441417 72.857 -26.7603
127.807628 72.844 -26.7937
128.173839 72.832 -26.8262
128.540049 72.820 -26.8586
128.906260 72.808 -26.8919
129.272471 72.796 -26.9266
129.638682 72.784 -26.9628
130.004893 72.772 -27.0000
130.371104 72.760 -27.0377
130.737315 72.748 -27.0752
131.103526 72.736 -27.1125
131.469737 72.724 -27.1501
131.835948 72.713 -27.1888
132.202159 72.701 -27.2288
132.568370 72.689 -27.2699
132.934581 72.678 -27.3109
133.300792 72.666 -27.3506
133.667003 72.654 -27.3881
134.033214 72.642 -27.4227
134.399425 72.630 -27.4548
134.765636 72.618 -27.4847
135.131847 72.606 -27.5134
135.498058 72.595 -27.5411
135.864269 72.583 -27.5682
136.230480 72.572 -27.5950
136.596691 72.560 -27.6215
136.962902 72.549 -27.6476
137.329113 72.537 -27.6737
137.695324 72.525 -27.6996
138.061535 72.513 -27.7256
138.427746 72.501 -27.7520
138.793957 72.490 -27.7792
139.160168 72.478 -27.8080
139.526379 72.466 -27.8384
139.892589 72.454 -27.8705
140.258800 72.442 -27.9041
140.625011 72.430 -27.9385
140.991222 72.417 -27.9731
141.357433 72.405 -28.0078
141.723644 72.393 -28.0425
142.089855 72.382 -28.0775
142.456066 72.370 -28.1128
142.822277 72.359 -28.1486
143.188488 72.347 -28.1844
143.554699 72.336 -28.2200
143.920910 72.325 -28.2546
144.287121 72.314 -28.2878
144.653332 72.303 -28.3193
145.019543 72.292 -28.3491
145.385754 72.281 -28.3772
145.751965 72.270 -28.4038
