* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:45:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Black Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.264 -31.6173
0.732422 65.260 -65.8876
1.098633 61.880 -108.0560
1.464844 58.369 -167.3567
1.831055 57.771 128.4020
2.197266 57.526 82.1735
2.563477 53.973 45.4163
2.929688 38.126 -62.4711
3.295899 55.729 -172.1785
3.662110 61.373 162.6547
4.028321 63.818 143.3787
4.394532 64.594 129.4529
4.760743 64.473 122.8951
5.126954 64.489 124.4951
5.493164 65.526 128.3677
5.859375 67.117 127.5706
6.225586 68.445 122.3950
6.591797 69.259 115.8896
6.958008 69.675 110.4161
7.324219 69.964 106.9569
7.690430 70.379 104.8843
8.056641 70.972 102.7033
8.422852 71.602 99.5738
8.789063 72.122 95.7885
9.155274 72.497 92.1097
9.521485 72.785 89.0577
9.887696 73.064 86.6162
10.253907 73.303 84.4061
10.620118 73.511 82.1162
10.986329 73.676 79.7443
11.352540 73.783 77.4841
11.718751 73.851 75.4728
12.084962 73.905 73.6657
12.451173 73.953 71.9206
12.817384 74.040 70.1572
13.183595 74.106 68.4189
13.549806 74.146 66.7917
13.916017 74.176 65.2890
14.282228 74.206 63.8342
14.648439 74.234 62.3417
15.014650 74.249 60.8037
15.380861 74.247 59.2880
15.747072 74.235 57.8613
16.113283 74.233 56.5207
16.479493 74.251 55.2078
16.845704 74.274 53.8739
17.211915 74.292 52.5330
17.578126 74.304 51.2380
17.944337 74.315 50.0264
18.310548 74.330 48.8865
18.676759 74.349 47.7805
19.042970 74.369 46.6891
19.409181 74.384 45.6320
19.775392 74.395 44.6387
20.141603 74.408 43.7122
20.507814 74.426 42.8228
20.874025 74.445 41.9355
21.240236 74.461 41.0419
21.606447 74.469 40.1618
21.972658 74.473 39.3170
22.338869 74.474 38.5089
22.705080 74.477 37.7196
23.071291 74.479 36.9338
23.437502 74.481 36.1495
23.803713 74.481 35.3776
24.169924 74.482 34.6210
24.536135 74.486 33.8714
24.902346 74.491 33.1186
25.268557 74.496 32.3640
25.634768 74.501 31.6212
26.000979 74.504 30.9048
26.367190 74.509 30.2173
26.733401 74.517 29.5500
27.099612 74.526 28.8935
27.465823 74.535 28.2462
27.832033 74.543 27.6131
28.198244 74.550 26.9998
28.564455 74.556 26.4069
28.930666 74.561 25.8318
29.296877 74.564 25.2731
29.663088 74.567 24.7299
30.029299 74.569 24.1989
30.395510 74.571 23.6747
30.761721 74.571 23.1542
31.127932 74.570 22.6386
31.494143 74.567 22.1339
31.860354 74.564 21.6420
32.226565 74.562 21.1562
32.592776 74.561 20.6652
32.958987 74.561 20.1620
33.325198 74.558 19.6524
33.691409 74.553 19.1504
34.057620 74.547 18.6675
34.423831 74.542 18.2032
34.790042 74.540 17.7485
35.156253 74.539 17.2932
35.522464 74.538 16.8354
35.888675 74.536 16.3808
36.254886 74.533 15.9360
36.621097 74.529 15.5038
36.987308 74.525 15.0837
37.353519 74.521 14.6741
37.719730 74.517 14.2742
38.085941 74.513 13.8828
38.452152 74.509 13.4977
38.818363 74.505 13.1150
39.184573 74.500 12.7334
39.550784 74.494 12.3547
39.916995 74.487 11.9824
40.283206 74.480 11.6182
40.649417 74.474 11.2606
41.015628 74.468 10.9062
41.381839 74.462 10.5536
41.748050 74.456 10.2038
42.114261 74.449 9.8575
42.480472 74.443 9.5153
42.846683 74.436 9.1754
43.212894 74.430 8.8371
43.579105 74.423 8.5021
43.945316 74.416 8.1724
44.311527 74.409 7.8491
44.677738 74.402 7.5305
45.043949 74.395 7.2142
45.410160 74.388 6.8995
45.776371 74.381 6.5873
46.142582 74.373 6.2793
46.508793 74.365 5.9766
46.875004 74.357 5.6782
47.241215 74.349 5.3836
47.607426 74.340 5.0934
47.973637 74.332 4.8083
48.339848 74.323 4.5292
48.706059 74.315 4.2542
49.072270 74.307 3.9807
49.438481 74.299 3.7071
49.804692 74.291 3.4341
50.170902 74.282 3.1635
50.537113 74.273 2.8974
50.903324 74.265 2.6363
51.269535 74.256 2.3790
51.635746 74.247 2.1236
52.001957 74.239 1.8692
52.368168 74.229 1.6155
52.734379 74.220 1.3643
53.100590 74.209 1.1182
53.466801 74.199 0.8793
53.833012 74.189 0.6472
54.199223 74.179 0.4189
54.565434 74.170 0.1901
54.931645 74.161 -0.0418
55.297856 74.153 -0.2764
55.664067 74.143 -0.5107
56.030278 74.133 -0.7416
56.396489 74.123 -0.9680
56.762700 74.112 -1.1911
57.128911 74.103 -1.4124
57.495122 74.092 -1.6324
57.861333 74.082 -1.8497
58.227544 74.072 -2.0626
58.593755 74.062 -2.2715
58.959966 74.052 -2.4780
59.326177 74.042 -2.6836
59.692388 74.032 -2.8886
60.058599 74.022 -3.0920
60.424810 74.011 -3.2923
60.791021 74.000 -3.4883
61.157232 73.989 -3.6804
61.523442 73.978 -3.8689
61.889653 73.967 -4.0547
62.255864 73.957 -4.2384
62.622075 73.946 -4.4214
62.988286 73.936 -4.6057
63.354497 73.925 -4.7921
63.720708 73.914 -4.9808
64.086919 73.902 -5.1701
64.453130 73.889 -5.3574
64.819341 73.875 -5.5400
65.185552 73.862 -5.7171
65.551763 73.849 -5.8892
65.917974 73.836 -6.0579
66.284185 73.824 -6.2251
66.650396 73.811 -6.3918
67.016607 73.799 -6.5579
67.382818 73.787 -6.7227
67.749029 73.775 -6.8860
68.115240 73.764 -7.0483
68.481451 73.752 -7.2109
68.847662 73.740 -7.3744
69.213873 73.728 -7.5379
69.580084 73.715 -7.6996
69.946295 73.702 -7.8575
70.312506 73.689 -8.0112
70.678717 73.675 -8.1615
71.044928 73.662 -8.3102
71.411139 73.649 -8.4575
71.777350 73.636 -8.6028
72.143561 73.623 -8.7448
72.509771 73.611 -8.8845
72.875982 73.599 -9.0248
73.242193 73.588 -9.1699
73.608404 73.576 -9.3214
73.974615 73.564 -9.4775
74.340826 73.550 -9.6328
74.707037 73.535 -9.7813
75.073248 73.520 -9.9197
75.439459 73.505 -10.0490
75.805670 73.491 -10.1736
76.171881 73.478 -10.2985
76.538092 73.466 -10.4266
76.904303 73.454 -10.5582
77.270514 73.442 -10.6911
77.636725 73.429 -10.8237
78.002936 73.417 -10.9545
78.369147 73.404 -11.0840
78.735358 73.391 -11.2121
79.101569 73.378 -11.3388
79.467780 73.365 -11.4637
79.833991 73.352 -11.5867
80.200202 73.340 -11.7084
80.566413 73.327 -11.8294
80.932624 73.315 -11.9503
81.298835 73.302 -12.0710
81.665046 73.290 -12.1909
82.031257 73.277 -12.3091
82.397468 73.264 -12.4251
82.763679 73.251 -12.5385
83.129890 73.237 -12.6487
83.496101 73.224 -12.7556
83.862311 73.211 -12.8594
84.228522 73.199 -12.9620
84.594733 73.187 -13.0656
84.960944 73.175 -13.1721
85.327155 73.163 -13.2820
85.693366 73.151 -13.3939
86.059577 73.138 -13.5060
86.425788 73.125 -13.6164
86.791999 73.111 -13.7248
87.158210 73.098 -13.8320
87.524421 73.085 -13.9393
87.890632 73.072 -14.0471
88.256843 73.058 -14.1549
88.623054 73.045 -14.2614
88.989265 73.031 -14.3652
89.355476 73.017 -14.4658
89.721687 73.003 -14.5633
90.087898 72.990 -14.6586
90.454109 72.977 -14.7529
90.820320 72.964 -14.8469
91.186531 72.952 -14.9404
91.552742 72.939 -15.0330
91.918953 72.927 -15.1243
92.285164 72.914 -15.2144
92.651375 72.902 -15.3040
93.017586 72.890 -15.3935
93.383797 72.877 -15.4828
93.750008 72.864 -15.5707
94.116219 72.851 -15.6556
94.482430 72.839 -15.7374
94.848641 72.826 -15.8173
95.214851 72.815 -15.8985
95.581062 72.803 -15.9838
95.947273 72.792 -16.0742
96.313484 72.779 -16.1682
96.679695 72.766 -16.2628
97.045906 72.752 -16.3546
97.412117 72.738 -16.4417
97.778328 72.723 -16.5242
98.144539 72.709 -16.6036
98.510750 72.696 -16.6815
98.876961 72.682 -16.7589
99.243172 72.669 -16.8364
99.609383 72.656 -16.9136
99.975594 72.643 -16.9905
100.341805 72.630 -17.0668
100.708016 72.617 -17.1425
101.074227 72.604 -17.2175
101.440438 72.591 -17.2917
101.806649 72.579 -17.3649
102.172860 72.566 -17.4368
102.539071 72.553 -17.5071
102.905282 72.540 -17.5762
103.271493 72.528 -17.6446
103.637704 72.515 -17.7131
104.003915 72.503 -17.7820
104.370126 72.490 -17.8512
104.736337 72.477 -17.9191
105.102548 72.464 -17.9843
105.468759 72.451 -18.0463
105.834970 72.439 -18.1064
106.201180 72.427 -18.1671
106.567391 72.416 -18.2313
106.933602 72.405 -18.3004
107.299813 72.393 -18.3733
107.666024 72.381 -18.4477
108.032235 72.368 -18.5209
108.398446 72.354 -18.5916
108.764657 72.341 -18.6600
109.130868 72.328 -18.7274
109.497079 72.315 -18.7947
109.863290 72.301 -18.8620
110.229501 72.288 -18.9284
110.595712 72.275 -18.9932
110.961923 72.261 -19.0561
111.328134 72.248 -19.1173
111.694345 72.235 -19.1776
112.060556 72.223 -19.2372
112.426767 72.210 -19.2964
112.792978 72.198 -19.3553
113.159189 72.186 -19.4141
113.525400 72.174 -19.4727
113.891611 72.162 -19.5312
114.257822 72.150 -19.5891
114.624033 72.138 -19.6455
114.990244 72.126 -19.7001
115.356455 72.114 -19.7525
115.722666 72.102 -19.8030
116.088877 72.090 -19.8523
116.455088 72.078 -19.9010
116.821299 72.066 -19.9498
117.187510 72.055 -19.9988
117.553720 72.043 -20.0480
117.919931 72.031 -20.0967
118.286142 72.018 -20.1443
118.652353 72.006 -20.1907
119.018564 71.993 -20.2361
119.384775 71.981 -20.2818
119.750986 71.969 -20.3290
120.117197 71.957 -20.3785
120.483408 71.945 -20.4304
120.849619 71.932 -20.4838
121.215830 71.920 -20.5377
121.582041 71.907 -20.5911
121.948252 71.894 -20.6437
122.314463 71.881 -20.6957
122.680674 71.868 -20.7473
123.046885 71.856 -20.7987
123.413096 71.843 -20.8495
123.779307 71.831 -20.8994
124.145518 71.819 -20.9480
124.511729 71.807 -20.9952
124.877940 71.795 -21.0410
125.244151 71.784 -21.0851
125.610362 71.773 -21.1272
125.976573 71.763 -21.1675
126.342784 71.753 -21.2068
126.708995 71.743 -21.2462
127.075206 71.733 -21.2864
127.441417 71.724 -21.3279
127.807628 71.714 -21.3696
128.173839 71.703 -21.4102
128.540049 71.692 -21.4485
128.906260 71.681 -21.4843
129.272471 71.670 -21.5186
129.638682 71.659 -21.5526
130.004893 71.649 -21.5876
130.371104 71.638 -21.6243
130.737315 71.627 -21.6620
131.103526 71.617 -21.7004
131.469737 71.606 -21.7390
131.835948 71.595 -21.7776
132.202159 71.584 -21.8167
132.568370 71.573 -21.8564
132.934581 71.563 -21.8969
133.300792 71.552 -21.9377
133.667003 71.542 -21.9783
134.033214 71.532 -22.0180
134.399425 71.521 -22.0565
134.765636 71.511 -22.0936
135.131847 71.501 -22.1296
135.498058 71.491 -22.1645
135.864269 71.482 -22.1973
136.230480 71.472 -22.2272
136.596691 71.462 -22.2534
136.962902 71.453 -22.2769
137.329113 71.445 -22.2999
137.695324 71.438 -22.3260
138.061535 71.430 -22.3582
138.427746 71.423 -22.3969
138.793957 71.414 -22.4402
139.160168 71.403 -22.4836
139.526379 71.392 -22.5226
139.892589 71.380 -22.5547
140.258800 71.367 -22.5799
140.625011 71.355 -22.6005
140.991222 71.344 -22.6199
141.357433 71.333 -22.6406
141.723644 71.323 -22.6635
142.089855 71.312 -22.6883
142.456066 71.302 -22.7141
142.822277 71.291 -22.7405
143.188488 71.281 -22.7675
143.554699 71.270 -22.7952
143.920910 71.260 -22.8241
144.287121 71.250 -22.8541
144.653332 71.239 -22.8847
145.019543 71.229 -22.9154
145.385754 71.218 -22.9456
145.751965 71.208 -22.9750
146.118176 71.197 -23.0033
