* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:52:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Blue Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.930 -67.0764
0.732422 65.345 -117.3224
1.098633 66.816 -157.7173
1.464844 67.153 166.6056
1.831055 66.263 133.9095
2.197266 63.712 104.2739
2.563477 57.760 82.0457
2.929688 48.797 169.9985
3.295899 61.068 -177.9379
3.662110 65.666 162.6586
4.028321 67.811 143.5536
4.394532 68.600 128.1521
4.760743 68.616 118.7841
5.126954 68.608 116.5872
5.493164 69.340 118.0733
5.859375 70.688 117.2299
6.225586 71.967 112.7051
6.591797 72.825 106.5888
6.958008 73.271 101.0721
7.324219 73.502 97.3574
7.690430 73.758 95.2823
8.056641 74.151 93.6210
8.422852 74.599 91.3105
8.789063 74.964 88.2795
9.155274 75.181 85.1260
9.521485 75.287 82.4278
9.887696 75.361 80.3168
10.253907 75.394 78.4932
10.620118 75.416 76.5941
10.986329 75.418 74.5243
11.352540 75.382 72.4422
11.718751 75.318 70.5226
12.084962 75.255 68.7780
12.451173 75.207 67.0900
12.817384 75.221 65.3688
13.183595 75.236 63.6481
13.549806 75.241 62.0262
13.916017 75.249 60.5447
14.282228 75.271 59.1435
14.648439 75.302 57.7348
15.014650 75.330 56.3019
15.380861 75.344 54.9135
15.747072 75.352 53.6457
16.113283 75.369 52.5037
16.479493 75.408 51.4187
16.845704 75.453 50.3192
17.211915 75.492 49.1964
17.578126 75.520 48.0974
17.944337 75.541 47.0681
18.310548 75.561 46.1075
18.676759 75.585 45.1761
19.042970 75.610 44.2402
19.409181 75.631 43.2996
19.775392 75.648 42.3765
20.141603 75.665 41.4843
20.507814 75.684 40.6150
20.874025 75.705 39.7530
21.240236 75.725 38.8940
21.606447 75.743 38.0470
21.972658 75.761 37.2190
22.338869 75.779 36.4055
22.705080 75.796 35.5986
23.071291 75.811 34.8017
23.437502 75.822 34.0307
23.803713 75.832 33.2984
24.169924 75.844 32.5999
24.536135 75.858 31.9144
24.902346 75.872 31.2263
25.268557 75.884 30.5384
25.634768 75.893 29.8670
26.000979 75.901 29.2212
26.367190 75.911 28.5898
26.733401 75.922 27.9503
27.099612 75.932 27.2903
27.465823 75.937 26.6193
27.832033 75.937 25.9604
28.198244 75.933 25.3318
28.564455 75.930 24.7329
28.930666 75.930 24.1498
29.296877 75.932 23.5685
29.663088 75.934 22.9837
30.029299 75.936 22.3964
30.395510 75.939 21.8085
30.761721 75.940 21.2217
31.127932 75.939 20.6405
31.494143 75.938 20.0735
31.860354 75.935 19.5276
32.226565 75.934 19.0006
32.592776 75.935 18.4813
32.958987 75.936 17.9573
33.325198 75.937 17.4258
33.691409 75.935 16.8959
34.057620 75.931 16.3805
34.423831 75.926 15.8850
34.790042 75.922 15.4036
35.156253 75.918 14.9253
35.522464 75.915 14.4434
35.888675 75.910 13.9601
36.254886 75.903 13.4840
36.621097 75.895 13.0217
36.987308 75.887 12.5737
37.353519 75.881 12.1334
37.719730 75.877 11.6918
38.085941 75.872 11.2424
38.452152 75.867 10.7856
38.818363 75.859 10.3293
39.184573 75.849 9.8851
39.550784 75.838 9.4617
39.916995 75.828 9.0598
40.283206 75.820 8.6708
40.649417 75.816 8.2822
41.015628 75.812 7.8854
41.381839 75.808 7.4809
41.748050 75.803 7.0761
42.114261 75.795 6.6788
42.480472 75.788 6.2916
42.846683 75.780 5.9119
43.212894 75.772 5.5359
43.579105 75.764 5.1628
43.945316 75.755 4.7950
44.311527 75.746 4.4342
44.677738 75.736 4.0797
45.043949 75.727 3.7288
45.410160 75.718 3.3793
45.776371 75.709 3.0312
46.142582 75.699 2.6869
46.508793 75.688 2.3477
46.875004 75.677 2.0145
47.241215 75.667 1.6865
47.607426 75.656 1.3632
47.973637 75.645 1.0444
48.339848 75.635 0.7294
48.706059 75.624 0.4171
49.072270 75.614 0.1064
49.438481 75.603 -0.2022
49.804692 75.592 -0.5074
50.170902 75.581 -0.8073
50.537113 75.570 -1.1012
50.903324 75.559 -1.3899
51.269535 75.548 -1.6749
51.635746 75.537 -1.9580
52.001957 75.527 -2.2402
52.368168 75.516 -2.5220
52.734379 75.505 -2.8026
53.100590 75.494 -3.0807
53.466801 75.482 -3.3540
53.833012 75.469 -3.6210
54.199223 75.457 -3.8815
54.565434 75.446 -4.1373
54.931645 75.434 -4.3909
55.297856 75.424 -4.6442
55.664067 75.413 -4.8983
56.030278 75.402 -5.1532
56.396489 75.390 -5.4077
56.762700 75.377 -5.6595
57.128911 75.364 -5.9054
57.495122 75.350 -6.1422
57.861333 75.337 -6.3691
58.227544 75.324 -6.5894
58.593755 75.313 -6.8085
58.959966 75.303 -7.0320
59.326177 75.292 -7.2617
59.692388 75.280 -7.4949
60.058599 75.267 -7.7261
60.424810 75.254 -7.9515
60.791021 75.240 -8.1696
61.157232 75.226 -8.3820
61.523442 75.212 -8.5909
61.889653 75.198 -8.7972
62.255864 75.184 -9.0010
62.622075 75.171 -9.2020
62.988286 75.157 -9.4012
63.354497 75.143 -9.5995
63.720708 75.129 -9.7976
64.086919 75.115 -9.9948
64.453130 75.100 -10.1899
64.819341 75.085 -10.3826
65.185552 75.071 -10.5729
65.551763 75.056 -10.7620
65.917974 75.042 -10.9503
66.284185 75.027 -11.1376
66.650396 75.012 -11.3226
67.016607 74.997 -11.5043
67.382818 74.982 -11.6823
67.749029 74.967 -11.8575
68.115240 74.953 -12.0313
68.481451 74.939 -12.2051
68.847662 74.924 -12.3791
69.213873 74.910 -12.5520
69.580084 74.895 -12.7221
69.946295 74.880 -12.8883
70.312506 74.865 -13.0509
70.678717 74.850 -13.2118
71.044928 74.836 -13.3727
71.411139 74.822 -13.5342
71.777350 74.807 -13.6949
72.143561 74.792 -13.8530
72.509771 74.776 -14.0075
72.875982 74.762 -14.1595
73.242193 74.747 -14.3119
73.608404 74.732 -14.4667
73.974615 74.717 -14.6237
74.340826 74.701 -14.7796
74.707037 74.684 -14.9296
75.073248 74.667 -15.0703
75.439459 74.650 -15.2018
75.805670 74.635 -15.3285
76.171881 74.621 -15.4561
76.538092 74.608 -15.5892
76.904303 74.594 -15.7287
77.270514 74.581 -15.8722
77.636725 74.566 -16.0161
78.002936 74.552 -16.1583
78.369147 74.537 -16.2990
78.735358 74.522 -16.4392
79.101569 74.506 -16.5795
79.467780 74.490 -16.7181
79.833991 74.473 -16.8519
80.200202 74.456 -16.9783
80.566413 74.439 -17.0970
80.932624 74.423 -17.2103
81.298835 74.409 -17.3220
81.665046 74.394 -17.4355
82.031257 74.381 -17.5529
82.397468 74.367 -17.6743
82.763679 74.352 -17.7984
83.129890 74.337 -17.9229
83.496101 74.322 -18.0447
83.862311 74.306 -18.1615
84.228522 74.290 -18.2729
84.594733 74.275 -18.3809
84.960944 74.261 -18.4894
85.327155 74.247 -18.6021
85.693366 74.233 -18.7201
86.059577 74.218 -18.8412
86.425788 74.203 -18.9609
86.791999 74.186 -19.0753
87.158210 74.170 -19.1827
87.524421 74.154 -19.2849
87.890632 74.139 -19.3850
88.256843 74.124 -19.4855
88.623054 74.109 -19.5872
88.989265 74.094 -19.6887
89.355476 74.079 -19.7882
89.721687 74.063 -19.8849
90.087898 74.048 -19.9796
90.454109 74.034 -20.0735
90.820320 74.020 -20.1680
91.186531 74.005 -20.2634
91.552742 73.991 -20.3593
91.918953 73.976 -20.4546
92.285164 73.962 -20.5492
92.651375 73.947 -20.6432
93.017586 73.933 -20.7372
93.383797 73.918 -20.8312
93.750008 73.903 -20.9250
94.116219 73.888 -21.0182
94.482430 73.873 -21.1102
94.848641 73.858 -21.2004
95.214851 73.842 -21.2885
95.581062 73.827 -21.3741
95.947273 73.811 -21.4576
96.313484 73.796 -21.5396
96.679695 73.781 -21.6205
97.045906 73.767 -21.7013
97.412117 73.752 -21.7820
97.778328 73.737 -21.8627
98.144539 73.722 -21.9429
98.510750 73.708 -22.0226
98.876961 73.693 -22.1019
99.243172 73.678 -22.1807
99.609383 73.664 -22.2592
99.975594 73.649 -22.3370
100.341805 73.634 -22.4142
100.708016 73.619 -22.4904
101.074227 73.604 -22.5660
101.440438 73.590 -22.6412
101.806649 73.575 -22.7164
102.172860 73.560 -22.7915
102.539071 73.546 -22.8662
102.905282 73.531 -22.9399
103.271493 73.516 -23.0126
103.637704 73.501 -23.0840
104.003915 73.487 -23.1545
104.370126 73.472 -23.2246
104.736337 73.458 -23.2947
105.102548 73.444 -23.3651
105.468759 73.429 -23.4357
105.834970 73.415 -23.5063
106.201180 73.400 -23.5765
106.567391 73.386 -23.6460
106.933602 73.371 -23.7144
107.299813 73.357 -23.7816
107.666024 73.342 -23.8474
108.032235 73.328 -23.9117
108.398446 73.313 -23.9747
108.764657 73.299 -24.0365
109.130868 73.284 -24.0972
109.497079 73.270 -24.1573
109.863290 73.256 -24.2170
110.229501 73.242 -24.2765
110.595712 73.228 -24.3356
110.961923 73.214 -24.3944
111.328134 73.200 -24.4529
111.694345 73.186 -24.5112
112.060556 73.172 -24.5695
112.426767 73.158 -24.6274
112.792978 73.144 -24.6851
113.159189 73.130 -24.7421
113.525400 73.115 -24.7981
113.891611 73.101 -24.8530
114.257822 73.087 -24.9067
114.624033 73.073 -24.9597
114.990244 73.058 -25.0121
115.356455 73.044 -25.0643
115.722666 73.030 -25.1163
116.088877 73.016 -25.1680
116.455088 73.002 -25.2192
116.821299 72.988 -25.2698
117.187510 72.974 -25.3199
117.553720 72.959 -25.3694
117.919931 72.945 -25.4185
118.286142 72.932 -25.4673
118.652353 72.918 -25.5160
119.018564 72.904 -25.5646
119.384775 72.890 -25.6134
119.750986 72.877 -25.6626
120.117197 72.863 -25.7122
120.483408 72.849 -25.7620
120.849619 72.835 -25.8118
121.215830 72.822 -25.8611
121.582041 72.808 -25.9099
121.948252 72.794 -25.9577
122.314463 72.780 -26.0044
122.680674 72.766 -26.0499
123.046885 72.752 -26.0938
123.413096 72.738 -26.1357
123.779307 72.724 -26.1761
124.145518 72.711 -26.2150
124.511729 72.698 -26.2532
124.877940 72.685 -26.2913
125.244151 72.673 -26.3297
125.610362 72.661 -26.3685
125.976573 72.648 -26.4073
126.342784 72.636 -26.4457
126.708995 72.624 -26.4833
127.075206 72.612 -26.5201
127.441417 72.600 -26.5568
127.807628 72.588 -26.5938
128.173839 72.576 -26.6313
128.540049 72.564 -26.6697
128.906260 72.552 -26.7089
129.272471 72.540 -26.7488
129.638682 72.528 -26.7892
130.004893 72.516 -26.8298
130.371104 72.503 -26.8704
130.737315 72.491 -26.9105
131.103526 72.479 -26.9500
131.469737 72.467 -26.9885
131.835948 72.454 -27.0261
132.202159 72.442 -27.0627
132.568370 72.431 -27.0983
132.934581 72.419 -27.1326
133.300792 72.407 -27.1657
133.667003 72.396 -27.1978
134.033214 72.385 -27.2291
134.399425 72.374 -27.2603
134.765636 72.363 -27.2914
135.131847 72.352 -27.3227
135.498058 72.341 -27.3540
135.864269 72.329 -27.3851
136.230480 72.318 -27.4155
136.596691 72.307 -27.4452
136.962902 72.295 -27.4741
137.329113 72.283 -27.5024
137.695324 72.271 -27.5304
138.061535 72.260 -27.5581
138.427746 72.248 -27.5856
138.793957 72.236 -27.6130
139.160168 72.224 -27.6404
139.526379 72.212 -27.6677
139.892589 72.200 -27.6948
140.258800 72.188 -27.7218
140.625011 72.176 -27.7485
140.991222 72.164 -27.7749
141.357433 72.152 -27.8010
141.723644 72.141 -27.8269
142.089855 72.129 -27.8527
142.456066 72.118 -27.8787
142.822277 72.107 -27.9050
143.188488 72.097 -27.9317
143.554699 72.086 -27.9587
143.920910 72.075 -27.9856
144.287121 72.064 -28.0121
144.653332 72.053 -28.0375
145.019543 72.043 -28.0617
145.385754 72.032 -28.0846
145.751965 72.021 -28.1063
