* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:53:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Gold Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.872 -67.1508
0.732422 65.294 -117.5131
1.098633 66.783 -157.9875
1.464844 67.145 166.3279
1.831055 66.283 133.7227
2.197266 63.761 104.3370
2.563477 57.863 82.8382
2.929688 49.303 167.5236
3.295899 61.200 -178.9725
3.662110 65.789 162.1196
4.028321 67.939 143.2638
4.394532 68.739 128.0045
4.760743 68.768 118.6732
5.126954 68.765 116.3904
5.493164 69.483 117.7640
5.859375 70.807 116.9015
6.225586 72.071 112.4124
6.591797 72.922 106.3229
6.958008 73.364 100.7991
7.324219 73.591 97.0434
7.690430 73.839 94.9155
8.056641 74.220 93.2175
8.422852 74.658 90.8923
8.789063 75.014 87.8563
9.155274 75.224 84.6982
9.521485 75.323 81.9978
9.887696 75.390 79.8959
10.253907 75.418 78.0959
10.620118 75.438 76.2256
10.986329 75.441 74.1756
11.352540 75.406 72.0965
11.718751 75.343 70.1675
12.084962 75.278 68.4164
12.451173 75.226 66.7387
12.817384 75.237 65.0478
13.183595 75.252 63.3672
13.549806 75.261 61.7796
13.916017 75.274 60.3154
14.282228 75.300 58.9147
14.648439 75.334 57.5002
15.014650 75.362 56.0660
15.380861 75.377 54.6846
15.747072 75.385 53.4289
16.113283 75.404 52.2961
16.479493 75.446 51.2135
16.845704 75.492 50.1127
17.211915 75.531 48.9905
17.578126 75.559 47.8990
17.944337 75.579 46.8828
18.310548 75.600 45.9362
18.676759 75.625 45.0157
19.042970 75.650 44.0879
19.409181 75.671 43.1568
19.775392 75.688 42.2473
20.141603 75.705 41.3707
20.507814 75.726 40.5122
20.874025 75.749 39.6507
21.240236 75.769 38.7824
21.606447 75.786 37.9243
21.972658 75.801 37.0923
22.338869 75.816 36.2864
22.705080 75.832 35.4941
23.071291 75.848 34.7085
23.437502 75.861 33.9376
23.803713 75.872 33.1926
24.169924 75.884 32.4735
24.536135 75.896 31.7665
24.902346 75.909 31.0596
25.268557 75.918 30.3562
25.634768 75.925 29.6721
26.000979 75.930 29.0171
26.367190 75.936 28.3832
26.733401 75.944 27.7501
27.099612 75.951 27.1042
27.465823 75.956 26.4514
27.832033 75.957 25.8091
28.198244 75.956 25.1901
28.564455 75.956 24.5909
28.930666 75.959 23.9974
29.296877 75.962 23.3977
29.663088 75.965 22.7916
30.029299 75.967 22.1870
30.395510 75.967 21.5908
30.761721 75.967 21.0047
31.127932 75.967 20.4277
31.494143 75.966 19.8608
31.860354 75.965 19.3068
32.226565 75.963 18.7668
32.592776 75.963 18.2375
32.958987 75.963 17.7134
33.325198 75.963 17.1911
33.691409 75.962 16.6724
34.057620 75.959 16.1613
34.423831 75.956 15.6603
34.790042 75.952 15.1688
35.156253 75.947 14.6844
35.522464 75.943 14.2058
35.888675 75.937 13.7330
36.254886 75.932 13.2665
36.621097 75.925 12.8058
36.987308 75.919 12.3496
37.353519 75.913 11.8970
37.719730 75.907 11.4464
38.085941 75.901 10.9962
38.452152 75.894 10.5459
38.818363 75.886 10.0980
39.184573 75.877 9.6577
39.550784 75.867 9.2303
39.916995 75.858 8.8160
40.283206 75.851 8.4090
40.649417 75.846 8.0011
41.015628 75.840 7.5888
41.381839 75.834 7.1763
41.748050 75.826 6.7716
42.114261 75.817 6.3800
42.480472 75.809 5.9990
42.846683 75.802 5.6221
43.212894 75.795 5.2440
43.579105 75.787 4.8657
43.945316 75.779 4.4926
44.311527 75.769 4.1288
44.677738 75.760 3.7740
45.043949 75.751 3.4238
45.410160 75.743 3.0739
45.776371 75.734 2.7231
46.142582 75.725 2.3737
46.508793 75.714 2.0281
46.875004 75.703 1.6881
47.241215 75.692 1.3546
47.607426 75.680 1.0282
47.973637 75.669 0.7084
48.339848 75.658 0.3936
48.706059 75.647 0.0807
49.072270 75.637 -0.2328
49.438481 75.626 -0.5471
49.804692 75.615 -0.8593
50.170902 75.603 -1.1656
50.537113 75.591 -1.4642
50.903324 75.580 -1.7564
51.269535 75.569 -2.0453
51.635746 75.558 -2.3336
52.001957 75.548 -2.6223
52.368168 75.537 -2.9104
52.734379 75.526 -3.1957
53.100590 75.514 -3.4761
53.466801 75.501 -3.7501
53.833012 75.489 -4.0175
54.199223 75.477 -4.2793
54.565434 75.465 -4.5375
54.931645 75.453 -4.7933
55.297856 75.441 -5.0475
55.664067 75.429 -5.2997
56.030278 75.417 -5.5498
56.396489 75.405 -5.7991
56.762700 75.393 -6.0482
57.128911 75.380 -6.2966
57.495122 75.365 -6.5410
57.861333 75.351 -6.7770
58.227544 75.336 -7.0021
58.593755 75.322 -7.2181
58.959966 75.309 -7.4309
59.326177 75.298 -7.6471
59.692388 75.288 -7.8702
60.058599 75.277 -8.0995
60.424810 75.265 -8.3309
60.791021 75.252 -8.5602
61.157232 75.238 -8.7845
61.523442 75.224 -9.0032
61.889653 75.211 -9.2169
62.255864 75.197 -9.4263
62.622075 75.183 -9.6321
62.988286 75.169 -9.8347
63.354497 75.155 -10.0345
63.720708 75.141 -10.2323
64.086919 75.127 -10.4285
64.453130 75.113 -10.6232
64.819341 75.099 -10.8160
65.185552 75.084 -11.0064
65.551763 75.069 -11.1940
65.917974 75.054 -11.3792
66.284185 75.039 -11.5625
66.650396 75.025 -11.7448
67.016607 75.010 -11.9263
67.382818 74.994 -12.1066
67.749029 74.979 -12.2849
68.115240 74.964 -12.4609
68.481451 74.948 -12.6348
68.847662 74.933 -12.8069
69.213873 74.917 -12.9774
69.580084 74.902 -13.1461
69.946295 74.886 -13.3125
70.312506 74.871 -13.4767
70.678717 74.856 -13.6393
71.044928 74.841 -13.8010
71.411139 74.826 -13.9622
71.777350 74.811 -14.1224
72.143561 74.797 -14.2814
72.509771 74.782 -14.4390
72.875982 74.767 -14.5961
73.242193 74.752 -14.7529
73.608404 74.737 -14.9093
73.974615 74.721 -15.0638
74.340826 74.705 -15.2144
74.707037 74.688 -15.3599
75.073248 74.672 -15.5005
75.439459 74.657 -15.6377
75.805670 74.641 -15.7738
76.171881 74.626 -15.9102
76.538092 74.611 -16.0474
76.904303 74.596 -16.1848
77.270514 74.581 -16.3217
77.636725 74.566 -16.4576
78.002936 74.551 -16.5927
78.369147 74.536 -16.7272
78.735358 74.520 -16.8613
79.101569 74.505 -16.9945
79.467780 74.490 -17.1260
79.833991 74.474 -17.2553
80.200202 74.459 -17.3834
80.566413 74.444 -17.5115
80.932624 74.430 -17.6405
81.298835 74.415 -17.7702
81.665046 74.399 -17.8986
82.031257 74.383 -18.0233
82.397468 74.367 -18.1432
82.763679 74.352 -18.2587
83.129890 74.336 -18.3722
83.496101 74.322 -18.4858
83.862311 74.307 -18.6006
84.228522 74.292 -18.7153
84.594733 74.276 -18.8280
84.960944 74.261 -18.9373
85.327155 74.246 -19.0433
85.693366 74.231 -19.1482
86.059577 74.217 -19.2544
86.425788 74.202 -19.3631
86.791999 74.188 -19.4735
87.158210 74.172 -19.5836
87.524421 74.157 -19.6909
87.890632 74.141 -19.7948
88.256843 74.125 -19.8958
88.623054 74.110 -19.9955
88.989265 74.095 -20.0955
89.355476 74.079 -20.1960
89.721687 74.064 -20.2965
90.087898 74.049 -20.3959
90.454109 74.033 -20.4934
90.820320 74.018 -20.5890
91.186531 74.002 -20.6831
91.552742 73.987 -20.7764
91.918953 73.972 -20.8691
92.285164 73.957 -20.9616
92.651375 73.943 -21.0543
93.017586 73.928 -21.1476
93.383797 73.913 -21.2413
93.750008 73.899 -21.3353
94.116219 73.884 -21.4287
94.482430 73.868 -21.5209
94.848641 73.853 -21.6113
95.214851 73.838 -21.7000
95.581062 73.823 -21.7874
95.947273 73.808 -21.8741
96.313484 73.793 -21.9608
96.679695 73.778 -22.0475
97.045906 73.763 -22.1338
97.412117 73.748 -22.2191
97.778328 73.732 -22.3029
98.144539 73.717 -22.3851
98.510750 73.702 -22.4658
98.876961 73.686 -22.5455
99.243172 73.671 -22.6240
99.609383 73.656 -22.7013
99.975594 73.641 -22.7773
100.341805 73.626 -22.8522
100.708016 73.611 -22.9266
101.074227 73.597 -23.0018
101.440438 73.583 -23.0781
101.806649 73.568 -23.1554
102.172860 73.553 -23.2324
102.539071 73.538 -23.3077
102.905282 73.523 -23.3806
103.271493 73.508 -23.4510
103.637704 73.493 -23.5202
104.003915 73.479 -23.5895
104.370126 73.465 -23.6599
104.736337 73.450 -23.7318
105.102548 73.436 -23.8046
105.468759 73.421 -23.8771
105.834970 73.406 -23.9482
106.201180 73.391 -24.0171
106.567391 73.376 -24.0835
106.933602 73.361 -24.1473
107.299813 73.346 -24.2089
107.666024 73.331 -24.2688
108.032235 73.317 -24.3277
108.398446 73.303 -24.3862
108.764657 73.289 -24.4449
109.130868 73.275 -24.5044
109.497079 73.261 -24.5647
109.863290 73.247 -24.6258
110.229501 73.233 -24.6869
110.595712 73.218 -24.7471
110.961923 73.203 -24.8057
111.328134 73.189 -24.8621
111.694345 73.174 -24.9166
112.060556 73.160 -24.9702
112.426767 73.145 -25.0236
112.792978 73.131 -25.0780
113.159189 73.118 -25.1340
113.525400 73.104 -25.1913
113.891611 73.090 -25.2495
114.257822 73.076 -25.3080
114.624033 73.062 -25.3661
114.990244 73.047 -25.4240
115.356455 73.033 -25.4813
115.722666 73.019 -25.5383
116.088877 73.005 -25.5948
116.455088 72.990 -25.6506
116.821299 72.976 -25.7056
117.187510 72.962 -25.7594
117.553720 72.947 -25.8119
117.919931 72.933 -25.8629
118.286142 72.919 -25.9126
118.652353 72.905 -25.9611
119.018564 72.890 -26.0084
119.384775 72.876 -26.0548
119.750986 72.862 -26.1003
120.117197 72.848 -26.1450
120.483408 72.834 -26.1891
120.849619 72.821 -26.2328
121.215830 72.807 -26.2764
121.582041 72.793 -26.3202
121.948252 72.780 -26.3643
122.314463 72.766 -26.4085
122.680674 72.753 -26.4529
123.046885 72.739 -26.4974
123.413096 72.726 -26.5421
123.779307 72.713 -26.5870
124.145518 72.699 -26.6324
124.511729 72.686 -26.6782
124.877940 72.673 -26.7241
125.244151 72.660 -26.7697
125.610362 72.648 -26.8141
125.976573 72.635 -26.8568
126.342784 72.622 -26.8975
126.708995 72.610 -26.9364
127.075206 72.597 -26.9737
127.441417 72.585 -27.0101
127.807628 72.573 -27.0463
128.173839 72.561 -27.0823
128.540049 72.549 -27.1180
128.906260 72.538 -27.1537
129.272471 72.526 -27.1888
129.638682 72.514 -27.2236
130.004893 72.502 -27.2583
130.371104 72.489 -27.2927
130.737315 72.477 -27.3269
131.103526 72.465 -27.3606
131.469737 72.453 -27.3937
131.835948 72.441 -27.4260
132.202159 72.429 -27.4581
132.568370 72.417 -27.4902
132.934581 72.405 -27.5228
133.300792 72.393 -27.5560
133.667003 72.381 -27.5897
134.033214 72.369 -27.6237
134.399425 72.358 -27.6575
134.765636 72.346 -27.6908
135.131847 72.334 -27.7236
135.498058 72.322 -27.7560
135.864269 72.311 -27.7881
136.230480 72.299 -27.8197
136.596691 72.287 -27.8507
136.962902 72.276 -27.8809
137.329113 72.264 -27.9100
137.695324 72.252 -27.9380
138.061535 72.241 -27.9651
138.427746 72.229 -27.9918
138.793957 72.218 -28.0186
139.160168 72.207 -28.0459
139.526379 72.196 -28.0741
139.892589 72.184 -28.1029
140.258800 72.173 -28.1322
140.625011 72.161 -28.1614
140.991222 72.150 -28.1901
141.357433 72.138 -28.2181
141.723644 72.126 -28.2452
142.089855 72.115 -28.2719
142.456066 72.103 -28.2983
142.822277 72.092 -28.3247
143.188488 72.080 -28.3513
143.554699 72.069 -28.3782
143.920910 72.058 -28.4050
144.287121 72.047 -28.4316
144.653332 72.036 -28.4579
145.019543 72.025 -28.4837
145.385754 72.014 -28.5090
145.751965 72.003 -28.5337
