* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:54:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.721 -32.7191
0.732422 65.790 -68.2860
1.098633 62.645 -111.9124
1.464844 59.630 -170.7089
1.831055 59.077 128.0712
2.197266 58.643 82.1310
2.563477 55.191 43.7884
2.929688 42.035 -47.2606
3.295899 55.966 -167.8131
3.662110 61.735 164.3740
4.028321 64.213 143.8882
4.394532 64.974 129.0366
4.760743 64.777 121.7462
5.126954 64.666 123.2023
5.493164 65.643 127.5874
5.859375 67.266 127.1367
6.225586 68.635 121.9289
6.591797 69.467 115.2067
6.958008 69.870 109.4970
7.324219 70.126 105.9089
7.690430 70.506 103.8679
8.056641 71.081 101.7945
8.422852 71.706 98.7288
8.789063 72.222 94.9286
9.155274 72.586 91.1895
9.521485 72.854 88.0842
9.887696 73.108 85.6277
10.253907 73.325 83.4367
10.620118 73.515 81.1746
10.986329 73.663 78.8238
11.352540 73.755 76.5785
11.718751 73.808 74.5815
12.084962 73.849 72.7886
12.451173 73.886 71.0484
12.817384 73.962 69.2797
13.183595 74.017 67.5333
13.549806 74.046 65.9043
13.916017 74.065 64.4095
14.282228 74.088 62.9640
14.648439 74.110 61.4719
15.014650 74.119 59.9257
15.380861 74.110 58.4031
15.747072 74.091 56.9825
16.113283 74.084 55.6638
16.479493 74.101 54.3782
16.845704 74.125 53.0638
17.211915 74.145 51.7267
17.578126 74.159 50.4248
17.944337 74.169 49.2062
18.310548 74.183 48.0695
18.676759 74.202 46.9786
19.042970 74.223 45.9084
19.409181 74.241 44.8677
19.775392 74.256 43.8779
20.141603 74.272 42.9402
20.507814 74.291 42.0327
20.874025 74.309 41.1336
21.240236 74.321 40.2472
21.606447 74.327 39.3956
21.972658 74.331 38.5914
22.338869 74.337 37.8185
22.705080 74.345 37.0464
23.071291 74.354 36.2577
23.437502 74.359 35.4612
23.803713 74.361 34.6797
24.169924 74.363 33.9226
24.536135 74.369 33.1783
24.902346 74.376 32.4299
25.268557 74.384 31.6730
25.634768 74.390 30.9244
26.000979 74.393 30.2052
26.367190 74.397 29.5237
26.733401 74.404 28.8726
27.099612 74.414 28.2378
27.465823 74.425 27.6107
27.832033 74.437 26.9888
28.198244 74.447 26.3721
28.564455 74.454 25.7634
28.930666 74.458 25.1680
29.296877 74.458 24.5966
29.663088 74.456 24.0590
30.029299 74.455 23.5532
30.395510 74.456 23.0631
30.761721 74.459 22.5671
31.127932 74.462 22.0536
31.494143 74.463 21.5281
31.860354 74.460 21.0056
32.226565 74.455 20.4979
32.592776 74.450 20.0044
32.958987 74.447 19.5159
33.325198 74.444 19.0256
33.691409 74.441 18.5344
34.057620 74.438 18.0486
34.423831 74.434 17.5728
34.790042 74.430 17.1088
35.156253 74.427 16.6537
35.522464 74.425 16.2066
35.888675 74.422 15.7679
36.254886 74.420 15.3372
36.621097 74.417 14.9127
36.987308 74.414 14.4938
37.353519 74.410 14.0820
37.719730 74.405 13.6811
38.085941 74.399 13.2935
38.452152 74.394 12.9172
38.818363 74.389 12.5471
39.184573 74.384 12.1772
39.550784 74.379 11.8049
39.916995 74.373 11.4308
40.283206 74.367 11.0579
40.649417 74.360 10.6893
41.015628 74.353 10.3272
41.381839 74.345 9.9727
41.748050 74.338 9.6244
42.114261 74.331 9.2792
42.480472 74.325 8.9330
42.846683 74.318 8.5845
43.212894 74.311 8.2375
43.579105 74.302 7.8982
43.945316 74.293 7.5706
44.311527 74.285 7.2538
44.677738 74.278 6.9418
45.043949 74.272 6.6287
45.410160 74.265 6.3134
45.776371 74.258 5.9988
46.142582 74.249 5.6899
46.508793 74.241 5.3882
46.875004 74.232 5.0925
47.241215 74.223 4.8010
47.607426 74.215 4.5128
47.973637 74.206 4.2286
48.339848 74.197 3.9490
48.706059 74.188 3.6722
49.072270 74.180 3.3965
49.438481 74.171 3.1214
49.804692 74.162 2.8486
50.170902 74.153 2.5804
50.537113 74.143 2.3187
50.903324 74.134 2.0625
51.269535 74.125 1.8103
51.635746 74.117 1.5600
52.001957 74.108 1.3107
52.368168 74.100 1.0615
52.734379 74.091 0.8124
53.100590 74.082 0.5643
53.466801 74.073 0.3184
53.833012 74.063 0.0759
54.199223 74.052 -0.1627
54.565434 74.042 -0.3984
54.931645 74.032 -0.6320
55.297856 74.021 -0.8644
55.664067 74.010 -1.0950
56.030278 73.999 -1.3229
56.396489 73.988 -1.5470
56.762700 73.977 -1.7666
57.128911 73.965 -1.9814
57.495122 73.954 -2.1910
57.861333 73.944 -2.3960
58.227544 73.934 -2.5989
58.593755 73.925 -2.8027
58.959966 73.916 -3.0101
59.326177 73.907 -3.2216
59.692388 73.898 -3.4344
60.058599 73.887 -3.6455
60.424810 73.876 -3.8523
60.791021 73.864 -4.0544
61.157232 73.853 -4.2522
61.523442 73.841 -4.4461
61.889653 73.828 -4.6356
62.255864 73.816 -4.8198
62.622075 73.804 -4.9991
62.988286 73.792 -5.1751
63.354497 73.780 -5.3503
63.720708 73.768 -5.5264
64.086919 73.757 -5.7036
64.453130 73.745 -5.8813
64.819341 73.733 -6.0588
65.185552 73.721 -6.2360
65.551763 73.709 -6.4126
65.917974 73.696 -6.5888
66.284185 73.684 -6.7636
66.650396 73.671 -6.9360
67.016607 73.658 -7.1050
67.382818 73.645 -7.2708
67.749029 73.632 -7.4341
68.115240 73.619 -7.5963
68.481451 73.607 -7.7582
68.847662 73.594 -7.9194
69.213873 73.581 -8.0788
69.580084 73.567 -8.2356
69.946295 73.554 -8.3895
70.312506 73.541 -8.5412
70.678717 73.528 -8.6923
71.044928 73.515 -8.8433
71.411139 73.502 -8.9940
71.777350 73.489 -9.1429
72.143561 73.476 -9.2891
72.509771 73.462 -9.4316
72.875982 73.449 -9.5714
73.242193 73.437 -9.7102
73.608404 73.424 -9.8498
73.974615 73.412 -9.9916
74.340826 73.400 -10.1358
74.707037 73.387 -10.2808
75.073248 73.374 -10.4236
75.439459 73.360 -10.5611
75.805670 73.346 -10.6919
76.171881 73.332 -10.8174
76.538092 73.320 -10.9412
76.904303 73.308 -11.0668
77.270514 73.296 -11.1960
77.636725 73.284 -11.3280
78.002936 73.271 -11.4607
78.369147 73.258 -11.5927
78.735358 73.244 -11.7239
79.101569 73.231 -11.8549
79.467780 73.217 -11.9847
79.833991 73.202 -12.1108
80.200202 73.187 -12.2311
80.566413 73.173 -12.3455
80.932624 73.159 -12.4569
81.298835 73.147 -12.5698
81.665046 73.134 -12.6871
82.031257 73.121 -12.8080
82.397468 73.108 -12.9286
82.763679 73.094 -13.0447
83.129890 73.080 -13.1547
83.496101 73.066 -13.2605
83.862311 73.054 -13.3659
84.228522 73.042 -13.4739
84.594733 73.029 -13.5853
84.960944 73.017 -13.6987
85.327155 73.004 -13.8120
85.693366 72.990 -13.9241
86.059577 72.977 -14.0345
86.425788 72.963 -14.1431
86.791999 72.948 -14.2490
87.158210 72.934 -14.3510
87.524421 72.920 -14.4487
87.890632 72.906 -14.5435
88.256843 72.893 -14.6376
88.623054 72.881 -14.7336
88.989265 72.869 -14.8326
89.355476 72.856 -14.9335
89.721687 72.843 -15.0344
90.087898 72.830 -15.1333
90.454109 72.817 -15.2294
90.820320 72.804 -15.3231
91.186531 72.791 -15.4156
91.552742 72.778 -15.5078
91.918953 72.766 -15.6000
92.285164 72.753 -15.6919
92.651375 72.740 -15.7833
93.017586 72.727 -15.8740
93.383797 72.714 -15.9638
93.750008 72.701 -16.0527
94.116219 72.688 -16.1405
94.482430 72.674 -16.2271
94.848641 72.661 -16.3123
95.214851 72.647 -16.3964
95.581062 72.634 -16.4797
95.947273 72.620 -16.5623
96.313484 72.607 -16.6445
96.679695 72.593 -16.7262
97.045906 72.580 -16.8075
97.412117 72.567 -16.8886
97.778328 72.554 -16.9698
98.144539 72.541 -17.0515
98.510750 72.528 -17.1336
98.876961 72.515 -17.2163
99.243172 72.502 -17.2990
99.609383 72.489 -17.3812
99.975594 72.476 -17.4622
100.341805 72.463 -17.5415
100.708016 72.450 -17.6190
101.074227 72.437 -17.6945
101.440438 72.424 -17.7684
101.806649 72.411 -17.8411
102.172860 72.398 -17.9129
102.539071 72.386 -17.9843
102.905282 72.373 -18.0552
103.271493 72.361 -18.1254
103.637704 72.348 -18.1949
104.003915 72.336 -18.2636
104.370126 72.324 -18.3318
104.736337 72.311 -18.4000
105.102548 72.299 -18.4684
105.468759 72.286 -18.5371
105.834970 72.274 -18.6060
106.201180 72.261 -18.6743
106.567391 72.248 -18.7416
106.933602 72.234 -18.8075
107.299813 72.221 -18.8719
107.666024 72.208 -18.9351
108.032235 72.195 -18.9972
108.398446 72.182 -19.0585
108.764657 72.169 -19.1190
109.130868 72.157 -19.1791
109.497079 72.144 -19.2387
109.863290 72.132 -19.2980
110.229501 72.119 -19.3572
110.595712 72.107 -19.4166
110.961923 72.095 -19.4767
111.328134 72.084 -19.5376
111.694345 72.072 -19.5992
112.060556 72.059 -19.6611
112.426767 72.047 -19.7229
112.792978 72.035 -19.7843
113.159189 72.022 -19.8450
113.525400 72.009 -19.9048
113.891611 71.997 -19.9637
114.257822 71.984 -20.0215
114.624033 71.971 -20.0780
114.990244 71.958 -20.1331
115.356455 71.945 -20.1869
115.722666 71.932 -20.2398
116.088877 71.919 -20.2922
116.455088 71.907 -20.3447
116.821299 71.894 -20.3978
117.187510 71.882 -20.4515
117.553720 71.869 -20.5059
117.919931 71.857 -20.5605
118.286142 71.844 -20.6149
118.652353 71.831 -20.6688
119.018564 71.819 -20.7216
119.384775 71.806 -20.7732
119.750986 71.793 -20.8235
120.117197 71.780 -20.8723
120.483408 71.767 -20.9194
120.849619 71.755 -20.9647
121.215830 71.742 -21.0085
121.582041 71.730 -21.0509
121.948252 71.718 -21.0927
122.314463 71.707 -21.1345
122.680674 71.696 -21.1770
123.046885 71.684 -21.2209
123.413096 71.673 -21.2662
123.779307 71.662 -21.3126
124.145518 71.650 -21.3590
124.511729 71.638 -21.4045
124.877940 71.626 -21.4485
125.244151 71.614 -21.4907
125.610362 71.603 -21.5314
125.976573 71.591 -21.5710
126.342784 71.580 -21.6101
126.708995 71.569 -21.6490
127.075206 71.558 -21.6879
127.441417 71.546 -21.7266
127.807628 71.535 -21.7650
128.173839 71.524 -21.8030
128.540049 71.513 -21.8408
128.906260 71.502 -21.8780
129.272471 71.491 -21.9147
129.638682 71.481 -21.9508
130.004893 71.470 -21.9865
130.371104 71.460 -22.0220
130.737315 71.450 -22.0576
131.103526 71.440 -22.0933
131.469737 71.430 -22.1293
131.835948 71.420 -22.1653
132.202159 71.410 -22.2011
132.568370 71.400 -22.2366
132.934581 71.390 -22.2719
133.300792 71.381 -22.3071
133.667003 71.371 -22.3422
134.033214 71.361 -22.3772
134.399425 71.351 -22.4123
134.765636 71.341 -22.4474
135.131847 71.332 -22.4827
135.498058 71.321 -22.5181
135.864269 71.311 -22.5538
136.230480 71.301 -22.5894
136.596691 71.290 -22.6248
136.962902 71.279 -22.6595
137.329113 71.269 -22.6934
137.695324 71.258 -22.7267
138.061535 71.247 -22.7598
138.427746 71.236 -22.7927
138.793957 71.226 -22.8257
139.160168 71.215 -22.8589
139.526379 71.205 -22.8922
139.892589 71.194 -22.9256
140.258800 71.184 -22.9590
140.625011 71.174 -22.9923
140.991222 71.164 -23.0256
141.357433 71.153 -23.0585
141.723644 71.143 -23.0905
142.089855 71.133 -23.1215
142.456066 71.123 -23.1513
142.822277 71.113 -23.1798
143.188488 71.104 -23.2072
143.554699 71.094 -23.2338
143.920910 71.085 -23.2595
144.287121 71.076 -23.2847
144.653332 71.067 -23.3094
145.019543 71.058 -23.3337
145.385754 71.048 -23.3577
145.751965 71.039 -23.3813
146.118176 71.030 -23.4045
