* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:47:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Green Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.320 -72.3999
0.732422 64.290 -122.0026
1.098633 65.976 -161.0748
1.464844 66.392 164.4346
1.831055 65.503 132.9573
2.197266 62.866 105.0820
2.563477 56.646 87.9729
2.929688 51.498 171.3198
3.295899 61.466 178.4861
3.662110 65.722 160.4829
4.028321 67.757 142.3267
4.394532 68.518 127.6762
4.760743 68.564 118.8716
5.126954 68.627 116.8262
5.493164 69.397 118.0093
5.859375 70.719 116.9057
6.225586 71.961 112.3995
6.591797 72.801 106.4728
6.958008 73.254 101.1823
7.324219 73.514 97.6182
7.690430 73.806 95.5553
8.056641 74.223 93.8105
8.422852 74.683 91.4231
8.789063 75.055 88.3731
9.155274 75.284 85.2418
9.521485 75.408 82.5634
9.887696 75.501 80.4404
10.253907 75.551 78.5770
10.620118 75.585 76.6350
10.986329 75.597 74.5355
11.352540 75.568 72.4330
11.718751 75.511 70.4906
12.084962 75.452 68.7189
12.451173 75.404 67.0081
12.817384 75.416 65.2774
13.183595 75.428 63.5595
13.549806 75.430 61.9427
13.916017 75.436 60.4594
14.282228 75.454 59.0485
14.648439 75.481 57.6274
15.014650 75.504 56.1831
15.380861 75.514 54.7821
15.747072 75.517 53.4959
16.113283 75.531 52.3270
16.479493 75.566 51.2102
16.845704 75.606 50.0807
17.211915 75.641 48.9326
17.578126 75.666 47.8121
17.944337 75.684 46.7608
18.310548 75.703 45.7754
18.676759 75.726 44.8181
19.042970 75.750 43.8592
19.409181 75.770 42.9006
19.775392 75.786 41.9629
20.141603 75.803 41.0554
20.507814 75.823 40.1667
20.874025 75.843 39.2825
21.240236 75.861 38.4051
21.606447 75.877 37.5511
21.972658 75.891 36.7307
22.338869 75.908 35.9341
22.705080 75.927 35.1415
23.071291 75.945 34.3451
23.437502 75.959 33.5575
23.803713 75.969 32.7985
24.169924 75.979 32.0748
24.536135 75.991 31.3736
24.902346 76.004 30.6764
25.268557 76.015 29.9771
25.634768 76.024 29.2843
26.000979 76.031 28.6100
26.367190 76.036 27.9550
26.733401 76.042 27.3104
27.099612 76.048 26.6679
27.465823 76.052 26.0275
27.832033 76.054 25.3957
28.198244 76.056 24.7750
28.564455 76.059 24.1611
28.930666 76.061 23.5480
29.296877 76.062 22.9358
29.663088 76.062 22.3322
30.029299 76.061 21.7435
30.395510 76.060 21.1686
30.761721 76.061 20.6003
31.127932 76.061 20.0333
31.494143 76.061 19.4695
31.860354 76.059 18.9167
32.226565 76.057 18.3794
32.592776 76.055 17.8552
32.958987 76.054 17.3373
33.325198 76.053 16.8212
33.691409 76.051 16.3078
34.057620 76.048 15.8009
34.423831 76.044 15.3024
34.790042 76.040 14.8109
35.156253 76.035 14.3250
35.522464 76.030 13.8448
35.888675 76.024 13.3724
36.254886 76.017 12.9082
36.621097 76.011 12.4503
36.987308 76.005 11.9962
37.353519 75.999 11.5447
37.719730 75.992 11.0970
38.085941 75.985 10.6545
38.452152 75.978 10.2167
38.818363 75.971 9.7817
39.184573 75.964 9.3504
39.550784 75.955 8.9249
39.916995 75.947 8.5083
40.283206 75.939 8.1007
40.649417 75.932 7.6993
41.015628 75.925 7.3008
41.381839 75.918 6.9043
41.748050 75.910 6.5120
42.114261 75.902 6.1265
42.480472 75.893 5.7484
42.846683 75.885 5.3759
43.212894 75.877 5.0065
43.579105 75.868 4.6404
43.945316 75.859 4.2787
44.311527 75.850 3.9222
44.677738 75.841 3.5701
45.043949 75.831 3.2211
45.410160 75.822 2.8749
45.776371 75.812 2.5327
46.142582 75.802 2.1958
46.508793 75.792 1.8639
46.875004 75.782 1.5350
47.241215 75.772 1.2079
47.607426 75.762 0.8828
47.973637 75.751 0.5616
48.339848 75.740 0.2457
48.706059 75.729 -0.0651
49.072270 75.718 -0.3719
49.438481 75.707 -0.6758
49.804692 75.695 -0.9763
50.170902 75.684 -1.2721
50.537113 75.673 -1.5629
50.903324 75.662 -1.8492
51.269535 75.651 -2.1327
51.635746 75.640 -2.4146
52.001957 75.629 -2.6953
52.368168 75.618 -2.9743
52.734379 75.607 -3.2504
53.100590 75.595 -3.5220
53.466801 75.583 -3.7880
53.833012 75.571 -4.0488
54.199223 75.560 -4.3065
54.565434 75.549 -4.5637
54.931645 75.538 -4.8220
55.297856 75.526 -5.0801
55.664067 75.513 -5.3350
56.030278 75.500 -5.5831
56.396489 75.486 -5.8239
56.762700 75.474 -6.0597
57.128911 75.461 -6.2941
57.495122 75.449 -6.5293
57.861333 75.437 -6.7648
58.227544 75.423 -6.9982
58.593755 75.410 -7.2270
58.959966 75.397 -7.4508
59.326177 75.383 -7.6711
59.692388 75.371 -7.8898
60.058599 75.358 -8.1083
60.424810 75.345 -8.3266
60.791021 75.332 -8.5436
61.157232 75.319 -8.7578
61.523442 75.306 -8.9684
61.889653 75.292 -9.1752
62.255864 75.279 -9.3790
62.622075 75.266 -9.5811
62.988286 75.253 -9.7821
63.354497 75.240 -9.9819
63.720708 75.225 -10.1797
64.086919 75.211 -10.3747
64.453130 75.197 -10.5668
64.819341 75.182 -10.7566
65.185552 75.168 -10.9449
65.551763 75.153 -11.1318
65.917974 75.139 -11.3169
66.284185 75.123 -11.4993
66.650396 75.108 -11.6788
67.016607 75.093 -11.8555
67.382818 75.078 -12.0302
67.749029 75.063 -12.2036
68.115240 75.049 -12.3766
68.481451 75.034 -12.5495
68.847662 75.019 -12.7225
69.213873 75.004 -12.8948
69.580084 74.988 -13.0654
69.946295 74.973 -13.2328
70.312506 74.957 -13.3965
70.678717 74.941 -13.5568
71.044928 74.926 -13.7150
71.411139 74.911 -13.8721
71.777350 74.896 -14.0288
72.143561 74.882 -14.1854
72.509771 74.867 -14.3413
72.875982 74.852 -14.4962
73.242193 74.836 -14.6497
73.608404 74.821 -14.8014
73.974615 74.806 -14.9508
74.340826 74.790 -15.0977
74.707037 74.774 -15.2421
75.073248 74.759 -15.3844
75.439459 74.744 -15.5248
75.805670 74.728 -15.6638
76.171881 74.713 -15.8019
76.538092 74.698 -15.9394
76.904303 74.683 -16.0764
77.270514 74.668 -16.2128
77.636725 74.653 -16.3481
78.002936 74.638 -16.4821
78.369147 74.622 -16.6146
78.735358 74.607 -16.7458
79.101569 74.592 -16.8763
79.467780 74.577 -17.0060
79.833991 74.561 -17.1349
80.200202 74.546 -17.2622
80.566413 74.531 -17.3878
80.932624 74.515 -17.5116
81.298835 74.500 -17.6340
81.665046 74.485 -17.7554
82.031257 74.470 -17.8764
82.397468 74.455 -17.9969
82.763679 74.439 -18.1168
83.129890 74.424 -18.2356
83.496101 74.409 -18.3531
83.862311 74.393 -18.4690
84.228522 74.378 -18.5834
84.594733 74.363 -18.6967
84.960944 74.347 -18.8088
85.327155 74.332 -18.9204
85.693366 74.317 -19.0312
86.059577 74.302 -19.1412
86.425788 74.287 -19.2502
86.791999 74.271 -19.3582
87.158210 74.256 -19.4650
87.524421 74.241 -19.5706
87.890632 74.226 -19.6749
88.256843 74.210 -19.7780
88.623054 74.195 -19.8798
88.989265 74.180 -19.9805
89.355476 74.164 -20.0802
89.721687 74.149 -20.1789
90.087898 74.134 -20.2766
90.454109 74.119 -20.3734
90.820320 74.104 -20.4695
91.186531 74.088 -20.5647
91.552742 74.073 -20.6592
91.918953 74.058 -20.7531
92.285164 74.043 -20.8463
92.651375 74.028 -20.9390
93.017586 74.013 -21.0310
93.383797 73.998 -21.1222
93.750008 73.983 -21.2123
94.116219 73.968 -21.3013
94.482430 73.953 -21.3895
94.848641 73.938 -21.4771
95.214851 73.923 -21.5641
95.581062 73.908 -21.6507
95.947273 73.893 -21.7367
96.313484 73.878 -21.8220
96.679695 73.863 -21.9068
97.045906 73.848 -21.9916
97.412117 73.833 -22.0763
97.778328 73.818 -22.1608
98.144539 73.803 -22.2441
98.510750 73.788 -22.3256
98.876961 73.772 -22.4049
99.243172 73.757 -22.4825
99.609383 73.742 -22.5593
99.975594 73.727 -22.6361
100.341805 73.713 -22.7132
100.708016 73.698 -22.7903
101.074227 73.683 -22.8672
101.440438 73.669 -22.9436
101.806649 73.654 -23.0197
102.172860 73.640 -23.0953
102.539071 73.625 -23.1708
102.905282 73.610 -23.2454
103.271493 73.595 -23.3187
103.637704 73.580 -23.3901
104.003915 73.565 -23.4600
104.370126 73.550 -23.5286
104.736337 73.536 -23.5968
105.102548 73.521 -23.6648
105.468759 73.506 -23.7326
105.834970 73.492 -23.7998
106.201180 73.477 -23.8661
106.567391 73.462 -23.9316
106.933602 73.448 -23.9965
107.299813 73.433 -24.0609
107.666024 73.419 -24.1252
108.032235 73.404 -24.1890
108.398446 73.390 -24.2522
108.764657 73.375 -24.3148
109.130868 73.361 -24.3767
109.497079 73.346 -24.4382
109.863290 73.332 -24.4994
110.229501 73.318 -24.5602
110.595712 73.303 -24.6206
110.961923 73.289 -24.6805
111.328134 73.275 -24.7401
111.694345 73.261 -24.7992
112.060556 73.247 -24.8580
112.426767 73.232 -24.9164
112.792978 73.218 -24.9741
113.159189 73.204 -25.0311
113.525400 73.190 -25.0873
113.891611 73.175 -25.1425
114.257822 73.161 -25.1968
114.624033 73.147 -25.2502
114.990244 73.133 -25.3032
115.356455 73.119 -25.3556
115.722666 73.104 -25.4078
116.088877 73.090 -25.4597
116.455088 73.076 -25.5115
116.821299 73.062 -25.5626
117.187510 73.047 -25.6132
117.553720 73.033 -25.6627
117.919931 73.019 -25.7112
118.286142 73.005 -25.7589
118.652353 72.991 -25.8061
119.018564 72.977 -25.8533
119.384775 72.963 -25.9011
119.750986 72.949 -25.9495
120.117197 72.935 -25.9982
120.483408 72.921 -26.0468
120.849619 72.907 -26.0946
121.215830 72.893 -26.1411
121.582041 72.879 -26.1866
121.948252 72.866 -26.2314
122.314463 72.852 -26.2760
122.680674 72.839 -26.3207
123.046885 72.825 -26.3656
123.413096 72.812 -26.4105
123.779307 72.799 -26.4553
124.145518 72.785 -26.4993
124.511729 72.772 -26.5426
124.877940 72.759 -26.5850
125.244151 72.746 -26.6265
125.610362 72.733 -26.6671
125.976573 72.720 -26.7070
126.342784 72.708 -26.7462
126.708995 72.695 -26.7850
127.075206 72.683 -26.8235
127.441417 72.671 -26.8617
127.807628 72.658 -26.8995
128.173839 72.646 -26.9367
128.540049 72.634 -26.9733
128.906260 72.621 -27.0094
129.272471 72.609 -27.0455
129.638682 72.597 -27.0819
130.004893 72.585 -27.1190
130.371104 72.573 -27.1566
130.737315 72.561 -27.1944
131.103526 72.549 -27.2318
131.469737 72.536 -27.2682
131.835948 72.524 -27.3037
132.202159 72.511 -27.3381
132.568370 72.499 -27.3717
132.934581 72.487 -27.4047
133.300792 72.475 -27.4374
133.667003 72.463 -27.4697
134.033214 72.451 -27.5018
134.399425 72.439 -27.5337
134.765636 72.428 -27.5652
135.131847 72.416 -27.5964
135.498058 72.404 -27.6273
135.864269 72.393 -27.6579
136.230480 72.381 -27.6882
136.596691 72.369 -27.7184
136.962902 72.358 -27.7484
137.329113 72.346 -27.7783
137.695324 72.334 -27.8078
138.061535 72.323 -27.8369
138.427746 72.311 -27.8655
138.793957 72.299 -27.8938
139.160168 72.287 -27.9215
139.526379 72.276 -27.9489
139.892589 72.264 -27.9758
140.258800 72.253 -28.0023
140.625011 72.241 -28.0286
140.991222 72.230 -28.0546
141.357433 72.218 -28.0807
141.723644 72.207 -28.1069
142.089855 72.195 -28.1334
142.456066 72.184 -28.1599
142.822277 72.173 -28.1863
143.188488 72.161 -28.2123
143.554699 72.150 -28.2377
143.920910 72.138 -28.2624
144.287121 72.127 -28.2863
144.653332 72.115 -28.3093
145.019543 72.104 -28.3318
145.385754 72.093 -28.3540
145.751965 72.082 -28.3761
