* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:47:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Green Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.368 -31.8922
0.732422 65.375 -66.5164
1.098633 62.050 -109.1797
1.464844 58.702 -168.5389
1.831055 58.161 128.3151
2.197266 57.851 82.6010
2.563477 54.253 46.1061
2.929688 37.943 -61.7420
3.295899 55.969 -172.5278
3.662110 61.623 162.4427
4.028321 64.077 143.1409
4.394532 64.865 129.1022
4.760743 64.750 122.3333
5.126954 64.746 123.6844
5.493164 65.748 127.4825
5.859375 67.318 126.7557
6.225586 68.642 121.6381
6.591797 69.458 115.1379
6.958008 69.873 109.6290
7.324219 70.154 106.1247
7.690430 70.559 104.0317
8.056641 71.141 101.8622
8.422852 71.763 98.7507
8.789063 72.278 94.9685
9.155274 72.646 91.2770
9.521485 72.924 88.2108
9.887696 73.191 85.7701
10.253907 73.418 83.5818
10.620118 73.617 81.3249
10.986329 73.775 78.9833
11.352540 73.877 76.7444
11.718751 73.940 74.7452
12.084962 73.989 72.9454
12.451173 74.032 71.2073
12.817384 74.113 69.4536
13.183595 74.175 67.7280
13.549806 74.211 66.1140
13.916017 74.237 64.6244
14.282228 74.265 63.1785
14.648439 74.290 61.6895
15.014650 74.302 60.1524
15.380861 74.296 58.6412
15.747072 74.280 57.2263
16.113283 74.275 55.9056
16.479493 74.292 54.6138
16.845704 74.315 53.2950
17.211915 74.334 51.9579
17.578126 74.345 50.6604
17.944337 74.354 49.4474
18.310548 74.367 48.3151
18.676759 74.385 47.2250
19.042970 74.406 46.1508
19.409181 74.423 45.1002
19.775392 74.436 44.0983
20.141603 74.449 43.1526
20.507814 74.465 42.2468
20.874025 74.480 41.3597
21.240236 74.492 40.4877
21.606447 74.500 39.6436
21.972658 74.506 38.8340
22.338869 74.512 38.0451
22.705080 74.519 37.2552
23.071291 74.525 36.4540
23.437502 74.527 35.6542
23.803713 74.526 34.8755
24.169924 74.526 34.1242
24.536135 74.528 33.3878
24.902346 74.534 32.6502
25.268557 74.539 31.9088
25.634768 74.544 31.1765
26.000979 74.549 30.4683
26.367190 74.555 29.7863
26.733401 74.563 29.1214
27.099612 74.572 28.4649
27.465823 74.581 27.8172
27.832033 74.588 27.1870
28.198244 74.593 26.5802
28.564455 74.599 25.9941
28.930666 74.604 25.4241
29.296877 74.608 24.8664
29.663088 74.611 24.3228
30.029299 74.612 23.7937
30.395510 74.614 23.2740
30.761721 74.615 22.7576
31.127932 74.614 22.2416
31.494143 74.612 21.7297
31.860354 74.609 21.2267
32.226565 74.605 20.7339
32.592776 74.603 20.2452
32.958987 74.600 19.7548
33.325198 74.597 19.2635
33.691409 74.593 18.7768
34.057620 74.589 18.3009
34.423831 74.586 17.8347
34.790042 74.583 17.3743
35.156253 74.581 16.9163
35.522464 74.578 16.4630
35.888675 74.574 16.0193
36.254886 74.571 15.5887
36.621097 74.567 15.1687
36.987308 74.564 14.7549
37.353519 74.561 14.3452
37.719730 74.557 13.9414
38.085941 74.552 13.5467
38.452152 74.546 13.1610
38.818363 74.541 12.7815
39.184573 74.536 12.4045
39.550784 74.530 12.0292
39.916995 74.523 11.6575
40.283206 74.517 11.2906
40.649417 74.510 10.9288
41.015628 74.503 10.5717
41.381839 74.497 10.2190
41.748050 74.490 9.8716
42.114261 74.483 9.5305
42.480472 74.476 9.1935
42.846683 74.470 8.8586
43.212894 74.464 8.5245
43.579105 74.458 8.1924
43.945316 74.451 7.8644
44.311527 74.444 7.5416
44.677738 74.438 7.2234
45.043949 74.431 6.9090
45.410160 74.423 6.5975
45.776371 74.416 6.2902
46.142582 74.408 5.9876
46.508793 74.400 5.6895
46.875004 74.392 5.3945
47.241215 74.384 5.1021
47.607426 74.376 4.8130
47.973637 74.367 4.5285
48.339848 74.358 4.2482
48.706059 74.350 3.9708
49.072270 74.341 3.6947
49.438481 74.333 3.4202
49.804692 74.324 3.1486
50.170902 74.315 2.8815
50.537113 74.306 2.6191
50.903324 74.298 2.3602
51.269535 74.289 2.1035
51.635746 74.281 1.8481
52.001957 74.272 1.5948
52.368168 74.263 1.3445
52.734379 74.254 1.0972
53.100590 74.244 0.8531
53.466801 74.235 0.6130
53.833012 74.225 0.3768
54.199223 74.215 0.1439
54.565434 74.205 -0.0872
54.931645 74.196 -0.3174
55.297856 74.186 -0.5475
55.664067 74.176 -0.7766
56.030278 74.166 -1.0028
56.396489 74.155 -1.2255
56.762700 74.145 -1.4451
57.128911 74.135 -1.6623
57.495122 74.124 -1.8779
57.861333 74.114 -2.0912
58.227544 74.104 -2.3015
58.593755 74.093 -2.5088
58.959966 74.083 -2.7136
59.326177 74.073 -2.9167
59.692388 74.063 -3.1180
60.058599 74.052 -3.3170
60.424810 74.042 -3.5133
60.791021 74.032 -3.7076
61.157232 74.021 -3.9007
61.523442 74.011 -4.0934
61.889653 74.000 -4.2854
62.255864 73.989 -4.4761
62.622075 73.977 -4.6647
62.988286 73.966 -4.8505
63.354497 73.953 -5.0335
63.720708 73.941 -5.2145
64.086919 73.928 -5.3937
64.453130 73.916 -5.5714
64.819341 73.903 -5.7471
65.185552 73.891 -5.9208
65.551763 73.878 -6.0925
65.917974 73.866 -6.2628
66.284185 73.855 -6.4328
66.650396 73.843 -6.6032
67.016607 73.831 -6.7741
67.382818 73.819 -6.9440
67.749029 73.806 -7.1114
68.115240 73.793 -7.2753
68.481451 73.781 -7.4359
68.847662 73.768 -7.5944
69.213873 73.756 -7.7517
69.580084 73.743 -7.9083
69.946295 73.731 -8.0632
70.312506 73.718 -8.2162
70.678717 73.705 -8.3671
71.044928 73.693 -8.5167
71.411139 73.680 -8.6658
71.777350 73.668 -8.8146
72.143561 73.655 -8.9626
72.509771 73.642 -9.1093
72.875982 73.629 -9.2542
73.242193 73.616 -9.3973
73.608404 73.603 -9.5388
73.974615 73.590 -9.6790
74.340826 73.577 -9.8183
74.707037 73.564 -9.9570
75.073248 73.551 -10.0947
75.439459 73.538 -10.2312
75.805670 73.525 -10.3660
76.171881 73.512 -10.4985
76.538092 73.498 -10.6289
76.904303 73.485 -10.7577
77.270514 73.472 -10.8856
77.636725 73.460 -11.0127
78.002936 73.447 -11.1393
78.369147 73.434 -11.2654
78.735358 73.421 -11.3910
79.101569 73.408 -11.5162
79.467780 73.395 -11.6407
79.833991 73.382 -11.7643
80.200202 73.369 -11.8865
80.566413 73.356 -12.0070
80.932624 73.343 -12.1259
81.298835 73.330 -12.2435
81.665046 73.317 -12.3604
82.031257 73.304 -12.4770
82.397468 73.292 -12.5937
82.763679 73.279 -12.7100
83.129890 73.266 -12.8254
83.496101 73.253 -12.9393
83.862311 73.240 -13.0511
84.228522 73.226 -13.1608
84.594733 73.213 -13.2687
84.960944 73.200 -13.3755
85.327155 73.188 -13.4817
85.693366 73.175 -13.5878
86.059577 73.162 -13.6938
86.425788 73.149 -13.7998
86.791999 73.136 -13.9053
87.158210 73.123 -14.0101
87.524421 73.110 -14.1138
87.890632 73.097 -14.2165
88.256843 73.084 -14.3179
88.623054 73.071 -14.4182
88.989265 73.058 -14.5175
89.355476 73.045 -14.6159
89.721687 73.032 -14.7131
90.087898 73.019 -14.8091
90.454109 73.006 -14.9037
90.820320 72.993 -14.9973
91.186531 72.980 -15.0901
91.552742 72.967 -15.1824
91.918953 72.954 -15.2740
92.285164 72.942 -15.3649
92.651375 72.929 -15.4550
93.017586 72.916 -15.5443
93.383797 72.903 -15.6327
93.750008 72.890 -15.7206
94.116219 72.877 -15.8083
94.482430 72.863 -15.8957
94.848641 72.850 -15.9827
95.214851 72.837 -16.0692
95.581062 72.823 -16.1544
95.947273 72.810 -16.2382
96.313484 72.796 -16.3206
96.679695 72.783 -16.4019
97.045906 72.770 -16.4825
97.412117 72.757 -16.5632
97.778328 72.744 -16.6442
98.144539 72.732 -16.7256
98.510750 72.719 -16.8073
98.876961 72.706 -16.8887
99.243172 72.694 -16.9695
99.609383 72.681 -17.0494
99.975594 72.668 -17.1281
100.341805 72.655 -17.2056
100.708016 72.642 -17.2820
101.074227 72.629 -17.3577
101.440438 72.617 -17.4329
101.806649 72.604 -17.5075
102.172860 72.591 -17.5811
102.539071 72.578 -17.6534
102.905282 72.565 -17.7244
103.271493 72.553 -17.7943
103.637704 72.540 -17.8639
104.003915 72.527 -17.9338
104.370126 72.515 -18.0043
104.736337 72.502 -18.0751
105.102548 72.489 -18.1456
105.468759 72.476 -18.2152
105.834970 72.463 -18.2834
106.201180 72.451 -18.3502
106.567391 72.438 -18.4158
106.933602 72.425 -18.4810
107.299813 72.413 -18.5462
107.666024 72.400 -18.6117
108.032235 72.388 -18.6772
108.398446 72.375 -18.7426
108.764657 72.362 -18.8073
109.130868 72.350 -18.8708
109.497079 72.337 -18.9330
109.863290 72.324 -18.9940
110.229501 72.312 -19.0539
110.595712 72.299 -19.1130
110.961923 72.287 -19.1718
111.328134 72.274 -19.2302
111.694345 72.262 -19.2883
112.060556 72.249 -19.3459
112.426767 72.237 -19.4033
112.792978 72.224 -19.4601
113.159189 72.212 -19.5165
113.525400 72.199 -19.5724
113.891611 72.187 -19.6277
114.257822 72.174 -19.6824
114.624033 72.162 -19.7366
114.990244 72.150 -19.7905
115.356455 72.137 -19.8443
115.722666 72.125 -19.8981
116.088877 72.113 -19.9522
116.455088 72.101 -20.0065
116.821299 72.089 -20.0610
117.187510 72.076 -20.1152
117.553720 72.064 -20.1690
117.919931 72.052 -20.2221
118.286142 72.039 -20.2743
118.652353 72.027 -20.3257
119.018564 72.014 -20.3766
119.384775 72.002 -20.4271
119.750986 71.990 -20.4771
120.117197 71.977 -20.5264
120.483408 71.965 -20.5751
120.849619 71.953 -20.6228
121.215830 71.940 -20.6697
121.582041 71.928 -20.7160
121.948252 71.916 -20.7619
122.314463 71.904 -20.8076
122.680674 71.892 -20.8533
123.046885 71.880 -20.8990
123.413096 71.868 -20.9446
123.779307 71.856 -20.9899
124.145518 71.844 -21.0349
124.511729 71.832 -21.0792
124.877940 71.821 -21.1229
125.244151 71.809 -21.1663
125.610362 71.798 -21.2095
125.976573 71.787 -21.2525
126.342784 71.777 -21.2954
126.708995 71.766 -21.3380
127.075206 71.755 -21.3802
127.441417 71.744 -21.4217
127.807628 71.734 -21.4624
128.173839 71.723 -21.5023
128.540049 71.712 -21.5416
128.906260 71.702 -21.5804
129.272471 71.691 -21.6189
129.638682 71.681 -21.6572
130.004893 71.670 -21.6953
130.371104 71.660 -21.7330
130.737315 71.649 -21.7704
131.103526 71.639 -21.8073
131.469737 71.628 -21.8438
131.835948 71.618 -21.8800
132.202159 71.607 -21.9161
132.568370 71.597 -21.9521
132.934581 71.587 -21.9882
133.300792 71.576 -22.0244
133.667003 71.566 -22.0607
134.033214 71.556 -22.0968
134.399425 71.545 -22.1328
134.765636 71.535 -22.1684
135.131847 71.524 -22.2035
135.498058 71.514 -22.2380
135.864269 71.504 -22.2717
136.230480 71.493 -22.3047
136.596691 71.483 -22.3372
136.962902 71.473 -22.3696
137.329113 71.463 -22.4021
137.695324 71.453 -22.4348
138.061535 71.443 -22.4672
138.427746 71.433 -22.4993
138.793957 71.422 -22.5305
139.160168 71.412 -22.5609
139.526379 71.402 -22.5905
139.892589 71.392 -22.6198
140.258800 71.382 -22.6490
140.625011 71.372 -22.6782
140.991222 71.361 -22.7075
141.357433 71.351 -22.7368
141.723644 71.341 -22.7657
142.089855 71.331 -22.7943
142.456066 71.321 -22.8226
142.822277 71.311 -22.8506
143.188488 71.301 -22.8786
143.554699 71.291 -22.9064
143.920910 71.281 -22.9338
144.287121 71.271 -22.9608
144.653332 71.261 -22.9873
145.019543 71.251 -23.0134
145.385754 71.241 -23.0393
145.751965 71.231 -23.0651
146.118176 71.222 -23.0909
