* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:50:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Purple Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.948 -66.8653
0.732422 65.342 -117.2152
1.098633 66.820 -157.7117
1.464844 67.178 166.6163
1.831055 66.317 134.0925
2.197266 63.799 104.9495
2.563477 57.933 84.3424
2.929688 49.998 165.4393
3.295899 61.362 179.7459
3.662110 65.921 161.3066
4.028321 68.073 142.6518
4.394532 68.886 127.4914
4.760743 68.934 118.1669
5.126954 68.943 115.7830
5.493164 69.652 117.0392
5.859375 70.958 116.1660
6.225586 72.211 111.7414
6.591797 73.059 105.7290
6.958008 73.503 100.2666
7.324219 73.734 96.5464
7.690430 73.986 94.4308
8.056641 74.369 92.7354
8.422852 74.807 90.4169
8.789063 75.164 87.3912
9.155274 75.377 84.2393
9.521485 75.479 81.5338
9.887696 75.548 79.4150
10.253907 75.576 77.5937
10.620118 75.594 75.7077
10.986329 75.595 73.6517
11.352540 75.559 71.5739
11.718751 75.495 69.6469
12.084962 75.430 67.8918
12.451173 75.379 66.2015
12.817384 75.389 64.4918
13.183595 75.402 62.7932
13.549806 75.406 61.1951
13.916017 75.414 59.7322
14.282228 75.436 58.3430
14.648439 75.468 56.9424
15.014650 75.495 55.5173
15.380861 75.509 54.1368
15.747072 75.515 52.8757
16.113283 75.532 51.7376
16.479493 75.569 50.6547
16.845704 75.613 49.5589
17.211915 75.650 48.4438
17.578126 75.677 47.3563
17.944337 75.697 46.3382
18.310548 75.718 45.3840
18.676759 75.742 44.4527
19.042970 75.767 43.5129
19.409181 75.787 42.5691
19.775392 75.803 41.6454
20.141603 75.818 40.7537
20.507814 75.837 39.8814
20.874025 75.856 39.0116
21.240236 75.874 38.1449
21.606447 75.888 37.2988
21.972658 75.902 36.4860
22.338869 75.918 35.6980
22.705080 75.936 34.9149
23.071291 75.953 34.1271
23.437502 75.967 33.3463
23.803713 75.978 32.5925
24.169924 75.988 31.8734
24.536135 76.000 31.1768
24.902346 76.012 30.4839
25.268557 76.024 29.7882
25.634768 76.033 29.0985
26.000979 76.039 28.4270
26.367190 76.044 27.7755
26.733401 76.049 27.1350
27.099612 76.054 26.4970
27.465823 76.057 25.8614
27.832033 76.059 25.2340
28.198244 76.061 24.6171
28.564455 76.063 24.0056
28.930666 76.065 23.3929
29.296877 76.066 22.7798
29.663088 76.065 22.1738
30.029299 76.064 21.5827
30.395510 76.063 21.0059
30.761721 76.063 20.4364
31.127932 76.064 19.8685
31.494143 76.064 19.3035
31.860354 76.063 18.7479
32.226565 76.061 18.2057
32.592776 76.060 17.6741
32.958987 76.059 17.1476
33.325198 76.057 16.6237
33.691409 76.054 16.1057
34.057620 76.050 15.5992
34.423831 76.045 15.1053
34.790042 76.041 14.6205
35.156253 76.037 14.1393
35.522464 76.032 13.6599
35.888675 76.027 13.1836
36.254886 76.021 12.7123
36.621097 76.015 12.2463
36.987308 76.008 11.7853
37.353519 76.000 11.3292
37.719730 75.992 10.8796
38.085941 75.984 10.4373
38.452152 75.977 10.0010
38.818363 75.969 9.5684
39.184573 75.961 9.1385
39.550784 75.953 8.7126
39.916995 75.945 8.2932
40.283206 75.938 7.8804
40.649417 75.931 7.4722
41.015628 75.924 7.0664
41.381839 75.917 6.6636
41.748050 75.909 6.2664
42.114261 75.900 5.8772
42.480472 75.892 5.4959
42.846683 75.883 5.1202
43.212894 75.875 4.7480
43.579105 75.867 4.3789
43.945316 75.858 4.0139
44.311527 75.849 3.6534
44.677738 75.840 3.2964
45.043949 75.831 2.9415
45.410160 75.821 2.5892
45.776371 75.811 2.2418
46.142582 75.800 1.9012
46.508793 75.789 1.5679
46.875004 75.778 1.2398
47.241215 75.768 0.9148
47.607426 75.757 0.5922
47.973637 75.747 0.2728
48.339848 75.736 -0.0425
48.706059 75.725 -0.3542
49.072270 75.714 -0.6636
49.438481 75.703 -0.9712
49.804692 75.692 -1.2761
50.170902 75.680 -1.5768
50.537113 75.669 -1.8721
50.903324 75.657 -2.1621
51.269535 75.645 -2.4478
51.635746 75.634 -2.7305
52.001957 75.623 -3.0111
52.368168 75.612 -3.2904
52.734379 75.600 -3.5680
53.100590 75.588 -3.8430
53.466801 75.576 -4.1132
53.833012 75.564 -4.3773
54.199223 75.552 -4.6362
54.565434 75.540 -4.8920
54.931645 75.528 -5.1473
55.297856 75.516 -5.4026
55.664067 75.504 -5.6564
56.030278 75.491 -5.9055
56.396489 75.478 -6.1486
56.762700 75.465 -6.3868
57.128911 75.453 -6.6232
57.495122 75.441 -6.8599
57.861333 75.428 -7.0970
58.227544 75.415 -7.3326
58.593755 75.401 -7.5644
58.959966 75.388 -7.7910
59.326177 75.374 -8.0129
59.692388 75.361 -8.2317
60.058599 75.348 -8.4489
60.424810 75.335 -8.6654
60.791021 75.322 -8.8813
61.157232 75.308 -9.0961
61.523442 75.295 -9.3082
61.889653 75.282 -9.5171
62.255864 75.268 -9.7226
62.622075 75.255 -9.9255
62.988286 75.241 -10.1271
63.354497 75.228 -10.3279
63.720708 75.213 -10.5274
64.086919 75.199 -10.7245
64.453130 75.184 -10.9184
64.819341 75.169 -11.1086
65.185552 75.154 -11.2959
65.551763 75.140 -11.4811
65.917974 75.125 -11.6649
66.284185 75.110 -11.8478
66.650396 75.095 -12.0293
67.016607 75.080 -12.2090
67.382818 75.065 -12.3860
67.749029 75.050 -12.5599
68.115240 75.034 -12.7313
68.481451 75.019 -12.9012
68.847662 75.004 -13.0707
69.213873 74.989 -13.2404
69.580084 74.974 -13.4092
69.946295 74.959 -13.5760
70.312506 74.943 -13.7397
70.678717 74.928 -13.9005
71.044928 74.913 -14.0596
71.411139 74.898 -14.2186
71.777350 74.883 -14.3779
72.143561 74.868 -14.5372
72.509771 74.852 -14.6949
72.875982 74.836 -14.8496
73.242193 74.820 -15.0006
73.608404 74.805 -15.1482
73.974615 74.789 -15.2934
74.340826 74.774 -15.4374
74.707037 74.759 -15.5809
75.073248 74.743 -15.7244
75.439459 74.728 -15.8671
75.805670 74.712 -16.0084
76.171881 74.697 -16.1476
76.538092 74.681 -16.2849
76.904303 74.666 -16.4207
77.270514 74.651 -16.5554
77.636725 74.635 -16.6896
78.002936 74.620 -16.8231
78.369147 74.604 -16.9554
78.735358 74.589 -17.0861
79.101569 74.573 -17.2147
79.467780 74.557 -17.3411
79.833991 74.542 -17.4657
80.200202 74.527 -17.5891
80.566413 74.512 -17.7122
80.932624 74.497 -17.8355
81.298835 74.482 -17.9589
81.665046 74.466 -18.0814
82.031257 74.451 -18.2027
82.397468 74.436 -18.3224
82.763679 74.420 -18.4409
83.129890 74.405 -18.5587
83.496101 74.390 -18.6759
83.862311 74.374 -18.7920
84.228522 74.358 -18.9065
84.594733 74.343 -19.0187
84.960944 74.327 -19.1290
85.327155 74.312 -19.2380
85.693366 74.297 -19.3466
86.059577 74.282 -19.4551
86.425788 74.267 -19.5637
86.791999 74.252 -19.6722
87.158210 74.236 -19.7803
87.524421 74.221 -19.8870
87.890632 74.206 -19.9922
88.256843 74.190 -20.0956
88.623054 74.175 -20.1972
88.989265 74.159 -20.2974
89.355476 74.144 -20.3964
89.721687 74.129 -20.4946
90.087898 74.113 -20.5919
90.454109 74.098 -20.6885
90.820320 74.083 -20.7842
91.186531 74.068 -20.8789
91.552742 74.053 -20.9728
91.918953 74.038 -21.0660
92.285164 74.023 -21.1590
92.651375 74.008 -21.2518
93.017586 73.993 -21.3447
93.383797 73.978 -21.4374
93.750008 73.963 -21.5294
94.116219 73.947 -21.6200
94.482430 73.932 -21.7087
94.848641 73.917 -21.7956
95.214851 73.901 -21.8810
95.581062 73.886 -21.9655
95.947273 73.871 -22.0496
96.313484 73.856 -22.1333
96.679695 73.841 -22.2162
97.045906 73.826 -22.2979
97.412117 73.811 -22.3782
97.778328 73.796 -22.4578
98.144539 73.781 -22.5372
98.510750 73.767 -22.6171
98.876961 73.752 -22.6975
99.243172 73.737 -22.7780
99.609383 73.722 -22.8574
99.975594 73.707 -22.9352
100.341805 73.692 -23.0110
100.708016 73.677 -23.0856
101.074227 73.662 -23.1595
101.440438 73.647 -23.2335
101.806649 73.632 -23.3076
102.172860 73.618 -23.3817
102.539071 73.603 -23.4553
102.905282 73.588 -23.5281
103.271493 73.573 -23.6000
103.637704 73.558 -23.6709
104.003915 73.543 -23.7407
104.370126 73.528 -23.8093
104.736337 73.513 -23.8773
105.102548 73.499 -23.9447
105.468759 73.484 -24.0119
105.834970 73.469 -24.0789
106.201180 73.455 -24.1453
106.567391 73.440 -24.2109
106.933602 73.425 -24.2756
107.299813 73.411 -24.3392
107.666024 73.396 -24.4022
108.032235 73.381 -24.4646
108.398446 73.367 -24.5267
108.764657 73.352 -24.5885
109.130868 73.338 -24.6498
109.497079 73.324 -24.7108
109.863290 73.309 -24.7718
110.229501 73.295 -24.8327
110.595712 73.281 -24.8934
110.961923 73.266 -24.9535
111.328134 73.252 -25.0126
111.694345 73.237 -25.0703
112.060556 73.223 -25.1270
112.426767 73.208 -25.1829
112.792978 73.194 -25.2383
113.159189 73.179 -25.2933
113.525400 73.165 -25.3478
113.891611 73.151 -25.4016
114.257822 73.137 -25.4546
114.624033 73.122 -25.5070
114.990244 73.108 -25.5591
115.356455 73.094 -25.6109
115.722666 73.080 -25.6624
116.088877 73.066 -25.7135
116.455088 73.051 -25.7642
116.821299 73.037 -25.8144
117.187510 73.023 -25.8645
117.553720 73.009 -25.9143
117.919931 72.995 -25.9640
118.286142 72.981 -26.0133
118.652353 72.966 -26.0621
119.018564 72.952 -26.1102
119.384775 72.938 -26.1576
119.750986 72.924 -26.2040
120.117197 72.910 -26.2498
120.483408 72.896 -26.2949
120.849619 72.882 -26.3397
121.215830 72.869 -26.3846
121.582041 72.855 -26.4299
121.948252 72.842 -26.4758
122.314463 72.828 -26.5220
122.680674 72.815 -26.5682
123.046885 72.801 -26.6138
123.413096 72.787 -26.6583
123.779307 72.774 -26.7014
124.145518 72.760 -26.7434
124.511729 72.747 -26.7845
124.877940 72.734 -26.8253
125.244151 72.721 -26.8662
125.610362 72.708 -26.9072
125.976573 72.696 -26.9481
126.342784 72.683 -26.9888
126.708995 72.671 -27.0287
127.075206 72.658 -27.0676
127.441417 72.646 -27.1058
127.807628 72.634 -27.1434
128.173839 72.621 -27.1808
128.540049 72.609 -27.2181
128.906260 72.597 -27.2557
129.272471 72.584 -27.2935
129.638682 72.572 -27.3311
130.004893 72.560 -27.3683
130.371104 72.547 -27.4048
130.737315 72.535 -27.4404
131.103526 72.523 -27.4750
131.469737 72.510 -27.5084
131.835948 72.498 -27.5413
132.202159 72.486 -27.5737
132.568370 72.475 -27.6063
132.934581 72.463 -27.6390
133.300792 72.451 -27.6721
133.667003 72.440 -27.7050
134.033214 72.428 -27.7374
134.399425 72.416 -27.7689
134.765636 72.404 -27.7994
135.131847 72.393 -27.8289
135.498058 72.381 -27.8578
135.864269 72.369 -27.8865
136.230480 72.358 -27.9156
136.596691 72.347 -27.9454
136.962902 72.335 -27.9755
137.329113 72.324 -28.0056
137.695324 72.312 -28.0353
138.061535 72.300 -28.0640
138.427746 72.288 -28.0916
138.793957 72.277 -28.1182
139.160168 72.265 -28.1442
139.526379 72.253 -28.1700
139.892589 72.242 -28.1960
140.258800 72.230 -28.2222
140.625011 72.219 -28.2487
140.991222 72.207 -28.2751
141.357433 72.196 -28.3014
141.723644 72.184 -28.3273
142.089855 72.173 -28.3527
142.456066 72.162 -28.3776
142.822277 72.150 -28.4022
143.188488 72.139 -28.4265
143.554699 72.128 -28.4506
143.920910 72.116 -28.4748
144.287121 72.105 -28.4991
144.653332 72.094 -28.5235
145.019543 72.083 -28.5479
145.385754 72.072 -28.5721
145.751965 72.060 -28.5959
