* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:51:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Purple Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.669 -32.5523
0.732422 65.727 -67.9221
1.098633 62.548 -111.3257
1.464844 59.461 -170.1754
1.831055 58.895 128.2046
2.197266 58.480 82.2339
2.563477 54.999 44.1750
2.929688 41.321 -49.3329
3.295899 55.963 -168.7515
3.662110 61.707 163.9778
4.028321 64.177 143.7279
4.394532 64.940 129.0571
4.760743 64.757 121.9214
5.126954 64.673 123.4214
5.493164 65.667 127.6963
5.859375 67.284 127.1487
6.225586 68.644 121.9219
6.591797 69.470 115.2261
6.958008 69.872 109.5577
7.324219 70.132 105.9998
7.690430 70.519 103.9581
8.056641 71.098 101.8573
8.422852 71.723 98.7591
8.789063 72.238 94.9378
9.155274 72.599 91.1935
9.521485 72.866 88.0960
9.887696 73.122 85.6537
10.253907 73.343 83.4730
10.620118 73.537 81.2097
10.986329 73.690 78.8450
11.352540 73.785 76.5783
11.718751 73.840 74.5604
12.084962 73.881 72.7559
12.451173 73.918 71.0169
12.817384 73.994 69.2584
13.183595 74.051 67.5242
13.549806 74.082 65.9041
13.916017 74.104 64.4144
14.282228 74.128 62.9734
14.648439 74.151 61.4886
15.014650 74.162 59.9509
15.380861 74.155 58.4348
15.747072 74.138 57.0148
16.113283 74.132 55.6905
16.479493 74.148 54.3960
16.845704 74.171 53.0743
17.211915 74.190 51.7357
17.578126 74.201 50.4384
17.944337 74.210 49.2281
18.310548 74.223 48.0984
18.676759 74.243 47.0088
19.042970 74.264 45.9326
19.409181 74.282 44.8810
19.775392 74.295 43.8798
20.141603 74.308 42.9385
20.507814 74.325 42.0370
20.874025 74.342 41.1521
21.240236 74.355 40.2792
21.606447 74.363 39.4319
21.972658 74.369 38.6199
22.338869 74.376 37.8300
22.705080 74.384 37.0403
23.071291 74.390 36.2405
23.437502 74.392 35.4426
23.803713 74.392 34.6650
24.169924 74.392 33.9142
24.536135 74.395 33.1768
24.902346 74.401 32.4374
25.268557 74.407 31.6946
25.634768 74.412 30.9622
26.000979 74.417 30.2543
26.367190 74.423 29.5716
26.733401 74.431 28.9045
27.099612 74.439 28.2454
27.465823 74.447 27.5984
27.832033 74.453 26.9742
28.198244 74.459 26.3766
28.564455 74.466 25.7991
28.930666 74.472 25.2298
29.296877 74.478 24.6647
29.663088 74.481 24.1088
30.029299 74.481 23.5689
30.395510 74.481 23.0458
30.761721 74.481 22.5322
31.127932 74.481 22.0216
31.494143 74.480 21.5117
31.860354 74.477 21.0054
32.226565 74.474 20.5049
32.592776 74.471 20.0085
32.958987 74.468 19.5142
33.325198 74.464 19.0228
33.691409 74.460 18.5391
34.057620 74.456 18.0662
34.423831 74.453 17.6014
34.790042 74.450 17.1407
35.156253 74.448 16.6819
35.522464 74.445 16.2281
35.888675 74.442 15.7851
36.254886 74.438 15.3546
36.621097 74.435 14.9337
36.987308 74.432 14.5182
37.353519 74.429 14.1064
37.719730 74.424 13.7014
38.085941 74.419 13.3063
38.452152 74.413 12.9207
38.818363 74.408 12.5406
39.184573 74.402 12.1629
39.550784 74.396 11.7872
39.916995 74.389 11.4158
40.283206 74.383 11.0506
40.649417 74.377 10.6900
41.015628 74.370 10.3313
41.381839 74.364 9.9736
41.748050 74.357 9.6187
42.114261 74.350 9.2694
42.480472 74.343 8.9269
42.846683 74.336 8.5903
43.212894 74.329 8.2578
43.579105 74.322 7.9281
43.945316 74.315 7.6016
44.311527 74.309 7.2785
44.677738 74.302 6.9582
45.043949 74.295 6.6410
45.410160 74.287 6.3284
45.776371 74.279 6.0221
46.142582 74.271 5.7222
46.508793 74.263 5.4269
46.875004 74.255 5.1334
47.241215 74.247 4.8405
47.607426 74.239 4.5494
47.973637 74.230 4.2627
48.339848 74.220 3.9816
48.706059 74.211 3.7047
49.072270 74.203 3.4297
49.438481 74.194 3.1556
49.804692 74.185 2.8834
50.170902 74.175 2.6154
50.537113 74.166 2.3527
50.903324 74.156 2.0948
51.269535 74.147 1.8404
51.635746 74.138 1.5879
52.001957 74.129 1.3370
52.368168 74.120 1.0875
52.734379 74.111 0.8400
53.100590 74.101 0.5952
53.466801 74.091 0.3534
53.833012 74.081 0.1151
54.199223 74.071 -0.1202
54.565434 74.061 -0.3532
54.931645 74.051 -0.5847
55.297856 74.040 -0.8141
55.664067 74.030 -1.0408
56.030278 74.019 -1.2642
56.396489 74.009 -1.4857
56.762700 73.999 -1.7064
57.128911 73.989 -1.9273
57.495122 73.979 -2.1473
57.861333 73.968 -2.3638
58.227544 73.957 -2.5753
58.593755 73.947 -2.7825
58.959966 73.937 -2.9874
59.326177 73.926 -3.1917
59.692388 73.916 -3.3954
60.058599 73.905 -3.5971
60.424810 73.894 -3.7946
60.791021 73.883 -3.9877
61.157232 73.872 -4.1777
61.523442 73.862 -4.3669
61.889653 73.851 -4.5566
62.255864 73.840 -4.7470
62.622075 73.829 -4.9368
62.988286 73.817 -5.1245
63.354497 73.805 -5.3091
63.720708 73.792 -5.4907
64.086919 73.779 -5.6699
64.453130 73.767 -5.8478
64.819341 73.754 -6.0250
65.185552 73.742 -6.2020
65.551763 73.729 -6.3781
65.917974 73.717 -6.5527
66.284185 73.704 -6.7251
66.650396 73.692 -6.8954
67.016607 73.679 -7.0639
67.382818 73.667 -7.2311
67.749029 73.654 -7.3972
68.115240 73.642 -7.5615
68.481451 73.629 -7.7241
68.847662 73.617 -7.8848
69.213873 73.604 -8.0436
69.580084 73.591 -8.2001
69.946295 73.578 -8.3542
70.312506 73.566 -8.5063
70.678717 73.553 -8.6571
71.044928 73.540 -8.8071
71.411139 73.528 -8.9570
71.777350 73.515 -9.1067
72.143561 73.502 -9.2556
72.509771 73.489 -9.4030
72.875982 73.476 -9.5482
73.242193 73.463 -9.6909
73.608404 73.449 -9.8314
73.974615 73.436 -9.9702
74.340826 73.423 -10.1082
74.707037 73.410 -10.2457
75.073248 73.397 -10.3826
75.439459 73.384 -10.5184
75.805670 73.371 -10.6523
76.171881 73.358 -10.7841
76.538092 73.344 -10.9139
76.904303 73.331 -11.0427
77.270514 73.318 -11.1708
77.636725 73.305 -11.2982
78.002936 73.292 -11.4244
78.369147 73.278 -11.5493
78.735358 73.265 -11.6733
79.101569 73.252 -11.7972
79.467780 73.239 -11.9218
79.833991 73.226 -12.0468
80.200202 73.213 -12.1710
80.566413 73.199 -12.2934
80.932624 73.186 -12.4135
81.298835 73.173 -12.5316
81.665046 73.159 -12.6484
82.031257 73.146 -12.7646
82.397468 73.133 -12.8802
82.763679 73.120 -12.9949
83.129890 73.107 -13.1083
83.496101 73.094 -13.2204
83.862311 73.081 -13.3316
84.228522 73.068 -13.4423
84.594733 73.055 -13.5523
84.960944 73.042 -13.6612
85.327155 73.028 -13.7680
85.693366 73.015 -13.8725
86.059577 73.002 -13.9755
86.425788 72.989 -14.0782
86.791999 72.977 -14.1824
87.158210 72.964 -14.2878
87.524421 72.951 -14.3936
87.890632 72.937 -14.4978
88.256843 72.923 -14.5992
88.623054 72.910 -14.6981
88.989265 72.897 -14.7953
89.355476 72.883 -14.8921
89.721687 72.870 -14.9893
90.087898 72.857 -15.0865
90.454109 72.844 -15.1832
90.820320 72.831 -15.2782
91.186531 72.818 -15.3715
91.552742 72.805 -15.4635
91.918953 72.792 -15.5548
92.285164 72.779 -15.6462
92.651375 72.766 -15.7377
93.017586 72.753 -15.8293
93.383797 72.740 -15.9203
93.750008 72.727 -16.0101
94.116219 72.714 -16.0985
94.482430 72.700 -16.1859
94.848641 72.687 -16.2727
95.214851 72.674 -16.3592
95.581062 72.661 -16.4453
95.947273 72.648 -16.5303
96.313484 72.634 -16.6141
96.679695 72.621 -16.6963
97.045906 72.608 -16.7772
97.412117 72.594 -16.8574
97.778328 72.581 -16.9372
98.144539 72.568 -17.0166
98.510750 72.555 -17.0955
98.876961 72.542 -17.1737
99.243172 72.530 -17.2513
99.609383 72.517 -17.3284
99.975594 72.504 -17.4053
100.341805 72.491 -17.4820
100.708016 72.478 -17.5583
101.074227 72.465 -17.6341
101.440438 72.452 -17.7090
101.806649 72.439 -17.7831
102.172860 72.426 -17.8562
102.539071 72.413 -17.9285
102.905282 72.400 -18.0001
103.271493 72.388 -18.0710
103.637704 72.375 -18.1417
104.003915 72.362 -18.2122
104.370126 72.349 -18.2830
104.736337 72.337 -18.3542
105.102548 72.324 -18.4252
105.468759 72.311 -18.4954
105.834970 72.298 -18.5641
106.201180 72.285 -18.6311
106.567391 72.272 -18.6965
106.933602 72.259 -18.7606
107.299813 72.246 -18.8243
107.666024 72.234 -18.8881
108.032235 72.222 -18.9520
108.398446 72.209 -19.0162
108.764657 72.197 -19.0804
109.130868 72.184 -19.1445
109.497079 72.171 -19.2080
109.863290 72.159 -19.2704
110.229501 72.146 -19.3314
110.595712 72.133 -19.3913
110.961923 72.120 -19.4503
111.328134 72.108 -19.5090
111.694345 72.095 -19.5675
112.060556 72.083 -19.6260
112.426767 72.070 -19.6842
112.792978 72.057 -19.7419
113.159189 72.045 -19.7991
113.525400 72.032 -19.8560
113.891611 72.020 -19.9127
114.257822 72.007 -19.9693
114.624033 71.995 -20.0258
114.990244 71.982 -20.0818
115.356455 71.970 -20.1371
115.722666 71.957 -20.1915
116.088877 71.945 -20.2450
116.455088 71.932 -20.2977
116.821299 71.920 -20.3502
117.187510 71.908 -20.4023
117.553720 71.895 -20.4547
117.919931 71.883 -20.5071
118.286142 71.871 -20.5594
118.652353 71.858 -20.6113
119.018564 71.846 -20.6620
119.384775 71.833 -20.7114
119.750986 71.821 -20.7592
120.117197 71.808 -20.8056
120.483408 71.796 -20.8511
120.849619 71.784 -20.8962
121.215830 71.772 -20.9412
121.582041 71.760 -20.9866
121.948252 71.748 -21.0324
122.314463 71.736 -21.0787
122.680674 71.724 -21.1255
123.046885 71.712 -21.1725
123.413096 71.700 -21.2196
123.779307 71.688 -21.2664
124.145518 71.676 -21.3124
124.511729 71.664 -21.3575
124.877940 71.652 -21.4012
125.244151 71.640 -21.4438
125.610362 71.629 -21.4856
125.976573 71.618 -21.5269
126.342784 71.607 -21.5680
126.708995 71.596 -21.6091
127.075206 71.585 -21.6503
127.441417 71.575 -21.6914
127.807628 71.564 -21.7322
128.173839 71.553 -21.7725
128.540049 71.542 -21.8122
128.906260 71.532 -21.8512
129.272471 71.521 -21.8896
129.638682 71.511 -21.9276
130.004893 71.500 -21.9653
130.371104 71.489 -22.0027
130.737315 71.479 -22.0400
131.103526 71.468 -22.0770
131.469737 71.458 -22.1137
131.835948 71.447 -22.1498
132.202159 71.437 -22.1851
132.568370 71.426 -22.2196
132.934581 71.415 -22.2534
133.300792 71.405 -22.2867
133.667003 71.395 -22.3199
134.033214 71.384 -22.3533
134.399425 71.374 -22.3873
134.765636 71.364 -22.4220
135.131847 71.354 -22.4573
135.498058 71.344 -22.4928
135.864269 71.334 -22.5281
136.230480 71.323 -22.5627
136.596691 71.313 -22.5962
136.962902 71.302 -22.6285
137.329113 71.292 -22.6598
137.695324 71.282 -22.6906
138.061535 71.272 -22.7212
138.427746 71.262 -22.7521
138.793957 71.252 -22.7835
139.160168 71.242 -22.8152
139.526379 71.232 -22.8469
139.892589 71.222 -22.8782
140.258800 71.212 -22.9088
140.625011 71.202 -22.9385
140.991222 71.192 -22.9675
141.357433 71.181 -22.9959
141.723644 71.171 -23.0239
142.089855 71.161 -23.0517
142.456066 71.151 -23.0792
142.822277 71.140 -23.1063
143.188488 71.130 -23.1329
143.554699 71.120 -23.1591
143.920910 71.110 -23.1850
144.287121 71.100 -23.2107
144.653332 71.090 -23.2363
145.019543 71.080 -23.2618
145.385754 71.070 -23.2873
145.751965 71.060 -23.3129
146.118176 71.050 -23.3383
