* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:49:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Gray f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.324 -32.2763
0.732422 65.352 -67.3679
1.098633 62.103 -110.6079
1.464844 58.939 -169.9124
1.831055 58.437 128.0635
2.197266 58.059 82.6182
2.563477 54.466 45.8055
2.929688 38.759 -56.4935
3.295899 55.931 -171.6592
3.662110 61.614 162.7396
4.028321 64.073 143.1599
4.394532 64.853 128.9128
4.760743 64.715 122.0047
5.126954 64.683 123.3860
5.493164 65.679 127.3438
5.859375 67.265 126.6914
6.225586 68.603 121.5457
6.591797 69.423 114.9778
6.958008 69.833 109.4067
7.324219 70.105 105.8782
7.690430 70.499 103.8099
8.056641 71.076 101.6857
8.422852 71.696 98.6060
8.789063 72.210 94.8339
9.155274 72.575 91.1400
9.521485 72.848 88.0732
9.887696 73.109 85.6393
10.253907 73.332 83.4594
10.620118 73.527 81.2044
10.986329 73.682 78.8583
11.352540 73.780 76.6109
11.718751 73.838 74.6049
12.084962 73.882 72.8044
12.451173 73.921 71.0684
12.817384 74.000 69.3169
13.183595 74.059 67.5921
13.549806 74.093 65.9805
13.916017 74.117 64.4951
14.282228 74.144 63.0555
14.648439 74.169 61.5717
15.014650 74.181 60.0374
15.380861 74.175 58.5259
15.747072 74.160 57.1091
16.113283 74.154 55.7880
16.479493 74.171 54.4981
16.845704 74.194 53.1835
17.211915 74.213 51.8530
17.578126 74.224 50.5625
17.944337 74.234 49.3557
18.310548 74.247 48.2277
18.676759 74.267 47.1399
19.042970 74.288 46.0674
19.409181 74.305 45.0194
19.775392 74.319 44.0207
20.141603 74.332 43.0781
20.507814 74.349 42.1741
20.874025 74.365 41.2865
21.240236 74.377 40.4134
21.606447 74.384 39.5686
21.972658 74.390 38.7607
22.338869 74.396 37.9761
22.705080 74.404 37.1911
23.071291 74.410 36.3957
23.437502 74.413 35.6006
23.803713 74.413 34.8258
24.169924 74.413 34.0768
24.536135 74.417 33.3417
24.902346 74.422 32.6047
25.268557 74.429 31.8633
25.634768 74.434 31.1317
26.000979 74.438 30.4244
26.367190 74.444 29.7448
26.733401 74.452 29.0822
27.099612 74.461 28.4286
27.465823 74.469 27.7856
27.832033 74.477 27.1605
28.198244 74.483 26.5580
28.564455 74.489 25.9737
28.930666 74.495 25.4020
29.296877 74.499 24.8404
29.663088 74.501 24.2936
30.029299 74.503 23.7635
30.395510 74.504 23.2458
30.761721 74.505 22.7307
31.127932 74.506 22.2128
31.494143 74.504 21.6952
31.860354 74.501 21.1862
32.226565 74.497 20.6899
32.592776 74.493 20.2029
32.958987 74.490 19.7184
33.325198 74.488 19.2328
33.691409 74.485 18.7490
34.057620 74.482 18.2716
34.423831 74.479 17.8036
34.790042 74.476 17.3430
35.156253 74.473 16.8878
35.522464 74.471 16.4389
35.888675 74.467 15.9990
36.254886 74.464 15.5699
36.621097 74.461 15.1501
36.987308 74.458 14.7375
37.353519 74.454 14.3315
37.719730 74.450 13.9331
38.085941 74.446 13.5424
38.452152 74.441 13.1573
38.818363 74.436 12.7747
39.184573 74.431 12.3937
39.550784 74.424 12.0165
39.916995 74.417 11.6458
40.283206 74.411 11.2822
40.649417 74.404 10.9233
41.015628 74.399 10.5664
41.381839 74.392 10.2103
41.748050 74.385 9.8583
42.114261 74.378 9.5125
42.480472 74.372 9.1730
42.846683 74.365 8.8374
43.212894 74.359 8.5032
43.579105 74.353 8.1711
43.945316 74.346 7.8423
44.311527 74.339 7.5190
44.677738 74.332 7.2007
45.043949 74.325 6.8873
45.410160 74.318 6.5781
45.776371 74.310 6.2740
46.142582 74.302 5.9756
46.508793 74.294 5.6810
46.875004 74.287 5.3884
47.241215 74.279 5.0965
47.607426 74.271 4.8066
47.973637 74.262 4.5211
48.339848 74.253 4.2411
48.706059 74.245 3.9657
49.072270 74.236 3.6927
49.438481 74.228 3.4209
49.804692 74.219 3.1503
50.170902 74.211 2.8824
50.537113 74.202 2.6181
50.903324 74.193 2.3576
51.269535 74.184 2.1004
51.635746 74.176 1.8457
52.001957 74.167 1.5934
52.368168 74.158 1.3440
52.734379 74.148 1.0977
53.100590 74.139 0.8548
53.466801 74.129 0.6152
53.833012 74.119 0.3790
54.199223 74.110 0.1451
54.565434 74.100 -0.0875
54.931645 74.090 -0.3196
55.297856 74.080 -0.5502
55.664067 74.070 -0.7777
56.030278 74.059 -1.0012
56.396489 74.049 -1.2214
56.762700 74.038 -1.4398
57.128911 74.028 -1.6578
57.495122 74.018 -1.8749
57.861333 74.007 -2.0894
58.227544 73.997 -2.2997
58.593755 73.986 -2.5057
58.959966 73.976 -2.7092
59.326177 73.966 -2.9119
59.692388 73.956 -3.1144
60.058599 73.946 -3.3160
60.424810 73.936 -3.5154
60.791021 73.925 -3.7119
61.157232 73.915 -3.9061
61.523442 73.904 -4.0983
61.889653 73.894 -4.2891
62.255864 73.883 -4.4786
62.622075 73.871 -4.6663
62.988286 73.860 -4.8522
63.354497 73.848 -5.0361
63.720708 73.836 -5.2175
64.086919 73.823 -5.3970
64.453130 73.811 -5.5750
64.819341 73.798 -5.7520
65.185552 73.786 -5.9279
65.551763 73.773 -6.1024
65.917974 73.760 -6.2746
66.284185 73.748 -6.4438
66.650396 73.735 -6.6105
67.016607 73.723 -6.7756
67.382818 73.710 -6.9398
67.749029 73.698 -7.1031
68.115240 73.686 -7.2653
68.481451 73.673 -7.4253
68.847662 73.661 -7.5834
69.213873 73.648 -7.7401
69.580084 73.636 -7.8957
69.946295 73.624 -8.0506
70.312506 73.611 -8.2048
70.678717 73.599 -8.3581
71.044928 73.586 -8.5100
71.411139 73.573 -8.6613
71.777350 73.560 -8.8113
72.143561 73.547 -8.9598
72.509771 73.534 -9.1061
72.875982 73.521 -9.2493
73.242193 73.507 -9.3893
73.608404 73.494 -9.5271
73.974615 73.481 -9.6638
74.340826 73.469 -9.8005
74.707037 73.456 -9.9376
75.073248 73.443 -10.0748
75.439459 73.430 -10.2108
75.805670 73.417 -10.3445
76.171881 73.404 -10.4758
76.538092 73.391 -10.6057
76.904303 73.379 -10.7351
77.270514 73.366 -10.8649
77.636725 73.353 -10.9948
78.002936 73.340 -11.1240
78.369147 73.326 -11.2518
78.735358 73.313 -11.3777
79.101569 73.300 -11.5019
79.467780 73.286 -11.6242
79.833991 73.273 -11.7451
80.200202 73.260 -11.8650
80.566413 73.248 -11.9843
80.932624 73.235 -12.1034
81.298835 73.223 -12.2226
81.665046 73.210 -12.3416
82.031257 73.197 -12.4597
82.397468 73.185 -12.5768
82.763679 73.172 -12.6926
83.129890 73.159 -12.8073
83.496101 73.146 -12.9210
83.862311 73.133 -13.0334
84.228522 73.120 -13.1443
84.594733 73.107 -13.2538
84.960944 73.094 -13.3621
85.327155 73.081 -13.4692
85.693366 73.068 -13.5756
86.059577 73.055 -13.6812
86.425788 73.042 -13.7863
86.791999 73.029 -13.8907
87.158210 73.016 -13.9945
87.524421 73.003 -14.0976
87.890632 72.990 -14.1997
88.256843 72.977 -14.3006
88.623054 72.964 -14.3999
88.989265 72.951 -14.4980
89.355476 72.938 -14.5950
89.721687 72.925 -14.6915
90.087898 72.912 -14.7878
90.454109 72.899 -14.8835
90.820320 72.886 -14.9786
91.186531 72.873 -15.0727
91.552742 72.860 -15.1656
91.918953 72.847 -15.2569
92.285164 72.834 -15.3469
92.651375 72.821 -15.4357
93.017586 72.808 -15.5234
93.383797 72.795 -15.6104
93.750008 72.782 -15.6965
94.116219 72.769 -15.7819
94.482430 72.756 -15.8665
94.848641 72.743 -15.9506
95.214851 72.730 -16.0345
95.581062 72.717 -16.1187
95.947273 72.705 -16.2033
96.313484 72.692 -16.2884
96.679695 72.679 -16.3734
97.045906 72.666 -16.4579
97.412117 72.653 -16.5416
97.778328 72.640 -16.6241
98.144539 72.627 -16.7059
98.510750 72.614 -16.7871
98.876961 72.601 -16.8678
99.243172 72.588 -16.9478
99.609383 72.575 -17.0267
99.975594 72.561 -17.1041
100.341805 72.548 -17.1801
100.708016 72.536 -17.2549
101.074227 72.523 -17.3290
101.440438 72.510 -17.4026
101.806649 72.497 -17.4760
102.172860 72.485 -17.5491
102.539071 72.472 -17.6220
102.905282 72.460 -17.6946
103.271493 72.447 -17.7670
103.637704 72.434 -17.8392
104.003915 72.421 -17.9109
104.370126 72.409 -17.9822
104.736337 72.396 -18.0527
105.102548 72.383 -18.1224
105.468759 72.370 -18.1911
105.834970 72.357 -18.2589
106.201180 72.344 -18.3259
106.567391 72.332 -18.3922
106.933602 72.319 -18.4581
107.299813 72.307 -18.5232
107.666024 72.294 -18.5875
108.032235 72.282 -18.6511
108.398446 72.270 -18.7142
108.764657 72.258 -18.7772
109.130868 72.246 -18.8404
109.497079 72.233 -18.9040
109.863290 72.221 -18.9677
110.229501 72.209 -19.0307
110.595712 72.196 -19.0927
110.961923 72.184 -19.1534
111.328134 72.171 -19.2129
111.694345 72.159 -19.2715
112.060556 72.146 -19.3295
112.426767 72.134 -19.3866
112.792978 72.121 -19.4427
113.159189 72.108 -19.4977
113.525400 72.096 -19.5518
113.891611 72.083 -19.6054
114.257822 72.071 -19.6591
114.624033 72.059 -19.7130
114.990244 72.047 -19.7675
115.356455 72.034 -19.8222
115.722666 72.022 -19.8770
116.088877 72.010 -19.9313
116.455088 71.997 -19.9851
116.821299 71.984 -20.0381
117.187510 71.972 -20.0904
117.553720 71.959 -20.1420
117.919931 71.947 -20.1933
118.286142 71.935 -20.2444
118.652353 71.922 -20.2954
119.018564 71.910 -20.3463
119.384775 71.898 -20.3967
119.750986 71.886 -20.4467
120.117197 71.873 -20.4962
120.483408 71.861 -20.5453
120.849619 71.849 -20.5946
121.215830 71.837 -20.6439
121.582041 71.825 -20.6929
121.948252 71.812 -20.7411
122.314463 71.800 -20.7879
122.680674 71.788 -20.8334
123.046885 71.775 -20.8777
123.413096 71.763 -20.9213
123.779307 71.751 -20.9646
124.145518 71.740 -21.0077
124.511729 71.728 -21.0507
124.877940 71.717 -21.0932
125.244151 71.705 -21.1354
125.610362 71.694 -21.1774
125.976573 71.684 -21.2195
126.342784 71.673 -21.2621
126.708995 71.662 -21.3051
127.075206 71.652 -21.3483
127.441417 71.641 -21.3916
127.807628 71.631 -21.4344
128.173839 71.620 -21.4766
128.540049 71.609 -21.5178
128.906260 71.598 -21.5577
129.272471 71.587 -21.5964
129.638682 71.576 -21.6342
130.004893 71.566 -21.6711
130.371104 71.555 -21.7076
130.737315 71.545 -21.7439
131.103526 71.534 -21.7799
131.469737 71.524 -21.8156
131.835948 71.514 -21.8510
132.202159 71.503 -21.8860
132.568370 71.493 -21.9208
132.934581 71.483 -21.9554
133.300792 71.472 -21.9901
133.667003 71.462 -22.0246
134.033214 71.452 -22.0589
134.399425 71.441 -22.0928
134.765636 71.431 -22.1262
135.131847 71.420 -22.1592
135.498058 71.410 -22.1919
135.864269 71.400 -22.2247
136.230480 71.389 -22.2576
136.596691 71.379 -22.2906
136.962902 71.369 -22.3237
137.329113 71.358 -22.3564
137.695324 71.348 -22.3887
138.061535 71.338 -22.4204
138.427746 71.328 -22.4516
138.793957 71.317 -22.4826
139.160168 71.307 -22.5134
139.526379 71.297 -22.5441
139.892589 71.287 -22.5746
140.258800 71.277 -22.6044
140.625011 71.267 -22.6336
140.991222 71.257 -22.6620
141.357433 71.247 -22.6901
141.723644 71.237 -22.7179
142.089855 71.227 -22.7458
142.456066 71.218 -22.7741
142.822277 71.208 -22.8027
143.188488 71.198 -22.8314
143.554699 71.188 -22.8598
143.920910 71.178 -22.8878
144.287121 71.168 -22.9150
144.653332 71.158 -22.9415
145.019543 71.148 -22.9672
145.385754 71.138 -22.9923
145.751965 71.128 -23.0171
146.118176 71.118 -23.0416
