* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:05:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Black Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.304 -21.7976
0.732422 85.405 -43.5972
1.098633 81.774 -65.4466
1.464844 74.881 -87.7212
1.831055 44.624 124.7786
2.197266 71.292 53.3834
2.563477 73.590 32.2413
2.929688 71.496 12.8101
3.295899 63.116 -0.7232
3.662110 61.823 139.0608
4.028321 70.123 129.1745
4.394532 72.141 116.3022
4.760743 71.506 109.1438
5.126954 69.585 116.1803
5.493164 69.606 137.4534
5.859375 71.864 146.9595
6.225586 73.461 143.7241
6.591797 73.860 136.8183
6.958008 73.370 131.4633
7.324219 72.627 130.4688
7.690430 72.455 132.4974
8.056641 73.050 132.3052
8.422852 73.869 127.6508
8.789063 74.504 120.4335
9.155274 74.909 113.2461
9.521485 75.237 107.7411
9.887696 75.679 104.1410
10.253907 76.247 101.5283
10.620118 76.890 98.9762
10.986329 77.497 96.3284
11.352540 78.000 93.9482
11.718751 78.410 92.1482
12.084962 78.769 90.9092
12.451173 79.101 89.9777
12.817384 79.463 89.1261
13.183595 79.789 88.2799
13.549806 80.070 87.4368
13.916017 80.318 86.5487
14.282228 80.537 85.5178
14.648439 80.720 84.2910
15.014650 80.860 82.9219
15.380861 80.963 81.5295
15.747072 81.049 80.2004
16.113283 81.149 78.9311
16.479493 81.283 77.6523
16.845704 81.441 76.2978
17.211915 81.615 74.8451
17.578126 81.799 73.3092
17.944337 81.981 71.7268
18.310548 82.154 70.1613
18.676759 82.310 68.7094
19.042970 82.453 67.4719
19.409181 82.595 66.4925
19.775392 82.750 65.7130
20.141603 82.921 65.0064
20.507814 83.094 64.2714
20.874025 83.249 63.5052
21.240236 83.378 62.7843
21.606447 83.487 62.1731
21.972658 83.592 61.6470
22.338869 83.696 61.1033
22.705080 83.792 60.4525
23.071291 83.864 59.7040
23.437502 83.904 58.9630
23.803713 83.924 58.3451
24.169924 83.946 57.8789
24.536135 83.989 57.4784
24.902346 84.055 57.0094
25.268557 84.133 56.3923
25.634768 84.206 55.6510
26.000979 84.268 54.8747
26.367190 84.324 54.1399
26.733401 84.383 53.4566
27.099612 84.450 52.7796
27.465823 84.517 52.0686
27.832033 84.572 51.3438
28.198244 84.609 50.6904
28.564455 84.633 50.2072
28.930666 84.663 49.9325
29.296877 84.716 49.8009
29.663088 84.797 49.6682
30.029299 84.896 49.3969
30.395510 84.990 48.9391
30.761721 85.061 48.3561
31.127932 85.102 47.7689
31.494143 85.123 47.2794
31.860354 85.137 46.9154
32.226565 85.158 46.6301
32.592776 85.188 46.3514
32.958987 85.222 46.0358
33.325198 85.254 45.6859
33.691409 85.283 45.3277
34.057620 85.311 44.9791
34.423831 85.339 44.6386
34.790042 85.369 44.2975
35.156253 85.399 43.9549
35.522464 85.429 43.6167
35.888675 85.458 43.2844
36.254886 85.487 42.9516
36.621097 85.513 42.6173
36.987308 85.533 42.3004
37.353519 85.548 42.0352
37.719730 85.563 41.8438
38.085941 85.586 41.7084
38.452152 85.620 41.5721
38.818363 85.662 41.3761
39.184573 85.701 41.1012
39.550784 85.730 40.7801
39.916995 85.748 40.4698
40.283206 85.760 40.2099
40.649417 85.774 39.9989
41.015628 85.793 39.8060
41.381839 85.816 39.5999
41.748050 85.840 39.3703
42.114261 85.863 39.1234
42.480472 85.884 38.8667
42.846683 85.904 38.6013
43.212894 85.920 38.3300
43.579105 85.930 38.0692
43.945316 85.937 37.8466
44.311527 85.943 37.6827
44.677738 85.954 37.5700
45.043949 85.975 37.4703
45.410160 86.004 37.3365
45.776371 86.033 37.1428
46.142582 86.057 36.9004
46.508793 86.071 36.6483
46.875004 86.076 36.4298
47.241215 86.079 36.2676
47.607426 86.083 36.1560
47.973637 86.094 36.0679
48.339848 86.111 35.9718
48.706059 86.130 35.8473
49.072270 86.149 35.6921
49.438481 86.164 35.5201
49.804692 86.175 35.3525
50.170902 86.185 35.2063
50.537113 86.194 35.0857
50.903324 86.207 34.9808
51.269535 86.223 34.8749
51.635746 86.240 34.7558
52.001957 86.257 34.6229
52.368168 86.271 34.4856
52.734379 86.284 34.3542
53.100590 86.295 34.2329
53.466801 86.305 34.1193
53.833012 86.315 34.0113
54.199223 86.323 33.9137
54.565434 86.329 33.8362
54.931645 86.337 33.7842
55.297856 86.348 33.7489
55.664067 86.366 33.7077
56.030278 86.387 33.6354
56.396489 86.408 33.5188
56.762700 86.426 33.3636
57.128911 86.438 33.1894
57.495122 86.444 33.0193
57.861333 86.446 32.8718
58.227544 86.446 32.7581
58.593755 86.448 32.6806
58.959966 86.455 32.6297
59.326177 86.468 32.5804
59.692388 86.489 32.4971
60.058599 86.511 32.3524
60.424810 86.527 32.1487
60.791021 86.530 31.9266
61.157232 86.522 31.7484
61.523442 86.508 31.6621
61.889653 86.499 31.6704
62.255864 86.503 31.7264
62.622075 86.520 31.7642
62.988286 86.542 31.7414
63.354497 86.560 31.6622
63.720708 86.572 31.5657
64.086919 86.579 31.4921
64.453130 86.586 31.4549
64.819341 86.596 31.4373
65.185552 86.612 31.4117
65.551763 86.629 31.3611
65.917974 86.645 31.2870
66.284185 86.659 31.1999
66.650396 86.672 31.1066
67.016607 86.682 31.0062
67.382818 86.690 30.8990
67.749029 86.693 30.7950
68.115240 86.692 30.7145
68.481451 86.690 30.6754
68.847662 86.690 30.6793
69.213873 86.696 30.7061
69.580084 86.710 30.7225
69.946295 86.727 30.7002
70.312506 86.744 30.6310
70.678717 86.757 30.5293
71.044928 86.762 30.4222
71.411139 86.763 30.3340
71.777350 86.761 30.2741
72.143561 86.761 30.2362
72.509771 86.761 30.2060
72.875982 86.762 30.1742
73.242193 86.762 30.1430
73.608404 86.760 30.1236
73.974615 86.758 30.1265
74.340826 86.759 30.1513
74.707037 86.764 30.1846
75.073248 86.773 30.2071
75.439459 86.785 30.2052
75.805670 86.796 30.1792
76.171881 86.805 30.1428
76.538092 86.812 30.1136
76.904303 86.819 30.1003
77.270514 86.831 30.0939
77.636725 86.848 30.0689
78.002936 86.867 29.9971
78.369147 86.884 29.8670
78.735358 86.891 29.6972
79.101569 86.886 29.5344
79.467780 86.872 29.4322
79.833991 86.856 29.4213
80.200202 86.848 29.4880
80.566413 86.853 29.5788
80.932624 86.870 29.6309
81.298835 86.890 29.6105
81.665046 86.905 29.5299
82.031257 86.912 29.4336
82.397468 86.912 29.3649
82.763679 86.910 29.3387
83.129890 86.912 29.3387
83.496101 86.918 29.3385
83.862311 86.925 29.3253
84.228522 86.930 29.3066
84.594733 86.935 29.2958
84.960944 86.942 29.2948
85.327155 86.951 29.2894
85.693366 86.961 29.2641
86.059577 86.969 29.2205
86.425788 86.974 29.1802
86.791999 86.976 29.1674
87.158210 86.982 29.1863
87.524421 86.994 29.2125
87.890632 87.011 29.2077
88.256843 87.030 29.1482
88.623054 87.043 29.0420
88.989265 87.048 28.9252
89.355476 87.043 28.8391
89.721687 87.036 28.8087
90.087898 87.030 28.8331
90.454109 87.029 28.8919
90.820320 87.035 28.9593
91.186531 87.046 29.0137
91.552742 87.060 29.0417
91.918953 87.075 29.0380
92.285164 87.087 29.0069
92.651375 87.095 28.9611
93.017586 87.098 28.9185
93.383797 87.098 28.8938
93.750008 87.098 28.8914
94.116219 87.099 28.9046
94.482430 87.101 28.9226
94.848641 87.105 28.9381
95.214851 87.110 28.9499
95.581062 87.116 28.9587
95.947273 87.123 28.9613
96.313484 87.131 28.9513
96.679695 87.138 28.9247
97.045906 87.143 28.8869
97.412117 87.145 28.8514
97.778328 87.146 28.8324
98.144539 87.146 28.8352
98.510750 87.149 28.8526
98.876961 87.155 28.8709
99.243172 87.163 28.8794
99.609383 87.171 28.8762
99.975594 87.178 28.8670
100.341805 87.185 28.8590
100.708016 87.191 28.8555
101.074227 87.198 28.8547
101.440438 87.205 28.8529
101.806649 87.212 28.8472
102.172860 87.219 28.8364
102.539071 87.225 28.8208
102.905282 87.230 28.8018
103.271493 87.233 28.7832
103.637704 87.235 28.7715
104.003915 87.235 28.7742
104.370126 87.235 28.7954
104.736337 87.237 28.8324
105.102548 87.242 28.8757
105.468759 87.250 28.9130
105.834970 87.260 28.9357
106.201180 87.269 28.9430
106.567391 87.278 28.9400
106.933602 87.286 28.9328
107.299813 87.294 28.9241
107.666024 87.301 28.9126
108.032235 87.307 28.8964
108.398446 87.312 28.8774
108.764657 87.315 28.8619
109.130868 87.317 28.8570
109.497079 87.319 28.8660
109.863290 87.322 28.8859
110.229501 87.326 28.9107
110.595712 87.332 28.9355
110.961923 87.338 28.9590
111.328134 87.345 28.9815
111.694345 87.354 29.0020
112.060556 87.363 29.0169
112.426767 87.374 29.0233
112.792978 87.384 29.0209
113.159189 87.394 29.0123
113.525400 87.403 28.9990
113.891611 87.412 28.9797
114.257822 87.420 28.9528
114.624033 87.426 28.9232
114.990244 87.428 28.9043
115.356455 87.429 28.9115
115.722666 87.432 28.9477
116.088877 87.440 28.9946
116.455088 87.453 29.0205
116.821299 87.466 29.0019
117.187510 87.475 28.9450
117.553720 87.474 28.8875
117.919931 87.465 28.8763
118.286142 87.457 28.9361
118.652353 87.455 29.0496
119.018564 87.465 29.1671
119.384775 87.483 29.2382
119.750986 87.501 29.2433
120.117197 87.514 29.2012
120.483408 87.519 29.1517
120.849619 87.518 29.1289
121.215830 87.517 29.1440
121.582041 87.518 29.1860
121.948252 87.524 29.2352
122.314463 87.533 29.2746
122.680674 87.545 29.2945
123.046885 87.556 29.2911
123.413096 87.566 29.2664
123.779307 87.572 29.2304
124.145518 87.574 29.2016
124.511729 87.574 29.1987
124.877940 87.574 29.2288
125.244151 87.579 29.2793
125.610362 87.589 29.3234
125.976573 87.602 29.3381
126.342784 87.613 29.3202
126.708995 87.619 29.2892
127.075206 87.621 29.2730
127.441417 87.620 29.2891
127.807628 87.622 29.3333
128.173839 87.628 29.3852
128.540049 87.637 29.4239
128.906260 87.647 29.4419
129.272471 87.654 29.4473
129.638682 87.660 29.4548
130.004893 87.664 29.4753
130.371104 87.670 29.5095
130.737315 87.678 29.5493
131.103526 87.688 29.5834
131.469737 87.700 29.6027
131.835948 87.712 29.6038
132.202159 87.722 29.5916
132.568370 87.729 29.5783
132.934581 87.733 29.5786
133.300792 87.738 29.6011
133.667003 87.745 29.6415
134.033214 87.755 29.6828
134.399425 87.768 29.7059
134.765636 87.781 29.7027
135.131847 87.790 29.6834
135.498058 87.795 29.6693
135.864269 87.798 29.6784
136.230480 87.802 29.7128
136.596691 87.809 29.7586
136.962902 87.818 29.7976
137.329113 87.829 29.8205
137.695324 87.839 29.8310
138.061535 87.847 29.8383
138.427746 87.855 29.8470
138.793957 87.864 29.8538
139.160168 87.871 29.8538
139.526379 87.878 29.8489
139.892589 87.882 29.8490
140.258800 87.886 29.8643
140.625011 87.891 29.8948
140.991222 87.899 29.9286
141.357433 87.909 29.9499
141.723644 87.919 29.9520
142.089855 87.927 29.9428
142.456066 87.932 29.9382
142.822277 87.937 29.9495
143.188488 87.942 29.9749
143.554699 87.950 30.0024
143.920910 87.959 30.0208
144.287121 87.967 30.0281
144.653332 87.975 30.0322
145.019543 87.980 30.0427
145.385754 87.986 30.0621
145.751965 87.994 30.0855
146.118176 88.002 30.1055
146.484387 88.010 30.1198
146.850598 88.017 30.1317
147.216809 88.024 30.1462
147.583020 88.031 30.1638
147.949231 88.039 30.1801
148.315442 88.047 30.1904
148.681653 88.055 30.1949
149.047864 88.061 30.1998
149.414075 88.066 30.2119
149.780286 88.073 30.2329
150.146497 88.080 30.2572
150.512708 88.089 30.2764
150.878918 88.098 30.2859
151.245129 88.106 30.2890
151.611340 88.112 30.2941
151.977551 88.118 30.3078
152.343762 88.125 30.3309
152.709973 88.133 30.3575
