* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:02:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Blue Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.680 158.7615
0.732422 81.798 137.7647
1.098633 78.188 117.5403
1.464844 71.277 100.6094
1.831055 54.950 -175.0423
2.197266 69.082 -139.6097
2.563477 71.784 -156.5468
2.929688 71.088 -174.7268
3.295899 67.730 170.2879
3.662110 61.156 172.8666
4.028321 59.201 -136.3858
4.394532 63.240 -135.1180
4.760743 64.711 -159.3766
5.126954 65.144 168.5853
5.493164 65.533 138.1664
5.859375 65.821 117.6379
6.225586 66.052 110.7189
6.591797 67.132 114.1377
6.958008 69.228 117.1738
7.324219 71.276 115.4418
7.690430 72.699 111.5449
8.056641 73.522 108.3562
8.422852 74.030 107.2890
8.789063 74.544 107.9187
9.155274 75.187 108.5439
9.521485 75.836 107.9578
9.887696 76.332 106.3086
10.253907 76.564 104.4330
10.620118 76.650 102.9928
10.986329 76.739 102.0371
11.352540 76.905 101.0934
11.718751 77.141 99.6602
12.084962 77.396 97.5912
12.451173 77.632 95.0609
12.817384 77.902 92.3332
13.183595 78.156 89.6166
13.549806 78.392 87.0551
13.916017 78.618 84.7630
14.282228 78.844 82.8152
14.648439 79.083 81.1999
15.014650 79.343 79.8095
15.380861 79.612 78.5115
15.747072 79.871 77.2435
16.113283 80.106 76.0429
16.479493 80.323 74.9873
16.845704 80.517 74.1099
17.211915 80.701 73.3620
17.578126 80.879 72.6469
17.944337 81.046 71.8868
18.310548 81.194 71.0581
18.676759 81.321 70.1802
19.042970 81.428 69.2840
19.409181 81.520 68.3908
19.775392 81.605 67.5083
20.141603 81.691 66.6293
20.507814 81.784 65.7302
20.874025 81.881 64.7795
21.240236 81.977 63.7652
21.606447 82.064 62.7219
21.972658 82.140 61.7292
22.338869 82.211 60.8705
22.705080 82.289 60.1758
23.071291 82.385 59.5972
23.437502 82.502 59.0413
23.803713 82.628 58.4388
24.169924 82.748 57.7888
24.536135 82.855 57.1476
24.902346 82.950 56.5750
25.268557 83.041 56.0867
25.634768 83.134 55.6446
26.000979 83.229 55.1856
26.367190 83.321 54.6617
26.733401 83.399 54.0631
27.099612 83.458 53.4185
27.465823 83.495 52.7823
27.832033 83.513 52.2168
28.198244 83.521 51.7699
28.564455 83.533 51.4487
28.930666 83.562 51.2024
29.296877 83.612 50.9352
29.663088 83.677 50.5531
30.029299 83.743 50.0197
30.395510 83.793 49.3817
30.761721 83.821 48.7453
31.127932 83.834 48.2173
31.494143 83.845 47.8449
31.860354 83.871 47.5897
32.226565 83.915 47.3571
32.592776 83.971 47.0620
32.958987 84.024 46.6855
33.325198 84.064 46.2816
33.691409 84.090 45.9331
34.057620 84.113 45.6883
34.423831 84.144 45.5226
34.790042 84.188 45.3536
35.156253 84.238 45.1009
35.522464 84.283 44.7449
35.888675 84.312 44.3369
36.254886 84.323 43.9569
36.621097 84.327 43.6548
36.987308 84.332 43.4216
37.353519 84.343 43.2116
37.719730 84.357 42.9934
38.085941 84.371 42.7796
38.452152 84.386 42.6040
38.818363 84.411 42.4683
39.184573 84.453 42.3123
39.550784 84.506 42.0468
39.916995 84.556 41.6282
40.283206 84.584 41.1122
40.649417 84.584 40.6362
41.015628 84.566 40.3392
41.381839 84.552 40.2692
41.748050 84.565 40.3445
42.114261 84.610 40.4024
42.480472 84.675 40.3082
42.846683 84.737 40.0344
43.212894 84.777 39.6604
43.579105 84.795 39.3058
43.945316 84.799 39.0554
44.311527 84.803 38.9202
44.677738 84.816 38.8503
45.043949 84.839 38.7806
45.410160 84.867 38.6726
45.776371 84.894 38.5260
46.142582 84.917 38.3618
46.508793 84.936 38.1996
46.875004 84.954 38.0455
47.241215 84.970 37.8955
47.607426 84.987 37.7448
47.973637 85.001 37.5934
48.339848 85.015 37.4451
48.706059 85.027 37.3022
49.072270 85.040 37.1640
49.438481 85.051 37.0291
49.804692 85.062 36.8998
50.170902 85.072 36.7830
50.537113 85.084 36.6837
50.903324 85.098 36.5973
51.269535 85.116 36.5070
51.635746 85.138 36.3920
52.001957 85.159 36.2418
52.368168 85.175 36.0678
52.734379 85.185 35.8997
53.100590 85.191 35.7675
53.466801 85.197 35.6794
53.833012 85.209 35.6149
54.199223 85.226 35.5398
54.565434 85.243 35.4352
54.931645 85.256 35.3148
55.297856 85.264 35.2153
55.664067 85.272 35.1637
56.030278 85.286 35.1480
56.396489 85.309 35.1190
56.762700 85.336 35.0277
57.128911 85.358 34.8697
57.495122 85.368 34.6972
57.861333 85.367 34.5837
58.227544 85.368 34.5640
58.593755 85.383 34.5960
58.959966 85.414 34.5811
59.326177 85.451 34.4366
59.692388 85.476 34.1620
60.058599 85.477 33.8482
60.424810 85.455 33.6222
60.791021 85.427 33.5649
61.157232 85.411 33.6574
61.523442 85.418 33.7951
61.889653 85.445 33.8620
62.255864 85.476 33.8074
62.622075 85.498 33.6669
62.988286 85.506 33.5217
63.354497 85.506 33.4358
63.720708 85.508 33.4165
64.086919 85.519 33.4211
64.453130 85.536 33.3986
64.819341 85.554 33.3287
65.185552 85.567 33.2306
65.551763 85.574 33.1407
65.917974 85.578 33.0824
66.284185 85.585 33.0505
66.650396 85.595 33.0196
67.016607 85.608 32.9655
67.382818 85.618 32.8830
67.749029 85.624 32.7897
68.115240 85.624 32.7143
68.481451 85.621 32.6802
68.847662 85.620 32.6924
69.213873 85.627 32.7332
69.580084 85.641 32.7691
69.946295 85.661 32.7660
70.312506 85.683 32.7069
70.678717 85.699 32.6027
71.044928 85.707 32.4887
71.411139 85.708 32.4069
71.777350 85.708 32.3810
72.143561 85.713 32.4007
72.509771 85.726 32.4257
72.875982 85.745 32.4128
73.242193 85.763 32.3456
73.608404 85.775 32.2472
73.974615 85.778 32.1634
74.340826 85.777 32.1292
74.707037 85.780 32.1410
75.073248 85.790 32.1587
75.439459 85.804 32.1357
75.805670 85.815 32.0583
76.171881 85.815 31.9612
76.538092 85.805 31.9080
76.904303 85.791 31.9486
77.270514 85.785 32.0820
77.636725 85.797 32.2486
78.002936 85.825 32.3620
78.369147 85.862 32.3581
78.735358 85.893 32.2307
79.101569 85.908 32.0332
79.467780 85.906 31.8481
79.833991 85.892 31.7453
80.200202 85.878 31.7463
80.566413 85.874 31.8160
80.932624 85.883 31.8859
81.298835 85.900 31.8984
81.665046 85.915 31.8431
82.031257 85.921 31.7613
82.397468 85.918 31.7153
82.763679 85.915 31.7430
83.129890 85.920 31.8277
83.496101 85.938 31.9071
83.862311 85.964 31.9180
84.228522 85.988 31.8417
84.594733 86.001 31.7167
84.960944 86.002 31.6096
85.327155 85.997 31.5687
85.693366 85.995 31.5930
86.059577 86.000 31.6406
86.425788 86.012 31.6649
86.791999 86.025 31.6496
87.158210 86.033 31.6135
87.524421 86.037 31.5876
87.890632 86.040 31.5860
88.256843 86.046 31.5975
88.623054 86.054 31.5999
88.989265 86.062 31.5831
89.355476 86.067 31.5581
89.721687 86.070 31.5452
90.087898 86.072 31.5549
90.454109 86.078 31.5781
90.820320 86.087 31.5943
91.186531 86.098 31.5883
91.552742 86.107 31.5615
91.918953 86.114 31.5279
92.285164 86.119 31.5009
92.651375 86.123 31.4846
93.017586 86.128 31.4745
93.383797 86.132 31.4662
93.750008 86.136 31.4617
94.116219 86.140 31.4676
94.482430 86.145 31.4863
94.848641 86.151 31.5114
95.214851 86.161 31.5301
95.581062 86.170 31.5337
95.947273 86.179 31.5241
96.313484 86.185 31.5127
96.679695 86.190 31.5107
97.045906 86.195 31.5204
97.412117 86.201 31.5338
97.778328 86.209 31.5405
98.144539 86.216 31.5376
98.510750 86.221 31.5329
98.876961 86.225 31.5380
99.243172 86.229 31.5571
99.609383 86.236 31.5817
99.975594 86.246 31.5965
100.341805 86.255 31.5924
100.708016 86.263 31.5750
101.074227 86.268 31.5610
101.440438 86.272 31.5649
101.806649 86.278 31.5863
102.172860 86.287 31.6095
102.539071 86.298 31.6167
102.905282 86.308 31.6035
103.271493 86.315 31.5836
103.637704 86.319 31.5782
104.003915 86.323 31.5988
104.370126 86.330 31.6367
104.736337 86.340 31.6697
105.102548 86.352 31.6801
105.468759 86.362 31.6687
105.834970 86.367 31.6544
106.201180 86.370 31.6590
106.567391 86.372 31.6902
106.933602 86.378 31.7360
107.299813 86.387 31.7747
107.666024 86.396 31.7925
108.032235 86.404 31.7935
108.398446 86.409 31.7946
108.764657 86.412 31.8111
109.130868 86.417 31.8437
109.497079 86.424 31.8780
109.863290 86.434 31.8958
110.229501 86.443 31.8899
110.595712 86.450 31.8690
110.961923 86.454 31.8514
111.328134 86.456 31.8510
111.694345 86.459 31.8678
112.060556 86.465 31.8897
112.426767 86.474 31.9021
112.792978 86.483 31.8989
113.159189 86.490 31.8843
113.525400 86.496 31.8677
113.891611 86.501 31.8560
114.257822 86.504 31.8523
114.624033 86.507 31.8601
114.990244 86.510 31.8868
115.356455 86.514 31.9388
115.722666 86.523 32.0100
116.088877 86.538 32.0754
116.455088 86.559 32.0996
116.821299 86.580 32.0602
117.187510 86.593 31.9697
117.553720 86.593 31.8764
117.919931 86.584 31.8395
118.286142 86.572 31.8919
118.652353 86.569 32.0163
119.018564 86.578 32.1544
119.384775 86.597 32.2452
119.750986 86.617 32.2635
120.117197 86.630 32.2324
120.483408 86.635 32.2007
120.849619 86.635 32.2074
121.215830 86.636 32.2572
121.582041 86.643 32.3233
121.948252 86.655 32.3711
122.314463 86.668 32.3825
122.680674 86.679 32.3634
123.046885 86.685 32.3348
123.413096 86.688 32.3173
123.779307 86.689 32.3212
124.145518 86.690 32.3459
124.511729 86.694 32.3840
124.877940 86.701 32.4256
125.244151 86.710 32.4613
125.610362 86.721 32.4856
125.976573 86.732 32.4994
126.342784 86.741 32.5096
126.708995 86.749 32.5252
127.075206 86.757 32.5502
127.441417 86.766 32.5814
127.807628 86.776 32.6110
128.173839 86.787 32.6336
128.540049 86.797 32.6493
128.906260 86.806 32.6621
129.272471 86.814 32.6752
129.638682 86.821 32.6884
130.004893 86.828 32.7018
130.371104 86.833 32.7188
130.737315 86.837 32.7456
131.103526 86.841 32.7852
131.469737 86.848 32.8318
131.835948 86.857 32.8726
132.202159 86.868 32.8971
132.568370 86.877 32.9055
132.934581 86.884 32.9094
133.300792 86.890 32.9224
133.667003 86.896 32.9496
134.033214 86.904 32.9850
134.399425 86.914 33.0185
134.765636 86.925 33.0451
135.131847 86.937 33.0669
135.498058 86.950 33.0867
135.864269 86.964 33.1005
136.230480 86.979 33.0991
136.596691 86.993 33.0775
136.962902 87.003 33.0453
137.329113 87.008 33.0246
137.695324 87.010 33.0357
138.061535 87.015 33.0807
138.427746 87.023 33.1400
138.793957 87.036 33.1845
139.160168 87.050 33.1969
139.526379 87.060 33.1843
139.892589 87.064 33.1726
140.258800 87.063 33.1886
140.625011 87.063 33.2426
140.991222 87.066 33.3233
141.357433 87.074 33.4077
141.723644 87.086 33.4747
142.089855 87.099 33.5157
142.456066 87.111 33.5341
142.822277 87.121 33.5399
143.188488 87.128 33.5435
143.554699 87.134 33.5527
143.920910 87.139 33.5719
144.287121 87.144 33.6016
144.653332 87.151 33.6377
145.019543 87.160 33.6730
145.385754 87.170 33.6997
145.751965 87.181 33.7139
146.118176 87.191 33.7178
146.484387 87.200 33.7182
146.850598 87.207 33.7230
147.216809 87.214 33.7364
147.583020 87.222 33.7578
147.949231 87.230 33.7824
148.315442 87.239 33.8055
148.681653 87.249 33.8252
149.047864 87.258 33.8437
149.414075 87.266 33.8654
149.780286 87.275 33.8926
150.146497 87.285 33.9228
150.512708 87.296 33.9496
150.878918 87.307 33.9672
151.245129 87.317 33.9755
151.611340 87.325 33.9819
151.977551 87.332 33.9970
152.343762 87.338 34.0270
152.709973 87.345 34.0686
