* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:03:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Blue Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.266 -21.8339
0.732422 85.394 -43.6825
1.098633 81.828 -65.6183
1.464844 75.151 -88.1092
1.831055 46.976 -159.6732
2.197266 70.659 54.0536
2.563477 73.171 32.4636
2.929688 71.138 12.6704
3.295899 62.717 -2.2264
3.662110 61.534 142.1621
4.028321 69.873 130.6790
4.394532 71.906 117.5606
4.760743 71.294 110.3423
5.126954 69.408 117.2591
5.493164 69.428 138.2905
5.859375 71.671 147.8825
6.225586 73.288 144.8542
6.591797 73.743 138.1155
6.958008 73.351 132.7148
7.324219 72.721 131.1338
7.690430 72.581 132.0408
8.056641 73.095 130.9669
8.422852 73.807 126.0349
8.789063 74.364 118.9288
9.155274 74.726 112.0409
9.521485 75.043 106.9024
9.887696 75.502 103.6273
10.253907 76.099 101.2317
10.620118 76.770 98.8085
10.986329 77.404 96.2462
11.352540 77.934 93.9148
11.718751 78.371 92.1001
12.084962 78.752 90.7719
12.451173 79.092 89.7192
12.817384 79.448 88.7888
13.183595 79.765 87.9532
13.549806 80.046 87.1916
13.916017 80.306 86.3856
14.282228 80.542 85.3764
14.648439 80.738 84.1127
15.014650 80.881 82.7082
15.380861 80.982 81.3419
15.747072 81.074 80.0976
16.113283 81.194 78.8889
16.479493 81.355 77.5460
16.845704 81.525 75.9785
17.211915 81.683 74.2569
17.578126 81.820 72.5533
17.944337 81.944 71.0218
18.310548 82.072 69.7188
18.676759 82.217 68.6087
19.042970 82.379 67.6226
19.409181 82.552 66.7079
19.775392 82.729 65.8348
20.141603 82.904 64.9834
20.507814 83.069 64.1432
20.874025 83.215 63.3253
21.240236 83.339 62.5647
21.606447 83.443 61.8969
21.972658 83.535 61.3272
22.338869 83.623 60.8190
22.705080 83.710 60.3145
23.071291 83.793 59.7692
23.437502 83.869 59.1705
23.803713 83.934 58.5319
24.169924 83.991 57.8762
24.536135 84.042 57.2228
24.902346 84.089 56.5851
25.268557 84.138 55.9706
25.634768 84.193 55.3776
26.000979 84.254 54.7941
26.367190 84.323 54.2020
26.733401 84.397 53.5869
27.099612 84.472 52.9450
27.465823 84.545 52.2828
27.832033 84.610 51.6147
28.198244 84.666 50.9641
28.564455 84.711 50.3643
28.930666 84.746 49.8507
29.296877 84.778 49.4406
29.663088 84.814 49.1160
30.029299 84.857 48.8259
30.395510 84.906 48.5171
30.761721 84.952 48.1691
31.127932 84.991 47.8034
31.494143 85.023 47.4576
31.860354 85.054 47.1473
32.226565 85.089 46.8503
32.592776 85.129 46.5276
32.958987 85.170 46.1592
33.325198 85.206 45.7610
33.691409 85.238 45.3656
34.057620 85.270 44.9892
34.423831 85.304 44.6166
34.790042 85.340 44.2211
35.156253 85.372 43.7980
35.522464 85.395 43.3797
35.888675 85.410 43.0154
36.254886 85.423 42.7345
36.621097 85.442 42.5249
36.987308 85.469 42.3447
37.353519 85.502 42.1553
37.719730 85.537 41.9441
38.085941 85.572 41.7185
38.452152 85.607 41.4814
38.818363 85.643 41.2156
39.184573 85.677 40.8954
39.550784 85.702 40.5157
39.916995 85.711 40.1132
40.283206 85.704 39.7587
40.649417 85.686 39.5220
41.015628 85.671 39.4304
41.381839 85.672 39.4470
41.748050 85.696 39.4870
42.114261 85.739 39.4596
42.480472 85.791 39.3118
42.846683 85.841 39.0458
43.212894 85.878 38.7069
43.579105 85.901 38.3566
43.945316 85.913 38.0475
44.311527 85.918 37.8087
44.677738 85.924 37.6416
45.043949 85.936 37.5244
45.410160 85.956 37.4215
45.776371 85.981 37.2983
46.142582 86.008 37.1361
46.508793 86.032 36.9404
46.875004 86.050 36.7354
47.241215 86.063 36.5462
47.607426 86.075 36.3820
47.973637 86.089 36.2313
48.339848 86.104 36.0750
48.706059 86.119 35.9055
49.072270 86.131 35.7342
49.438481 86.141 35.5790
49.804692 86.152 35.4453
50.170902 86.168 35.3169
50.537113 86.186 35.1705
50.903324 86.202 34.9992
51.269535 86.214 34.8237
51.635746 86.221 34.6775
52.001957 86.229 34.5770
52.368168 86.242 34.5043
52.734379 86.261 34.4190
53.100590 86.282 34.2920
53.466801 86.297 34.1308
53.833012 86.305 33.9737
54.199223 86.307 33.8572
54.565434 86.311 33.7869
54.931645 86.320 33.7342
55.297856 86.334 33.6638
55.664067 86.347 33.5630
56.030278 86.357 33.4473
56.396489 86.365 33.3381
56.762700 86.373 33.2366
57.128911 86.383 33.1216
57.495122 86.392 32.9754
57.861333 86.393 32.8128
58.227544 86.385 32.6829
58.593755 86.374 32.6362
58.959966 86.369 32.6817
59.326177 86.381 32.7694
59.692388 86.408 32.8183
60.058599 86.444 32.7705
60.424810 86.476 32.6273
60.791021 86.496 32.4403
61.157232 86.507 32.2698
61.523442 86.513 32.1444
61.889653 86.521 32.0517
62.255864 86.531 31.9619
62.622075 86.540 31.8604
62.988286 86.546 31.7591
63.354497 86.547 31.6821
63.720708 86.550 31.6390
64.086919 86.557 31.6142
64.453130 86.568 31.5786
64.819341 86.580 31.5135
65.185552 86.590 31.4249
65.551763 86.595 31.3365
65.917974 86.598 31.2702
66.284185 86.602 31.2302
66.650396 86.609 31.2015
67.016607 86.620 31.1625
67.382818 86.632 31.1004
67.749029 86.641 31.0178
68.115240 86.647 30.9303
68.481451 86.649 30.8567
68.847662 86.649 30.8095
69.213873 86.650 30.7888
69.580084 86.655 30.7836
69.946295 86.663 30.7773
70.312506 86.673 30.7566
70.678717 86.683 30.7167
71.044928 86.692 30.6608
71.411139 86.699 30.5955
71.777350 86.703 30.5274
72.143561 86.706 30.4634
72.509771 86.706 30.4128
72.875982 86.706 30.3846
73.242193 86.708 30.3777
73.608404 86.717 30.3729
73.974615 86.731 30.3383
74.340826 86.745 30.2505
74.707037 86.754 30.1173
75.073248 86.753 29.9817
75.439459 86.745 29.8958
75.805670 86.738 29.8823
76.171881 86.741 29.9108
76.538092 86.754 29.9161
76.904303 86.771 29.8482
77.270514 86.780 29.7164
77.636725 86.774 29.5894
78.002936 86.758 29.5493
78.369147 86.744 29.6321
78.735358 86.745 29.7962
79.101569 86.766 29.9481
79.467780 86.799 30.0060
79.833991 86.830 29.9523
80.200202 86.850 29.8366
80.566413 86.857 29.7337
80.932624 86.858 29.6912
81.298835 86.863 29.7027
81.665046 86.875 29.7216
82.031257 86.893 29.7003
82.397468 86.908 29.6252
82.763679 86.916 29.5220
83.129890 86.915 29.4344
83.496101 86.909 29.3940
83.862311 86.905 29.4021
84.228522 86.907 29.4337
84.594733 86.913 29.4576
84.960944 86.922 29.4573
85.327155 86.929 29.4388
85.693366 86.933 29.4213
86.059577 86.936 29.4202
86.425788 86.941 29.4350
86.791999 86.949 29.4514
87.158210 86.959 29.4548
87.524421 86.969 29.4432
87.890632 86.977 29.4279
88.256843 86.984 29.4209
88.623054 86.994 29.4212
88.989265 87.006 29.4117
89.355476 87.019 29.3723
89.721687 87.030 29.2989
90.087898 87.034 29.2125
90.454109 87.030 29.1479
90.820320 87.024 29.1304
91.186531 87.021 29.1582
91.552742 87.024 29.2035
91.918953 87.032 29.2330
92.285164 87.041 29.2317
92.651375 87.047 29.2102
93.017586 87.050 29.1923
93.383797 87.052 29.1952
93.750008 87.055 29.2163
94.116219 87.061 29.2387
94.482430 87.070 29.2464
94.848641 87.078 29.2366
95.214851 87.085 29.2192
95.581062 87.089 29.2060
95.947273 87.094 29.2010
96.313484 87.100 29.1993
96.679695 87.106 29.1937
97.045906 87.112 29.1826
97.412117 87.116 29.1713
97.778328 87.120 29.1667
98.144539 87.125 29.1707
98.510750 87.130 29.1791
98.876961 87.137 29.1857
99.243172 87.144 29.1869
99.609383 87.150 29.1838
99.975594 87.157 29.1800
100.341805 87.163 29.1778
100.708016 87.169 29.1764
101.074227 87.175 29.1737
101.440438 87.181 29.1684
101.806649 87.186 29.1619
102.172860 87.191 29.1574
102.539071 87.195 29.1583
102.905282 87.199 29.1657
103.271493 87.204 29.1775
103.637704 87.211 29.1890
104.003915 87.217 29.1951
104.370126 87.224 29.1936
104.736337 87.230 29.1868
105.102548 87.235 29.1800
105.468759 87.239 29.1786
105.834970 87.243 29.1837
106.201180 87.248 29.1927
106.567391 87.253 29.2020
106.933602 87.257 29.2114
107.299813 87.262 29.2246
107.666024 87.268 29.2441
108.032235 87.274 29.2664
108.398446 87.283 29.2816
108.764657 87.292 29.2804
109.130868 87.300 29.2636
109.497079 87.303 29.2453
109.863290 87.305 29.2447
110.229501 87.306 29.2716
110.595712 87.310 29.3162
110.961923 87.319 29.3549
111.328134 87.330 29.3671
111.694345 87.339 29.3524
112.060556 87.343 29.3315
112.426767 87.344 29.3308
112.792978 87.345 29.3602
113.159189 87.350 29.4050
113.525400 87.359 29.4376
113.891611 87.368 29.4419
114.257822 87.375 29.4266
114.624033 87.378 29.4177
114.990244 87.379 29.4336
115.356455 87.384 29.4660
115.722666 87.393 29.4848
116.088877 87.403 29.4648
116.455088 87.408 29.4128
116.821299 87.404 29.3697
117.187510 87.395 29.3818
117.553720 87.389 29.4637
117.919931 87.394 29.5806
118.286142 87.411 29.6699
118.652353 87.433 29.6850
119.018564 87.450 29.6289
119.384775 87.457 29.5493
119.750986 87.456 29.5027
120.117197 87.453 29.5153
120.483408 87.455 29.5686
120.849619 87.465 29.6200
121.215830 87.478 29.6382
121.582041 87.489 29.6239
121.948252 87.495 29.6032
122.314463 87.499 29.6017
122.680674 87.502 29.6250
123.046885 87.508 29.6587
123.413096 87.517 29.6855
123.779307 87.525 29.7008
124.145518 87.531 29.7140
124.511729 87.537 29.7357
124.877940 87.543 29.7661
125.244151 87.553 29.7938
125.610362 87.563 29.8067
125.976573 87.573 29.8038
126.342784 87.579 29.7961
126.708995 87.584 29.7981
127.075206 87.587 29.8162
127.441417 87.593 29.8451
127.807628 87.600 29.8732
128.173839 87.609 29.8923
128.540049 87.617 29.9030
128.906260 87.624 29.9120
129.272471 87.631 29.9258
129.638682 87.638 29.9451
130.004893 87.646 29.9659
130.371104 87.655 29.9838
130.737315 87.663 29.9975
131.103526 87.672 30.0098
131.469737 87.679 30.0240
131.835948 87.687 30.0409
132.202159 87.696 30.0579
132.568370 87.704 30.0716
132.934581 87.712 30.0813
133.300792 87.718 30.0900
133.667003 87.724 30.1032
134.033214 87.729 30.1244
134.399425 87.735 30.1521
134.765636 87.742 30.1800
135.131847 87.749 30.2013
135.498058 87.757 30.2134
135.864269 87.764 30.2203
136.230480 87.769 30.2290
136.596691 87.774 30.2446
136.962902 87.780 30.2658
137.329113 87.787 30.2864
137.695324 87.796 30.2994
138.061535 87.805 30.3024
138.427746 87.812 30.2987
138.793957 87.819 30.2945
139.160168 87.825 30.2948
139.526379 87.830 30.3014
139.892589 87.836 30.3147
140.258800 87.841 30.3359
140.625011 87.848 30.3662
140.991222 87.856 30.4040
141.357433 87.866 30.4425
141.723644 87.878 30.4721
142.089855 87.890 30.4859
142.456066 87.901 30.4859
142.822277 87.910 30.4828
143.188488 87.916 30.4895
143.554699 87.921 30.5126
143.920910 87.928 30.5480
144.287121 87.937 30.5841
144.653332 87.948 30.6104
145.019543 87.958 30.6236
145.385754 87.966 30.6285
145.751965 87.973 30.6325
146.118176 87.979 30.6403
146.484387 87.985 30.6527
146.850598 87.990 30.6686
147.216809 87.996 30.6879
147.583020 88.001 30.7120
147.949231 88.007 30.7408
148.315442 88.015 30.7705
148.681653 88.024 30.7948
149.047864 88.033 30.8095
149.414075 88.042 30.8159
149.780286 88.049 30.8200
150.146497 88.056 30.8276
150.512708 88.063 30.8403
150.878918 88.071 30.8545
151.245129 88.079 30.8655
151.611340 88.086 30.8732
151.977551 88.092 30.8832
152.343762 88.097 30.9027
152.709973 88.103 30.9347
