* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:01:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Gold Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.721 158.5195
0.732422 81.868 137.2393
1.098633 78.328 116.5908
1.464844 71.633 98.5339
1.831055 52.790 167.2221
2.197266 68.552 -139.5975
2.563477 71.498 -157.0012
2.929688 70.907 -175.5636
3.295899 67.640 169.0215
3.662110 61.155 170.7226
4.028321 59.094 -138.5969
4.394532 63.316 -136.5880
4.760743 64.984 -160.0162
5.126954 65.523 169.5620
5.493164 65.845 140.7486
5.859375 66.008 120.9461
6.225586 66.165 113.9312
6.591797 67.187 116.6991
6.958008 69.195 119.1603
7.324219 71.172 117.1766
7.690430 72.554 113.1935
8.056641 73.363 109.9737
8.422852 73.873 108.8859
8.789063 74.401 109.5086
9.155274 75.072 110.1600
9.521485 75.774 109.5931
9.887696 76.350 107.8313
10.253907 76.679 105.5550
10.620118 76.839 103.3441
10.986329 76.938 101.3799
11.352540 77.031 99.5472
11.718751 77.137 97.7000
12.084962 77.262 95.8029
12.451173 77.416 93.8681
12.817384 77.670 91.8576
13.183595 77.960 89.7130
13.549806 78.251 87.4668
13.916017 78.524 85.2764
14.282228 78.781 83.3264
14.648439 79.037 81.6883
15.014650 79.306 80.2783
15.380861 79.581 78.9547
15.747072 79.840 77.6556
16.113283 80.073 76.4382
16.479493 80.286 75.3938
16.845704 80.482 74.5397
17.211915 80.671 73.7944
17.578126 80.852 73.0517
17.944337 81.017 72.2679
18.310548 81.160 71.4698
18.676759 81.289 70.6853
19.042970 81.413 69.8838
19.409181 81.531 68.9952
19.775392 81.635 67.9920
20.141603 81.716 66.9441
20.507814 81.778 65.9815
20.874025 81.839 65.1888
21.240236 81.922 64.5215
21.606447 82.036 63.8300
21.972658 82.166 62.9847
22.338869 82.286 61.9923
22.705080 82.380 60.9947
23.071291 82.456 60.1565
23.437502 82.538 59.5268
23.803713 82.647 58.9858
24.169924 82.776 58.3363
24.536135 82.897 57.4737
24.902346 82.978 56.4876
25.268557 83.006 55.6135
25.634768 83.004 55.0726
26.000979 83.016 54.8997
26.367190 83.075 54.8852
26.733401 83.179 54.7146
27.099612 83.292 54.2062
27.465823 83.370 53.4373
27.832033 83.399 52.6664
28.198244 83.398 52.1347
28.564455 83.409 51.8867
28.930666 83.462 51.7364
29.296877 83.552 51.4246
29.663088 83.645 50.8345
30.029299 83.708 50.0724
30.395510 83.734 49.3647
30.761721 83.745 48.8789
31.127932 83.771 48.6033
31.494143 83.826 48.3750
31.860354 83.900 48.0322
32.226565 83.967 47.5477
32.592776 84.012 47.0307
32.958987 84.040 46.6139
33.325198 84.067 46.3359
33.691409 84.110 46.1138
34.057620 84.163 45.8275
34.423831 84.209 45.4331
34.790042 84.235 45.0032
35.156253 84.242 44.6633
35.522464 84.247 44.4829
35.888675 84.270 44.4092
36.254886 84.319 44.2993
36.621097 84.381 44.0286
36.987308 84.432 43.5851
37.353519 84.458 43.0740
37.719730 84.460 42.6419
38.085941 84.455 42.3771
38.452152 84.465 42.2527
38.818363 84.498 42.1515
39.184573 84.548 41.9551
39.550784 84.597 41.6270
39.916995 84.631 41.2276
40.283206 84.647 40.8610
40.649417 84.654 40.5995
41.015628 84.665 40.4403
41.381839 84.686 40.3211
41.748050 84.714 40.1779
42.114261 84.741 39.9940
42.480472 84.760 39.8032
42.846683 84.773 39.6509
43.212894 84.786 39.5520
43.579105 84.804 39.4799
43.945316 84.829 39.3919
44.311527 84.855 39.2650
44.677738 84.878 39.1083
45.043949 84.897 38.9466
45.410160 84.915 38.7924
45.776371 84.934 38.6365
46.142582 84.954 38.4606
46.508793 84.971 38.2612
46.875004 84.983 38.0578
47.241215 84.991 37.8800
47.607426 84.999 37.7436
47.973637 85.012 37.6368
48.339848 85.031 37.5282
48.706059 85.055 37.3886
49.072270 85.078 37.2116
49.438481 85.096 37.0164
49.804692 85.109 36.8336
50.170902 85.120 36.6844
50.537113 85.132 36.5666
50.903324 85.149 36.4577
51.269535 85.169 36.3317
51.635746 85.187 36.1800
52.001957 85.200 36.0192
52.368168 85.208 35.8811
52.734379 85.214 35.7878
53.100590 85.224 35.7326
53.466801 85.241 35.6816
53.833012 85.261 35.6003
54.199223 85.280 35.4832
54.565434 85.291 35.3611
54.931645 85.299 35.2757
55.297856 85.308 35.2404
55.664067 85.327 35.2198
56.030278 85.352 35.1532
56.396489 85.376 35.0073
56.762700 85.388 34.8142
57.128911 85.383 34.6595
57.495122 85.371 34.6240
57.861333 85.369 34.7170
58.227544 85.390 34.8555
58.593755 85.433 34.9128
58.959966 85.483 34.8042
59.326177 85.522 34.5423
59.692388 85.538 34.2217
60.058599 85.533 33.9527
60.424810 85.521 33.7941
60.791021 85.513 33.7288
61.157232 85.514 33.6943
61.523442 85.523 33.6389
61.889653 85.530 33.5565
62.255864 85.534 33.4768
62.622075 85.538 33.4279
62.988286 85.544 33.4080
63.354497 85.556 33.3894
63.720708 85.571 33.3454
64.086919 85.584 33.2744
64.453130 85.594 33.1988
64.819341 85.601 33.1426
65.185552 85.610 33.1093
65.551763 85.622 33.0801
65.917974 85.637 33.0319
66.284185 85.650 32.9586
66.650396 85.659 32.8771
67.016607 85.663 32.8136
67.382818 85.668 32.7823
67.749029 85.676 32.7725
68.115240 85.689 32.7562
68.481451 85.704 32.7085
68.847662 85.717 32.6277
69.213873 85.724 32.5384
69.580084 85.727 32.4750
69.946295 85.729 32.4566
70.312506 85.736 32.4701
70.678717 85.751 32.4757
71.044928 85.770 32.4348
71.411139 85.786 32.3400
71.777350 85.793 32.2242
72.143561 85.791 32.1402
72.509771 85.786 32.1241
72.875982 85.787 32.1687
73.242193 85.797 32.2285
73.608404 85.814 32.2537
73.974615 85.833 32.2257
74.340826 85.847 32.1648
74.707037 85.856 32.1055
75.073248 85.864 32.0634
75.439459 85.875 32.0219
75.805670 85.886 31.9517
76.171881 85.894 31.8437
76.538092 85.893 31.7255
76.904303 85.884 31.6458
77.270514 85.873 31.6381
77.636725 85.868 31.6935
78.002936 85.875 31.7636
78.369147 85.892 31.7935
78.735358 85.911 31.7568
79.101569 85.926 31.6687
79.467780 85.934 31.5700
79.833991 85.936 31.4982
80.200202 85.939 31.4651
80.566413 85.946 31.4540
80.932624 85.958 31.4344
81.298835 85.971 31.3837
81.665046 85.981 31.3045
82.031257 85.984 31.2260
82.397468 85.981 31.1884
82.763679 85.978 31.2161
83.129890 85.983 31.2963
83.496101 85.999 31.3791
83.862311 86.024 31.4072
84.228522 86.048 31.3555
84.594733 86.062 31.2525
84.960944 86.064 31.1628
85.327155 86.060 31.1419
85.693366 86.059 31.1948
86.059577 86.070 31.2705
86.425788 86.090 31.3008
86.791999 86.110 31.2531
87.158210 86.121 31.1531
87.524421 86.122 31.0615
87.890632 86.116 31.0256
88.256843 86.113 31.0451
88.623054 86.118 31.0776
88.989265 86.128 31.0785
89.355476 86.136 31.0371
89.721687 86.137 30.9822
90.087898 86.133 30.9548
90.454109 86.129 30.9748
90.820320 86.129 31.0284
91.186531 86.136 31.0834
91.552742 86.147 31.1142
91.918953 86.159 31.1165
92.285164 86.170 31.1012
92.651375 86.178 31.0809
93.017586 86.185 31.0613
93.383797 86.192 31.0437
93.750008 86.197 31.0313
94.116219 86.202 31.0296
94.482430 86.207 31.0410
94.848641 86.214 31.0594
95.214851 86.224 31.0730
95.581062 86.234 31.0732
95.947273 86.243 31.0614
96.313484 86.251 31.0478
96.679695 86.256 31.0422
97.045906 86.263 31.0459
97.412117 86.270 31.0514
97.778328 86.278 31.0497
98.144539 86.284 31.0392
98.510750 86.289 31.0285
98.876961 86.292 31.0300
99.243172 86.295 31.0501
99.609383 86.301 31.0831
99.975594 86.310 31.1128
100.341805 86.321 31.1235
100.708016 86.331 31.1110
101.074227 86.339 31.0866
101.440438 86.343 31.0697
101.806649 86.346 31.0739
102.172860 86.351 31.0959
102.539071 86.360 31.1180
102.905282 86.370 31.1223
103.271493 86.379 31.1065
103.637704 86.384 31.0875
104.003915 86.387 31.0877
104.370126 86.391 31.1144
104.736337 86.400 31.1510
105.102548 86.412 31.1687
105.468759 86.423 31.1514
105.834970 86.431 31.1112
106.201180 86.432 31.0812
106.567391 86.430 31.0904
106.933602 86.430 31.1400
107.299813 86.437 31.2021
107.666024 86.449 31.2421
108.032235 86.462 31.2447
108.398446 86.472 31.2234
108.764657 86.477 31.2056
109.130868 86.480 31.2094
109.497079 86.486 31.2307
109.863290 86.494 31.2509
110.229501 86.503 31.2548
110.595712 86.512 31.2435
110.961923 86.518 31.2304
111.328134 86.522 31.2290
111.694345 86.527 31.2416
112.060556 86.533 31.2606
112.426767 86.541 31.2765
112.792978 86.548 31.2864
113.159189 86.555 31.2943
113.525400 86.561 31.3067
113.891611 86.567 31.3268
114.257822 86.574 31.3526
114.624033 86.583 31.3767
114.990244 86.592 31.3899
115.356455 86.601 31.3859
115.722666 86.607 31.3678
116.088877 86.608 31.3517
116.455088 86.605 31.3618
116.821299 86.602 31.4161
117.187510 86.603 31.5096
117.553720 86.613 31.6108
117.919931 86.631 31.6770
118.286142 86.650 31.6819
118.652353 86.664 31.6346
119.018564 86.669 31.5750
119.384775 86.668 31.5471
119.750986 86.667 31.5697
120.117197 86.670 31.6255
120.483408 86.681 31.6761
120.849619 86.695 31.6909
121.215830 86.708 31.6669
121.582041 86.716 31.6265
121.948252 86.719 31.5984
122.314463 86.721 31.5976
122.680674 86.725 31.6195
123.046885 86.731 31.6483
123.413096 86.739 31.6706
123.779307 86.747 31.6836
124.145518 86.754 31.6937
124.511729 86.760 31.7105
124.877940 86.765 31.7403
125.244151 86.773 31.7823
125.610362 86.783 31.8286
125.976573 86.796 31.8659
126.342784 86.811 31.8816
126.708995 86.824 31.8715
127.075206 86.834 31.8451
127.441417 86.838 31.8229
127.807628 86.840 31.8252
128.173839 86.842 31.8578
128.540049 86.847 31.9085
128.906260 86.857 31.9548
129.272471 86.868 31.9803
129.638682 86.878 31.9858
130.004893 86.886 31.9866
130.371104 86.892 31.9979
130.737315 86.899 32.0217
131.103526 86.908 32.0464
131.469737 86.919 32.0585
131.835948 86.928 32.0562
132.202159 86.935 32.0528
132.568370 86.940 32.0651
132.934581 86.946 32.0990
133.300792 86.955 32.1421
133.667003 86.968 32.1724
134.033214 86.982 32.1752
134.399425 86.993 32.1548
134.765636 86.999 32.1327
135.131847 87.001 32.1327
135.498058 87.003 32.1651
135.864269 87.008 32.2208
136.230480 87.017 32.2782
136.596691 87.029 32.3180
136.962902 87.041 32.3338
137.329113 87.050 32.3333
137.695324 87.057 32.3308
138.061535 87.062 32.3376
138.427746 87.066 32.3567
138.793957 87.071 32.3841
139.160168 87.077 32.4141
139.526379 87.084 32.4433
139.892589 87.091 32.4722
140.258800 87.099 32.5028
140.625011 87.107 32.5354
140.991222 87.117 32.5679
141.357433 87.129 32.5961
141.723644 87.141 32.6158
142.089855 87.155 32.6244
142.456066 87.168 32.6210
142.822277 87.180 32.6067
143.188488 87.190 32.5853
143.554699 87.198 32.5639
143.920910 87.203 32.5521
144.287121 87.207 32.5587
144.653332 87.212 32.5867
145.019543 87.219 32.6303
145.385754 87.228 32.6768
145.751965 87.241 32.7129
146.118176 87.253 32.7322
146.484387 87.264 32.7378
146.850598 87.273 32.7394
147.216809 87.280 32.7461
147.583020 87.287 32.7617
147.949231 87.293 32.7841
148.315442 87.299 32.8093
148.681653 87.306 32.8363
149.047864 87.312 32.8670
149.414075 87.318 32.9035
149.780286 87.325 32.9445
150.146497 87.334 32.9848
150.512708 87.344 33.0183
150.878918 87.355 33.0422
151.245129 87.365 33.0577
151.611340 87.375 33.0687
151.977551 87.384 33.0776
152.343762 87.393 33.0846
152.709973 87.402 33.0885
