* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:01:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Gold Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.174 -21.7890
0.732422 85.283 -43.5854
1.098633 81.672 -65.4479
1.464844 74.849 -87.7942
1.831055 43.551 154.9726
2.197266 70.930 53.7515
2.563477 73.279 32.4345
2.929688 71.161 12.7946
3.295899 62.550 -1.6347
3.662110 61.892 142.2634
4.028321 70.032 130.7906
4.394532 72.028 117.7561
4.760743 71.416 110.5875
5.126954 69.554 117.3484
5.493164 69.547 137.9692
5.859375 71.738 147.5514
6.225586 73.339 144.6475
6.591797 73.805 137.9885
6.958008 73.440 132.5723
7.324219 72.844 130.8304
7.690430 72.722 131.5132
8.056641 73.244 130.3728
8.422852 73.983 125.5534
8.789063 74.597 118.5862
9.155274 75.033 111.6869
9.521485 75.411 106.2608
9.887696 75.873 102.5004
10.253907 76.399 99.7464
10.620118 76.962 97.3809
10.986329 77.504 95.3118
11.352540 78.000 93.6985
11.718751 78.468 92.5131
12.084962 78.919 91.4623
12.451173 79.327 90.2671
12.817384 79.713 88.9123
13.183595 80.010 87.5962
13.549806 80.234 86.4908
13.916017 80.425 85.5648
14.282228 80.603 84.6250
14.648439 80.764 83.5112
15.014650 80.893 82.2318
15.380861 80.991 80.9115
15.747072 81.080 79.6404
16.113283 81.190 78.3852
16.479493 81.336 77.0435
16.845704 81.493 75.5666
17.211915 81.650 74.0155
17.578126 81.804 72.5042
17.944337 81.963 71.1064
18.310548 82.133 69.8174
18.676759 82.311 68.5982
19.042970 82.488 67.4377
19.409181 82.655 66.3684
19.775392 82.811 65.4281
20.141603 82.961 64.6200
20.507814 83.106 63.9098
20.874025 83.244 63.2572
21.240236 83.370 62.6394
21.606447 83.483 62.0455
21.972658 83.585 61.4602
22.338869 83.674 60.8624
22.705080 83.750 60.2426
23.071291 83.814 59.6133
23.437502 83.869 58.9905
23.803713 83.924 58.3639
24.169924 83.983 57.6895
24.536135 84.042 56.9246
24.902346 84.092 56.0766
25.268557 84.129 55.2173
25.634768 84.155 54.4444
26.000979 84.183 53.8165
26.367190 84.230 53.3131
26.733401 84.301 52.8517
27.099612 84.390 52.3493
27.465823 84.487 51.7743
27.832033 84.578 51.1519
28.198244 84.660 50.5311
28.564455 84.732 49.9494
28.930666 84.796 49.4209
29.296877 84.852 48.9455
29.663088 84.901 48.5236
30.029299 84.943 48.1579
30.395510 84.982 47.8465
30.761721 85.018 47.5768
31.127932 85.054 47.3275
31.494143 85.091 47.0768
31.860354 85.126 46.8090
32.226565 85.161 46.5148
32.592776 85.192 46.1906
32.958987 85.219 45.8397
33.325198 85.241 45.4750
33.691409 85.258 45.1189
34.057620 85.273 44.7947
34.423831 85.291 44.5127
34.790042 85.317 44.2588
35.156253 85.353 43.9960
35.522464 85.397 43.6822
35.888675 85.441 43.2963
36.254886 85.478 42.8563
36.621097 85.500 42.4152
36.987308 85.512 42.0349
37.353519 85.518 41.7527
37.719730 85.529 41.5613
38.085941 85.549 41.4171
38.452152 85.576 41.2721
38.818363 85.607 41.1046
39.184573 85.638 40.9232
39.550784 85.668 40.7440
39.916995 85.701 40.5635
40.283206 85.739 40.3522
40.649417 85.779 40.0772
41.015628 85.812 39.7336
41.381839 85.832 39.3571
41.748050 85.839 39.0062
42.114261 85.839 38.7265
42.480472 85.841 38.5232
42.846683 85.850 38.3619
43.212894 85.867 38.1959
43.579105 85.888 37.9983
43.945316 85.907 37.7756
44.311527 85.921 37.5569
44.677738 85.933 37.3691
45.043949 85.946 37.2178
45.410160 85.964 37.0850
45.776371 85.988 36.9423
46.142582 86.012 36.7707
46.508793 86.034 36.5714
46.875004 86.051 36.3633
47.241215 86.064 36.1698
47.607426 86.074 36.0039
47.973637 86.084 35.8619
48.339848 86.097 35.7290
48.706059 86.110 35.5912
49.072270 86.124 35.4446
49.438481 86.136 35.2955
49.804692 86.146 35.1525
50.170902 86.157 35.0184
50.537113 86.169 34.8885
50.903324 86.182 34.7564
51.269535 86.194 34.6190
51.635746 86.206 34.4796
52.001957 86.217 34.3438
52.368168 86.227 34.2150
52.734379 86.238 34.0929
53.100590 86.250 33.9748
53.466801 86.261 33.8585
53.833012 86.273 33.7441
54.199223 86.286 33.6322
54.565434 86.298 33.5231
54.931645 86.311 33.4152
55.297856 86.325 33.3045
55.664067 86.338 33.1868
56.030278 86.349 33.0636
56.396489 86.357 32.9466
56.762700 86.362 32.8583
57.128911 86.366 32.8207
57.495122 86.375 32.8368
57.861333 86.396 32.8765
58.227544 86.430 32.8816
58.593755 86.472 32.7952
58.959966 86.509 32.5976
59.326177 86.532 32.3242
59.692388 86.537 32.0502
60.058599 86.526 31.8511
60.424810 86.512 31.7620
60.791021 86.504 31.7607
61.157232 86.508 31.7866
61.523442 86.522 31.7804
61.889653 86.537 31.7177
62.255864 86.548 31.6138
62.622075 86.552 31.5035
62.988286 86.551 31.4153
63.354497 86.549 31.3576
63.720708 86.549 31.3210
64.086919 86.553 31.2902
64.453130 86.560 31.2532
64.819341 86.568 31.2032
65.185552 86.578 31.1367
65.551763 86.588 31.0529
65.917974 86.596 30.9571
66.284185 86.602 30.8608
66.650396 86.606 30.7776
67.016607 86.611 30.7147
67.382818 86.618 30.6665
67.749029 86.628 30.6183
68.115240 86.639 30.5563
68.481451 86.650 30.4784
68.847662 86.658 30.3955
69.213873 86.664 30.3237
69.580084 86.668 30.2724
69.946295 86.672 30.2391
70.312506 86.678 30.2140
70.678717 86.685 30.1897
71.044928 86.692 30.1665
71.411139 86.699 30.1477
71.777350 86.707 30.1314
72.143561 86.717 30.1064
72.509771 86.727 30.0590
72.875982 86.735 29.9857
73.242193 86.738 29.9007
73.608404 86.736 29.8295
73.974615 86.731 29.7927
74.340826 86.727 29.7916
74.707037 86.729 29.8067
75.073248 86.735 29.8116
75.439459 86.744 29.7899
75.805670 86.752 29.7437
76.171881 86.757 29.6877
76.538092 86.761 29.6368
76.904303 86.763 29.5969
77.270514 86.767 29.5671
77.636725 86.771 29.5448
78.002936 86.778 29.5293
78.369147 86.787 29.5178
78.735358 86.800 29.4995
79.101569 86.816 29.4566
79.467780 86.833 29.3747
79.833991 86.846 29.2558
80.200202 86.851 29.1235
80.566413 86.849 29.0143
80.932624 86.842 28.9592
81.298835 86.837 28.9658
81.665046 86.839 29.0140
82.031257 86.849 29.0667
82.397468 86.866 29.0903
82.763679 86.883 29.0711
83.129890 86.897 29.0203
83.496101 86.906 28.9650
83.862311 86.910 28.9320
84.228522 86.914 28.9325
84.594733 86.921 28.9566
84.960944 86.933 28.9795
85.327155 86.946 28.9776
85.693366 86.959 28.9447
86.059577 86.966 28.8961
86.425788 86.968 28.8591
86.791999 86.967 28.8548
87.158210 86.968 28.8832
87.524421 86.973 28.9232
87.890632 86.982 28.9477
88.256843 86.992 28.9433
88.623054 86.999 28.9177
88.989265 87.002 28.8920
89.355476 87.004 28.8831
89.721687 87.006 28.8916
90.087898 87.011 28.9038
90.454109 87.017 28.9053
90.820320 87.024 28.8922
91.186531 87.030 28.8711
91.552742 87.036 28.8502
91.918953 87.041 28.8295
92.285164 87.048 28.8017
92.651375 87.053 28.7615
93.017586 87.056 28.7144
93.383797 87.057 28.6756
93.750008 87.055 28.6593
94.116219 87.055 28.6678
94.482430 87.059 28.6892
94.848641 87.066 28.7055
95.214851 87.075 28.7055
95.581062 87.084 28.6898
95.947273 87.090 28.6679
96.313484 87.096 28.6496
96.679695 87.101 28.6393
97.045906 87.106 28.6354
97.412117 87.112 28.6347
97.778328 87.118 28.6348
98.144539 87.124 28.6352
98.510750 87.130 28.6353
98.876961 87.137 28.6343
99.243172 87.143 28.6318
99.609383 87.149 28.6284
99.975594 87.154 28.6263
100.341805 87.158 28.6273
100.708016 87.163 28.6317
101.074227 87.168 28.6386
101.440438 87.173 28.6462
101.806649 87.178 28.6528
102.172860 87.183 28.6572
102.539071 87.188 28.6596
102.905282 87.193 28.6616
103.271493 87.198 28.6655
103.637704 87.203 28.6727
104.003915 87.208 28.6817
104.370126 87.215 28.6885
104.736337 87.222 28.6890
105.102548 87.229 28.6828
105.468759 87.236 28.6731
105.834970 87.241 28.6648
106.201180 87.247 28.6596
106.567391 87.253 28.6552
106.933602 87.259 28.6477
107.299813 87.264 28.6369
107.666024 87.268 28.6284
108.032235 87.271 28.6302
108.398446 87.274 28.6463
108.764657 87.279 28.6725
109.130868 87.286 28.6986
109.497079 87.294 28.7155
109.863290 87.302 28.7210
110.229501 87.308 28.7204
110.595712 87.314 28.7212
110.961923 87.320 28.7268
111.328134 87.326 28.7346
111.694345 87.332 28.7394
112.060556 87.338 28.7387
112.426767 87.344 28.7358
112.792978 87.348 28.7376
113.159189 87.352 28.7497
113.525400 87.358 28.7703
113.891611 87.366 28.7906
114.257822 87.375 28.7990
114.624033 87.385 28.7895
114.990244 87.391 28.7679
115.356455 87.395 28.7513
115.722666 87.395 28.7600
116.088877 87.397 28.8038
116.455088 87.403 28.8724
116.821299 87.417 28.9359
117.187510 87.435 28.9603
117.553720 87.454 28.9273
117.919931 87.466 28.8486
118.286142 87.467 28.7619
118.652353 87.460 28.7116
119.018564 87.450 28.7249
119.384775 87.444 28.7967
119.750986 87.445 28.8939
120.117197 87.454 28.9759
120.483408 87.467 29.0176
120.849619 87.478 29.0207
121.215830 87.485 29.0076
121.582041 87.487 29.0043
121.948252 87.489 29.0242
122.314463 87.493 29.0623
122.680674 87.501 29.1008
123.046885 87.511 29.1222
123.413096 87.521 29.1202
123.779307 87.529 29.1033
124.145518 87.534 29.0890
124.511729 87.537 29.0927
124.877940 87.541 29.1176
125.244151 87.550 29.1514
125.610362 87.563 29.1734
125.976573 87.577 29.1672
126.342784 87.589 29.1326
126.708995 87.595 29.0876
127.075206 87.597 29.0591
127.441417 87.597 29.0668
127.807628 87.598 29.1103
128.173839 87.605 29.1684
128.540049 87.617 29.2126
128.906260 87.630 29.2244
129.272471 87.641 29.2073
129.638682 87.646 29.1823
130.004893 87.648 29.1746
130.371104 87.648 29.1972
130.737315 87.651 29.2448
131.103526 87.657 29.2992
131.469737 87.667 29.3422
131.835948 87.677 29.3658
132.202159 87.687 29.3736
132.568370 87.695 29.3746
132.934581 87.702 29.3762
133.300792 87.707 29.3806
133.667003 87.713 29.3882
134.033214 87.718 29.3999
134.399425 87.723 29.4182
134.765636 87.729 29.4432
135.131847 87.736 29.4700
135.498058 87.745 29.4901
135.864269 87.755 29.4979
136.230480 87.763 29.4964
136.596691 87.770 29.4963
136.962902 87.775 29.5093
137.329113 87.782 29.5377
137.695324 87.791 29.5712
138.061535 87.804 29.5928
138.427746 87.817 29.5910
138.793957 87.829 29.5679
139.160168 87.836 29.5385
139.526379 87.841 29.5201
139.892589 87.844 29.5218
140.258800 87.849 29.5401
140.625011 87.855 29.5645
140.991222 87.862 29.5863
141.357433 87.869 29.6043
141.723644 87.875 29.6234
142.089855 87.882 29.6476
142.456066 87.889 29.6759
142.822277 87.898 29.7029
143.188488 87.906 29.7237
143.554699 87.915 29.7383
143.920910 87.922 29.7511
144.287121 87.929 29.7669
144.653332 87.935 29.7866
145.019543 87.942 29.8074
145.385754 87.950 29.8259
145.751965 87.957 29.8419
146.118176 87.963 29.8587
146.484387 87.969 29.8801
146.850598 87.976 29.9068
147.216809 87.984 29.9347
147.583020 87.993 29.9576
147.949231 88.002 29.9712
148.315442 88.011 29.9759
148.681653 88.019 29.9763
149.047864 88.025 29.9793
149.414075 88.030 29.9895
149.780286 88.036 30.0075
150.146497 88.042 30.0303
150.512708 88.050 30.0526
150.878918 88.058 30.0708
151.245129 88.066 30.0840
151.611340 88.074 30.0945
151.977551 88.081 30.1061
152.343762 88.088 30.1209
152.709973 88.096 30.1379
