* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:55:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Green Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.625 158.5020
0.732422 81.754 137.2107
1.098633 78.166 116.5802
1.464844 71.315 98.7525
1.831055 53.543 -178.5029
2.197266 68.870 -139.8330
2.563477 71.669 -157.5390
2.929688 71.024 -176.4323
3.295899 67.699 167.4504
3.662110 60.916 167.4756
4.028321 58.395 -136.8010
4.394532 63.015 -134.2846
4.760743 64.722 -158.2507
5.126954 65.226 170.7002
5.493164 65.527 141.2599
5.859375 65.688 121.2037
6.225586 65.864 114.5131
6.591797 66.982 117.8312
6.958008 69.121 120.3719
7.324219 71.189 118.1644
7.690430 72.630 113.9171
8.056641 73.482 110.4149
8.422852 74.020 108.9843
8.789063 74.547 109.2261
9.155274 75.186 109.5854
9.521485 75.834 108.9417
9.887696 76.357 107.3682
10.253907 76.654 105.5288
10.620118 76.829 103.8957
10.986329 76.996 102.4286
11.352540 77.193 100.7687
11.718751 77.399 98.6692
12.084962 77.579 96.2068
12.451173 77.722 93.6532
12.817384 77.911 91.2440
13.183595 78.120 89.0632
13.549806 78.352 87.0814
13.916017 78.609 85.2500
14.282228 78.884 83.5414
14.648439 79.168 81.9295
15.014650 79.450 80.3814
15.380861 79.715 78.8933
15.747072 79.950 77.5215
16.113283 80.159 76.3527
16.479493 80.366 75.4210
16.845704 80.571 74.6498
17.211915 80.780 73.8874
17.578126 80.977 73.0160
17.944337 81.145 72.0346
18.310548 81.275 71.0406
18.676759 81.377 70.1358
19.042970 81.469 69.3406
19.409181 81.566 68.5850
19.775392 81.670 67.7763
20.141603 81.775 66.8738
20.507814 81.875 65.9077
20.874025 81.967 64.9368
21.240236 82.058 63.9973
21.606447 82.151 63.0874
21.972658 82.249 62.1921
22.338869 82.346 61.3147
22.705080 82.441 60.4835
23.071291 82.535 59.7298
23.437502 82.632 59.0620
23.803713 82.735 58.4560
24.169924 82.843 57.8696
24.536135 82.952 57.2686
24.902346 83.054 56.6464
25.268557 83.144 56.0253
25.634768 83.221 55.4398
26.000979 83.290 54.9099
26.367190 83.357 54.4212
26.733401 83.423 53.9299
27.099612 83.487 53.3921
27.465823 83.539 52.8005
27.832033 83.576 52.1968
28.198244 83.598 51.6473
28.564455 83.614 51.1968
28.930666 83.636 50.8375
29.296877 83.671 50.5159
29.663088 83.718 50.1754
30.029299 83.770 49.7931
30.395510 83.824 49.3811
30.761721 83.879 48.9584
31.127932 83.934 48.5272
31.494143 83.987 48.0797
31.860354 84.034 47.6273
32.226565 84.072 47.2135
32.592776 84.104 46.8897
32.958987 84.142 46.6656
33.325198 84.195 46.4818
33.691409 84.260 46.2408
34.057620 84.325 45.8800
34.423831 84.372 45.4278
34.790042 84.394 44.9914
35.156253 84.400 44.6830
35.522464 84.408 44.5340
35.888675 84.435 44.4628
36.254886 84.483 44.3290
36.621097 84.536 44.0384
36.987308 84.572 43.6152
37.353519 84.582 43.1851
37.719730 84.574 42.8850
38.085941 84.570 42.7627
38.452152 84.591 42.7328
38.818363 84.640 42.6300
39.184573 84.700 42.3280
39.550784 84.744 41.8308
39.916995 84.755 41.2705
40.283206 84.734 40.8244
40.649417 84.702 40.6066
41.015628 84.685 40.6009
41.381839 84.698 40.6778
41.748050 84.736 40.6882
42.114261 84.784 40.5614
42.480472 84.824 40.3308
42.846683 84.852 40.0822
43.212894 84.875 39.8764
43.579105 84.902 39.7052
43.945316 84.936 39.5106
44.311527 84.971 39.2441
44.677738 84.996 38.9147
45.043949 85.004 38.5884
45.410160 85.001 38.3435
45.776371 84.996 38.2176
46.142582 85.002 38.1836
46.508793 85.024 38.1704
46.875004 85.057 38.1095
47.241215 85.093 37.9739
47.607426 85.123 37.7834
47.973637 85.146 37.5810
48.339848 85.161 37.4024
48.706059 85.175 37.2588
49.072270 85.190 37.1384
49.438481 85.207 37.0219
49.804692 85.224 36.8976
50.170902 85.239 36.7674
50.537113 85.252 36.6423
50.903324 85.263 36.5328
51.269535 85.276 36.4402
51.635746 85.291 36.3535
52.001957 85.310 36.2540
52.368168 85.331 36.1245
52.734379 85.350 35.9601
53.100590 85.365 35.7743
53.466801 85.372 35.5953
53.833012 85.376 35.4526
54.199223 85.381 35.3581
54.565434 85.392 35.2954
54.931645 85.411 35.2260
55.297856 85.434 35.1135
55.664067 85.454 34.9526
56.030278 85.464 34.7799
56.396489 85.465 34.6564
56.762700 85.466 34.6265
57.128911 85.477 34.6788
57.495122 85.506 34.7386
57.861333 85.550 34.7070
58.227544 85.595 34.5255
58.593755 85.622 34.2214
58.959966 85.622 33.9010
59.326177 85.599 33.6933
59.692388 85.570 33.6754
60.058599 85.555 33.8211
60.424810 85.568 34.0129
60.791021 85.602 34.1157
61.157232 85.642 34.0627
61.523442 85.669 33.8904
61.889653 85.677 33.7026
62.255864 85.671 33.5950
62.622075 85.668 33.5925
62.988286 85.679 33.6368
63.354497 85.702 33.6357
63.720708 85.728 33.5334
64.086919 85.744 33.3490
64.453130 85.744 33.1580
64.819341 85.733 33.0373
65.185552 85.721 33.0148
65.551763 85.719 33.0580
65.917974 85.728 33.1052
66.284185 85.745 33.1121
66.650396 85.762 33.0756
67.016607 85.777 33.0208
67.382818 85.790 32.9695
67.749029 85.806 32.9193
68.115240 85.824 32.8496
68.481451 85.841 32.7456
68.847662 85.853 32.6167
69.213873 85.859 32.4914
69.580084 85.861 32.3966
69.946295 85.863 32.3379
70.312506 85.867 32.2991
70.678717 85.874 32.2599
71.044928 85.882 32.2133
71.411139 85.887 32.1695
71.777350 85.892 32.1421
72.143561 85.899 32.1328
72.509771 85.909 32.1281
72.875982 85.922 32.1111
73.242193 85.935 32.0754
73.608404 85.948 32.0269
73.974615 85.959 31.9730
74.340826 85.971 31.9101
74.707037 85.982 31.8247
75.073248 85.991 31.7099
75.439459 85.991 31.5811
75.805670 85.983 31.4762
76.171881 85.969 31.4351
76.538092 85.958 31.4715
76.904303 85.956 31.5595
77.270514 85.966 31.6466
77.636725 85.985 31.6859
78.002936 86.004 31.6634
78.369147 86.019 31.6004
78.735358 86.028 31.5336
79.101569 86.034 31.4895
79.467780 86.039 31.4710
79.833991 86.048 31.4635
80.200202 86.058 31.4512
80.566413 86.069 31.4292
80.932624 86.078 31.4029
81.298835 86.087 31.3796
81.665046 86.095 31.3604
82.031257 86.102 31.3423
82.397468 86.109 31.3250
82.763679 86.114 31.3155
83.129890 86.118 31.3236
83.496101 86.124 31.3508
83.862311 86.135 31.3823
84.228522 86.150 31.3915
84.594733 86.166 31.3561
84.960944 86.178 31.2763
85.327155 86.182 31.1794
85.693366 86.177 31.1068
86.059577 86.169 31.0896
86.425788 86.164 31.1290
86.791999 86.167 31.1959
87.158210 86.177 31.2497
87.524421 86.192 31.2640
87.890632 86.206 31.2397
88.256843 86.216 31.1981
88.623054 86.223 31.1613
88.989265 86.228 31.1379
89.355476 86.235 31.1230
89.721687 86.241 31.1102
90.087898 86.247 31.1016
90.454109 86.252 31.1062
90.820320 86.258 31.1277
91.186531 86.269 31.1552
91.552742 86.282 31.1670
91.918953 86.297 31.1466
92.285164 86.308 31.0975
92.651375 86.313 31.0438
93.017586 86.313 31.0145
93.383797 86.313 31.0238
93.750008 86.316 31.0617
94.116219 86.323 31.1027
94.482430 86.334 31.1240
94.848641 86.345 31.1191
95.214851 86.353 31.0991
95.581062 86.358 31.0810
95.947273 86.362 31.0754
96.313484 86.366 31.0822
96.679695 86.372 31.0938
97.045906 86.379 31.1032
97.412117 86.386 31.1077
97.778328 86.392 31.1093
98.144539 86.399 31.1105
98.510750 86.405 31.1130
98.876961 86.411 31.1166
99.243172 86.418 31.1206
99.609383 86.424 31.1249
99.975594 86.430 31.1300
100.341805 86.437 31.1371
100.708016 86.443 31.1469
101.074227 86.451 31.1586
101.440438 86.459 31.1680
101.806649 86.469 31.1684
102.172860 86.478 31.1543
102.539071 86.485 31.1265
102.905282 86.490 31.0950
103.271493 86.490 31.0763
103.637704 86.490 31.0846
104.003915 86.491 31.1223
104.370126 86.496 31.1760
104.736337 86.507 31.2234
105.102548 86.520 31.2450
105.468759 86.533 31.2362
105.834970 86.543 31.2087
106.201180 86.549 31.1831
106.567391 86.553 31.1763
106.933602 86.557 31.1922
107.299813 86.564 31.2206
107.666024 86.574 31.2447
108.032235 86.585 31.2512
108.398446 86.596 31.2381
108.764657 86.603 31.2153
109.130868 86.608 31.1982
109.497079 86.610 31.1988
109.863290 86.613 31.2196
110.229501 86.618 31.2534
110.595712 86.624 31.2894
110.961923 86.631 31.3214
111.328134 86.639 31.3505
111.694345 86.647 31.3807
112.060556 86.656 31.4116
112.426767 86.667 31.4351
112.792978 86.677 31.4416
113.159189 86.686 31.4307
113.525400 86.691 31.4169
113.891611 86.693 31.4215
114.257822 86.696 31.4554
114.624033 86.702 31.5059
114.990244 86.713 31.5426
115.356455 86.725 31.5410
115.722666 86.733 31.5060
116.088877 86.733 31.4751
116.455088 86.727 31.4932
116.821299 86.724 31.5775
117.187510 86.731 31.6983
117.553720 86.749 31.7954
117.919931 86.773 31.8201
118.286142 86.792 31.7702
118.652353 86.802 31.6905
119.018564 86.802 31.6391
119.384775 86.799 31.6460
119.750986 86.802 31.6944
120.117197 86.811 31.7390
120.483408 86.824 31.7441
120.849619 86.833 31.7113
121.215830 86.836 31.6749
121.582041 86.834 31.6713
121.948252 86.834 31.7107
122.314463 86.839 31.7709
122.680674 86.849 31.8181
123.046885 86.860 31.8340
123.413096 86.870 31.8271
123.779307 86.875 31.8208
124.145518 86.880 31.8313
124.511729 86.886 31.8553
124.877940 86.894 31.8765
125.244151 86.904 31.8830
125.610362 86.912 31.8784
125.976573 86.918 31.8773
126.342784 86.924 31.8905
126.708995 86.931 31.9140
127.075206 86.940 31.9337
127.441417 86.949 31.9396
127.807628 86.955 31.9375
128.173839 86.959 31.9459
128.540049 86.962 31.9801
128.906260 86.968 32.0376
129.272471 86.980 32.0972
129.638682 86.995 32.1342
130.004893 87.010 32.1379
130.371104 87.022 32.1179
130.737315 87.030 32.0960
131.103526 87.035 32.0894
131.469737 87.040 32.1019
131.835948 87.046 32.1258
132.202159 87.053 32.1518
132.568370 87.062 32.1761
132.934581 87.070 32.2003
133.300792 87.078 32.2265
133.667003 87.088 32.2542
134.033214 87.097 32.2812
134.399425 87.108 32.3062
134.765636 87.119 32.3280
135.131847 87.131 32.3428
135.498058 87.142 32.3443
135.864269 87.152 32.3302
136.230480 87.158 32.3108
136.596691 87.159 32.3090
136.962902 87.158 32.3482
137.329113 87.160 32.4330
137.695324 87.171 32.5389
138.061535 87.190 32.6215
138.427746 87.214 32.6434
138.793957 87.235 32.5976
139.160168 87.248 32.5125
139.526379 87.251 32.4335
139.892589 87.247 32.3969
140.258800 87.243 32.4123
140.625011 87.242 32.4644
140.991222 87.246 32.5285
141.357433 87.254 32.5865
141.723644 87.264 32.6325
142.089855 87.274 32.6681
142.456066 87.285 32.6964
142.822277 87.296 32.7184
143.188488 87.306 32.7359
143.554699 87.316 32.7516
143.920910 87.326 32.7680
144.287121 87.336 32.7846
144.653332 87.346 32.7978
145.019543 87.355 32.8056
145.385754 87.363 32.8113
145.751965 87.369 32.8230
146.118176 87.374 32.8484
146.484387 87.380 32.8882
146.850598 87.388 32.9349
147.216809 87.398 32.9776
147.583020 87.409 33.0089
147.949231 87.420 33.0289
148.315442 87.430 33.0429
148.681653 87.439 33.0560
149.047864 87.447 33.0702
149.414075 87.455 33.0840
149.780286 87.463 33.0965
150.146497 87.470 33.1088
150.512708 87.477 33.1241
150.878918 87.484 33.1446
151.245129 87.491 33.1691
151.611340 87.500 33.1931
151.977551 87.509 33.2116
152.343762 87.519 33.2222
152.709973 87.527 33.2271
