* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:54:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Green Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.348 -21.7502
0.732422 85.452 -43.4789
1.098633 81.827 -65.1783
1.464844 74.954 -86.9511
1.831055 39.454 103.3052
2.197266 71.277 51.9437
2.563477 73.602 31.1761
2.929688 71.525 11.6463
3.295899 63.175 -3.0110
3.662110 61.646 140.3168
4.028321 70.063 129.2937
4.394532 72.086 116.1730
4.760743 71.431 108.9428
5.126954 69.478 116.1900
5.493164 69.532 137.8860
5.859375 71.844 147.3728
6.225586 73.461 144.0695
6.591797 73.877 137.2024
6.958008 73.421 131.9705
7.324219 72.750 131.0213
7.690430 72.662 132.7384
8.056641 73.296 131.9845
8.422852 74.106 126.8547
8.789063 74.709 119.3432
9.155274 75.069 112.0402
9.521485 75.347 106.6192
9.887696 75.753 103.2993
10.253907 76.315 101.0548
10.620118 76.980 98.8045
10.986329 77.626 96.3056
11.352540 78.170 93.9087
11.718751 78.610 91.9532
12.084962 78.982 90.4781
12.451173 79.306 89.3114
12.817384 79.645 88.2973
13.183595 79.942 87.3929
13.549806 80.198 86.5827
13.916017 80.428 85.7802
14.282228 80.635 84.8561
14.648439 80.811 83.7532
15.014650 80.950 82.5365
15.380861 81.062 81.3122
15.747072 81.174 80.1032
16.113283 81.308 78.8133
16.479493 81.468 77.3272
16.845704 81.620 75.6442
17.211915 81.750 73.9100
17.578126 81.861 72.3221
17.944337 81.975 70.9966
18.310548 82.117 69.9019
18.676759 82.291 68.9071
19.042970 82.488 67.8959
19.409181 82.686 66.8403
19.775392 82.870 65.7891
20.141603 83.037 64.8058
20.507814 83.191 63.9202
20.874025 83.333 63.1184
21.240236 83.463 62.3653
21.606447 83.578 61.6327
21.972658 83.674 60.9170
22.338869 83.749 60.2415
22.705080 83.806 59.6413
23.071291 83.855 59.1350
23.437502 83.907 58.6979
23.803713 83.970 58.2605
24.169924 84.041 57.7450
24.536135 84.113 57.1162
24.902346 84.175 56.4059
25.268557 84.227 55.6868
25.634768 84.274 55.0173
26.000979 84.327 54.4008
26.367190 84.390 53.7934
26.733401 84.459 53.1523
27.099612 84.525 52.4796
27.465823 84.582 51.8231
27.832033 84.632 51.2383
28.198244 84.683 50.7469
28.564455 84.738 50.3253
28.930666 84.800 49.9278
29.296877 84.864 49.5209
29.663088 84.924 49.0991
30.029299 84.977 48.6778
30.395510 85.023 48.2762
30.761721 85.062 47.9058
31.127932 85.099 47.5676
31.494143 85.134 47.2538
31.860354 85.171 46.9491
32.226565 85.209 46.6357
32.592776 85.246 46.3014
32.958987 85.282 45.9468
33.325198 85.316 45.5824
33.691409 85.348 45.2178
34.057620 85.381 44.8517
34.423831 85.413 44.4744
34.790042 85.443 44.0821
35.156253 85.468 43.6889
35.522464 85.487 43.3251
35.888675 85.503 43.0188
36.254886 85.522 42.7757
36.621097 85.548 42.5718
36.987308 85.583 42.3653
37.353519 85.622 42.1196
37.719730 85.659 41.8228
38.085941 85.688 41.4932
38.452152 85.707 41.1698
38.818363 85.718 40.8936
39.184573 85.725 40.6867
39.550784 85.738 40.5391
39.916995 85.758 40.4128
40.283206 85.787 40.2633
40.649417 85.819 40.0665
41.015628 85.847 39.8309
41.381839 85.871 39.5868
41.748050 85.891 39.3598
42.114261 85.912 39.1520
42.480472 85.937 38.9444
42.846683 85.962 38.7181
43.212894 85.986 38.4725
43.579105 86.006 38.2245
43.945316 86.023 37.9895
44.311527 86.040 37.7666
44.677738 86.057 37.5428
45.043949 86.071 37.3126
45.410160 86.080 37.0922
45.776371 86.086 36.9106
46.142582 86.092 36.7830
46.508793 86.105 36.6896
46.875004 86.128 36.5829
47.241215 86.155 36.4202
47.607426 86.178 36.1959
47.973637 86.192 35.9461
48.339848 86.196 35.7232
48.706059 86.197 35.5614
49.072270 86.201 35.4573
49.438481 86.212 35.3781
49.804692 86.230 35.2872
50.170902 86.250 35.1663
50.537113 86.270 35.0203
50.903324 86.286 34.8670
51.269535 86.299 34.7236
51.635746 86.310 34.5990
52.001957 86.322 34.4922
52.368168 86.335 34.3960
52.734379 86.349 34.3014
53.100590 86.364 34.2015
53.466801 86.377 34.0960
53.833012 86.390 33.9900
54.199223 86.402 33.8883
54.565434 86.415 33.7882
54.931645 86.430 33.6773
55.297856 86.445 33.5427
55.664067 86.457 33.3838
56.030278 86.464 33.2187
56.396489 86.467 33.0735
56.762700 86.470 32.9617
57.128911 86.478 32.8691
57.495122 86.491 32.7607
57.861333 86.505 32.6082
58.227544 86.514 32.4177
58.593755 86.513 32.2337
58.959966 86.503 32.1130
59.326177 86.494 32.0860
59.692388 86.495 32.1330
60.058599 86.509 32.1952
60.424810 86.534 32.2135
60.791021 86.562 32.1644
61.157232 86.585 32.0679
61.523442 86.601 31.9638
61.889653 86.614 31.8792
62.255864 86.626 31.8136
62.622075 86.640 31.7470
62.988286 86.654 31.6625
63.354497 86.664 31.5612
63.720708 86.670 31.4598
64.086919 86.672 31.3754
64.453130 86.673 31.3140
64.819341 86.675 31.2698
65.185552 86.679 31.2325
65.551763 86.685 31.1948
65.917974 86.693 31.1517
66.284185 86.703 31.0979
66.650396 86.714 31.0270
67.016607 86.723 30.9372
67.382818 86.729 30.8371
67.749029 86.732 30.7450
68.115240 86.731 30.6793
68.481451 86.732 30.6468
68.847662 86.736 30.6373
69.213873 86.745 30.6303
69.580084 86.757 30.6070
69.946295 86.770 30.5607
70.312506 86.781 30.4980
70.678717 86.790 30.4314
71.044928 86.796 30.3713
71.411139 86.802 30.3209
71.777350 86.808 30.2767
72.143561 86.815 30.2326
72.509771 86.822 30.1824
72.875982 86.829 30.1222
73.242193 86.835 30.0524
73.608404 86.837 29.9794
73.974615 86.837 29.9158
74.340826 86.835 29.8761
74.707037 86.834 29.8683
75.073248 86.838 29.8856
75.439459 86.847 29.9052
75.805670 86.863 29.8976
76.171881 86.879 29.8435
76.538092 86.892 29.7474
76.904303 86.898 29.6378
77.270514 86.896 29.5529
77.636725 86.892 29.5191
78.002936 86.891 29.5355
78.369147 86.896 29.5745
78.735358 86.908 29.5997
79.101569 86.923 29.5876
79.467780 86.936 29.5401
79.833991 86.945 29.4798
80.200202 86.949 29.4321
80.566413 86.953 29.4084
80.932624 86.959 29.3994
81.298835 86.968 29.3846
81.665046 86.978 29.3478
82.031257 86.985 29.2904
82.397468 86.988 29.2314
82.763679 86.988 29.1942
83.129890 86.987 29.1902
83.496101 86.991 29.2090
83.862311 87.000 29.2234
84.228522 87.012 29.2071
84.594733 87.023 29.1538
84.960944 87.028 29.0832
85.327155 87.027 29.0299
85.693366 87.024 29.0208
86.059577 87.025 29.0546
86.425788 87.033 29.1010
86.791999 87.047 29.1193
87.158210 87.062 29.0867
87.524421 87.072 29.0150
87.890632 87.073 28.9447
88.256843 87.069 28.9187
88.623054 87.064 28.9550
88.989265 87.067 29.0335
89.355476 87.079 29.1090
89.721687 87.097 29.1396
90.087898 87.115 29.1116
90.454109 87.127 29.0449
90.820320 87.131 28.9770
91.186531 87.130 28.9385
91.552742 87.129 28.9372
91.918953 87.130 28.9584
92.285164 87.135 28.9797
92.651375 87.141 28.9876
93.017586 87.147 28.9840
93.383797 87.151 28.9801
93.750008 87.155 28.9840
94.116219 87.160 28.9943
94.482430 87.167 29.0015
94.848641 87.176 28.9970
95.214851 87.183 28.9795
95.581062 87.190 28.9550
95.947273 87.195 28.9311
96.313484 87.200 28.9116
96.679695 87.204 28.8968
97.045906 87.208 28.8861
97.412117 87.212 28.8812
97.778328 87.217 28.8841
98.144539 87.223 28.8936
98.510750 87.231 28.9026
98.876961 87.240 28.9017
99.243172 87.249 28.8867
99.609383 87.257 28.8627
99.975594 87.262 28.8419
100.341805 87.265 28.8354
100.708016 87.269 28.8444
101.074227 87.275 28.8600
101.440438 87.282 28.8701
101.806649 87.289 28.8687
102.172860 87.295 28.8614
102.539071 87.298 28.8607
102.905282 87.300 28.8764
103.271493 87.304 28.9083
103.637704 87.311 28.9458
104.003915 87.320 28.9750
104.370126 87.330 28.9869
104.736337 87.341 28.9814
105.102548 87.349 28.9642
105.468759 87.356 28.9422
105.834970 87.360 28.9206
106.201180 87.364 28.9037
106.567391 87.366 28.8962
106.933602 87.368 28.9019
107.299813 87.370 28.9202
107.666024 87.375 28.9432
108.032235 87.382 28.9599
108.398446 87.390 28.9635
108.764657 87.396 28.9579
109.130868 87.400 28.9553
109.497079 87.404 28.9656
109.863290 87.409 28.9863
110.229501 87.417 29.0030
110.595712 87.426 29.0010
110.961923 87.433 28.9807
111.328134 87.436 28.9608
111.694345 87.435 28.9662
112.060556 87.436 29.0069
112.426767 87.442 29.0668
112.792978 87.454 29.1132
113.159189 87.469 29.1206
113.525400 87.481 29.0901
113.891611 87.487 29.0483
114.257822 87.488 29.0262
114.624033 87.488 29.0362
114.990244 87.491 29.0657
115.356455 87.496 29.0932
115.722666 87.502 29.1097
116.088877 87.505 29.1276
116.455088 87.508 29.1665
116.821299 87.514 29.2313
117.187510 87.525 29.3005
117.553720 87.543 29.3389
117.919931 87.561 29.3242
118.286142 87.575 29.2643
118.652353 87.580 29.1920
119.018564 87.580 29.1420
119.384775 87.577 29.1285
119.750986 87.577 29.1418
120.117197 87.579 29.1624
120.483408 87.582 29.1795
120.849619 87.585 29.1957
121.215830 87.589 29.2175
121.582041 87.594 29.2429
121.948252 87.602 29.2605
122.314463 87.609 29.2611
122.680674 87.615 29.2502
123.046885 87.617 29.2468
123.413096 87.618 29.2683
123.779307 87.622 29.3129
124.145518 87.631 29.3586
124.511729 87.643 29.3783
124.877940 87.655 29.3624
125.244151 87.662 29.3277
125.610362 87.664 29.3061
125.976573 87.664 29.3216
126.342784 87.666 29.3732
126.708995 87.674 29.4368
127.075206 87.687 29.4823
127.441417 87.701 29.4941
127.807628 87.712 29.4785
128.173839 87.719 29.4567
128.540049 87.722 29.4497
128.906260 87.725 29.4677
129.272471 87.729 29.5063
129.638682 87.736 29.5517
130.004893 87.747 29.5876
130.371104 87.759 29.6031
130.737315 87.771 29.5969
131.103526 87.779 29.5786
131.469737 87.784 29.5644
131.835948 87.788 29.5682
132.202159 87.791 29.5932
132.568370 87.798 29.6291
132.934581 87.808 29.6592
133.300792 87.818 29.6722
133.667003 87.827 29.6700
134.033214 87.834 29.6651
134.399425 87.840 29.6703
134.765636 87.845 29.6881
135.131847 87.852 29.7103
135.498058 87.860 29.7267
135.864269 87.866 29.7355
136.230480 87.871 29.7456
136.596691 87.875 29.7683
136.962902 87.880 29.8065
137.329113 87.887 29.8521
137.695324 87.896 29.8922
138.061535 87.905 29.9205
138.427746 87.914 29.9421
138.793957 87.921 29.9668
139.160168 87.930 29.9990
139.526379 87.940 30.0311
139.892589 87.952 30.0497
140.258800 87.964 30.0472
140.625011 87.973 30.0297
140.991222 87.979 30.0137
141.357433 87.982 30.0140
141.723644 87.987 30.0333
142.089855 87.993 30.0615
142.456066 88.001 30.0846
142.822277 88.010 30.0958
143.188488 88.018 30.0994
143.554699 88.024 30.1051
143.920910 88.030 30.1195
144.287121 88.038 30.1411
144.653332 88.046 30.1622
145.019543 88.055 30.1760
145.385754 88.064 30.1818
145.751965 88.072 30.1843
146.118176 88.078 30.1906
146.484387 88.084 30.2049
146.850598 88.091 30.2265
147.216809 88.099 30.2510
147.583020 88.107 30.2726
147.949231 88.116 30.2878
148.315442 88.125 30.2971
148.681653 88.132 30.3049
149.047864 88.138 30.3170
149.414075 88.145 30.3361
149.780286 88.152 30.3591
150.146497 88.161 30.3787
150.512708 88.170 30.3890
150.878918 88.177 30.3914
151.245129 88.183 30.3950
151.611340 88.187 30.4106
151.977551 88.192 30.4420
152.343762 88.200 30.4814
152.709973 88.210 30.5143
