* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:58:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Purple Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.619 158.2273
0.732422 81.762 136.6104
1.098633 78.211 115.4860
1.464844 71.467 96.3977
1.831055 50.638 172.4622
2.197266 68.515 -138.8543
2.563477 71.468 -157.4456
2.929688 70.894 -176.8184
3.295899 67.655 166.5952
3.662110 61.037 165.3199
4.028321 58.127 -140.7859
4.394532 62.801 -136.7563
4.760743 64.667 -160.1911
5.126954 65.308 169.7273
5.493164 65.657 141.6363
5.859375 65.821 122.6776
6.225586 66.048 116.3424
6.591797 67.198 118.9387
6.958008 69.241 120.6222
7.324219 71.176 118.1369
7.690430 72.516 114.0279
8.056641 73.316 110.8610
8.422852 73.854 109.7378
8.789063 74.411 110.0389
9.155274 75.063 110.2213
9.521485 75.694 109.4101
9.887696 76.189 107.8594
10.253907 76.484 106.1968
10.620118 76.693 104.6817
10.986329 76.913 103.0550
11.352540 77.136 100.9512
11.718751 77.315 98.3594
12.084962 77.424 95.6500
12.451173 77.493 93.2472
12.817384 77.651 91.2909
13.183595 77.890 89.5641
13.549806 78.192 87.7507
13.916017 78.510 85.7474
14.282228 78.805 83.7135
14.648439 79.071 81.8802
15.014650 79.325 80.3481
15.380861 79.583 79.0404
15.747072 79.840 77.8202
16.113283 80.081 76.6331
16.479493 80.302 75.5378
16.845704 80.493 74.6196
17.211915 80.670 73.8860
17.578126 80.849 73.2378
17.944337 81.030 72.5343
18.310548 81.200 71.6870
18.676759 81.343 70.7036
19.042970 81.454 69.6623
19.409181 81.537 68.6525
19.775392 81.605 67.7254
20.141603 81.672 66.8791
20.507814 81.748 66.0761
20.874025 81.833 65.2784
21.240236 81.926 64.4728
21.606447 82.026 63.6683
21.972658 82.136 62.8691
22.338869 82.257 62.0498
22.705080 82.385 61.1633
23.071291 82.508 60.1859
23.437502 82.610 59.1648
23.803713 82.683 58.2198
24.169924 82.733 57.4848
24.536135 82.785 57.0152
24.902346 82.860 56.7295
25.268557 82.966 56.4449
25.634768 83.086 55.9993
26.000979 83.192 55.3621
26.367190 83.265 54.6468
26.733401 83.302 54.0254
27.099612 83.326 53.6093
27.465823 83.362 53.3725
27.832033 83.426 53.1686
28.198244 83.512 52.8312
28.564455 83.599 52.2806
28.930666 83.666 51.5598
29.296877 83.702 50.7942
29.663088 83.711 50.1163
30.029299 83.710 49.6031
30.395510 83.715 49.2498
30.761721 83.738 48.9856
31.127932 83.780 48.7195
31.494143 83.834 48.3878
31.860354 83.888 47.9801
32.226565 83.934 47.5333
32.592776 83.970 47.1024
32.958987 84.002 46.7257
33.325198 84.035 46.4031
33.691409 84.075 46.1001
34.057620 84.117 45.7743
34.423831 84.158 45.4075
34.790042 84.189 45.0214
35.156253 84.210 44.6659
35.522464 84.225 44.3869
35.888675 84.244 44.1942
36.254886 84.276 44.0491
36.621097 84.323 43.8809
36.987308 84.381 43.6224
37.353519 84.438 43.2425
37.719730 84.483 42.7595
38.085941 84.508 42.2326
38.452152 84.512 41.7418
38.818363 84.498 41.3652
39.184573 84.477 41.1545
39.550784 84.466 41.1129
39.916995 84.475 41.1810
40.283206 84.512 41.2511
40.649417 84.569 41.2140
41.015628 84.628 41.0175
41.381839 84.672 40.6983
41.748050 84.694 40.3609
42.114261 84.698 40.1142
42.480472 84.701 40.0007
42.846683 84.719 39.9670
43.212894 84.753 39.9020
43.579105 84.794 39.7205
43.945316 84.826 39.4257
44.311527 84.837 39.1039
44.677738 84.832 38.8604
45.043949 84.825 38.7460
45.410160 84.830 38.7248
45.776371 84.854 38.7054
46.142582 84.890 38.6082
46.508793 84.926 38.4138
46.875004 84.953 38.1616
47.241215 84.970 37.9095
47.607426 84.981 37.6953
47.973637 84.992 37.5233
48.339848 85.005 37.3769
48.706059 85.021 37.2397
49.072270 85.038 37.1038
49.438481 85.057 36.9663
49.804692 85.076 36.8235
50.170902 85.094 36.6725
50.537113 85.110 36.5180
50.903324 85.124 36.3729
51.269535 85.135 36.2500
51.635746 85.148 36.1493
52.001957 85.162 36.0561
52.368168 85.179 35.9530
52.734379 85.194 35.8371
53.100590 85.205 35.7258
53.466801 85.214 35.6437
53.833012 85.225 35.5980
54.199223 85.243 35.5650
54.565434 85.267 35.5019
54.931645 85.292 35.3788
55.297856 85.311 35.2048
55.664067 85.319 35.0260
56.030278 85.319 34.8937
56.396489 85.319 34.8247
56.762700 85.326 34.7874
57.128911 85.340 34.7273
57.495122 85.354 34.6143
57.861333 85.360 34.4724
58.227544 85.356 34.3637
58.593755 85.350 34.3387
58.959966 85.354 34.3890
59.326177 85.374 34.4439
59.692388 85.408 34.4184
60.058599 85.443 34.2750
60.424810 85.466 34.0495
60.791021 85.473 33.8232
61.157232 85.472 33.6652
61.523442 85.471 33.5902
61.889653 85.478 33.5588
62.255864 85.494 33.5173
62.622075 85.512 33.4402
62.988286 85.528 33.3418
63.354497 85.538 33.2527
63.720708 85.547 33.1894
64.086919 85.558 33.1424
64.453130 85.570 33.0926
64.819341 85.582 33.0331
65.185552 85.590 32.9772
65.551763 85.596 32.9427
65.917974 85.603 32.9311
66.284185 85.613 32.9222
66.650396 85.626 32.8906
67.016607 85.638 32.8283
67.382818 85.644 32.7527
67.749029 85.647 32.6903
68.115240 85.649 32.6529
68.481451 85.656 32.6249
68.847662 85.667 32.5761
69.213873 85.678 32.4883
69.580084 85.684 32.3737
69.946295 85.685 32.2680
70.312506 85.683 32.2047
70.678717 85.684 32.1905
71.044928 85.693 32.2006
71.411139 85.711 32.1972
71.777350 85.732 32.1563
72.143561 85.753 32.0808
72.509771 85.771 31.9933
72.875982 85.785 31.9171
73.242193 85.797 31.8617
73.608404 85.810 31.8226
73.974615 85.824 31.7915
74.340826 85.836 31.7653
74.707037 85.847 31.7480
75.073248 85.856 31.7454
75.439459 85.864 31.7605
75.805670 85.871 31.7931
76.171881 85.879 31.8412
76.538092 85.890 31.8991
76.904303 85.903 31.9527
77.270514 85.919 31.9792
77.636725 85.936 31.9574
78.002936 85.947 31.8839
78.369147 85.949 31.7831
78.735358 85.941 31.6988
79.101569 85.928 31.6683
79.467780 85.917 31.6958
79.833991 85.915 31.7458
80.200202 85.922 31.7652
80.566413 85.931 31.7198
80.932624 85.936 31.6189
81.298835 85.931 31.5084
81.665046 85.920 31.4392
82.031257 85.909 31.4351
82.397468 85.906 31.4794
82.763679 85.913 31.5300
83.129890 85.929 31.5476
83.496101 85.948 31.5162
83.862311 85.965 31.4432
84.228522 85.977 31.3483
84.594733 85.985 31.2517
84.960944 85.988 31.1716
85.327155 85.988 31.1238
85.693366 85.987 31.1191
86.059577 85.990 31.1550
86.425788 85.998 31.2113
86.791999 86.012 31.2579
87.158210 86.029 31.2734
87.524421 86.044 31.2587
87.890632 86.055 31.2355
88.256843 86.063 31.2264
88.623054 86.072 31.2352
88.989265 86.083 31.2421
89.355476 86.097 31.2210
89.721687 86.108 31.1640
90.087898 86.111 31.0922
90.454109 86.108 31.0433
90.820320 86.102 31.0445
91.186531 86.100 31.0934
91.552742 86.105 31.1592
91.918953 86.117 31.2053
92.285164 86.131 31.2129
92.651375 86.144 31.1887
93.017586 86.153 31.1537
93.383797 86.161 31.1246
93.750008 86.168 31.1041
94.116219 86.175 31.0850
94.482430 86.183 31.0609
94.848641 86.190 31.0344
95.214851 86.194 31.0146
95.581062 86.199 31.0086
95.947273 86.204 31.0152
96.313484 86.210 31.0262
96.679695 86.219 31.0326
97.045906 86.227 31.0311
97.412117 86.234 31.0246
97.778328 86.240 31.0193
98.144539 86.245 31.0200
98.510750 86.249 31.0283
98.876961 86.255 31.0429
99.243172 86.261 31.0607
99.609383 86.269 31.0770
99.975594 86.277 31.0860
100.341805 86.286 31.0832
100.708016 86.294 31.0689
101.074227 86.299 31.0507
101.440438 86.302 31.0414
101.806649 86.304 31.0512
102.172860 86.308 31.0803
102.539071 86.315 31.1165
102.905282 86.325 31.1417
103.271493 86.336 31.1441
103.637704 86.346 31.1265
104.003915 86.352 31.1056
104.370126 86.355 31.1005
104.736337 86.359 31.1185
105.102548 86.366 31.1497
105.468759 86.376 31.1737
105.834970 86.387 31.1747
106.201180 86.396 31.1532
106.567391 86.402 31.1261
106.933602 86.404 31.1158
107.299813 86.405 31.1351
107.666024 86.409 31.1794
108.032235 86.417 31.2304
108.398446 86.429 31.2672
108.764657 86.443 31.2779
109.130868 86.455 31.2644
109.497079 86.465 31.2389
109.863290 86.471 31.2160
110.229501 86.475 31.2065
110.595712 86.478 31.2143
110.961923 86.482 31.2375
111.328134 86.488 31.2712
111.694345 86.495 31.3098
112.060556 86.504 31.3468
112.426767 86.515 31.3755
112.792978 86.526 31.3900
113.159189 86.536 31.3890
113.525400 86.544 31.3783
113.891611 86.549 31.3707
114.257822 86.551 31.3786
114.624033 86.554 31.4051
114.990244 86.559 31.4387
115.356455 86.567 31.4603
115.722666 86.574 31.4587
116.088877 86.577 31.4432
116.455088 86.574 31.4422
116.821299 86.570 31.4838
117.187510 86.570 31.5715
117.553720 86.578 31.6747
117.919931 86.596 31.7447
118.286142 86.616 31.7482
118.652353 86.632 31.6916
119.018564 86.638 31.6185
119.384775 86.637 31.5794
119.750986 86.634 31.5975
120.117197 86.638 31.6540
120.483408 86.649 31.7049
120.849619 86.665 31.7148
121.215830 86.679 31.6815
121.582041 86.686 31.6334
121.948252 86.688 31.6055
122.314463 86.689 31.6143
122.680674 86.693 31.6499
123.046885 86.702 31.6886
123.413096 86.713 31.7117
123.779307 86.723 31.7165
124.145518 86.732 31.7123
124.511729 86.739 31.7093
124.877940 86.746 31.7118
125.244151 86.752 31.7183
125.610362 86.759 31.7279
125.976573 86.765 31.7427
126.342784 86.770 31.7663
126.708995 86.777 31.7994
127.075206 86.784 31.8385
127.441417 86.793 31.8772
127.807628 86.804 31.9093
128.173839 86.815 31.9307
128.540049 86.826 31.9405
128.906260 86.836 31.9413
129.272471 86.843 31.9403
129.638682 86.848 31.9483
130.004893 86.852 31.9746
130.371104 86.858 32.0202
130.737315 86.867 32.0746
131.103526 86.879 32.1198
131.469737 86.893 32.1415
131.835948 86.906 32.1385
132.202159 86.916 32.1238
132.568370 86.922 32.1157
132.934581 86.926 32.1262
133.300792 86.932 32.1541
133.667003 86.940 32.1874
134.033214 86.949 32.2131
134.399425 86.959 32.2258
134.765636 86.968 32.2294
135.131847 86.975 32.2334
135.498058 86.981 32.2458
135.864269 86.987 32.2690
136.230480 86.995 32.2992
136.596691 87.004 32.3291
136.962902 87.015 32.3518
137.329113 87.025 32.3641
137.695324 87.035 32.3679
138.061535 87.044 32.3701
138.427746 87.051 32.3787
138.793957 87.058 32.3974
139.160168 87.066 32.4232
139.526379 87.076 32.4476
139.892589 87.087 32.4632
140.258800 87.096 32.4702
140.625011 87.104 32.4765
140.991222 87.111 32.4920
141.357433 87.118 32.5204
141.723644 87.127 32.5554
142.089855 87.138 32.5849
142.456066 87.149 32.5996
142.822277 87.159 32.6005
143.188488 87.167 32.5980
143.554699 87.172 32.6045
143.920910 87.177 32.6269
144.287121 87.182 32.6623
144.653332 87.190 32.7018
145.019543 87.199 32.7368
145.385754 87.209 32.7631
145.751965 87.219 32.7812
146.118176 87.229 32.7941
146.484387 87.237 32.8048
146.850598 87.245 32.8154
147.216809 87.253 32.8282
147.583020 87.260 32.8451
147.949231 87.267 32.8671
148.315442 87.275 32.8933
148.681653 87.284 32.9211
149.047864 87.294 32.9472
149.414075 87.304 32.9685
149.780286 87.315 32.9831
150.146497 87.325 32.9910
150.512708 87.334 32.9948
150.878918 87.342 33.0003
151.245129 87.348 33.0142
151.611340 87.355 33.0399
151.977551 87.363 33.0740
152.343762 87.373 33.1069
152.709973 87.384 33.1283
