* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:57:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Purple Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.200 -21.8831
0.732422 85.314 -43.7827
1.098633 81.715 -65.7759
1.464844 74.932 -88.3566
1.831055 44.953 168.7132
2.197266 70.870 53.6314
2.563477 73.261 31.9703
2.929688 71.168 11.9519
3.295899 62.589 -3.8946
3.662110 61.758 143.8725
4.028321 70.004 131.0564
4.394532 72.026 117.6642
4.760743 71.429 110.2221
5.126954 69.557 116.6346
5.493164 69.488 137.2057
5.859375 71.658 147.1183
6.225586 73.270 144.4932
6.591797 73.755 138.1164
6.958008 73.428 133.0119
7.324219 72.894 131.4742
7.690430 72.828 132.0620
8.056641 73.349 130.7079
8.422852 74.040 125.8919
8.789063 74.598 119.2346
9.155274 75.010 112.8703
9.521485 75.424 107.9728
9.887696 75.978 104.3792
10.253907 76.601 101.2266
10.620118 77.204 98.0536
10.986329 77.712 95.1318
11.352540 78.114 92.9622
11.718751 78.475 91.6902
12.084962 78.858 90.9257
12.451173 79.253 90.0968
12.817384 79.665 88.9381
13.183595 79.990 87.5945
13.549806 80.220 86.3599
13.916017 80.394 85.3818
14.282228 80.555 84.5632
14.648439 80.719 83.6855
15.014650 80.877 82.6047
15.380861 81.017 81.3262
15.747072 81.136 79.9367
16.113283 81.251 78.5107
16.479493 81.380 77.0776
16.845704 81.515 75.6495
17.211915 81.661 74.2449
17.578126 81.819 72.8812
17.944337 81.990 71.5568
18.310548 82.169 70.2612
18.676759 82.348 69.0047
19.042970 82.518 67.8299
19.409181 82.679 66.7845
19.775392 82.834 65.8794
20.141603 82.987 65.0793
20.507814 83.135 64.3357
20.874025 83.269 63.6294
21.240236 83.385 62.9785
21.606447 83.485 62.4053
21.972658 83.577 61.8990
22.338869 83.666 61.4110
22.705080 83.753 60.8856
23.071291 83.834 60.2897
23.437502 83.907 59.6178
23.803713 83.970 58.8756
24.169924 84.023 58.0731
24.536135 84.063 57.2354
24.902346 84.092 56.4137
25.268557 84.115 55.6701
25.634768 84.145 55.0383
26.000979 84.193 54.4910
26.367190 84.265 53.9506
26.733401 84.354 53.3409
27.099612 84.448 52.6373
27.465823 84.535 51.8756
27.832033 84.608 51.1194
28.198244 84.669 50.4235
28.564455 84.720 49.8200
28.930666 84.763 49.3274
29.296877 84.802 48.9583
29.663088 84.846 48.7082
30.029299 84.899 48.5367
30.395510 84.966 48.3687
30.761721 85.040 48.1288
31.127932 85.109 47.7846
31.494143 85.164 47.3645
31.860354 85.201 46.9336
32.226565 85.224 46.5491
32.592776 85.243 46.2261
32.958987 85.265 45.9367
33.325198 85.293 45.6368
33.691409 85.323 45.2964
34.057620 85.350 44.9141
34.423831 85.373 44.5103
34.790042 85.392 44.1112
35.156253 85.408 43.7344
35.522464 85.424 43.3829
35.888675 85.443 43.0485
36.254886 85.463 42.7234
36.621097 85.483 42.4118
36.987308 85.502 42.1320
37.353519 85.523 41.9021
37.719730 85.553 41.7145
38.085941 85.596 41.5219
38.452152 85.648 41.2543
38.818363 85.699 40.8657
39.184573 85.733 40.3769
39.550784 85.741 39.8810
39.916995 85.725 39.5012
40.283206 85.702 39.3216
40.649417 85.692 39.3326
41.015628 85.710 39.4291
41.381839 85.756 39.4712
41.748050 85.816 39.3638
42.114261 85.873 39.1006
42.480472 85.913 38.7470
42.846683 85.935 38.3893
43.212894 85.945 38.0873
43.579105 85.951 37.8561
43.945316 85.958 37.6780
44.311527 85.969 37.5274
44.677738 85.983 37.3883
45.043949 85.999 37.2548
45.410160 86.017 37.1227
45.776371 86.038 36.9836
46.142582 86.059 36.8277
46.508793 86.080 36.6518
46.875004 86.099 36.4624
47.241215 86.114 36.2710
47.607426 86.128 36.0854
47.973637 86.141 35.9060
48.339848 86.152 35.7291
48.706059 86.162 35.5555
49.072270 86.170 35.3956
49.438481 86.177 35.2631
49.804692 86.186 35.1626
50.170902 86.200 35.0796
50.537113 86.220 34.9850
50.903324 86.243 34.8529
51.269535 86.264 34.6807
51.635746 86.277 34.4943
52.001957 86.284 34.3321
52.368168 86.289 34.2174
52.734379 86.298 34.1401
53.100590 86.314 34.0631
53.466801 86.332 33.9521
53.833012 86.348 33.8032
54.199223 86.358 33.6462
54.565434 86.363 33.5181
54.931645 86.369 33.4286
55.297856 86.382 33.3489
55.664067 86.399 33.2365
56.030278 86.414 33.0767
56.396489 86.420 32.9032
56.762700 86.419 32.7744
57.128911 86.419 32.7226
57.495122 86.430 32.7179
57.861333 86.454 32.6838
58.227544 86.484 32.5574
58.593755 86.504 32.3463
58.959966 86.507 32.1294
59.326177 86.498 32.0009
59.692388 86.490 31.9980
60.058599 86.497 32.0699
60.424810 86.521 32.1157
60.791021 86.553 32.0625
61.157232 86.577 31.9174
61.523442 86.587 31.7526
61.889653 86.588 31.6424
62.255864 86.589 31.6066
62.622075 86.599 31.6005
62.988286 86.617 31.5576
63.354497 86.636 31.4437
63.720708 86.646 31.2773
64.086919 86.647 31.1069
64.453130 86.641 30.9717
64.819341 86.633 30.8788
65.185552 86.627 30.8115
65.551763 86.623 30.7526
65.917974 86.619 30.7005
66.284185 86.614 30.6645
66.650396 86.611 30.6514
67.016607 86.611 30.6575
67.382818 86.614 30.6730
67.749029 86.620 30.6910
68.115240 86.629 30.7105
68.481451 86.640 30.7302
68.847662 86.655 30.7429
69.213873 86.672 30.7378
69.580084 86.689 30.7091
69.946295 86.704 30.6615
70.312506 86.717 30.6067
70.678717 86.728 30.5535
71.044928 86.737 30.5018
71.411139 86.746 30.4461
71.777350 86.753 30.3855
72.143561 86.758 30.3277
72.509771 86.761 30.2833
72.875982 86.764 30.2542
73.242193 86.770 30.2288
73.608404 86.778 30.1903
73.974615 86.785 30.1325
74.340826 86.789 30.0682
74.707037 86.790 30.0200
75.073248 86.792 29.9996
75.439459 86.799 29.9932
75.805670 86.811 29.9674
76.171881 86.826 29.8948
76.538092 86.835 29.7786
76.904303 86.836 29.6565
77.270514 86.830 29.5784
77.636725 86.822 29.5716
78.002936 86.823 29.6218
78.369147 86.834 29.6807
78.735358 86.855 29.6979
79.101569 86.878 29.6517
79.467780 86.896 29.5560
79.833991 86.908 29.4443
80.200202 86.915 29.3463
80.566413 86.919 29.2736
80.932624 86.924 29.2220
81.298835 86.929 29.1823
81.665046 86.935 29.1473
82.031257 86.942 29.1128
82.397468 86.949 29.0759
82.763679 86.954 29.0371
83.129890 86.958 29.0039
83.496101 86.959 28.9884
83.862311 86.961 28.9973
84.228522 86.965 29.0215
84.594733 86.974 29.0389
84.960944 86.982 29.0310
85.327155 86.987 29.0031
85.693366 86.986 28.9860
86.059577 86.983 29.0135
86.425788 86.984 29.0904
86.791999 86.995 29.1789
87.158210 87.015 29.2191
87.524421 87.037 29.1734
87.890632 87.051 29.0569
88.256843 87.051 28.9296
88.623054 87.042 28.8558
88.989265 87.032 28.8599
89.355476 87.030 28.9127
89.721687 87.038 28.9584
90.087898 87.051 28.9588
90.454109 87.061 28.9184
90.820320 87.067 28.8721
91.186531 87.070 28.8504
91.552742 87.077 28.8533
91.918953 87.087 28.8536
92.285164 87.101 28.8246
92.651375 87.111 28.7648
93.017586 87.117 28.6991
93.383797 87.118 28.6574
93.750008 87.119 28.6505
94.116219 87.123 28.6640
94.482430 87.130 28.6732
94.848641 87.138 28.6645
95.214851 87.144 28.6455
95.581062 87.147 28.6342
95.947273 87.150 28.6420
96.313484 87.155 28.6634
96.679695 87.163 28.6806
97.045906 87.172 28.6791
97.412117 87.180 28.6589
97.778328 87.185 28.6330
98.144539 87.187 28.6178
98.510750 87.190 28.6206
98.876961 87.194 28.6360
99.243172 87.201 28.6515
99.609383 87.210 28.6554
99.975594 87.218 28.6444
100.341805 87.226 28.6235
100.708016 87.231 28.6021
101.074227 87.235 28.5889
101.440438 87.239 28.5877
101.806649 87.244 28.5960
102.172860 87.250 28.6069
102.539071 87.257 28.6129
102.905282 87.264 28.6101
103.271493 87.270 28.6003
103.637704 87.275 28.5902
104.003915 87.278 28.5875
104.370126 87.280 28.5974
104.736337 87.283 28.6202
105.102548 87.287 28.6514
105.468759 87.294 28.6845
105.834970 87.302 28.7122
106.201180 87.313 28.7279
106.567391 87.323 28.7270
106.933602 87.333 28.7086
107.299813 87.341 28.6773
107.666024 87.346 28.6438
108.032235 87.348 28.6216
108.398446 87.349 28.6205
108.764657 87.351 28.6406
109.130868 87.356 28.6709
109.497079 87.364 28.6942
109.863290 87.374 28.6980
110.229501 87.383 28.6814
110.595712 87.388 28.6561
110.961923 87.390 28.6390
111.328134 87.391 28.6419
111.694345 87.392 28.6651
112.060556 87.396 28.6986
112.426767 87.403 28.7291
112.792978 87.410 28.7475
113.159189 87.418 28.7521
113.525400 87.424 28.7481
113.891611 87.428 28.7444
114.257822 87.431 28.7498
114.624033 87.433 28.7701
114.990244 87.438 28.8042
115.356455 87.447 28.8404
115.722666 87.459 28.8593
116.088877 87.473 28.8430
116.455088 87.483 28.7887
116.821299 87.487 28.7163
117.187510 87.483 28.6630
117.553720 87.475 28.6643
117.919931 87.469 28.7311
118.286142 87.472 28.8390
118.652353 87.486 28.9387
119.018564 87.508 28.9828
119.384775 87.529 28.9536
119.750986 87.543 28.8727
120.117197 87.546 28.7870
120.483408 87.542 28.7424
120.849619 87.536 28.7585
121.215830 87.536 28.8205
121.582041 87.543 28.8903
121.948252 87.556 28.9310
122.314463 87.569 28.9283
122.680674 87.578 28.8964
123.046885 87.582 28.8661
123.413096 87.582 28.8637
123.779307 87.583 28.8941
124.145518 87.589 28.9393
124.511729 87.599 28.9718
124.877940 87.610 28.9753
125.244151 87.619 28.9556
125.610362 87.624 28.9359
125.976573 87.626 28.9394
126.342784 87.628 28.9733
126.708995 87.634 29.0247
127.075206 87.644 29.0715
127.441417 87.656 29.0983
127.807628 87.667 29.1063
128.173839 87.675 29.1082
128.540049 87.681 29.1171
128.906260 87.687 29.1367
129.272471 87.695 29.1611
129.638682 87.703 29.1815
130.004893 87.711 29.1942
130.371104 87.718 29.2021
130.737315 87.724 29.2103
131.103526 87.729 29.2225
131.469737 87.734 29.2391
131.835948 87.740 29.2588
132.202159 87.746 29.2800
132.568370 87.753 29.3010
132.934581 87.760 29.3191
133.300792 87.768 29.3320
133.667003 87.776 29.3409
134.033214 87.782 29.3513
134.399425 87.789 29.3693
134.765636 87.797 29.3953
135.131847 87.807 29.4212
135.498058 87.819 29.4345
135.864269 87.831 29.4286
136.230480 87.840 29.4103
136.596691 87.846 29.3974
136.962902 87.849 29.4067
137.329113 87.854 29.4409
137.695324 87.862 29.4858
138.061535 87.874 29.5201
138.427746 87.886 29.5305
138.793957 87.896 29.5210
139.160168 87.902 29.5083
139.526379 87.906 29.5090
139.892589 87.909 29.5283
140.258800 87.914 29.5590
140.625011 87.920 29.5895
140.991222 87.927 29.6134
141.357433 87.934 29.6322
141.723644 87.940 29.6505
142.089855 87.947 29.6697
142.456066 87.955 29.6863
142.822277 87.963 29.6962
143.188488 87.970 29.7000
143.554699 87.976 29.7034
143.920910 87.982 29.7128
144.287121 87.988 29.7295
144.653332 87.995 29.7486
145.019543 88.004 29.7629
145.385754 88.012 29.7696
145.751965 88.020 29.7719
146.118176 88.027 29.7763
146.484387 88.033 29.7875
146.850598 88.039 29.8057
147.216809 88.046 29.8278
147.583020 88.054 29.8506
147.949231 88.062 29.8729
148.315442 88.070 29.8943
148.681653 88.078 29.9141
149.047864 88.086 29.9304
149.414075 88.094 29.9424
149.780286 88.101 29.9523
150.146497 88.107 29.9651
150.512708 88.113 29.9851
150.878918 88.119 30.0123
151.245129 88.127 30.0414
151.611340 88.136 30.0644
151.977551 88.145 30.0757
152.343762 88.154 30.0759
152.709973 88.162 30.0714
