* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 9:59:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Red Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.782 158.3206
0.732422 81.965 136.7990
1.098633 78.511 115.7695
1.464844 72.075 96.6820
1.831055 51.856 135.5473
2.197266 67.896 -139.5423
2.563477 71.169 -157.5536
2.929688 70.726 -176.8925
3.295899 67.582 166.1490
3.662110 60.993 162.9799
4.028321 57.321 -141.9596
4.394532 62.258 -135.6865
4.760743 64.234 -159.3833
5.126954 64.959 169.7842
5.493164 65.435 140.8879
5.859375 65.723 121.2656
6.225586 65.998 114.3709
6.591797 67.117 116.9006
6.958008 69.168 118.9767
7.324219 71.162 116.7153
7.690430 72.566 112.4888
8.056641 73.395 108.9558
8.422852 73.909 107.4535
8.789063 74.406 107.6697
9.155274 75.017 108.1233
9.521485 75.654 107.6733
9.887696 76.188 106.3160
10.253907 76.517 104.6351
10.620118 76.734 103.0376
10.986329 76.939 101.4663
11.352540 77.155 99.6259
11.718751 77.357 97.3835
12.084962 77.517 94.9078
12.451173 77.643 92.4890
12.817384 77.831 90.2957
13.183595 78.054 88.2943
13.549806 78.305 86.3718
13.916017 78.565 84.5010
14.282228 78.822 82.7677
14.648439 79.079 81.2588
15.014650 79.346 79.9480
15.380861 79.624 78.7032
15.747072 79.895 77.4039
16.113283 80.137 76.0490
16.479493 80.341 74.7570
16.845704 80.498 73.6773
17.211915 80.631 72.8845
17.578126 80.765 72.3280
17.944337 80.917 71.8571
18.310548 81.085 71.3021
18.676759 81.256 70.5514
19.042970 81.412 69.5852
19.409181 81.540 68.4635
19.775392 81.636 67.2881
20.141603 81.709 66.1606
20.507814 81.771 65.1457
20.874025 81.834 64.2558
21.240236 81.911 63.4565
21.606447 82.004 62.6915
21.972658 82.113 61.9097
22.338869 82.229 61.0838
22.705080 82.344 60.2182
23.071291 82.452 59.3469
23.437502 82.549 58.5195
23.803713 82.638 57.7753
24.169924 82.725 57.1180
24.536135 82.812 56.5132
24.902346 82.897 55.9194
25.268557 82.971 55.3324
25.634768 83.029 54.7999
26.000979 83.077 54.3841
26.367190 83.130 54.0937
26.733401 83.199 53.8472
27.099612 83.283 53.5134
27.465823 83.366 53.0120
27.832033 83.427 52.3847
28.198244 83.458 51.7756
28.564455 83.472 51.3295
28.930666 83.494 51.0793
29.296877 83.548 50.9087
29.663088 83.633 50.6312
30.029299 83.727 50.1271
30.395510 83.804 49.4240
30.761721 83.849 48.6666
31.127932 83.864 48.0169
31.494143 83.870 47.5591
31.860354 83.885 47.2649
32.226565 83.918 47.0340
32.592776 83.964 46.7732
32.958987 84.010 46.4540
33.325198 84.048 46.1122
33.691409 84.076 45.8055
34.057620 84.102 45.5665
34.423831 84.134 45.3788
34.790042 84.175 45.1899
35.156253 84.221 44.9448
35.522464 84.266 44.6189
35.888675 84.302 44.2289
36.254886 84.325 43.8186
36.621097 84.337 43.4321
36.987308 84.342 43.0931
37.353519 84.346 42.8014
37.719730 84.351 42.5455
38.085941 84.358 42.3174
38.452152 84.367 42.1172
38.818363 84.379 41.9465
39.184573 84.397 41.7996
39.550784 84.422 41.6630
39.916995 84.452 41.5230
40.283206 84.490 41.3708
40.649417 84.532 41.1977
41.015628 84.579 40.9884
41.381839 84.627 40.7221
41.748050 84.672 40.3875
42.114261 84.706 40.0007
42.480472 84.724 39.6077
42.846683 84.730 39.2662
43.212894 84.728 39.0144
43.579105 84.728 38.8507
43.945316 84.736 38.7386
44.311527 84.751 38.6327
44.677738 84.771 38.5071
45.043949 84.791 38.3620
45.410160 84.811 38.2103
45.776371 84.830 38.0592
46.142582 84.850 37.9044
46.508793 84.870 37.7391
46.875004 84.887 37.5672
47.241215 84.901 37.4045
47.607426 84.914 37.2666
47.973637 84.929 37.1533
48.339848 84.948 37.0458
48.706059 84.970 36.9196
49.072270 84.992 36.7636
49.438481 85.009 36.5893
49.804692 85.022 36.4228
50.170902 85.032 36.2852
50.537113 85.043 36.1775
50.903324 85.059 36.0812
51.269535 85.077 35.9737
51.635746 85.096 35.8461
52.001957 85.113 35.7079
52.368168 85.128 35.5759
52.734379 85.143 35.4566
53.100590 85.159 35.3399
53.466801 85.176 35.2081
53.833012 85.191 35.0566
54.199223 85.200 34.9057
54.565434 85.202 34.7925
54.931645 85.205 34.7436
55.297856 85.213 34.7499
55.664067 85.233 34.7624
56.030278 85.262 34.7200
56.396489 85.290 34.5908
56.762700 85.307 34.3992
57.128911 85.307 34.2161
57.495122 85.295 34.1181
57.861333 85.284 34.1400
58.227544 85.285 34.2491
58.593755 85.305 34.3620
58.959966 85.339 34.3947
59.326177 85.375 34.3109
59.692388 85.402 34.1365
60.058599 85.416 33.9351
60.424810 85.419 33.7663
60.791021 85.419 33.6542
61.157232 85.422 33.5833
61.523442 85.430 33.5207
61.889653 85.442 33.4431
62.255864 85.454 33.3488
62.622075 85.464 33.2506
62.988286 85.475 33.1583
63.354497 85.484 33.0700
63.720708 85.495 32.9771
64.086919 85.504 32.8766
64.453130 85.510 32.7786
64.819341 85.514 32.7005
65.185552 85.517 32.6533
65.551763 85.522 32.6319
65.917974 85.531 32.6166
66.284185 85.543 32.5877
66.650396 85.554 32.5387
67.016607 85.563 32.4800
67.382818 85.568 32.4298
67.749029 85.573 32.3994
68.115240 85.579 32.3851
68.481451 85.589 32.3710
68.847662 85.600 32.3413
69.213873 85.612 32.2901
69.580084 85.621 32.2237
69.946295 85.629 32.1523
70.312506 85.635 32.0821
70.678717 85.641 32.0138
71.044928 85.644 31.9496
71.411139 85.646 31.8991
71.777350 85.649 31.8757
72.143561 85.654 31.8816
72.509771 85.667 31.8950
72.875982 85.688 31.8745
73.242193 85.710 31.7856
73.608404 85.725 31.6323
73.974615 85.726 31.4665
74.340826 85.714 31.3629
74.707037 85.701 31.3686
75.073248 85.698 31.4640
75.439459 85.713 31.5672
75.805670 85.740 31.5878
76.171881 85.766 31.4920
76.538092 85.777 31.3266
76.904303 85.772 31.1846
77.270514 85.759 31.1380
77.636725 85.751 31.1868
78.002936 85.756 31.2631
78.369147 85.772 31.2877
78.735358 85.788 31.2340
79.101569 85.792 31.1455
79.467780 85.787 31.0978
79.833991 85.781 31.1363
80.200202 85.785 31.2401
80.566413 85.805 31.3361
80.932624 85.834 31.3530
81.298835 85.863 31.2680
81.665046 85.881 31.1159
82.031257 85.885 30.9602
82.397468 85.878 30.8565
82.763679 85.867 30.8301
83.129890 85.860 30.8759
83.496101 85.860 30.9683
83.862311 85.870 31.0715
84.228522 85.889 31.1482
84.594733 85.912 31.1710
84.960944 85.933 31.1362
85.327155 85.946 31.0700
85.693366 85.952 31.0161
86.059577 85.953 31.0079
86.425788 85.958 31.0444
86.791999 85.970 31.0900
87.158210 85.987 31.1014
87.524421 86.003 31.0610
87.890632 86.014 30.9895
88.256843 86.017 30.9265
88.623054 86.018 30.8979
88.989265 86.020 30.8970
89.355476 86.026 30.8951
89.721687 86.033 30.8706
90.087898 86.036 30.8297
90.454109 86.035 30.8010
90.820320 86.032 30.8093
91.186531 86.032 30.8524
91.552742 86.039 30.9020
91.918953 86.051 30.9260
92.285164 86.062 30.9141
92.651375 86.070 30.8828
93.017586 86.073 30.8608
93.383797 86.075 30.8654
93.750008 86.080 30.8914
94.116219 86.088 30.9186
94.482430 86.098 30.9288
94.848641 86.108 30.9194
95.214851 86.115 30.9023
95.581062 86.120 30.8927
95.947273 86.125 30.8980
96.313484 86.131 30.9137
96.679695 86.138 30.9294
97.045906 86.147 30.9365
97.412117 86.155 30.9335
97.778328 86.162 30.9256
98.144539 86.169 30.9192
98.510750 86.175 30.9173
98.876961 86.181 30.9185
99.243172 86.187 30.9198
99.609383 86.193 30.9194
99.975594 86.200 30.9192
100.341805 86.206 30.9215
100.708016 86.213 30.9262
101.074227 86.220 30.9291
101.440438 86.228 30.9256
101.806649 86.235 30.9149
102.172860 86.240 30.9038
102.539071 86.243 30.9024
102.905282 86.246 30.9178
103.271493 86.251 30.9473
103.637704 86.258 30.9797
104.003915 86.267 31.0025
104.370126 86.277 31.0102
104.736337 86.285 31.0080
105.102548 86.290 31.0073
105.468759 86.295 31.0171
105.834970 86.301 31.0382
106.201180 86.308 31.0634
106.567391 86.316 31.0828
106.933602 86.326 31.0905
107.299813 86.334 31.0879
107.666024 86.341 31.0816
108.032235 86.347 31.0788
108.398446 86.353 31.0822
108.764657 86.360 31.0888
109.130868 86.367 31.0927
109.497079 86.374 31.0910
109.863290 86.380 31.0868
110.229501 86.385 31.0887
110.595712 86.389 31.1047
110.961923 86.395 31.1355
111.328134 86.403 31.1723
111.694345 86.414 31.2016
112.060556 86.426 31.2128
112.426767 86.437 31.2046
112.792978 86.445 31.1849
113.159189 86.450 31.1657
113.525400 86.452 31.1578
113.891611 86.453 31.1680
114.257822 86.454 31.1980
114.624033 86.457 31.2431
114.990244 86.463 31.2917
115.356455 86.472 31.3275
115.722666 86.482 31.3379
116.088877 86.489 31.3253
116.455088 86.490 31.3104
116.821299 86.488 31.3227
117.187510 86.486 31.3798
117.553720 86.490 31.4710
117.919931 86.503 31.5588
118.286142 86.522 31.6014
118.652353 86.541 31.5814
119.018564 86.554 31.5177
119.384775 86.558 31.4535
119.750986 86.557 31.4270
120.117197 86.556 31.4490
120.483408 86.559 31.4998
120.849619 86.568 31.5482
121.215830 86.580 31.5743
121.582041 86.590 31.5795
121.948252 86.599 31.5783
122.314463 86.605 31.5842
122.680674 86.611 31.5999
123.046885 86.618 31.6207
123.413096 86.624 31.6424
123.779307 86.631 31.6656
124.145518 86.637 31.6936
124.511729 86.645 31.7256
124.877940 86.653 31.7561
125.244151 86.663 31.7780
125.610362 86.674 31.7889
125.976573 86.683 31.7925
126.342784 86.691 31.7949
126.708995 86.698 31.7999
127.075206 86.704 31.8080
127.441417 86.711 31.8184
127.807628 86.717 31.8315
128.173839 86.724 31.8484
128.540049 86.731 31.8682
128.906260 86.740 31.8874
129.272471 86.749 31.9020
129.638682 86.757 31.9116
130.004893 86.765 31.9201
130.371104 86.773 31.9319
130.737315 86.781 31.9473
131.103526 86.790 31.9621
131.469737 86.798 31.9727
131.835948 86.806 31.9818
132.202159 86.812 31.9983
132.568370 86.818 32.0293
132.934581 86.826 32.0723
133.300792 86.837 32.1134
133.667003 86.850 32.1368
134.033214 86.863 32.1372
134.399425 86.872 32.1260
134.765636 86.877 32.1235
135.131847 86.881 32.1441
135.498058 86.888 32.1852
135.864269 86.898 32.2291
136.230480 86.910 32.2569
136.596691 86.923 32.2619
136.962902 86.934 32.2534
137.329113 86.942 32.2464
137.695324 86.949 32.2492
138.061535 86.957 32.2578
138.427746 86.966 32.2618
138.793957 86.974 32.2573
139.160168 86.979 32.2525
139.526379 86.982 32.2631
139.892589 86.985 32.2998
140.258800 86.990 32.3583
140.625011 87.000 32.4211
140.991222 87.013 32.4685
141.357433 87.026 32.4916
141.723644 87.038 32.4973
142.089855 87.046 32.5015
142.456066 87.052 32.5176
142.822277 87.059 32.5480
143.188488 87.067 32.5843
143.554699 87.077 32.6152
143.920910 87.087 32.6344
144.287121 87.095 32.6451
144.653332 87.102 32.6562
145.019543 87.107 32.6757
145.385754 87.113 32.7051
145.751965 87.119 32.7394
146.118176 87.128 32.7707
146.484387 87.136 32.7940
146.850598 87.145 32.8105
147.216809 87.152 32.8260
147.583020 87.159 32.8467
147.949231 87.167 32.8743
148.315442 87.176 32.9039
148.681653 87.186 32.9278
149.047864 87.197 32.9407
149.414075 87.207 32.9441
149.780286 87.215 32.9459
150.146497 87.223 32.9544
150.512708 87.230 32.9724
150.878918 87.239 32.9951
151.245129 87.248 33.0141
151.611340 87.257 33.0254
151.977551 87.265 33.0342
152.343762 87.270 33.0519
152.709973 87.276 33.0875
