* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:00:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Green f.Red Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.124 -21.7664
0.732422 85.224 -43.5233
1.098633 81.590 -65.2905
1.464844 74.685 -87.3055
1.831055 43.273 109.5190
2.197266 71.158 52.6232
2.563477 73.456 31.6255
2.929688 71.385 11.9722
3.295899 63.088 -3.1631
3.662110 61.355 141.5990
4.028321 69.881 130.2251
4.394532 71.951 117.0452
4.760743 71.354 109.6667
5.126954 69.439 116.3276
5.493164 69.387 137.6445
5.859375 71.656 147.7965
6.225586 73.341 145.0533
6.591797 73.885 138.4190
6.958008 73.602 132.8534
7.324219 73.066 130.6439
7.690430 72.923 130.6942
8.056641 73.343 129.2883
8.422852 73.969 124.7341
8.789063 74.498 118.3867
9.155274 74.902 112.2781
9.521485 75.315 107.5738
9.887696 75.870 104.1424
10.253907 76.494 101.1547
10.620118 77.107 98.1516
10.986329 77.631 95.3731
11.352540 78.054 93.2799
11.718751 78.434 92.0024
12.084962 78.822 91.1927
12.451173 79.212 90.3549
12.817384 79.615 89.2702
13.183595 79.941 88.0645
13.549806 80.186 86.9615
13.916017 80.384 86.0319
14.282228 80.567 85.1479
14.648439 80.739 84.1362
15.014650 80.887 82.9425
15.380861 81.008 81.6449
15.747072 81.114 80.3417
16.113283 81.231 79.0501
16.479493 81.380 77.7075
16.845704 81.545 76.2520
17.211915 81.714 74.6894
17.578126 81.880 73.0903
17.944337 82.038 71.5461
18.310548 82.191 70.1313
18.676759 82.344 68.8904
19.042970 82.501 67.8304
19.409181 82.669 66.9121
19.775392 82.844 66.0582
20.141603 83.018 65.1973
20.507814 83.175 64.3219
20.874025 83.301 63.5033
21.240236 83.400 62.8377
21.606447 83.490 62.3571
21.972658 83.588 61.9790
22.338869 83.698 61.5513
22.705080 83.804 60.9649
23.071291 83.888 60.2325
23.437502 83.942 59.4672
23.803713 83.976 58.7852
24.169924 84.010 58.2148
24.536135 84.061 57.6791
24.902346 84.131 57.0647
25.268557 84.207 56.3121
25.634768 84.275 55.4544
26.000979 84.329 54.5850
26.367190 84.375 53.7937
26.733401 84.424 53.1173
27.099612 84.486 52.5273
27.465823 84.564 51.9536
27.832033 84.651 51.3263
28.198244 84.734 50.6191
28.564455 84.797 49.8733
28.930666 84.833 49.1911
29.296877 84.846 48.6902
29.663088 84.855 48.4356
30.029299 84.881 48.3855
30.395510 84.938 48.3977
30.761721 85.020 48.3077
31.127932 85.107 48.0271
31.494143 85.177 47.5842
31.860354 85.221 47.0854
32.226565 85.243 46.6368
32.592776 85.257 46.2828
32.958987 85.274 45.9981
33.325198 85.298 45.7283
33.691409 85.327 45.4381
34.057620 85.358 45.1268
34.423831 85.389 44.8081
34.790042 85.423 44.4825
35.156253 85.461 44.1333
35.522464 85.498 43.7475
35.888675 85.530 43.3383
36.254886 85.554 42.9449
36.621097 85.573 42.6073
36.987308 85.594 42.3367
37.353519 85.622 42.1056
37.719730 85.656 41.8683
38.085941 85.693 41.5928
38.452152 85.725 41.2819
38.818363 85.748 40.9675
39.184573 85.763 40.6878
39.550784 85.774 40.4646
39.916995 85.788 40.2942
40.283206 85.807 40.1532
40.649417 85.834 40.0104
41.015628 85.866 39.8371
41.381839 85.899 39.6142
41.748050 85.930 39.3397
42.114261 85.952 39.0333
42.480472 85.964 38.7333
42.846683 85.970 38.4807
43.212894 85.974 38.2955
43.579105 85.985 38.1618
43.945316 86.005 38.0354
44.311527 86.032 37.8725
44.677738 86.058 37.6597
45.043949 86.078 37.4211
45.410160 86.090 37.1985
45.776371 86.100 37.0196
46.142582 86.111 36.8801
46.508793 86.128 36.7511
46.875004 86.148 36.6045
47.241215 86.167 36.4330
47.607426 86.183 36.2516
47.973637 86.194 36.0808
48.339848 86.205 35.9300
48.706059 86.217 35.7928
49.072270 86.231 35.6555
49.438481 86.245 35.5092
49.804692 86.258 35.3552
50.170902 86.269 35.2019
50.537113 86.279 35.0591
50.903324 86.289 34.9331
51.269535 86.301 34.8237
51.635746 86.315 34.7231
52.001957 86.332 34.6173
52.368168 86.352 34.4922
52.734379 86.371 34.3427
53.100590 86.386 34.1788
53.466801 86.397 34.0209
53.833012 86.406 33.8874
54.199223 86.415 33.7812
54.565434 86.427 33.6887
54.931645 86.441 33.5917
55.297856 86.454 33.4835
55.664067 86.465 33.3741
56.030278 86.475 33.2797
56.396489 86.484 33.2071
56.762700 86.496 33.1464
57.128911 86.510 33.0800
57.495122 86.525 32.9991
57.861333 86.537 32.9113
58.227544 86.548 32.8319
58.593755 86.560 32.7658
58.959966 86.574 32.6972
59.326177 86.591 32.6001
59.692388 86.605 32.4617
60.058599 86.611 32.2997
60.424810 86.607 32.1562
60.791021 86.599 32.0706
61.157232 86.593 32.0496
61.523442 86.596 32.0593
61.889653 86.608 32.0467
62.255864 86.624 31.9768
62.622075 86.635 31.8560
62.988286 86.639 31.7245
63.354497 86.636 31.6259
63.720708 86.634 31.5754
64.086919 86.639 31.5521
64.453130 86.651 31.5171
64.819341 86.666 31.4437
65.185552 86.680 31.3342
65.551763 86.689 31.2141
65.917974 86.695 31.1101
66.284185 86.700 31.0319
66.650396 86.707 30.9704
67.016607 86.717 30.9101
67.382818 86.727 30.8440
67.749029 86.736 30.7781
68.115240 86.744 30.7232
68.481451 86.752 30.6828
68.847662 86.763 30.6485
69.213873 86.774 30.6056
69.580084 86.786 30.5449
69.946295 86.794 30.4714
70.312506 86.797 30.4026
70.678717 86.798 30.3570
71.044928 86.798 30.3418
71.411139 86.801 30.3473
71.777350 86.809 30.3520
72.143561 86.819 30.3361
72.509771 86.830 30.2929
72.875982 86.837 30.2320
73.242193 86.841 30.1721
73.608404 86.842 30.1305
73.974615 86.843 30.1157
74.340826 86.848 30.1253
74.707037 86.857 30.1482
75.073248 86.872 30.1648
75.439459 86.893 30.1497
75.805670 86.917 30.0795
76.171881 86.937 29.9476
76.538092 86.947 29.7768
76.904303 86.943 29.6183
77.270514 86.931 29.5281
77.636725 86.918 29.5324
78.002936 86.915 29.6040
78.369147 86.925 29.6748
78.735358 86.943 29.6802
79.101569 86.958 29.6050
79.467780 86.961 29.4941
79.833991 86.953 29.4196
80.200202 86.941 29.4277
80.566413 86.936 29.5062
80.932624 86.943 29.5946
81.298835 86.960 29.6314
81.665046 86.977 29.5970
82.031257 86.987 29.5199
82.397468 86.991 29.4463
82.763679 86.991 29.4032
83.129890 86.994 29.3846
83.496101 87.000 29.3663
83.862311 87.009 29.3322
84.228522 87.017 29.2850
84.594733 87.024 29.2351
84.960944 87.031 29.1848
85.327155 87.038 29.1259
85.693366 87.044 29.0547
86.059577 87.044 28.9881
86.425788 87.041 28.9578
86.791999 87.039 28.9849
87.158210 87.044 29.0537
87.524421 87.061 29.1126
87.890632 87.085 29.1067
88.256843 87.105 29.0203
88.623054 87.113 28.8924
88.989265 87.108 28.7932
89.355476 87.097 28.7777
89.721687 87.090 28.8491
90.087898 87.094 28.9584
90.454109 87.109 29.0404
90.820320 87.128 29.0574
91.186531 87.143 29.0182
91.552742 87.150 28.9625
91.918953 87.151 28.9286
92.285164 87.151 28.9291
92.651375 87.154 28.9502
93.017586 87.160 28.9697
93.383797 87.167 28.9750
93.750008 87.174 28.9686
94.116219 87.180 28.9585
94.482430 87.186 28.9475
94.848641 87.193 28.9306
95.214851 87.199 28.9023
95.581062 87.204 28.8650
95.947273 87.206 28.8306
96.313484 87.206 28.8125
96.679695 87.207 28.8160
97.045906 87.210 28.8340
97.412117 87.216 28.8526
97.778328 87.224 28.8602
98.144539 87.233 28.8547
98.510750 87.240 28.8422
98.876961 87.247 28.8303
99.243172 87.253 28.8224
99.609383 87.259 28.8168
99.975594 87.265 28.8104
100.341805 87.270 28.8032
100.708016 87.275 28.7992
101.074227 87.279 28.8029
101.440438 87.284 28.8152
101.806649 87.290 28.8320
102.172860 87.298 28.8465
102.539071 87.306 28.8530
102.905282 87.315 28.8498
103.271493 87.322 28.8391
103.637704 87.329 28.8247
104.003915 87.335 28.8106
104.370126 87.339 28.8000
104.736337 87.343 28.7960
105.102548 87.347 28.8005
105.468759 87.351 28.8144
105.834970 87.356 28.8357
106.201180 87.362 28.8602
106.567391 87.370 28.8825
106.933602 87.379 28.8985
107.299813 87.388 28.9067
107.666024 87.397 28.9086
108.032235 87.404 28.9072
108.398446 87.411 28.9047
108.764657 87.417 28.9009
109.130868 87.423 28.8940
109.497079 87.427 28.8833
109.863290 87.429 28.8726
110.229501 87.429 28.8710
110.595712 87.428 28.8876
110.961923 87.428 28.9249
111.328134 87.432 28.9729
111.694345 87.439 29.0127
112.060556 87.449 29.0284
112.426767 87.458 29.0178
112.792978 87.464 28.9952
113.159189 87.468 28.9805
113.525400 87.471 28.9831
113.891611 87.477 28.9945
114.257822 87.485 28.9959
114.624033 87.494 28.9766
114.990244 87.500 28.9462
115.356455 87.503 28.9287
115.722666 87.505 28.9416
116.088877 87.512 28.9774
116.455088 87.525 29.0045
116.821299 87.541 28.9910
117.187510 87.553 28.9327
117.553720 87.556 28.8610
117.919931 87.551 28.8248
118.286142 87.544 28.8561
118.652353 87.543 28.9464
119.018564 87.552 29.0514
119.384775 87.569 29.1202
119.750986 87.587 29.1287
120.117197 87.600 29.0911
120.483408 87.605 29.0457
120.849619 87.604 29.0288
121.215830 87.602 29.0538
121.582041 87.603 29.1096
121.948252 87.608 29.1716
122.314463 87.618 29.2173
122.680674 87.629 29.2361
123.046885 87.638 29.2307
123.413096 87.644 29.2130
123.779307 87.646 29.1995
124.145518 87.646 29.2040
124.511729 87.646 29.2317
124.877940 87.649 29.2753
125.244151 87.656 29.3183
125.610362 87.665 29.3457
125.976573 87.674 29.3545
126.342784 87.681 29.3559
126.708995 87.686 29.3661
127.075206 87.691 29.3929
127.441417 87.699 29.4281
127.807628 87.711 29.4528
128.173839 87.723 29.4528
128.540049 87.734 29.4297
128.906260 87.741 29.4001
129.272471 87.745 29.3829
129.638682 87.748 29.3854
130.004893 87.753 29.4012
130.371104 87.760 29.4178
130.737315 87.768 29.4286
131.103526 87.776 29.4369
131.469737 87.783 29.4496
131.835948 87.790 29.4689
132.202159 87.799 29.4903
132.568370 87.808 29.5083
132.934581 87.817 29.5240
133.300792 87.825 29.5438
133.667003 87.834 29.5723
134.033214 87.844 29.6042
134.399425 87.856 29.6278
134.765636 87.867 29.6359
135.131847 87.875 29.6355
135.498058 87.880 29.6437
135.864269 87.884 29.6732
136.230480 87.891 29.7183
136.596691 87.900 29.7581
136.962902 87.910 29.7752
137.329113 87.916 29.7741
137.695324 87.917 29.7815
138.061535 87.917 29.8246
138.427746 87.920 29.9046
138.793957 87.931 29.9891
139.160168 87.948 30.0333
139.526379 87.966 30.0149
139.892589 87.976 29.9525
140.258800 87.978 29.8940
140.625011 87.974 29.8816
140.991222 87.972 29.9224
141.357433 87.977 29.9854
141.723644 87.989 30.0278
142.089855 88.004 30.0266
142.456066 88.014 29.9924
142.822277 88.020 29.9556
143.188488 88.023 29.9415
143.554699 88.026 29.9537
143.920910 88.032 29.9776
144.287121 88.041 29.9961
144.653332 88.050 30.0033
145.019543 88.058 30.0051
145.385754 88.065 30.0100
145.751965 88.072 30.0213
146.118176 88.079 30.0366
146.484387 88.086 30.0526
146.850598 88.093 30.0700
147.216809 88.100 30.0919
147.583020 88.107 30.1195
147.949231 88.115 30.1496
148.315442 88.124 30.1769
148.681653 88.133 30.1984
149.047864 88.142 30.2154
149.414075 88.150 30.2311
149.780286 88.159 30.2468
150.146497 88.167 30.2607
150.512708 88.176 30.2704
150.878918 88.184 30.2760
151.245129 88.191 30.2813
151.611340 88.197 30.2905
151.977551 88.203 30.3052
152.343762 88.210 30.3230
152.709973 88.218 30.3398
