* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 10:48:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Blue Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.415 159.1614
0.732422 60.648 138.8315
1.098633 57.285 120.1443
1.464844 51.074 108.2249
1.831055 41.192 163.1846
2.197266 49.380 -155.1453
2.563477 52.832 -167.0132
2.929688 53.701 177.1851
3.295899 53.248 163.6284
3.662110 52.313 156.2069
4.028321 52.095 155.7834
4.394532 53.309 155.4937
4.760743 55.155 149.9583
5.126954 56.808 141.1105
5.493164 58.040 132.1909
5.859375 58.942 125.2406
6.225586 59.732 120.8746
6.591797 60.607 118.2976
6.958008 61.595 116.0546
7.324219 62.573 113.2711
7.690430 63.417 110.0326
8.056641 64.088 106.8750
8.422852 64.629 104.2217
8.789063 65.113 102.1188
9.155274 65.589 100.2885
9.521485 66.061 98.3986
9.887696 66.501 96.2963
10.253907 66.818 94.0335
10.620118 67.053 91.7467
10.986329 67.250 89.5389
11.352540 67.428 87.4403
11.718751 67.599 85.4314
12.084962 67.769 83.4794
12.451173 67.944 81.5546
12.817384 68.164 79.6353
13.183595 68.387 77.7167
13.549806 68.596 75.8235
13.916017 68.787 74.0063
14.282228 68.963 72.3155
14.648439 69.132 70.7678
15.014650 69.297 69.3355
15.380861 69.459 67.9691
15.747072 69.613 66.6360
16.113283 69.758 65.3407
16.479493 69.896 64.1091
16.845704 70.023 62.9566
17.211915 70.142 61.8672
17.578126 70.257 60.8022
17.944337 70.363 59.7304
18.310548 70.458 58.6500
18.676759 70.539 57.5862
19.042970 70.610 56.5666
19.409181 70.677 55.5968
19.775392 70.745 54.6538
20.141603 70.815 53.7031
20.507814 70.886 52.7253
20.874025 70.950 51.7327
21.240236 71.005 50.7630
21.606447 71.054 49.8558
21.972658 71.104 49.0254
22.338869 71.161 48.2493
22.705080 71.226 47.4825
23.071291 71.293 46.6888
23.437502 71.356 45.8670
23.803713 71.410 45.0511
24.169924 71.455 44.2848
24.536135 71.496 43.5876
24.902346 71.539 42.9411
25.268557 71.585 42.3058
25.634768 71.629 41.6561
26.000979 71.666 41.0028
26.367190 71.695 40.3822
26.733401 71.720 39.8212
27.099612 71.749 39.3070
27.465823 71.786 38.7910
27.832033 71.824 38.2252
28.198244 71.857 37.6029
28.564455 71.878 36.9678
28.930666 71.888 36.3830
29.296877 71.895 35.8843
29.663088 71.910 35.4528
30.029299 71.936 35.0290
30.395510 71.969 34.5579
30.761721 72.000 34.0289
31.127932 72.021 33.4792
31.494143 72.035 32.9615
31.860354 72.045 32.5038
32.226565 72.060 32.0907
32.592776 72.081 31.6800
32.958987 72.104 31.2393
33.325198 72.122 30.7714
33.691409 72.133 30.3099
34.057620 72.139 29.8906
34.423831 72.146 29.5223
34.790042 72.158 29.1795
35.156253 72.175 28.8228
35.522464 72.193 28.4296
35.888675 72.206 28.0102
36.254886 72.213 27.5978
36.621097 72.216 27.2209
36.987308 72.221 26.8817
37.353519 72.230 26.5551
37.719730 72.243 26.2100
38.085941 72.255 25.8342
38.452152 72.262 25.4434
38.818363 72.263 25.0687
39.184573 72.261 24.7322
39.550784 72.261 24.4320
39.916995 72.266 24.1456
40.283206 72.273 23.8492
40.649417 72.279 23.5365
41.015628 72.283 23.2217
41.381839 72.283 22.9266
41.748050 72.283 22.6609
42.114261 72.287 22.4132
42.480472 72.295 22.1581
42.846683 72.304 21.8748
43.212894 72.311 21.5627
43.579105 72.312 21.2425
43.945316 72.308 20.9424
44.311527 72.303 20.6798
44.677738 72.300 20.4503
45.043949 72.302 20.2315
45.410160 72.309 19.9984
45.776371 72.316 19.7388
46.142582 72.322 19.4589
46.508793 72.324 19.1765
46.875004 72.323 18.9080
47.241215 72.322 18.6589
47.607426 72.322 18.4227
47.973637 72.324 18.1890
48.339848 72.326 17.9514
48.706059 72.326 17.7116
49.072270 72.326 17.4760
49.438481 72.325 17.2502
49.804692 72.323 17.0349
50.170902 72.323 16.8263
50.537113 72.324 16.6192
50.903324 72.325 16.4098
51.269535 72.326 16.1965
51.635746 72.327 15.9789
52.001957 72.327 15.7575
52.368168 72.326 15.5345
52.734379 72.323 15.3140
53.100590 72.319 15.1016
53.466801 72.315 14.9019
53.833012 72.311 14.7153
54.199223 72.309 14.5376
54.565434 72.309 14.3616
54.931645 72.310 14.1809
55.297856 72.312 13.9925
55.664067 72.314 13.7969
56.030278 72.315 13.5965
56.396489 72.316 13.3943
56.762700 72.316 13.1921
57.128911 72.315 12.9912
57.495122 72.314 12.7924
57.861333 72.311 12.5971
58.227544 72.308 12.4068
58.593755 72.304 12.2234
58.959966 72.300 12.0483
59.326177 72.296 11.8821
59.692388 72.292 11.7235
60.058599 72.290 11.5688
60.424810 72.288 11.4128
60.791021 72.287 11.2511
61.157232 72.286 11.0822
61.523442 72.284 10.9091
61.889653 72.280 10.7376
62.255864 72.275 10.5738
62.622075 72.269 10.4209
62.988286 72.263 10.2781
63.354497 72.258 10.1413
63.720708 72.254 10.0054
64.086919 72.251 9.8667
64.453130 72.248 9.7239
64.819341 72.244 9.5776
65.185552 72.240 9.4299
65.551763 72.235 9.2827
65.917974 72.230 9.1376
66.284185 72.225 8.9951
66.650396 72.219 8.8546
67.016607 72.214 8.7150
67.382818 72.209 8.5750
67.749029 72.203 8.4345
68.115240 72.197 8.2950
68.481451 72.191 8.1589
68.847662 72.184 8.0283
69.213873 72.178 7.9032
69.580084 72.174 7.7812
69.946295 72.170 7.6579
70.312506 72.167 7.5288
70.678717 72.165 7.3916
71.044928 72.162 7.2474
71.411139 72.157 7.1010
71.777350 72.151 6.9590
72.143561 72.144 6.8266
72.509771 72.138 6.7049
72.875982 72.133 6.5900
73.242193 72.129 6.4748
73.608404 72.126 6.3533
73.974615 72.122 6.2242
74.340826 72.117 6.0923
74.707037 72.111 5.9655
75.073248 72.105 5.8495
75.439459 72.099 5.7431
75.805670 72.095 5.6384
76.171881 72.092 5.5255
76.538092 72.089 5.3998
76.904303 72.083 5.2656
77.270514 72.076 5.1351
77.636725 72.066 5.0204
78.002936 72.056 4.9263
78.369147 72.049 4.8464
78.735358 72.045 4.7673
79.101569 72.042 4.6769
79.467780 72.040 4.5712
79.833991 72.037 4.4559
80.200202 72.032 4.3412
80.566413 72.026 4.2340
80.932624 72.021 4.1335
81.298835 72.017 4.0323
81.665046 72.014 3.9228
82.031257 72.010 3.8030
82.397468 72.004 3.6786
82.763679 71.996 3.5589
83.129890 71.987 3.4511
83.496101 71.979 3.3567
83.862311 71.971 3.2709
84.228522 71.965 3.1869
84.594733 71.960 3.0994
84.960944 71.955 3.0072
85.327155 71.950 2.9115
85.693366 71.944 2.8147
86.059577 71.938 2.7185
86.425788 71.931 2.6244
86.791999 71.924 2.5337
87.158210 71.917 2.4475
87.524421 71.910 2.3661
87.890632 71.904 2.2875
88.256843 71.899 2.2082
88.623054 71.894 2.1248
88.989265 71.890 2.0355
89.355476 71.885 1.9412
89.721687 71.879 1.8449
90.087898 71.872 1.7496
90.454109 71.866 1.6568
90.820320 71.859 1.5664
91.186531 71.852 1.4772
91.552742 71.845 1.3884
91.918953 71.839 1.3000
92.285164 71.832 1.2124
92.651375 71.825 1.1259
93.017586 71.818 1.0403
93.383797 71.812 0.9556
93.750008 71.805 0.8719
94.116219 71.798 0.7901
94.482430 71.792 0.7111
94.848641 71.785 0.6351
95.214851 71.779 0.5615
95.581062 71.773 0.4890
95.947273 71.768 0.4164
96.313484 71.762 0.3426
96.679695 71.757 0.2675
97.045906 71.752 0.1911
97.412117 71.747 0.1135
97.778328 71.742 0.0343
98.144539 71.736 -0.0464
98.510750 71.730 -0.1279
98.876961 71.724 -0.2090
99.243172 71.716 -0.2880
99.609383 71.709 -0.3638
99.975594 71.702 -0.4363
100.341805 71.695 -0.5062
100.708016 71.688 -0.5748
101.074227 71.681 -0.6435
101.440438 71.675 -0.7128
101.806649 71.668 -0.7824
102.172860 71.662 -0.8517
102.539071 71.656 -0.9201
102.905282 71.649 -0.9874
103.271493 71.643 -1.0542
103.637704 71.637 -1.1215
104.003915 71.631 -1.1901
104.370126 71.625 -1.2602
104.736337 71.619 -1.3308
105.102548 71.613 -1.4005
105.468759 71.606 -1.4678
105.834970 71.599 -1.5321
106.201180 71.592 -1.5942
106.567391 71.586 -1.6558
106.933602 71.580 -1.7187
107.299813 71.575 -1.7841
107.666024 71.569 -1.8517
108.032235 71.562 -1.9201
108.398446 71.556 -1.9878
108.764657 71.549 -2.0535
109.130868 71.542 -2.1168
109.497079 71.535 -2.1780
109.863290 71.528 -2.2379
110.229501 71.522 -2.2972
110.595712 71.515 -2.3564
110.961923 71.509 -2.4159
111.328134 71.503 -2.4756
111.694345 71.496 -2.5352
112.060556 71.490 -2.5941
112.426767 71.483 -2.6519
112.792978 71.477 -2.7087
113.159189 71.470 -2.7650
113.525400 71.464 -2.8212
113.891611 71.458 -2.8777
114.257822 71.451 -2.9343
114.624033 71.445 -2.9908
114.990244 71.439 -3.0468
115.356455 71.432 -3.1028
115.722666 71.426 -3.1595
116.088877 71.420 -3.2171
116.455088 71.413 -3.2755
116.821299 71.406 -3.3334
117.187510 71.399 -3.3894
117.553720 71.392 -3.4424
117.919931 71.385 -3.4924
118.286142 71.379 -3.5402
118.652353 71.373 -3.5876
119.018564 71.367 -3.6363
119.384775 71.362 -3.6873
119.750986 71.357 -3.7406
120.117197 71.351 -3.7950
120.483408 71.345 -3.8491
120.849619 71.339 -3.9013
121.215830 71.332 -3.9510
121.582041 71.325 -3.9982
121.948252 71.319 -4.0437
122.314463 71.313 -4.0887
122.680674 71.307 -4.1341
123.046885 71.300 -4.1802
123.413096 71.294 -4.2269
123.779307 71.288 -4.2739
124.145518 71.281 -4.3211
124.511729 71.275 -4.3684
124.877940 71.268 -4.4159
125.244151 71.262 -4.4637
125.610362 71.256 -4.5117
125.976573 71.250 -4.5597
126.342784 71.244 -4.6077
126.708995 71.238 -4.6556
127.075206 71.233 -4.7036
127.441417 71.227 -4.7519
127.807628 71.222 -4.8004
128.173839 71.216 -4.8489
128.540049 71.211 -4.8971
128.906260 71.206 -4.9446
129.272471 71.200 -4.9911
129.638682 71.195 -5.0366
130.004893 71.190 -5.0811
130.371104 71.185 -5.1246
130.737315 71.180 -5.1671
131.103526 71.175 -5.2085
131.469737 71.171 -5.2486
131.835948 71.166 -5.2874
132.202159 71.161 -5.3250
132.568370 71.156 -5.3615
132.934581 71.151 -5.3974
133.300792 71.147 -5.4332
133.667003 71.142 -5.4691
134.033214 71.137 -5.5054
134.399425 71.132 -5.5419
134.765636 71.127 -5.5788
135.131847 71.122 -5.6163
135.498058 71.117 -5.6546
135.864269 71.112 -5.6941
136.230480 71.107 -5.7348
136.596691 71.101 -5.7765
136.962902 71.095 -5.8185
137.329113 71.090 -5.8601
137.695324 71.084 -5.9007
138.061535 71.078 -5.9399
138.427746 71.073 -5.9781
138.793957 71.067 -6.0156
139.160168 71.062 -6.0534
139.526379 71.058 -6.0918
139.892589 71.053 -6.1311
140.258800 71.048 -6.1707
140.625011 71.043 -6.2100
140.991222 71.038 -6.2482
141.357433 71.033 -6.2848
141.723644 71.028 -6.3196
142.089855 71.023 -6.3529
142.456066 71.018 -6.3849
142.822277 71.013 -6.4160
143.188488 71.008 -6.4466
143.554699 71.003 -6.4772
143.920910 70.998 -6.5080
144.287121 70.993 -6.5394
144.653332 70.988 -6.5718
145.019543 70.983 -6.6051
145.385754 70.978 -6.6394
145.751965 70.972 -6.6744
146.118176 70.967 -6.7102
146.484387 70.961 -6.7464
146.850598 70.955 -6.7828
147.216809 70.949 -6.8190
147.583020 70.943 -6.8546
147.949231 70.937 -6.8892
148.315442 70.932 -6.9226
148.681653 70.926 -6.9552
149.047864 70.921 -6.9873
