* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 10:52:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.189 -22.8459
0.732422 64.232 -46.0534
1.098633 60.499 -70.5352
1.464844 53.563 -100.6635
1.831055 41.988 153.5037
2.197266 49.916 73.4418
2.563477 50.629 48.4320
2.929688 44.887 38.8637
3.295899 43.295 149.1909
3.662110 52.836 150.8680
4.028321 56.499 139.2433
4.394532 57.890 129.5068
4.760743 58.136 125.1844
5.126954 58.259 127.4720
5.493164 59.117 132.0441
5.859375 60.481 132.8359
6.225586 61.673 129.3525
6.591797 62.429 124.0939
6.958008 62.835 119.2485
7.324219 63.127 115.7995
7.690430 63.529 113.3496
8.056641 64.096 110.7715
8.422852 64.726 107.4149
8.789063 65.301 103.5226
9.155274 65.784 99.7291
9.521485 66.215 96.4790
9.887696 66.647 93.7886
10.253907 67.031 91.3864
10.620118 67.386 89.0349
10.986329 67.711 86.7085
11.352540 67.991 84.5182
11.718751 68.233 82.5468
12.084962 68.450 80.7700
12.451173 68.648 79.1055
12.817384 68.869 77.5011
13.183595 69.070 75.9618
13.549806 69.247 74.5034
13.916017 69.411 73.1023
14.282228 69.565 71.7007
14.648439 69.707 70.2558
15.014650 69.833 68.7743
15.380861 69.944 67.2946
15.747072 70.047 65.8434
16.113283 70.150 64.4144
16.479493 70.262 62.9892
16.845704 70.368 61.5729
17.211915 70.467 60.2009
17.578126 70.562 58.9105
17.944337 70.660 57.7070
18.310548 70.763 56.5614
18.676759 70.868 55.4393
19.042970 70.969 54.3324
19.409181 71.062 53.2590
19.775392 71.147 52.2407
20.141603 71.225 51.2817
20.507814 71.299 50.3722
20.874025 71.365 49.5063
21.240236 71.423 48.6891
21.606447 71.477 47.9227
21.972658 71.530 47.1878
22.338869 71.582 46.4462
22.705080 71.630 45.6690
23.071291 71.669 44.8652
23.437502 71.697 44.0775
23.803713 71.719 43.3462
24.169924 71.744 42.6696
24.536135 71.780 41.9980
24.902346 71.821 41.2726
25.268557 71.861 40.4760
25.634768 71.889 39.6517
26.000979 71.906 38.8744
26.367190 71.919 38.1972
26.733401 71.939 37.6138
27.099612 71.972 37.0662
27.465823 72.015 36.4893
27.832033 72.058 35.8562
28.198244 72.093 35.1913
28.564455 72.117 34.5468
28.930666 72.131 33.9649
29.296877 72.144 33.4558
29.663088 72.158 33.0005
30.029299 72.175 32.5706
30.395510 72.195 32.1469
30.761721 72.214 31.7221
31.127932 72.233 31.2921
31.494143 72.253 30.8483
31.860354 72.270 30.3804
32.226565 72.284 29.8868
32.592776 72.291 29.3811
32.958987 72.291 28.8865
33.325198 72.288 28.4225
33.691409 72.285 27.9928
34.057620 72.284 27.5853
34.423831 72.287 27.1837
34.790042 72.291 26.7787
35.156253 72.296 26.3706
35.522464 72.303 25.9622
35.888675 72.309 25.5517
36.254886 72.316 25.1344
36.621097 72.321 24.7113
36.987308 72.323 24.2954
37.353519 72.321 23.9062
37.719730 72.319 23.5566
38.085941 72.320 23.2410
38.452152 72.326 22.9379
38.818363 72.336 22.6239
39.184573 72.347 22.2884
39.550784 72.355 21.9374
39.916995 72.362 21.5843
40.283206 72.366 21.2377
40.649417 72.369 20.8976
41.015628 72.371 20.5612
41.381839 72.371 20.2316
41.748050 72.368 19.9186
42.114261 72.364 19.6308
42.480472 72.362 19.3663
42.846683 72.362 19.1113
43.212894 72.365 18.8484
43.579105 72.369 18.5689
43.945316 72.370 18.2777
44.311527 72.368 17.9879
44.677738 72.364 17.7103
45.043949 72.361 17.4463
45.410160 72.357 17.1895
45.776371 72.355 16.9330
46.142582 72.352 16.6753
46.508793 72.348 16.4203
46.875004 72.345 16.1718
47.241215 72.342 15.9290
47.607426 72.340 15.6868
47.973637 72.338 15.4401
48.339848 72.336 15.1895
48.706059 72.334 14.9406
49.072270 72.330 14.6994
49.438481 72.328 14.4670
49.804692 72.326 14.2385
50.170902 72.326 14.0070
50.537113 72.325 13.7699
50.903324 72.323 13.5312
51.269535 72.320 13.2981
51.635746 72.316 13.0751
52.001957 72.312 12.8606
52.368168 72.309 12.6486
52.734379 72.305 12.4347
53.100590 72.301 12.2202
53.466801 72.295 12.0105
53.833012 72.289 11.8098
54.199223 72.283 11.6160
54.565434 72.278 11.4223
54.931645 72.274 11.2230
55.297856 72.269 11.0191
55.664067 72.262 10.8182
56.030278 72.256 10.6272
56.396489 72.250 10.4454
56.762700 72.247 10.2631
57.128911 72.246 10.0679
57.495122 72.243 9.8560
57.861333 72.238 9.6363
58.227544 72.229 9.4274
58.593755 72.219 9.2452
58.959966 72.210 9.0929
59.326177 72.204 8.9584
59.692388 72.203 8.8220
60.058599 72.203 8.6686
60.424810 72.204 8.4960
60.791021 72.201 8.3138
61.157232 72.197 8.1357
61.523442 72.190 7.9700
61.889653 72.185 7.8153
62.255864 72.180 7.6637
62.622075 72.175 7.5071
62.988286 72.171 7.3429
63.354497 72.164 7.1744
63.720708 72.156 7.0084
64.086919 72.147 6.8502
64.453130 72.139 6.7005
64.819341 72.131 6.5552
65.185552 72.126 6.4075
65.551763 72.121 6.2514
65.917974 72.116 6.0840
66.284185 72.110 5.9081
66.650396 72.102 5.7314
67.016607 72.093 5.5638
67.382818 72.082 5.4126
67.749029 72.073 5.2786
68.115240 72.065 5.1560
68.481451 72.059 5.0354
68.847662 72.055 4.9088
69.213873 72.051 4.7741
69.580084 72.046 4.6347
69.946295 72.040 4.4964
70.312506 72.033 4.3634
70.678717 72.026 4.2359
71.044928 72.019 4.1115
71.411139 72.012 3.9867
71.777350 72.005 3.8597
72.143561 71.997 3.7299
72.509771 71.988 3.5987
72.875982 71.978 3.4688
73.242193 71.967 3.3440
73.608404 71.956 3.2287
73.974615 71.945 3.1250
74.340826 71.936 3.0303
74.707037 71.930 2.9364
75.073248 71.926 2.8322
75.439459 71.924 2.7086
75.805670 71.921 2.5637
76.171881 71.916 2.4043
76.538092 71.908 2.2428
76.904303 71.898 2.0918
77.270514 71.886 1.9583
77.636725 71.875 1.8419
78.002936 71.866 1.7365
78.369147 71.858 1.6347
78.735358 71.851 1.5317
79.101569 71.844 1.4267
79.467780 71.837 1.3223
79.833991 71.830 1.2216
80.200202 71.823 1.1259
80.566413 71.816 1.0337
80.932624 71.811 0.9416
81.298835 71.805 0.8457
81.665046 71.800 0.7441
82.031257 71.794 0.6378
82.397468 71.787 0.5302
82.763679 71.779 0.4255
83.129890 71.770 0.3267
83.496101 71.762 0.2334
83.862311 71.755 0.1416
84.228522 71.749 0.0451
84.594733 71.744 -0.0617
84.960944 71.739 -0.1810
85.327155 71.732 -0.3098
85.693366 71.723 -0.4409
86.059577 71.711 -0.5653
86.425788 71.699 -0.6764
86.791999 71.687 -0.7725
87.158210 71.677 -0.8571
87.524421 71.668 -0.9371
87.890632 71.661 -1.0192
88.256843 71.654 -1.1069
88.623054 71.648 -1.1996
88.989265 71.640 -1.2931
89.355476 71.632 -1.3829
89.721687 71.624 -1.4663
90.087898 71.617 -1.5443
90.454109 71.610 -1.6204
90.820320 71.604 -1.6989
91.186531 71.598 -1.7820
91.552742 71.591 -1.8691
91.918953 71.584 -1.9577
92.285164 71.576 -2.0448
92.651375 71.568 -2.1294
93.017586 71.560 -2.2126
93.383797 71.551 -2.2959
93.750008 71.543 -2.3804
94.116219 71.535 -2.4654
94.482430 71.526 -2.5495
94.848641 71.518 -2.6319
95.214851 71.510 -2.7138
95.581062 71.502 -2.7972
95.947273 71.495 -2.8838
96.313484 71.487 -2.9732
96.679695 71.479 -3.0632
97.045906 71.470 -3.1507
97.412117 71.461 -3.2336
97.778328 71.453 -3.3120
98.144539 71.445 -3.3875
98.510750 71.437 -3.4620
98.876961 71.429 -3.5366
99.243172 71.422 -3.6111
99.609383 71.414 -3.6849
99.975594 71.407 -3.7574
100.341805 71.399 -3.8286
100.708016 71.391 -3.8984
101.074227 71.382 -3.9666
101.440438 71.374 -4.0330
101.806649 71.366 -4.0980
102.172860 71.357 -4.1620
102.539071 71.349 -4.2261
102.905282 71.341 -4.2911
103.271493 71.333 -4.3572
103.637704 71.325 -4.4245
104.003915 71.316 -4.4930
104.370126 71.308 -4.5628
104.736337 71.299 -4.6337
105.102548 71.290 -4.7049
105.468759 71.281 -4.7746
105.834970 71.272 -4.8412
106.201180 71.263 -4.9046
106.567391 71.254 -4.9662
106.933602 71.247 -5.0292
107.299813 71.240 -5.0961
107.666024 71.233 -5.1678
108.032235 71.225 -5.2423
108.398446 71.217 -5.3164
108.764657 71.208 -5.3869
109.130868 71.200 -5.4525
109.497079 71.192 -5.5142
109.863290 71.184 -5.5744
110.229501 71.177 -5.6356
110.595712 71.171 -5.6993
110.961923 71.164 -5.7651
111.328134 71.157 -5.8316
111.694345 71.149 -5.8966
112.060556 71.141 -5.9587
112.426767 71.133 -6.0172
112.792978 71.125 -6.0723
113.159189 71.117 -6.1251
113.525400 71.109 -6.1764
113.891611 71.101 -6.2271
114.257822 71.094 -6.2778
114.624033 71.086 -6.3287
114.990244 71.079 -6.3803
115.356455 71.071 -6.4328
115.722666 71.064 -6.4862
116.088877 71.056 -6.5405
116.455088 71.048 -6.5952
116.821299 71.040 -6.6503
117.187510 71.032 -6.7060
117.553720 71.025 -6.7627
117.919931 71.017 -6.8212
118.286142 71.009 -6.8815
118.652353 71.001 -6.9427
119.018564 70.992 -7.0034
119.384775 70.984 -7.0617
119.750986 70.975 -7.1165
120.117197 70.966 -7.1675
120.483408 70.958 -7.2154
120.849619 70.951 -7.2617
121.215830 70.943 -7.3074
121.582041 70.937 -7.3533
121.948252 70.930 -7.3994
122.314463 70.923 -7.4456
122.680674 70.916 -7.4916
123.046885 70.909 -7.5375
123.413096 70.902 -7.5837
123.779307 70.894 -7.6299
124.145518 70.886 -7.6758
124.511729 70.878 -7.7210
124.877940 70.870 -7.7655
125.244151 70.862 -7.8101
125.610362 70.854 -7.8556
125.976573 70.845 -7.9019
126.342784 70.837 -7.9480
126.708995 70.828 -7.9920
127.075206 70.819 -8.0323
127.441417 70.811 -8.0693
127.807628 70.804 -8.1049
128.173839 70.798 -8.1426
128.540049 70.793 -8.1852
128.906260 70.788 -8.2339
129.272471 70.783 -8.2873
129.638682 70.778 -8.3428
130.004893 70.772 -8.3970
130.371104 70.766 -8.4477
130.737315 70.760 -8.4942
131.103526 70.755 -8.5371
131.469737 70.749 -8.5775
131.835948 70.744 -8.6163
132.202159 70.738 -8.6537
132.568370 70.732 -8.6891
132.934581 70.726 -8.7226
133.300792 70.719 -8.7547
133.667003 70.712 -8.7873
134.033214 70.705 -8.8217
134.399425 70.698 -8.8587
134.765636 70.689 -8.8978
135.131847 70.680 -8.9383
135.498058 70.670 -8.9810
135.864269 70.660 -9.0281
136.230480 70.649 -9.0815
136.596691 70.636 -9.1392
136.962902 70.620 -9.1938
137.329113 70.603 -9.2334
137.695324 70.584 -9.2475
138.061535 70.569 -9.2336
138.427746 70.558 -9.2004
138.793957 70.553 -9.1661
139.160168 70.553 -9.1503
139.526379 70.557 -9.1659
139.892589 70.562 -9.2138
140.258800 70.564 -9.2847
140.625011 70.564 -9.3645
140.991222 70.562 -9.4415
141.357433 70.559 -9.5101
141.723644 70.555 -9.5700
142.089855 70.552 -9.6241
142.456066 70.548 -9.6745
142.822277 70.545 -9.7220
143.188488 70.541 -9.7660
143.554699 70.537 -9.8060
143.920910 70.532 -9.8420
144.287121 70.528 -9.8749
144.653332 70.523 -9.9055
145.019543 70.517 -9.9346
145.385754 70.512 -9.9627
145.751965 70.506 -9.9903
146.118176 70.500 -10.0179
146.484387 70.493 -10.0455
146.850598 70.486 -10.0729
147.216809 70.479 -10.0995
147.583020 70.471 -10.1247
147.949231 70.463 -10.1484
