* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 10:56:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Green Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.418 159.4561
0.732422 60.682 139.4891
1.098633 57.394 121.3594
1.464844 51.433 110.4788
1.831055 42.408 158.1523
2.197266 49.340 -158.3820
2.563477 52.811 -168.3911
2.929688 53.744 176.6730
3.295899 53.363 163.7004
3.662110 52.500 156.6142
4.028321 52.314 156.2196
4.394532 53.494 155.9734
4.760743 55.299 150.6427
5.126954 56.932 141.9650
5.493164 58.162 133.0634
5.859375 59.067 125.9521
6.225586 59.846 121.3010
6.591797 60.690 118.4628
6.958008 61.639 116.1193
7.324219 62.592 113.3982
7.690430 63.433 110.2918
8.056641 64.124 107.2376
8.422852 64.696 104.5962
8.789063 65.211 102.4006
9.155274 65.708 100.4128
9.521485 66.185 98.3669
9.887696 66.621 96.1647
10.253907 66.929 93.8810
10.620118 67.156 91.6452
10.986329 67.353 89.5310
11.352540 67.538 87.5251
11.718751 67.723 85.5658
12.084962 67.906 83.5977
12.451173 68.084 81.6030
12.817384 68.297 79.6018
13.183595 68.502 77.6406
13.549806 68.691 75.7749
13.916017 68.869 74.0450
14.282228 69.044 72.4509
14.648439 69.223 70.9439
15.014650 69.402 69.4537
15.380861 69.571 67.9380
15.747072 69.719 66.4176
16.113283 69.843 64.9673
16.479493 69.953 63.6666
16.845704 70.054 62.5446
17.211915 70.158 61.5578
17.578126 70.270 60.6173
17.944337 70.387 59.6438
18.310548 70.499 58.6075
18.676759 70.597 57.5297
19.042970 70.682 56.4542
19.409181 70.755 55.4159
19.775392 70.823 54.4255
20.141603 70.891 53.4721
20.507814 70.962 52.5354
20.874025 71.033 51.5980
21.240236 71.101 50.6546
21.606447 71.164 49.7161
21.972658 71.220 48.8059
22.338869 71.272 47.9479
22.705080 71.323 47.1512
23.071291 71.376 46.4034
23.437502 71.432 45.6790
23.803713 71.489 44.9589
24.169924 71.542 44.2439
24.536135 71.591 43.5513
24.902346 71.637 42.8948
25.268557 71.684 42.2669
25.634768 71.733 41.6394
26.000979 71.780 40.9839
26.367190 71.821 40.2956
26.733401 71.850 39.6014
27.099612 71.868 38.9434
27.465823 71.881 38.3523
27.832033 71.894 37.8272
28.198244 71.912 37.3378
28.564455 71.937 36.8453
28.930666 71.963 36.3259
29.296877 71.988 35.7810
29.663088 72.008 35.2296
30.029299 72.024 34.6924
30.395510 72.039 34.1787
30.761721 72.053 33.6851
31.127932 72.067 33.2039
31.494143 72.081 32.7320
31.860354 72.094 32.2741
32.226565 72.105 31.8371
32.592776 72.117 31.4214
32.958987 72.132 31.0174
33.325198 72.148 30.6103
33.691409 72.164 30.1912
34.057620 72.177 29.7640
34.423831 72.188 29.3425
34.790042 72.196 28.9386
35.156253 72.204 28.5515
35.522464 72.214 28.1670
35.888675 72.225 27.7702
36.254886 72.232 27.3606
36.621097 72.234 26.9571
36.987308 72.233 26.5860
37.353519 72.232 26.2602
37.719730 72.237 25.9660
38.085941 72.248 25.6695
38.452152 72.263 25.3396
38.818363 72.276 24.9696
39.184573 72.283 24.5822
39.550784 72.285 24.2117
39.916995 72.283 23.8804
40.283206 72.283 23.5851
40.649417 72.288 23.3032
41.015628 72.295 23.0127
41.381839 72.301 22.7089
41.748050 72.304 22.4046
42.114261 72.305 22.1162
42.480472 72.306 21.8490
42.846683 72.310 21.5926
43.212894 72.315 21.3307
43.579105 72.321 21.0539
43.945316 72.325 20.7668
44.311527 72.327 20.4828
44.677738 72.327 20.2126
45.043949 72.328 19.9565
45.410160 72.330 19.7048
45.776371 72.334 19.4465
46.142582 72.338 19.1769
46.508793 72.340 18.9007
46.875004 72.339 18.6276
47.241215 72.337 18.3665
47.607426 72.335 18.1206
47.973637 72.333 17.8873
48.339848 72.333 17.6612
48.706059 72.333 17.4368
49.072270 72.334 17.2111
49.438481 72.335 16.9833
49.804692 72.335 16.7553
50.170902 72.335 16.5303
50.537113 72.334 16.3116
50.903324 72.333 16.0999
51.269535 72.333 15.8930
51.635746 72.334 15.6853
52.001957 72.335 15.4720
52.368168 72.335 15.2523
52.734379 72.333 15.0318
53.100590 72.329 14.8196
53.466801 72.324 14.6229
53.833012 72.321 14.4410
54.199223 72.319 14.2654
54.565434 72.319 14.0843
54.931645 72.319 13.8910
55.297856 72.319 13.6879
55.664067 72.316 13.4835
56.030278 72.312 13.2858
56.396489 72.308 13.0960
56.762700 72.303 12.9095
57.128911 72.299 12.7226
57.495122 72.293 12.5390
57.861333 72.286 12.3682
58.227544 72.280 12.2179
58.593755 72.276 12.0846
58.959966 72.277 11.9520
59.326177 72.281 11.8004
59.692388 72.286 11.6190
60.058599 72.289 11.4140
60.424810 72.288 11.2040
60.791021 72.283 11.0079
61.157232 72.278 10.8334
61.523442 72.274 10.6747
61.889653 72.272 10.5192
62.255864 72.270 10.3585
62.622075 72.268 10.1928
62.988286 72.264 10.0287
63.354497 72.260 9.8724
63.720708 72.254 9.7253
64.086919 72.250 9.5841
64.453130 72.245 9.4446
64.819341 72.240 9.3052
65.185552 72.236 9.1664
65.551763 72.231 9.0290
65.917974 72.226 8.8923
66.284185 72.221 8.7545
66.650396 72.215 8.6151
67.016607 72.210 8.4752
67.382818 72.203 8.3369
67.749029 72.197 8.2006
68.115240 72.192 8.0645
68.481451 72.186 7.9250
68.847662 72.181 7.7794
69.213873 72.175 7.6284
69.580084 72.168 7.4760
69.946295 72.160 7.3284
70.312506 72.151 7.1909
70.678717 72.142 7.0654
71.044928 72.135 6.9500
71.411139 72.129 6.8390
71.777350 72.125 6.7256
72.143561 72.122 6.6043
72.509771 72.120 6.4737
72.875982 72.117 6.3363
73.242193 72.112 6.1975
73.608404 72.106 6.0630
73.974615 72.100 5.9360
74.340826 72.094 5.8164
74.707037 72.088 5.7021
75.073248 72.083 5.5906
75.439459 72.078 5.4801
75.805670 72.074 5.3701
76.171881 72.070 5.2600
76.538092 72.066 5.1483
76.904303 72.063 5.0326
77.270514 72.059 4.9108
77.636725 72.055 4.7835
78.002936 72.049 4.6548
78.369147 72.041 4.5312
78.735358 72.032 4.4188
79.101569 72.024 4.3204
79.467780 72.016 4.2330
79.833991 72.011 4.1494
80.200202 72.007 4.0608
80.566413 72.004 3.9615
80.932624 72.001 3.8512
81.298835 71.996 3.7343
81.665046 71.990 3.6174
82.031257 71.983 3.5055
82.397468 71.976 3.4002
82.763679 71.968 3.2999
83.129890 71.962 3.2020
83.496101 71.955 3.1043
83.862311 71.949 3.0060
84.228522 71.943 2.9071
84.594733 71.937 2.8073
84.960944 71.931 2.7065
85.327155 71.925 2.6052
85.693366 71.918 2.5045
86.059577 71.912 2.4062
86.425788 71.905 2.3113
86.791999 71.899 2.2191
87.158210 71.893 2.1280
87.524421 71.888 2.0362
87.890632 71.883 1.9429
88.256843 71.877 1.8488
88.623054 71.871 1.7557
88.989265 71.865 1.6650
89.355476 71.858 1.5775
89.721687 71.852 1.4931
90.087898 71.846 1.4113
90.454109 71.840 1.3315
90.820320 71.834 1.2527
91.186531 71.829 1.1735
91.552742 71.824 1.0923
91.918953 71.818 1.0081
92.285164 71.813 0.9214
92.651375 71.807 0.8339
93.017586 71.800 0.7477
93.383797 71.793 0.6641
93.750008 71.787 0.5831
94.116219 71.780 0.5031
94.482430 71.773 0.4228
94.848641 71.767 0.3419
95.214851 71.760 0.2614
95.581062 71.752 0.1829
95.947273 71.745 0.1072
96.313484 71.738 0.0338
96.679695 71.732 -0.0391
97.045906 71.726 -0.1136
97.412117 71.720 -0.1906
97.778328 71.714 -0.2696
98.144539 71.707 -0.3486
98.510750 71.700 -0.4263
98.876961 71.693 -0.5016
99.243172 71.687 -0.5749
99.609383 71.680 -0.6468
99.975594 71.673 -0.7177
100.341805 71.667 -0.7877
100.708016 71.661 -0.8571
101.074227 71.655 -0.9265
101.440438 71.650 -0.9971
101.806649 71.645 -1.0701
102.172860 71.639 -1.1451
102.539071 71.633 -1.2205
102.905282 71.627 -1.2941
103.271493 71.620 -1.3642
103.637704 71.614 -1.4309
104.003915 71.608 -1.4962
104.370126 71.602 -1.5623
104.736337 71.597 -1.6311
105.102548 71.591 -1.7025
105.468759 71.585 -1.7752
105.834970 71.579 -1.8476
106.201180 71.572 -1.9187
106.567391 71.565 -1.9881
106.933602 71.558 -2.0559
107.299813 71.550 -2.1221
107.666024 71.543 -2.1862
108.032235 71.535 -2.2479
108.398446 71.528 -2.3075
108.764657 71.521 -2.3658
109.130868 71.514 -2.4237
109.497079 71.507 -2.4820
109.863290 71.500 -2.5405
110.229501 71.494 -2.5990
110.595712 71.487 -2.6568
110.961923 71.480 -2.7139
111.328134 71.474 -2.7707
111.694345 71.467 -2.8273
112.060556 71.460 -2.8837
112.426767 71.454 -2.9397
112.792978 71.447 -2.9950
113.159189 71.441 -3.0498
113.525400 71.435 -3.1050
113.891611 71.429 -3.1617
114.257822 71.423 -3.2206
114.624033 71.417 -3.2815
114.990244 71.411 -3.3433
115.356455 71.404 -3.4043
115.722666 71.396 -3.4628
116.088877 71.389 -3.5179
116.455088 71.381 -3.5694
116.821299 71.374 -3.6186
117.187510 71.368 -3.6670
117.553720 71.362 -3.7167
117.919931 71.357 -3.7689
118.286142 71.351 -3.8240
118.652353 71.345 -3.8811
119.018564 71.339 -3.9388
119.384775 71.332 -3.9953
119.750986 71.326 -4.0499
120.117197 71.319 -4.1025
120.483408 71.312 -4.1540
120.849619 71.305 -4.2053
121.215830 71.299 -4.2569
121.582041 71.292 -4.3087
121.948252 71.285 -4.3599
122.314463 71.278 -4.4100
122.680674 71.271 -4.4587
123.046885 71.264 -4.5063
123.413096 71.257 -4.5534
123.779307 71.250 -4.6007
124.145518 71.244 -4.6486
124.511729 71.238 -4.6971
124.877940 71.231 -4.7460
125.244151 71.225 -4.7949
125.610362 71.219 -4.8433
125.976573 71.213 -4.8905
126.342784 71.207 -4.9358
126.708995 71.201 -4.9791
127.075206 71.196 -5.0208
127.441417 71.191 -5.0617
127.807628 71.186 -5.1033
128.173839 71.182 -5.1463
128.540049 71.178 -5.1910
128.906260 71.173 -5.2369
129.272471 71.168 -5.2830
129.638682 71.163 -5.3285
130.004893 71.158 -5.3728
130.371104 71.152 -5.4160
130.737315 71.147 -5.4583
131.103526 71.142 -5.5001
131.469737 71.137 -5.5413
131.835948 71.131 -5.5823
132.202159 71.126 -5.6232
132.568370 71.121 -5.6641
132.934581 71.116 -5.7053
133.300792 71.110 -5.7466
133.667003 71.105 -5.7880
134.033214 71.100 -5.8295
134.399425 71.095 -5.8711
134.765636 71.090 -5.9130
135.131847 71.084 -5.9553
135.498058 71.079 -5.9972
135.864269 71.073 -6.0382
136.230480 71.067 -6.0774
136.596691 71.062 -6.1145
136.962902 71.056 -6.1500
137.329113 71.051 -6.1848
137.695324 71.046 -6.2195
138.061535 71.041 -6.2545
138.427746 71.035 -6.2894
138.793957 71.030 -6.3234
139.160168 71.024 -6.3559
139.526379 71.019 -6.3870
139.892589 71.014 -6.4175
140.258800 71.009 -6.4484
140.625011 71.004 -6.4808
140.991222 70.999 -6.5148
141.357433 70.994 -6.5501
141.723644 70.988 -6.5857
142.089855 70.983 -6.6209
142.456066 70.977 -6.6554
142.822277 70.971 -6.6891
143.188488 70.966 -6.7225
143.554699 70.960 -6.7560
143.920910 70.955 -6.7900
144.287121 70.950 -6.8246
144.653332 70.945 -6.8600
145.019543 70.940 -6.8962
145.385754 70.935 -6.9331
145.751965 70.930 -6.9705
146.118176 70.925 -7.0081
146.484387 70.920 -7.0456
146.850598 70.915 -7.0826
147.216809 70.910 -7.1187
147.583020 70.904 -7.1538
147.949231 70.899 -7.1877
148.315442 70.894 -7.2205
148.681653 70.889 -7.2521
