* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 10:57:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Green Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.213 -22.9243
0.732422 64.245 -46.2246
1.098633 60.485 -70.8488
1.464844 53.465 -101.4005
1.831055 42.239 149.2491
2.197266 50.187 72.4343
2.563477 50.853 47.0921
2.929688 45.126 35.2748
3.295899 42.663 151.6473
3.662110 52.697 152.0394
4.028321 56.410 139.9098
4.394532 57.796 129.9447
4.760743 58.012 125.5690
5.126954 58.104 128.0178
5.493164 58.957 132.8451
5.859375 60.334 133.7747
6.225586 61.534 130.3386
6.591797 62.291 125.1196
6.958008 62.698 120.3324
7.324219 62.998 116.9363
7.690430 63.413 114.4890
8.056641 63.993 111.8530
8.422852 64.628 108.4170
8.789063 65.203 104.4641
9.155274 65.688 100.6394
9.521485 66.123 97.3725
9.887696 66.561 94.6592
10.253907 66.950 92.2251
10.620118 67.308 89.8507
10.986329 67.635 87.5293
11.352540 67.919 85.3717
11.718751 68.171 83.4373
12.084962 68.401 81.6722
12.451173 68.613 79.9807
12.817384 68.844 78.3224
13.183595 69.049 76.7271
13.549806 69.228 75.2276
13.916017 69.392 73.7990
14.282228 69.547 72.3704
14.648439 69.688 70.8922
15.014650 69.810 69.3822
15.380861 69.913 67.9017
15.747072 70.007 66.4923
16.113283 70.109 65.1376
16.479493 70.226 63.7857
16.845704 70.343 62.4048
17.211915 70.455 61.0144
17.578126 70.558 59.6631
17.944337 70.658 58.3840
18.310548 70.757 57.1721
18.676759 70.855 56.0039
19.042970 70.949 54.8721
19.409181 71.034 53.7988
19.775392 71.113 52.8124
20.141603 71.191 51.9129
20.507814 71.275 51.0603
20.874025 71.359 50.1981
21.240236 71.437 49.2937
21.606447 71.500 48.3620
21.972658 71.545 47.4547
22.338869 71.576 46.6277
22.705080 71.601 45.9045
23.071291 71.633 45.2602
23.437502 71.675 44.6316
23.803713 71.726 43.9513
24.169924 71.778 43.1856
24.536135 71.820 42.3536
24.902346 71.848 41.5175
25.268557 71.865 40.7464
25.634768 71.881 40.0752
26.000979 71.905 39.4828
26.367190 71.942 38.9074
26.733401 71.988 38.2883
27.099612 72.032 37.6054
27.465823 72.066 36.8886
27.832033 72.087 36.1954
28.198244 72.099 35.5729
28.564455 72.109 35.0335
28.930666 72.123 34.5538
29.296877 72.142 34.0948
29.663088 72.164 33.6257
30.029299 72.184 33.1368
30.395510 72.201 32.6366
30.761721 72.214 32.1398
31.127932 72.223 31.6555
31.494143 72.232 31.1821
31.860354 72.241 30.7107
32.226565 72.250 30.2336
32.592776 72.256 29.7514
32.958987 72.261 29.2742
33.325198 72.265 28.8142
33.691409 72.270 28.3750
34.057620 72.277 27.9474
34.423831 72.288 27.5143
34.790042 72.300 27.0645
35.156253 72.310 26.6026
35.522464 72.314 26.1482
35.888675 72.316 25.7233
36.254886 72.317 25.3377
36.621097 72.320 24.9823
36.987308 72.327 24.6360
37.353519 72.335 24.2804
37.719730 72.341 23.9122
38.085941 72.343 23.5437
38.452152 72.341 23.1933
38.818363 72.338 22.8726
39.184573 72.336 22.5780
39.550784 72.338 22.2921
39.916995 72.342 21.9945
40.283206 72.348 21.6733
40.649417 72.351 21.3317
41.015628 72.351 20.9852
41.381839 72.347 20.6517
41.748050 72.342 20.3407
42.114261 72.339 20.0491
42.480472 72.338 19.7655
42.846683 72.339 19.4787
43.212894 72.341 19.1839
43.579105 72.342 18.8831
43.945316 72.343 18.5810
44.311527 72.343 18.2803
44.677738 72.343 17.9824
45.043949 72.341 17.6893
45.410160 72.338 17.4051
45.776371 72.334 17.1336
46.142582 72.331 16.8749
46.508793 72.329 16.6238
46.875004 72.327 16.3735
47.241215 72.325 16.1213
47.607426 72.323 15.8707
47.973637 72.319 15.6283
48.339848 72.316 15.3973
48.706059 72.314 15.1736
49.072270 72.314 14.9476
49.438481 72.315 14.7113
49.804692 72.315 14.4638
50.170902 72.313 14.2118
50.537113 72.309 13.9650
50.903324 72.304 13.7304
51.269535 72.299 13.5091
51.635746 72.295 13.2971
52.001957 72.291 13.0893
52.368168 72.288 12.8822
52.734379 72.285 12.6744
53.100590 72.282 12.4663
53.466801 72.278 12.2590
53.833012 72.275 12.0536
54.199223 72.271 11.8511
54.565434 72.266 11.6513
54.931645 72.263 11.4531
55.297856 72.259 11.2548
55.664067 72.255 11.0553
56.030278 72.250 10.8565
56.396489 72.245 10.6617
56.762700 72.240 10.4738
57.128911 72.236 10.2914
57.495122 72.233 10.1085
57.861333 72.231 9.9178
58.227544 72.228 9.7164
58.593755 72.223 9.5094
58.959966 72.215 9.3083
59.326177 72.206 9.1249
59.692388 72.197 8.9631
60.058599 72.189 8.8164
60.424810 72.185 8.6713
60.791021 72.182 8.5158
61.157232 72.179 8.3464
61.523442 72.174 8.1688
61.889653 72.167 7.9938
62.255864 72.159 7.8290
62.622075 72.151 7.6752
62.988286 72.144 7.5265
63.354497 72.139 7.3748
63.720708 72.133 7.2152
64.086919 72.128 7.0481
64.453130 72.121 6.8780
64.819341 72.113 6.7106
65.185552 72.105 6.5493
65.551763 72.097 6.3940
65.917974 72.090 6.2421
66.284185 72.084 6.0900
66.650396 72.078 5.9356
67.016607 72.072 5.7791
67.382818 72.065 5.6227
67.749029 72.058 5.4695
68.115240 72.050 5.3219
68.481451 72.042 5.1811
68.847662 72.034 5.0462
69.213873 72.026 4.9151
69.580084 72.019 4.7851
69.946295 72.012 4.6546
70.312506 72.005 4.5236
70.678717 71.997 4.3939
71.044928 71.989 4.2677
71.411139 71.981 4.1455
71.777350 71.974 4.0246
72.143561 71.968 3.9006
72.509771 71.962 3.7702
72.875982 71.955 3.6340
73.242193 71.947 3.4965
73.608404 71.938 3.3634
73.974615 71.929 3.2378
74.340826 71.920 3.1186
74.707037 71.913 3.0012
75.073248 71.906 2.8822
75.439459 71.900 2.7606
75.805670 71.893 2.6384
76.171881 71.887 2.5176
76.538092 71.880 2.3979
76.904303 71.874 2.2777
77.270514 71.868 2.1557
77.636725 71.862 2.0326
78.002936 71.855 1.9108
78.369147 71.848 1.7915
78.735358 71.840 1.6741
79.101569 71.833 1.5565
79.467780 71.825 1.4377
79.833991 71.816 1.3196
80.200202 71.807 1.2059
80.566413 71.797 1.0993
80.932624 71.788 0.9995
81.298835 71.779 0.9034
81.665046 71.771 0.8072
82.031257 71.763 0.7090
82.397468 71.755 0.6092
82.763679 71.748 0.5095
83.129890 71.740 0.4104
83.496101 71.732 0.3118
83.862311 71.725 0.2132
84.228522 71.717 0.1147
84.594733 71.710 0.0175
84.960944 71.702 -0.0779
85.327155 71.696 -0.1724
85.693366 71.689 -0.2684
86.059577 71.683 -0.3680
86.425788 71.677 -0.4720
86.791999 71.671 -0.5790
87.158210 71.663 -0.6866
87.524421 71.655 -0.7924
87.890632 71.646 -0.8943
88.256843 71.637 -0.9917
88.623054 71.628 -1.0845
88.989265 71.619 -1.1733
89.355476 71.610 -1.2595
89.721687 71.602 -1.3442
90.087898 71.594 -1.4282
90.454109 71.585 -1.5112
90.820320 71.577 -1.5923
91.186531 71.569 -1.6712
91.552742 71.561 -1.7487
91.918953 71.554 -1.8269
92.285164 71.547 -1.9077
92.651375 71.540 -1.9920
93.017586 71.533 -2.0792
93.383797 71.526 -2.1676
93.750008 71.518 -2.2558
94.116219 71.510 -2.3435
94.482430 71.502 -2.4311
94.848641 71.494 -2.5190
95.214851 71.486 -2.6069
95.581062 71.477 -2.6940
95.947273 71.469 -2.7787
96.313484 71.460 -2.8605
96.679695 71.452 -2.9395
97.045906 71.444 -3.0167
97.412117 71.436 -3.0934
97.778328 71.429 -3.1708
98.144539 71.422 -3.2499
98.510750 71.415 -3.3306
98.876961 71.408 -3.4124
99.243172 71.401 -3.4941
99.609383 71.393 -3.5742
99.975594 71.385 -3.6522
100.341805 71.377 -3.7279
100.708016 71.369 -3.8019
101.074227 71.361 -3.8744
101.440438 71.353 -3.9454
101.806649 71.345 -4.0144
102.172860 71.337 -4.0809
102.539071 71.329 -4.1451
102.905282 71.321 -4.2080
103.271493 71.313 -4.2710
103.637704 71.306 -4.3356
104.003915 71.299 -4.4024
104.370126 71.291 -4.4711
104.736337 71.284 -4.5410
105.102548 71.276 -4.6107
105.468759 71.267 -4.6792
105.834970 71.259 -4.7459
106.201180 71.250 -4.8106
106.567391 71.242 -4.8737
106.933602 71.233 -4.9363
107.299813 71.225 -4.9991
107.666024 71.217 -5.0630
108.032235 71.209 -5.1280
108.398446 71.201 -5.1932
108.764657 71.193 -5.2577
109.130868 71.185 -5.3205
109.497079 71.176 -5.3811
109.863290 71.168 -5.4399
110.229501 71.160 -5.4978
110.595712 71.152 -5.5559
110.961923 71.145 -5.6153
111.328134 71.138 -5.6763
111.694345 71.131 -5.7390
112.060556 71.123 -5.8028
112.426767 71.116 -5.8670
112.792978 71.108 -5.9312
113.159189 71.100 -5.9950
113.525400 71.092 -6.0582
113.891611 71.084 -6.1208
114.257822 71.076 -6.1824
114.624033 71.068 -6.2428
114.990244 71.060 -6.3019
115.356455 71.051 -6.3599
115.722666 71.043 -6.4174
116.088877 71.035 -6.4744
116.455088 71.026 -6.5309
116.821299 71.018 -6.5863
117.187510 71.009 -6.6399
117.553720 71.001 -6.6913
117.919931 70.993 -6.7407
118.286142 70.984 -6.7889
118.652353 70.977 -6.8371
119.018564 70.969 -6.8861
119.384775 70.962 -6.9360
119.750986 70.954 -6.9865
120.117197 70.947 -7.0370
120.483408 70.939 -7.0870
120.849619 70.931 -7.1367
121.215830 70.924 -7.1865
121.582041 70.917 -7.2367
121.948252 70.909 -7.2876
122.314463 70.902 -7.3391
122.680674 70.894 -7.3905
123.046885 70.886 -7.4411
123.413096 70.878 -7.4906
123.779307 70.870 -7.5386
124.145518 70.863 -7.5857
124.511729 70.855 -7.6320
124.877940 70.848 -7.6779
125.244151 70.841 -7.7237
125.610362 70.834 -7.7692
125.976573 70.828 -7.8145
126.342784 70.822 -7.8596
126.708995 70.816 -7.9047
127.075206 70.810 -7.9502
127.441417 70.804 -7.9962
127.807628 70.797 -8.0427
128.173839 70.791 -8.0895
128.540049 70.785 -8.1362
128.906260 70.779 -8.1824
129.272471 70.772 -8.2278
129.638682 70.766 -8.2722
130.004893 70.759 -8.3155
130.371104 70.753 -8.3581
130.737315 70.746 -8.4002
131.103526 70.740 -8.4423
131.469737 70.734 -8.4847
131.835948 70.728 -8.5277
132.202159 70.722 -8.5710
132.568370 70.715 -8.6145
132.934581 70.709 -8.6575
133.300792 70.702 -8.6997
133.667003 70.695 -8.7406
134.033214 70.689 -8.7803
134.399425 70.682 -8.8192
134.765636 70.676 -8.8579
135.131847 70.669 -8.8969
135.498058 70.663 -8.9362
135.864269 70.656 -8.9751
136.230480 70.650 -9.0129
136.596691 70.643 -9.0490
136.962902 70.637 -9.0836
137.329113 70.630 -9.1175
137.695324 70.624 -9.1517
138.061535 70.619 -9.1869
138.427746 70.613 -9.2232
138.793957 70.607 -9.2601
139.160168 70.601 -9.2968
139.526379 70.595 -9.3327
139.892589 70.588 -9.3676
140.258800 70.582 -9.4019
140.625011 70.576 -9.4359
140.991222 70.570 -9.4698
141.357433 70.565 -9.5040
141.723644 70.559 -9.5387
142.089855 70.553 -9.5741
142.456066 70.547 -9.6104
142.822277 70.541 -9.6474
143.188488 70.535 -9.6844
143.554699 70.528 -9.7206
143.920910 70.521 -9.7554
144.287121 70.514 -9.7882
144.653332 70.507 -9.8193
145.019543 70.500 -9.8488
145.385754 70.494 -9.8772
145.751965 70.487 -9.9049
146.118176 70.480 -9.9321
146.484387 70.474 -9.9593
146.850598 70.467 -9.9866
147.216809 70.461 -10.0146
147.583020 70.455 -10.0434
147.949231 70.449 -10.0732
