* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 10:59:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Purple Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.393 159.8224
0.732422 60.645 140.2471
1.098633 57.334 122.5935
1.464844 51.341 112.5510
1.831055 42.668 161.4512
2.197266 49.431 -157.1430
2.563477 52.803 -166.8791
2.929688 53.697 178.3718
3.295899 53.313 165.3728
3.662110 52.478 157.8533
4.028321 52.296 156.5334
4.394532 53.413 155.4978
4.760743 55.160 149.9169
5.126954 56.774 141.3032
5.493164 58.016 132.5977
5.859375 58.949 125.7227
6.225586 59.767 121.2753
6.591797 60.648 118.5568
6.958008 61.625 116.2510
7.324219 62.592 113.5222
7.690430 63.434 110.3904
8.056641 64.115 107.3082
8.422852 64.668 104.6566
8.789063 65.157 102.4974
9.155274 65.627 100.6083
9.521485 66.088 98.7030
9.887696 66.519 96.6303
10.253907 66.835 94.4074
10.620118 67.072 92.1329
10.986329 67.273 89.8958
11.352540 67.450 87.7419
11.718751 67.616 85.6824
12.084962 67.780 83.7069
12.451173 67.949 81.7863
12.817384 68.169 79.8801
13.183595 68.396 77.9604
13.549806 68.609 76.0395
13.916017 68.803 74.1722
14.282228 68.979 72.4253
14.648439 69.144 70.8327
15.014650 69.304 69.3746
15.380861 69.464 67.9958
15.747072 69.617 66.6492
16.113283 69.762 65.3259
16.479493 69.899 64.0506
16.845704 70.020 62.8515
17.211915 70.132 61.7328
17.578126 70.238 60.6712
17.944337 70.339 59.6329
18.310548 70.435 58.5952
18.676759 70.523 57.5537
19.042970 70.603 56.5162
19.409181 70.675 55.4917
19.775392 70.743 54.4860
20.141603 70.807 53.5016
20.507814 70.871 52.5410
20.874025 70.933 51.6059
21.240236 70.994 50.6961
21.606447 71.055 49.8097
21.972658 71.115 48.9446
22.338869 71.174 48.1004
22.705080 71.231 47.2780
23.071291 71.286 46.4779
23.437502 71.337 45.7002
23.803713 71.384 44.9466
24.169924 71.425 44.2227
24.536135 71.461 43.5384
24.902346 71.493 42.9037
25.268557 71.524 42.3221
25.634768 71.556 41.7854
26.000979 71.592 41.2711
26.367190 71.634 40.7478
26.733401 71.678 40.1856
27.099612 71.720 39.5692
27.465823 71.755 38.9069
27.832033 71.780 38.2299
28.198244 71.795 37.5790
28.564455 71.805 36.9852
28.930666 71.815 36.4544
29.296877 71.832 35.9650
29.663088 71.857 35.4815
30.029299 71.887 34.9749
30.395510 71.917 34.4371
30.761721 71.945 33.8805
31.127932 71.967 33.3273
31.494143 71.985 32.7956
31.860354 72.001 32.2934
32.226565 72.016 31.8196
32.592776 72.030 31.3703
32.958987 72.044 30.9412
33.325198 72.059 30.5271
33.691409 72.074 30.1202
34.057620 72.089 29.7105
34.423831 72.102 29.2921
34.790042 72.111 28.8682
35.156253 72.116 28.4530
35.522464 72.116 28.0648
35.888675 72.116 27.7142
36.254886 72.118 27.3951
36.621097 72.127 27.0845
36.987308 72.140 26.7537
37.353519 72.154 26.3848
37.719730 72.166 25.9812
38.085941 72.171 25.5657
38.452152 72.171 25.1667
38.818363 72.169 24.8028
39.184573 72.167 24.4739
39.550784 72.169 24.1653
39.916995 72.174 23.8609
40.283206 72.180 23.5532
40.649417 72.186 23.2457
41.015628 72.192 22.9449
41.381839 72.198 22.6520
41.748050 72.205 22.3607
42.114261 72.212 22.0632
42.480472 72.218 21.7573
42.846683 72.220 21.4509
43.212894 72.220 21.1563
43.579105 72.219 20.8823
43.945316 72.218 20.6276
44.311527 72.220 20.3820
44.677738 72.223 20.1325
45.043949 72.227 19.8706
45.410160 72.231 19.5959
45.776371 72.232 19.3152
46.142582 72.231 19.0381
46.508793 72.228 18.7733
46.875004 72.225 18.5254
47.241215 72.223 18.2935
47.607426 72.222 18.0718
47.973637 72.223 17.8522
48.339848 72.226 17.6275
48.706059 72.229 17.3956
49.072270 72.231 17.1593
49.438481 72.232 16.9243
49.804692 72.232 16.6941
50.170902 72.232 16.4689
50.537113 72.233 16.2464
50.903324 72.233 16.0255
51.269535 72.232 15.8081
51.635746 72.230 15.5977
52.001957 72.229 15.3950
52.368168 72.229 15.1960
52.734379 72.230 14.9944
53.100590 72.230 14.7859
53.466801 72.230 14.5723
53.833012 72.229 14.3592
54.199223 72.226 14.1515
54.565434 72.224 13.9492
54.931645 72.222 13.7483
55.297856 72.219 13.5461
55.664067 72.216 13.3443
56.030278 72.212 13.1486
56.396489 72.207 12.9625
56.762700 72.204 12.7832
57.128911 72.201 12.6028
57.495122 72.198 12.4159
57.861333 72.194 12.2257
58.227544 72.187 12.0444
58.593755 72.179 11.8841
58.959966 72.173 11.7471
59.326177 72.171 11.6216
59.692388 72.172 11.4878
60.058599 72.176 11.3298
60.424810 72.179 11.1451
60.791021 72.179 10.9448
61.157232 72.176 10.7458
61.523442 72.170 10.5605
61.889653 72.163 10.3914
62.255864 72.158 10.2333
62.622075 72.154 10.0786
62.988286 72.150 9.9225
63.354497 72.146 9.7645
63.720708 72.141 9.6061
64.086919 72.137 9.4484
64.453130 72.132 9.2913
64.819341 72.127 9.1344
65.185552 72.122 8.9788
65.551763 72.116 8.8267
65.917974 72.110 8.6805
66.284185 72.105 8.5402
66.650396 72.100 8.4029
67.016607 72.096 8.2638
67.382818 72.093 8.1193
67.749029 72.089 7.9694
68.115240 72.084 7.8188
68.481451 72.077 7.6741
68.847662 72.070 7.5402
69.213873 72.064 7.4171
69.580084 72.058 7.2996
69.946295 72.054 7.1814
70.312506 72.051 7.0584
70.678717 72.047 6.9305
71.044928 72.043 6.8007
71.411139 72.038 6.6715
71.777350 72.033 6.5431
72.143561 72.027 6.4141
72.509771 72.021 6.2844
72.875982 72.014 6.1563
73.242193 72.006 6.0337
73.608404 71.998 5.9189
73.974615 71.991 5.8106
74.340826 71.984 5.7053
74.707037 71.977 5.5996
75.073248 71.971 5.4934
75.439459 71.966 5.3890
75.805670 71.961 5.2873
76.171881 71.958 5.1848
76.538092 71.956 5.0733
76.904303 71.955 4.9452
77.270514 71.954 4.7986
77.636725 71.949 4.6402
78.002936 71.941 4.4836
78.369147 71.930 4.3421
78.735358 71.919 4.2231
79.101569 71.908 4.1246
79.467780 71.900 4.0379
79.833991 71.894 3.9522
80.200202 71.890 3.8599
80.566413 71.886 3.7585
80.932624 71.882 3.6501
81.298835 71.877 3.5392
81.665046 71.872 3.4299
82.031257 71.866 3.3238
82.397468 71.860 3.2202
82.763679 71.855 3.1165
83.129890 71.849 3.0111
83.496101 71.843 2.9042
83.862311 71.836 2.7984
84.228522 71.829 2.6970
84.594733 71.822 2.6012
84.960944 71.816 2.5087
85.327155 71.811 2.4142
85.693366 71.807 2.3128
86.059577 71.802 2.2036
86.425788 71.795 2.0911
86.791999 71.787 1.9834
87.158210 71.778 1.8873
87.524421 71.769 1.8050
87.890632 71.762 1.7322
88.256843 71.757 1.6614
88.623054 71.752 1.5860
88.989265 71.748 1.5033
89.355476 71.744 1.4150
89.721687 71.739 1.3251
90.087898 71.733 1.2369
90.454109 71.727 1.1517
90.820320 71.721 1.0685
91.186531 71.715 0.9860
91.552742 71.709 0.9031
91.918953 71.703 0.8196
92.285164 71.697 0.7357
92.651375 71.690 0.6520
93.017586 71.683 0.5689
93.383797 71.676 0.4866
93.750008 71.670 0.4053
94.116219 71.663 0.3248
94.482430 71.656 0.2444
94.848641 71.650 0.1629
95.214851 71.644 0.0798
95.581062 71.637 -0.0048
95.947273 71.631 -0.0899
96.313484 71.624 -0.1741
96.679695 71.617 -0.2562
97.045906 71.609 -0.3358
97.412117 71.602 -0.4133
97.778328 71.596 -0.4893
98.144539 71.589 -0.5648
98.510750 71.583 -0.6401
98.876961 71.577 -0.7158
99.243172 71.571 -0.7918
99.609383 71.565 -0.8686
99.975594 71.559 -0.9459
100.341805 71.552 -1.0236
100.708016 71.546 -1.1009
101.074227 71.539 -1.1769
101.440438 71.532 -1.2505
101.806649 71.524 -1.3211
102.172860 71.517 -1.3888
102.539071 71.510 -1.4542
102.905282 71.504 -1.5184
103.271493 71.497 -1.5825
103.637704 71.491 -1.6472
104.003915 71.485 -1.7127
104.370126 71.479 -1.7786
104.736337 71.472 -1.8446
105.102548 71.466 -1.9103
105.468759 71.460 -1.9755
105.834970 71.453 -2.0399
106.201180 71.447 -2.1036
106.567391 71.440 -2.1667
106.933602 71.434 -2.2296
107.299813 71.427 -2.2928
107.666024 71.421 -2.3567
108.032235 71.415 -2.4211
108.398446 71.408 -2.4855
108.764657 71.401 -2.5493
109.130868 71.394 -2.6121
109.497079 71.387 -2.6740
109.863290 71.380 -2.7353
110.229501 71.373 -2.7965
110.595712 71.367 -2.8575
110.961923 71.360 -2.9181
111.328134 71.353 -2.9782
111.694345 71.346 -3.0375
112.060556 71.339 -3.0963
112.426767 71.333 -3.1550
112.792978 71.326 -3.2139
113.159189 71.320 -3.2731
113.525400 71.314 -3.3327
113.891611 71.307 -3.3922
114.257822 71.301 -3.4516
114.624033 71.295 -3.5107
114.990244 71.288 -3.5696
115.356455 71.282 -3.6290
115.722666 71.276 -3.6892
116.088877 71.270 -3.7508
116.455088 71.263 -3.8133
116.821299 71.257 -3.8760
117.187510 71.249 -3.9373
117.553720 71.242 -3.9963
117.919931 71.234 -4.0522
118.286142 71.227 -4.1055
118.652353 71.219 -4.1568
119.018564 71.212 -4.2069
119.384775 71.205 -4.2561
119.750986 71.198 -4.3045
120.117197 71.191 -4.3517
120.483408 71.184 -4.3980
120.849619 71.178 -4.4438
121.215830 71.171 -4.4899
121.582041 71.165 -4.5367
121.948252 71.159 -4.5845
122.314463 71.152 -4.6330
122.680674 71.146 -4.6818
123.046885 71.139 -4.7302
123.413096 71.133 -4.7780
123.779307 71.126 -4.8248
124.145518 71.120 -4.8708
124.511729 71.114 -4.9164
124.877940 71.108 -4.9621
125.244151 71.103 -5.0081
125.610362 71.097 -5.0548
125.976573 71.092 -5.1019
126.342784 71.087 -5.1491
126.708995 71.081 -5.1960
127.075206 71.076 -5.2423
127.441417 71.071 -5.2880
127.807628 71.065 -5.3332
128.173839 71.060 -5.3783
128.540049 71.054 -5.4233
128.906260 71.049 -5.4683
129.272471 71.043 -5.5130
129.638682 71.038 -5.5569
130.004893 71.032 -5.5998
130.371104 71.026 -5.6415
130.737315 71.020 -5.6825
131.103526 71.014 -5.7230
131.469737 71.009 -5.7635
131.835948 71.003 -5.8043
132.202159 70.998 -5.8454
132.568370 70.992 -5.8864
132.934581 70.987 -5.9269
133.300792 70.981 -5.9667
133.667003 70.975 -6.0058
134.033214 70.970 -6.0442
134.399425 70.965 -6.0823
134.765636 70.960 -6.1203
135.131847 70.955 -6.1584
135.498058 70.950 -6.1969
135.864269 70.946 -6.2362
136.230480 70.942 -6.2770
136.596691 70.938 -6.3196
136.962902 70.934 -6.3643
137.329113 70.930 -6.4109
137.695324 70.925 -6.4588
138.061535 70.920 -6.5070
138.427746 70.915 -6.5543
138.793957 70.909 -6.5994
139.160168 70.903 -6.6416
139.526379 70.897 -6.6805
139.892589 70.891 -6.7165
140.258800 70.886 -6.7502
140.625011 70.880 -6.7828
140.991222 70.875 -6.8148
141.357433 70.870 -6.8469
141.723644 70.865 -6.8793
142.089855 70.860 -6.9120
142.456066 70.855 -6.9449
142.822277 70.850 -6.9780
143.188488 70.845 -7.0113
143.554699 70.840 -7.0447
143.920910 70.834 -7.0779
144.287121 70.829 -7.1107
144.653332 70.823 -7.1431
145.019543 70.817 -7.1750
145.385754 70.812 -7.2063
145.751965 70.806 -7.2372
146.118176 70.801 -7.2679
146.484387 70.795 -7.2985
146.850598 70.790 -7.3292
147.216809 70.785 -7.3602
147.583020 70.779 -7.3914
147.949231 70.774 -7.4227
148.315442 70.769 -7.4538
148.681653 70.764 -7.4845
