* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 10:58:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Purple Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.153 -22.8227
0.732422 64.177 -46.0123
1.098633 60.397 -70.5057
1.464844 53.316 -100.9292
1.831055 42.130 147.6208
2.197266 50.189 72.7805
2.563477 50.788 48.2350
2.929688 44.948 38.9009
3.295899 43.528 149.8322
3.662110 53.002 151.0824
4.028321 56.642 139.4436
4.394532 58.023 129.7282
4.760743 58.268 125.4185
5.126954 58.395 127.6575
5.493164 59.249 132.1110
5.859375 60.596 132.7987
6.225586 61.765 129.2663
6.591797 62.496 124.0188
6.958008 62.877 119.2616
7.324219 63.155 115.9849
7.690430 63.562 113.7378
8.056641 64.155 111.2943
8.422852 64.817 107.9484
8.789063 65.420 103.9529
9.155274 65.921 99.9834
9.521485 66.354 96.5372
9.887696 66.775 93.6855
10.253907 67.141 91.1945
10.620118 67.479 88.8297
10.986329 67.793 86.5405
11.352540 68.068 84.4053
11.718751 68.312 82.4788
12.084962 68.535 80.7203
12.451173 68.738 79.0455
12.817384 68.962 77.4135
13.183595 69.163 75.8467
13.549806 69.339 74.3741
13.916017 69.501 72.9736
14.282228 69.655 71.5774
14.648439 69.799 70.1312
15.014650 69.925 68.6409
15.380861 70.034 67.1589
15.747072 70.132 65.7302
16.113283 70.233 64.3533
16.479493 70.347 62.9931
16.845704 70.461 61.6240
17.211915 70.569 60.2591
17.578126 70.671 58.9374
17.944337 70.768 57.6889
18.310548 70.865 56.5136
18.676759 70.962 55.3913
19.042970 71.056 54.3073
19.409181 71.145 53.2650
19.775392 71.227 52.2756
20.141603 71.305 51.3408
20.507814 71.380 50.4465
20.874025 71.451 49.5737
21.240236 71.513 48.7141
21.606447 71.567 47.8741
21.972658 71.613 47.0646
22.338869 71.653 46.2884
22.705080 71.691 45.5354
23.071291 71.729 44.7882
23.437502 71.765 44.0328
23.803713 71.799 43.2653
24.169924 71.831 42.4922
24.536135 71.859 41.7256
24.902346 71.887 40.9756
25.268557 71.915 40.2452
25.634768 71.944 39.5302
26.000979 71.974 38.8270
26.367190 72.004 38.1402
26.733401 72.032 37.4841
27.099612 72.060 36.8726
27.465823 72.092 36.3029
27.832033 72.128 35.7499
28.198244 72.168 35.1792
28.564455 72.205 34.5733
28.930666 72.232 33.9495
29.296877 72.247 33.3522
29.663088 72.253 32.8237
30.029299 72.258 32.3737
30.395510 72.268 31.9716
30.761721 72.284 31.5682
31.127932 72.301 31.1303
31.494143 72.315 30.6598
31.860354 72.321 30.1843
32.226565 72.323 29.7312
32.592776 72.325 29.3054
32.958987 72.330 28.8890
33.325198 72.337 28.4596
33.691409 72.343 28.0110
34.057620 72.346 27.5587
34.423831 72.346 27.1280
34.790042 72.345 26.7339
35.156253 72.350 26.3687
35.522464 72.360 26.0068
35.888675 72.374 25.6218
36.254886 72.389 25.2045
36.621097 72.398 24.7685
36.987308 72.403 24.3401
37.353519 72.404 23.9397
37.719730 72.405 23.5686
38.085941 72.408 23.2103
38.452152 72.412 22.8458
38.818363 72.414 22.4704
39.184573 72.411 22.0987
39.550784 72.404 21.7537
39.916995 72.397 21.4487
40.283206 72.393 21.1767
40.649417 72.394 20.9147
41.015628 72.399 20.6397
41.381839 72.405 20.3426
41.748050 72.410 20.0306
42.114261 72.412 19.7173
42.480472 72.412 19.4125
42.846683 72.412 19.1171
43.212894 72.412 18.8274
43.579105 72.411 18.5409
43.945316 72.410 18.2590
44.311527 72.408 17.9846
44.677738 72.407 17.7182
45.043949 72.405 17.4579
45.410160 72.404 17.2006
45.776371 72.403 16.9449
46.142582 72.401 16.6898
46.508793 72.400 16.4335
46.875004 72.399 16.1733
47.241215 72.398 15.9077
47.607426 72.394 15.6394
47.973637 72.389 15.3746
48.339848 72.383 15.1199
48.706059 72.377 14.8775
49.072270 72.372 14.6442
49.438481 72.368 14.4139
49.804692 72.365 14.1822
50.170902 72.362 13.9493
50.537113 72.359 13.7184
50.903324 72.355 13.4925
51.269535 72.352 13.2719
51.635746 72.349 13.0546
52.001957 72.346 12.8381
52.368168 72.342 12.6223
52.734379 72.338 12.4091
53.100590 72.334 12.2009
53.466801 72.329 11.9987
53.833012 72.324 11.8011
54.199223 72.319 11.6056
54.565434 72.314 11.4104
54.931645 72.309 11.2159
55.297856 72.304 11.0233
55.664067 72.299 10.8335
56.030278 72.294 10.6445
56.396489 72.290 10.4519
56.762700 72.287 10.2513
57.128911 72.282 10.0419
57.495122 72.276 9.8290
57.861333 72.268 9.6227
58.227544 72.258 9.4330
58.593755 72.249 9.2637
58.959966 72.243 9.1093
59.326177 72.239 8.9575
59.692388 72.238 8.7962
60.058599 72.237 8.6205
60.424810 72.235 8.4354
60.791021 72.231 8.2515
61.157232 72.226 8.0782
61.523442 72.220 7.9176
61.889653 72.216 7.7639
62.255864 72.213 7.6089
62.622075 72.210 7.4474
62.988286 72.206 7.2806
63.354497 72.200 7.1136
63.720708 72.194 6.9517
64.086919 72.186 6.7963
64.453130 72.179 6.6454
64.819341 72.172 6.4963
65.185552 72.165 6.3477
65.551763 72.158 6.2006
65.917974 72.151 6.0561
66.284185 72.145 5.9142
66.650396 72.139 5.7730
67.016607 72.133 5.6302
67.382818 72.127 5.4853
67.749029 72.121 5.3398
68.115240 72.114 5.1962
68.481451 72.107 5.0560
68.847662 72.100 4.9187
69.213873 72.093 4.7817
69.580084 72.086 4.6431
69.946295 72.079 4.5030
70.312506 72.070 4.3648
70.678717 72.060 4.2333
71.044928 72.050 4.1112
71.411139 72.041 3.9963
71.777350 72.033 3.8821
72.143561 72.026 3.7618
72.509771 72.018 3.6336
72.875982 72.009 3.5030
73.242193 71.998 3.3798
73.608404 71.988 3.2704
73.974615 71.979 3.1717
74.340826 71.973 3.0715
74.707037 71.969 2.9561
75.073248 71.965 2.8195
75.439459 71.960 2.6681
75.805670 71.951 2.5166
76.171881 71.940 2.3780
76.538092 71.929 2.2555
76.904303 71.920 2.1424
77.270514 71.913 2.0286
77.636725 71.906 1.9088
78.002936 71.898 1.7863
78.369147 71.889 1.6687
78.735358 71.880 1.5613
79.101569 71.872 1.4623
79.467780 71.866 1.3645
79.833991 71.861 1.2601
80.200202 71.856 1.1466
80.566413 71.850 1.0271
80.932624 71.843 0.9083
81.298835 71.835 0.7954
81.665046 71.826 0.6904
82.031257 71.818 0.5914
82.397468 71.811 0.4946
82.763679 71.804 0.3958
83.129890 71.797 0.2925
83.496101 71.791 0.1847
83.862311 71.783 0.0746
84.228522 71.775 -0.0336
84.594733 71.766 -0.1368
84.960944 71.757 -0.2346
85.327155 71.749 -0.3299
85.693366 71.742 -0.4277
86.059577 71.735 -0.5310
86.425788 71.728 -0.6390
86.791999 71.719 -0.7464
87.158210 71.709 -0.8471
87.524421 71.700 -0.9374
87.890632 71.691 -1.0182
88.256843 71.683 -1.0944
88.623054 71.677 -1.1721
88.989265 71.671 -1.2548
89.355476 71.665 -1.3434
89.721687 71.659 -1.4355
90.087898 71.653 -1.5283
90.454109 71.645 -1.6195
90.820320 71.638 -1.7080
91.186531 71.630 -1.7937
91.552742 71.622 -1.8775
91.918953 71.615 -1.9602
92.285164 71.607 -2.0430
92.651375 71.600 -2.1266
93.017586 71.592 -2.2110
93.383797 71.584 -2.2958
93.750008 71.576 -2.3801
94.116219 71.567 -2.4632
94.482430 71.559 -2.5447
94.848641 71.551 -2.6251
95.214851 71.542 -2.7051
95.581062 71.534 -2.7853
95.947273 71.527 -2.8657
96.313484 71.519 -2.9459
96.679695 71.511 -3.0251
97.045906 71.503 -3.1027
97.412117 71.495 -3.1789
97.778328 71.488 -3.2546
98.144539 71.480 -3.3304
98.510750 71.473 -3.4069
98.876961 71.466 -3.4835
99.243172 71.458 -3.5592
99.609383 71.451 -3.6334
99.975594 71.443 -3.7064
100.341805 71.436 -3.7791
100.708016 71.428 -3.8528
101.074227 71.421 -3.9276
101.440438 71.413 -4.0025
101.806649 71.404 -4.0757
102.172860 71.396 -4.1461
102.539071 71.387 -4.2136
102.905282 71.379 -4.2797
103.271493 71.371 -4.3464
103.637704 71.363 -4.4151
104.003915 71.356 -4.4861
104.370126 71.348 -4.5586
104.736337 71.340 -4.6314
105.102548 71.331 -4.7030
105.468759 71.323 -4.7730
105.834970 71.314 -4.8412
106.201180 71.306 -4.9082
106.567391 71.298 -4.9745
106.933602 71.290 -5.0407
107.299813 71.283 -5.1073
107.666024 71.275 -5.1741
108.032235 71.267 -5.2406
108.398446 71.260 -5.3061
108.764657 71.252 -5.3698
109.130868 71.244 -5.4319
109.497079 71.236 -5.4927
109.863290 71.229 -5.5529
110.229501 71.222 -5.6133
110.595712 71.214 -5.6740
110.961923 71.207 -5.7349
111.328134 71.199 -5.7956
111.694345 71.192 -5.8560
112.060556 71.184 -5.9162
112.426767 71.176 -5.9761
112.792978 71.168 -6.0357
113.159189 71.160 -6.0944
113.525400 71.151 -6.1517
113.891611 71.143 -6.2073
114.257822 71.134 -6.2611
114.624033 71.126 -6.3135
114.990244 71.118 -6.3652
115.356455 71.110 -6.4168
115.722666 71.102 -6.4688
116.088877 71.094 -6.5216
116.455088 71.086 -6.5750
116.821299 71.078 -6.6286
117.187510 71.070 -6.6819
117.553720 71.062 -6.7347
117.919931 71.054 -6.7870
118.286142 71.046 -6.8394
118.652353 71.038 -6.8925
119.018564 71.030 -6.9464
119.384775 71.022 -7.0010
119.750986 71.014 -7.0551
120.117197 71.006 -7.1079
120.483408 70.997 -7.1588
120.849619 70.989 -7.2081
121.215830 70.982 -7.2565
121.582041 70.974 -7.3053
121.948252 70.967 -7.3549
122.314463 70.959 -7.4052
122.680674 70.951 -7.4554
123.046885 70.943 -7.5045
123.413096 70.935 -7.5520
123.779307 70.927 -7.5980
124.145518 70.919 -7.6427
124.511729 70.912 -7.6866
124.877940 70.904 -7.7299
125.244151 70.897 -7.7727
125.610362 70.890 -7.8152
125.976573 70.884 -7.8576
126.342784 70.877 -7.9006
126.708995 70.871 -7.9448
127.075206 70.865 -7.9907
127.441417 70.859 -8.0382
127.807628 70.853 -8.0867
128.173839 70.847 -8.1358
128.540049 70.841 -8.1849
128.906260 70.835 -8.2339
129.272471 70.828 -8.2825
129.638682 70.822 -8.3305
130.004893 70.815 -8.3776
130.371104 70.809 -8.4234
130.737315 70.803 -8.4677
131.103526 70.797 -8.5107
131.469737 70.791 -8.5527
131.835948 70.785 -8.5940
132.202159 70.779 -8.6349
132.568370 70.773 -8.6751
132.934581 70.767 -8.7147
133.300792 70.761 -8.7537
133.667003 70.755 -8.7925
134.033214 70.749 -8.8313
134.399425 70.743 -8.8703
134.765636 70.736 -8.9094
135.131847 70.730 -8.9480
135.498058 70.723 -8.9856
135.864269 70.716 -9.0220
136.230480 70.709 -9.0574
136.596691 70.701 -9.0921
136.962902 70.694 -9.1266
137.329113 70.687 -9.1609
137.695324 70.680 -9.1949
138.061535 70.673 -9.2282
138.427746 70.666 -9.2610
138.793957 70.660 -9.2936
139.160168 70.654 -9.3270
139.526379 70.648 -9.3619
139.892589 70.642 -9.3988
140.258800 70.636 -9.4374
140.625011 70.630 -9.4769
140.991222 70.624 -9.5161
141.357433 70.618 -9.5545
141.723644 70.612 -9.5916
142.089855 70.606 -9.6276
142.456066 70.600 -9.6627
142.822277 70.594 -9.6974
143.188488 70.588 -9.7317
143.554699 70.582 -9.7658
143.920910 70.576 -9.7997
144.287121 70.570 -9.8332
144.653332 70.564 -9.8663
145.019543 70.558 -9.8990
145.385754 70.551 -9.9313
145.751965 70.545 -9.9631
146.118176 70.538 -9.9943
146.484387 70.532 -10.0247
146.850598 70.525 -10.0543
147.216809 70.518 -10.0830
147.583020 70.511 -10.1107
147.949231 70.504 -10.1375
