* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 11:02:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.634 159.6355
0.732422 60.897 139.8190
1.098633 57.608 121.7440
1.464844 51.641 110.5241
1.831055 42.169 157.6122
2.197266 49.283 -156.1913
2.563477 52.805 -166.1981
2.929688 53.732 178.8096
3.295899 53.335 165.6261
3.662110 52.451 158.0394
4.028321 52.214 156.9230
4.394532 53.322 156.1864
4.760743 55.091 150.6969
5.126954 56.728 142.0185
5.493164 57.989 133.2003
5.859375 58.940 126.2104
6.225586 59.774 121.6506
6.591797 60.670 118.8176
6.958008 61.654 116.4089
7.324219 62.622 113.6195
7.690430 63.465 110.4921
8.056641 64.151 107.4751
8.422852 64.718 104.9112
8.789063 65.230 102.8020
9.155274 65.724 100.8849
9.521485 66.197 98.8933
9.887696 66.627 96.7471
10.253907 66.930 94.5354
10.620118 67.159 92.3760
10.986329 67.366 90.3050
11.352540 67.565 88.2713
11.718751 67.759 86.2094
12.084962 67.942 84.1081
12.451173 68.110 82.0154
12.817384 68.310 79.9948
13.183595 68.511 78.0802
13.549806 68.707 76.2669
13.916017 68.901 74.5330
14.282228 69.088 72.8673
14.648439 69.265 71.2776
15.014650 69.432 69.7789
15.380861 69.590 68.3771
15.747072 69.741 67.0600
16.113283 69.891 65.8014
16.479493 70.041 64.5731
16.845704 70.181 63.3590
17.211915 70.304 62.1625
17.578126 70.411 61.0040
17.944337 70.502 59.9073
18.310548 70.585 58.8812
18.676759 70.664 57.9099
19.042970 70.743 56.9592
19.409181 70.821 55.9967
19.775392 70.896 55.0103
20.141603 70.964 54.0123
20.507814 71.028 53.0256
20.874025 71.089 52.0655
21.240236 71.148 51.1322
21.606447 71.206 50.2167
21.972658 71.264 49.3148
22.338869 71.319 48.4335
22.705080 71.371 47.5860
23.071291 71.423 46.7804
23.437502 71.476 46.0126
23.803713 71.529 45.2688
24.169924 71.583 44.5357
24.536135 71.634 43.8092
24.902346 71.681 43.0967
25.268557 71.722 42.4116
25.634768 71.760 41.7644
26.000979 71.798 41.1546
26.367190 71.836 40.5675
26.733401 71.876 39.9792
27.099612 71.916 39.3675
27.465823 71.951 38.7257
27.832033 71.977 38.0691
28.198244 71.994 37.4285
28.564455 72.004 36.8339
28.930666 72.011 36.2982
29.296877 72.021 35.8112
29.663088 72.035 35.3492
30.029299 72.053 34.8918
30.395510 72.073 34.4321
30.761721 72.093 33.9735
31.127932 72.114 33.5184
31.494143 72.136 33.0614
31.860354 72.159 32.5930
32.226565 72.179 32.1115
32.592776 72.195 31.6295
32.958987 72.206 31.1677
33.325198 72.216 30.7398
33.691409 72.227 30.3408
34.057620 72.242 29.9494
34.423831 72.258 29.5446
34.790042 72.272 29.1216
35.156253 72.281 28.6956
35.522464 72.286 28.2890
35.888675 72.290 27.9143
36.254886 72.294 27.5652
36.621097 72.302 27.2236
36.987308 72.310 26.8757
37.353519 72.318 26.5225
37.719730 72.323 26.1770
38.085941 72.328 25.8492
38.452152 72.335 25.5345
38.818363 72.345 25.2146
39.184573 72.356 24.8719
39.550784 72.364 24.5055
39.916995 72.367 24.1348
40.283206 72.365 23.7869
40.649417 72.363 23.4771
41.015628 72.363 23.1979
41.381839 72.369 22.9236
41.748050 72.377 22.6288
42.114261 72.385 22.3051
42.480472 72.388 21.9656
42.846683 72.388 21.6342
43.212894 72.384 21.3290
43.579105 72.382 21.0526
43.945316 72.382 20.7938
44.311527 72.384 20.5376
44.677738 72.389 20.2746
45.043949 72.394 20.0047
45.410160 72.398 19.7324
45.776371 72.402 19.4618
46.142582 72.406 19.1938
46.508793 72.409 18.9277
46.875004 72.411 18.6639
47.241215 72.412 18.4049
47.607426 72.413 18.1538
47.973637 72.412 17.9115
48.339848 72.412 17.6766
48.706059 72.411 17.4457
49.072270 72.410 17.2171
49.438481 72.408 16.9915
49.804692 72.406 16.7714
50.170902 72.404 16.5582
50.537113 72.402 16.3504
50.903324 72.401 16.1432
51.269535 72.401 15.9316
51.635746 72.401 15.7136
52.001957 72.401 15.4916
52.368168 72.399 15.2705
52.734379 72.397 15.0536
53.100590 72.395 14.8406
53.466801 72.394 14.6294
53.833012 72.392 14.4193
54.199223 72.390 14.2140
54.565434 72.387 14.0188
54.931645 72.385 13.8355
55.297856 72.384 13.6587
55.664067 72.385 13.4783
56.030278 72.386 13.2878
56.396489 72.385 13.0914
56.762700 72.382 12.9030
57.128911 72.377 12.7367
57.495122 72.373 12.5945
57.861333 72.373 12.4613
58.227544 72.377 12.3137
58.593755 72.383 12.1351
58.959966 72.385 11.9271
59.326177 72.382 11.7085
59.692388 72.376 11.5019
60.058599 72.367 11.3187
60.424810 72.360 11.1532
60.791021 72.355 10.9898
61.157232 72.352 10.8164
61.523442 72.347 10.6328
61.889653 72.341 10.4493
62.255864 72.333 10.2769
62.622075 72.326 10.1188
62.988286 72.320 9.9688
63.354497 72.316 9.8174
63.720708 72.312 9.6599
64.086919 72.308 9.4983
64.453130 72.303 9.3388
64.819341 72.299 9.1854
65.185552 72.294 9.0374
65.551763 72.290 8.8906
65.917974 72.287 8.7420
66.284185 72.283 8.5921
66.650396 72.278 8.4445
67.016607 72.273 8.3027
67.382818 72.268 8.1670
67.749029 72.263 8.0351
68.115240 72.259 7.9028
68.481451 72.255 7.7673
68.847662 72.251 7.6276
69.213873 72.247 7.4849
69.580084 72.241 7.3413
69.946295 72.235 7.1995
70.312506 72.228 7.0622
70.678717 72.220 6.9313
71.044928 72.213 6.8069
71.411139 72.207 6.6869
71.777350 72.202 6.5675
72.143561 72.197 6.4448
72.509771 72.193 6.3169
72.875982 72.188 6.1854
73.242193 72.183 6.0538
73.608404 72.177 5.9255
73.974615 72.171 5.8010
74.340826 72.166 5.6769
74.707037 72.161 5.5489
75.073248 72.156 5.4145
75.439459 72.150 5.2769
75.805670 72.141 5.1439
76.171881 72.132 5.0238
76.538092 72.122 4.9204
76.904303 72.115 4.8291
77.270514 72.110 4.7388
77.636725 72.108 4.6368
78.002936 72.105 4.5167
78.369147 72.102 4.3813
78.735358 72.095 4.2413
79.101569 72.086 4.1097
79.467780 72.076 3.9943
79.833991 72.066 3.8952
80.200202 72.058 3.8055
80.566413 72.052 3.7161
80.932624 72.048 3.6209
81.298835 72.043 3.5186
81.665046 72.038 3.4117
82.031257 72.033 3.3043
82.397468 72.027 3.1991
82.763679 72.021 3.0968
83.129890 72.016 2.9963
83.496101 72.011 2.8962
83.862311 72.006 2.7952
84.228522 72.001 2.6925
84.594733 71.996 2.5876
84.960944 71.990 2.4813
85.327155 71.984 2.3747
85.693366 71.978 2.2697
86.059577 71.971 2.1681
86.425788 71.964 2.0704
86.791999 71.957 1.9763
87.158210 71.950 1.8848
87.524421 71.944 1.7952
87.890632 71.937 1.7071
88.256843 71.931 1.6204
88.623054 71.925 1.5346
88.989265 71.919 1.4489
89.355476 71.914 1.3623
89.721687 71.908 1.2742
90.087898 71.903 1.1847
90.454109 71.897 1.0946
90.820320 71.891 1.0046
91.186531 71.884 0.9148
91.552742 71.878 0.8254
91.918953 71.871 0.7366
92.285164 71.864 0.6488
92.651375 71.858 0.5629
93.017586 71.851 0.4791
93.383797 71.844 0.3971
93.750008 71.837 0.3158
94.116219 71.831 0.2344
94.482430 71.824 0.1524
94.848641 71.818 0.0701
95.214851 71.811 -0.0122
95.581062 71.804 -0.0941
95.947273 71.797 -0.1754
96.313484 71.790 -0.2558
96.679695 71.783 -0.3346
97.045906 71.776 -0.4114
97.412117 71.769 -0.4863
97.778328 71.762 -0.5604
98.144539 71.756 -0.6350
98.510750 71.749 -0.7111
98.876961 71.743 -0.7885
99.243172 71.736 -0.8660
99.609383 71.729 -0.9421
99.975594 71.722 -1.0165
100.341805 71.715 -1.0897
100.708016 71.709 -1.1634
101.074227 71.703 -1.2387
101.440438 71.696 -1.3159
101.806649 71.690 -1.3936
102.172860 71.682 -1.4700
102.539071 71.675 -1.5437
102.905282 71.668 -1.6141
103.271493 71.661 -1.6818
103.637704 71.654 -1.7481
104.003915 71.647 -1.8138
104.370126 71.641 -1.8795
104.736337 71.635 -1.9450
105.102548 71.629 -2.0103
105.468759 71.623 -2.0751
105.834970 71.617 -2.1400
106.201180 71.611 -2.2054
106.567391 71.605 -2.2721
106.933602 71.600 -2.3405
107.299813 71.594 -2.4101
107.666024 71.587 -2.4799
108.032235 71.580 -2.5485
108.398446 71.573 -2.6145
108.764657 71.565 -2.6777
109.130868 71.558 -2.7386
109.497079 71.551 -2.7984
109.863290 71.544 -2.8581
110.229501 71.537 -2.9184
110.595712 71.530 -2.9792
110.961923 71.523 -3.0399
111.328134 71.516 -3.0997
111.694345 71.508 -3.1583
112.060556 71.501 -3.2160
112.426767 71.494 -3.2730
112.792978 71.487 -3.3300
113.159189 71.481 -3.3875
113.525400 71.474 -3.4459
113.891611 71.468 -3.5052
114.257822 71.461 -3.5651
114.624033 71.454 -3.6248
114.990244 71.448 -3.6835
115.356455 71.441 -3.7411
115.722666 71.434 -3.7978
116.088877 71.428 -3.8544
116.455088 71.422 -3.9121
116.821299 71.416 -3.9716
117.187510 71.410 -4.0331
117.553720 71.404 -4.0958
117.919931 71.397 -4.1584
118.286142 71.390 -4.2196
118.652353 71.382 -4.2780
119.018564 71.374 -4.3328
119.384775 71.367 -4.3840
119.750986 71.359 -4.4321
120.117197 71.352 -4.4781
120.483408 71.345 -4.5233
120.849619 71.338 -4.5689
121.215830 71.332 -4.6155
121.582041 71.325 -4.6630
121.948252 71.319 -4.7107
122.314463 71.312 -4.7581
122.680674 71.306 -4.8048
123.046885 71.299 -4.8509
123.413096 71.293 -4.8972
123.779307 71.286 -4.9443
124.145518 71.280 -4.9925
124.511729 71.274 -5.0414
124.877940 71.268 -5.0905
125.244151 71.262 -5.1389
125.610362 71.256 -5.1865
125.976573 71.251 -5.2334
126.342784 71.246 -5.2806
126.708995 71.241 -5.3291
127.075206 71.236 -5.3792
127.441417 71.230 -5.4306
127.807628 71.225 -5.4823
128.173839 71.219 -5.5328
128.540049 71.213 -5.5811
128.906260 71.207 -5.6268
129.272471 71.201 -5.6706
129.638682 71.196 -5.7134
130.004893 71.190 -5.7559
130.371104 71.185 -5.7986
130.737315 71.179 -5.8413
131.103526 71.174 -5.8837
131.469737 71.168 -5.9254
131.835948 71.163 -5.9664
132.202159 71.157 -6.0067
132.568370 71.152 -6.0465
132.934581 71.147 -6.0861
133.300792 71.142 -6.1259
133.667003 71.137 -6.1662
134.033214 71.131 -6.2070
134.399425 71.126 -6.2483
134.765636 71.121 -6.2897
135.131847 71.115 -6.3308
135.498058 71.110 -6.3710
135.864269 71.104 -6.4102
136.230480 71.098 -6.4481
136.596691 71.092 -6.4852
136.962902 71.087 -6.5217
137.329113 71.081 -6.5580
137.695324 71.076 -6.5944
138.061535 71.070 -6.6310
138.427746 71.065 -6.6677
138.793957 71.060 -6.7041
139.160168 71.054 -6.7400
139.526379 71.049 -6.7756
139.892589 71.044 -6.8110
140.258800 71.039 -6.8469
140.625011 71.034 -6.8839
140.991222 71.029 -6.9224
141.357433 71.024 -6.9624
141.723644 71.019 -7.0033
142.089855 71.013 -7.0443
142.456066 71.007 -7.0844
142.822277 71.002 -7.1229
143.188488 70.996 -7.1598
143.554699 70.990 -7.1953
143.920910 70.985 -7.2299
144.287121 70.979 -7.2642
144.653332 70.974 -7.2986
145.019543 70.969 -7.3332
145.385754 70.963 -7.3680
145.751965 70.958 -7.4027
146.118176 70.953 -7.4371
146.484387 70.947 -7.4710
146.850598 70.942 -7.5041
147.216809 70.936 -7.5362
147.583020 70.931 -7.5673
147.949231 70.925 -7.5976
148.315442 70.920 -7.6276
148.681653 70.915 -7.6574
