* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 11:01:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Purple f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.232 -22.8492
0.732422 64.262 -46.0606
1.098633 60.496 -70.5550
1.464844 53.452 -100.8368
1.831055 42.055 148.8842
2.197266 50.179 72.3853
2.563477 50.828 47.5076
2.929688 45.021 36.9668
3.295899 43.188 151.0243
3.662110 52.918 151.6518
4.028321 56.598 139.7715
4.394532 57.994 129.9360
4.760743 58.243 125.5369
5.126954 58.365 127.7089
5.493164 59.205 132.1684
5.859375 60.542 132.9336
6.225586 61.710 129.4982
6.591797 62.447 124.3322
6.958008 62.841 119.6047
7.324219 63.132 116.2683
7.690430 63.541 113.8830
8.056641 64.118 111.3075
8.422852 64.754 107.9203
8.789063 65.332 103.9977
9.155274 65.821 100.1843
9.521485 66.259 96.9135
9.887696 66.701 94.1864
10.253907 67.093 91.7304
10.620118 67.454 89.3235
10.986329 67.783 86.9564
11.352540 68.066 84.7431
11.718751 68.314 82.7552
12.084962 68.537 80.9542
12.451173 68.739 79.2546
12.817384 68.961 77.6157
13.183595 69.161 76.0584
13.549806 69.336 74.6042
13.916017 69.500 73.2186
14.282228 69.655 71.8246
14.648439 69.798 70.3696
15.014650 69.921 68.8705
15.380861 70.024 67.3909
15.747072 70.118 65.9781
16.113283 70.216 64.6226
16.479493 70.330 63.2766
16.845704 70.444 61.9069
17.211915 70.553 60.5280
17.578126 70.655 59.1863
17.944337 70.751 57.9199
18.310548 70.848 56.7325
18.676759 70.947 55.6026
19.042970 71.045 54.5094
19.409181 71.139 53.4490
19.775392 71.227 52.4285
20.141603 71.309 51.4536
20.507814 71.386 50.5245
20.874025 71.454 49.6422
21.240236 71.516 48.8097
21.606447 71.574 48.0235
21.972658 71.630 47.2638
22.338869 71.684 46.4986
22.705080 71.734 45.7047
23.071291 71.774 44.8878
23.437502 71.802 44.0821
23.803713 71.823 43.3261
24.169924 71.842 42.6336
24.536135 71.867 41.9822
24.902346 71.899 41.3302
25.268557 71.935 40.6456
25.634768 71.969 39.9272
26.000979 71.999 39.2014
26.367190 72.023 38.5026
26.733401 72.045 37.8525
27.099612 72.068 37.2507
27.465823 72.096 36.6789
27.832033 72.128 36.1137
28.198244 72.161 35.5384
28.564455 72.192 34.9499
28.930666 72.218 34.3572
29.296877 72.237 33.7759
29.663088 72.252 33.2191
30.029299 72.263 32.6922
30.395510 72.272 32.1929
30.761721 72.279 31.7148
31.127932 72.287 31.2522
31.494143 72.294 30.8008
31.860354 72.302 30.3559
32.226565 72.310 29.9110
32.592776 72.318 29.4598
32.958987 72.326 29.0003
33.325198 72.333 28.5372
33.691409 72.337 28.0796
34.057620 72.340 27.6353
34.423831 72.344 27.2073
34.790042 72.347 26.7936
35.156253 72.352 26.3908
35.522464 72.356 25.9986
35.888675 72.360 25.6196
36.254886 72.365 25.2576
36.621097 72.370 24.9134
36.987308 72.377 24.5826
37.353519 72.386 24.2558
37.719730 72.397 23.9212
38.085941 72.408 23.5696
38.452152 72.417 23.1985
38.818363 72.422 22.8151
39.184573 72.421 22.4343
39.550784 72.416 22.0725
39.916995 72.410 21.7399
40.283206 72.404 21.4348
40.649417 72.402 21.1448
41.015628 72.402 20.8537
41.381839 72.404 20.5503
41.748050 72.405 20.2334
42.114261 72.405 19.9107
42.480472 72.403 19.5927
42.846683 72.400 19.2862
43.212894 72.397 18.9907
43.579105 72.396 18.7007
43.945316 72.395 18.4112
44.311527 72.393 18.1226
44.677738 72.391 17.8405
45.043949 72.388 17.5716
45.410160 72.386 17.3170
45.776371 72.386 17.0694
46.142582 72.387 16.8173
46.508793 72.389 16.5527
46.875004 72.390 16.2781
47.241215 72.387 16.0051
47.607426 72.382 15.7467
47.973637 72.377 15.5077
48.339848 72.374 15.2815
48.706059 72.372 15.0547
49.072270 72.372 14.8174
49.438481 72.370 14.5697
49.804692 72.366 14.3213
50.170902 72.361 14.0835
50.537113 72.355 13.8614
50.903324 72.351 13.6504
51.269535 72.348 13.4406
51.635746 72.346 13.2238
52.001957 72.344 12.9989
52.368168 72.340 12.7721
52.734379 72.334 12.5525
53.100590 72.328 12.3456
53.466801 72.322 12.1503
53.833012 72.318 11.9596
54.199223 72.315 11.7649
54.565434 72.313 11.5614
54.931645 72.310 11.3505
55.297856 72.305 11.1392
55.664067 72.298 10.9359
56.030278 72.292 10.7459
56.396489 72.286 10.5690
56.762700 72.281 10.3996
57.128911 72.279 10.2295
57.495122 72.279 10.0507
57.861333 72.279 9.8587
58.227544 72.277 9.6542
58.593755 72.273 9.4440
58.959966 72.267 9.2389
59.326177 72.258 9.0495
59.692388 72.249 8.8809
60.058599 72.241 8.7296
60.424810 72.236 8.5849
60.791021 72.233 8.4351
61.157232 72.230 8.2739
61.523442 72.227 8.1028
61.889653 72.222 7.9288
62.255864 72.215 7.7586
62.622075 72.208 7.5944
62.988286 72.201 7.4346
63.354497 72.194 7.2761
63.720708 72.187 7.1180
64.086919 72.180 6.9607
64.453130 72.172 6.8047
64.819341 72.165 6.6489
65.185552 72.158 6.4918
65.551763 72.151 6.3338
65.917974 72.143 6.1786
66.284185 72.134 6.0308
66.650396 72.126 5.8925
67.016607 72.119 5.7607
67.382818 72.114 5.6287
67.749029 72.109 5.4902
68.115240 72.105 5.3434
68.481451 72.099 5.1916
68.847662 72.092 5.0411
69.213873 72.085 4.8964
69.580084 72.077 4.7586
69.946295 72.069 4.6249
70.312506 72.061 4.4923
70.678717 72.054 4.3594
71.044928 72.046 4.2275
71.411139 72.037 4.0992
71.777350 72.029 3.9754
72.143561 72.022 3.8535
72.509771 72.015 3.7290
72.875982 72.009 3.5975
73.242193 72.001 3.4595
73.608404 71.992 3.3208
73.974615 71.982 3.1908
74.340826 71.971 3.0762
74.707037 71.962 2.9763
75.073248 71.955 2.8812
75.439459 71.951 2.7773
75.805670 71.948 2.6556
76.171881 71.944 2.5176
76.538092 71.936 2.3747
76.904303 71.926 2.2416
77.270514 71.916 2.1265
77.636725 71.906 2.0273
78.002936 71.898 1.9338
78.369147 71.892 1.8360
78.735358 71.886 1.7299
79.101569 71.880 1.6190
79.467780 71.872 1.5093
79.833991 71.865 1.4042
80.200202 71.858 1.3021
80.566413 71.852 1.1989
80.932624 71.845 1.0917
81.298835 71.839 0.9817
81.665046 71.832 0.8718
82.031257 71.824 0.7639
82.397468 71.817 0.6575
82.763679 71.810 0.5505
83.129890 71.803 0.4422
83.496101 71.795 0.3342
83.862311 71.786 0.2294
84.228522 71.778 0.1292
84.594733 71.770 0.0323
84.960944 71.762 -0.0645
85.327155 71.754 -0.1635
85.693366 71.747 -0.2643
86.059577 71.738 -0.3639
86.425788 71.729 -0.4591
86.791999 71.720 -0.5488
87.158210 71.712 -0.6343
87.524421 71.704 -0.7185
87.890632 71.697 -0.8043
88.256843 71.691 -0.8931
88.623054 71.685 -0.9856
88.989265 71.679 -1.0820
89.355476 71.672 -1.1824
89.721687 71.665 -1.2865
90.087898 71.658 -1.3924
90.454109 71.649 -1.4971
90.820320 71.639 -1.5969
91.186531 71.629 -1.6895
91.552742 71.620 -1.7746
91.918953 71.610 -1.8542
92.285164 71.602 -1.9312
92.651375 71.594 -2.0081
93.017586 71.587 -2.0860
93.383797 71.579 -2.1646
93.750008 71.572 -2.2431
94.116219 71.564 -2.3211
94.482430 71.557 -2.3992
94.848641 71.550 -2.4779
95.214851 71.543 -2.5577
95.581062 71.536 -2.6382
95.947273 71.528 -2.7184
96.313484 71.520 -2.7977
96.679695 71.512 -2.8761
97.045906 71.505 -2.9539
97.412117 71.497 -3.0318
97.778328 71.489 -3.1100
98.144539 71.481 -3.1885
98.510750 71.473 -3.2668
98.876961 71.465 -3.3447
99.243172 71.457 -3.4218
99.609383 71.449 -3.4979
99.975594 71.441 -3.5726
100.341805 71.432 -3.6457
100.708016 71.424 -3.7174
101.074227 71.416 -3.7883
101.440438 71.408 -3.8587
101.806649 71.401 -3.9289
102.172860 71.393 -3.9986
102.539071 71.385 -4.0675
102.905282 71.377 -4.1358
103.271493 71.370 -4.2039
103.637704 71.362 -4.2722
104.003915 71.355 -4.3409
104.370126 71.347 -4.4096
104.736337 71.339 -4.4774
105.102548 71.331 -4.5442
105.468759 71.323 -4.6102
105.834970 71.316 -4.6767
106.201180 71.308 -4.7445
106.567391 71.300 -4.8138
106.933602 71.292 -4.8834
107.299813 71.284 -4.9518
107.666024 71.275 -5.0176
108.032235 71.267 -5.0806
108.398446 71.258 -5.1420
108.764657 71.250 -5.2033
109.130868 71.243 -5.2656
109.497079 71.235 -5.3286
109.863290 71.227 -5.3912
110.229501 71.219 -5.4521
110.595712 71.211 -5.5104
110.961923 71.203 -5.5663
111.328134 71.196 -5.6212
111.694345 71.189 -5.6765
112.060556 71.182 -5.7336
112.426767 71.176 -5.7933
112.792978 71.169 -5.8552
113.159189 71.162 -5.9184
113.525400 71.155 -5.9818
113.891611 71.147 -6.0437
114.257822 71.139 -6.1032
114.624033 71.130 -6.1597
114.990244 71.122 -6.2135
115.356455 71.114 -6.2658
115.722666 71.107 -6.3179
116.088877 71.099 -6.3714
116.455088 71.092 -6.4266
116.821299 71.084 -6.4836
117.187510 71.076 -6.5415
117.553720 71.068 -6.5994
117.919931 71.059 -6.6563
118.286142 71.051 -6.7117
118.652353 71.042 -6.7654
119.018564 71.033 -6.8173
119.384775 71.025 -6.8676
119.750986 71.016 -6.9166
120.117197 71.008 -6.9648
120.483408 71.000 -7.0128
120.849619 70.993 -7.0613
121.215830 70.986 -7.1106
121.582041 70.978 -7.1607
121.948252 70.971 -7.2114
122.314463 70.963 -7.2623
122.680674 70.956 -7.3130
123.046885 70.948 -7.3628
123.413096 70.940 -7.4112
123.779307 70.932 -7.4579
124.145518 70.925 -7.5029
124.511729 70.917 -7.5465
124.877940 70.911 -7.5897
125.244151 70.904 -7.6338
125.610362 70.898 -7.6795
125.976573 70.892 -7.7271
126.342784 70.885 -7.7761
126.708995 70.879 -7.8255
127.075206 70.872 -7.8743
127.441417 70.865 -7.9215
127.807628 70.858 -7.9669
128.173839 70.851 -8.0107
128.540049 70.844 -8.0532
128.906260 70.837 -8.0949
129.272471 70.830 -8.1359
129.638682 70.824 -8.1763
130.004893 70.817 -8.2159
130.371104 70.810 -8.2546
130.737315 70.804 -8.2925
131.103526 70.798 -8.3296
131.469737 70.792 -8.3664
131.835948 70.786 -8.4033
132.202159 70.780 -8.4406
132.568370 70.774 -8.4782
132.934581 70.768 -8.5162
133.300792 70.762 -8.5548
133.667003 70.757 -8.5942
134.033214 70.751 -8.6348
134.399425 70.745 -8.6770
134.765636 70.739 -8.7211
135.131847 70.733 -8.7666
135.498058 70.727 -8.8127
135.864269 70.719 -8.8579
136.230480 70.712 -8.9010
136.596691 70.704 -8.9410
136.962902 70.697 -8.9777
137.329113 70.690 -9.0116
137.695324 70.683 -9.0439
138.061535 70.677 -9.0761
138.427746 70.671 -9.1093
138.793957 70.666 -9.1443
139.160168 70.660 -9.1813
139.526379 70.654 -9.2197
139.892589 70.649 -9.2588
140.258800 70.643 -9.2974
140.625011 70.636 -9.3350
140.991222 70.630 -9.3710
141.357433 70.624 -9.4055
141.723644 70.618 -9.4387
142.089855 70.611 -9.4709
142.456066 70.605 -9.5024
142.822277 70.599 -9.5335
143.188488 70.593 -9.5647
143.554699 70.587 -9.5963
143.920910 70.581 -9.6285
144.287121 70.576 -9.6615
144.653332 70.570 -9.6949
145.019543 70.563 -9.7287
145.385754 70.557 -9.7626
145.751965 70.551 -9.7966
146.118176 70.545 -9.8305
146.484387 70.538 -9.8644
146.850598 70.532 -9.8978
147.216809 70.525 -9.9305
147.583020 70.519 -9.9618
147.949231 70.512 -9.9915
