* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:20:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Black Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.318 -63.5980
0.732422 66.339 -114.0256
1.098633 67.637 -155.3858
1.464844 67.915 167.9917
1.831055 67.028 134.3495
2.197266 64.541 103.4657
2.563477 58.792 78.0621
2.929688 46.414 169.6557
3.295899 61.146 -175.0068
3.662110 66.004 164.2477
4.028321 68.244 144.3799
4.394532 69.078 128.3695
4.760743 69.098 118.4395
5.126954 69.047 115.8498
5.493164 69.729 117.3224
5.859375 71.065 116.6313
6.225586 72.359 112.1370
6.591797 73.230 105.9042
6.958008 73.674 100.1906
7.324219 73.883 96.2878
7.690430 74.106 94.1207
8.056641 74.468 92.4742
8.422852 74.898 90.2086
8.789063 75.252 87.1846
9.155274 75.456 83.9952
9.521485 75.542 81.2567
9.887696 75.592 79.1461
10.253907 75.603 77.3766
10.620118 75.611 75.5586
10.986329 75.607 73.5599
11.352540 75.567 71.5221
11.718751 75.501 69.6248
12.084962 75.435 67.8959
12.451173 75.384 66.2282
12.817384 75.395 64.5353
13.183595 75.410 62.8492
13.549806 75.417 61.2650
13.916017 75.429 59.8202
14.282228 75.456 58.4510
14.648439 75.493 57.0672
15.014650 75.526 55.6539
15.380861 75.546 54.2841
15.747072 75.557 53.0392
16.113283 75.578 51.9252
16.479493 75.621 50.8711
16.845704 75.669 49.8026
17.211915 75.712 48.7088
17.578126 75.742 47.6371
17.944337 75.764 46.6342
18.310548 75.786 45.6987
18.676759 75.810 44.7914
19.042970 75.834 43.8800
19.409181 75.854 42.9659
19.775392 75.870 42.0695
20.141603 75.886 41.1994
20.507814 75.905 40.3414
20.874025 75.925 39.4784
21.240236 75.942 38.6135
21.606447 75.955 37.7665
21.972658 75.968 36.9516
22.338869 75.984 36.1602
22.705080 76.001 35.3714
23.071291 76.018 34.5748
23.437502 76.031 33.7833
23.803713 76.041 33.0193
24.169924 76.050 32.2920
24.536135 76.062 31.5891
24.902346 76.074 30.8907
25.268557 76.087 30.1880
25.634768 76.096 29.4892
26.000979 76.102 28.8072
26.367190 76.107 28.1456
26.733401 76.113 27.4969
27.099612 76.117 26.8521
27.465823 76.121 26.2094
27.832033 76.123 25.5731
28.198244 76.125 24.9453
28.564455 76.126 24.3232
28.930666 76.126 23.7034
29.296877 76.126 23.0878
29.663088 76.125 22.4825
30.029299 76.124 21.8898
30.395510 76.125 21.3043
30.761721 76.126 20.7174
31.127932 76.127 20.1267
31.494143 76.125 19.5404
31.860354 76.122 18.9703
32.226565 76.120 18.4208
32.592776 76.118 17.8845
32.958987 76.118 17.3497
33.325198 76.118 16.8109
33.691409 76.115 16.2732
34.057620 76.111 15.7469
34.423831 76.105 15.2382
34.790042 76.100 14.7437
35.156253 76.096 14.2562
35.522464 76.092 13.7697
35.888675 76.087 13.2834
36.254886 76.081 12.7999
36.621097 76.074 12.3218
36.987308 76.067 11.8503
37.353519 76.059 11.3856
37.719730 76.052 10.9277
38.085941 76.044 10.4755
38.452152 76.036 10.0263
38.818363 76.029 9.5780
39.184573 76.021 9.1306
39.550784 76.012 8.6875
39.916995 76.003 8.2531
40.283206 75.994 7.8286
40.649417 75.986 7.4120
41.015628 75.979 6.9995
41.381839 75.972 6.5886
41.748050 75.964 6.1795
42.114261 75.956 5.7739
42.480472 75.948 5.3730
42.846683 75.939 4.9777
43.212894 75.929 4.5887
43.579105 75.919 4.2078
43.945316 75.909 3.8357
44.311527 75.900 3.4709
44.677738 75.891 3.1100
45.043949 75.882 2.7499
45.410160 75.872 2.3906
45.776371 75.862 2.0349
46.142582 75.852 1.6849
46.508793 75.841 1.3411
46.875004 75.831 1.0010
47.241215 75.821 0.6627
47.607426 75.810 0.3267
47.973637 75.798 -0.0051
48.339848 75.786 -0.3304
48.706059 75.774 -0.6495
49.072270 75.762 -0.9641
49.438481 75.751 -1.2762
49.804692 75.739 -1.5867
50.170902 75.728 -1.8950
50.537113 75.716 -2.2000
50.903324 75.704 -2.5007
51.269535 75.692 -2.7971
51.635746 75.680 -3.0897
52.001957 75.668 -3.3792
52.368168 75.657 -3.6664
52.734379 75.645 -3.9519
53.100590 75.633 -4.2352
53.466801 75.621 -4.5150
53.833012 75.608 -4.7899
54.199223 75.596 -5.0599
54.565434 75.583 -5.3262
54.931645 75.570 -5.5898
55.297856 75.558 -5.8505
55.664067 75.545 -6.1069
56.030278 75.531 -6.3578
56.396489 75.518 -6.6041
56.762700 75.506 -6.8481
57.128911 75.493 -7.0920
57.495122 75.480 -7.3364
57.861333 75.467 -7.5791
58.227544 75.452 -7.8174
58.593755 75.438 -8.0498
58.959966 75.424 -8.2767
59.326177 75.410 -8.5003
59.692388 75.396 -8.7223
60.058599 75.383 -8.9436
60.424810 75.370 -9.1646
60.791021 75.356 -9.3846
61.157232 75.342 -9.6033
61.523442 75.328 -9.8196
61.889653 75.314 -10.0328
62.255864 75.300 -10.2427
62.622075 75.286 -10.4497
62.988286 75.272 -10.6547
63.354497 75.258 -10.8583
63.720708 75.243 -11.0605
64.086919 75.228 -11.2605
64.453130 75.213 -11.4572
64.819341 75.197 -11.6498
65.185552 75.182 -11.8385
65.551763 75.166 -12.0239
65.917974 75.151 -12.2070
66.284185 75.136 -12.3887
66.650396 75.121 -12.5698
67.016607 75.106 -12.7506
67.382818 75.090 -12.9308
67.749029 75.075 -13.1094
68.115240 75.059 -13.2858
68.481451 75.043 -13.4598
68.847662 75.028 -13.6318
69.213873 75.012 -13.8024
69.580084 74.996 -13.9718
69.946295 74.980 -14.1396
70.312506 74.964 -14.3058
70.678717 74.948 -14.4697
71.044928 74.933 -14.6320
71.411139 74.917 -14.7927
71.777350 74.901 -14.9521
72.143561 74.885 -15.1102
72.509771 74.870 -15.2670
72.875982 74.854 -15.4222
73.242193 74.838 -15.5759
73.608404 74.822 -15.7275
73.974615 74.806 -15.8765
74.340826 74.790 -16.0224
74.707037 74.774 -16.1656
75.073248 74.758 -16.3072
75.439459 74.743 -16.4479
75.805670 74.727 -16.5884
76.171881 74.712 -16.7284
76.538092 74.696 -16.8676
76.904303 74.681 -17.0054
77.270514 74.665 -17.1419
77.636725 74.649 -17.2772
78.002936 74.633 -17.4117
78.369147 74.617 -17.5450
78.735358 74.601 -17.6769
79.101569 74.585 -17.8065
79.467780 74.569 -17.9334
79.833991 74.552 -18.0577
80.200202 74.537 -18.1804
80.566413 74.521 -18.3024
80.932624 74.506 -18.4245
81.298835 74.490 -18.5470
81.665046 74.475 -18.6693
82.031257 74.459 -18.7906
82.397468 74.443 -18.9105
82.763679 74.428 -19.0287
83.129890 74.412 -19.1456
83.496101 74.396 -19.2615
83.862311 74.381 -19.3766
84.228522 74.365 -19.4908
84.594733 74.350 -19.6037
84.960944 74.334 -19.7151
85.327155 74.318 -19.8251
85.693366 74.303 -19.9339
86.059577 74.287 -20.0420
86.425788 74.272 -20.1497
86.791999 74.257 -20.2572
87.158210 74.242 -20.3644
87.524421 74.226 -20.4710
87.890632 74.210 -20.5766
88.256843 74.195 -20.6808
88.623054 74.179 -20.7832
88.989265 74.163 -20.8835
89.355476 74.147 -20.9818
89.721687 74.131 -21.0782
90.087898 74.115 -21.1733
90.454109 74.099 -21.2679
90.820320 74.084 -21.3623
91.186531 74.069 -21.4564
91.552742 74.053 -21.5502
91.918953 74.038 -21.6433
92.285164 74.022 -21.7357
92.651375 74.007 -21.8276
93.017586 73.991 -21.9197
93.383797 73.976 -22.0115
93.750008 73.960 -22.1025
94.116219 73.944 -22.1918
94.482430 73.928 -22.2789
94.848641 73.913 -22.3640
95.214851 73.897 -22.4479
95.581062 73.882 -22.5314
95.947273 73.867 -22.6147
96.313484 73.851 -22.6981
96.679695 73.836 -22.7806
97.045906 73.821 -22.8621
97.412117 73.805 -22.9421
97.778328 73.790 -23.0211
98.144539 73.775 -23.0991
98.510750 73.760 -23.1765
98.876961 73.744 -23.2535
99.243172 73.730 -23.3302
99.609383 73.715 -23.4067
99.975594 73.700 -23.4830
100.341805 73.685 -23.5593
100.708016 73.670 -23.6355
101.074227 73.655 -23.7114
101.440438 73.639 -23.7865
101.806649 73.624 -23.8605
102.172860 73.609 -23.9329
102.539071 73.594 -24.0040
102.905282 73.579 -24.0741
103.271493 73.564 -24.1438
103.637704 73.549 -24.2133
104.003915 73.534 -24.2826
104.370126 73.519 -24.3517
104.736337 73.504 -24.4202
105.102548 73.489 -24.4878
105.468759 73.474 -24.5546
105.834970 73.459 -24.6204
106.201180 73.444 -24.6854
106.567391 73.429 -24.7497
106.933602 73.414 -24.8132
107.299813 73.399 -24.8762
107.666024 73.384 -24.9387
108.032235 73.370 -25.0007
108.398446 73.355 -25.0624
108.764657 73.340 -25.1239
109.130868 73.326 -25.1852
109.497079 73.311 -25.2465
109.863290 73.297 -25.3077
110.229501 73.282 -25.3687
110.595712 73.268 -25.4292
110.961923 73.253 -25.4890
111.328134 73.238 -25.5480
111.694345 73.223 -25.6061
112.060556 73.208 -25.6631
112.426767 73.193 -25.7191
112.792978 73.179 -25.7739
113.159189 73.164 -25.8276
113.525400 73.149 -25.8806
113.891611 73.135 -25.9327
114.257822 73.120 -25.9841
114.624033 73.106 -26.0352
114.990244 73.092 -26.0860
115.356455 73.078 -26.1370
115.722666 73.064 -26.1887
116.088877 73.050 -26.2412
116.455088 73.036 -26.2946
116.821299 73.021 -26.3478
117.187510 73.007 -26.3998
117.553720 72.992 -26.4496
117.919931 72.977 -26.4966
118.286142 72.963 -26.5409
118.652353 72.948 -26.5836
119.018564 72.934 -26.6259
119.384775 72.921 -26.6685
119.750986 72.907 -26.7119
120.117197 72.894 -26.7563
120.483408 72.880 -26.8015
120.849619 72.866 -26.8469
121.215830 72.852 -26.8925
121.582041 72.838 -26.9378
121.948252 72.824 -26.9824
122.314463 72.810 -27.0261
122.680674 72.796 -27.0688
123.046885 72.782 -27.1107
123.413096 72.767 -27.1517
123.779307 72.754 -27.1922
124.145518 72.740 -27.2324
124.511729 72.726 -27.2723
124.877940 72.713 -27.3121
125.244151 72.700 -27.3520
125.610362 72.687 -27.3918
125.976573 72.674 -27.4313
126.342784 72.661 -27.4703
126.708995 72.648 -27.5087
127.075206 72.636 -27.5462
127.441417 72.623 -27.5831
127.807628 72.611 -27.6198
128.173839 72.599 -27.6561
128.540049 72.587 -27.6924
128.906260 72.575 -27.7282
129.272471 72.563 -27.7638
129.638682 72.551 -27.7992
130.004893 72.539 -27.8348
130.371104 72.527 -27.8708
130.737315 72.515 -27.9073
131.103526 72.503 -27.9438
131.469737 72.490 -27.9800
131.835948 72.478 -28.0152
132.202159 72.466 -28.0492
132.568370 72.453 -28.0820
132.934581 72.441 -28.1138
133.300792 72.428 -28.1447
133.667003 72.416 -28.1749
134.033214 72.404 -28.2047
134.399425 72.392 -28.2340
134.765636 72.380 -28.2631
135.131847 72.368 -28.2921
135.498058 72.356 -28.3210
135.864269 72.345 -28.3497
136.230480 72.333 -28.3781
136.596691 72.321 -28.4059
136.962902 72.309 -28.4332
137.329113 72.297 -28.4602
137.695324 72.285 -28.4869
138.061535 72.274 -28.5134
138.427746 72.262 -28.5397
138.793957 72.250 -28.5658
139.160168 72.239 -28.5917
139.526379 72.227 -28.6175
139.892589 72.215 -28.6431
140.258800 72.204 -28.6685
140.625011 72.192 -28.6936
140.991222 72.180 -28.7184
141.357433 72.169 -28.7427
141.723644 72.157 -28.7666
142.089855 72.146 -28.7904
142.456066 72.134 -28.8141
142.822277 72.123 -28.8378
143.188488 72.112 -28.8613
143.554699 72.100 -28.8845
143.920910 72.089 -28.9073
144.287121 72.078 -28.9298
144.653332 72.066 -28.9518
145.019543 72.055 -28.9735
145.385754 72.044 -28.9949
145.751965 72.033 -29.0160
