* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:20:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Black Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.740 -45.5137
0.732422 68.317 -92.7214
1.098633 68.055 -140.8780
1.464844 67.999 173.6053
1.831055 67.607 133.5287
2.197266 66.077 99.3415
2.563477 62.100 72.1373
2.929688 50.276 84.4772
3.295899 60.233 172.0507
3.662110 66.475 156.4570
4.028321 69.273 138.1980
4.394532 70.399 122.7312
4.760743 70.535 112.4618
5.126954 70.382 109.0473
5.493164 70.778 110.4763
5.859375 71.884 110.7809
6.225586 73.078 107.2061
6.591797 73.899 101.3322
6.958008 74.279 95.5092
7.324219 74.381 91.3137
7.690430 74.462 89.0179
8.056641 74.693 87.5662
8.422852 75.042 85.6481
8.789063 75.357 82.8893
9.155274 75.540 79.8148
9.521485 75.604 77.1171
9.887696 75.628 75.0871
10.253907 75.620 73.4950
10.620118 75.625 71.9185
10.986329 75.634 70.1585
11.352540 75.614 68.3223
11.718751 75.569 66.5991
12.084962 75.520 65.0442
12.451173 75.485 63.5657
12.817384 75.511 62.0730
13.183595 75.540 60.5860
13.549806 75.560 59.1923
13.916017 75.582 57.9281
14.282228 75.618 56.7278
14.648439 75.662 55.4968
15.014650 75.700 54.2156
15.380861 75.721 52.9586
15.747072 75.731 51.8139
16.113283 75.749 50.7943
16.479493 75.789 49.8305
16.845704 75.836 48.8441
17.211915 75.877 47.8193
17.578126 75.906 46.8021
17.944337 75.926 45.8420
18.310548 75.945 44.9430
18.676759 75.965 44.0695
19.042970 75.986 43.1909
19.409181 76.002 42.3084
19.775392 76.014 41.4423
20.141603 76.026 40.6002
20.507814 76.042 39.7669
20.874025 76.057 38.9246
21.240236 76.069 38.0759
21.606447 76.077 37.2418
21.972658 76.084 36.4375
22.338869 76.093 35.6548
22.705080 76.105 34.8708
23.071291 76.117 34.0739
23.437502 76.126 33.2762
23.803713 76.131 32.5011
24.169924 76.136 31.7587
24.536135 76.144 31.0369
24.902346 76.154 30.3153
25.268557 76.164 29.5859
25.634768 76.171 28.8592
26.000979 76.175 28.1516
26.367190 76.178 27.4687
26.733401 76.182 26.8027
27.099612 76.186 26.1425
27.465823 76.190 25.4839
27.832033 76.192 24.8306
28.198244 76.194 24.1859
28.564455 76.195 23.5476
28.930666 76.195 22.9120
29.296877 76.194 22.2797
29.663088 76.192 21.6556
30.029299 76.190 21.0433
30.395510 76.188 20.4397
30.761721 76.187 19.8375
31.127932 76.185 19.2334
31.494143 76.182 18.6318
31.860354 76.178 18.0410
32.226565 76.174 17.4646
32.592776 76.171 16.8984
32.958987 76.168 16.3352
33.325198 76.165 15.7719
33.691409 76.161 15.2125
34.057620 76.156 14.6627
34.423831 76.151 14.1239
34.790042 76.146 13.5929
35.156253 76.141 13.0656
35.522464 76.136 12.5413
35.888675 76.130 12.0227
36.254886 76.123 11.5112
36.621097 76.116 11.0058
36.987308 76.108 10.5038
37.353519 76.100 10.0054
37.719730 76.091 9.5133
38.085941 76.082 9.0300
38.452152 76.073 8.5542
38.818363 76.064 8.0818
39.184573 76.055 7.6096
39.550784 76.046 7.1382
39.916995 76.036 6.6716
40.283206 76.026 6.2129
40.649417 76.017 5.7617
41.015628 76.008 5.3156
41.381839 75.999 4.8716
41.748050 75.990 4.4299
42.114261 75.981 3.9922
42.480472 75.970 3.5602
42.846683 75.960 3.1347
43.212894 75.949 2.7159
43.579105 75.938 2.3043
43.945316 75.928 1.8992
44.311527 75.917 1.4990
44.677738 75.906 1.1014
45.043949 75.896 0.7058
45.410160 75.884 0.3137
45.776371 75.872 -0.0720
46.142582 75.860 -0.4500
46.508793 75.848 -0.8222
46.875004 75.837 -1.1924
47.241215 75.825 -1.5625
47.607426 75.813 -1.9309
47.973637 75.799 -2.2937
48.339848 75.786 -2.6477
48.706059 75.772 -2.9930
49.072270 75.759 -3.3325
49.438481 75.746 -3.6687
49.804692 75.733 -4.0027
50.170902 75.720 -4.3338
50.537113 75.707 -4.6611
50.903324 75.694 -4.9847
51.269535 75.681 -5.3049
51.635746 75.667 -5.6216
52.001957 75.654 -5.9342
52.368168 75.640 -6.2420
52.734379 75.626 -6.5447
53.100590 75.611 -6.8429
53.466801 75.597 -7.1368
53.833012 75.583 -7.4272
54.199223 75.569 -7.7147
54.565434 75.555 -8.0005
54.931645 75.541 -8.2853
55.297856 75.527 -8.5681
55.664067 75.512 -8.8469
56.030278 75.496 -9.1198
56.396489 75.481 -9.3860
56.762700 75.466 -9.6476
57.128911 75.452 -9.9072
57.495122 75.437 -10.1663
57.861333 75.423 -10.4241
58.227544 75.407 -10.6785
58.593755 75.392 -10.9272
58.959966 75.376 -11.1697
59.326177 75.360 -11.4068
59.692388 75.345 -11.6403
60.058599 75.330 -11.8715
60.424810 75.316 -12.1015
60.791021 75.301 -12.3302
61.157232 75.286 -12.5571
61.523442 75.270 -12.7817
61.889653 75.255 -13.0035
62.255864 75.239 -13.2222
62.622075 75.223 -13.4382
62.988286 75.207 -13.6520
63.354497 75.191 -13.8636
63.720708 75.174 -14.0729
64.086919 75.157 -14.2793
64.453130 75.140 -14.4829
64.819341 75.123 -14.6838
65.185552 75.106 -14.8824
65.551763 75.089 -15.0791
65.917974 75.072 -15.2736
66.284185 75.054 -15.4658
66.650396 75.037 -15.6558
67.016607 75.020 -15.8438
67.382818 75.003 -16.0294
67.749029 74.986 -16.2124
68.115240 74.968 -16.3925
68.481451 74.951 -16.5699
68.847662 74.934 -16.7457
69.213873 74.917 -16.9201
69.580084 74.900 -17.0931
69.946295 74.882 -17.2639
70.312506 74.865 -17.4321
70.678717 74.847 -17.5974
71.044928 74.830 -17.7604
71.411139 74.813 -17.9219
71.777350 74.796 -18.0824
72.143561 74.779 -18.2421
72.509771 74.762 -18.4009
72.875982 74.744 -18.5586
73.242193 74.727 -18.7153
73.608404 74.709 -18.8707
73.974615 74.692 -19.0239
74.340826 74.674 -19.1744
74.707037 74.656 -19.3218
75.073248 74.638 -19.4663
75.439459 74.620 -19.6084
75.805670 74.602 -19.7489
76.171881 74.585 -19.8884
76.538092 74.567 -20.0270
76.904303 74.550 -20.1644
77.270514 74.532 -20.3005
77.636725 74.514 -20.4349
78.002936 74.497 -20.5677
78.369147 74.479 -20.6995
78.735358 74.462 -20.8303
79.101569 74.444 -20.9603
79.467780 74.427 -21.0890
79.833991 74.409 -21.2161
80.200202 74.391 -21.3414
80.566413 74.374 -21.4651
80.932624 74.357 -21.5878
81.298835 74.340 -21.7098
81.665046 74.322 -21.8317
82.031257 74.305 -21.9528
82.397468 74.287 -22.0727
82.763679 74.270 -22.1906
83.129890 74.252 -22.3058
83.496101 74.235 -22.4186
83.862311 74.217 -22.5295
84.228522 74.200 -22.6396
84.594733 74.184 -22.7499
84.960944 74.167 -22.8607
85.327155 74.150 -22.9720
85.693366 74.133 -23.0829
86.059577 74.115 -23.1924
86.425788 74.098 -23.2998
86.791999 74.081 -23.4055
87.158210 74.063 -23.5095
87.524421 74.046 -23.6120
87.890632 74.028 -23.7128
88.256843 74.011 -23.8115
88.623054 73.993 -23.9083
88.989265 73.976 -24.0035
89.355476 73.959 -24.0980
89.721687 73.942 -24.1921
90.087898 73.925 -24.2862
90.454109 73.909 -24.3800
90.820320 73.892 -24.4731
91.186531 73.875 -24.5654
91.552742 73.858 -24.6572
91.918953 73.841 -24.7488
92.285164 73.825 -24.8405
92.651375 73.808 -24.9321
93.017586 73.791 -25.0231
93.383797 73.773 -25.1125
93.750008 73.756 -25.1998
94.116219 73.739 -25.2844
94.482430 73.721 -25.3670
94.848641 73.705 -25.4484
95.214851 73.688 -25.5294
95.581062 73.671 -25.6105
95.947273 73.655 -25.6915
96.313484 73.638 -25.7720
96.679695 73.621 -25.8516
97.045906 73.605 -25.9304
97.412117 73.588 -26.0088
97.778328 73.572 -26.0869
98.144539 73.556 -26.1650
98.510750 73.539 -26.2427
98.876961 73.523 -26.3195
99.243172 73.506 -26.3956
99.609383 73.490 -26.4711
99.975594 73.474 -26.5463
100.341805 73.458 -26.6213
100.708016 73.441 -26.6957
101.074227 73.425 -26.7689
101.440438 73.408 -26.8403
101.806649 73.392 -26.9100
102.172860 73.375 -26.9785
102.539071 73.359 -27.0465
102.905282 73.343 -27.1145
103.271493 73.327 -27.1827
103.637704 73.311 -27.2505
104.003915 73.295 -27.3176
104.370126 73.279 -27.3835
104.736337 73.263 -27.4488
105.102548 73.247 -27.5135
105.468759 73.231 -27.5781
105.834970 73.214 -27.6425
106.201180 73.198 -27.7062
106.567391 73.182 -27.7687
106.933602 73.165 -27.8300
107.299813 73.149 -27.8901
107.666024 73.133 -27.9496
108.032235 73.117 -28.0092
108.398446 73.101 -28.0687
108.764657 73.085 -28.1282
109.130868 73.069 -28.1868
109.497079 73.053 -28.2441
109.863290 73.037 -28.3002
110.229501 73.021 -28.3552
110.595712 73.005 -28.4098
110.961923 72.989 -28.4641
111.328134 72.973 -28.5179
111.694345 72.958 -28.5709
112.060556 72.942 -28.6226
112.426767 72.926 -28.6728
112.792978 72.910 -28.7222
113.159189 72.895 -28.7714
113.525400 72.880 -28.8212
113.891611 72.864 -28.8715
114.257822 72.849 -28.9219
114.624033 72.833 -28.9719
114.990244 72.817 -29.0211
115.356455 72.801 -29.0696
115.722666 72.785 -29.1173
116.088877 72.769 -29.1639
116.455088 72.753 -29.2091
116.821299 72.737 -29.2526
117.187510 72.721 -29.2944
117.553720 72.705 -29.3356
117.919931 72.690 -29.3771
118.286142 72.674 -29.4197
118.652353 72.659 -29.4637
119.018564 72.644 -29.5084
119.384775 72.628 -29.5529
119.750986 72.613 -29.5963
120.117197 72.597 -29.6385
120.483408 72.582 -29.6800
120.849619 72.567 -29.7209
121.215830 72.552 -29.7620
121.582041 72.537 -29.8032
121.948252 72.522 -29.8444
122.314463 72.507 -29.8854
122.680674 72.492 -29.9260
123.046885 72.478 -29.9662
123.413096 72.463 -30.0061
123.779307 72.448 -30.0456
124.145518 72.433 -30.0846
124.511729 72.419 -30.1229
124.877940 72.404 -30.1603
125.244151 72.390 -30.1967
125.610362 72.376 -30.2321
125.976573 72.362 -30.2665
126.342784 72.348 -30.3007
126.708995 72.335 -30.3348
127.075206 72.321 -30.3693
127.441417 72.308 -30.4039
127.807628 72.294 -30.4385
128.173839 72.281 -30.4727
128.540049 72.267 -30.5062
128.906260 72.254 -30.5389
129.272471 72.240 -30.5710
129.638682 72.227 -30.6027
130.004893 72.213 -30.6339
130.371104 72.200 -30.6646
130.737315 72.187 -30.6948
131.103526 72.173 -30.7245
131.469737 72.160 -30.7539
131.835948 72.147 -30.7830
132.202159 72.134 -30.8119
132.568370 72.121 -30.8403
132.934581 72.108 -30.8684
133.300792 72.095 -30.8962
133.667003 72.082 -30.9241
134.033214 72.069 -30.9520
134.399425 72.056 -30.9802
134.765636 72.044 -31.0085
135.131847 72.031 -31.0365
135.498058 72.018 -31.0637
135.864269 72.005 -31.0901
136.230480 71.992 -31.1157
136.596691 71.979 -31.1409
136.962902 71.966 -31.1658
137.329113 71.954 -31.1907
137.695324 71.941 -31.2155
138.061535 71.928 -31.2400
138.427746 71.916 -31.2644
138.793957 71.903 -31.2888
139.160168 71.891 -31.3132
139.526379 71.879 -31.3376
139.892589 71.866 -31.3620
140.258800 71.854 -31.3860
140.625011 71.841 -31.4093
140.991222 71.829 -31.4320
141.357433 71.816 -31.4541
141.723644 71.804 -31.4758
142.089855 71.792 -31.4975
142.456066 71.780 -31.5190
142.822277 71.767 -31.5403
143.188488 71.755 -31.5610
143.554699 71.743 -31.5809
143.920910 71.730 -31.5999
144.287121 71.718 -31.6181
144.653332 71.706 -31.6358
145.019543 71.694 -31.6534
145.385754 71.682 -31.6712
145.751965 71.670 -31.6892
